#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hyfR//ydhW//
ArgR_H-NS_NtrC	yqjI//alaT//deoC//ytfE//
ArgR_NtrC	yoaG//umpH//fliZ//csiE//ygeA//
ArgR_PhoP	dsdC//
AscG_CRP	hybB//fliE//ulaG//
AscG_CRP_PhoB_PrpR	pdhR//
AsnC_MraZ_Nac	ccmE//
AsnC_Nac	phoQ//gadW//
AtoC_IHF	hha//paaJ//gadW//puuD//
BaeR_CpxR	gntT//idnD//yiaK//codB//fliC//ssrS//cysU//
BaeR_CpxR_EvgA	metI//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rplB//yjbE//hpt//gyrA//
BasR_CpxR_PdhR	nanC//ybiT//
BasR_Fis	entD//
BasR_H-NS_IHF_NagC_NanR	cusA//
BasR_MarA_PutA	acrZ//
BasR_PhoP	lpd//
BasR_QseB	tdcG//oppC//
CRP_CaiF_FNR	cusR//carB//hdeB//citE//
CRP_ChbR_NagC	ydhY//csiD//galS//dusB//truB//degP//
CRP_ComR	yjjQ//
CRP_CpxR	chiP//
CRP_CpxR_CytR	betB//
CRP_CpxR_CytR_DnaA_IHF	sodA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	rseA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	caiE//paaD//hipB//ybdN//
CRP_Cra	molR_1//ilvG_2//ccmG//mhpC//mdh//relA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	tnaB//fecD//lldD//agaV//
CRP_Cra_FNR_PdhR	nanS//
CRP_Cra_Fis	fixX//
CRP_Cra_Fis_GlcC	fliH//
CRP_Cra_Fis_MtlR	soxS//marR//ptsG//
CRP_Cra_Mlc_NagC	ulaE//appB//nuoH//hha//aceE//ftsQ//
CRP_Cra_PrpR	malY//murE//malS//rpsC//
CRP_CreB_Fis_MalT	fucU//ilvI//fliC//
CRP_CsiR_H-NS_Lrp	pspB//tauA//
CRP_CsiR_H-NS_Lrp_Nac	glnH//uxuA//tdcD//
CRP_CspA_Fis	alaV//
CRP_CytR	fadI//norR//gcvP//
CRP_CytR_DeoR	lysA//glpX//
CRP_CytR_DeoR_Fis_ModE	micF//malG//metQ//acrD//
CRP_CytR_Nac	lsrG//
CRP_CytR_NsrR	pnp//
CRP_DcuR_FNR_NarL	rbfA//
CRP_DinJ-YafQ	yhiM//
CRP_DnaA_Fis_PurR	cusR//fes//
CRP_DpiA_ExuR	rcnA//
CRP_DsdC	emrK//atoA//
CRP_EbgR	lldD//emrY//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	torC//exuT//
CRP_ExuR	rrlG//
CRP_ExuR_FNR	emrY//bolA//
CRP_ExuR_OxyR_UxuR	hns//nikD//
CRP_ExuR_UxuR	caiT//
CRP_FNR	dpiB//
CRP_FNR_FhlA_HyfR	zraR//dsdA//cysJ//envZ//hyfF//rutC//pstB//cirA//rrfG//purN//hycC//lamB//
CRP_FNR_Fis	ptsH//lpxC//fecA//
CRP_FNR_Fis_GlpR_IHF	hyaD//cytR//
CRP_FNR_Fis_H-NS_SlyA	codB//
CRP_FNR_GcvA_Lrp_PurR	ndh//waaH//lsrB//
CRP_FNR_H-NS_NarL	tnaB//
CRP_FNR_IHF_TdcA_TdcR	mraZ//paaK//fdnI//acnA//rrlD//hyaB//yqjI//
CRP_FNR_NarL	fucU//cspA//fixX//
CRP_FeaR_NsrR	astB//
CRP_Fis	mdh//ydhU//betT//yrbL//gspC//
CRP_Fis_FlhDC_GalR_GalS	sroD//hyfC//
CRP_Fis_FliZ_IHF_Lrp	paaG//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	ilvM//ackA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	lldP//gyrA//glnA//
CRP_Fis_IHF	bolA//ansB//nfo//ftsZ//zwf//
CRP_Fis_NanR	rseC//fdnI//yhiM//metE//yiaL//
CRP_Fis_NtrC	casE//idnT//dps//
CRP_Fis_XylR	astE//nupC//garL//
CRP_FlhDC_GalR_GalS	idnO//
CRP_FucR	galS//skp//rrlH//marB//rrlD//fumA//ompR//
CRP_Fur	ilvD//torA//ssuD//sodB//sucA//metK//alaU//ebgA//garK//
CRP_Fur_HypT_PdhR	rpsJ//marB//hipA//nikB//narH//
CRP_Fur_OxyR_SoxS	rbsD//
CRP_GalR_GalS	yeaR//
CRP_GalR_GalS_H-NS_HU	glnH//nrdB//dmsB//higA//
CRP_GalR_GalS_NagC	rprA//
CRP_GlpR	feaB//tnaB//nikR//
CRP_GntR	nac//icd//
CRP_GntR_IdnR	purA//murD//pgaB//nikE//paaD//cas1//cbl//
CRP_GntR_IscR	rseC//
CRP_GutM_GutR_H-NS	cbl//yciG//pgaB//tsx//fpr//uxuB//mazE//
CRP_H-NS	sgbH//
CRP_H-NS_HipAB_HipB_NtrC	gspH//
CRP_H-NS_LacI	sodB//cytR//sucC//
CRP_H-NS_LeuO	sgrT//glnA//alaU//ulaG//fucU//rcnB//araC//
CRP_H-NS_MqsA	paaH//
CRP_IHF	glcF//malE//lyxK//acs//
CRP_IHF_MprA_OmpR	nagE//
CRP_IHF_NsrR	dmsA//
CRP_IHF_PaaX	moaE//bglB//baeS//hycG//torC//ydhU//glpD//ubiC//hipA//rpoH//glnG//yciG//
CRP_IHF_UlaR	araG//adiC//sucD//tdcF//garK//srlB//
CRP_IHF_YiaJ	gntK//aroL//lgoR//srlE//hyfR//ansB//uidC//hybB//gcvT//nrdH//
CRP_LexA	galT//
CRP_Lrp	casE//atoE//rrsD//uhpT//
CRP_Lrp_Mlc	ulaC//
CRP_Lrp_Nac	chbF//
CRP_LsrR	proP//cyoA//hyfR//nhaR//moaA//uxaB//mioC//bglJ//araG//
CRP_MalI	rhaR//cydC//rrfD//
CRP_MalT	fepB//astB//rrlA//
CRP_MalT_PhoP	nuoB//
CRP_MelR	lldR//cusR//dppF//
CRP_MetJ	glpF//
CRP_MhpR	lldR//pspA//uxuA//rbsD//hybG//ydeO//
CRP_Mlc	cysB//hyaB//
CRP_ModE	nac//glcD//deoC//
CRP_MurR	nirB//murF//
CRP_Nac_NsrR_PhoB	gabP//
CRP_NadR	evgS//
CRP_NagC	trg//araJ//lpd//leuO//cyoB//tauB//
CRP_NagC_NanR	asr//sulA//glpA//
CRP_NagC_PhoP	kbaZ//
CRP_OxyR	hycD//
CRP_OxyR_UxuR	metB//
CRP_PhoB	nanA//sgrS//hyfH//sgrT//ftsI//fliF//
CRP_PhoP	torC//gadY//rsmH//
CRP_PutA	nrfB//
CRP_RbsR	ydhW//glpD//aroM//pqiB//chbA//hyfH//
CRP_RhaR_RhaS	rcnA//sdhA//
CRP_RhaS	lgoR//relA//galR//
CRP_Rob	fau//
CRP_TorR	nrdF//garR//rrlG//
CRP_UhpA_UvrY	dgcZ//
CRP_UidR_UxuR	prpB//moeB//ccmD//
CRP_UvrY	nuoN//
CRP_YehT	dsdC//
CRP_ZraR	glnK//ccmB//
CadC_FNR_H-NS_LeuO_MlrA	proX//
Cbl_CysB	codA//rseB//rrsD//fliG//
Cbl_CysB_FNR_IHF	uspA//tsx//modA//norV//dppD//
CdaR_FNR_Fis_Fur_H-NS	ydhV//
CdaR_FNR_Fur_H-NS	yiaK//puuB//glcD//tauC//
CpxR_CsgD_FliZ	yoaG//hipB//treB//
CpxR_CysB	pdhR//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pdeR//
CpxR_GadE	nfsA//lamB//ftsL//fixB//
CpxR_H-NS	nagE//
CpxR_NsrR	torA//
CpxR_RcsB	acrB//
CpxR_TyrR	ilvE//
Cra_FNR_Fis_Lrp_NarL	citC//
Cra_FNR_Fur_MarA_Rob_SoxS	yjjQ//
Cra_FhlA_FlhDC	rrsB//
Cra_GntR_KdgR	hybG//
Cra_GntR_KdgR_PhoB	nanT//
Cra_MarA_SoxS	nrfF//
Cra_PdeL	glpX//
Cra_SgrR	nrfG//cspI//proW//
Cra_TyrR	hyaF//
CreB_NagC	ulaE//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hybC//
CsgD_FlhDC	ulaA//proV//oxyR//ascB//tomB//torA//malS//ccmG//ulaG//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	mhpA//dgcZ//
CspA_Fis_GadX_H-NS	marR//
CueR_FNR_ModE	gapA//crr//ugpC//pstB//rutD//
CusR_PhoB_YedW	cysP//proX//fhuF//pgaB//fimD//ftnA//purM//
CysB_H-NS	tcyJ//purM//gcvT//astE//srlD//
CysB_HypT_IHF	pstA//
CysB_IHF	fes//tnaA//
CysB_NtrC	cyaR//
CysB_PhoP	aceA//
DcuR_FNR_NarL	truB//hycG//hycD//lsrD//
DinJ-YafQ_LexA	aceF//aceE//
DpiA_H-NS	yciG//
DsdC_NsrR	dsdA//
EvgA_FNR	nrdI//appB//
EvgA_H-NS	ccmE//tam//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	aroG//
EvgA_H-NS_PhoP_RcsB_YdeO	ogt//
EvgA_PhoP_RcsB_YdeO	dusB//
ExuR_UxuR	lrp//yefM//
FNR_FhlA_IHF_NsrR	fdnH//gltB//uidC//nrdE//astE//
FNR_FhlA_NarL_NarP	tdcB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	xylH//hypB//pspB//creD//araD//marB//metH//
FNR_Fis_IHF_ModE_NarL	rhaA//mlc//fimB//
FNR_Fis_IHF_NarL	fixC//
FNR_Fis_IHF_NarL_RstA	hypF//uhpT//gltD//cspE//
FNR_FlhDC	deoA//
FNR_FlhDC_IscR_ModE_NarL_NarP	paaA//fliF//entB//hycC//rhaA//nirD//tomB//
FNR_FlhDC_ModE_NarL_NarP	bglF//aslB//osmE//glpC//dppA//chbG//gltT//ilvA//
FNR_Fur	galE//appC//
FNR_Fur_GadE	yciF//
FNR_Fur_GadX_NtrC	yrbL//prpB//
FNR_Fur_H-NS	ybdN//rbsC//fepE//nrfB//
FNR_Fur_MetR_NsrR	yhcH//
FNR_Fur_Nac_NtrC	srlR//
FNR_Fur_NagC	rbsA//fliZ//iclR//
FNR_Fur_OxyR	tsx//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rpoS//
FNR_H-NS	evgA//ydhV//
FNR_H-NS_NrdR	aroP//yedX//
FNR_IHF	ygeA//fumC//hycF//fadH//proW//
FNR_IHF_Lrp_YeiL	ptsH//
FNR_IHF_NarL_NarP_NorR	fecD//rrlG//
FNR_IHF_PhoB	lamB//mtr//ybjC//paaA//ansB//
FNR_MalT	ptsG//oppA//
FNR_ModE	hypE//mhpE//
FNR_NarL	ynfE//pqiB//dcuS//fliH//caiD//hypD//
FNR_NarL_NarP	dps//modB//mtlA//nfuA//rpsJ//dinJ//nuoH//malK//codA//
FNR_NarL_NarP_NsrR	ssb//
FNR_NarL_NarP_NsrR_OxyR	tdcF//ndh//
FNR_NarL_NikR	codB//rpsC//flhC//adhE//lsrF//ftnA//
FNR_NsrR	hypB//ompC//pgaB//
FNR_OxyR	yjbE//
FNR_PurR	feoC//paaI//
FNR_YqjI	caiB//
FabR_FadR	udp//nuoF//
FadR_IHF	napD//
FadR_IclR	hycA//
FhlA_FlhDC	agaV//
FhlA_IHF_ModE_NsrR	aceB//infB//hypF//purD//pflB//ilvM//hipB//aceK//ilvM//
FhlA_IHF_NsrR	ftsL//
Fis_Fur	ompW//
Fis_H-NS	srlD//
Fis_H-NS_IHF_MntR_OxyR	aceE//
Fis_H-NS_Lrp	rpsS//evgA//acrZ//lysA//yeiL//ilvE//sufS//rhaD//mhpC//rpsO//osmC//cspD//tdcC//tam//ftsW//mntP//accB//ldtB//csgE//nupG//hisP//chbF//modB//metL//
Fis_H-NS_Lrp_StpA	paaF//ynfH//
Fis_IHF	yoaG//
Fis_IHF_NtrC	rrsE//moaB//
Fis_IHF_OmpR_RcsB	aroA//
Fis_Lrp	rseB//pdeL//katE//nfsA//rob//murC//hisM//hycF//waaH//
Fis_MazE_MazE-MazF	rhaA//
Fis_NarL	sgrS//
Fis_NarL_NarP_NsrR	fimE//astC//
Fis_PurR	nfsA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	gntT//hyfD//yciF//
FliZ_RutR	sgbU//
Fur_H-NS	yqjI//paaD//fliC//fliC//ihfA//stpA//rpsC//fabA//rrsG//nikA//rrlH//nuoK//csgE//
Fur_IHF_IscR_NsrR_OxyR	mhpB//tsx//narG//oppA//gnd//xylB//
Fur_IscR_NrdR	acs//glnA//aroG//rhaR//
Fur_MetR	nagB//
Fur_MntR	cysW//
Fur_MntR_OxyR	ihfA//
Fur_OxyR	rrsA//
Fur_PurR	proX//ybjN//
Fur_RcnR	lsrC//nuoG//
Fur_RutR	envZ//
Fur_SoxS_Zur	ygiA//
Fur_YqjI	alaU//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	tauB//gspI//
GadE-RcsB_H-NS	lysP//
GadE-RcsB_PhoB	idnK//
GadE-RcsB_Rob	lsrR//
GadE_GadX_H-NS_PhoP_RcsB	nuoM//
GadE_H-NS_Lrp_NsrR	iclR//
GadE_H-NS_MatA	yjbG//
GadE_H-NS_RcsAB	rpoS//
GadE_MarA_PurR	deoA//
GadW_GadX_RcsB	gabP//
GalR_GalS	rbsB//
GlrR_IHF	caiF//
H-NS_IHF	rplV//nuoM//hupA//
H-NS_IHF_Lrp	rpsS//ssuE//murD//hisP//nuoA//flhC//paaE//
H-NS_LeuO	qseC//cyaR//
H-NS_LeuO_RcsB-BglJ_StpA	sucA//
H-NS_LrhA_Lrp	tauA//
H-NS_Lrp	ptsI//lsrG//
H-NS_Lrp_NhaR_RcsB	cyoD//
H-NS_Lrp_StpA	cadB//
H-NS_McbR	rhaD//higA//oppF//
H-NS_NhaR	glnK//aceE//
H-NS_OmpR	skp//
H-NS_PhoB_RcdA_RstA	glnG//
HU_IHF_TrpR_TyrR	betB//
HU_IHF_TyrR	ygiC//
HigA_HigB-HigA	bamE//rbsB//
HipAB_HipB_IHF	waaY//pncB//
HypT_MetJ	casC//hycF//mnmG//
HypT_MetJ_PhoP	deoB//glgA//
IHF_Lrp	hybD//aroP//nfsB//grcA//ybjN//actP//rbsK//casE//
IHF_NsrR	cyoE//
IHF_NtrC	hyaD//fecB//
IHF_PhoP	prpC//
IHF_PspF	nfsB//nanK//gyrA//ubiA//gabD//hyfJ//
IHF_RcsAB	nrdF//lpxC//psiE//fliG//
IHF_RtcR	edd//pheM//
IHF_TyrR	rutB//
IHF_UlaR	crr//
LexA_MraZ_PdhR	hycD//hisP//tauA//osmE//lldP//csgC//hybE//adiA//pstC//ugpC//asnC//
LexA_MraZ_PdhR_RcsB_SdiA	higA//gadB//
LexA_MraZ_PdhR_SdiA	qseB//
LexA_NagC	srlR//
LexA_RcdA	accB//
LexA_RcsB-BglJ	yjbF//
MarA_OxyR_Rob_SoxS	garK//paaG//norR//fecA//
MarA_PhoP_Rob_SoxS	sdhC//yiaO//nupG//nikD//
MarA_Rob_SoxS	ftsZ//cyoA//argO//ileU//spy//
MarA_SoxS	murG//hcr//hypE//yhiD//ompW//
MetJ_MetR	aceE//bglF//
MetJ_OxyR	alaT//hybA//
MetR_PurR	mazE//
MraZ_PdhR	galS//fliI//
Nac_PurR	exuR//spy//
NarL_TorR	lamB//hyaE//cusB//
NemR_RutR	ftsA//deoD//ompR//
NhaR_OmpR	nusA//argD//pstA//codB//
NorR_NsrR	ydhY//
NsrR_PhoB	hybG//
OxyR_SoxS	hybO//
PdhR_PhoP	rpsI//
PgrR_TyrR	citD//
PhoB_PhoP	sufC//
PhoP_PurR_RbsR	fabZ//oppC//
RelB_RelB-RelE	prpC//uxuR//fadA//
TrpR_TyrR	yecR//fimA//hha//
YefM_YefM-YoeB	citD//uhpT//
