#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	zraR//garR//
ArcA_CRP_GlpR	gadC//
ArcA_CRP_IHF	rrlA//
ArcA_CRP_PuuR	hisJ//citF//soxR//hyfI//dnaA//
ArcA_CRP_RhaS	fimA//
ArcA_CRP_TreR	sbmC//metN//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fecB//lsrK//
ArcA_Cra	xylH//
ArcA_Cra_FNR_H-NS_HypT	nanS//rbsK//
ArcA_CysB_FNR	accC//
ArcA_FNR	nfo//cyaR//pyrC//astE//yiaL//yafQ//paaG//moaD//hyaB//infB//garL//bolA//manZ//chbA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	oppD//
ArcA_FNR_Fis_IHF_NarL	hyaD//astE//araD//nuoA//pck//fecC//fecB//asr//gltA//gcvP//codA//gyrA//hcp//
ArcA_FNR_Fur_IHF	yecR//
ArcA_FNR_IHF	fdnG//caiC//feoC//
ArcA_FNR_IHF_NarL	lldD//prpD//
ArcA_FNR_NarL	nrfA//lpxA//nemR//treB//
ArcA_FNR_PhoP	narG//
ArcA_FNR_PuuR	nrdE//cysI//
ArcA_FadR	ompF//ybjC//galM//
ArcA_FadR_Fis	fdnH//gdhA//
ArcA_Fur_Lrp_ModE	adhE//soxR//gspF//uidA//caiD//
ArcA_GlcC_IHF_PdhR	glyA//moaB//sgbU//fliE//codB//recF//
ArcA_LexA	gspL//trg//
ArcA_LldR	yiaM//rrlE//caiB//
ArcA_NarL	purH//deoC//yhcH//cysB//galT//araF//sdhA//mtr//
ArcA_NtrC_PhoP_RutR	chbB//idnR//qseC//phoQ//rrlE//appA//chbB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	csgF//modA//yjjQ//
ArgP_CRP_FNR_Fur_Nac	manZ//
ArgP_DnaA	rimP//gntX//tauC//
ArgP_Lrp	csgG//cbl//
ArgP_LysR	lsrB//
ArgP_PhoB	soxR//
ArgR_CRP	poxB//
ArgR_CRP_Fis	rplB//fixC//yqjH//oppD//yjiY//araD//xylB//lyxK//
ArgR_Fis_IHF_PepA_PurR_RutR	hyfD//dadX//
ArgR_H-NS_NtrC	pgaB//ilvA//ugpQ//hycI//
ArgR_NtrC	hyfB//metK//rutF//lamB//nrfF//
ArgR_PhoP	aldA//
AscG_CRP	rpoE//yciF//adiC//
AscG_CRP_PhoB_PrpR	entH//
AsnC_MraZ_Nac	metN//
AsnC_Nac	pspD//alaT//
AtoC_IHF	rrsD//psiE//aldB//gadY//
BaeR_CpxR	gspL//sdhC//putP//proW//ascF//purD//spy//
BaeR_CpxR_EvgA	lldR//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nanC//nupC//rrfF//adiA//
BasR_CpxR_PdhR	glcC//nirB//
BasR_Fis	alaU//
BasR_H-NS_IHF_NagC_NanR	ydhX//
BasR_MarA_PutA	chbA//
BasR_PhoP	lsrR//
BasR_QseB	hydN//ahpF//
CRP_CaiF_FNR	feaB//acrF//pdhR//bglG//
CRP_ChbR_NagC	gntK//aspC//ilvG_2//ubiA//hisM//moeA//
CRP_ComR	mazF//
CRP_CpxR	uidB//
CRP_CpxR_CytR	gspF//
CRP_CpxR_CytR_DnaA_IHF	glnG//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	mioC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	napC//asr//pspC//nemR//
CRP_Cra	zraR//fhlA//cyoD//ynfE//dmsA//gspH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gspD//prmC//uxaC//chbF//
CRP_Cra_FNR_PdhR	gabT//
CRP_Cra_Fis	frdB//
CRP_Cra_Fis_GlcC	sucC//
CRP_Cra_Fis_MtlR	gltF//hisM//ppiA//
CRP_Cra_Mlc_NagC	ybfN//araB//glpT//patA//rplD//lldR//
CRP_Cra_PrpR	dmsD//gltB//gutM//nikE//
CRP_CreB_Fis_MalT	hyfD//rbsA//rrlE//
CRP_CsiR_H-NS_Lrp	yjjQ//ilvM//
CRP_CsiR_H-NS_Lrp_Nac	torC//ccmA//treB//
CRP_CspA_Fis	fadB//
CRP_CytR	iclR//ugpQ//fimC//
CRP_CytR_DeoR	dnaN//fliF//
CRP_CytR_DeoR_Fis_ModE	csgG//pspE//ubiA//glpK//
CRP_CytR_Nac	cydA//
CRP_CytR_NsrR	chbF//
CRP_DcuR_FNR_NarL	casE//
CRP_DinJ-YafQ	cysP//
CRP_DnaA_Fis_PurR	fliK//mhpF//
CRP_DpiA_ExuR	gadX//
CRP_DsdC	citX//sucC//
CRP_EbgR	aroL//lysP//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	caiC//frdC//
CRP_ExuR	sra//
CRP_ExuR_FNR	cadB//rbsR//
CRP_ExuR_OxyR_UxuR	malP//idnO//
CRP_ExuR_UxuR	yjjQ//
CRP_FNR	argP//
CRP_FNR_FhlA_HyfR	gntK//paaF//fabZ//gspC//ptsH//citG//ydeO//nuoK//murE//prpR//pstS//glmY//
CRP_FNR_Fis	frdB//fliA//pspD//
CRP_FNR_Fis_GlpR_IHF	melB//mtlD//
CRP_FNR_Fis_H-NS_SlyA	aceA//
CRP_FNR_GcvA_Lrp_PurR	hyfE//napH//mhpF//
CRP_FNR_H-NS_NarL	yiaO//
CRP_FNR_IHF_TdcA_TdcR	feoA//bglJ//fecD//carA//rbfA//sdhB//yeiL//
CRP_FNR_NarL	mntH//hns//sufS//
CRP_FeaR_NsrR	lacY//
CRP_Fis	sgbU//cas1//citC//citC//malF//
CRP_Fis_FlhDC_GalR_GalS	pgk//hyfA//
CRP_Fis_FliZ_IHF_Lrp	aidB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	mpl//dmsA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rcnB//casE//gspO//
CRP_Fis_IHF	folA//rutA//csrC//gatC//nikA//
CRP_Fis_NanR	mtlD//glpA//rpsQ//lpxA//hipA//
CRP_Fis_NtrC	araH//hycH//zwf//
CRP_Fis_XylR	garL//puuP//zinT//
CRP_FlhDC_GalR_GalS	gadY//
CRP_FucR	rplD//slp//caiA//yiaM//gcvP//astD//ydhT//
CRP_Fur	rbfA//zraR//nmpC//lsrC//frdB//ydhX//waaY//degP//fadL//
CRP_Fur_HypT_PdhR	ftsZ//yiaL//garK//fadI//dsdX//
CRP_Fur_OxyR_SoxS	aceA//
CRP_GalR_GalS	lysA//
CRP_GalR_GalS_H-NS_HU	entA//modC//ssuC//lacY//
CRP_GalR_GalS_NagC	cusB//
CRP_GlpR	deoB//pyrD//pspC//
CRP_GntR	glnA//pck//
CRP_GntR_IdnR	paaA//prpD//torA//rpsS//soxS//idnT//fur//
CRP_GntR_IscR	actP//
CRP_GutM_GutR_H-NS	fliG//xylG//citE//cysB//rcnA//aceK//hycA//
CRP_H-NS	fimG//
CRP_H-NS_HipAB_HipB_NtrC	appY//
CRP_H-NS_LacI	narK//gloA//astA//
CRP_H-NS_LeuO	focA//mtlR//caiB//acrA//hcp//gspI//cydC//
CRP_H-NS_MqsA	nupG//
CRP_IHF	ppiA//ilvH//prpC//ygbA//
CRP_IHF_MprA_OmpR	casE//
CRP_IHF_NsrR	dppB//
CRP_IHF_PaaX	purD//garR//paaA//glcC//prpR//uvrA//yciF//fliF//rutB//grcA//manZ//pyrD//
CRP_IHF_UlaR	katG//ccmC//cdd//tauD//gcd//feoB//
CRP_IHF_YiaJ	yjjQ//frdC//hdeD//citX//bglF//prpB//rhaD//cas1//sucA//glgA//
CRP_LexA	sgrT//
CRP_Lrp	fumA//narL//pstB//rplC//
CRP_Lrp_Mlc	hcr//
CRP_Lrp_Nac	gadW//
CRP_LsrR	stpA//fimC//dppF//moaB//hydN//gspL//ydeM//aer//malX//
CRP_MalI	gutQ//bglJ//hybA//
CRP_MalT	hybA//glpT//aceK//
CRP_MalT_PhoP	rutB//
CRP_MelR	rbsA//glnK//ulaG//
CRP_MetJ	rnpB//
CRP_MhpR	fis//evgS//paaG//gatA//ebgA//grcA//
CRP_Mlc	entH//actP//
CRP_ModE	metE//dpiA//lsrG//
CRP_MurR	cyoE//lsrF//
CRP_Nac_NsrR_PhoB	glgA//
CRP_NadR	argP//
CRP_NagC	fliG//ugpA//nuoB//xylA//gntT//dsdA//
CRP_NagC_NanR	metB//waaZ//nanE//
CRP_NagC_PhoP	hemA//
CRP_OxyR	fliZ//
CRP_OxyR_UxuR	metY//
CRP_PhoB	ydeO//dppB//sodB//rbsA//proV//nrfC//
CRP_PhoP	recF//dppD//glgC//
CRP_PutA	rpmC//
CRP_RbsR	fdnH//nemR//dppA//modB//fliH//ssuB//
CRP_RhaR_RhaS	rnpB//yjbE//
CRP_RhaS	nuoB//nrdI//hdeB//
CRP_Rob	bglJ//
CRP_TorR	atoB//fbaA//flhC//
CRP_UhpA_UvrY	glcE//
CRP_UidR_UxuR	lyxK//gatC//hycC//
CRP_UvrY	ybjC//
CRP_YehT	citF//
CRP_ZraR	nrfA//glcB//
CadC_FNR_H-NS_LeuO_MlrA	atoA//
Cbl_CysB	casA//rpsS//acnB//fimH//
Cbl_CysB_FNR_IHF	cas1//hisP//hyaF//frdC//yjbG//
CdaR_FNR_Fis_Fur_H-NS	citC//
CdaR_FNR_Fur_H-NS	rpsJ//agaV//napH//hyfF//
CpxR_CsgD_FliZ	galS//rhaT//fixX//
CpxR_CysB	moeB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	purR//
CpxR_GadE	paaZ//prpE//rbsA//nfuA//
CpxR_H-NS	rrsA//
CpxR_NsrR	dpiB//
CpxR_RcsB	yedX//
CpxR_TyrR	amtB//
Cra_FNR_Fis_Lrp_NarL	sra//
Cra_FNR_Fur_MarA_Rob_SoxS	ynfH//
Cra_FhlA_FlhDC	hycF//
Cra_GntR_KdgR	rrsC//
Cra_GntR_KdgR_PhoB	mraZ//
Cra_MarA_SoxS	gcvH//
Cra_PdeL	citG//
Cra_SgrR	tauA//yqjH//glpF//
Cra_TyrR	narH//
CreB_NagC	lsrA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	iclR//
CsgD_FlhDC	glpA//ldtB//appY//mhpB//sucD//stpA//treB//rseB//sroD//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	rhaR//fpr//
CspA_Fis_GadX_H-NS	ansB//
CueR_FNR_ModE	rcnA//dusB//gcd//katE//rutB//
CusR_PhoB_YedW	citC//cdd//uidA//dppA//hycG//csrC//gspJ//
CysB_H-NS	glnA//fucI//rrfF//metH//nuoG//
CysB_HypT_IHF	modA//
CysB_IHF	fliH//hypC//
CysB_NtrC	fliC//
CysB_PhoP	aldA//
DcuR_FNR_NarL	rrsG//ftsA//oxyR//sgbU//
DinJ-YafQ_LexA	xylR//glnL//
DpiA_H-NS	rpoE//
DsdC_NsrR	pnp//
EvgA_FNR	chbR//ugpQ//
EvgA_H-NS	dppA//actP//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	puuR//
EvgA_H-NS_PhoP_RcsB_YdeO	sufD//
EvgA_PhoP_RcsB_YdeO	lgoR//
ExuR_UxuR	fimA//osmE//
FNR_FhlA_IHF_NsrR	gabP//treB//narK//dcuS//idnR//
FNR_FhlA_NarL_NarP	nuoB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fimG//glgP//mnmG//paaI//rbsK//nuoC//tnaA//
FNR_Fis_IHF_ModE_NarL	hdeA//rutA//ssuA//
FNR_Fis_IHF_NarL	ssrS//
FNR_Fis_IHF_NarL_RstA	betB//rtcA//yafQ//mtr//
FNR_FlhDC	srlR//
FNR_FlhDC_IscR_ModE_NarL_NarP	hupB//rbsC//sodA//aroL//zwf//alaT//glnQ//
FNR_FlhDC_ModE_NarL_NarP	gntP//xylB//rrsB//rpsJ//rrsA//iclR//exuT//pstA//
FNR_Fur	uxaA//dusB//
FNR_Fur_GadE	sufB//
FNR_Fur_GadX_NtrC	dcuB//iraM//
FNR_Fur_H-NS	uhpT//mhpA//argP//fucP//
FNR_Fur_MetR_NsrR	nrfE//
FNR_Fur_Nac_NtrC	metR//
FNR_Fur_NagC	malK//puuE//oppA//
FNR_Fur_OxyR	hisM//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	paaG//
FNR_H-NS	gadW//cas2//
FNR_H-NS_NrdR	feoA//rbsA//
FNR_IHF	mpl//ompF//udp//nuoN//argD//
FNR_IHF_Lrp_YeiL	aslB//
FNR_IHF_NarL_NarP_NorR	melA//katG//
FNR_IHF_PhoB	bglB//adiC//mdh//glcE//glcG//
FNR_MalT	osmE//ssb//
FNR_ModE	cyoE//pspB//
FNR_NarL	gabT//hyaF//gntX//ileV//hypD//gatD//
FNR_NarL_NarP	fepB//cspD//yciE//nikB//zinT//gadC//ydeM//dppB//treB//
FNR_NarL_NarP_NsrR	fdnI//
FNR_NarL_NarP_NsrR_OxyR	dpiA//ydhW//
FNR_NarL_NikR	gspO//puuA//hyfB//rrlB//pgaC//xylG//
FNR_NsrR	gadW//rpsQ//argD//
FNR_OxyR	srlD//
FNR_PurR	pncB//dusB//
FNR_YqjI	aroA//
FabR_FadR	fliI//ulaD//
FadR_IHF	cysG//
FadR_IclR	metK//
FhlA_FlhDC	uspA//
FhlA_IHF_ModE_NsrR	frdA//xylB//ulaB//prfA//truB//dcuC//aceF//aceA//yiaO//
FhlA_IHF_NsrR	uxuB//
Fis_Fur	tdcE//
Fis_H-NS	rrsE//
Fis_H-NS_IHF_MntR_OxyR	mazE//
Fis_H-NS_Lrp	moaD//torC//dcuD//galE//csgD//purN//napF//ssuD//dsdX//sodA//iraM//glcF//ytfE//rprA//aceB//appA//prpD//mraY//rbsK//puuR//ilvI//yiaM//gatC//evgS//
Fis_H-NS_Lrp_StpA	rutD//hyfJ//
Fis_IHF	feoB//
Fis_IHF_NtrC	dcuA//treB//
Fis_IHF_OmpR_RcsB	accB//
Fis_Lrp	dadA//glyA//fixA//gabT//paaC//fadD//rpmC//rrlC//glnL//
Fis_MazE_MazE-MazF	cspE//
Fis_NarL	deoA//
Fis_NarL_NarP_NsrR	rrsG//carB//
Fis_PurR	tpx//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	cusA//gltA//ulaE//
FliZ_RutR	fimF//
Fur_H-NS	garL//nmpC//rplC//uhpT//nrfF//agaA//tdcD//ugpC//mdtB//dsdA//yiaO//codB//moaD//
Fur_IHF_IscR_NsrR_OxyR	bglG//soxR//fliJ//ansB//metE//fhuF//
Fur_IscR_NrdR	astC//ynfH//fimE//aspC//
Fur_MetR	chbB//
Fur_MntR	nikE//
Fur_MntR_OxyR	qseB//
Fur_OxyR	marA//
Fur_PurR	hycB//dmsC//
Fur_RcnR	dmsA//modB//
Fur_RutR	hycG//
Fur_SoxS_Zur	carA//
Fur_YqjI	araD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	rhaS//sdhD//
GadE-RcsB_H-NS	ftnA//
GadE-RcsB_PhoB	napB//
GadE-RcsB_Rob	fliA//
GadE_GadX_H-NS_PhoP_RcsB	lsrF//
GadE_H-NS_Lrp_NsrR	mioC//
GadE_H-NS_MatA	pgaC//
GadE_H-NS_RcsAB	hyfG//
GadE_MarA_PurR	cbl//
GadW_GadX_RcsB	rrsG//
GalR_GalS	adiC//
GlrR_IHF	ssuE//
H-NS_IHF	rpmC//fimG//cyoD//
H-NS_IHF_Lrp	ybdZ//nuoC//fadH//cusS//tyrP//araB//rplW//
H-NS_LeuO	gatZ//feoA//
H-NS_LeuO_RcsB-BglJ_StpA	spy//
H-NS_LrhA_Lrp	ynfE//
H-NS_Lrp	oppB//relB//
H-NS_Lrp_NhaR_RcsB	rpmC//
H-NS_Lrp_StpA	gspF//
H-NS_McbR	galM//marR//fimB//
H-NS_NhaR	argP//citG//
H-NS_OmpR	paaA//
H-NS_PhoB_RcdA_RstA	glnA//
HU_IHF_TrpR_TyrR	sufA//
HU_IHF_TyrR	hycI//
HigA_HigB-HigA	fumA//rseC//
HipAB_HipB_IHF	fes//gspD//
HypT_MetJ	nikA//srlE//focA//
HypT_MetJ_PhoP	acrB//glgP//
IHF_Lrp	cdd//gutM//gntU//hyfG//cyoD//rbfA//lsrD//fliG//
IHF_NsrR	dppF//
IHF_NtrC	fucK//ileT//
IHF_PhoP	prfA//
IHF_PspF	ccmG//rrfH//treC//glnP//nuoL//glnG//
IHF_RcsAB	gutM//cysU//iraM//glpF//
IHF_RtcR	murC//appA//
IHF_TyrR	csgG//
IHF_UlaR	marB//
LexA_MraZ_PdhR	moeB//lsrR//hypB//fur//putP//crr//pspD//prpC//fumB//fliJ//hycB//
LexA_MraZ_PdhR_RcsB_SdiA	fimC//rrsH//
LexA_MraZ_PdhR_SdiA	lldP//
LexA_NagC	idnT//
LexA_RcdA	mdh//
LexA_RcsB-BglJ	fdnG//
MarA_OxyR_Rob_SoxS	araB//nrdH//ptsH//paaD//
MarA_PhoP_Rob_SoxS	gdhA//pdeR//aroG//ilvA//
MarA_Rob_SoxS	chbB//bglB//truB//gcvT//fur//
MarA_SoxS	caiE//zraR//oppB//ftsZ//uxuR//
MetJ_MetR	hycE//hyfJ//
MetJ_OxyR	hyfD//yhcH//
MetR_PurR	feoC//
MraZ_PdhR	fixX//glnP//
Nac_PurR	cbl//gspM//
NarL_TorR	folA//rhaA//ddlB//
NemR_RutR	fepE//ansB//ydeO//
NhaR_OmpR	entA//rbsA//uxaA//aspA//
NorR_NsrR	cysB//
NsrR_PhoB	lsrD//
OxyR_SoxS	araA//
PdhR_PhoP	mtr//
PgrR_TyrR	cydB//
PhoB_PhoP	mhpD//
PhoP_PurR_RbsR	cas2//glgP//
RelB_RelB-RelE	galS//ssuE//ilvI//
TrpR_TyrR	caiT//lsrK//ybjN//
YefM_YefM-YoeB	moaB//ulaC//
