#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltT//gadE//
CadC_FNR_H-NS_LeuO_MlrA	acrE//
Cbl_CysB	gadA//feoC//accC//yiaK//
Cbl_CysB_FNR_IHF	nuoA//paaZ//hyaE//glpX//tnaB//
CdaR_FNR_Fis_Fur_H-NS	csgC//
CdaR_FNR_Fur_H-NS	lpd//entB//araF//cysH//
CpxR_CsgD_FliZ	recF//gdhA//acrZ//
CpxR_CysB	ytfE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	focB//
CpxR_GadE	cysG//prpE//osmC//fucO//
CpxR_H-NS	uvrA//
CpxR_NsrR	hisM//
CpxR_RcsB	exuR//
CpxR_TyrR	rbsK//
Cra_FNR_Fis_Lrp_NarL	tdcF//
Cra_FNR_Fur_MarA_Rob_SoxS	garR//
Cra_FhlA_FlhDC	araB//
Cra_GntR_KdgR	alaV//
Cra_GntR_KdgR_PhoB	cyoE//
Cra_MarA_SoxS	feoB//
Cra_PdeL	baeR//
Cra_SgrR	fliF//hybA//dps//
Cra_TyrR	hisM//
CreB_NagC	rplD//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	narG//
CsgD_FlhDC	aceA//rplB//lldR//dusB//lsrR//galM//cysG//gadF//nanA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	cdd//katE//
CspA_Fis_GadX_H-NS	hybC//
CueR_FNR_ModE	citG//lyxK//ccmG//gspH//cysI//
CusR_PhoB_YedW	aroP//fixA//putP//nirC//gltF//rutD//chbB//
CysB_H-NS	stpA//iclR//nirB//zwf//dsdA//
CysB_HypT_IHF	ulaB//
CysB_IHF	cysU//mtlR//
CysB_NtrC	gspG//
CysB_PhoP	uvrA//
DcuR_FNR_NarL	aroG//lsrC//gcvH//nusA//
DinJ-YafQ_LexA	ssuB//chbA//
DpiA_H-NS	napA//
DsdC_NsrR	uxaA//
EvgA_FNR	tdcC//gspK//
EvgA_H-NS	gatZ//sdhB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hyaC//
EvgA_H-NS_PhoP_RcsB_YdeO	metE//
EvgA_PhoP_RcsB_YdeO	alaV//
ExuR_UxuR	cusF//murQ//
FNR_FhlA_IHF_NsrR	uspA//chbA//glnQ//phoU//tdcA//
FNR_FhlA_NarL_NarP	xylH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	betI//nikA//melA//fucP//caiA//moeA//ydhW//
FNR_Fis_IHF_ModE_NarL	hipB//metB//rbsD//
FNR_Fis_IHF_NarL	hypF//
FNR_Fis_IHF_NarL_RstA	rrfA//zraS//hyfE//ileV//
FNR_FlhDC	acnA//
FNR_FlhDC_IscR_ModE_NarL_NarP	glcD//gatA//nac//narX//osmC//gspD//hycH//
FNR_FlhDC_ModE_NarL_NarP	rplM//waaH//waaH//gspG//pgk//yciE//zwf//baeR//
FNR_Fur	pspD//molR_1//
FNR_Fur_GadE	glgP//
FNR_Fur_GadX_NtrC	cyoB//yefM//
FNR_Fur_H-NS	csgC//stpA//guaA//gabP//
FNR_Fur_MetR_NsrR	metE//
FNR_Fur_Nac_NtrC	ubiA//
FNR_Fur_NagC	nrfD//gadE//deoA//
FNR_Fur_OxyR	cyoE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	hcp//
FNR_H-NS	nanK//evgS//
FNR_H-NS_NrdR	hypD//glgA//
FNR_IHF	rutA//rob//katE//carB//dnaN//
FNR_IHF_Lrp_YeiL	mdtC//
FNR_IHF_NarL_NarP_NorR	nrfF//fadJ//
FNR_IHF_PhoB	hmp//csgC//gcvP//yaiA//fimF//
FNR_MalT	gadX//ulaC//
FNR_ModE	dinI//cysP//
FNR_NarL	ptsH//ftsL//yecR//yjbE//cusA//csgD//
FNR_NarL_NarP	gntK//aceB//dcuC//fabB//galE//hns//ansB//fabB//murQ//
FNR_NarL_NarP_NsrR	gatA//
FNR_NarL_NarP_NsrR_OxyR	gatB//gutM//
FNR_NarL_NikR	dcuS//prpD//citD//cysM//tnaB//pflB//
FNR_NsrR	ftsQ//hybO//glnK//
FNR_OxyR	gspH//
FNR_PurR	ulaG//gnd//
FNR_YqjI	ilvE//
FabR_FadR	gltD//cysI//
FadR_IHF	ackA//
FadR_IclR	nemA//
FhlA_FlhDC	ansB//
FhlA_IHF_ModE_NsrR	rrlA//tdcD//pqiB//galR//astA//rpmC//fdnI//ebgA//ompC//
FhlA_IHF_NsrR	puuD//
Fis_Fur	entD//
Fis_H-NS	uxuB//
Fis_H-NS_IHF_MntR_OxyR	cspE//
Fis_H-NS_Lrp	ilvH//hyfJ//fdnG//hycB//lyxK//acrB//napB//aer//nuoH//spy//hycE//rplV//metK//dctR//gntP//gspH//paaH//nuoH//dpiB//ilvH//glnA//gspC//ydhW//rimP//
Fis_H-NS_Lrp_StpA	yjiY//rhaD//
Fis_IHF	entH//
Fis_IHF_NtrC	aspA//aceE//
Fis_IHF_OmpR_RcsB	mdtF//
Fis_Lrp	nagC//mhpB//pgaC//rpsO//rplM//entD//hisM//mraZ//hydN//
Fis_MazE_MazE-MazF	poxB//
Fis_NarL	nikE//
Fis_NarL_NarP_NsrR	pstB//fnr//
Fis_PurR	napC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	fiu//qseC//phoU//
FliZ_RutR	ackA//
Fur_H-NS	yfaE//pstB//deoD//caiF//glnP//tnaB//torD//mdtE//iclR//mtlR//skp//araH//pspC//
Fur_IHF_IscR_NsrR_OxyR	rrsH//proP//lldD//argP//rbsR//hycE//
Fur_IscR_NrdR	yhiD//metK//carB//hisQ//
Fur_MetR	nrdG//
Fur_MntR	rrsC//
Fur_MntR_OxyR	mdtD//
Fur_OxyR	uidB//
Fur_PurR	rtcA//ogt//
Fur_RcnR	dsdC//ahpF//
Fur_RutR	nrdI//
Fur_SoxS_Zur	lpd//
Fur_YqjI	glgP//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	lldD//fucR//
GadE-RcsB_H-NS	srlB//
GadE-RcsB_PhoB	hybD//
GadE-RcsB_Rob	sulA//
GadE_GadX_H-NS_PhoP_RcsB	ndh//
GadE_H-NS_Lrp_NsrR	fadJ//
GadE_H-NS_MatA	oppD//
GadE_H-NS_RcsAB	rplW//
GadE_MarA_PurR	caiT//
GadW_GadX_RcsB	chiP//
GalR_GalS	alaT//
GlrR_IHF	nuoK//
H-NS_IHF	stpA//ulaC//rhaA//
H-NS_IHF_Lrp	paaF//hha//cyaR//rrfA//hdeB//sucA//ydhV//
H-NS_LeuO	gnd//entD//
H-NS_LeuO_RcsB-BglJ_StpA	fepB//
H-NS_LrhA_Lrp	psiE//
H-NS_Lrp	yiaJ//mazF//
H-NS_Lrp_NhaR_RcsB	lgoR//
H-NS_Lrp_StpA	fliK//
H-NS_McbR	lhgO//garR//acnB//
H-NS_NhaR	carB//argP//
H-NS_OmpR	cspA//
H-NS_PhoB_RcdA_RstA	citC//
HU_IHF_TrpR_TyrR	inaA//
HU_IHF_TyrR	mntH//
HigA_HigB-HigA	srlE//pncB//
HipAB_HipB_IHF	uxuR//feoC//
HypT_MetJ	gltU//cysM//cydD//
HypT_MetJ_PhoP	sdhC//paaD//
IHF_Lrp	ilvD//hycA//hybO//astD//caiC//ssuB//nrfE//astE//
IHF_NsrR	ftsA//
IHF_NtrC	focB//mraZ//
IHF_PhoP	marR//
IHF_PspF	betB//hypF//paaI//ndh//cirA//rutF//
IHF_RcsAB	argP//hemL//pyrD//ascB//
IHF_RtcR	aspA//cysM//
IHF_TyrR	rhaT//
IHF_UlaR	galE//
LexA_MraZ_PdhR	nfsA//bglJ//casD//sufB//ssuB//torC//citC//hyaB//rtcB//sdhB//ssuE//
LexA_MraZ_PdhR_RcsB_SdiA	cusB//rplM//
LexA_MraZ_PdhR_SdiA	citG//
LexA_NagC	tauD//
LexA_RcdA	rhaR//
LexA_RcsB-BglJ	hycC//
MarA_OxyR_Rob_SoxS	paaJ//hybA//yhjA//melR//
MarA_PhoP_Rob_SoxS	paaF//pdhR//katE//mraY//
MarA_Rob_SoxS	molR_1//malK//pstA//moaA//dpiB//
MarA_SoxS	mhpE//sulA//sufD//safA//gltW//
MetJ_MetR	nrfD//nirD//
MetJ_OxyR	chbG//nrdB//
MetR_PurR	dmsB//
MraZ_PdhR	dctA//lsrB//
Nac_PurR	fabA//relA//
NarL_TorR	poxB//rrlC//purD//
NemR_RutR	ssuA//bamE//gadW//
NhaR_OmpR	ascF//ulaF//napD//treB//
NorR_NsrR	acrB//
NsrR_PhoB	ilvL//
OxyR_SoxS	lsrA//
PdhR_PhoP	rtcA//
PgrR_TyrR	araA//
PhoB_PhoP	dcuA//
PhoP_PurR_RbsR	dcuA//gltU//
RelB_RelB-RelE	baeS//cysU//chbR//
TrpR_TyrR	sufA//nuoB//yjcH//
YefM_YefM-YoeB	norR//tyrP//
