#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	lsrF//nagB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fecA//napA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	pheM//
ArcA_CRP_DnaA_FNR	ldtB//
ArcA_CRP_DpiA_FNR_NarL	ygiA//osmC//ygeA//fhuF//fadJ//aceF//
ArcA_CRP_DpiA_FlhDC	galT//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hisJ//nhaA//
ArcA_CRP_FNR	fiu//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yciF//nuoC//hcp//
ArcA_CRP_FNR_Fis_Fur_PdhR	appA//
ArcA_CRP_FNR_Fis_IHF_NarL	ccmG//
ArcA_CRP_FNR_Fur	cadA//fimG//gltD//katG//
ArcA_CRP_FNR_Fur_IHF	dnaA//yiaM//lacZ//fau//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mdtD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glcG//
ArcA_CRP_FNR_IHF_NarL	metN//
ArcA_CRP_FNR_NarL	glpQ//
ArcA_CRP_FadR	hyfF//yjbF//
ArcA_CRP_FadR_HipB	gspK//
ArcA_CRP_FadR_OmpR_PhoP	gcd//
ArcA_CRP_Fis_Mlc_SoxS	hyfA//
ArcA_CRP_Fis_XylR	sufB//
ArcA_CRP_Fur_GadX_MqsA	gabT//
ArcA_CRP_GatR	fabB//ileV//ssuC//gntP//putA//idnK//
ArcA_CRP_GlpR	paaC//
ArcA_CRP_IHF	kbaZ//
ArcA_CRP_PuuR	lpxD//epd//glpX//deoB//citG//
ArcA_CRP_RhaS	ilvG_2//
ArcA_CRP_TreR	csiE//dsdX//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	astA//bhsA//
ArcA_Cra	edd//
ArcA_Cra_FNR_H-NS_HypT	dcuS//gatD//
ArcA_CysB_FNR	fur//
ArcA_FNR	nuoF//chbG//dadA//tdcC//lsrF//mntH//nfo//garR//rhaD//cusB//rrlE//hipA//rrlE//nac//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rrfE//
ArcA_FNR_Fis_IHF_NarL	proV//pflB//feoB//modB//ydeP//yoaG//fiu//malI//cysI//proP//aroP//mhpE//glgP//
ArcA_FNR_Fur_IHF	hmp//
ArcA_FNR_IHF	araG//ompF//torC//
ArcA_FNR_IHF_NarL	nikB//appB//
ArcA_FNR_NarL	sodA//paaH//modA//ydeM//
ArcA_FNR_PhoP	aceF//
ArcA_FNR_PuuR	nrfF//dppA//
ArcA_FadR	rrlA//entB//fecD//
ArcA_FadR_Fis	cusA//tnaA//
ArcA_Fur_Lrp_ModE	pyrC//ilvG_1//nikA//ynfH//hisM//
ArcA_GlcC_IHF_PdhR	nirC//lsrD//fdnI//nrfE//cspD//ybfN//
ArcA_LexA	gltD//mglC//
ArcA_LldR	gatY//fdhF//flgM//
ArcA_NarL	tauD//fadD//hycD//rcnB//yciF//evgA//garL//crr//
ArcA_NtrC_PhoP_RutR	fucR//pstS//hybC//dinI//nac//yjbH//lsrF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pspB//nanE//ssuC//
ArgP_CRP_FNR_Fur_Nac	nfsB//
ArgP_DnaA	puuA//pheM//yjbG//
ArgP_Lrp	asr//fimA//
ArgP_LysR	nanA//
ArgP_PhoB	hypD//
ArgR_CRP	hycG//
ArgR_CRP_Fis	xylB//prpD//fliA//nrdE//ynfF//fadI//ilvA//gntT//
ArgR_Fis_IHF_PepA_PurR_RutR	tauB//csrC//
ArgR_H-NS_NtrC	sufA//codA//casC//fabZ//
ArgR_NtrC	fimH//uxuB//csrC//ccmH//tyrR//
ArgR_PhoP	fnr//
AscG_CRP	acnB//xylB//deoB//
AscG_CRP_PhoB_PrpR	puuD//
AsnC_MraZ_Nac	marR//
AsnC_Nac	ssrS//ssuA//
AtoC_IHF	degP//casA//ycdZ//dcuC//
BaeR_CpxR	nikR//waaZ//tdcG//glpF//pqiB//gltU//mnmG//
BaeR_CpxR_EvgA	gspD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	melR//ilvH//ssuB//hypE//
BasR_CpxR_PdhR	frdB//fixC//
BasR_Fis	ugpE//
BasR_H-NS_IHF_NagC_NanR	sbmC//
BasR_MarA_PutA	hybG//
BasR_PhoP	nupG//
BasR_QseB	mntH//glgP//
CRP_CaiF_FNR	ulaE//deoD//dadA//rbsR//
CRP_ChbR_NagC	inaA//dppD//garK//uidB//nrdF//fepB//
CRP_ComR	nrfG//
CRP_CpxR	cspI//
CRP_CpxR_CytR	citE//
CRP_CpxR_CytR_DnaA_IHF	malP//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ftnA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	aceK//fumB//glcG//tyrR//
CRP_Cra	malI//cydD//ilvE//deoA//yeaR//sucA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nrdA//nirB//csgB//rplP//
CRP_Cra_FNR_PdhR	zinT//
CRP_Cra_Fis	ptsI//
CRP_Cra_Fis_GlcC	araJ//
CRP_Cra_Fis_MtlR	dcuC//uidB//ygiB//
CRP_Cra_Mlc_NagC	rrfD//frdC//cysB//tpx//ccmC//rtcA//
CRP_Cra_PrpR	hybD//glcC//casE//rpsC//
CRP_CreB_Fis_MalT	dctR//entE//fur//
CRP_CsiR_H-NS_Lrp	rpsJ//nrfG//
CRP_CsiR_H-NS_Lrp_Nac	nuoC//csgE//yciF//
CRP_CspA_Fis	glcC//
CRP_CytR	lsrA//fliE//srlA//
CRP_CytR_DeoR	tauC//tdcB//
CRP_CytR_DeoR_Fis_ModE	mazE//metE//malG//narJ//
CRP_CytR_Nac	edd//
CRP_CytR_NsrR	napA//
CRP_DcuR_FNR_NarL	rtcB//
CRP_DinJ-YafQ	baeR//
CRP_DnaA_Fis_PurR	fadH//fimF//
CRP_DpiA_ExuR	sgrT//
CRP_DsdC	gabP//rrsC//
CRP_EbgR	ynfH//ugpQ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ccmB//nuoF//
CRP_ExuR	fis//
CRP_ExuR_FNR	cdd//dmsB//
CRP_ExuR_OxyR_UxuR	tdcA//galR//
CRP_ExuR_UxuR	gntT//
CRP_FNR	rtcA//
CRP_FNR_FhlA_HyfR	rutA//murD//pdhR//glpA//proV//ackA//nemA//uidA//hypE//rutE//yhiM//gadF//
CRP_FNR_Fis	rutB//yiaN//gltD//
CRP_FNR_Fis_GlpR_IHF	paaK//epd//
CRP_FNR_Fis_H-NS_SlyA	rbsC//
CRP_FNR_GcvA_Lrp_PurR	ppiA//argP//mhpF//
CRP_FNR_H-NS_NarL	xylG//
CRP_FNR_IHF_TdcA_TdcR	nikE//ynfH//aroP//grcA//waaZ//fepB//ugpC//
CRP_FNR_NarL	pspC//rbfA//fbaA//
CRP_FeaR_NsrR	rbsD//
CRP_Fis	nuoC//ftsZ//rpsS//aspA//icd//
CRP_Fis_FlhDC_GalR_GalS	hupA//chbG//
CRP_Fis_FliZ_IHF_Lrp	ompW//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	dinI//dcuR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	yeaR//rnpB//fadD//
CRP_Fis_IHF	tsx//leuO//betI//astC//glpT//
CRP_Fis_NanR	iraM//yjbF//iraM//ydeN//gadC//
CRP_Fis_NtrC	dpiA//purN//accC//
CRP_Fis_XylR	dusB//citG//fliF//
CRP_FlhDC_GalR_GalS	frdD//
CRP_FucR	spy//nac//sufS//nfuA//modB//rutG//alaU//
CRP_Fur	yiaJ//metI//cspE//nanK//ftnA//zraR//lpxA//katG//metH//
CRP_Fur_HypT_PdhR	poxB//ccmB//mioC//glnL//dmsB//
CRP_Fur_OxyR_SoxS	poxB//
CRP_GalR_GalS	ygiA//
CRP_GalR_GalS_H-NS_HU	yhiM//nanM//sucB//agaA//
CRP_GalR_GalS_NagC	sgbH//
CRP_GlpR	hyaE//hycG//astC//
CRP_GntR	rpoS//yiaL//
CRP_GntR_IdnR	oppF//mtlD//hyfA//gatA//fliA//malI//ydhT//
CRP_GntR_IscR	aceE//
CRP_GutM_GutR_H-NS	feoA//lsrB//slp//fdnI//hybF//casB//tauD//
CRP_H-NS	napF//
CRP_H-NS_HipAB_HipB_NtrC	atoA//
CRP_H-NS_LacI	proX//ynfH//micF//
CRP_H-NS_LeuO	hemA//rrlA//gadF//glyA//hpt//prpR//fliI//
CRP_H-NS_MqsA	lpxD//
CRP_IHF	prpD//lsrF//narX//rhaS//
CRP_IHF_MprA_OmpR	sdhC//
CRP_IHF_NsrR	caiD//
CRP_IHF_PaaX	lyxK//aroL//nuoN//codB//pheM//galT//serA//sucC//caiD//ppiA//nuoN//sufD//
CRP_IHF_UlaR	fliZ//nemR//sgbU//pspB//lysP//atoD//
CRP_IHF_YiaJ	rseC//gcvT//hns//spy//bglG//relA//sgrT//purN//gspH//uxuR//
CRP_LexA	fucO//
CRP_Lrp	araF//mazE//yjcH//fliH//
CRP_Lrp_Mlc	hycH//
CRP_Lrp_Nac	glcB//
CRP_LsrR	gabP//purA//rrfF//fabB//ydhV//carB//hlyE//deoC//gcvP//
CRP_MalI	xylR//melR//aroL//
CRP_MalT	qseC//bhsA//fliK//
CRP_MalT_PhoP	dsdC//
CRP_MelR	ugpC//serA//galM//
CRP_MetJ	torA//
CRP_MhpR	fimH//casB//relE//mtlR//fadI//aceK//
CRP_Mlc	ybjN//feaR//
CRP_ModE	moaC//nmpC//hyaF//
CRP_MurR	rpsC//tpx//
CRP_Nac_NsrR_PhoB	cysU//
CRP_NadR	cysB//
CRP_NagC	rhaS//gatZ//gyrA//gspK//fadE//ilvE//
CRP_NagC_NanR	metB//oppD//casD//
CRP_NagC_PhoP	slp//
CRP_OxyR	ilvH//
CRP_OxyR_UxuR	cusB//
CRP_PhoB	garL//lrp//araJ//mtlD//garP//rcnB//
CRP_PhoP	nfsA//rrfC//molR_1//
CRP_PutA	ahpC//
CRP_RbsR	fimH//yhiM//proW//mhpE//gadC//aceF//
CRP_RhaR_RhaS	betI//oppA//
CRP_RhaS	sbmC//gatD//nrfB//
CRP_Rob	lsrF//
CRP_TorR	ftsQ//murG//entB//
CRP_UhpA_UvrY	fis//
CRP_UidR_UxuR	sufB//entA//gadY//
CRP_UvrY	paaD//
CRP_YehT	yjjQ//
CRP_ZraR	yqjH//envZ//
CadC_FNR_H-NS_LeuO_MlrA	pspC//
Cbl_CysB	sodB//flgM//malI//cbl//
Cbl_CysB_FNR_IHF	glpK//ccmC//pdhR//metY//gutQ//
CdaR_FNR_Fis_Fur_H-NS	nirC//
CdaR_FNR_Fur_H-NS	hyfG//nanC//yciG//lrp//
CpxR_CsgD_FliZ	fau//hemL//csgA//
CpxR_CysB	aldB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	napH//
CpxR_GadE	hyfE//dcuD//tdcA//pqiA//
CpxR_H-NS	gspI//
CpxR_NsrR	udp//
CpxR_RcsB	ssuC//
CpxR_TyrR	gatY//
Cra_FNR_Fis_Lrp_NarL	carA//
Cra_FNR_Fur_MarA_Rob_SoxS	tam//
Cra_FhlA_FlhDC	gltU//
Cra_GntR_KdgR	entC//
Cra_GntR_KdgR_PhoB	frdB//
Cra_MarA_SoxS	hdeB//
Cra_PdeL	ssrS//
Cra_SgrR	mglB//dcuB//napF//
Cra_TyrR	lysP//
CreB_NagC	cspD//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	prfA//
CsgD_FlhDC	dnaA//glgP//purD//cydB//mioC//sufB//prmC//srlA//exuT//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	norR//exuR//
CspA_Fis_GadX_H-NS	fliE//
CueR_FNR_ModE	hemL//tdcG//uspA//moeA//nrfE//
CusR_PhoB_YedW	nfuA//fixX//soxS//ftsQ//proX//yeiL//gltW//
CysB_H-NS	iraM//caiF//rrfH//actP//nrdH//
CysB_HypT_IHF	aroG//
CysB_IHF	glnK//rplM//
CysB_NtrC	mdtC//
CysB_PhoP	hyfR//
DcuR_FNR_NarL	ldtB//citF//hcr//gntK//
DinJ-YafQ_LexA	tnaC//tnaB//
DpiA_H-NS	hycD//
DsdC_NsrR	alaU//
EvgA_FNR	nrdE//manY//
EvgA_H-NS	cusS//metN//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	gatY//
EvgA_H-NS_PhoP_RcsB_YdeO	glpQ//
EvgA_PhoP_RcsB_YdeO	ygbA//
ExuR_UxuR	gspM//mioC//
FNR_FhlA_IHF_NsrR	citX//hypC//ydeN//metQ//ssuD//
FNR_FhlA_NarL_NarP	ugpA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	treC//tnaC//araH//hycA//glcB//yhjA//nrdD//
FNR_Fis_IHF_ModE_NarL	tomB//paaJ//glgP//
FNR_Fis_IHF_NarL	moaA//
FNR_Fis_IHF_NarL_RstA	caiE//ybdN//gspF//xylB//
FNR_FlhDC	rcnB//
FNR_FlhDC_IscR_ModE_NarL_NarP	grcA//moeA//narJ//mhpD//hybE//hybE//metR//
FNR_FlhDC_ModE_NarL_NarP	moaC//narH//fucR//ebgC//srlA//yiaK//dinJ//ilvD//
FNR_Fur	tdcD//napF//
FNR_Fur_GadE	aspA//
FNR_Fur_GadX_NtrC	rprA//dctR//
FNR_Fur_H-NS	moaB//nrfE//ssb//asr//
FNR_Fur_MetR_NsrR	rrlD//
FNR_Fur_Nac_NtrC	mntH//
FNR_Fur_NagC	lsrD//uxuB//phoQ//
FNR_Fur_OxyR	galT//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	mdtD//
FNR_H-NS	malP//cysM//
FNR_H-NS_NrdR	narJ//ftsW//
FNR_IHF	sucD//rplW//citE//argD//glgA//
FNR_IHF_Lrp_YeiL	hycE//
FNR_IHF_NarL_NarP_NorR	csgC//hybA//
FNR_IHF_PhoB	pgaA//nanK//rrfD//gatY//dcuB//
FNR_MalT	tauD//yjcH//
FNR_ModE	ydeN//grcA//
FNR_NarL	ynfK//hupA//tdcG//galE//rhaA//rrfF//
FNR_NarL_NarP	yecR//hybB//rutA//fliA//pstB//rhaR//nrfD//malS//cusB//
FNR_NarL_NarP_NsrR	lamB//
FNR_NarL_NarP_NsrR_OxyR	dadX//cyaR//
FNR_NarL_NikR	csgA//metN//rpoH//mazG//rhaB//fdnI//
FNR_NsrR	glcF//metY//rutB//
FNR_OxyR	rnpB//
FNR_PurR	hyfD//garP//
FNR_YqjI	leuO//
FabR_FadR	csgG//yiaK//
FadR_IHF	hcp//
FadR_IclR	hybA//
FhlA_FlhDC	pgaA//
FhlA_IHF_ModE_NsrR	ftsA//entA//safA//cusF//murF//cyoD//casD//rimK//nhaR//
FhlA_IHF_NsrR	murE//
Fis_Fur	araA//
Fis_H-NS	rutD//
Fis_H-NS_IHF_MntR_OxyR	nuoC//
Fis_H-NS_Lrp	murG//yrbL//ppiA//uxaB//ilvG_2//ftsW//ydhT//nagE//idnD//hybA//cydB//uidB//tam//guaB//dcuA//fliI//pgaB//trg//hycA//melA//sra//exuR//dppC//lacA//
Fis_H-NS_Lrp_StpA	murC//hipA//
Fis_IHF	dcuR//
Fis_IHF_NtrC	ebgA//puuP//
Fis_IHF_OmpR_RcsB	csgE//
Fis_Lrp	cusA//gntK//accB//codA//soxS//fepB//gatA//fepA//ytfE//
Fis_MazE_MazE-MazF	srlD//
Fis_NarL	rhaB//
Fis_NarL_NarP_NsrR	sufE//gspH//
Fis_PurR	dcuA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	paaH//gadX//entH//
FliZ_RutR	paaK//
Fur_H-NS	cysM//hybD//gadW//norR//deoD//aroM//hisQ//galP//prpE//ptsG//csgA//nuoJ//yciG//
Fur_IHF_IscR_NsrR_OxyR	astE//serA//ilvL//lysP//glcG//acnA//
Fur_IscR_NrdR	hyfG//dmsC//moaB//nac//
Fur_MetR	hdeD//
Fur_MntR	hypD//
Fur_MntR_OxyR	fliZ//
Fur_OxyR	sgbU//
Fur_PurR	rbsR//csgA//
Fur_RcnR	cysG//uxuR//
Fur_RutR	gspL//
Fur_SoxS_Zur	yeiL//
Fur_YqjI	xylA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	cspI//ompR//
GadE-RcsB_H-NS	acrB//
GadE-RcsB_PhoB	fecE//
GadE-RcsB_Rob	yecR//
GadE_GadX_H-NS_PhoP_RcsB	cydD//
GadE_H-NS_Lrp_NsrR	dmsB//
GadE_H-NS_MatA	bamE//
GadE_H-NS_RcsAB	gntU//
GadE_MarA_PurR	ftsL//
GadW_GadX_RcsB	entC//
GalR_GalS	hlyE//
GlrR_IHF	bhsA//
H-NS_IHF	hyaA//frdD//rseB//
H-NS_IHF_Lrp	atoE//yciF//rpmC//hyfE//gspC//sgbU//mazG//
H-NS_LeuO	melA//cydD//
H-NS_LeuO_RcsB-BglJ_StpA	tdcB//
H-NS_LrhA_Lrp	fadI//
H-NS_Lrp	dppC//gltD//
H-NS_Lrp_NhaR_RcsB	pstA//
H-NS_Lrp_StpA	nrdH//
H-NS_McbR	dnaN//moaA//hlyE//
H-NS_NhaR	mtlR//soxR//
H-NS_OmpR	flhD//
H-NS_PhoB_RcdA_RstA	sufE//
HU_IHF_TrpR_TyrR	nac//
HU_IHF_TyrR	fdnG//
HigA_HigB-HigA	dcuB//murQ//
HipAB_HipB_IHF	gspG//hisP//
HypT_MetJ	ascB//chbC//pqiB//
HypT_MetJ_PhoP	fepE//putP//
IHF_Lrp	hyaC//cydC//fecA//murC//moaD//caiE//cyoE//garK//
IHF_NsrR	ydhX//
IHF_NtrC	hypC//dcuD//
IHF_PhoP	lsrD//
IHF_PspF	manX//ynfE//dctA//marA//acrB//pncB//
IHF_RcsAB	tolC//gutQ//uxaA//gabD//
IHF_RtcR	aspA//uidC//
IHF_TyrR	tdcE//
IHF_UlaR	nikD//
LexA_MraZ_PdhR	rbsA//rrsB//glcF//mhpD//nanS//relB//caiD//csgF//fucA//rpsJ//fliG//
LexA_MraZ_PdhR_RcsB_SdiA	betB//rplB//
LexA_MraZ_PdhR_SdiA	narJ//
LexA_NagC	feaB//
LexA_RcdA	yhcH//
LexA_RcsB-BglJ	evgS//
MarA_OxyR_Rob_SoxS	pqiA//gspD//sufE//lrp//
MarA_PhoP_Rob_SoxS	tdcB//iraM//fucU//glcC//
MarA_Rob_SoxS	yjiY//tdcE//nrdH//xylA//ileV//
MarA_SoxS	hycF//gltF//ccmH//rpoE//nrfF//
MetJ_MetR	alaT//ddlB//
MetJ_OxyR	nmpC//gspC//
MetR_PurR	fliZ//
MraZ_PdhR	gyrA//pgaD//
Nac_PurR	yafQ//ydeO//
NarL_TorR	crr//epd//galR//
NemR_RutR	paaH//cytR//lpxD//
NhaR_OmpR	ilvH//rprA//fucP//safA//
NorR_NsrR	frdC//
NsrR_PhoB	gatA//
OxyR_SoxS	nrdF//
PdhR_PhoP	aceK//
PgrR_TyrR	feaR//
PhoB_PhoP	rutA//
PhoP_PurR_RbsR	fis//fucO//
RelB_RelB-RelE	fes//rseC//hypA//
TrpR_TyrR	tam//srlB//moaE//
YefM_YefM-YoeB	hypA//rseB//
