#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rcsA//gatD//
ArcA_CRP_FNR_Fis_IHF_NarL	appA//
ArcA_CRP_FNR_Fur	rrsH//focA//nanM//serC//
ArcA_CRP_FNR_Fur_IHF	hisJ//ilvA//yjbF//tpx//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	nanC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	frdB//
ArcA_CRP_FNR_IHF_NarL	rhaR//
ArcA_CRP_FNR_NarL	ulaF//
ArcA_CRP_FadR	srlB//sgbU//
ArcA_CRP_FadR_HipB	nhaA//
ArcA_CRP_FadR_OmpR_PhoP	aceA//
ArcA_CRP_Fis_Mlc_SoxS	nanK//
ArcA_CRP_Fis_XylR	citX//
ArcA_CRP_Fur_GadX_MqsA	gspI//
ArcA_CRP_GatR	dcuS//fbaA//pgaC//ybfN//katE//umpH//
ArcA_CRP_GlpR	ybdZ//
ArcA_CRP_IHF	ptsG//
ArcA_CRP_PuuR	entA//argP//hybG//metK//patA//
ArcA_CRP_RhaS	gltV//
ArcA_CRP_TreR	pspB//caiF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fabZ//hyaA//
ArcA_Cra	galR//
ArcA_Cra_FNR_H-NS_HypT	narJ//nagE//
ArcA_CysB_FNR	ssuB//
ArcA_FNR	yoeB//phoU//ileT//manZ//yjbF//fecE//appA//paaE//purR//treB//modA//rbsC//entB//ftsW//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	norW//
ArcA_FNR_Fis_IHF_NarL	ydeM//sucA//gutM//nfuA//ygbA//gatD//citG//soxR//csiD//hypF//sucB//rhaR//ompR//
ArcA_FNR_Fur_IHF	yafQ//
ArcA_FNR_IHF	feoC//yfaE//pspD//
ArcA_FNR_IHF_NarL	rplB//rplP//
ArcA_FNR_NarL	fadB//deoA//hybE//proW//
ArcA_FNR_PhoP	fecA//
ArcA_FNR_PuuR	phoU//metI//
ArcA_FadR	moaB//yjcH//fliG//
ArcA_FadR_Fis	glpA//glcD//
ArcA_Fur_Lrp_ModE	mglC//accB//relE//lhgO//acrE//
ArcA_GlcC_IHF_PdhR	pspC//appC//hyfR//puuC//paaG//pstA//
ArcA_LexA	rpmC//rimP//
ArcA_LldR	gnd//oppB//osmY//
ArcA_NarL	codB//fixB//rrfF//atoB//idnR//purA//ynfK//crr//
ArcA_NtrC_PhoP_RutR	malG//fecB//nuoL//glpB//yefM//cysA//tdcA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lpd//ydhY//pdeR//
ArgP_CRP_FNR_Fur_Nac	gntU//
ArgP_DnaA	cirA//pflB//glpC//
ArgP_Lrp	norR//chiP//
ArgP_LysR	pgaA//
ArgP_PhoB	cysU//
ArgR_CRP	rimK//
ArgR_CRP_Fis	araB//emrY//ulaD//prmC//gnd//dppB//nrfF//chbG//
ArgR_Fis_IHF_PepA_PurR_RutR	glnA//uxuR//
ArgR_H-NS_NtrC	dadX//srlA//argP//hpt//
ArgR_NtrC	cadC//narJ//appB//idnO//lsrA//
ArgR_PhoP	prfA//
AscG_CRP	soxS//glpT//fadB//
AscG_CRP_PhoB_PrpR	kbaZ//
AsnC_MraZ_Nac	pncB//
AsnC_Nac	nac//ilvL//
AtoC_IHF	hycH//fumC//folA//cysM//
BaeR_CpxR	rcnB//fabA//ssuB//betT//ptsH//aroG//hisJ//
BaeR_CpxR_EvgA	deoB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	dadA//hyfD//aldB//sdhB//
BasR_CpxR_PdhR	paaZ//cyoD//
BasR_Fis	rrsH//
BasR_H-NS_IHF_NagC_NanR	ynfK//
BasR_MarA_PutA	paaF//
BasR_PhoP	slp//
BasR_QseB	yciE//napF//
CRP_CaiF_FNR	tam//tyrP//mhpD//tolC//
CRP_ChbR_NagC	treC//nemR//qseB//pdhR//napD//baeR//
CRP_ComR	modC//
CRP_CpxR	rutD//
CRP_CpxR_CytR	ydeN//
CRP_CpxR_CytR_DnaA_IHF	hycE//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ynfE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	puuA//fixA//mglA//pspE//
CRP_Cra	malM//tsx//dgcZ//tdcA//lyxK//gspI//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	araG//phoU//fliJ//glnD//
CRP_Cra_FNR_PdhR	gntT//
CRP_Cra_Fis	ugpA//
CRP_Cra_Fis_GlcC	ileV//
CRP_Cra_Fis_MtlR	mhpB//csgF//rrsA//
CRP_Cra_Mlc_NagC	rbsD//fixC//caiC//alaT//yjbH//oppA//
CRP_Cra_PrpR	nuoL//cas1//hypE//nikA//
CRP_CreB_Fis_MalT	nrdD//ileT//gadA//
CRP_CsiR_H-NS_Lrp	atoA//nfsB//
CRP_CsiR_H-NS_Lrp_Nac	adiA//nuoB//nuoG//
CRP_CspA_Fis	katE//
CRP_CytR	nupC//rpmC//rpsQ//
CRP_CytR_DeoR	eda//rrsH//
CRP_CytR_DeoR_Fis_ModE	moaE//qseB//hybF//relB//
CRP_CytR_Nac	malI//
CRP_CytR_NsrR	spy//
CRP_DcuR_FNR_NarL	hydN//
CRP_DinJ-YafQ	baeR//
CRP_DnaA_Fis_PurR	paaD//fixA//
CRP_DpiA_ExuR	paaH//
CRP_DsdC	hycA//betT//
CRP_EbgR	cydA//nagB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ompR//ppiA//
CRP_ExuR	hyfR//
CRP_ExuR_FNR	xylB//ybjN//
CRP_ExuR_OxyR_UxuR	casA//iraM//
CRP_ExuR_UxuR	sufS//
CRP_FNR	rrsD//
CRP_FNR_FhlA_HyfR	entC//garR//fucI//ynfF//narG//astB//pflB//hupA//aceF//galM//rbsK//glnA//
CRP_FNR_Fis	rrfG//mtr//malI//
CRP_FNR_Fis_GlpR_IHF	glmY//mazE//
CRP_FNR_Fis_H-NS_SlyA	gadF//
CRP_FNR_GcvA_Lrp_PurR	sdhC//mazF//fumC//
CRP_FNR_H-NS_NarL	galS//
CRP_FNR_IHF_TdcA_TdcR	araF//evgS//gadF//pspG//paaJ//casB//araH//
CRP_FNR_NarL	uhpT//lgoR//agaV//
CRP_FeaR_NsrR	malE//
CRP_Fis	dsdC//acrA//yiaO//mraZ//ahpC//
CRP_Fis_FlhDC_GalR_GalS	nupG//mntH//
CRP_Fis_FliZ_IHF_Lrp	bglG//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	malK//aslB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	aroA//rplT//evgS//
CRP_Fis_IHF	chbB//aer//nanT//glpA//hipA//
CRP_Fis_NanR	puuR//fucI//metK//deoA//ptsH//
CRP_Fis_NtrC	caiT//glnA//hydN//
CRP_Fis_XylR	mdtE//rbsK//csrC//
CRP_FlhDC_GalR_GalS	pstA//
CRP_FucR	slp//tyrR//oppB//acrF//hycC//nuoL//yjcH//
CRP_Fur	hipA//hisQ//ompF//gabP//fucU//entD//fepA//citX//araE//
CRP_Fur_HypT_PdhR	pstA//yjbF//rpsJ//malY//amtB//
CRP_Fur_OxyR_SoxS	ygeA//
CRP_GalR_GalS	rpsJ//
CRP_GalR_GalS_H-NS_HU	ulaB//tdcE//molR_1//rplB//
CRP_GalR_GalS_NagC	hycE//
CRP_GlpR	nanK//tdcB//moeA//
CRP_GntR	astB//ilvI//
CRP_GntR_IdnR	rpoS//torA//betI//narK//gltU//qseC//glgP//
CRP_GntR_IscR	aslB//
CRP_GutM_GutR_H-NS	sucC//rplV//cas2//fimG//nrdF//hyfH//nuoC//
CRP_H-NS	rpsS//
CRP_H-NS_HipAB_HipB_NtrC	astB//
CRP_H-NS_LacI	pdhR//bolA//nrdB//
CRP_H-NS_LeuO	hypF//yhjA//fabZ//ftsW//caiC//metN//sdhB//
CRP_H-NS_MqsA	soxR//
CRP_IHF	fimA//rplM//yoaG//gntX//
CRP_IHF_MprA_OmpR	dsdC//
CRP_IHF_NsrR	poxB//
CRP_IHF_PaaX	yecR//betI//citF//mraY//marB//rob//araH//cydC//asr//fdnG//nuoH//stpA//
CRP_IHF_UlaR	csgG//thrV//ynfE//nanC//soxR//aceK//
CRP_IHF_YiaJ	araD//ogt//casB//glnG//cspD//nuoA//araH//casA//ynfH//waaY//
CRP_LexA	ulaF//
CRP_Lrp	garL//uof//rrsA//acrB//
CRP_Lrp_Mlc	csgA//
CRP_Lrp_Nac	glpQ//
CRP_LsrR	bglF//murG//ilvG_2//ascF//hybC//feoC//hybE//puuA//entD//
CRP_MalI	yeiL//gcd//glnP//
CRP_MalT	dmsB//pheM//cysJ//
CRP_MalT_PhoP	hdeD//
CRP_MelR	ydeM//yjiY//rrlH//
CRP_MetJ	galR//
CRP_MhpR	tauC//ccmH//ccmA//gltB//galP//csgC//
CRP_Mlc	acs//torD//
CRP_ModE	rhaD//acrB//uidC//
CRP_MurR	hdeD//dctA//
CRP_Nac_NsrR_PhoB	yedX//
CRP_NadR	ilvH//
CRP_NagC	mazE//idnD//gltF//dsdC//rutB//relA//
CRP_NagC_NanR	ascB//fimA//rrfB//
CRP_NagC_PhoP	fbaA//
CRP_OxyR	acrF//
CRP_OxyR_UxuR	lamB//
CRP_PhoB	iraM//dcuR//fau//hyaA//fliI//ygiC//
CRP_PhoP	nanT//lsrC//caiF//
CRP_PutA	fliI//
CRP_RbsR	hypA//melA//glmY//prpR//araD//flgN//
CRP_RhaR_RhaS	nanK//acrF//
CRP_RhaS	nagB//aldB//rbsB//
CRP_Rob	cspI//
CRP_TorR	nikC//ybiT//glgA//
CRP_UhpA_UvrY	gloA//
CRP_UidR_UxuR	sufB//hyaB//codA//
CRP_UvrY	ulaE//
CRP_YehT	rplD//
CRP_ZraR	yiaN//ulaE//
CadC_FNR_H-NS_LeuO_MlrA	sgbE//
Cbl_CysB	araC//nanA//modB//ptsH//
Cbl_CysB_FNR_IHF	mdtA//fabA//paaI//gadC//hypE//
CdaR_FNR_Fis_Fur_H-NS	rseC//
CdaR_FNR_Fur_H-NS	gatA//uspA//sulA//bglB//
CpxR_CsgD_FliZ	emrY//citD//eda//
CpxR_CysB	glpA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ybiT//
CpxR_GadE	gutQ//narH//pdhR//paaE//
CpxR_H-NS	nikA//
CpxR_NsrR	yhcH//
CpxR_RcsB	xylR//
CpxR_TyrR	cysI//
Cra_FNR_Fis_Lrp_NarL	cyoE//
Cra_FNR_Fur_MarA_Rob_SoxS	gltF//
Cra_FhlA_FlhDC	gltD//
Cra_GntR_KdgR	hybA//
Cra_GntR_KdgR_PhoB	uxaB//
Cra_MarA_SoxS	fimI//
Cra_PdeL	rutA//
Cra_SgrR	ppiA//pqiB//sodA//
Cra_TyrR	ccmB//
CreB_NagC	mnmG//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tolC//
CsgD_FlhDC	osmC//csrC//caiF//nikB//gadW//caiB//dnaN//metY//xylF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	aldB//gutM//
CspA_Fis_GadX_H-NS	rutD//
CueR_FNR_ModE	rrsE//accC//fimB//lsrD//narK//
CusR_PhoB_YedW	hupB//mtlD//yrbL//lysA//pgk//crp//murC//
CysB_H-NS	entE//ssuB//rutF//aroM//pflB//
CysB_HypT_IHF	rhaT//
CysB_IHF	ftnA//rbsR//
CysB_NtrC	nhaA//
CysB_PhoP	yeiL//
DcuR_FNR_NarL	hyaC//cysA//cydC//rseA//
DinJ-YafQ_LexA	gatD//prpR//
DpiA_H-NS	aroG//
DsdC_NsrR	prpD//
EvgA_FNR	casA//entH//
EvgA_H-NS	fixB//hlyE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hypD//
EvgA_H-NS_PhoP_RcsB_YdeO	mntH//
EvgA_PhoP_RcsB_YdeO	rrlC//
ExuR_UxuR	accC//deoB//
FNR_FhlA_IHF_NsrR	sodB//prfA//pstA//casE//relB//
FNR_FhlA_NarL_NarP	citE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	sroD//mdtA//rtcA//mhpA//dcuD//bhsA//lacY//
FNR_Fis_IHF_ModE_NarL	hycC//relE//ptsH//
FNR_Fis_IHF_NarL	bglF//
FNR_Fis_IHF_NarL_RstA	nrfB//fixA//ccmC//malK//
FNR_FlhDC	nfuA//
FNR_FlhDC_IscR_ModE_NarL_NarP	puuC//paaF//torC//astD//gcvP//frdB//fadB//
FNR_FlhDC_ModE_NarL_NarP	gltA//hybE//nanS//ugpB//leuO//nanA//citE//malQ//
FNR_Fur	metQ//fepA//
FNR_Fur_GadE	ubiC//
FNR_Fur_GadX_NtrC	emrK//cysA//
FNR_Fur_H-NS	gltB//fucA//purA//csgC//
FNR_Fur_MetR_NsrR	entE//
FNR_Fur_Nac_NtrC	fepA//
FNR_Fur_NagC	paaK//gnd//hyfR//
FNR_Fur_OxyR	lyxK//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	araH//
FNR_H-NS	rhaT//cspD//
FNR_H-NS_NrdR	yhiM//cysA//
FNR_IHF	crr//hycG//tsx//fixA//gadY//
FNR_IHF_Lrp_YeiL	rrsC//
FNR_IHF_NarL_NarP_NorR	nrfD//dcuA//
FNR_IHF_PhoB	ydeN//rrsE//rbsA//rrfA//hupB//
FNR_MalT	bglJ//ycdZ//
FNR_ModE	yfaE//xylH//
FNR_NarL	rsmH//gspG//rrfA//nac//deoC//ompR//
FNR_NarL_NarP	nhaA//ileT//rprA//flgN//rcsA//pheM//dusB//nrdA//folA//
FNR_NarL_NarP_NsrR	cysP//
FNR_NarL_NarP_NsrR_OxyR	lysA//ppiA//
FNR_NarL_NikR	lacY//nuoK//ansB//prpR//ynfG//cysB//
FNR_NsrR	nrfE//aceF//hypA//
FNR_OxyR	gspH//
FNR_PurR	rutA//aldA//
FNR_YqjI	cysA//
FabR_FadR	ulaC//oppF//
FadR_IHF	ptsI//
FadR_IclR	lrp//
FhlA_FlhDC	fiu//
FhlA_IHF_ModE_NsrR	ynfG//tdcF//dppA//nrfE//astD//purR//fimD//rplW//acrZ//
FhlA_IHF_NsrR	fadA//
Fis_Fur	cadB//
Fis_H-NS	aceF//
Fis_H-NS_IHF_MntR_OxyR	dppB//
Fis_H-NS_Lrp	ftnA//ulaB//nikE//yjbH//caiF//metQ//yefM//fumC//cysG//deoC//ccmB//ybiT//rrlB//paaB//narI//hycG//paaE//nikB//tyrR//poxB//fecB//aldB//glcG//idnD//
Fis_H-NS_Lrp_StpA	hycB//caiA//
Fis_IHF	ydeN//
Fis_IHF_NtrC	rhaD//asr//
Fis_IHF_OmpR_RcsB	purM//
Fis_Lrp	ilvG_1//rpmC//caiB//nikR//tsx//crp//fucO//sroD//alaU//
Fis_MazE_MazE-MazF	pstS//
Fis_NarL	tauD//
Fis_NarL_NarP_NsrR	cydB//fadL//
Fis_PurR	srlA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nrfF//gspJ//aroM//
FliZ_RutR	purH//
Fur_H-NS	frdA//dcuR//ynfF//fimB//nrfD//fiu//lsrF//pheM//yhiM//agaA//lsrG//zinT//ccmE//
Fur_IHF_IscR_NsrR_OxyR	fliC//torA//torD//fumB//ftsQ//ssb//
Fur_IscR_NrdR	nfsA//pspA//chbB//hyfD//
Fur_MetR	purA//
Fur_MntR	hisM//
Fur_MntR_OxyR	dppC//
Fur_OxyR	oppC//
Fur_PurR	deoC//cysG//
Fur_RcnR	ydhU//puuC//
Fur_RutR	entE//
Fur_SoxS_Zur	lpd//
Fur_YqjI	narH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	focA//hybB//
GadE-RcsB_H-NS	ahpF//
GadE-RcsB_PhoB	nhaA//
GadE-RcsB_Rob	ilvG_1//
GadE_GadX_H-NS_PhoP_RcsB	hcp//
GadE_H-NS_Lrp_NsrR	rnpB//
GadE_H-NS_MatA	yhiD//
GadE_H-NS_RcsAB	fecD//
GadE_MarA_PurR	mntP//
GadW_GadX_RcsB	sodA//
GalR_GalS	yiaN//
GlrR_IHF	hcp//
H-NS_IHF	iclR//bglB//gatC//
H-NS_IHF_Lrp	rseB//hypB//fadI//rbsR//pck//malY//pqiA//
H-NS_LeuO	ndh//paaJ//
H-NS_LeuO_RcsB-BglJ_StpA	dcuS//
H-NS_LrhA_Lrp	srlA//
H-NS_Lrp	fimB//nikC//
H-NS_Lrp_NhaR_RcsB	paaD//
H-NS_Lrp_StpA	dgcZ//
H-NS_McbR	nuoL//higA//araC//
H-NS_NhaR	uxuR//metY//
H-NS_OmpR	cydA//
H-NS_PhoB_RcdA_RstA	astA//
HU_IHF_TrpR_TyrR	fucA//
HU_IHF_TyrR	sgbH//
HigA_HigB-HigA	entA//glcD//
HipAB_HipB_IHF	pnp//gatA//
HypT_MetJ	cysU//aceE//yiaN//
HypT_MetJ_PhoP	feaB//yoaG//
IHF_Lrp	glpT//bglJ//nrdI//tpx//micF//srlA//dadA//yoaG//
IHF_NsrR	ssb//
IHF_NtrC	citE//qseB//
IHF_PhoP	glnL//
IHF_PspF	nirB//csgB//purR//ftsI//hyfE//yoaG//
IHF_RcsAB	entH//paaJ//murQ//uxaA//
IHF_RtcR	nuoJ//rpmC//
IHF_TyrR	cusB//
IHF_UlaR	qseB//
LexA_MraZ_PdhR	accC//cspE//katE//paaZ//fadJ//rnpB//astE//melA//relA//ytfE//dsdA//
LexA_MraZ_PdhR_RcsB_SdiA	creD//argG//
LexA_MraZ_PdhR_SdiA	nikC//
LexA_NagC	cirA//
LexA_RcdA	yqjI//
LexA_RcsB-BglJ	qseB//
MarA_OxyR_Rob_SoxS	lsrB//yeiL//ccmA//udp//
MarA_PhoP_Rob_SoxS	glnP//cyaR//hemL//fumC//
MarA_Rob_SoxS	citX//hyfG//nanE//fucR//lacA//
MarA_SoxS	csgE//tauA//ilvX//ssrS//pck//
MetJ_MetR	aceK//narG//
MetJ_OxyR	hycB//aspC//
MetR_PurR	ugpQ//
MraZ_PdhR	hybE//relE//
Nac_PurR	malX//mioC//
NarL_TorR	acrE//rplB//bglG//
NemR_RutR	purR//chbR//gatA//
NhaR_OmpR	glnD//lldP//yrbL//glnK//
NorR_NsrR	uvrA//
NsrR_PhoB	sufS//
OxyR_SoxS	idnO//
PdhR_PhoP	dsdX//
PgrR_TyrR	fdnG//
PhoB_PhoP	nuoF//
PhoP_PurR_RbsR	soxS//mioC//
RelB_RelB-RelE	rrsA//moaE//gatD//
TrpR_TyrR	ubiA//ftsA//ileT//
YefM_YefM-YoeB	galM//hyaE//
