#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltF//dpiA//
ArcA_CRP_FNR_Fur_IHF	hyfA//marB//frdC//atoE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dnaA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cbl//
ArcA_CRP_FNR_IHF_NarL	tdcC//
ArcA_CRP_FNR_NarL	malM//
ArcA_CRP_FadR	gatB//ydhV//
ArcA_CRP_FadR_HipB	flhD//
ArcA_CRP_FadR_OmpR_PhoP	higA//
ArcA_CRP_Fis_Mlc_SoxS	purD//
ArcA_CRP_Fis_XylR	ldtB//
ArcA_CRP_Fur_GadX_MqsA	casA//
ArcA_CRP_GatR	gcd//mhpF//yafQ//caiF//srlD//aroL//
ArcA_CRP_GlpR	paaB//
ArcA_CRP_IHF	dcuA//
ArcA_CRP_PuuR	nuoB//ycdZ//ydhU//glnA//iraM//
ArcA_CRP_RhaS	ftsI//
ArcA_CRP_TreR	fimE//aceE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	iraM//cyoA//
ArcA_Cra	nrfG//
ArcA_Cra_FNR_H-NS_HypT	dsdA//casB//
ArcA_CysB_FNR	lacZ//
ArcA_FNR	fabB//purD//gadE//mazF//uxaB//proV//alaV//frdA//gntK//cusA//glnG//fliE//amtB//rrfD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rcnA//
ArcA_FNR_Fis_IHF_NarL	lhgO//entE//edd//gspC//pspD//ugpA//murP//hyfH//argP//feoC//nikE//argP//yiaJ//
ArcA_FNR_Fur_IHF	ahpF//
ArcA_FNR_IHF	csgE//rbsK//adiC//
ArcA_FNR_IHF_NarL	gadF//eda//
ArcA_FNR_NarL	bglJ//nuoH//gadC//gspD//
ArcA_FNR_PhoP	rbfA//
ArcA_FNR_PuuR	rcnB//sdhD//
ArcA_FadR	cyoD//guaA//rplP//
ArcA_FadR_Fis	yfaE//ssuD//
ArcA_Fur_Lrp_ModE	nrfB//rrlG//yhjA//hyaF//malX//
ArcA_GlcC_IHF_PdhR	glcD//moaC//fimE//appB//pspC//nagC//
ArcA_LexA	rsmH//pstS//
ArcA_LldR	galS//pspC//aer//
ArcA_NarL	hybA//dmsA//paaD//carA//prpE//narI//gabD//glcE//
ArcA_NtrC_PhoP_RutR	gadA//sufC//entC//dppF//ilvL//tsx//gutM//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	sgbE//mhpB//creD//
ArgP_CRP_FNR_Fur_Nac	mnmG//
ArgP_DnaA	fliF//ddlB//zraR//
ArgP_Lrp	fumA//glcD//
ArgP_LysR	yaiA//
ArgP_PhoB	lsrF//
ArgR_CRP	ybiT//
ArgR_CRP_Fis	rpoH//adhE//cirA//fur//fadB//cusR//glpA//malY//
ArgR_Fis_IHF_PepA_PurR_RutR	umpH//glyA//
ArgR_H-NS_NtrC	sdhC//ycdZ//nanS//ftnA//
ArgR_NtrC	lacZ//ebgA//csgB//nupC//cbl//
ArgR_PhoP	moaD//
AscG_CRP	moaC//caiA//lysA//
AscG_CRP_PhoB_PrpR	melR//
AsnC_MraZ_Nac	frdA//
AsnC_Nac	gadC//rplC//
AtoC_IHF	rplD//rpoE//murG//proW//
BaeR_CpxR	hybC//lacY//hyfH//dmsA//fixX//dadA//yjbG//
BaeR_CpxR_EvgA	malE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	sroD//osmY//yoaG//lacZ//
BasR_CpxR_PdhR	prpE//exuT//
BasR_Fis	ompC//
BasR_H-NS_IHF_NagC_NanR	asr//
BasR_MarA_PutA	argO//
BasR_PhoP	srlD//
BasR_QseB	glnD//dmsB//
CRP_CaiF_FNR	ulaD//katG//thrV//cyoE//
CRP_ChbR_NagC	hlyE//uxaB//yeaR//glcA//hupA//malK//
CRP_ComR	spy//
CRP_CpxR	gspH//
CRP_CpxR_CytR	ynfG//
CRP_CpxR_CytR_DnaA_IHF	mioC//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	citG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	lpxC//hlyE//fhuF//torC//
CRP_Cra	uspA//tomB//nupC//infB//aroM//csgB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	flgN//sdhB//rplT//gabP//
CRP_Cra_FNR_PdhR	hipA//
CRP_Cra_Fis	idnR//
CRP_Cra_Fis_GlcC	hyfB//
CRP_Cra_Fis_MtlR	ompW//dppD//hha//
CRP_Cra_Mlc_NagC	putP//ulaC//rrlA//rhaB//ldtB//ssuE//
CRP_Cra_PrpR	cspA//acrZ//ccmH//gltF//
CRP_CreB_Fis_MalT	hybF//nagA//rbsK//
CRP_CsiR_H-NS_Lrp	mhpD//cusA//
CRP_CsiR_H-NS_Lrp_Nac	fiu//narL//nirD//
CRP_CspA_Fis	hyfD//
CRP_CytR	uxuR//ybfN//gatZ//
CRP_CytR_DeoR	lhgO//ugpQ//
CRP_CytR_DeoR_Fis_ModE	fliA//csgB//nagE//gspC//
CRP_CytR_Nac	ynfH//
CRP_CytR_NsrR	mtlA//
CRP_DcuR_FNR_NarL	mazG//
CRP_DinJ-YafQ	nrfE//
CRP_DnaA_Fis_PurR	adiA//nrfA//
CRP_DpiA_ExuR	manX//
CRP_DsdC	gltV//gatY//
CRP_EbgR	casB//serC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sucB//ydhY//
CRP_ExuR	gadY//
CRP_ExuR_FNR	cysU//araD//
CRP_ExuR_OxyR_UxuR	hypE//prmC//
CRP_ExuR_UxuR	ilvL//
CRP_FNR	rrsE//
CRP_FNR_FhlA_HyfR	asnC//norW//rbsB//dcuC//iraM//hyaF//cspI//glpF//rplD//rrsE//gadA//fucR//
CRP_FNR_Fis	cadA//ilvH//yeiL//
CRP_FNR_Fis_GlpR_IHF	fliH//bglB//
CRP_FNR_Fis_H-NS_SlyA	malQ//
CRP_FNR_GcvA_Lrp_PurR	fliF//hlyE//purA//
CRP_FNR_H-NS_NarL	galP//
CRP_FNR_IHF_TdcA_TdcR	rbsR//araD//pqiB//glcE//glcC//emrY//sdhD//
CRP_FNR_NarL	pstS//manX//waaH//
CRP_FeaR_NsrR	pstC//
CRP_Fis	betA//csgC//mhpF//galR//pflB//
CRP_Fis_FlhDC_GalR_GalS	rpmC//oppB//
CRP_Fis_FliZ_IHF_Lrp	ynfK//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	entB//rrfF//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fes//higA//alaU//
CRP_Fis_IHF	dgcZ//rhaA//cadA//paaC//napG//
CRP_Fis_NanR	ygiA//cydC//cysM//nrdB//ssuC//
CRP_Fis_NtrC	tdcE//safA//hcp//
CRP_Fis_XylR	gcvP//gcvT//aroP//
CRP_FlhDC_GalR_GalS	cspI//
CRP_FucR	acrE//napA//malG//hyfG//fhlA//paaC//moaE//
CRP_Fur	mhpA//acrD//ycdZ//cydD//rimP//fucO//hycH//xylH//argD//
CRP_Fur_HypT_PdhR	nagA//narG//rutG//icd//rrfB//
CRP_Fur_OxyR_SoxS	napC//
CRP_GalR_GalS	paaC//
CRP_GalR_GalS_H-NS_HU	nikE//oppF//metR//ybjN//
CRP_GalR_GalS_NagC	gltF//
CRP_GlpR	aroM//dnaA//osmE//
CRP_GntR	murE//zraR//
CRP_GntR_IdnR	glnD//sdhA//pnp//metI//gspE//fimI//oppA//
CRP_GntR_IscR	marB//
CRP_GutM_GutR_H-NS	rplD//rrsA//xylH//malM//fimG//umpH//rpoE//
CRP_H-NS	fucO//
CRP_H-NS_HipAB_HipB_NtrC	gntP//
CRP_H-NS_LacI	dadX//cysH//mazF//
CRP_H-NS_LeuO	rrlE//nhaA//cydD//nikR//citE//nagC//gadE//
CRP_H-NS_MqsA	moaC//
CRP_IHF	moeB//uof//rimK//skp//
CRP_IHF_MprA_OmpR	pdeL//
CRP_IHF_NsrR	gutQ//
CRP_IHF_PaaX	tpx//nfsA//adiC//araA//nuoB//nikD//oppF//rrsG//dmsA//paaD//ompC//ydhT//
CRP_IHF_UlaR	hyfF//pstC//rrlA//nfsB//rrfC//metB//
CRP_IHF_YiaJ	yqjH//folA//rbsK//hybD//pdeR//cadB//yjbE//fecA//yhjA//gspD//
CRP_LexA	bglJ//
CRP_Lrp	bglB//hycG//pdeL//rrlC//
CRP_Lrp_Mlc	adiC//
CRP_Lrp_Nac	aroG//
CRP_LsrR	feoC//nirB//fur//rhaS//cusF//dcuB//dcuC//rrfB//gadW//
CRP_MalI	mdtF//ansB//pgk//
CRP_MalT	cspI//mdtF//rhaD//
CRP_MalT_PhoP	lacZ//
CRP_MelR	glnP//hypF//asnC//
CRP_MetJ	rpmC//
CRP_MhpR	mtlD//napD//fimA//metQ//paaD//sgrT//
CRP_Mlc	rpoS//glnH//
CRP_ModE	hybC//rpsS//glcG//
CRP_MurR	hypF//glcC//
CRP_Nac_NsrR_PhoB	yjcH//
CRP_NadR	csgG//
CRP_NagC	hyfD//rutG//dcuA//oxyR//fumA//guaB//
CRP_NagC_NanR	sgrT//gadC//torC//
CRP_NagC_PhoP	rplC//
CRP_OxyR	rrfA//
CRP_OxyR_UxuR	mglB//
CRP_PhoB	evgA//gdhA//cspD//nfsA//gatA//feoA//
CRP_PhoP	murD//nanT//modB//
CRP_PutA	pheM//
CRP_RbsR	fimE//caiC//dcuR//cspI//ftnA//cusR//
CRP_RhaR_RhaS	gyrA//prpD//
CRP_RhaS	idnK//ydeN//moaE//
CRP_Rob	yhjA//
CRP_TorR	murC//araG//hns//
CRP_UhpA_UvrY	ugpB//
CRP_UidR_UxuR	yhjA//hybA//entB//
CRP_UvrY	glcA//
CRP_YehT	ydeN//
CRP_ZraR	dctA//iclR//
CadC_FNR_H-NS_LeuO_MlrA	mtlA//
Cbl_CysB	araC//serC//glnK//gatD//
Cbl_CysB_FNR_IHF	sufD//dcuC//hyaE//purD//bamE//
CdaR_FNR_Fis_Fur_H-NS	purA//
CdaR_FNR_Fur_H-NS	ygiA//cysA//rplD//pgk//
CpxR_CsgD_FliZ	napF//caiA//osmC//
CpxR_CysB	sucD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rrfC//
CpxR_GadE	hyfE//rrsB//melR//glpC//
CpxR_H-NS	galM//
CpxR_NsrR	ileV//
CpxR_RcsB	prfA//
CpxR_TyrR	hydN//
Cra_FNR_Fis_Lrp_NarL	mhpB//
Cra_FNR_Fur_MarA_Rob_SoxS	dpiA//
Cra_FhlA_FlhDC	lldD//
Cra_GntR_KdgR	uidB//
Cra_GntR_KdgR_PhoB	yeiL//
Cra_MarA_SoxS	mntH//
Cra_PdeL	hdeA//
Cra_SgrR	araC//hybF//rutC//
Cra_TyrR	lrp//
CreB_NagC	rseC//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	astB//
CsgD_FlhDC	idnT//feoA//fur//dpiA//acnB//nusA//araJ//nikR//iclR//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	oppC//hybE//
CspA_Fis_GadX_H-NS	oppA//
CueR_FNR_ModE	fliZ//exuT//sgbU//ydhX//ubiA//
CusR_PhoB_YedW	aroG//idnD//purN//mglA//gspC//mhpF//gabP//
CysB_H-NS	caiA//fadJ//dps//rrlG//uxuB//
CysB_HypT_IHF	baeS//
CysB_IHF	fucR//manX//
CysB_NtrC	dmsC//
CysB_PhoP	slp//
DcuR_FNR_NarL	glmY//rrlA//fecB//ybdN//
DinJ-YafQ_LexA	acrE//gntU//
DpiA_H-NS	ackA//
DsdC_NsrR	ptsG//
EvgA_FNR	galE//lsrB//
EvgA_H-NS	aceB//mhpC//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	mazF//
EvgA_H-NS_PhoP_RcsB_YdeO	cusA//
EvgA_PhoP_RcsB_YdeO	tdcE//
ExuR_UxuR	argP//rrlA//
FNR_FhlA_IHF_NsrR	cysM//tauA//hyfG//cspA//hyaC//
FNR_FhlA_NarL_NarP	hycD//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fadE//fau//hypC//phoU//fecD//hybB//manZ//
FNR_Fis_IHF_ModE_NarL	nuoK//hycD//lpxA//
FNR_Fis_IHF_NarL	yjbG//
FNR_Fis_IHF_NarL_RstA	fliI//mtlR//fadI//codB//
FNR_FlhDC	alaT//
FNR_FlhDC_IscR_ModE_NarL_NarP	nikE//yjjQ//hybC//acrA//mdtF//yhiM//rrsA//
FNR_FlhDC_ModE_NarL_NarP	nuoH//rrfG//ulaA//infB//yaiA//iraM//flgM//atoE//
FNR_Fur	cysM//pstC//
FNR_Fur_GadE	nuoC//
FNR_Fur_GadX_NtrC	garK//acnA//
FNR_Fur_H-NS	glpD//hyaE//pgaD//acrD//
FNR_Fur_MetR_NsrR	dmsC//
FNR_Fur_Nac_NtrC	cas2//
FNR_Fur_NagC	rutG//hydN//ilvL//
FNR_Fur_OxyR	fliC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rutE//
FNR_H-NS	alaV//prfA//
FNR_H-NS_NrdR	hypD//fumA//
FNR_IHF	pspC//molR_1//lysA//hyfC//fiu//
FNR_IHF_Lrp_YeiL	caiA//
FNR_IHF_NarL_NarP_NorR	sufE//gspK//
FNR_IHF_PhoB	pspB//cysB//rutD//aer//dsdC//
FNR_MalT	yeaR//yciE//
FNR_ModE	dppC//rplC//
FNR_NarL	nanS//gspE//focA//idnR//acs//inaA//
FNR_NarL_NarP	yiaJ//pgk//rcnA//frdA//aroP//rbsC//srlR//garR//cbl//
FNR_NarL_NarP_NsrR	lsrK//
FNR_NarL_NarP_NsrR_OxyR	glnK//degP//
FNR_NarL_NikR	deoD//araG//deoC//glnG//fliK//pspA//
FNR_NsrR	aceB//citG//nrfD//
FNR_OxyR	glnD//
FNR_PurR	cyaR//lpxA//
FNR_YqjI	spy//
FabR_FadR	bglB//modB//
FadR_IHF	prpB//
FadR_IclR	tdcF//
FhlA_FlhDC	galE//
FhlA_IHF_ModE_NsrR	rrlE//betA//atoD//flgN//dppB//betI//ssuE//ulaG//atoE//
FhlA_IHF_NsrR	emrY//
Fis_Fur	glmY//
Fis_H-NS	tolC//
Fis_H-NS_IHF_MntR_OxyR	rrsE//
Fis_H-NS_Lrp	nagE//paaK//rrfB//cas2//dpiA//hha//ccmC//gntP//lsrK//glpX//sbmC//rpsI//araF//adhE//napH//ulaB//citC//acrD//casA//flgM//fepA//sufA//citF//gatA//
Fis_H-NS_Lrp_StpA	gabP//fimE//
Fis_IHF	ynfG//
Fis_IHF_NtrC	appY//glcB//
Fis_IHF_OmpR_RcsB	fnr//
Fis_Lrp	csrC//fliI//ilvE//appX//puuD//pspA//purA//mnmG//uof//
Fis_MazE_MazE-MazF	gntX//
Fis_NarL	pstA//
Fis_NarL_NarP_NsrR	torC//pck//
Fis_PurR	alaT//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	uxaA//nuoL//fes//
FliZ_RutR	treC//
Fur_H-NS	ftsI//fumB//nrdI//yjbE//pqiA//ydeN//glpF//csiD//ldtB//lacA//fixC//ftsQ//nikA//
Fur_IHF_IscR_NsrR_OxyR	hupA//qseB//mazE//pqiA//marA//acnA//
Fur_IscR_NrdR	rplV//osmC//molR_1//hokD//
Fur_MetR	patA//
Fur_MntR	nrfA//
Fur_MntR_OxyR	melR//
Fur_OxyR	chbA//
Fur_PurR	paaZ//rhaD//
Fur_RcnR	ybdN//rplV//
Fur_RutR	higA//
Fur_SoxS_Zur	fimG//
Fur_YqjI	fliH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	yhiM//mdh//
GadE-RcsB_H-NS	accC//
GadE-RcsB_PhoB	entE//
GadE-RcsB_Rob	gcvT//
GadE_GadX_H-NS_PhoP_RcsB	rplW//
GadE_H-NS_Lrp_NsrR	purD//
GadE_H-NS_MatA	fucR//
GadE_H-NS_RcsAB	inaA//
GadE_MarA_PurR	sucA//
GadW_GadX_RcsB	yiaM//
GalR_GalS	bolA//
GlrR_IHF	cusB//
H-NS_IHF	nrdB//fucR//citX//
H-NS_IHF_Lrp	gatA//accC//appB//rseB//nanS//glgC//araJ//
H-NS_LeuO	moaA//araH//
H-NS_LeuO_RcsB-BglJ_StpA	hyfD//
H-NS_LrhA_Lrp	fliZ//
H-NS_Lrp	araD//hupA//
H-NS_Lrp_NhaR_RcsB	cirA//
H-NS_Lrp_StpA	hdeD//
H-NS_McbR	casE//glcB//feoC//
H-NS_NhaR	galE//xylG//
H-NS_OmpR	casE//
H-NS_PhoB_RcdA_RstA	exuR//
HU_IHF_TrpR_TyrR	moeA//
HU_IHF_TyrR	hyfI//
HigA_HigB-HigA	dppC//rrfB//
HipAB_HipB_IHF	appB//nrdB//
HypT_MetJ	chbR//rrsB//pqiB//
HypT_MetJ_PhoP	ulaG//gspO//
IHF_Lrp	atoD//manX//pnp//dnaA//casE//appB//degP//malY//
IHF_NsrR	nikB//
IHF_NtrC	ulaG//paaF//
IHF_PhoP	feoC//
IHF_PspF	fliC//tdcE//serC//rsmH//modB//sgbE//
IHF_RcsAB	crp//dmsB//bglG//rbsB//
IHF_RtcR	gadX//lacZ//
IHF_TyrR	rplM//
IHF_UlaR	rhaA//
LexA_MraZ_PdhR	nemR//pdhR//mtlR//rhaR//lacZ//amtB//ydhY//tdcF//glpX//hyaE//gadE//
LexA_MraZ_PdhR_RcsB_SdiA	metL//gntK//
LexA_MraZ_PdhR_SdiA	ugpE//
LexA_NagC	tauC//
LexA_RcdA	mdtB//
LexA_RcsB-BglJ	dsdX//
MarA_OxyR_Rob_SoxS	yeiL//purR//ugpQ//proX//
MarA_PhoP_Rob_SoxS	rplT//cytR//ugpC//dsdC//
MarA_Rob_SoxS	ccmD//dcuS//pgaC//chbB//rpsS//
MarA_SoxS	ytfE//rhaB//folA//xylA//fecE//
MetJ_MetR	cydC//rpsQ//
MetJ_OxyR	actP//ebgC//
MetR_PurR	atoD//
MraZ_PdhR	hisM//mhpA//
Nac_PurR	hemL//pdeL//
NarL_TorR	sroD//galS//cysA//
NemR_RutR	mdtF//rutG//csgE//
NhaR_OmpR	yrbL//ilvG_1//hycF//rrlG//
NorR_NsrR	cadB//
NsrR_PhoB	cspI//
OxyR_SoxS	acrB//
PdhR_PhoP	acrZ//
PgrR_TyrR	fecA//
PhoB_PhoP	lpd//
PhoP_PurR_RbsR	nagA//marA//
RelB_RelB-RelE	ynfF//glnP//hybF//
TrpR_TyrR	prpD//prpD//ptsH//
YefM_YefM-YoeB	gutM//frdA//
