#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrlH//gntT//
ArcA_Fur_Lrp_ModE	soxS//relE//citE//hybD//fbaA//
ArcA_GlcC_IHF_PdhR	glpA//casC//hypD//malI//nagB//murC//
ArcA_LexA	casD//uhpT//
ArcA_LldR	fabA//lamB//yjbE//
ArcA_NarL	sra//aceB//ilvG_2//lacA//rimP//rrfE//gspL//mdtF//
ArcA_NtrC_PhoP_RutR	poxB//tyrR//ldtB//patA//nfo//tdcF//nhaR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	treC//hdeB//prpR//
ArgP_CRP_FNR_Fur_Nac	aldA//
ArgP_DnaA	yoeB//ydeP//sodB//
ArgP_Lrp	rbsK//aer//
ArgP_LysR	rsmH//
ArgP_PhoB	fliH//
ArgR_CRP	skp//
ArgR_CRP_Fis	rhaT//uspA//metY//fliF//carA//nuoL//adiC//astA//
ArgR_Fis_IHF_PepA_PurR_RutR	cusC//yiaJ//
ArgR_H-NS_NtrC	bglG//sulA//caiC//katE//
ArgR_NtrC	rplP//deoD//treB//aslB//fliA//
ArgR_PhoP	pstA//
AscG_CRP	gadF//sucA//rnpB//
AscG_CRP_PhoB_PrpR	lpxA//
AsnC_MraZ_Nac	nuoG//
AsnC_Nac	lldD//chbA//
AtoC_IHF	rpsJ//nuoI//nanA//csgE//
BaeR_CpxR	entC//rutD//tnaA//ubiC//fimA//sucD//gcvT//
BaeR_CpxR_EvgA	pflB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	yhcH//putP//metY//rrlA//
BasR_CpxR_PdhR	glpB//rpoE//
BasR_Fis	ptsI//
BasR_H-NS_IHF_NagC_NanR	hyaF//
BasR_MarA_PutA	fur//
BasR_PhoP	lldR//
BasR_QseB	rrfB//fecA//
CRP_CaiF_FNR	gspD//gadF//dppD//tsx//
CRP_ChbR_NagC	malX//acs//gntT//astB//cysG//phoU//
CRP_ComR	gnd//
CRP_CpxR	mazF//
CRP_CpxR_CytR	ybjN//
CRP_CpxR_CytR_DnaA_IHF	murQ//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ftnA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fadD//relA//fliE//cysJ//
CRP_Cra	appB//sufD//rrlE//tomB//treB//rrfD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	malY//araF//appB//rtcA//
CRP_Cra_FNR_PdhR	truB//
CRP_Cra_Fis	dnaN//
CRP_Cra_Fis_GlcC	hybO//
CRP_Cra_Fis_MtlR	fimB//tcyJ//gloA//
CRP_Cra_Mlc_NagC	gabD//ydhX//codB//atoD//ahpC//dnaN//
CRP_Cra_PrpR	pyrD//ccmG//glpT//metB//
CRP_CreB_Fis_MalT	cysM//oppF//skp//
CRP_CsiR_H-NS_Lrp	ulaD//dppA//
CRP_CsiR_H-NS_Lrp_Nac	hyaA//yhiM//hypC//
CRP_CspA_Fis	yjbF//
CRP_CytR	lpxD//caiF//fiu//
CRP_CytR_DeoR	tnaB//rrlD//
CRP_CytR_DeoR_Fis_ModE	dcuD//lsrB//dusB//aldA//
CRP_CytR_Nac	sodB//
CRP_CytR_NsrR	pspG//
CRP_DcuR_FNR_NarL	lsrK//
CRP_DinJ-YafQ	metN//
CRP_DnaA_Fis_PurR	ftsW//yedX//
CRP_DpiA_ExuR	ygiC//
CRP_DsdC	icd//ssuB//
CRP_EbgR	rhaT//dcuB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glgA//hypA//
CRP_ExuR	rob//
CRP_ExuR_FNR	caiT//nikD//
CRP_ExuR_OxyR_UxuR	acs//fadI//
CRP_ExuR_UxuR	betA//
CRP_FNR	sgbU//
CRP_FNR_FhlA_HyfR	gutQ//ynfH//argP//pspG//treC//malG//gspD//ccmG//ccmD//glcG//mdtB//mnmG//
CRP_FNR_Fis	frdC//mnmG//aceB//
CRP_FNR_Fis_GlpR_IHF	glpC//ydhT//
CRP_FNR_Fis_H-NS_SlyA	moaC//
CRP_FNR_GcvA_Lrp_PurR	gutM//nhaR//ugpB//
CRP_FNR_H-NS_NarL	uspA//
CRP_FNR_IHF_TdcA_TdcR	mdtF//uspA//garL//crp//rrlC//malM//appA//
CRP_FNR_NarL	marR//rplT//emrY//
CRP_FeaR_NsrR	uxaA//
CRP_Fis	cusF//inaA//malY//nikE//hyfJ//
CRP_Fis_FlhDC_GalR_GalS	adiC//rrlC//
CRP_Fis_FliZ_IHF_Lrp	ilvH//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	narX//rhaS//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	purM//leuO//pstA//
CRP_Fis_IHF	araE//focA//araD//glcG//yhjA//
CRP_Fis_NanR	ydeN//ilvA//rcnA//deoC//bglB//
CRP_Fis_NtrC	cytR//gntP//citX//
CRP_Fis_XylR	ogt//dppB//rrlH//
CRP_FlhDC_GalR_GalS	cyoB//
CRP_FucR	appB//mhpE//hupA//caiC//ybfN//fabZ//araH//
CRP_Fur	glnH//nusA//uxaC//tauA//marA//nemA//napD//lrp//fpr//
CRP_Fur_HypT_PdhR	gnd//dcuS//hipB//pspC//rtcB//
CRP_Fur_OxyR_SoxS	oppB//
CRP_GalR_GalS	aspA//
CRP_GalR_GalS_H-NS_HU	gadY//ccmF//betI//melB//
CRP_GalR_GalS_NagC	rutG//
CRP_GlpR	fimF//rrfE//mioC//
CRP_GntR	osmE//nupG//
CRP_GntR_IdnR	rcsA//waaH//ilvG_2//hipA//pnp//nuoC//exuR//
CRP_GntR_IscR	mhpA//
CRP_GutM_GutR_H-NS	casC//glpD//sucD//paaG//cdd//oppA//aspA//
CRP_H-NS	emrK//
CRP_H-NS_HipAB_HipB_NtrC	hybG//
CRP_H-NS_LacI	prpR//mhpE//nuoC//
CRP_H-NS_LeuO	ftsA//napB//cusF//ssuB//napD//caiA//gntT//
CRP_H-NS_MqsA	tnaA//
CRP_IHF	ygeA//alaU//gltD//cysB//
CRP_IHF_MprA_OmpR	nuoC//
CRP_IHF_NsrR	rutA//
CRP_IHF_PaaX	murC//appA//dmsB//atoD//purH//chbC//glmY//nemA//chbG//fepE//glpT//rutD//
CRP_IHF_UlaR	rhaD//hyfC//cspA//rrsH//glpT//nrfC//
CRP_IHF_YiaJ	casE//gabD//hupB//malK//malP//flhD//ydhV//glpQ//waaH//araB//
CRP_LexA	ftsZ//
CRP_Lrp	rpsS//bolA//rseA//yoeB//
CRP_Lrp_Mlc	gltT//
CRP_Lrp_Nac	paaJ//
CRP_LsrR	gatB//srlA//mdtE//rpoE//srlD//nfo//dinI//grcA//gadC//
CRP_MalI	entC//poxB//fimB//
CRP_MalT	sgbH//citE//narG//
CRP_MalT_PhoP	hycA//
CRP_MelR	bglF//ccmH//rrfF//
CRP_MetJ	rrfE//
CRP_MhpR	mlc//xylF//aroL//gltB//hisP//pstB//
CRP_Mlc	yhcH//ddlB//
CRP_ModE	hyfD//inaA//udp//
CRP_MurR	sbmC//glcB//
CRP_Nac_NsrR_PhoB	proP//
CRP_NadR	yjbF//
CRP_NagC	hycG//gltA//fucU//galT//pdeR//rbsB//
CRP_NagC_NanR	sroD//mhpF//nagC//
CRP_NagC_PhoP	oppD//
CRP_OxyR	paaF//
CRP_OxyR_UxuR	tauC//
CRP_PhoB	gspL//ybfN//mioC//baeR//cysH//fabB//
CRP_PhoP	gspJ//tdcD//rprA//
CRP_PutA	ilvI//
CRP_RbsR	ubiC//fur//dnaA//puuD//fumA//ydeO//
CRP_RhaR_RhaS	argO//bglB//
CRP_RhaS	fumB//creD//araD//
CRP_Rob	tauA//
CRP_TorR	slp//paaK//moaA//
CRP_UhpA_UvrY	mpl//
CRP_UidR_UxuR	fimA//puuA//oppF//
CRP_UvrY	nupG//
CRP_YehT	araE//
CRP_ZraR	dctR//dppC//
CadC_FNR_H-NS_LeuO_MlrA	flhC//
Cbl_CysB	fdnH//truB//mnmG//ulaF//
Cbl_CysB_FNR_IHF	metH//ftsZ//csgB//feaR//cirA//
CdaR_FNR_Fis_Fur_H-NS	ynfK//
CdaR_FNR_Fur_H-NS	tauD//ileV//ptsI//alaV//
CpxR_CsgD_FliZ	cusS//rrsA//narX//
CpxR_CysB	gltU//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	xylF//
CpxR_GadE	zraS//hcr//mazG//slp//
CpxR_H-NS	ftsI//
CpxR_NsrR	entH//
CpxR_RcsB	nanM//
CpxR_TyrR	safA//
Cra_FNR_Fis_Lrp_NarL	cysP//
Cra_FNR_Fur_MarA_Rob_SoxS	tcyJ//
Cra_FhlA_FlhDC	lpxC//
Cra_GntR_KdgR	rplB//
Cra_GntR_KdgR_PhoB	gspF//
Cra_MarA_SoxS	chbB//
Cra_PdeL	glgC//
Cra_SgrR	rplT//codA//csiD//
Cra_TyrR	phoU//
CreB_NagC	nfo//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rrlC//
CsgD_FlhDC	sgbH//hisQ//fliE//chbF//ldtB//uxuR//glgA//dinJ//sgrT//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	fimH//uxuA//
CspA_Fis_GadX_H-NS	mglC//
CueR_FNR_ModE	ilvG_1//dsdX//aroG//rsmH//nac//
CusR_PhoB_YedW	tyrP//cusS//serC//narI//metY//atoA//ccmG//
CysB_H-NS	cadA//sucA//deoD//pncB//glnG//
CysB_HypT_IHF	moaC//
CysB_IHF	cyaR//glnQ//
CysB_NtrC	hyaA//
CysB_PhoP	hyaB//
DcuR_FNR_NarL	cusF//sodB//adhE//garR//
DinJ-YafQ_LexA	metE//fdhF//
DpiA_H-NS	manX//
DsdC_NsrR	glpA//
EvgA_FNR	pyrD//lsrR//
EvgA_H-NS	cusR//nuoH//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rplW//
EvgA_H-NS_PhoP_RcsB_YdeO	mdtB//
EvgA_PhoP_RcsB_YdeO	pgaB//
ExuR_UxuR	nfsA//dppB//
FNR_FhlA_IHF_NsrR	manY//sgbE//rbsA//yoeB//deoD//
FNR_FhlA_NarL_NarP	cyoB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glnH//cyoD//entC//hybC//hupA//hybB//rprA//
FNR_Fis_IHF_ModE_NarL	nrdI//narJ//aceK//
FNR_Fis_IHF_NarL	bhsA//
FNR_Fis_IHF_NarL_RstA	ssrS//citD//yciF//frdD//
FNR_FlhDC	feoB//
FNR_FlhDC_IscR_ModE_NarL_NarP	phoQ//puuB//rsmH//cydC//gspO//ybdZ//rhaR//
FNR_FlhDC_ModE_NarL_NarP	sroD//hycH//casE//xylA//mazE//cspD//glnQ//astC//
FNR_Fur	nuoA//mdh//
FNR_Fur_GadE	ilvD//
FNR_Fur_GadX_NtrC	aspA//codA//
FNR_Fur_H-NS	napC//evgS//exuR//kbaZ//
FNR_Fur_MetR_NsrR	udp//
FNR_Fur_Nac_NtrC	nrfE//
FNR_Fur_NagC	gltT//feoB//chiP//
FNR_Fur_OxyR	nikB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	actP//
FNR_H-NS	gyrA//gatD//
FNR_H-NS_NrdR	uxuA//gdhA//
FNR_IHF	yeiL//rbfA//evgA//hyfB//malE//
FNR_IHF_Lrp_YeiL	dcuD//
FNR_IHF_NarL_NarP_NorR	sgrS//glpX//
FNR_IHF_PhoB	fucP//rutD//cspA//nuoC//bglJ//
FNR_MalT	fimH//ybdZ//
FNR_ModE	rplW//cspE//
FNR_NarL	rrsB//nmpC//argD//csiE//mtlR//mdtD//
FNR_NarL_NarP	icd//tdcC//nupG//fepA//gspM//cbl//hyfA//yiaJ//katG//
FNR_NarL_NarP_NsrR	betI//
FNR_NarL_NarP_NsrR_OxyR	safA//murE//
FNR_NarL_NikR	aslB//puuA//ppiA//hyfI//katG//ccmH//
FNR_NsrR	cdd//marB//gatC//
FNR_OxyR	cytR//
FNR_PurR	nrdG//hisQ//
FNR_YqjI	ugpE//
FabR_FadR	nrdI//napB//
FadR_IHF	galR//
FadR_IclR	hypE//
FhlA_FlhDC	glcB//
FhlA_IHF_ModE_NsrR	yiaL//rpsS//entD//yhiD//cdd//ileU//ccmF//nmpC//mtr//
FhlA_IHF_NsrR	metH//
Fis_Fur	rutD//
Fis_H-NS	hisP//
Fis_H-NS_IHF_MntR_OxyR	cysM//
Fis_H-NS_Lrp	carB//hycG//fpr//codA//mazE//hyaC//rpmC//nrfF//dcuD//alaU//fadD//rseC//rplP//mhpC//rbsB//yiaJ//marB//ahpC//rrlA//dinI//tdcD//grcA//tdcB//ynfG//
Fis_H-NS_Lrp_StpA	gadF//dsdX//
Fis_IHF	ptsG//
Fis_IHF_NtrC	yjjQ//argD//
Fis_IHF_OmpR_RcsB	rplC//
Fis_Lrp	fucU//emrK//fliG//csgB//nrfC//paaJ//proP//deoA//bglJ//
Fis_MazE_MazE-MazF	deoA//
Fis_NarL	fimH//
Fis_NarL_NarP_NsrR	focB//mtlR//
Fis_PurR	ygeA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ansB//mhpF//paaK//
FliZ_RutR	fadI//
Fur_H-NS	yiaN//tyrR//rrlD//proV//ompC//norR//ssuC//lamB//frdA//argG//yqjI//trg//rpoE//
Fur_IHF_IscR_NsrR_OxyR	hybF//yoeB//glcG//ccmH//oppD//ydhX//
Fur_IscR_NrdR	ccmE//nfsA//dppA//serA//
Fur_MetR	pflB//
Fur_MntR	fliK//
Fur_MntR_OxyR	fliE//
Fur_OxyR	rplT//
Fur_PurR	osmE//yhiD//
Fur_RcnR	srlD//mtr//
Fur_RutR	galK//
Fur_SoxS_Zur	mglC//
Fur_YqjI	tnaA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ppiA//metY//
GadE-RcsB_H-NS	rplP//
GadE-RcsB_PhoB	mhpF//
GadE-RcsB_Rob	accB//
GadE_GadX_H-NS_PhoP_RcsB	hycC//
GadE_H-NS_Lrp_NsrR	glgP//
GadE_H-NS_MatA	gspH//
GadE_H-NS_RcsAB	hyfH//
GadE_MarA_PurR	csgC//
GadW_GadX_RcsB	garP//
GalR_GalS	malQ//
GlrR_IHF	creD//
H-NS_IHF	relB//mazF//cspD//
H-NS_IHF_Lrp	hybB//glgP//bhsA//nfsA//glcD//yciG//fdnG//
H-NS_LeuO	fucP//ydeP//
H-NS_LeuO_RcsB-BglJ_StpA	rutE//
H-NS_LrhA_Lrp	torA//
H-NS_Lrp	malI//paaE//
H-NS_Lrp_NhaR_RcsB	appA//
H-NS_Lrp_StpA	hns//
H-NS_McbR	murG//baeS//hyfI//
H-NS_NhaR	melR//glgA//
H-NS_OmpR	dsdC//
H-NS_PhoB_RcdA_RstA	glgC//
HU_IHF_TrpR_TyrR	gspJ//
HU_IHF_TyrR	fumB//
HigA_HigB-HigA	gutQ//glnP//
HipAB_HipB_IHF	frdB//alaU//
HypT_MetJ	waaZ//galT//narH//
HypT_MetJ_PhoP	yhiM//xylH//
IHF_Lrp	hipB//sgrT//dppF//sgrS//sufD//chbG//xylF//zraR//
IHF_NsrR	mtlD//
IHF_NtrC	moaD//relE//
IHF_PhoP	hupB//
IHF_PspF	feoB//paaH//mazG//ompF//tnaA//hyaF//
IHF_RcsAB	hyaA//nusA//sufC//cytR//
IHF_RtcR	xylR//pgaA//
IHF_TyrR	rbsD//
IHF_UlaR	prpB//
LexA_MraZ_PdhR	hisQ//purM//pqiA//ahpC//bglJ//narX//nuoI//cusB//glcG//paaZ//leuO//
LexA_MraZ_PdhR_RcsB_SdiA	nhaR//csrC//
LexA_MraZ_PdhR_SdiA	dnaA//
LexA_NagC	mglA//
LexA_RcdA	casB//
LexA_RcsB-BglJ	atoA//
MarA_OxyR_Rob_SoxS	agaW//fabZ//gltB//rrsA//
MarA_PhoP_Rob_SoxS	yecR//glcC//ilvE//hyaA//
MarA_Rob_SoxS	nanK//lhgO//dctA//ccmH//pspE//
MarA_SoxS	oppF//malS//rpsO//nanM//mhpD//
MetJ_MetR	rpsJ//sroD//
MetJ_OxyR	gadY//pdhR//
MetR_PurR	nrdI//
MraZ_PdhR	dgcZ//uxuA//
Nac_PurR	sodA//xylG//
NarL_TorR	sodA//mpl//tsx//
NemR_RutR	fucU//nemA//deoC//
NhaR_OmpR	guaA//focB//proX//hyaD//
NorR_NsrR	csgC//
NsrR_PhoB	fucO//
OxyR_SoxS	tam//
PdhR_PhoP	rhaA//
PgrR_TyrR	metY//
PhoB_PhoP	rpsI//
PhoP_PurR_RbsR	cusB//dctR//
RelB_RelB-RelE	uidB//ptsG//nirD//
TrpR_TyrR	hybO//nfsB//rutF//
YefM_YefM-YoeB	fecB//dcuS//
