#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hemL//sufE//
CRP_Cra_PrpR	rutD//lgoR//hdeA//idnD//
CRP_CreB_Fis_MalT	moeA//csgB//adhE//
CRP_CsiR_H-NS_Lrp	yeaR//katE//
CRP_CsiR_H-NS_Lrp_Nac	caiA//csgG//gspF//
CRP_CspA_Fis	spy//
CRP_CytR	guaA//cspE//nrdH//
CRP_CytR_DeoR	uxuB//sucD//
CRP_CytR_DeoR_Fis_ModE	mtr//fabB//lldP//lpxC//
CRP_CytR_Nac	oppB//
CRP_CytR_NsrR	adiA//
CRP_DcuR_FNR_NarL	modB//
CRP_DinJ-YafQ	yiaN//
CRP_DnaA_Fis_PurR	fumB//phoQ//
CRP_DpiA_ExuR	appB//
CRP_DsdC	glgA//fimG//
CRP_EbgR	ygiB//ynfK//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fimA//gnd//
CRP_ExuR	nikR//
CRP_ExuR_FNR	acrA//sufB//
CRP_ExuR_OxyR_UxuR	fepE//prmC//
CRP_ExuR_UxuR	molR_1//
CRP_FNR	entH//
CRP_FNR_FhlA_HyfR	fliE//betA//napF//fixX//hyfG//yiaJ//rrlD//cyoC//hyfC//umpH//metR//ycdZ//
CRP_FNR_Fis	acrB//ptsH//tdcB//
CRP_FNR_Fis_GlpR_IHF	purH//ynfK//
CRP_FNR_Fis_H-NS_SlyA	prmC//
CRP_FNR_GcvA_Lrp_PurR	chiP//pck//codB//
CRP_FNR_H-NS_NarL	fdnG//
CRP_FNR_IHF_TdcA_TdcR	paaJ//pheM//rrlA//rhaD//yciG//puuA//hycI//
CRP_FNR_NarL	hisP//nagB//rplC//
CRP_FeaR_NsrR	feaB//
CRP_Fis	proW//micF//appA//dppA//glnG//
CRP_Fis_FlhDC_GalR_GalS	prpE//rpsO//
CRP_Fis_FliZ_IHF_Lrp	glnL//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	focB//uxuA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	dsdA//ygbA//hypE//
CRP_Fis_IHF	cusC//soxS//ahpC//tolC//hcp//
CRP_Fis_NanR	dadA//araH//ccmC//yiaL//paaD//
CRP_Fis_NtrC	ompW//bglG//fliF//
CRP_Fis_XylR	rpsJ//rbsR//fhuF//
CRP_FlhDC_GalR_GalS	rrsE//
CRP_FucR	yiaL//lsrA//rutE//nmpC//soxS//hybO//murC//
CRP_Fur	entE//ackA//lpd//puuE//nikR//csgB//sgrT//srlB//dcuS//
CRP_Fur_HypT_PdhR	fadJ//fucI//glcC//entD//ugpB//
CRP_Fur_OxyR_SoxS	uxaC//
CRP_GalR_GalS	atoD//
CRP_GalR_GalS_H-NS_HU	fdhF//fhuF//ynfE//hyaF//
CRP_GalR_GalS_NagC	acrA//
CRP_GlpR	csgA//accC//citX//
CRP_GntR	yiaM//glnL//
CRP_GntR_IdnR	yiaN//lsrK//aroA//hisM//lpxC//rcnA//gltU//
CRP_GntR_IscR	dctA//
CRP_GutM_GutR_H-NS	paaB//pdeL//entB//tnaB//oxyR//rbsA//soxR//
CRP_H-NS	moaA//
CRP_H-NS_HipAB_HipB_NtrC	deoB//
CRP_H-NS_LacI	mdtB//aroM//rrfG//
CRP_H-NS_LeuO	icd//glpD//dsdA//oppB//malE//metK//uxuA//
CRP_H-NS_MqsA	ilvL//
CRP_IHF	oxyR//casB//emrY//ydhW//
CRP_IHF_MprA_OmpR	cas2//
CRP_IHF_NsrR	yeiL//
CRP_IHF_PaaX	dppA//sufS//dcuB//proV//hdeB//gadY//aroM//zwf//murD//paaZ//murQ//mglC//
CRP_IHF_UlaR	cspD//tdcE//bglJ//mdtF//alaT//norR//
CRP_IHF_YiaJ	narI//napA//ihfA//ilvD//tdcD//yjjQ//aceF//murE//araF//frdD//
CRP_LexA	lsrB//
CRP_Lrp	cysW//hypA//moeB//rrsD//
CRP_Lrp_Mlc	flgN//
CRP_Lrp_Nac	gspJ//
CRP_LsrR	rplM//ilvD//sbmC//oppD//glcE//aidB//hyaB//rcnA//aceB//
CRP_MalI	murP//gspI//fhuF//
CRP_MalT	yafQ//nemA//cydA//
CRP_MalT_PhoP	paaJ//
CRP_MelR	nirC//murE//lpxC//
CRP_MetJ	melR//
CRP_MhpR	ssuD//glpQ//nagE//hyfC//lldP//waaH//
CRP_Mlc	cusC//lpxD//
CRP_ModE	fabA//hyfR//ybiT//
CRP_MurR	aer//cydA//
CRP_Nac_NsrR_PhoB	cspI//
CRP_NadR	pspD//
CRP_NagC	yiaJ//dadA//gspF//nuoJ//fecE//sodB//
CRP_NagC_NanR	nanA//gltD//xylA//
CRP_NagC_PhoP	napA//
CRP_OxyR	patA//
CRP_OxyR_UxuR	tpx//
CRP_PhoB	csgG//carA//atoB//lsrA//entF//rrfH//
CRP_PhoP	betB//fiu//rrlH//
CRP_PutA	fdhF//
CRP_RbsR	mhpE//mdh//galE//adiA//ccmE//idnD//
CRP_RhaR_RhaS	tam//nagE//
CRP_RhaS	serC//lsrA//yhiD//
CRP_Rob	entC//
CRP_TorR	yiaJ//fhlA//hycE//
CRP_UhpA_UvrY	ftsW//
CRP_UidR_UxuR	malP//prpB//fixB//
CRP_UvrY	cusA//
CRP_YehT	chbC//
CRP_ZraR	malM//dpiA//
CadC_FNR_H-NS_LeuO_MlrA	purN//
Cbl_CysB	proW//narX//araB//lldP//
Cbl_CysB_FNR_IHF	rplT//codB//fumB//flhC//hydN//
CdaR_FNR_Fis_Fur_H-NS	aroG//
CdaR_FNR_Fur_H-NS	ftsQ//gntU//mhpF//flhC//
CpxR_CsgD_FliZ	mnmG//dppD//ftsA//
CpxR_CysB	fliK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rplB//
CpxR_GadE	modA//gltT//proV//pqiB//
CpxR_H-NS	hyfD//
CpxR_NsrR	aroP//
CpxR_RcsB	aceK//
CpxR_TyrR	lsrF//
Cra_FNR_Fis_Lrp_NarL	moaD//
Cra_FNR_Fur_MarA_Rob_SoxS	dctR//
Cra_FhlA_FlhDC	ydeO//
Cra_GntR_KdgR	idnT//
Cra_GntR_KdgR_PhoB	ptsG//
Cra_MarA_SoxS	fixC//
Cra_PdeL	alaU//
Cra_SgrR	yjiY//yoeB//uxuR//
Cra_TyrR	fhuF//
CreB_NagC	rplV//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sbmC//
CsgD_FlhDC	ssuE//ilvG_2//sodB//rseC//fucU//deoA//gcvP//mhpA//yaiA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gspH//relB//
CspA_Fis_GadX_H-NS	nuoM//
CueR_FNR_ModE	garL//lldD//gutQ//epd//murG//
CusR_PhoB_YedW	chbG//melA//rpsI//sulA//sgbE//dps//frdA//
CysB_H-NS	hcr//hisJ//manY//csgD//cusF//
CysB_HypT_IHF	dgcZ//
CysB_IHF	atoD//tdcE//
CysB_NtrC	ihfA//
CysB_PhoP	sdhB//
DcuR_FNR_NarL	rplM//nikC//ansB//idnR//
DinJ-YafQ_LexA	aroL//ygbA//
DpiA_H-NS	glcE//
DsdC_NsrR	slp//
EvgA_FNR	yoaG//zwf//
EvgA_H-NS	mazE//hybG//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hyfC//
EvgA_H-NS_PhoP_RcsB_YdeO	moeA//
EvgA_PhoP_RcsB_YdeO	tdcE//
ExuR_UxuR	gabD//hyaE//
FNR_FhlA_IHF_NsrR	waaH//aceE//cusR//aceA//sdhB//
FNR_FhlA_NarL_NarP	cydB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	epd//rplD//oppB//nuoK//evgS//nusA//rutB//
FNR_Fis_IHF_ModE_NarL	tnaA//fecA//carA//
FNR_Fis_IHF_NarL	araB//
FNR_Fis_IHF_NarL_RstA	atoA//bglB//fadI//narI//
FNR_FlhDC	ygiC//
FNR_FlhDC_IscR_ModE_NarL_NarP	fdhF//lsrD//tdcD//garL//aldB//rprA//pspA//
FNR_FlhDC_ModE_NarL_NarP	nuoL//malT//metL//gspH//cspD//gatD//metK//tdcE//
FNR_Fur	caiC//hybE//
FNR_Fur_GadE	bhsA//
FNR_Fur_GadX_NtrC	proP//oppC//
FNR_Fur_H-NS	nfuA//argG//hyfD//glpB//
FNR_Fur_MetR_NsrR	ahpC//
FNR_Fur_Nac_NtrC	cspE//
FNR_Fur_NagC	fpr//nanC//rpoH//
FNR_Fur_OxyR	mdtD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	lpd//
FNR_H-NS	hyfC//nanT//
FNR_H-NS_NrdR	ldtB//ascF//
FNR_IHF	glgA//nrfE//dmsD//napG//lpxA//
FNR_IHF_Lrp_YeiL	astB//
FNR_IHF_NarL_NarP_NorR	glcB//caiF//
FNR_IHF_PhoB	cytR//hdeA//fliK//argD//fucA//
FNR_MalT	cysB//agaA//
FNR_ModE	hyaA//cirA//
FNR_NarL	ycdZ//moeB//degP//acnA//ycdZ//hisP//
FNR_NarL_NarP	pheM//ebgC//ftsZ//fimH//paaJ//chbC//pyrC//casC//rrsE//
FNR_NarL_NarP_NsrR	srlA//
FNR_NarL_NarP_NsrR_OxyR	paaG//yhiM//
FNR_NarL_NikR	frdD//malS//rcsA//pspB//csgD//lhgO//
FNR_NsrR	lysP//fabB//yiaL//
FNR_OxyR	putP//
FNR_PurR	uxuA//rrlE//
FNR_YqjI	flhD//
FabR_FadR	hmp//glpX//
FadR_IHF	mhpA//
FadR_IclR	fur//
FhlA_FlhDC	sgbE//
FhlA_IHF_ModE_NsrR	rbfA//rrsA//yecR//phoU//marB//dmsA//csgG//phoQ//trg//
FhlA_IHF_NsrR	modC//
Fis_Fur	fucP//
Fis_H-NS	fadL//
Fis_H-NS_IHF_MntR_OxyR	yiaN//
Fis_H-NS_Lrp	dctA//puuP//dppD//uidA//fliK//cusR//proP//ccmG//paaG//nanA//garP//kbaZ//pspE//inaA//nuoL//mntH//entH//malG//lpd//nagB//gcvH//acnB//hycI//bamE//
Fis_H-NS_Lrp_StpA	xylB//hyfF//
Fis_IHF	mdh//
Fis_IHF_NtrC	acrD//pgaC//
Fis_IHF_OmpR_RcsB	torA//
Fis_Lrp	glpB//nikB//deoD//sdhA//nrfF//yjbH//entA//nusA//chbF//
Fis_MazE_MazE-MazF	pstB//
Fis_NarL	nfsA//
Fis_NarL_NarP_NsrR	bglJ//hisQ//
Fis_PurR	treC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ptsG//glpK//hupA//
FliZ_RutR	dctR//
Fur_H-NS	codB//udp//fixB//fimI//bglJ//malQ//dusB//glmY//cas2//hypB//infB//iclR//paaD//
Fur_IHF_IscR_NsrR_OxyR	ilvD//ccmH//rrfB//rpoE//cysU//gatC//
Fur_IscR_NrdR	dcuB//ycdZ//nrdD//mtlR//
Fur_MetR	fixA//
Fur_MntR	dpiB//
Fur_MntR_OxyR	fucK//
Fur_OxyR	glgA//
Fur_PurR	hypB//hupB//
Fur_RcnR	cydA//pdeL//
Fur_RutR	appY//
Fur_SoxS_Zur	lpd//
Fur_YqjI	fliF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	pspB//lgoR//
GadE-RcsB_H-NS	fimG//
GadE-RcsB_PhoB	glpK//
GadE-RcsB_Rob	hdeA//
GadE_GadX_H-NS_PhoP_RcsB	fimH//
GadE_H-NS_Lrp_NsrR	puuB//
GadE_H-NS_MatA	leuO//
GadE_H-NS_RcsAB	rrsG//
GadE_MarA_PurR	hyfF//
GadW_GadX_RcsB	narL//
GalR_GalS	amtB//
GlrR_IHF	nirB//
H-NS_IHF	nfsB//hdeB//ulaB//
H-NS_IHF_Lrp	adhE//sucD//ilvI//trg//ftnA//serC//accC//
H-NS_LeuO	hypC//nirC//
H-NS_LeuO_RcsB-BglJ_StpA	nfsB//
H-NS_LrhA_Lrp	udp//
H-NS_Lrp	dps//appB//
H-NS_Lrp_NhaR_RcsB	fimI//
H-NS_Lrp_StpA	actP//
H-NS_McbR	nikA//chbC//entB//
H-NS_NhaR	rrsH//ilvH//
H-NS_OmpR	fimB//
H-NS_PhoB_RcdA_RstA	fbaA//
HU_IHF_TrpR_TyrR	nanA//
HU_IHF_TyrR	betA//
HigA_HigB-HigA	hcp//lpxC//
HipAB_HipB_IHF	yjbE//torA//
HypT_MetJ	ybiT//ulaA//atoB//
HypT_MetJ_PhoP	chbB//fliC//
IHF_Lrp	ydhV//gspF//ansB//ybiT//tnaB//dmsC//ygbA//yiaJ//
IHF_NsrR	ccmD//
IHF_NtrC	mtlR//gspO//
IHF_PhoP	acrD//
IHF_PspF	murQ//lgoR//spy//rpoH//nrdF//pspA//
IHF_RcsAB	feoA//csiE//qseB//mnmG//
IHF_RtcR	atoD//xylB//
IHF_TyrR	hyfA//
IHF_UlaR	dps//
LexA_MraZ_PdhR	fdnI//ugpB//entB//puuR//hycI//napD//ccmE//nrdA//dppD//rplC//sucD//
LexA_MraZ_PdhR_RcsB_SdiA	nrfF//ftnA//
LexA_MraZ_PdhR_SdiA	dcuS//
LexA_NagC	nuoE//
LexA_RcdA	hupA//
LexA_RcsB-BglJ	ybiT//
MarA_OxyR_Rob_SoxS	sucD//hlyE//ptsG//paaG//
MarA_PhoP_Rob_SoxS	astE//metN//nuoJ//nuoC//
MarA_Rob_SoxS	rrfE//hisM//nuoB//moaA//garP//
MarA_SoxS	chbB//fixB//lrp//hyaA//acrZ//
MetJ_MetR	araJ//gltB//
MetJ_OxyR	csrC//cspI//
MetR_PurR	rtcA//
MraZ_PdhR	uxaC//marR//
Nac_PurR	gatY//lhgO//
NarL_TorR	moaD//lsrC//higB//
NemR_RutR	nrfF//oppB//nac//
NhaR_OmpR	yhiM//fnr//citE//ulaC//
NorR_NsrR	ccmD//
NsrR_PhoB	sodA//
OxyR_SoxS	cysA//
PdhR_PhoP	fbaA//
PgrR_TyrR	agaV//
PhoB_PhoP	araG//
PhoP_PurR_RbsR	acrE//ftnA//
RelB_RelB-RelE	rplP//waaY//ptsI//
TrpR_TyrR	zraS//cyoE//cusF//
YefM_YefM-YoeB	gltA//yciF//
