#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rutG//inaA//
ArcA_CRP_PuuR	rprA//betT//rplB//glpA//tnaA//
ArcA_CRP_RhaS	lsrG//
ArcA_CRP_TreR	cusC//araG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cspD//fecD//
ArcA_Cra	acnB//
ArcA_Cra_FNR_H-NS_HypT	tpx//glcA//
ArcA_CysB_FNR	nikD//
ArcA_FNR	mdtD//cyoD//cusA//sufC//creD//gatY//gapA//hyfC//hipB//rprA//flhD//dnaN//ugpC//proV//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gadE//
ArcA_FNR_Fis_IHF_NarL	icd//glcA//srlD//sroD//galP//nirB//casC//higA//carB//yoeB//dcuA//mazG//araC//
ArcA_FNR_Fur_IHF	hlyE//
ArcA_FNR_IHF	lysP//nrfA//dsdC//
ArcA_FNR_IHF_NarL	cysW//ydeM//
ArcA_FNR_NarL	hyfE//carB//glgA//csgG//
ArcA_FNR_PhoP	ynfE//
ArcA_FNR_PuuR	hycF//acrE//
ArcA_FadR	rcnA//edd//patA//
ArcA_FadR_Fis	ilvH//rbsA//
ArcA_Fur_Lrp_ModE	citE//cspE//rnpB//ilvG_1//ulaA//
ArcA_GlcC_IHF_PdhR	betA//ptsI//gspE//dctR//glcD//glnA//
ArcA_LexA	epd//lrp//
ArcA_LldR	hypC//narH//rimK//
ArcA_NarL	nuoA//gadE//hycC//tdcF//melA//rutD//mhpF//garL//
ArcA_NtrC_PhoP_RutR	exuT//cysB//astA//prpB//rpoS//flhC//sucD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	entE//oppD//dcuD//
ArgP_CRP_FNR_Fur_Nac	recF//
ArgP_DnaA	rplT//cusC//galP//
ArgP_Lrp	dmsD//nmpC//
ArgP_LysR	metK//
ArgP_PhoB	nrfA//
ArgR_CRP	purH//
ArgR_CRP_Fis	argD//ccmA//aspA//xylH//araA//gltU//rrlD//narJ//
ArgR_Fis_IHF_PepA_PurR_RutR	cydB//nupG//
ArgR_H-NS_NtrC	yecR//ybdZ//malP//gabT//
ArgR_NtrC	agaA//cydC//nagC//acrD//pgaA//
ArgR_PhoP	fixA//
AscG_CRP	cysG//glnK//xylA//
AscG_CRP_PhoB_PrpR	cysW//
AsnC_MraZ_Nac	rrsD//
AsnC_Nac	fucR//fucK//
AtoC_IHF	waaH//iraM//nanE//fabB//
BaeR_CpxR	csrC//modC//fnr//amtB//fau//epd//deoD//
BaeR_CpxR_EvgA	gntT//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	tauD//adiC//nikB//norR//
BasR_CpxR_PdhR	araJ//uxaB//
BasR_Fis	aspA//
BasR_H-NS_IHF_NagC_NanR	gspM//
BasR_MarA_PutA	mhpF//
BasR_PhoP	proP//
BasR_QseB	rbsD//waaH//
CRP_CaiF_FNR	carB//yiaL//oppA//cysH//
CRP_ChbR_NagC	xylF//cusA//ilvA//dnaN//yciG//aceK//
CRP_ComR	rpsI//
CRP_CpxR	sgrS//
CRP_CpxR_CytR	dnaA//
CRP_CpxR_CytR_DnaA_IHF	puuB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nrdI//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	hupA//gadE//dusB//xylF//
CRP_Cra	exuT//betA//cadC//spy//ccmA//glpK//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hypE//cysB//dppF//yhcH//
CRP_Cra_FNR_PdhR	malF//
CRP_Cra_Fis	dppF//
CRP_Cra_Fis_GlcC	xylG//
CRP_Cra_Fis_MtlR	chbB//gadF//sodA//
CRP_Cra_Mlc_NagC	hycD//galK//rpoE//csgA//pheM//ebgA//
CRP_Cra_PrpR	rob//idnD//murQ//creD//
CRP_CreB_Fis_MalT	casB//uof//malE//
CRP_CsiR_H-NS_Lrp	glnK//alaV//
CRP_CsiR_H-NS_Lrp_Nac	napC//rplT//gadY//
CRP_CspA_Fis	agaW//
CRP_CytR	edd//gltW//waaY//
CRP_CytR_DeoR	paaA//ccmD//
CRP_CytR_DeoR_Fis_ModE	ulaB//fucP//xylA//narJ//
CRP_CytR_Nac	hyaC//
CRP_CytR_NsrR	agaW//
CRP_DcuR_FNR_NarL	nikE//
CRP_DinJ-YafQ	fixC//
CRP_DnaA_Fis_PurR	nac//fabA//
CRP_DpiA_ExuR	tcyJ//
CRP_DsdC	csgB//tdcD//
CRP_EbgR	mtlR//nmpC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	csgF//gltW//
CRP_ExuR	tauC//
CRP_ExuR_FNR	torA//gadW//
CRP_ExuR_OxyR_UxuR	fimH//rseA//
CRP_ExuR_UxuR	frdC//
CRP_FNR	trg//
CRP_FNR_FhlA_HyfR	nuoI//gadC//gspH//rtcB//oppA//deoB//entE//nrdI//fliE//purD//prfA//pstC//
CRP_FNR_Fis	sdhB//fliG//oxyR//
CRP_FNR_Fis_GlpR_IHF	hybA//pgaC//
CRP_FNR_Fis_H-NS_SlyA	soxS//
CRP_FNR_GcvA_Lrp_PurR	pgaC//galS//rrfG//
CRP_FNR_H-NS_NarL	ddlB//
CRP_FNR_IHF_TdcA_TdcR	pdhR//waaZ//ndh//casA//csgF//metL//pstC//
CRP_FNR_NarL	nupG//metR//pstB//
CRP_FeaR_NsrR	deoB//
CRP_Fis	rpsQ//glpF//caiE//gadX//eda//
CRP_Fis_FlhDC_GalR_GalS	fecE//gltT//
CRP_Fis_FliZ_IHF_Lrp	malS//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	lysA//yjbH//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rplP//ygiB//rrlD//
CRP_Fis_IHF	napG//udp//dppF//dadA//sufE//
CRP_Fis_NanR	glnP//pnp//cusC//dcuS//tnaC//
CRP_Fis_NtrC	cysU//mnmG//ugpQ//
CRP_Fis_XylR	evgS//gltA//lsrD//
CRP_FlhDC_GalR_GalS	araJ//
CRP_FucR	chbF//evgA//appB//yecR//lacY//yiaM//pheM//
CRP_Fur	ftsA//mglB//dcuB//melB//purM//mntH//cusA//citD//cas1//
CRP_Fur_HypT_PdhR	yiaL//rbsK//gadW//proV//waaY//
CRP_Fur_OxyR_SoxS	yefM//
CRP_GalR_GalS	cspE//
CRP_GalR_GalS_H-NS_HU	araA//caiT//mdtC//ynfE//
CRP_GalR_GalS_NagC	yedX//
CRP_GlpR	glpD//dppB//hyfE//
CRP_GntR	fadA//aceB//
CRP_GntR_IdnR	fadB//astE//purR//aceA//gutM//acrB//nuoK//
CRP_GntR_IscR	gltD//
CRP_GutM_GutR_H-NS	hypD//cydA//nanA//gltA//hycI//fepA//rseB//
CRP_H-NS	pck//
CRP_H-NS_HipAB_HipB_NtrC	galR//
CRP_H-NS_LacI	entB//ssuD//idnO//
CRP_H-NS_LeuO	rhaA//mhpD//fucI//nanA//mglA//asr//creD//
CRP_H-NS_MqsA	rtcA//
CRP_IHF	hycE//hokD//nhaA//ackA//
CRP_IHF_MprA_OmpR	envZ//
CRP_IHF_NsrR	ilvL//
CRP_IHF_PaaX	fecC//xylA//glnL//hypC//gltT//gadB//gspE//hybO//pyrC//dppA//dctA//glcC//
CRP_IHF_UlaR	ydhU//torA//hcp//prmC//yhcH//frdA//
CRP_IHF_YiaJ	hdeB//rpoE//envZ//moaD//nhaA//rutB//galP//hypB//fimD//metH//
CRP_LexA	glpX//
CRP_Lrp	mdh//citX//yjiY//dppA//
CRP_Lrp_Mlc	relB//
CRP_Lrp_Nac	hyaC//
CRP_LsrR	dinI//dnaA//gltA//entC//entC//citC//rcsA//nuoG//sgbE//
CRP_MalI	dpiB//marB//rrlD//
CRP_MalT	cysI//ubiA//phoQ//
CRP_MalT_PhoP	ygiB//
CRP_MelR	hybO//casC//nuoN//
CRP_MetJ	flgN//
CRP_MhpR	cydD//yciG//malX//pspG//glgP//flgN//
CRP_Mlc	ydhY//deoB//
CRP_ModE	prmC//tdcA//rbsA//
CRP_MurR	nrfF//betI//
CRP_Nac_NsrR_PhoB	fis//
CRP_NadR	hycH//
CRP_NagC	eda//nupG//ynfF//moaB//rseB//dppF//
CRP_NagC_NanR	truB//fdnH//betB//
CRP_NagC_PhoP	feaB//
CRP_OxyR	gadY//
CRP_OxyR_UxuR	entA//
CRP_PhoB	fadH//creD//ydhV//csgF//pgk//sucA//
CRP_PhoP	feoB//envZ//aceK//
CRP_PutA	idnT//
CRP_RbsR	relE//citF//ugpB//yjbH//rbsD//tauD//
CRP_RhaR_RhaS	hupB//nanM//
CRP_RhaS	rpmC//rplW//malF//
CRP_Rob	aroA//
CRP_TorR	evgS//rplD//ftsQ//
CRP_UhpA_UvrY	glpT//
CRP_UidR_UxuR	qseB//bolA//glnD//
CRP_UvrY	yjbF//
CRP_YehT	paaI//
CRP_ZraR	cysA//pgaB//
CadC_FNR_H-NS_LeuO_MlrA	cusC//
Cbl_CysB	gadB//bglF//torC//atoE//
Cbl_CysB_FNR_IHF	fixB//dppD//zwf//tomB//hybG//
CdaR_FNR_Fis_Fur_H-NS	nrfB//
CdaR_FNR_Fur_H-NS	higA//eda//fumB//metN//
CpxR_CsgD_FliZ	gspI//xylG//mraZ//
CpxR_CysB	appA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	lysA//
CpxR_GadE	fecA//putA//entE//lysP//
CpxR_H-NS	ftsW//
CpxR_NsrR	paaG//
CpxR_RcsB	ssb//
CpxR_TyrR	rpsQ//
Cra_FNR_Fis_Lrp_NarL	yhiD//
Cra_FNR_Fur_MarA_Rob_SoxS	dadA//
Cra_FhlA_FlhDC	sodB//
Cra_GntR_KdgR	rhaB//
Cra_GntR_KdgR_PhoB	gatZ//
Cra_MarA_SoxS	yhiM//
Cra_PdeL	nanT//
Cra_SgrR	ynfH//osmY//sodB//
Cra_TyrR	hyfB//
CreB_NagC	hisQ//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hlyE//
CsgD_FlhDC	fdhF//metE//yciF//yhiD//ssrS//caiT//fadI//serA//edd//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ugpE//hypD//
CspA_Fis_GadX_H-NS	appX//
CueR_FNR_ModE	gnd//paaF//mioC//metR//sdhB//
CusR_PhoB_YedW	focA//yefM//proX//nagE//mdtE//hyaF//cspD//
CysB_H-NS	aceK//rrfE//fumB//rrfF//caiT//
CysB_HypT_IHF	pstC//
CysB_IHF	fliC//rtcB//
CysB_NtrC	ydhV//
CysB_PhoP	tnaA//
DcuR_FNR_NarL	gatB//xylF//mdtC//nhaR//
DinJ-YafQ_LexA	ugpB//serC//
DpiA_H-NS	serA//
DsdC_NsrR	nagC//
EvgA_FNR	gabT//idnK//
EvgA_H-NS	ybjN//cysH//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	nfuA//
EvgA_H-NS_PhoP_RcsB_YdeO	yiaM//
EvgA_PhoP_RcsB_YdeO	katE//
ExuR_UxuR	metY//accB//
FNR_FhlA_IHF_NsrR	tyrR//phoU//ftsZ//yiaO//ynfF//
FNR_FhlA_NarL_NarP	dcuB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	malI//paaB//idnK//puuC//pgaB//ynfG//aroG//
FNR_Fis_IHF_ModE_NarL	ahpF//rbsC//poxB//
FNR_Fis_IHF_NarL	mtr//
FNR_Fis_IHF_NarL_RstA	hisM//fimD//nagE//purM//
FNR_FlhDC	dppF//
FNR_FlhDC_IscR_ModE_NarL_NarP	aroA//nusA//gabP//dctA//asr//ompC//fimC//
FNR_FlhDC_ModE_NarL_NarP	gspF//dppD//gntK//leuO//hdeD//malP//hyfJ//araC//
FNR_Fur	hyfF//rprA//
FNR_Fur_GadE	zraS//
FNR_Fur_GadX_NtrC	xylB//nuoI//
FNR_Fur_H-NS	rpoE//crp//ygiC//prpC//
FNR_Fur_MetR_NsrR	agaA//
FNR_Fur_Nac_NtrC	malI//
FNR_Fur_NagC	gabD//acnB//pgaD//
FNR_Fur_OxyR	molR_1//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	pyrD//
FNR_H-NS	glgA//mhpF//
FNR_H-NS_NrdR	metN//patA//
FNR_IHF	ynfH//napC//crr//grcA//yciF//
FNR_IHF_Lrp_YeiL	rpoS//
FNR_IHF_NarL_NarP_NorR	dppA//sroD//
FNR_IHF_PhoB	yoaG//ebgC//phoU//metL//dadX//
FNR_MalT	pspD//fnr//
FNR_ModE	paaB//ugpC//
FNR_NarL	srlB//folA//cysJ//ccmA//tdcE//fepB//
FNR_NarL_NarP	nrdF//actP//hha//acnA//yrbL//fdnG//iraM//tdcA//hycF//
FNR_NarL_NarP_NsrR	deoA//
FNR_NarL_NarP_NsrR_OxyR	acnB//ascF//
FNR_NarL_NikR	tsx//fis//caiC//gatA//mdtA//lhgO//
FNR_NsrR	csrC//gspJ//rpsI//
FNR_OxyR	dcuD//
FNR_PurR	melB//prpD//
FNR_YqjI	hycA//
FabR_FadR	tnaB//nrfA//
FadR_IHF	murQ//
FadR_IclR	rseA//
FhlA_FlhDC	caiB//
FhlA_IHF_ModE_NsrR	gadX//bglF//zraR//tauC//ulaG//mioC//fdhF//hyaB//dsdA//
FhlA_IHF_NsrR	ynfE//
Fis_Fur	nrdI//
Fis_H-NS	prpB//
Fis_H-NS_IHF_MntR_OxyR	ybdN//
Fis_H-NS_Lrp	actP//ccmH//rcnA//rutC//gntT//fixA//yqjH//fliJ//fiu//ssuB//metK//yaiA//gapA//dsdA//acnA//nuoF//gnd//nikD//rhaR//actP//edd//nuoE//csgB//soxR//
Fis_H-NS_Lrp_StpA	baeS//paaC//
Fis_IHF	nuoJ//
Fis_IHF_NtrC	araF//gabP//
Fis_IHF_OmpR_RcsB	uxuR//
Fis_Lrp	edd//rbsC//lgoR//rrfE//fecA//zinT//modB//pnp//ilvG_1//
Fis_MazE_MazE-MazF	cusA//
Fis_NarL	tomB//
Fis_NarL_NarP_NsrR	nemR//malF//
Fis_PurR	uxuA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ugpA//frdC//frdA//
FliZ_RutR	metR//
Fur_H-NS	rseA//sdhD//napD//csgD//kbaZ//cusA//gltF//gatZ//glcE//lsrG//hisP//rnpB//idnT//
Fur_IHF_IscR_NsrR_OxyR	soxS//aer//cysM//dps//pqiB//metR//
Fur_IscR_NrdR	srlD//gltU//cyoD//glnG//
Fur_MetR	patA//
Fur_MntR	yqjH//
Fur_MntR_OxyR	hypB//
Fur_OxyR	glpD//
Fur_PurR	feoA//paaA//
Fur_RcnR	nrdE//sucB//
Fur_RutR	nuoM//
Fur_SoxS_Zur	rcnA//
Fur_YqjI	waaY//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	srlD//glcF//
GadE-RcsB_H-NS	moaD//
GadE-RcsB_PhoB	pflB//
GadE-RcsB_Rob	narH//
GadE_GadX_H-NS_PhoP_RcsB	setA//
GadE_H-NS_Lrp_NsrR	ansB//
GadE_H-NS_MatA	hisQ//
GadE_H-NS_RcsAB	gltU//
GadE_MarA_PurR	icd//
GadW_GadX_RcsB	umpH//
GalR_GalS	ascB//
GlrR_IHF	entE//
H-NS_IHF	rrlA//grcA//sodA//
H-NS_IHF_Lrp	casD//rplC//cyoC//mpl//fecA//fliZ//mdtF//
H-NS_LeuO	rrfA//molR_1//
H-NS_LeuO_RcsB-BglJ_StpA	aroL//
H-NS_LrhA_Lrp	fimF//
H-NS_Lrp	aldB//mdtA//
H-NS_Lrp_NhaR_RcsB	gcd//
H-NS_Lrp_StpA	mntP//
H-NS_McbR	truB//mdtD//focA//
H-NS_NhaR	ccmC//rpsS//
H-NS_OmpR	fucO//
H-NS_PhoB_RcdA_RstA	gadF//
HU_IHF_TrpR_TyrR	fucK//
HU_IHF_TyrR	citE//
HigA_HigB-HigA	ompR//appY//
HipAB_HipB_IHF	hyaB//fumB//
HypT_MetJ	srlR//pgaD//mdtA//
HypT_MetJ_PhoP	fimB//cyoD//
IHF_Lrp	hypB//ynfF//ubiC//malS//gcvT//ulaB//bamE//hypB//
IHF_NsrR	frdA//
IHF_NtrC	fadI//sufE//
IHF_PhoP	thrV//
IHF_PspF	exuT//puuA//ilvG_1//nrfA//hisJ//narK//
IHF_RcsAB	galR//nfo//murC//ssuA//
IHF_RtcR	gcvP//uxuB//
IHF_TyrR	atoB//
IHF_UlaR	gltB//
LexA_MraZ_PdhR	fecE//rseB//fimD//hycI//fadA//dppA//cusA//nuoC//mhpF//mnmG//cysI//
LexA_MraZ_PdhR_RcsB_SdiA	nanS//narJ//
LexA_MraZ_PdhR_SdiA	zraS//
LexA_NagC	ugpE//
LexA_RcdA	nrfF//
LexA_RcsB-BglJ	nuoG//
MarA_OxyR_Rob_SoxS	purA//paaI//rplC//malP//
MarA_PhoP_Rob_SoxS	rutB//fadJ//waaY//grcA//
MarA_Rob_SoxS	nrfE//rutB//bamE//ynfG//rrsA//
MarA_SoxS	araA//tdcG//moaA//mhpE//srlD//
MetJ_MetR	nuoG//ccmH//
MetJ_OxyR	trg//glcF//
MetR_PurR	yoeB//
MraZ_PdhR	gyrA//purM//
Nac_PurR	idnO//moeA//
NarL_TorR	nfsB//gspD//galS//
NemR_RutR	ybfN//gabT//rrfB//
NhaR_OmpR	pspG//dgcZ//cusB//cusC//
NorR_NsrR	ugpE//
NsrR_PhoB	nrfG//
OxyR_SoxS	ulaA//
PdhR_PhoP	gabD//
PgrR_TyrR	hypB//
PhoB_PhoP	zwf//
PhoP_PurR_RbsR	gabT//inaA//
RelB_RelB-RelE	glyA//deoC//narX//
TrpR_TyrR	lsrG//puuE//fecA//
YefM_YefM-YoeB	mtlR//cysA//
