#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	katG//emrK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nikR//gatB//
ArcA_CRP_FNR	focA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rrsE//hybO//ydhV//
ArcA_CRP_FNR_Fis_Fur_PdhR	acnB//
ArcA_CRP_FNR_Fis_IHF_NarL	dcuR//
ArcA_CRP_FNR_Fur	modB//astD//hycD//atoE//
ArcA_CRP_FNR_Fur_IHF	rpmC//ilvL//lpxD//csrC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glpQ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	codB//
ArcA_CRP_FNR_IHF_NarL	araF//
ArcA_CRP_FNR_NarL	adhE//
ArcA_CRP_FadR	codA//rrsB//
ArcA_CRP_FadR_HipB	dps//
ArcA_CRP_FadR_OmpR_PhoP	rbsC//
ArcA_CRP_Fis_Mlc_SoxS	hisJ//
ArcA_CRP_Fis_XylR	mhpD//
ArcA_CRP_Fur_GadX_MqsA	folA//
ArcA_CRP_GatR	lgoR//rutA//gntP//mdtB//leuO//yqjH//
ArcA_CRP_GlpR	fimH//
ArcA_CRP_IHF	hybF//
ArcA_CRP_PuuR	epd//zraS//tauB//oppC//deoB//
ArcA_CRP_RhaS	deoB//
ArcA_CRP_TreR	yecR//sdhB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cyoD//ybjN//
ArcA_Cra	slp//
ArcA_Cra_FNR_H-NS_HypT	pgaA//dcuR//
ArcA_CysB_FNR	gntU//
ArcA_FNR	rrsB//pdhR//qseB//glpK//murQ//cusB//uxaA//moaA//nrdA//rprA//rbsK//glcG//lsrK//katG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	zwf//
ArcA_FNR_Fis_IHF_NarL	gspJ//puuR//narH//hybC//ynfF//rrlH//osmC//uidB//hyaF//yiaN//mhpA//chbC//tdcD//
ArcA_FNR_Fur_IHF	glpC//
ArcA_FNR_IHF	chbG//sroD//fliA//
ArcA_FNR_IHF_NarL	recF//waaY//
ArcA_FNR_NarL	lpd//rseC//exuT//dppC//
ArcA_FNR_PhoP	katG//
ArcA_FNR_PuuR	aceE//aroA//
ArcA_FadR	crr//astA//ahpC//
ArcA_FadR_Fis	yjbH//asnC//
ArcA_Fur_Lrp_ModE	aceB//sgbH//gatA//yciE//cydC//
ArcA_GlcC_IHF_PdhR	paaD//prpD//gyrA//malI//metQ//ilvM//
ArcA_LexA	ydhT//alaV//
ArcA_LldR	rplW//uxaA//glpK//
ArcA_NarL	tyrR//nfsB//metK//oppF//caiB//hemA//gntU//napD//
ArcA_NtrC_PhoP_RutR	alaU//rrfB//ilvA//paaG//moaB//cusC//ydhV//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	casE//dinJ//fhlA//
ArgP_CRP_FNR_Fur_Nac	sdhD//
ArgP_DnaA	nuoI//hyaF//napD//
ArgP_Lrp	inaA//fabA//
ArgP_LysR	nrfD//
ArgP_PhoB	gspC//
ArgR_CRP	fadH//
ArgR_CRP_Fis	dinI//glnG//pdeL//rrfH//codB//rpmC//ynfH//hemA//
ArgR_Fis_IHF_PepA_PurR_RutR	rob//rpsO//
ArgR_H-NS_NtrC	moaA//sufD//rrfE//pgaD//
ArgR_NtrC	modC//guaB//rseA//glpD//gspG//
ArgR_PhoP	tnaA//
AscG_CRP	fucR//thrV//melA//
AscG_CRP_PhoB_PrpR	araF//
AsnC_MraZ_Nac	narL//
AsnC_Nac	katG//fhuF//
AtoC_IHF	gspJ//hyfD//ilvE//acrZ//
BaeR_CpxR	adiA//acrB//hyfB//tdcG//gltA//baeR//aer//
BaeR_CpxR_EvgA	nrfA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	sodB//ulaD//hybB//yedX//
BasR_CpxR_PdhR	stpA//guaA//
BasR_Fis	nrfC//
BasR_H-NS_IHF_NagC_NanR	ftsA//
BasR_MarA_PutA	actP//
BasR_PhoP	araF//
BasR_QseB	xylA//codA//
CRP_CaiF_FNR	agaW//gadX//fliJ//zraR//
CRP_ChbR_NagC	prpD//dppC//ftnA//fixA//flgN//dmsB//
CRP_ComR	zinT//
CRP_CpxR	garL//
CRP_CpxR_CytR	yjiY//
CRP_CpxR_CytR_DnaA_IHF	glpQ//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gloA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	cyoA//hyfR//ygiC//crp//
CRP_Cra	ygiA//fbaA//dcuB//ompR//ptsH//hupA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	napH//fixX//ccmH//katE//
CRP_Cra_FNR_PdhR	ompC//
CRP_Cra_Fis	fixA//
CRP_Cra_Fis_GlcC	napC//
CRP_Cra_Fis_MtlR	fliG//glnP//phoU//
CRP_Cra_Mlc_NagC	mazF//rplB//nupG//chiP//nemA//acs//
CRP_Cra_PrpR	ytfE//proP//fimD//fhuF//
CRP_CreB_Fis_MalT	metR//lsrA//glcE//
CRP_CsiR_H-NS_Lrp	dnaN//cysH//
CRP_CsiR_H-NS_Lrp_Nac	ybjN//yeiL//ydeN//
CRP_CspA_Fis	torD//
CRP_CytR	narX//yfaE//uidC//
CRP_CytR_DeoR	glpA//caiE//
CRP_CytR_DeoR_Fis_ModE	pspG//pdeR//gadX//molR_1//
CRP_CytR_Nac	fliA//
CRP_CytR_NsrR	pgk//
CRP_DcuR_FNR_NarL	glgC//
CRP_DinJ-YafQ	gatZ//
CRP_DnaA_Fis_PurR	glcE//ccmD//
CRP_DpiA_ExuR	mdtC//
CRP_DsdC	ulaC//focA//
CRP_EbgR	fadB//narG//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	yiaJ//gyrA//
CRP_ExuR	chbB//
CRP_ExuR_FNR	sdhA//hybA//
CRP_ExuR_OxyR_UxuR	tyrP//lacZ//
CRP_ExuR_UxuR	spy//
CRP_FNR	frdC//
CRP_FNR_FhlA_HyfR	rplV//appC//paaB//garL//manX//deoB//guaA//ugpC//puuR//uidB//nagE//cysJ//
CRP_FNR_Fis	relA//fepE//dsdC//
CRP_FNR_Fis_GlpR_IHF	nikB//tnaB//
CRP_FNR_Fis_H-NS_SlyA	aceB//
CRP_FNR_GcvA_Lrp_PurR	aroP//ilvX//hybF//
CRP_FNR_H-NS_NarL	prpD//
CRP_FNR_IHF_TdcA_TdcR	modB//dinI//yjcH//rplM//fimC//marA//yiaJ//
CRP_FNR_NarL	csgF//tsx//udp//
CRP_FeaR_NsrR	araJ//
CRP_Fis	aroM//pncB//hypF//bamE//appB//
CRP_Fis_FlhDC_GalR_GalS	sufE//nrdA//
CRP_Fis_FliZ_IHF_Lrp	pdhR//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	ynfG//pstB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	dcuB//pspD//manY//
CRP_Fis_IHF	cirA//citG//puuP//tauB//cydD//
CRP_Fis_NanR	pspE//pnp//patA//rrfD//norW//
CRP_Fis_NtrC	codA//ackA//hemA//
CRP_Fis_XylR	rseC//csgA//gyrA//
CRP_FlhDC_GalR_GalS	exuR//
CRP_FucR	yiaL//micF//adiC//araE//dctA//cyoC//ccmG//
CRP_Fur	rplT//paaB//yafQ//prpE//hybD//glpQ//envZ//manX//ubiC//
CRP_Fur_HypT_PdhR	atoD//skp//ftsQ//fnr//narG//
CRP_Fur_OxyR_SoxS	dsdX//
CRP_GalR_GalS	purR//
CRP_GalR_GalS_H-NS_HU	mtlR//paaK//astD//bolA//
CRP_GalR_GalS_NagC	hlyE//
CRP_GlpR	cusS//gltW//nikR//
CRP_GntR	inaA//yjcH//
CRP_GntR_IdnR	araB//exuT//deoD//dps//fucI//cysM//srlB//
CRP_GntR_IscR	degP//
CRP_GutM_GutR_H-NS	yiaN//fecA//dadA//nrdG//hybE//oxyR//tyrP//
CRP_H-NS	ssuA//
CRP_H-NS_HipAB_HipB_NtrC	rcsA//
CRP_H-NS_LacI	rutF//fucK//casD//
CRP_H-NS_LeuO	ccmC//rrlB//yeaR//cas2//glcD//betA//melA//
CRP_H-NS_MqsA	casA//
CRP_IHF	lhgO//focA//glpK//hdeA//
CRP_IHF_MprA_OmpR	araH//
CRP_IHF_NsrR	cysJ//
CRP_IHF_PaaX	nanT//rpsJ//fadB//argO//ftsQ//cdd//tauA//sodA//chbB//yecR//ydhX//glnL//
CRP_IHF_UlaR	araH//puuA//ppiA//hyaA//paaF//sbmC//
CRP_IHF_YiaJ	crp//mazG//casB//araG//sodB//iclR//gntX//waaZ//rrsA//focB//
CRP_LexA	dsdA//
CRP_Lrp	focB//ftsZ//hypE//ogt//
CRP_Lrp_Mlc	purH//
CRP_Lrp_Nac	rhaD//
CRP_LsrR	emrK//gatZ//hcr//rpmC//csgA//rplD//bglJ//malT//higA//
CRP_MalI	torC//entD//serA//
CRP_MalT	leuO//ybdN//xylF//
CRP_MalT_PhoP	malP//
CRP_MelR	murD//murG//leuO//
CRP_MetJ	rtcB//
CRP_MhpR	atoA//astD//murF//soxR//ppiA//glnH//
CRP_Mlc	putP//tolC//
CRP_ModE	dusB//csgF//ccmG//
CRP_MurR	katE//gapA//
CRP_Nac_NsrR_PhoB	chbB//
CRP_NadR	entC//
CRP_NagC	fliZ//phoQ//glyA//folA//nanT//ybdN//
CRP_NagC_NanR	srlR//cysH//cysJ//
CRP_NagC_PhoP	proW//
CRP_OxyR	ccmB//
CRP_OxyR_UxuR	hybC//
CRP_PhoB	hycF//glnH//evgS//gltV//frdC//ulaE//
CRP_PhoP	ompR//gatB//aroP//
CRP_PutA	ddlB//
CRP_RbsR	hycH//actP//puuA//hyfD//pgk//mazG//
CRP_RhaR_RhaS	pspG//fixC//
CRP_RhaS	dinI//fixA//codB//
CRP_Rob	pspB//
CRP_TorR	cusA//puuR//hybE//
CRP_UhpA_UvrY	aroG//
CRP_UidR_UxuR	melR//sdhD//folA//
CRP_UvrY	stpA//
CRP_YehT	rsmH//
CRP_ZraR	rrlD//pheM//
CadC_FNR_H-NS_LeuO_MlrA	ilvI//
Cbl_CysB	carA//nupG//nac//narL//
Cbl_CysB_FNR_IHF	degP//ynfE//citG//hyaB//treC//
CdaR_FNR_Fis_Fur_H-NS	uxaB//
CdaR_FNR_Fur_H-NS	nikE//hlyE//dgcZ//higA//
CpxR_CsgD_FliZ	ssuC//leuO//slp//
CpxR_CysB	gspE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	katE//
CpxR_GadE	betT//frdD//yjcH//murD//
CpxR_H-NS	araG//
CpxR_NsrR	fecD//
CpxR_RcsB	ilvE//
CpxR_TyrR	fucU//
Cra_FNR_Fis_Lrp_NarL	rplC//
Cra_FNR_Fur_MarA_Rob_SoxS	acnA//
Cra_FhlA_FlhDC	rrsD//
Cra_GntR_KdgR	prpD//
Cra_GntR_KdgR_PhoB	hycC//
Cra_MarA_SoxS	nhaA//
Cra_PdeL	cysG//
Cra_SgrR	rimP//astC//tyrR//
Cra_TyrR	glpB//
CreB_NagC	caiC//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	aidB//
CsgD_FlhDC	cusB//micF//srlB//acrZ//lsrG//rrlG//tnaB//adhE//rrsB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	nrfG//metL//
CspA_Fis_GadX_H-NS	ulaB//
CueR_FNR_ModE	hyfD//frdA//rpsO//dadX//malF//
CusR_PhoB_YedW	astA//hyfA//ftsL//galM//evgS//fixC//malK//
CysB_H-NS	lrp//ansB//chbA//nrdG//gntT//
CysB_HypT_IHF	rhaS//
CysB_IHF	cydC//entC//
CysB_NtrC	gabP//
CysB_PhoP	nrdH//
DcuR_FNR_NarL	carA//lhgO//hycF//gspM//
DinJ-YafQ_LexA	accC//malF//
DpiA_H-NS	nirC//
DsdC_NsrR	idnR//
EvgA_FNR	alaV//ynfF//
EvgA_H-NS	ydhY//dsdX//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hisP//
EvgA_H-NS_PhoP_RcsB_YdeO	caiC//
EvgA_PhoP_RcsB_YdeO	lacA//
ExuR_UxuR	aroG//mraZ//
FNR_FhlA_IHF_NsrR	gspM//oxyR//gspI//ugpE//lacZ//
FNR_FhlA_NarL_NarP	ileU//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gcvT//fecA//pgaA//prmC//ydeN//sucA//aldA//
FNR_Fis_IHF_ModE_NarL	uvrA//hyfB//hisP//
FNR_Fis_IHF_NarL	gspG//
FNR_Fis_IHF_NarL_RstA	uhpT//hybD//nrfE//fliZ//
FNR_FlhDC	narX//
FNR_FlhDC_IscR_ModE_NarL_NarP	fliJ//ahpC//csgC//ilvM//cydD//idnR//mglA//
FNR_FlhDC_ModE_NarL_NarP	uxuB//dmsD//citC//uxuB//tauD//dnaN//sufD//fau//
FNR_Fur	ydeM//pstC//
FNR_Fur_GadE	fliH//
FNR_Fur_GadX_NtrC	gyrA//nuoC//
FNR_Fur_H-NS	leuO//folA//nikC//mdtB//
FNR_Fur_MetR_NsrR	csrC//
FNR_Fur_Nac_NtrC	hycI//
FNR_Fur_NagC	rpsQ//dmsA//fimH//
FNR_Fur_OxyR	cusF//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	oxyR//
FNR_H-NS	glcF//narI//
FNR_H-NS_NrdR	srlA//hisQ//
FNR_IHF	araJ//nrfG//rplB//prpD//guaA//
FNR_IHF_Lrp_YeiL	acrE//
FNR_IHF_NarL_NarP_NorR	fimC//hycI//
FNR_IHF_PhoB	fixC//skp//soxR//rbfA//csgF//
FNR_MalT	appA//fliE//
FNR_ModE	metE//malQ//
FNR_NarL	phoQ//emrY//ccmH//poxB//sbmC//mdtF//
FNR_NarL_NarP	hyfE//proX//gadE//ydeN//ybiT//astD//ebgA//prpE//malQ//
FNR_NarL_NarP_NsrR	gabD//
FNR_NarL_NarP_NsrR_OxyR	carB//ygbA//
FNR_NarL_NikR	malX//yhiD//evgS//ydeP//astD//pnp//
FNR_NsrR	rbsK//rrsH//acrE//
FNR_OxyR	fliH//
FNR_PurR	cysU//ydhW//
FNR_YqjI	fliZ//
FabR_FadR	aroA//nrdB//
FadR_IHF	rseA//
FadR_IclR	nagB//
FhlA_FlhDC	chbF//
FhlA_IHF_ModE_NsrR	gspF//ftsW//ssuE//nanE//astD//proV//lsrR//nfuA//rrfA//
FhlA_IHF_NsrR	puuD//
Fis_Fur	fdnG//
Fis_H-NS	amtB//
Fis_H-NS_IHF_MntR_OxyR	sdhC//
Fis_H-NS_Lrp	malY//feoC//mnmG//torA//frdC//metQ//ascF//gatY//napG//srlD//katG//sufC//rutC//torA//fimD//metH//nrdD//prpD//modC//sucC//gadX//malY//chbA//chiP//
Fis_H-NS_Lrp_StpA	gatD//lsrB//
Fis_IHF	marB//
Fis_IHF_NtrC	tolC//cydC//
Fis_IHF_OmpR_RcsB	yiaM//
Fis_Lrp	ybfN//hydN//betI//hokD//baeR//glpQ//casD//hyfH//sbmC//
Fis_MazE_MazE-MazF	ftsW//
Fis_NarL	glcB//
Fis_NarL_NarP_NsrR	nirC//pqiB//
Fis_PurR	torA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nirD//murQ//pnp//
FliZ_RutR	caiF//
Fur_H-NS	araC//acrB//dmsD//astA//pstS//gntX//gcvT//gnd//dpiA//lsrR//lsrD//gltW//codA//
Fur_IHF_IscR_NsrR_OxyR	dgcZ//aslB//fimG//rbsC//galP//mioC//
Fur_IscR_NrdR	yecR//cdd//lacY//rbsC//
Fur_MetR	rpsQ//
Fur_MntR	rplB//
Fur_MntR_OxyR	mraZ//
Fur_OxyR	sucC//
Fur_PurR	cadA//hisM//
Fur_RcnR	actP//fucI//
Fur_RutR	fadI//
Fur_SoxS_Zur	yiaJ//
Fur_YqjI	paaH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	tdcA//ycdZ//
GadE-RcsB_H-NS	hycE//
GadE-RcsB_PhoB	dsdC//
GadE-RcsB_Rob	rplC//
GadE_GadX_H-NS_PhoP_RcsB	zwf//
GadE_H-NS_Lrp_NsrR	glpB//
GadE_H-NS_MatA	acs//
GadE_H-NS_RcsAB	bhsA//
GadE_MarA_PurR	cusA//
GadW_GadX_RcsB	fecD//
GalR_GalS	cusS//
GlrR_IHF	rbsC//
H-NS_IHF	atoE//tyrP//hycG//
H-NS_IHF_Lrp	cspD//ygbA//inaA//pspE//chbG//hycG//cydD//
H-NS_LeuO	gatB//nrdG//
H-NS_LeuO_RcsB-BglJ_StpA	hupA//
H-NS_LrhA_Lrp	proP//
H-NS_Lrp	ulaG//cspA//
H-NS_Lrp_NhaR_RcsB	rplT//
H-NS_Lrp_StpA	ssuB//
H-NS_McbR	entE//dppD//yiaL//
H-NS_NhaR	truB//prpD//
H-NS_OmpR	lsrF//
H-NS_PhoB_RcdA_RstA	fur//
HU_IHF_TrpR_TyrR	gatC//
HU_IHF_TyrR	pgaB//
HigA_HigB-HigA	murQ//rrlA//
HipAB_HipB_IHF	casC//narK//
HypT_MetJ	rutG//ackA//fimD//
HypT_MetJ_PhoP	fecC//casC//
IHF_Lrp	dmsB//ssb//glcF//agaW//hyaA//glpF//tnaB//glcF//
IHF_NsrR	paaB//
IHF_NtrC	zraS//srlD//
IHF_PhoP	yrbL//
IHF_PspF	betA//yiaO//hybG//hyfJ//srlR//dmsD//
IHF_RcsAB	ygiA//cusR//yefM//glnL//
IHF_RtcR	entH//infB//
IHF_TyrR	appX//
IHF_UlaR	glpD//
LexA_MraZ_PdhR	fhlA//rrfB//galK//cspE//osmY//nrfD//gspM//sgbE//dmsC//lsrC//rutD//
LexA_MraZ_PdhR_RcsB_SdiA	flgN//ilvX//
LexA_MraZ_PdhR_SdiA	fucU//
LexA_NagC	uxaA//
LexA_RcdA	glnG//
LexA_RcsB-BglJ	glpX//
MarA_OxyR_Rob_SoxS	entH//dmsA//mglA//prpD//
MarA_PhoP_Rob_SoxS	sucC//fucR//pgaC//nrfG//
MarA_Rob_SoxS	pspG//cirA//hyfE//csrC//yoeB//
MarA_SoxS	betB//puuB//sdhD//nrdG//iclR//
MetJ_MetR	appX//cysP//
MetJ_OxyR	csgA//astA//
MetR_PurR	fliC//
MraZ_PdhR	rbsA//fliI//
Nac_PurR	rseC//pflB//
NarL_TorR	gntU//appX//hybO//
NemR_RutR	ulaD//acrF//malQ//
NhaR_OmpR	mdtE//agaA//malS//uxaA//
NorR_NsrR	hyaA//
NsrR_PhoB	ynfG//
OxyR_SoxS	nrdI//
PdhR_PhoP	dps//
PgrR_TyrR	purA//
PhoB_PhoP	nanS//
PhoP_PurR_RbsR	hcp//araA//
RelB_RelB-RelE	yjcH//rrsC//nuoG//
TrpR_TyrR	lhgO//tdcB//fucK//
YefM_YefM-YoeB	ubiA//ulaE//
