# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon Nov 26 08:19:26 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG10368	epd	ERYTH4PDEHYDROG-RXN//
EG10371	gcvH	GCVT-RXN//RXN-8629//GCVP-RXN//GCVMULTI-RXN//
EG10372	gdhA	GLUTDEHYD-RXN//
EG10375	mnmG	RXN-18710//RXN0-7083//RXN0-7068//
EG10377	glgA	GLYCOGENSYN-RXN//
EG10378	glgB	GLYCOGEN-BRANCH-RXN//
EG10379	glgC	GLUC1PADENYLTRANS-RXN//
EG10380	glgP	GLYCOPHOSPHORYL-RXN//
EG10381	glgX	RXN0-5146//
EG10382	glmS	L-GLN-FRUCT-6-P-AMINOTRANS-RXN//
EG10383	glnA	GLUTAMINESYN-RXN//
EG10391	glpA	RXN-15740//
EG10392	glpB	RXN-15740//
EG10393	glpC	RXN-15740//
EG10394	glpD	RXN0-5260//
EG10398	glpK	GLYCEROL-KIN-RXN//
EG10399	glpQ	GLYCPDIESTER-RXN//RXN-14073//
EG10403	gltB	GLUTDEHYD-RXN//GLUTAMATESYN-RXN//GLUTAMIN-RXN//
EG10404	gltD	GLUTDEHYD-RXN//GLUTAMATESYN-RXN//GLUTAMIN-RXN//
EG10408	glyA	RXN-6321//GLYOHMETRANS-RXN//LTAA-RXN//RXN0-5234//RXN0-5240//
EG10411	gnd	RXN-9952//
EG10412	gor	GLUTATHIONE-REDUCT-NADPH-RXN//
EG10417	grxA	RXN-19629//RXN-18586//
EG10420	guaA	GMP-SYN-NH3-RXN//GLUTAMIN-RXN//GMP-SYN-GLUT-RXN//
EG10421	guaB	IMP-DEHYDROG-RXN//
EG10431	hemH	PROTOHEMEFERROCHELAT-RXN//
EG10432	hemL	GSAAMINOTRANS-RXN//
EG10456	hmp	R621-RXN//1.5.1.34-RXN//
EG10468	hyaA	RXN-16420//
EG10469	hyaB	RXN-16420//
EG10470	hyaC	RXN-16420//
EG10475	hycB	FHLMULTI-RXN//
EG10476	hycC	FHLMULTI-RXN//
EG10477	hycD	FHLMULTI-RXN//
EG10478	hycE	FHLMULTI-RXN//
EG10479	hycF	FHLMULTI-RXN//
EG10480	hycG	FHLMULTI-RXN//
EG10484	hypB	RXN0-5462//
EG10489	icd	ISOCITDEH-RXN//RXN-9951//RXN-8642//
EG10495	ilvC	ACETOOHBUTREDUCTOISOM-RXN//2-DEHYDROPANTOATE-REDUCT-RXN//ACETOLACTREDUCTOISOM-RXN//
EG10509	katE	CATAL-RXN//RXN-8073//
EG10511	katG	CATAL-RXN//RXN-8667//
EG10524	lacA	GALACTOACETYLTRAN-RXN//
EG10527	lacZ	BETAGALACTOSID-RXN//RXN0-5363//RXN-17726//RXN0-7219//
EG10543	lpd	RXN0-1134//RXN0-1147//RXN0-1133//GCVT-RXN//RXN-8629//RXN-8629//RXN0-1132//RXN0-1132//1.8.1.4-RXN//GCVP-RXN//RXN-7716//RXN-7716//2OXOGLUTDECARB-RXN//GCVMULTI-RXN//2OXOGLUTARATEDEH-RXN//PYRUVDEH-RXN//RXN-15119//
EG10545	lpxA	UDPNACETYLGLUCOSAMACYLTRANS-RXN//
EG10549	lysA	DIAMINOPIMDECARB-RXN//
EG10550	lysC	ASPARTATEKIN-RXN//
EG10560	malP	RXN-14285//RXN-9025//RXN-14284//RXN0-5184//RXN-14286//RXN0-5182//
EG10561	malQ	RXN-14261//AMYLOMALT-RXN//MALTODEG-RXN//RXN-14260//
EG10564	malY	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10565	malZ	RXN-14281//MALTODEXGLUCOSID-RXN//RXN-14283//RXN0-5183//RXN-14282//
EG10572	mazG	RXN0-383//NUCLEOTIDE-PYROPHOSPHATASE-RXN//DCTP-PYROPHOSPHATASE-RXN//RXN-14139//RXN0-385//RXN0-6382//RXN0-1603//RXN0-384//ATP-PYROPHOSPHATASE-RXN//DUTP-PYROP-RXN//RXN0-1602//RXN0-5107//
EG10576	mdh	MALATE-DEH-RXN//
EG10577	melA	ALPHAGALACTOSID-RXN//RXN-17754//
EG10581	metA	HOMSUCTRAN-RXN//
EG10582	metB	METBALT-RXN//O-SUCCHOMOSERLYASE-RXN//RXN-15147//
EG10583	metC	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10584	metE	HOMOCYSMET-RXN//
EG10585	metF	1.5.1.20-RXN//
EG10587	metH	HOMOCYSMETB12-RXN//HOMOCYSMET-RXN//
EG10589	metK	S-ADENMETSYN-RXN//
EG10590	metL	HOMOSERDEHYDROG-RXN//ASPARTATEKIN-RXN//
EG10604	mraY	PHOSNACMURPENTATRANS-RXN//
EG10616	mtlD	MANNPDEHYDROG-RXN//
EG10619	murC	UDP-NACMUR-ALA-LIG-RXN//
EG10620	murD	UDP-NACMURALA-GLU-LIG-RXN//
EG10621	murE	UDP-NACMURALGLDAPLIG-RXN//
EG10622	murF	UDP-NACMURALGLDAPAALIG-RXN//
EG10623	murG	NACGLCTRANS-RXN//
EG10630	nadA	QUINOLINATE-SYNTHA-RXN//
EG10631	nadB	L-ASPARTATE-OXID-RXN//RXN-9772//
EG10632	nagA	NAG6PDEACET-RXN//
EG10633	nagB	GLUCOSAMINE-6-P-DEAMIN-RXN//
EG10634	umpH	RXN-14025//RXN-7609//5-NUCLEOTID-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-7607//RXN-14026//
EG10637	nanA	RXN-15313//ACNEULY-RXN//
EG10638	narG	RXN-15119//
EG10639	narH	RXN-15119//
EG10640	narI	RXN-15119//
EG10649	ndh	R170-RXN//RXN0-5330//
EG10653	nirB	RXN-13854//
EG10655	nirD	RXN-13854//
EG10660	nrdA	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10661	nrdB	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10668	ogt	RXN-17824//2.1.1.63-RXN//
EG10688	pck	PEPCARBOXYKIN-RXN//
EG10695	pepD	RXN0-6981//
EG10699	pfkA	RXN0-6541//6PFRUCTPHOS-RXN//
EG10701	pflB	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
EG10702	pgi	PGLUCISOM-RXN//
EG10703	pgk	PHOSGLYPHOS-RXN//
EG10709	pheS	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10710	pheT	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10716	phnG	RXN0-6732//RXN-17954//
EG10717	phnH	RXN0-6732//RXN-17954//
EG10718	phnI	RXN0-6732//RXN-17954//
EG10719	phnJ	RXN-17956//RXN0-6734//
EG10721	phnL	RXN0-6732//RXN-17954//
EG10722	phnM	RXN-17955//RXN0-6733//
EG10723	phnN	RXN0-1401//
EG10724	phnO	RXN0-7014//RXN-17962//RXN-17961//RXN-17960//
EG10725	phnP	RXN0-6710//
EG10727	phoA	RXN-14025//RXN-14142//RXN0-5185//RXN-14161//RXN-15312//RXN0-7250//RXN-14090//SUGAR-PHOSPHATASE-RXN//RXN-5647//GPH-RXN//SORBITOL-6-PHOSPHATASE-RXN//RXN-14505//3.1.3.68-RXN//MANNITOL-1-PHOSPHATASE-RXN//PHOSPHOAMIDASE-RXN//RXN-17725//RXN-14511//RXN0-5114//PHOSPHOGLYCERATE-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN-14514//TRIPHOSPHATASE-RXN//RXN0-5187//RXN-7948//RXN0-7249//HISTIDPHOS-RXN//GLYCEROL-2-PHOSPHATASE-RXN//INORGPYROPHOSPHAT-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-17724//RXN-14510//RXN-17745//RXN-7607//GLUCOSE-1-PHOSPHAT-RXN//RXN-14513//RXN0-5292//F16BDEPHOS-RXN//RXN-14026//RXN0-5186//RXN-14181//RXN-14483//RXN-17330//RXN0-7251//3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN//RXN-5822//RXN-14115//RXN66-526//RXN-14509//3.1.3.74-RXN//PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN//ALKAPHOSPHA-RXN//RXN-14126//RXN-14512//4-NITROPHENYLPHOSPHATASE-RXN//
EG10736	phr	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN//RXN-19025//RXN-19026//
EG10742	pncB	NICOTINATEPRIBOSYLTRANS-RXN//
EG10743	pnp	RXN0-6479//
EG10746	polA	DNA-DIRECTED-DNA-POLYMERASE-RXN//RXN0-4961//
EG10747	polB	DNA-DIRECTED-DNA-POLYMERASE-RXN//RXN0-4961//
EG10754	poxB	RXN0-2022//RXN-11496//
EG10756	ppc	PEPCARBOX-RXN//
EG10757	ppiA	PEPTIDYLPROLYL-ISOMERASE-RXN//
EG10759	ppsA	PEPSYNTH-RXN//
EG10774	prs	PRPPSYN-RXN//
EG10775	psd	PHOSPHASERDECARB-RXN//
EG10780	pspE	THIOSULFATE-SULFURTRANSFERASE-RXN//
EG10790	purA	ADENYLOSUCCINATE-SYNTHASE-RXN//
EG10791	purC	SAICARSYN-RXN//
EG10792	purD	GLYRIBONUCSYN-RXN//
EG10793	purE	RXN0-743//
EG10794	purF	PRPPAMIDOTRANS-RXN//
EG10795	purH	IMPCYCLOHYDROLASE-RXN//AICARTRANSFORM-RXN//
EG10796	purK	RXN0-742//
EG10797	purL	FGAMSYN-RXN//
EG10798	purM	AIRS-RXN//
EG10799	purN	GART-RXN//
EG10801	putA	RXN0-7008//PYRROLINECARBDEHYDROG-RXN//RXN-14116//
EG10804	pykF	PEPDEPHOS-RXN//
EG10806	pyrC	DIHYDROOROT-RXN//
EG10807	pyrD	DIHYDROOROTATE-DEHYDROGENASE-RXN//
EG10817	rbsD	RXN0-5304//
EG10818	rbsK	RIBOKIN-RXN//
EG10824	recB	RXN-11135//
EG10826	recD	RXN-11135//
EG10828	recF	RXN0-2606//
EG10835	relA	GTPPYPHOSKIN-RXN//GDPPYPHOSKIN-RXN//
EG10840	rfe	GLCNACPTRANS-RXN//
EG10852	rimK	RXN0-6726//
EG10921	ftnA	RXN-15294//RXN-15293//RXN-15292//
EG10927	sbcC	RXN-17307//
EG10931	sdhA	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10932	sdhB	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10933	sdhC	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10934	sdhD	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10944	serA	PGLYCDEHYDROG-RXN//RXN-16701//KETOGLUTREDUCT-RXN//
EG10950	slt	RXN-17392//RXN-17391//RXN0-5190//
EG10953	sodA	SUPEROX-DISMUT-RXN//
EG10954	sodB	SUPEROX-DISMUT-RXN//
EG10959	speA	ARGDECARBOX-RXN//
EG10960	speB	AGMATIN-RXN//
EG10971	srlD	SORB6PDEHYDROG-RXN//
EG10973	gutQ	DARAB5PISOM-RXN//
EG10979	sucA	RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10980	sucB	RXN0-1147//RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
EG10981	sucC	SUCCCOASYN-RXN//
EG10982	sucD	SUCCCOASYN-RXN//
EG10990	tdcB	4.3.1.17-RXN//RXN-15122//RXN-15125//THREDEHYD-RXN//
EG11001	thrS	THREONINE--TRNA-LIGASE-RXN//
EG11005	tnaA	RXN-15129//TRYPTOPHAN-RXN//RXN-15578//LCYSDESULF-RXN//
EG11015	tpiA	TRIOSEPISOMERIZATION-RXN//
EG11024	trpA	TRYPSYN-RXN//RXN0-2382//RXN0-2381//RXN0-2381//
EG11025	trpB	TRYPSYN-RXN//RXN0-2382//RXN0-2382//RXN0-2381//
EG11026	trpC	IGPSYN-RXN//PRAISOM-RXN//
EG11027	trpD	ANTHRANSYN-RXN//PRTRANS-RXN//
EG11028	trpE	ANTHRANSYN-RXN//
EG11039	tyrA	PREPHENATEDEHYDROG-RXN//CHORISMATEMUT-RXN//
EG11040	tyrB	2.6.1.57-RXN//TYROSINE-AMINOTRANSFERASE-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//PHEAMINOTRANS-RXN//
EG11044	ubiX	RXN-16937//
EG11045	udp	URPHOS-RXN//
EG11050	ugpQ	RXN-14160//RXN-14136//GLYCPDIESTER-RXN//RXN-14073//
EG11055	uidA	BETA-GLUCURONID-RXN//
EG11056	umuC	DNA-DIRECTED-DNA-POLYMERASE-RXN//
EG11057	umuD	DNA-DIRECTED-DNA-POLYMERASE-RXN//
EG11058	ung	RXN0-2584//
EG11061	uvrA	RXN0-2621//
EG11062	uvrB	RXN0-2621//
EG11063	uvrC	RXN0-2621//
EG11065	uxaB	ALTRO-OXIDOREDUCT-RXN//
EG11066	uxuA	MANNONDEHYDRAT-RXN//
EG11074	xylA	XYLISOM-RXN//
EG11075	xylB	RXN0-382//XYLULOKIN-RXN//
EG11085	rsmH	RXN-11638//
EG11094	sbcD	RXN-17307//
EG11105	entH	RXN0-7046//
EG11157	ygeA	RXN0-7285//
EG11158	fau	5-FORMYL-THF-CYCLO-LIGASE-RXN//
EG11168	ttdA	LTARTDEHYDRA-RXN//
EG11169	ttdB	LTARTDEHYDRA-RXN//
EG11172	tdcD	PROPKIN-RXN//
EG11175	garK	GKI-RXN//
EG11176	garR	TSA-REDUCT-RXN//RXN0-5289//
EG11177	truB	RXN-11839//
EG11198	glmU	2.3.1.157-RXN//NAG1P-URIDYLTRANS-RXN//
EG11204	murI	GLUTRACE-RXN//
EG11221	zwf	GLU6PDEHYDROG-RXN//
EG11222	alkA	3.2.2.21-RXN//
EG11223	argH	ARGSUCCINLYA-RXN//
EG11226	leuA	2-ISOPROPYLMALATESYN-RXN//
EG11236	pdeL	RXN0-4181//
EG11253	ldtD	RXN-16660//RXN0-5402//RXN-16665//RXN-16664//
EG11257	dgcC	RXN0-5359//
EG11261	nfsA	R303-RXN//
EG11266	waaH	RXN-14361//
EG11284	fabZ	4.2.1.59-RXN//RXN-11481//RXN-10656//4.2.1.58-RXN//RXN-11477//RXN-9533//RXN-9537//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//RXN-9520//RXN-9557//RXN-9655//4.2.1.61-RXN//RXN0-2144//RXN-10660//
EG11286	argE	ACETYLORNDEACET-RXN//
EG11314	purB	AICARSYN-RXN//AMPSYN-RXN//
EG11316	malS	RXN0-5181//
EG11317	fabD	MALONYL-COA-ACP-TRANSACYL-RXN//
EG11318	fabG	RXN-9524//RXN0-2142//3-OXOACYL-ACP-REDUCT-RXN//RXN-10659//RXN-9528//RXN-11480//RXN-10655//RXN-9514//RXN-11476//RXN-9532//RXN-9536//RXN-9540//RXN-9518//RXN-9556//
EG11325	acnA	ACONITATEDEHYDR-RXN//RXN-14047//ACONITATEHYDR-RXN//
EG11326	codA	RXN0-6708//CYTDEAM-RXN//
EG11329	gabD	SUCCSEMIALDDEHYDROG-RXN//
EG11331	ribA	GTP-CYCLOHYDRO-II-RXN//
EG11369	ubiC	CHORPYRLY-RXN//
EG11370	ubiA	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN//
EG11371	pgpC	PGPPHOSPHA-RXN//
EG11372	tadA	RXN0-1081//
EG11373	mltF	RXN-17391//RXN0-5190//
EG11375	folE	GTP-CYCLOHYDRO-I-RXN//
EG11384	ahpC	R4-RXN//
EG11385	ahpF	R4-RXN//
EG11402	treC	TRE6PHYDRO-RXN//
EG11404	ychF	ATPASE-RXN//
EG11417	nrdD	RXN0-724//RXN0-745//RIBONUCLEOSIDE-TRIP-REDUCT-RXN//RXN0-723//RXN0-746//
EG11425	waaY	RXN0-5123//
EG11426	waaZ	RXN-11326//
EG11442	gcvT	GCVT-RXN//GCVT-RXN//RXN-8629//GCVP-RXN//GCVMULTI-RXN//
EG11451	wecB	UDPGLCNACEPIM-RXN//
EG11452	wecC	UDPMANNACADEHYDROG-RXN//
EG11453	rffG	DTDPGLUCDEHYDRAT-RXN//
EG11454	rffH	DTDPGLUCOSEPP-RXN//
EG11455	rffC	TDPFUCACTRANS-RXN//
EG11456	wecE	RFFTRANS-RXN//
EG11458	rffM	UDPMANACATRANS-RXN//
EG11490	gadB	GLUTDECARBOX-RXN//
EG11501	adiA	ARGDECARBOX-RXN//
EG11517	glpX	F16BDEPHOS-RXN//
EG11528	fabI	RXN-11478//RXN-9658//RXN-9661//RXN-9558//RXN-9657//RXN-9660//RXN-9663//ENOYL-ACP-REDUCT-NADH-RXN//RXN0-2145//RXN-10661//RXN-9659//RXN-11482//RXN-9662//RXN-10657//
EG11530	fadD	ACYLCOASYN-RXN//
EG11540	wrbA	RXN0-5330//
EG11551	hypF	RXN-14552//
EG11557	caiD	CARNDETRU-RXN//
EG11558	caiC	LCARNCOALIG-RXN//
EG11559	caiB	RXN0-3601//
EG11560	caiA	CROBETREDUCT-RXN//
EG11575	leuD	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11576	leuC	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11577	leuB	3-ISOPROPYLMALDEHYDROG-RXN//RXN-13158//
EG11583	gcl	GLYOCARBOLIG-RXN//
EG11595	moaA	RXN-8340//
EG11597	moaD	RXN-8342//
EG11598	moaE	RXN-8342//
EG11643	dgcZ	RXN0-5359//
EG11647	accA	RXN0-5055//
EG11648	dkgB	RXN0-5141//RXN0-4281//RXN0-7020//
EG11665	bacA	RXN-11776//UNDECAPRENYL-DIPHOSPHATASE-RXN//
EG11666	moaC	RXN-17809//
EG11669	atoD	ACETOACETYL-COA-TRANSFER-RXN//
EG11670	atoA	ACETOACETYL-COA-TRANSFER-RXN//
EG11672	atoB	ACETYL-COA-ACETYLTRANSFER-RXN//
EG11698	galM	ALDOSE1EPIM-RXN//
EG11699	gpmA	RXN-15509//RXN-15512//RXN-15511//RXN-15510//RXN-15513//
EG11781	nrfA	RXN-18605//
EG11797	talA	TRANSALDOL-RXN//
EG11810	gcvP	GCVT-RXN//RXN-8629//GCVP-RXN//GCVP-RXN//GCVMULTI-RXN//
EG11814	torA	RXN0-5264//
EG11815	torC	RXN0-5264//
EG11822	puuB	RXN0-3921//
EG11827	rpiB	RXN0-303//RIB5PISOM-RXN//
EG11831	srkA	PROTEIN-KINASE-RXN//
EG11866	rhaD	RHAMNULPALDOL-RXN//
EG11867	rhaA	LYXISOM-RXN//RHAMNISOM-RXN//
EG11868	rhaB	RHAMNULOKIN-RXN//
