# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Fri Nov 23 12:16:12 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10001	alr	ALARACECAT-RXN//
EG10091	asnA	ASNSYNA-RXN//
EG10092	asnB	ASNSYNB-RXN//GLUTAMIN-RXN//ASNSYNA-RXN//
EG10094	asnS	ASPARAGINE--TRNA-LIGASE-RXN//
EG10095	aspA	ASPARTASE-RXN//
EG10096	aspC	2.6.1.7-RXN//ASPAMINOTRANS-RXN//TYROSINE-AMINOTRANSFERASE-RXN//PHEAMINOTRANS-RXN//CYSTEINE-AMINOTRANSFERASE-RXN//
EG10097	aspS	ASPARTATE--TRNA-LIGASE-RXN//
EG10107	avtA	RXN0-5200//VALINE-PYRUVATE-AMINOTRANSFER-RXN//
EG10109	betA	CHD-RXN//
EG10110	betB	BADH-RXN//
EG10117	bioA	DAPASYN-RXN//
EG10118	bioB	RXN-17473//2.8.1.6-RXN//
EG10119	bioC	RXN-11475//
EG10120	bioD	DETHIOBIOTIN-SYN-RXN//
EG10121	bioF	7KAPSYN-RXN//RXN-11484//
EG10122	bioH	RXN-11483//CARBOXYLESTERASE-RXN//
EG10123	birA	RXN0-7192//BIOTINLIG-RXN//
EG10130	btuR	RXN-19342//RXN-19343//COBALADENOSYLTRANS-RXN//
EG10131	cadA	LYSDECARBOX-RXN//
EG10134	carA	CARBPSYN-RXN//RXN-13202//GLUTAMIN-RXN//
EG10135	carB	CARBPSYN-RXN//RXN-13202//GLUTAMIN-RXN//
EG10137	cdd	CYTIDEAM2-RXN//CYTIDEAM-RXN//
EG10139	cdsA	CDPDIGLYSYN-RXN//RXN0-5515//
EG10144	chbF	6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-7002//
EG10147	cheB	CHEBDEAMID-RXN//MCPMETEST-RXN//
EG10153	moeA	RXN-8348//
EG10154	moeB	RXN-11361//
EG10161	cpsB	2.7.7.13-RXN//
EG10162	cpsG	PHOSMANMUT-RXN//
EG10175	cynS	RXN-12893//R524-RXN//
EG10176	cynT	RXN0-5224//
EG10185	cysC	ADENYLYLSULFKIN-RXN//
EG10186	cysD	SULFATE-ADENYLYLTRANS-RXN//
EG10187	cysE	SERINE-O-ACETTRAN-RXN//
EG10188	cysG	UROPORIIIMETHYLTRANSA-RXN//RXN-13403//DIMETHUROPORDEHYDROG-RXN//RXN-8675//SIROHEME-FERROCHELAT-RXN//
EG10189	cysH	1.8.4.8-RXN//
EG10190	cysI	SULFITE-REDUCT-RXN//
EG10191	cysJ	SULFITE-REDUCT-RXN//NADPH-DEHYDROGENASE-FLAVIN-RXN//
EG10192	cysK	RXN-15129//ACSERLY-RXN//LCYSDESULF-RXN//
EG10193	cysM	RXN-15129//SULFOCYS-RXN//ACSERLY-RXN//LCYSDESULF-RXN//
EG10194	cysN	SULFATE-ADENYLYLTRANS-RXN//
EG10196	cysS	CYSTEINE--TRNA-LIGASE-RXN//
EG10201	dacA	RXN-16649//BETA-LACTAMASE-RXN//
EG10203	dacC	RXN-16649//
EG10205	dapA	DIHYDRODIPICSYN-RXN//
EG10206	dapB	RXN-14014//
EG10207	dapD	TETHYDPICSUCC-RXN//
EG10208	dapE	SUCCDIAMINOPIMDESUCC-RXN//
EG10209	dapF	DIAMINOPIMEPIM-RXN//
EG10213	ddlA	DALADALALIG-RXN//
EG10214	ddlB	DALADALALIG-RXN//
EG10217	accD	RXN0-5055//
EG10219	deoA	THYM-PHOSPH-RXN//URA-PHOSPH-RXN//
EG10220	deoB	D-PPENTOMUT-RXN//PPENTOMUT-RXN//
EG10221	deoC	DEOXYRIBOSE-P-ALD-RXN//
EG10222	deoD	ADENPHOSPHOR-RXN//DEOXYGUANPHOSPHOR-RXN//PNP-RXN//DEOXYADENPHOSPHOR-RXN//DEOXYINOPHOSPHOR-RXN//INOPHOSPHOR-RXN//RXN0-5199//
EG10231	dld	DLACTDEHYDROGFAD-RXN//
EG10232	dmsA	DIMESULFREDUCT-RXN//
EG10233	dmsB	DIMESULFREDUCT-RXN//
EG10234	dmsC	DIMESULFREDUCT-RXN//
EG10247	acpS	HOLO-ACP-SYNTH-RXN//ENTDB-RXN//
EG10249	dsdA	RXN-15581//DSERDEAM-RXN//
EG10251	dut	DUTP-PYROP-RXN//
EG10256	eda	RXN-13990//OXALODECARB-RXN//KDPGALDOL-RXN//
EG10257	edd	PGLUCONDEHYDRAT-RXN//
EG10258	eno	2PGADEHYDRAT-RXN//
EG10259	entA	DHBDEHYD-RXN//
EG10260	entB	RXN-15891//RXN-15890//ISOCHORMAT-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10261	entC	ISOCHORSYN-RXN//
EG10262	entD	RXN-15891//RXN-15890//RXN-15889//ENTDB-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10263	entE	RXN0-6442//RXN-15891//RXN-15890//RXN0-5208//DHBAMPLIG-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//
EG10264	entF	RXN-15891//RXN-15891//RXN-15890//RXN-15890//ENTG-RXN//ENTG-RXN//ENTMULTI-RXN//ENTF-RXN//ENTF-RXN//
EG10265	lpxC	UDPACYLGLCNACDEACETYL-RXN//
EG10273	fabA	4.2.1.59-RXN//4.2.1.58-RXN//RXN-9533//RXN-9537//3-HYDROXYDECANOYL-ACP-DEHYDR-RXN//RXN-9520//RXN-9655//4.2.1.61-RXN//5.3.3.14-RXN//
EG10274	fabB	RXN-9531//RXN-9535//RXN-9539//RXN-9516//RXN-9523//MALONYL-ACPDECARBOX-RXN//RXN0-2141//RXN-10658//3-OXOACYL-ACP-SYNTH-RXN//RXN-9527//RXN-11479//RXN-10654//3-OXOACYL-ACP-SYNTH-BASE-RXN//
EG10276	accC	BIOTIN-CARBOXYL-RXN//
EG10277	fabH	ACP-S-ACETYLTRANSFER-RXN//2.3.1.180-RXN//
EG10278	fadA	RXN-17795//RXN-17782//RXN-14394//KETOACYLCOATHIOL-RXN//RXN-17791//RXN-17778//RXN-17787//RXN-17799//
EG10279	fadB	RXN-17776//RXN-17798//RXN-17785//OHBUTYRYL-COA-EPIM-RXN//RXN0-5393//RXN-17794//RXN-17781//RXN-17797//ENOYL-COA-HYDRAT-RXN//RXN-14393//OHACYL-COA-DEHYDROG-RXN//RXN-17790//RXN0-5391//RXN-17777//RXN-17793//RXN-7931//RXN-17780//ENOYL-COA-DELTA-ISOM-RXN//RXN-17786//RXN-17789//
EG10282	fbaA	F16ALDOLASE-RXN//SEDOBISALDOL-RXN//
EG10283	fbp	F16BDEPHOS-RXN//
EG10285	fdhF	FHLMULTI-RXN//RXN0-3281//
EG10316	lpxD	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN//
EG10326	folA	DIHYDROFOLATEREDUCT-RXN//
EG10327	folC	RXN0-2921//FOLYLPOLYGLUTAMATESYNTH-RXN//DIHYDROFOLATESYNTH-RXN//FORMYLTHFGLUSYNTH-RXN//
EG10328	folD	METHYLENETHFDEHYDROG-NADP-RXN//METHENYLTHFCYCLOHYDRO-RXN//
EG10330	frdA	R601-RXN//
EG10331	frdB	R601-RXN//
EG10332	frdC	R601-RXN//
EG10333	frdD	R601-RXN//
EG10337	fruK	1PFRUCTPHOSN-RXN//
EG10341	ftsI	RXN-16659//
EG10348	fucA	DARABALDOL-RXN//FUCPALDOL-RXN//
EG10349	fucI	FUCISOM-RXN//DARABISOM-RXN//
EG10350	fucK	DARABKIN-RXN//FUCULOKIN-RXN//
EG10351	fucO	LACTALDREDUCT-RXN//GLYCOLALDREDUCT-RXN//
EG10355	fucU	RXN0-5298//
EG10356	fumA	OXALOACETATE-TAUTOMERASE-RXN//FUMHYDR-RXN//
EG10357	fumB	D--TARTRATE-DEHYDRATASE-RXN//FUMHYDR-RXN//
EG10358	fumC	FUMHYDR-RXN//
EG10361	gabT	GABATRANSAM-RXN//ACETYLORNTRANSAM-RXN//
EG10362	galE	UDPGLUCEPIM-RXN//
EG10363	galK	GALACTOKIN-RXN//
EG10366	galT	GALACTURIDYLYLTRANS-RXN//
EG10367	gapA	GAPOXNPHOSPHN-RXN//
EG10368	epd	ERYTH4PDEHYDROG-RXN//
EG10369	gcd	RXN0-6373//
EG10370	ispG	RXN-15878//
EG10371	gcvH	GCVT-RXN//RXN-8629//GCVP-RXN//GCVMULTI-RXN//
EG10372	gdhA	GLUTDEHYD-RXN//
EG10377	glgA	GLYCOGENSYN-RXN//
EG10378	glgB	GLYCOGEN-BRANCH-RXN//
EG10379	glgC	GLUC1PADENYLTRANS-RXN//
EG10380	glgP	GLYCOPHOSPHORYL-RXN//
EG10381	glgX	RXN0-5146//
EG10382	glmS	L-GLN-FRUCT-6-P-AMINOTRANS-RXN//
EG10383	glnA	GLUTAMINESYN-RXN//
EG10390	glnS	GLUTAMINE--TRNA-LIGASE-RXN//
EG10391	glpA	RXN-15740//
EG10392	glpB	RXN-15740//
EG10393	glpC	RXN-15740//
EG10394	glpD	RXN0-5260//
EG10395	glpE	THIOSULFATE-SULFURTRANSFERASE-RXN//
EG10398	glpK	GLYCEROL-KIN-RXN//
EG10399	glpQ	GLYCPDIESTER-RXN//RXN-14073//
EG10402	gltA	CITSYN-RXN//
EG10403	gltB	GLUTDEHYD-RXN//GLUTAMATESYN-RXN//GLUTAMIN-RXN//
EG10404	gltD	GLUTDEHYD-RXN//GLUTAMATESYN-RXN//GLUTAMIN-RXN//
EG10407	gltX	GLURS-RXN//
EG10408	glyA	RXN-6321//GLYOHMETRANS-RXN//LTAA-RXN//RXN0-5234//RXN0-5240//
EG10409	glyQ	GLYCINE--TRNA-LIGASE-RXN//
EG10410	glyS	GLYCINE--TRNA-LIGASE-RXN//
EG10411	gnd	RXN-9952//
EG10412	gor	GLUTATHIONE-REDUCT-NADPH-RXN//
EG10413	gpp	PPPGPPHYDRO-RXN//
EG10414	gpt	GUANPRIBOSYLTRAN-RXN//HYPOXANPRIBOSYLTRAN-RXN//XANPRIBOSYLTRAN-RXN//
EG10417	grxA	RXN-19629//RXN-18586//
EG10418	gshA	GLUTCYSLIG-RXN//
EG10419	gshB	GLUTATHIONE-SYN-RXN//
EG10420	guaA	GMP-SYN-NH3-RXN//GLUTAMIN-RXN//GMP-SYN-GLUT-RXN//
EG10421	guaB	IMP-DEHYDROG-RXN//
EG10427	hemA	GLUTRNAREDUCT-RXN//
EG10428	hemB	PORPHOBILSYNTH-RXN//
EG10429	hemC	OHMETHYLBILANESYN-RXN//
EG10430	hemD	UROGENIIISYN-RXN//
EG10431	hemH	PROTOHEMEFERROCHELAT-RXN//
EG10432	hemL	GSAAMINOTRANS-RXN//
EG10444	hisA	PRIBFAICARPISOM-RXN//
EG10445	hisB	HISTIDPHOS-RXN//IMIDPHOSDEHYD-RXN//
EG10446	hisC	HISTAMINOTRANS-RXN//
EG10447	hisD	HISTOLDEHYD-RXN//RXN-8001//HISTALDEHYD-RXN//
EG10448	hisF	GLUTAMIDOTRANS-RXN//RXN-17900//GLUTAMIN-RXN//
EG10449	hisG	ATPPHOSPHORIBOSYLTRANS-RXN//
EG10450	hisH	GLUTAMIDOTRANS-RXN//RXN-17900//GLUTAMIN-RXN//
EG10451	hisI	HISTCYCLOHYD-RXN//HISTPRATPHYD-RXN//
EG10453	hisS	HISTIDINE--TRNA-LIGASE-RXN//
EG10464	lpxL	LAUROYLACYLTRAN-RXN//
EG10465	ribB	DIOHBUTANONEPSYN-RXN//
EG10468	hyaA	RXN-16420//
EG10469	hyaB	RXN-16420//
EG10470	hyaC	RXN-16420//
EG10475	hycB	FHLMULTI-RXN//
EG10476	hycC	FHLMULTI-RXN//
EG10477	hycD	FHLMULTI-RXN//
EG10478	hycE	FHLMULTI-RXN//
EG10479	hycF	FHLMULTI-RXN//
EG10480	hycG	FHLMULTI-RXN//
EG10489	icd	ISOCITDEH-RXN//RXN-9951//RXN-8642//
EG10492	ileS	ISOLEUCINE--TRNA-LIGASE-RXN//
EG10493	ilvA	RXN-15122//THREDEHYD-RXN//
EG10494	ilvB	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10495	ilvC	ACETOOHBUTREDUCTOISOM-RXN//2-DEHYDROPANTOATE-REDUCT-RXN//ACETOLACTREDUCTOISOM-RXN//
EG10496	ilvD	DIHYDROXYISOVALDEHYDRAT-RXN//DIHYDROXYMETVALDEHYDRAT-RXN//
EG10497	ilvE	BRANCHED-CHAINAMINOTRANSFERVAL-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//PHEAMINOTRANS-RXN//BRANCHED-CHAINAMINOTRANSFERILEU-RXN//
EG10499	ilvH	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10500	ilvI	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10501	ilvM	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10502	ilvN	ACETOLACTSYN-RXN//ACETOOHBUTSYN-RXN//
EG10508	ispA	FPPSYN-RXN//GPPSYN-RXN//
EG10509	katE	CATAL-RXN//RXN-8073//
EG10511	katG	CATAL-RXN//RXN-8667//
EG10512	kbl	AKBLIG-RXN//
EG10518	kdsA	KDO-8PSYNTH-RXN//
EG10519	kdsB	CPM-KDOSYNTH-RXN//
EG10520	waaA	KDOTRANS2-RXN//KDOTRANS-RXN//
EG10527	lacZ	BETAGALACTOSID-RXN//RXN0-5363//RXN-17726//RXN0-7219//
EG10532	leuS	LEUCINE--TRNA-LIGASE-RXN//
EG10543	lpd	RXN0-1134//RXN0-1147//RXN0-1133//GCVT-RXN//RXN-8629//RXN-8629//RXN0-1132//RXN0-1132//1.8.1.4-RXN//GCVP-RXN//RXN-7716//RXN-7716//2OXOGLUTDECARB-RXN//GCVMULTI-RXN//2OXOGLUTARATEDEH-RXN//PYRUVDEH-RXN//RXN-15119//
EG10545	lpxA	UDPNACETYLGLUCOSAMACYLTRANS-RXN//
EG10546	lpxB	LIPIDADISACCHARIDESYNTH-RXN//
EG10549	lysA	DIAMINOPIMDECARB-RXN//
EG10550	lysC	ASPARTATEKIN-RXN//
EG10552	lysS	LYSINE--TRNA-LIGASE-RXN//
EG10553	lysU	RXN0-5208//LYSINE--TRNA-LIGASE-RXN//RXN0-5209//
EG10560	malP	RXN-14285//RXN-9025//RXN-14284//RXN0-5184//RXN-14286//RXN0-5182//
EG10561	malQ	RXN-14261//AMYLOMALT-RXN//MALTODEG-RXN//RXN-14260//
EG10564	malY	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10565	malZ	RXN-14281//MALTODEXGLUCOSID-RXN//RXN-14283//RXN0-5183//RXN-14282//
EG10566	manA	MANNPISOM-RXN//
EG10572	mazG	RXN0-383//NUCLEOTIDE-PYROPHOSPHATASE-RXN//DCTP-PYROPHOSPHATASE-RXN//RXN-14139//RXN0-385//RXN0-6382//RXN0-1603//RXN0-384//ATP-PYROPHOSPHATASE-RXN//DUTP-PYROP-RXN//RXN0-1602//RXN0-5107//
EG10576	mdh	MALATE-DEH-RXN//
EG10577	melA	ALPHAGALACTOSID-RXN//RXN-17754//
EG10579	menD	2.5.1.64-RXN//
EG10581	metA	HOMSUCTRAN-RXN//
EG10582	metB	METBALT-RXN//O-SUCCHOMOSERLYASE-RXN//RXN-15147//
EG10583	metC	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10584	metE	HOMOCYSMET-RXN//
EG10585	metF	1.5.1.20-RXN//
EG10586	metG	RXN-16165//METHIONINE--TRNA-LIGASE-RXN//
EG10587	metH	HOMOCYSMETB12-RXN//HOMOCYSMET-RXN//
EG10589	metK	S-ADENMETSYN-RXN//
EG10590	metL	HOMOSERDEHYDROG-RXN//ASPARTATEKIN-RXN//
EG10604	mraY	PHOSNACMURPENTATRANS-RXN//
EG10605	mrcB	RXN-16649//RXN-16659//RXN-16650//
EG10606	mrdA	RXN-16659//
EG10614	lpxM	MYRISTOYLACYLTRAN-RXN//MYRPALMTRAN-RXN//
EG10616	mtlD	MANNPDEHYDROG-RXN//
EG10619	murC	UDP-NACMUR-ALA-LIG-RXN//
EG10620	murD	UDP-NACMURALA-GLU-LIG-RXN//
EG10621	murE	UDP-NACMURALGLDAPLIG-RXN//
EG10622	murF	UDP-NACMURALGLDAPAALIG-RXN//
EG10623	murG	NACGLCTRANS-RXN//
EG10630	nadA	QUINOLINATE-SYNTHA-RXN//
EG10631	nadB	L-ASPARTATE-OXID-RXN//RXN-9772//
EG10632	nagA	NAG6PDEACET-RXN//
EG10633	nagB	GLUCOSAMINE-6-P-DEAMIN-RXN//
EG10634	umpH	RXN-14025//RXN-7609//5-NUCLEOTID-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-7607//RXN-14026//
EG10637	nanA	RXN-15313//ACNEULY-RXN//
EG10638	narG	RXN-15119//
EG10639	narH	RXN-15119//
EG10640	narI	RXN-15119//
EG10644	narV	RXN-15119//
EG10647	narY	RXN-15119//
EG10648	narZ	RXN-15119//
EG10649	ndh	R170-RXN//RXN0-5330//
EG10650	ndk	DTDPKIN-RXN//UDPKIN-RXN//CDPKIN-RXN//DUDPKIN-RXN//DADPKIN-RXN//GDPKIN-RXN//NUCLEOSIDE-DIP-KIN-RXN//DCDPKIN-RXN//DGDPKIN-RXN//
EG10660	nrdA	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10661	nrdB	GDPREDUCT-RXN//UDPREDUCT-RXN//CDPREDUCT-RXN//ADPREDUCT-RXN//
EG10663	nadE	NAD-SYNTH-NH3-RXN//NAD-SYNTH-GLN-RXN//
EG10682	pabA	PABASYN-RXN//
EG10683	pabB	PABASYN-RXN//
EG10688	pck	PEPCARBOXYKIN-RXN//
EG10691	pdxA	RXN-13179//
EG10693	pdxJ	PDXJ-RXN//
EG10695	pepD	RXN0-6981//
EG10699	pfkA	RXN0-6541//6PFRUCTPHOS-RXN//
EG10700	pfkB	TAGAKIN-RXN//6PFRUCTPHOS-RXN//
EG10701	pflB	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
EG10702	pgi	PGLUCISOM-RXN//
EG10703	pgk	PHOSGLYPHOS-RXN//
EG10704	pgpA	PGPPHOSPHA-RXN//
EG10705	pgpB	PGPPHOSPHA-RXN//RXN-11277//UNDECAPRENYL-DIPHOSPHATASE-RXN//
EG10706	pgsA	PHOSPHAGLYPSYN-RXN//
EG10707	pheA	PREPHENATEDEHYDRAT-RXN//CHORISMATEMUT-RXN//
EG10709	pheS	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10710	pheT	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10716	phnG	RXN0-6732//RXN-17954//
EG10717	phnH	RXN0-6732//RXN-17954//
EG10718	phnI	RXN0-6732//RXN-17954//
EG10719	phnJ	RXN-17956//RXN0-6734//
EG10721	phnL	RXN0-6732//RXN-17954//
EG10722	phnM	RXN-17955//RXN0-6733//
EG10723	phnN	RXN0-1401//
EG10725	phnP	RXN0-6710//
EG10727	phoA	RXN-14025//RXN-14142//RXN0-5185//RXN-14161//RXN-15312//RXN0-7250//RXN-14090//SUGAR-PHOSPHATASE-RXN//RXN-5647//GPH-RXN//SORBITOL-6-PHOSPHATASE-RXN//RXN-14505//3.1.3.68-RXN//MANNITOL-1-PHOSPHATASE-RXN//PHOSPHOAMIDASE-RXN//RXN-17725//RXN-14511//RXN0-5114//PHOSPHOGLYCERATE-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN-14514//TRIPHOSPHATASE-RXN//RXN0-5187//RXN-7948//RXN0-7249//HISTIDPHOS-RXN//GLYCEROL-2-PHOSPHATASE-RXN//INORGPYROPHOSPHAT-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-17724//RXN-14510//RXN-17745//RXN-7607//GLUCOSE-1-PHOSPHAT-RXN//RXN-14513//RXN0-5292//F16BDEPHOS-RXN//RXN-14026//RXN0-5186//RXN-14181//RXN-14483//RXN-17330//RXN0-7251//3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN//RXN-5822//RXN-14115//RXN66-526//RXN-14509//3.1.3.74-RXN//PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN//ALKAPHOSPHA-RXN//RXN-14126//RXN-14512//4-NITROPHENYLPHOSPHATASE-RXN//
EG10740	plsB	RXN-10462//RXN-1381//
EG10742	pncB	NICOTINATEPRIBOSYLTRANS-RXN//
EG10743	pnp	RXN0-6479//
EG10748	mrcA	RXN-16649//RXN-16659//RXN-16650//
EG10754	poxB	RXN0-2022//RXN-11496//
EG10756	ppc	PEPCARBOX-RXN//
EG10759	ppsA	PEPSYNTH-RXN//
EG10767	proA	GLUTSEMIALDEHYDROG-RXN//
EG10768	proB	GLUTKIN-RXN//
EG10769	proC	PYRROLINECARBREDUCT-RXN//
EG10770	proS	PROLINE--TRNA-LIGASE-RXN//
EG10774	prs	PRPPSYN-RXN//
EG10775	psd	PHOSPHASERDECARB-RXN//
EG10780	pspE	THIOSULFATE-SULFURTRANSFERASE-RXN//
EG10781	pssA	PHOSPHASERSYN-RXN//
EG10790	purA	ADENYLOSUCCINATE-SYNTHASE-RXN//
EG10791	purC	SAICARSYN-RXN//
EG10792	purD	GLYRIBONUCSYN-RXN//
EG10793	purE	RXN0-743//
EG10794	purF	PRPPAMIDOTRANS-RXN//
EG10795	purH	IMPCYCLOHYDROLASE-RXN//AICARTRANSFORM-RXN//
EG10796	purK	RXN0-742//
EG10797	purL	FGAMSYN-RXN//
EG10798	purM	AIRS-RXN//
EG10799	purN	GART-RXN//
EG10801	putA	RXN0-7008//PYRROLINECARBDEHYDROG-RXN//RXN-14116//
EG10803	pykA	PEPDEPHOS-RXN//
EG10804	pykF	PEPDEPHOS-RXN//
EG10805	pyrB	ASPCARBTRANS-RXN//
EG10806	pyrC	DIHYDROOROT-RXN//
EG10807	pyrD	DIHYDROOROTATE-DEHYDROGENASE-RXN//
EG10808	pyrE	OROPRIBTRANS-RXN//
EG10809	pyrF	OROTPDECARB-RXN//
EG10810	pyrG	RXN-14325//CTPSYN-RXN//GLUTAMIN-RXN//
EG10811	pyrI	ASPCARBTRANS-RXN//
EG10812	queA	RXN0-1342//
EG10817	rbsD	RXN0-5304//
EG10818	rbsK	RIBOKIN-RXN//
EG10835	relA	GTPPYPHOSKIN-RXN//GDPPYPHOSKIN-RXN//
EG10838	rfaD	5.1.3.20-RXN//
EG10840	rfe	GLCNACPTRANS-RXN//
EG10858	rnd	RXN0-6484//RXN0-6483//RXN0-4222//
EG10859	rne	RXN0-6478//RXN0-6485//
EG10862	rnpA	RXN0-6480//3.1.26.5-RXN//
EG10863	rph	RXN0-6481//RXN0-6482//
EG10922	coaA	PANTOTHENATE-KIN-RXN//
EG10930	sdaA	4.3.1.17-RXN//RXN-15125//
EG10931	sdhA	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10932	sdhB	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10933	sdhC	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10934	sdhD	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN//
EG10941	selA	2.9.1.1-RXN//
EG10943	selD	2.7.9.3-RXN//
EG10944	serA	PGLYCDEHYDROG-RXN//RXN-16701//KETOGLUTREDUCT-RXN//
EG10945	serB	RXN0-5114//
EG10946	serC	SUCCINYLDIAMINOPIMTRANS-RXN//PSERTRANSAMPYR-RXN//PSERTRANSAM-RXN//
EG10947	serS	SERINE--TRNA-LIGASE-RXN//RXN0-2161//
EG10948	maeA	1.1.1.39-RXN//
EG10953	sodA	SUPEROX-DISMUT-RXN//
EG10954	sodB	SUPEROX-DISMUT-RXN//
EG10959	speA	ARGDECARBOX-RXN//
EG10960	speB	AGMATIN-RXN//
EG10961	speC	ORNDECARBOX-RXN//
EG10962	speD	SAMDECARB-RXN//
EG10963	speE	RXN0-5217//SPERMIDINESYN-RXN//
EG10964	speF	ORNDECARBOX-RXN//
EG10965	gmk	GMKALT-RXN//GUANYL-KIN-RXN//
EG10966	spoT	RXN0-6427//PPGPPSYN-RXN//GDPPYPHOSKIN-RXN//
EG10971	srlD	SORB6PDEHYDROG-RXN//
EG10973	gutQ	DARAB5PISOM-RXN//
EG10979	sucA	RXN0-1147//RXN-7716//2OXOGLUTDECARB-RXN//2OXOGLUTDECARB-RXN//2OXOGLUTARATEDEH-RXN//
