# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	thiG//
go_0015724_7	sdaA//
go_0015726_8	tktA//
go_0015733_7	speA//
go_0015734_6	entB//
go_0015736_9	dam//
go_0015739_7	purN//
go_0015740_9	argS//lplA//rffH//
go_0015741_10	scpB//mnmG//
go_0015747_6	yfdR//
go_0015748_6	sad//
go_0015749_7	nanK//bioF//scpC//uxaA//pepD//fklB//nrdD//
go_0015751_9	pyrC//yjcS//
go_0015752_9	fcl//aspC//
go_0015753_9	katE//aroD//
go_0015754_9	araA//
go_0015755_9	idnD//nudC//gcd//
go_0015756_9	hisA//insI-2//
go_0015757_9	cheR//purD//mnmE//proB//
go_0015760_8	mnmA//
go_0015761_9	dam//
go_0015762_9	ilvA//
go_0015764_7	nagK//galU//pdeH//
go_0015765_8	ybjG//gloB//
go_0015767_9	yfbR//nrdA//uvrA//
go_0015768_9	kduD//eutB//sdhC//
go_0015769_9	sad//
go_0015771_9	ruvC//murE//mug//
go_0015772_7	coaD//queD//metF//
go_0015774_7	rihA//
go_0015778_7	folA//
go_0015793_7	nrfB//lpxL//
go_0015794_7	coaE//pdxY//
go_0015795_7	preT//tdcG//
go_0015796_7	gstA//
go_0015797_7	rph//glpK//deoB//
go_0015803_7	murD//mcrB//dcm//
go_0015804_7	rsmA//aroL//
go_0015806_6	yfdR//
go_0015807_7	prpB//mnmC//nrdF//lpxK//metG//gcd//
go_0015808_8	mazG//dacA//
go_0015809_7	rluF//
go_0015810_8	adeD//nadB//
go_0015811_7	pykF//lysA//
go_0015813_6	yfcF//recJ//gadB//
go_0015814_7	paaH//
go_0015816_6	gstA//
go_0015817_7	yjiA//alr//
go_0015818_7	moaA//nrfC//
go_0015820_7	gatY//fcl//accC//dacC//gltX//
go_0015821_7	lpoB//dhaK//
go_0015822_7	thiM//
go_0015823_7	sodA//sbcB//spoT//mhpC//opgB//
go_0015824_7	thrS//pgm//recG//
go_0015825_8	pldB//
go_0015826_7	rluB//moaA//murC//
go_0015827_7	apt//gcd//pgsA//
go_0015828_7	ghrB//glk//
go_0015829_7	argF//cysM//rffC//
go_0015830_7	cmoB//
go_0015833_6	mmuM//eutB//aroG//nagK//frmB//fucO//nrdB//ampD//mrcB//dgcZ//
go_0015834_7	trpA//queD//
go_0015835_6	ung//
go_0015836_7	thiC//nrdE//
go_0015839_7	mazG//
go_0015846_6	rihC//acpT//
go_0015847_7	lpxM//waaP//mtlD//fadH//ppiC//
go_0015848_7	hemL//alaS//
go_0015851_6	
go_0015853_8	ogt//thrB//
go_0015856_8	adhP//
go_0015857_6	cpdB//preA//
go_0015858_7	proC//mazG//ttdB//
go_0015860_7	frdD//mocA//
go_0015861_9	kduD//yfdR//
go_0015862_9	speE//tyrA//
go_0015863_8	ybjG//
go_0015864_8	mrdA//
go_0015871_6	pyrF//dhaK//pflB//rnpA//
go_0015878_6	
go_0015879_9	mltD//
go_0015882_7	frmA//
go_0015886_6	truA//argE//
go_0015887_7	waaP//
go_0015888_6	ulaD//
go_0015889_6	aroC//yhdJ//yajO//
