# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	recF//
go_0006417_7	thrB//pdxK//
go_0006418_7	ackA//ampH//gudD//malZ//lpxL//pdxY//fadA//ubiX//mtn//patA//uidA//
go_0006419_8	trmL//
go_0006420_8	phnP//
go_0006421_8	moaE//
go_0006422_8	glgX//
go_0006423_8	citE//
go_0006424_8	moaE//yihT//
go_0006425_8	ubiC//
go_0006427_8	ansA//
go_0006428_8	accA//
go_0006429_8	gcvP//
go_0006430_8	nudC//rnd//
go_0006431_8	feaB//
go_0006432_8	lpoA//
go_0006433_8	azoR//
go_0006434_8	treC//
go_0006435_8	mpaA//
go_0006436_8	lpxB//
go_0006437_8	truD//
go_0006438_8	hypB//
go_0006448_8	
go_0006450_4	patA//ybcF//lpd//waaY//serS//fadI//
go_0006457_3	yeiG//ackA//hemC//torZ//moaA//ynfF//feaB//
go_0006458_4	
go_0006464_6	preT//paaA//thiL//rsmG//uxaA//sucA//yfeX//panD//
go_0006465_6	ispU//metL//yfiC//
go_0006468_7	ung//
go_0006470_7	mmuM//insI-1//phnO//metE//fabB//
go_0006473_8	pgaC//
go_0006474_6	sdhB//gshB//dxr//
go_0006476_8	lsrG//
go_0006479_5	glpC//proA//malY//uidA//hemE//mog//
go_0006486_5	gdhA//
go_0006490_5	menF//
go_0006508_5	ycjU//rluA//yihV//lysA//fabA//maa//dacD//pyrD//rutB//gloC//guaA//phnG//fadK//pyrG//ssuD//ndk//citX//bioC//cueO//rluF//acs//rhaM//ygjK//yjhG//ddlB//prpC//sdaA//appA//cfa//hemB//polA//nanA//rutC//
go_0006515_7	putA//aceB//ampD//queD//hpt//yrfG//eutB//
go_0006517_6	bioA//katG//
go_0006518_5	pldB//xylB//
go_0006523_8	hisS//rpe//
go_0006524_8	
go_0006526_8	pabA//glyA//atoB//mhpC//ilvD//ushA//accB//
go_0006527_8	ydiO//sodC//dmlA//amyA//glcE//
go_0006529_7	phoA//truB//
go_0006530_7	ghrB//ndk//acnA//aroF//
go_0006531_7	menC//
go_0006532_8	dgoK//mrcA//slyD//
go_0006535_8	rbsK//folC//solA//
go_0006537_8	mog//
go_0006538_8	lpoA//treF//
go_0006541_7	cynS//frdB//prmB//mnaT//melA//
go_0006542_8	lpoB//umpH//
go_0006543_8	
go_0006545_6	idnO//
go_0006546_6	rsmG//argD//rlmL//
go_0006554_8	yjjX//wecC//rffT//
go_0006556_5	nrdD//
go_0006559_6	yihV//
go_0006561_6	fadI//alr//
go_0006563_7	dld//
go_0006564_8	rsmJ//umpH//cfa//nudC//
go_0006565_8	yfcG//rlmC//serS//rpiA//trmL//
go_0006566_7	rsmB//
go_0006567_8	panD//pta//pflB//otsA//frdB//nrdA//cobB//
go_0006569_7	speE//
go_0006571_7	lpxK//dxr//
go_0006593_7	aes//
go_0006598_8	malZ//selB//pgk//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	dusC//rlmL//
go_0006631_5	truB//ppiC//tig//nadB//aroA//
go_0006633_6	dkgB//pgk//apaH//yqhD//rlmM//ybiV//udp//rimK//dnaQ//nagB//mutS//
go_0006635_6	ybcF//zwf//glgA//idnK//hisB//ung//dmsA//prpC//purT//bcsA//yagE//glnE//
go_0006636_7	
go_0006637_5	moaA//cdd//atoB//citX//mltC//
go_0006646_7	
go_0006650_6	
go_0006654_7	rihA//
go_0006655_7	tgt//melA//
go_0006725_4	rsmG//
go_0006729_6	fau//recR//
go_0006730_4	ruvB//yieH//rsmD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	sbcB//sodA//glk//rlmA//accD//narH//sucC//dgcT//yjiA//purT//cof//menD//
go_0006749_5	rihB//pfkB//
go_0006750_6	maeA//accD//
go_0006751_6	glmU//
go_0006757_5	rihB//
go_0006760_5	yeaG//
go_0006761_7	bacA//
go_0006771_5	glpD//
go_0006772_6	scpC//cynT//
go_0006777_5	paaF//waaH//nadB//argI//malY//
go_0006779_6	icd//cpdB//cysK//ydiO//purL//
go_0006780_7	gmhB//
go_0006782_7	hemC//argC//rpiA//dut//
go_0006783_5	dkgB//ldtB//ydfG//lysS//tsaE//miaB//frc//
go_0006790_4	yjjX//serS//fabH//yeaG//citE//mltF//pfkA//phnM//accC//rfbD//
go_0006791_2	dmsC//speF//glxK//
go_0006793_4	insI-2//ubiX//
go_0006798_5	rhaB//
go_0006799_5	gcvH//
go_0006801_5	sthA//clsC//napB//
go_0006805_4	mrcA//araB//paaC//dgcZ//
go_0006807_3	prs//trmL//nadA//
go_0006808_4	rffH//
go_0006810_4	fadD//bioF//uxaC//amiD//puuB//dapD//nudG//lpxK//mmuM//ssuD//citX//gpsA//clsA//rsmH//sodA//ogt//narI//serC//lsrK//gshB//rihA//alkB//dacD//moaD//sodB//epmB//katE//rbn//gldA//mraY//cobS//adhP//cdh//chbF//pyrC//scpB//ubiF//nadK//cysN//otsB//bcsA//narY//mrcA//pgpA//yfaU//aroH//aceB//gatD//nagB//rutD//pgaD//yihU//napA//uidA//treF//etk//ravA//thiL//waaH//metH//kdsB//atoB//gloC//guaB//hycB//yccX//gor//tmk//nudF//trmO//ubiE//sbcB//leuB//ruvA//paaF//glnE//ppiA//
go_0006811_5	treA//deoB//ulaE//entD//rhaM//hemE//proS//alsE//ulaD//citE//pagP//
go_0006812_6	waaF//hemF//
go_0006813_8	dkgA//rsmA//ung//hypB//napB//lpcA//cobB//ppsA//
go_0006814_8	rsgA//cysS//lpxP//gcl//
go_0006817_8	scpB//
go_0006820_6	mltC//tyrA//frmB//moaA//ppk//
go_0006821_8	menH//
go_0006824_8	plsC//thrC//narZ//rutE//
go_0006825_9	nudB//
go_0006826_9	hemL//
go_0006828_9	alsE//
go_0006829_9	nrdB//ribE//ldtB//wzb//argD//
go_0006833_6	
go_0006835_8	ascB//adhE//
go_0006847_8	srlD//
go_0006855_6	fadK//menD//tpiA//napA//hmp//glgC//hemH//waaO//tyrB//dacA//serC//yigB//putA//prmC//
go_0006857_7	frdC//iaaA//cmoA//
go_0006863_7	otsB//
go_0006865_6	ybcF//glcF//tgt//rlmA//nudB//argA//waaH//aroB//yegS//cheB//glpB//preA//fadJ//umpH//coaE//dam//codA//hemC//gldA//dapF//selB//
go_0006868_7	der//
go_0006869_6	mobA//
go_0006874_8	
go_0006876_8	hemF//
go_0006878_9	tesB//
go_0006879_9	ybjG//tmcA//
go_0006880_4	alr//trpB//
go_0006882_8	tauD//
go_0006883_8	arnT//pgpA//hisC//
go_0006884_4	
go_0006885_9	xylB//
go_0006886_5	
go_0006928_3	sdhA//
go_0006935_4	rph//ushA//ilvB//ilvB//acnB//
go_0006970_4	rsmE//ppiA//sdhB//rpe//gatY//rlmG//
go_0006972_5	selB//rffT//yidA//yfcG//yggF//
go_0006974_5	galM//pyrD//acpH//epmC//leuB//yieH//ruvC//ftnA//speB//ackA//sthA//upp//hemE//gcl//paaK//rsmI//sseA//kduD//rlmF//rlmE//lpxM//adiA//nemA//nrfD//glmU//guaD//rbn//eno//nirB//ydiF//prpD//hemD//hpt//nadA//pphA//plsC//nrfD//mnmA//luxS//thiI//rfaE//torC//aes//ftnA//dgoD//fbaA//mutS//purC//rluD//pgi//apt//araD//thiM//ppiA//ugd//miaB//hemG//hcaC//polA//caiD//serS//sgbU//plsB//dgcT//chbG//thrA//abgA//hisI//carB//psuG//purT//ssuE//cdh//wecC//murB//glpA//tesB//waaF//avtA//serA//ppc//hemD//dkgA//waaO//tsaB//tilS//putA//dxs//tmcA//der//sufS//pgaD//dapA//gadB//eno//
go_0006979_4	cysH//speD//mnmA//mltD//pgsA//mog//ldhA//ruvA//mutT//metB//plsB//lpxM//rsmD//deoA//ligA//panB//uvrC//gudD//serB//malY//rutB//metH//ycaO//acpS//pgk//serC//
go_0006986_5	dkgB//
go_0006995_6	dapD//ulaF//
go_0007059_3	yeaE//idnO//
go_0007062_4	
go_0007155_3	dmlA//
go_0007165_3	mtgA//gntK//
go_0007234_5	
go_0007584_4	
go_0008033_9	lpxL//orn//rlmG//rffT//epd//rlmF//ubiE//tilS//
go_0008104_4	
go_0008152_2	gltD//sdhB//nagZ//ruvC//hemC//etk//malS//yfaU//arsC//epmB//cdd//entF//treA//rlmC//yidA//ubiF//rlmM//
go_0008156_8	
go_0008219_3	
go_0008272_6	waaA//mrdA//
go_0008295_6	queF//gudD//lysU//
go_0008299_5	fadM//
go_0008360_4	lpxH//paaH//uxuB//dusB//hypF//cysQ//bglA//mhpC//allC//ligB//manA//
go_0008610_5	leuA//pyrB//slyD//thiG//
go_0008615_6	rffH//fdhF//cysE//hinT//cobB//glpX//thiI//
go_0008616_8	acnB//ilvB//rlmG//glgC//umpG//rsmA//
go_0008643_6	argE//purD//idnK//paaE//ubiG//gpt//ppx//orn//fbaA//panE//ndk//tyrB//nadC//cysC//cysK//rpe//lpxC//pheS//
go_0008652_5	xdhB//prmC//ddlB//fumA//trpD//yjjX//ynfF//entA//
go_0008653_5	
go_0008654_5	fadH//miaA//bioD//mcrB//
go_0009050_6	idnO//roxA//
go_0009052_6	hcaE//purN//slyD//fabA//rutB//waaP//
go_0009056_3	mdh//
go_0009058_3	malP//metF//napA//nagA//
go_0009060_6	treA//dgcZ//nrdB//pgl//trmA//thrA//fumB//
go_0009061_6	hisG//menC//yagF//frlB//betB//guaC//rluA//srlD//rutC//menF//rfbB//yciV//frc//hypF//maeA//yjjG//dbpA//garD//tdcE//rluE//yjhH//
go_0009062_6	aldB//
go_0009063_5	talB//cysQ//dgcT//
go_0009070_7	tsaB//
go_0009073_6	gltX//yagE//sdhA//metL//rhaB//folM//sgbU//yjcS//metL//ileS//panC//
go_0009081_5	glpX//ldcC//
go_0009082_6	gatY//pheS//entB//azoR//fadE//dacD//puuE//
go_0009085_8	glgA//
go_0009086_7	ttdB//trpS//mepS//waaH//yihX//
go_0009088_8	purU//argS//
go_0009089_6	yhdJ//ushA//gabT//mltF//carA//ilvE//
go_0009090_8	sad//pgaC//truC//recO//
go_0009092_7	nudF//
go_0009093_7	
go_0009094_6	pgm//slyD//uidA//
go_0009097_7	sgbU//phnH//fadA//tilS//rsmC//
go_0009098_7	glpC//hisB//cysM//ribB//gntK//dapB//
go_0009099_7	wecB//dmlA//ackA//ilvA//cheB//rfbB//dgoK//
go_0009102_6	dhaK//tdcE//rutD//pgpA//sucD//napA//acnA//tyrA//argS//
go_0009103_6	pykA//ldcA//ybjI//cynS//waaF//pdxK//tcdA//proB//rdgB//
go_0009106_5	hemL//
go_0009107_6	dacC//clsA//
go_0009108_6	entD//
go_0009116_5	leuC//gstA//
go_0009142_7	pyrG//
go_0009143_7	miaB//
go_0009152_8	der//
go_0009157_8	sgbU//
go_0009166_7	yjjG//treA//
go_0009168_9	malS//
go_0009220_8	gpt//ampD//
go_0009224_9	idnO//
go_0009226_6	glyS//recR//
go_0009228_7	gpmA//cdd//xdhB//frlB//mhpA//ispH//cysS//pdxY//mmuM//
go_0009229_6	menF//yfcG//
go_0009231_6	yajO//katE//nanK//truB//hycB//fucI//pdxY//
go_0009234_7	nadA//entB//nrdB//nirD//nagZ//folP//iscS//araB//lsrK//
go_0009236_6	insI-1//uxuA//ycaO//speC//panD//queF//
go_0009237_4	dusB//garL//
go_0009239_6	glcB//aroD//xthA//gpp//aroD//cynS//polA//ahr//
go_0009240_6	accD//
go_0009242_6	cysI//arnB//sucC//prpC//plsB//ynfE//rpiA//rluF//
go_0009243_7	recO//
go_0009244_7	sufS//fabA//acnA//ribF//speG//metC//bioH//malP//poxB//rutA//argI//prs//dmsB//ribC//pgpB//prpD//pbpC//ribB//ldtD//asnA//xdhB//dusB//
go_0009245_6	pgaC//rpe//cheB//ribB//der//kdsB//tdcE//sdhC//paaB//
go_0009246_6	allC//queF//ppiC//aceF//yfaU//lpxH//
go_0009249_6	pdxY//xapA//frdD//
go_0009250_7	
go_0009251_7	mutT//
go_0009252_7	dapA//ydfG//otsB//slyD//panD//glcD//amiD//tsaB//gshA//glk//dnaQ//truC//feaB//mmuM//coaD//dcd//rsmC//waaJ//dmsA//araA//ribA//abgB//caiD//dusC//uxaC//
go_0009253_8	phnP//alsK//pbpC//uxaA//pfkA//phnJ//pykA//mutM//fdhF//preT//
go_0009254_8	bioC//sodC//nrdA//birA//dgt//ruvA//ldtB//hyi//waaU//rbsK//alkB//
go_0009257_8	dusC//bioA//ldcC//dgoD//
go_0009263_6	rph//asd//
go_0009264_6	patD//fbaA//
go_0009265_7	adhE//
go_0009266_4	fucK//prs//adhP//feaB//melA//mnmA//
go_0009267_5	cfa//garL//
go_0009268_4	dacC//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	bioA//
go_0009297_6	
go_0009298_7	waaJ//clsC//gcvP//
go_0009305_7	puuE//
go_0009306_4	
go_0009311_5	
go_0009314_4	phnJ//galM//tyrS//serB//alkB//alkA//agp//kdsC//btuE//fabZ//srlD//folE//proA//nagB//pinE//guaB//gshA//
go_0009372_5	mog//fadD//alkB//
go_0009396_6	ddlB//gltX//
go_0009398_7	mltB//
go_0009401_7	waaA//gltD//moaE//hisG//gatD//waaG//xdhB//ilvA//metB//edd//thrC//narG//menB//glpK//ppiC//plsB//fcl//kbaZ//thrS//uvrB//
go_0009403_5	
go_0009405_4	
go_0009407_3	pflB//
go_0009408_4	patZ//tadA//yihV//pepD//tgt//glnA//dacC//ackA//speG//yihV//ligA//yeiG//ribF//ulaD//galM//uxaC//argA//gcvT//sseA//pabB//ppx//hisB//mhpA//frmB//cysE//aceB//
go_0009409_4	lpxP//rlmH//
go_0009410_4	ribF//
go_0009411_6	luxS//aroF//lyxK//speD//cpsG//cysE//puuE//napA//adhP//
go_0009416_5	rpe//prpD//
go_0009423_8	sdhD//rhaB//serA//eptA//
go_0009432_5	umpH//rsuA//lysU//ybjG//ulaE//
go_0009435_9	tpiA//aldA//speE//ydfG//pflB//
go_0009436_6	ravA//alkB//rluB//pphA//
go_0009437_5	
go_0009438_5	
go_0009440_6	yjhH//pabA//manA//
go_0009442_7	mltB//cpsG//argS//aphA//patD//
go_0009443_5	psuG//hemD//mnmE//
go_0009446_6	hinT//ldcA//
go_0009447_6	carA//dgkA//carB//bcsA//alsE//yagE//mug//glk//
go_0009450_6	ung//murQ//gph//garK//
go_0009451_6	cmoA//pflB//rsmJ//pgpB//
go_0009593_4	
go_0009597_5	
go_0009636_4	trmI//mrdA//cynS//murI//fucA//
go_0009637_6	
go_0009651_5	
go_0009697_5	gluQ//
go_0009758_2	paaG//
go_0009785_5	
go_0009970_6	icd//gadA//pgpA//
go_0009972_10	thrC//
go_0009992_5	ssuD//glgB//katE//
go_0010033_4	
go_0010038_5	
go_0010039_6	tdcD//
go_0010041_7	bfr//accD//
go_0010042_6	aroL//
go_0010043_6	nadB//nrfA//
go_0010045_6	rluB//
go_0010106_6	
go_0010124_4	truC//yeaE//asnA//argG//rlmL//scpC//rihC//galK//
go_0010133_7	pgsA//
go_0010139_7	purC//
go_0010165_6	ascB//relA//oxc//argG//hdhA//cpsG//yieH//waaO//
go_0010212_5	pabA//
go_0010226_6	fadH//
go_0010243_5	
go_0010272_6	wzb//
go_0010273_4	adhE//cpdB//gcvT//
go_0010312_3	eda//
go_0010332_6	
go_0010350_6	
go_0010438_6	dut//pyrB//
go_0010447_5	yajO//fadH//
go_0010468_6	udk//
go_0010498_6	aceA//mltD//pta//mrcA//
go_0010501_7	gapA//yigB//
go_0010557_7	
go_0010608_7	nirD//
go_0010628_7	
go_0010629_7	accB//
go_0010676_7	
go_0010699_4	alaA//rffT//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	ftnA//fucO//sthA//hchA//citE//rnb//murE//tilS//acnB//
go_0015031_5	spoT//ynfE//aceF//bioC//ispF//nudF//aroE//metH//
go_0015074_6	
go_0015628_5	
go_0015670_6	ruvB//
go_0015673_9	glcB//
go_0015675_9	otsB//
go_0015679_10	ogt//
go_0015682_8	gmk//
go_0015684_9	pdxY//metE//rfaD//yfbR//
go_0015685_8	tdh//frdB//
go_0015687_7	bioF//
go_0015688_6	nanA//treF//
go_0015689_8	rdgB//
go_0015691_9	menD//acs//
go_0015692_8	lacZ//
go_0015693_9	glpA//
go_0015696_6	ybjG//
go_0015698_7	scpC//
go_0015699_8	lysC//
go_0015700_8	sgbE//
go_0015706_6	phnH//epmB//menD//
go_0015707_6	cdh//gatY//fklB//pdxA//
go_0015709_6	gmd//
go_0015710_8	proS//lysA//
go_0015712_7	pyrC//
go_0015718_8	purB//
go_0015721_7	waaF//selB//rutD//
go_0015724_7	pheA//
go_0015726_8	sdhA//
go_0015733_7	ampD//
go_0015734_6	yjjX//
go_0015736_9	xylA//
go_0015739_7	pyrF//
go_0015740_9	eno//gatD//leuS//
go_0015741_10	ltaE//ydiO//
go_0015747_6	ubiC//
go_0015748_6	aceF//
go_0015749_7	thiG//lpxT//lysC//glnS//ynfH//fadD//narG//
go_0015751_9	guaD//etp//
go_0015752_9	dld//rffH//
go_0015753_9	entE//kdgK//
go_0015754_9	mnaT//
go_0015755_9	bglB//slt//pdxA//
go_0015756_9	polA//azoR//
go_0015757_9	cynS//frc//rutE//ubiA//
go_0015760_8	lacZ//
go_0015761_9	pdxB//
go_0015762_9	deoD//
go_0015764_7	speD//gpp//alsK//
go_0015765_8	dcm//dxr//
go_0015767_9	metB//glcE//hchA//
go_0015768_9	ppsA//bglA//acpT//
go_0015769_9	speE//
go_0015771_9	recO//bfr//adhP//
go_0015772_7	caiB//rhaD//manA//
go_0015774_7	thiC//
go_0015778_7	hcaD//
go_0015793_7	dkgA//dgoA//
go_0015794_7	ubiF//yjcS//
go_0015795_7	sdhD//hyaB//
go_0015796_7	rsmB//
go_0015797_7	hemL//hcp//lipA//
go_0015803_7	nemA//ushA//mtn//
go_0015804_7	malZ//rsmG//
go_0015806_6	thiD//
go_0015807_7	paaE//tktB//kbaY//selB//rbn//yrfG//
go_0015808_8	folD//rsmI//
go_0015809_7	kdsC//
go_0015810_8	preA//adk//
go_0015811_7	rluA//insI-2//
go_0015813_6	torC//curA//appA//
go_0015814_7	lsrG//
go_0015816_6	katE//
go_0015817_7	ogt//ugd//
go_0015818_7	moeA//glpA//
go_0015820_7	alkA//glxK//pyrF//mpaA//lpoA//
go_0015821_7	pgk//gudD//
go_0015822_7	selD//
go_0015823_7	folA//nanA//tktA//tsaB//narI//
go_0015824_7	rfaD//icd//cysQ//
go_0015825_8	pgsA//
go_0015826_7	serC//trmI//ampD//
go_0015827_7	dcyD//rihA//ubiH//
go_0015828_7	hyi//gltX//
go_0015829_7	gpp//mepS//citE//
go_0015830_7	ftsI//
go_0015833_6	speF//menH//lpxD//mnmA//mutH//mhpA//pabA//sdhD//thiL//yihX//
go_0015834_7	serA//panB//
go_0015835_6	waaF//
go_0015836_7	dnaE//rluF//
go_0015839_7	thiM//
go_0015846_6	pepD//ssuE//
go_0015847_7	pykF//waaJ//insI-2//cysC//purD//
go_0015848_7	menB//galU//
go_0015851_6	
go_0015853_8	ispG//napC//
go_0015856_8	ubiA//
go_0015857_6	ruvA//pgsA//
go_0015858_7	gloC//lyxK//sgbU//
go_0015860_7	cdsA//pagP//
go_0015861_9	btuE//sthA//
go_0015862_9	coaE//carB//
go_0015863_8	apt//
go_0015864_8	napB//
go_0015871_6	ulaF//folM//pdeL//pdeR//
go_0015878_6	
go_0015879_9	pgpA//
go_0015882_7	rpe//
go_0015886_6	gpsA//ldtA//
go_0015887_7	tmcA//
go_0015888_6	tyrA//
go_0015889_6	narY//hemE//yfiC//
go_0015891_6	hisB//
go_0015906_6	rffT//
go_0015909_8	pyrE//
