# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tdcD//
go_0009240_6	hisB//
go_0009242_6	lpxK//alaC//entC//sseA//yhdJ//astC//idnD//ycaO//
go_0009243_7	betA//
go_0009244_7	iscS//ribB//aroL//pinE//lpxP//allD//ppiC//queG//napB//hemC//sodA//pabC//speE//wecC//pabC//caiD//hemF//cobB//yeaE//pck//sad//tdcG//
go_0009245_6	dapF//cobC//tgt//rnd//garL//asnS//mltD//cobB//sad//
go_0009246_6	relA//def//entF//recJ//coaD//cyoE//
go_0009249_6	glxK//pabC//paaB//
go_0009250_7	
go_0009251_7	tdcD//
go_0009252_7	yagF//rsmI//rlmJ//citX//sthA//lipA//aspC//pta//waaC//epd//cobC//frdA//uvrA//epmC//mngB//agp//mug//ribF//ttdB//ribE//ispB//ftnA//rlmA//ybiV//lipA//
go_0009253_8	ppk//pfkA//pnp//nirB//mnmE//lysC//rrrD//mutS//cfa//mtgA//
go_0009254_8	ppc//citG//atoB//ppc//rrrD//hinT//sseA//torC//hmp//leuD//tcdA//
go_0009257_8	fruK//patZ//nadD//yqjH//
go_0009263_6	puuA//bacA//
go_0009264_6	udk//clsC//
go_0009265_7	fabA//
go_0009266_4	argH//sdhA//metF//murF//gloA//gshB//
go_0009267_5	narY//treA//
go_0009268_4	ldtB//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	rimK//
go_0009297_6	
go_0009298_7	gnd//yihS//aroF//
go_0009305_7	hisB//
go_0009306_4	
go_0009311_5	
go_0009314_4	nagZ//glyS//cyoE//dmsC//panE//alkB//abgB//moaD//panE//ilvA//lpxK//uvrA//udk//argK//purT//rpe//aceB//
go_0009372_5	acnB//guaA//hypF//
go_0009396_6	ydiB//wzb//
go_0009398_7	iaaA//
go_0009401_7	aroK//ldtE//ogt//birA//lpxH//yigL//ydiB//dapB//phnM//galE//thiI//gloB//ychF//queD//yqaB//dhaM//nagZ//paaK//rnd//rlmJ//
go_0009403_5	
go_0009405_4	
go_0009407_3	thiH//
go_0009408_4	xylB//mrcB//fadE//argH//gpmM//nadB//alkA//epd//gadA//der//ybhA//aldB//yfeX//ubiI//ugd//mngB//dmsC//epmB//nagB//alkA//yfcG//paaB//pgm//yfbR//gmhB//recJ//
go_0009409_4	epmB//trmJ//
go_0009410_4	glgA//
go_0009411_6	asnA//dgoA//murB//lldD//glpA//pfkB//dam//ygjK//codA//
go_0009416_5	malZ//cynT//
go_0009423_8	gpmA//hypF//ydiB//insI-1//
go_0009432_5	pgsA//menF//waaB//ulaE//ybjI//
go_0009435_9	moeB//mltC//prs//uxaC//proC//
go_0009436_6	selA//yfbR//dfp//napA//
go_0009437_5	
go_0009438_5	
go_0009440_6	cpdB//purT//narI//
go_0009442_7	cdh//plsB//glpD//bioH//rihC//
go_0009443_5	moaD//tmcA//lldD//
go_0009446_6	truA//cyoE//
go_0009447_6	trmH//thiG//gnd//pdxB//ulaD//gpsA//ldtC//ascB//
go_0009450_6	moaD//narG//guaC//speF//
go_0009451_6	opgB//glgB//ldhA//pykF//
go_0009593_4	
go_0009597_5	
go_0009636_4	acpT//cmoA//accC//paoC//waaQ//
go_0009637_6	
go_0009651_5	
go_0009697_5	puuA//
go_0009758_2	waaA//
go_0009785_5	
go_0009970_6	rlmA//aceB//serS//
go_0009972_10	thiC//
go_0009992_5	tag//rfe//aspC//
go_0010033_4	
go_0010038_5	
go_0010039_6	gluQ//
go_0010041_7	phr//frdC//
go_0010042_6	rhaB//
go_0010043_6	pphA//patZ//
go_0010045_6	ndh//
go_0010106_6	
go_0010124_4	yccX//bioD//deoA//glyA//preA//bacA//hisG//glcF//
go_0010133_7	umuD//
go_0010139_7	alaC//
go_0010165_6	pyrE//dgoA//murE//aes//pgm//serA//lgoD//edd//
go_0010212_5	aspA//
go_0010226_6	yggF//
go_0010243_5	
go_0010272_6	prpC//
go_0010273_4	prmB//ispU//glnS//
go_0010312_3	narY//
go_0010332_6	
go_0010350_6	
go_0010438_6	purB//fadD//
go_0010447_5	uxaC//uxaA//
go_0010468_6	glmS//
go_0010498_6	tag//dacC//mmuM//ychF//
go_0010501_7	mnmA//araB//
go_0010557_7	
go_0010608_7	tdcB//
go_0010628_7	
go_0010629_7	pagP//
go_0010676_7	
go_0010699_4	wecC//tatD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	purF//lpxP//sdhB//argA//allB//cysI//yahK//glcB//fkpA//
go_0015031_5	nagA//rnpA//fucO//pgaC//sodA//gloB//entH//waaY//
go_0015074_6	
go_0015628_5	
go_0015670_6	nfi//
go_0015673_9	aroD//
go_0015675_9	btuE//
go_0015679_10	ulaD//
go_0015682_8	cysG//
go_0015684_9	epmA//epmB//fkpB//pgl//
go_0015685_8	gnd//tynA//
go_0015687_7	rhaM//
go_0015688_6	yagF//glcD//
go_0015689_8	uxuB//
go_0015691_9	nadB//bcsA//
go_0015692_8	mmuM//
go_0015693_9	pcm//
go_0015696_6	rnb//
go_0015698_7	dhaL//
go_0015699_8	yagE//
go_0015700_8	cysI//
go_0015706_6	pepD//purL//hcp//
go_0015707_6	glpX//gatD//rsmD//yciA//
go_0015709_6	zwf//
go_0015710_8	rluC//nirD//
go_0015712_7	mazG//
go_0015718_8	cobT//
go_0015721_7	arnA//mobA//mog//
go_0015724_7	pgpB//
go_0015726_8	kduI//
go_0015733_7	ppk//
go_0015734_6	pyrB//
go_0015736_9	serC//
go_0015739_7	nrfA//
go_0015740_9	gapA//frdD//ybiV//
go_0015741_10	guaC//xylA//
go_0015747_6	hyaA//
go_0015748_6	ldtA//
go_0015749_7	waaA//cobB//nrdD//purF//psuG//yfcG//cobT//
go_0015751_9	lpxD//hcaF//
go_0015752_9	entH//argF//
go_0015753_9	glpA//lpxL//
go_0015754_9	paaK//
go_0015755_9	purU//ldtC//carB//
go_0015756_9	plsB//ruvC//
go_0015757_9	add//upp//bcsA//dmsC//
go_0015760_8	uxaC//
go_0015761_9	acs//
go_0015762_9	atoB//
go_0015764_7	yciA//hinT//nadC//
go_0015765_8	dhaK//yjjX//
go_0015767_9	serA//fucK//accD//
go_0015768_9	mak//mrcA//opgB//
go_0015769_9	adhP//
go_0015771_9	scpC//cdh//ubiH//
go_0015772_7	queG//speG//ppx//
go_0015774_7	dapB//
go_0015778_7	umuD//
go_0015793_7	bcsA//gloB//
go_0015794_7	rihB//argC//
go_0015795_7	coaA//pgpA//
go_0015796_7	fdhF//
go_0015797_7	paaJ//glcF//argF//
go_0015803_7	ansB//ldhA//ulaG//
go_0015804_7	fadI//nfsB//
go_0015806_6	betA//
go_0015807_7	aceF//cmoB//phnH//ldhA//relA//sgbU//
go_0015808_8	rluF//yfiC//
go_0015809_7	rlmM//
go_0015810_8	carA//mngB//
go_0015811_7	leuA//guaD//
go_0015813_6	speB//fcl//abgA//
go_0015814_7	fadI//
go_0015816_6	poxB//
go_0015817_7	murB//ulaE//
go_0015818_7	paaG//gatZ//
go_0015820_7	argF//garR//katG//lpxH//pphB//
go_0015821_7	tig//galU//
go_0015822_7	napA//
go_0015823_7	pck//truB//pgl//gstA//hyaB//
go_0015824_7	ruvC//gatZ//leuS//
go_0015825_8	hisS//
go_0015826_7	aroK//serC//sgbU//
go_0015827_7	leuC//mhpA//aroF//
go_0015828_7	rsmD//bioH//
go_0015829_7	fkpA//entD//roxA//
go_0015830_7	bioC//
go_0015833_6	fkpB//fucA//rutD//moaA//ilvN//gcvT//panE//betB//rlmG//pgsA//
go_0015834_7	betB//spoT//
go_0015835_6	dkgA//
go_0015836_7	folE//yhdJ//
go_0015839_7	narG//
go_0015846_6	tpiA//hyaC//
go_0015847_7	trmH//sdhD//glgA//ydiO//yjiA//
go_0015848_7	kdsD//iaaA//
go_0015851_6	
go_0015853_8	sseA//gudD//
go_0015856_8	dgkA//
go_0015857_6	hdhA//wecB//
go_0015858_7	alsE//cmoB//trmO//
go_0015860_7	ftsI//tauD//
go_0015861_9	lldD//opgE//
go_0015862_9	gdhA//yieF//
go_0015863_8	cdd//
go_0015864_8	allC//
go_0015871_6	narY//serB//phoA//rsmJ//
go_0015878_6	
go_0015879_9	nanK//
go_0015882_7	speE//
go_0015886_6	puuA//rluB//
go_0015887_7	panE//
go_0015888_6	recF//
go_0015889_6	amyA//dgoK//add//
go_0015891_6	waaH//
go_0015906_6	psd//
