# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ygjK//
go_0006744_7	rnb//treC//lysS//argA//sseA//waaL//yihX//glk//pyrE//frmB//rlmB//ilvN//
go_0006749_5	nanK//chbF//
go_0006750_6	accB//nrdD//
go_0006751_6	birA//
go_0006757_5	rrrD//
go_0006760_5	gstA//
go_0006761_7	alaC//
go_0006771_5	lpoA//
go_0006772_6	glyS//aceB//
go_0006777_5	lpoB//pabB//ubiC//hemL//prpD//
go_0006779_6	betA//murI//dcm//hisS//purC//
go_0006780_7	epmA//
go_0006782_7	lpoA//otsB//udk//asnB//
go_0006783_5	leuD//queG//frmB//ldcC//nemA//asd//gadB//
go_0006790_4	dam//acpT//eno//ispG//gcvH//lacZ//azoR//trmL//rsmE//dmlA//
go_0006791_2	rsmI//yfaU//cysN//
go_0006793_4	trmO//queF//
go_0006798_5	dnaE//
go_0006799_5	trmD//
go_0006801_5	nfi//coaA//uxuB//
go_0006805_4	pphB//fabG//appA//rluD//
go_0006807_3	mocA//kduD//tgt//
go_0006808_4	trpD//
go_0006810_4	solA//pdxA//cysN//sdhB//queD//miaA//nagK//dhaK//argK//guaC//yfeX//pdeR//asnS//spoT//murI//mltB//mltB//eptC//cysG//lyxK//lpxB//katE//glmM//fadI//glxK//hemE//accB//dapF//purB//lplA//uxaA//ftsI//sodC//pdeH//apt//acnB//phr//metK//mhpD//glpK//hflX//pgpB//hinT//eptC//dbpA//cysN//rsuA//aroF//dsdA//epd//tcdA//fadM//nadC//coaE//ftsI//umpG//frmB//rnt//rnpA//phnH//garK//fdhF//dapB//mnmA//cysN//hcaD//fadB//rsmF//lpxD//slt//ycaO//cobT//speD//curA//gshB//sgbH//fkpB//
go_0006811_5	thrC//murC//aroE//dgcT//argG//paaK//hpt//yfbR//hcaB//hisI//tdk//
go_0006812_6	dgt//lysU//
go_0006813_8	hisB//kdsC//bioA//rsmD//paoC//aroK//dhaL//ruvC//
go_0006814_8	yigB//waaG//fabI//clsC//
go_0006817_8	ulaF//
go_0006820_6	sdaA//rutA//hyi//yjjX//dut//
go_0006821_8	cheR//
go_0006824_8	torC//uidA//argG//rfe//
go_0006825_9	allC//
go_0006826_9	alsK//
go_0006828_9	hypB//
go_0006829_9	garD//hcp//truC//appA//kduD//
go_0006833_6	
go_0006835_8	serB//waaL//
go_0006847_8	gdhA//
go_0006855_6	prpC//feaB//fcl//glxR//rsmD//phnL//chbG//ispU//recF//hcaF//yqaB//cmk//glxK//galE//
go_0006857_7	rutA//tgt//gshA//
go_0006863_7	idnK//
go_0006865_6	asd//glpX//mgsA//sdhD//pykA//aspC//ubiE//pgpA//folE//narY//yeaE//surA//dkgA//fadA//rluF//ppk//nadB//cynS//thrC//speF//alkA//
go_0006868_7	sdaA//
go_0006869_6	avtA//
go_0006874_8	
go_0006876_8	sthA//
go_0006878_9	edd//
go_0006879_9	cadA//paaE//
go_0006880_4	deoA//ascB//
go_0006882_8	rfbC//
go_0006883_8	selD//lplA//accD//
go_0006884_4	
go_0006885_9	melA//
go_0006886_5	
go_0006928_3	def//
go_0006935_4	asnA//fabD//selA//proC//nrdE//
go_0006970_4	pdeF//trmI//coaE//cynS//malS//yfcF//
go_0006972_5	citG//fadB//ubiG//relA//trmI//
go_0006974_5	astC//pinE//pepD//cobU//pabB//wrbA//lsrG//cysH//tehB//araA//cysN//gntK//ydiO//bioA//argB//coaA//arnA//torZ//queA//rsmG//pyrD//cysE//nagA//nudC//glpC//ppk//torZ//metC//ubiC//clsB//murD//murI//fkpA//gor//fre//ada//pyrC//entF//rffC//waaU//tadA//fadM//waaB//asnA//nrdF//bfr//sodA//cysK//arnT//rlmA//recO//eptB//guaC//pyrG//fkpA//yhdJ//ravA//uxuB//gltB//tsaB//ubiF//cobT//mutY//mnmC//bioD//entH//rlmM//ogt//guaC//hyaB//kdsB//miaA//mutH//nagA//edd//serC//oxc//dacD//hemD//galK//truB//ftsI//mtlD//fadH//pagP//lgoD//yjhH//umpH//panB//dhaL//uxaB//ssuE//mpaA//ilvC//mraY//
go_0006979_4	murQ//tdcD//cheB//nanE//folC//valS//hemH//gldA//dacD//mnaT//treA//dgoA//wecC//kbaY//yeaG//pyrC//rihB//hemH//ilvN//cobT//paaZ//fabG//serB//garL//preT//gloC//
go_0006986_5	ispF//
go_0006995_6	nth//lpcA//
go_0007059_3	clsB//gloA//
go_0007062_4	
go_0007155_3	torC//
go_0007165_3	dam//pphB//
go_0007234_5	
go_0007584_4	
go_0008033_9	pdxA//yjhG//moaA//rlmI//ldcC//rluB//hmp//tdcG//
go_0008104_4	
go_0008152_2	glpA//nagZ//pheT//speE//argK//gcvP//bacA//btuR//torZ//rlmI//sseA//mutL//udk//menB//rsuA//trmO//treA//
go_0008156_8	
go_0008219_3	
go_0008272_6	yihS//fadJ//
go_0008295_6	azoR//cysE//entF//
go_0008299_5	pyrE//
go_0008360_4	metG//tgt//garD//folD//cysK//frdB//epmB//mhpA//hemA//bacA//mhpD//
go_0008610_5	fkpA//frdB//adeD//mnaT//
go_0008615_6	kdsA//torZ//oxc//ilvE//araA//queD//gdhA//
go_0008616_8	dmsB//glcF//asnS//avtA//rluD//pflB//
go_0008643_6	pflB//aroL//yfcF//glnE//fadD//ychF//astB//narG//wzb//selA//pykA//araD//mtn//gluQ//hyi//rlmF//ssuD//valS//
go_0008652_5	fucI//murQ//rluA//rffG//ddlA//fabD//garD//gabT//
go_0008653_5	
go_0008654_5	treA//argK//glmU//yajO//
go_0009050_6	puuC//lsrG//
go_0009052_6	rluF//dmsC//ftnA//cyoE//waaA//ispF//
go_0009056_3	maeA//
go_0009058_3	rlmF//mobA//speC//torZ//
go_0009060_6	glgA//pyrE//kefF//citC//tcdA//puuB//agp//
go_0009061_6	otsA//pgk//glpB//murE//mhpC//yeaE//argE//pdeF//ybiV//murQ//cysG//yegS//hisA//mak//allB//tyrB//dgkA//apt//hpt//ribD//ttdB//
go_0009062_6	fadD//
go_0009063_5	ppc//hcaD//entH//
go_0009070_7	katG//
go_0009073_6	fumB//bglB//ldhA//fklB//lpxH//gpmM//gutQ//fadB//hemN//entF//cysN//
go_0009081_5	roxA//hemN//
go_0009082_6	lldD//pheT//hypB//dgoA//kduI//argD//narV//
go_0009085_8	dkgB//
go_0009086_7	ispB//gpt//paoC//phr//thiG//
go_0009088_8	rffG//gcl//
go_0009089_6	ychF//ydiB//thiH//mobA//sodA//metH//
go_0009090_8	nagA//garK//metB//tmcA//
go_0009092_7	paaC//
go_0009093_7	
go_0009094_6	yagF//tsaB//yihV//
go_0009097_7	cof//accB//lgoD//phnM//rhaD//
go_0009098_7	argI//nadB//allD//sad//citX//phnJ//
go_0009099_7	adhE//garK//roxA//icd//glpX//glgX//tcdA//
go_0009102_6	waaA//coaA//pgm//nanK//gph//wzb//ldtB//yjhH//malQ//
go_0009103_6	folM//mraY//queF//murA//entF//pyrC//pflB//phoA//rluC//
go_0009106_5	narI//
go_0009107_6	uxaC//wzc//
go_0009108_6	fre//
go_0009116_5	arnT//uxaB//
go_0009142_7	thrC//
go_0009143_7	lpxP//
go_0009152_8	cmoB//
go_0009157_8	tag//
go_0009166_7	prpD//dmsB//
go_0009168_9	pnp//
go_0009220_8	thiD//ampH//
go_0009224_9	btuE//
go_0009226_6	glpB//trpC//
go_0009228_7	gpsA//dam//pgsA//gph//trmD//yjjG//rlmJ//gloC//gloB//
go_0009229_6	gcd//solA//
go_0009231_6	gloC//acpS//gph//spoT//napC//pdxA//adiA//
go_0009234_7	glnS//fabI//pgm//dxr//gabD//fbp//tmk//gltD//paaF//
go_0009236_6	hisH//hemH//sucA//mngB//moaA//chbF//
go_0009237_4	opgB//dgoD//
go_0009239_6	nanK//tpiA//gatZ//trmH//cobT//accD//gshA//ansB//
go_0009240_6	adiA//
go_0009242_6	trmO//nrfD//folD//ligB//sdhC//carA//nadD//mltA//
go_0009243_7	hisF//
go_0009244_7	ubiC//purA//ttdB//wzb//dusB//rnb//treC//eptC//mocA//rbsD//metE//puuE//hcaB//alsE//ilvB//feaB//nrdB//pyrG//dhaL//ilvN//uxuA//torY//
go_0009245_6	hisH//kdsD//tsaE//phnG//glpD//leuC//pyrF//allC//rfbD//
go_0009246_6	rsmJ//yjcS//galM//tgt//serB//rdgB//
go_0009249_6	rlmL//pdxA//frdD//
go_0009250_7	
go_0009251_7	ftnA//
go_0009252_7	torA//lpcA//sseA//solA//nagA//poxB//uidA//dgoA//mutL//frdC//caiD//frmA//rsgA//menC//rsmH//tsaE//lldD//nrfC//lysA//avtA//ulaF//queG//menA//argG//lyxK//
go_0009253_8	rfaE//rpe//ubiA//hmp//yfbR//nadK//pyrE//deoD//yhdJ//edd//
go_0009254_8	maa//entH//guaC//pyrD//ynfH//gldA//rlmD//lpxP//guaC//rlmB//nrdE//
go_0009257_8	cysK//ispA//clsB//pheA//
go_0009263_6	torY//dgkA//
go_0009264_6	menF//prpB//
go_0009265_7	ftnA//
go_0009266_4	tadA//nrdA//glnA//scpC//pdxJ//thiH//
go_0009267_5	gadA//mnmA//
go_0009268_4	cfa//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	ispA//
go_0009297_6	
go_0009298_7	dld//dcyD//kdsC//
go_0009305_7	waaB//
go_0009306_4	
go_0009311_5	
go_0009314_4	sucD//folM//queF//eutB//yfbR//hemB//tdcG//sdaB//truA//cfa//tyrS//cynS//aceF//pyrF//kduI//folE//mrcB//
go_0009372_5	ulaF//nadK//tatD//
go_0009396_6	phnH//hisB//
go_0009398_7	sbcB//
go_0009401_7	preT//suhB//eutB//opgE//nfsB//nagZ//dgkA//treF//rluA//yfcG//ynfF//aroG//panC//rluB//rlmJ//umuD//pphB//paoC//sodA//argE//
go_0009403_5	
go_0009405_4	
go_0009407_3	pgaD//
go_0009408_4	argE//bglB//nirD//cysK//solA//ppk//pflB//aceF//otsB//guaA//sucC//purL//accA//thiG//kduD//tdk//frdC//lldD//tig//carA//moaE//lsrK//frdC//asnA//csdA//hemE//
go_0009409_4	yahK//pldB//
go_0009410_4	pdeF//
go_0009411_6	yihU//glcD//mdh//frdA//trmI//cynS//phnI//speE//rhaB//
go_0009416_5	coaE//pykF//
go_0009423_8	recR//asnB//glgB//mhpA//
go_0009432_5	sgbH//pyrC//ldtB//pyrB//kbaZ//
go_0009435_9	accB//yfeW//yfiC//thiH//pnp//
go_0009436_6	yeiG//cpdA//cysG//otsA//
go_0009437_5	
go_0009438_5	
go_0009440_6	hisD//alkA//tauD//
go_0009442_7	rdgB//putA//rfaE//aceF//rffC//
go_0009443_5	nth//galT//rnb//
go_0009446_6	yeaE//acpT//
go_0009447_6	asnA//lsrK//gltB//pncB//trmH//rnb//pgaB//recF//
go_0009450_6	abgB//gabD//purT//proS//
go_0009451_6	lpxD//scpC//hmp//cysH//
go_0009593_4	
go_0009597_5	
go_0009636_4	glcB//phnI//ppk//maeA//yfcF//
go_0009637_6	
go_0009651_5	
go_0009697_5	yfdR//
go_0009758_2	yccX//
go_0009785_5	
go_0009970_6	rffH//rihB//gcvH//
go_0009972_10	mtn//
go_0009992_5	gadA//ssuE//rlmE//
go_0010033_4	
go_0010038_5	
go_0010039_6	ubiX//
go_0010041_7	mcrB//menH//
go_0010042_6	paaC//
go_0010043_6	dhaK//yfeW//
go_0010045_6	malY//
go_0010106_6	
go_0010124_4	orn//metL//truA//rffH//dgcM//panC//fabB//galM//
go_0010133_7	metB//
go_0010139_7	cfa//
go_0010165_6	rlmD//spoT//rffM//murA//argI//tdcD//gmk//cheB//
go_0010212_5	mngB//
go_0010226_6	fkpA//
go_0010243_5	
go_0010272_6	mpaA//
go_0010273_4	arnA//sdaA//dusB//
go_0010312_3	xapA//
go_0010332_6	
go_0010350_6	
go_0010438_6	fadA//trpA//
go_0010447_5	paaJ//dnaE//
go_0010468_6	hypF//
go_0010498_6	dnaQ//kdsC//sbcB//hmp//
go_0010501_7	yfeW//pgaD//
go_0010557_7	
go_0010608_7	yqhD//
go_0010628_7	
go_0010629_7	dgoD//
go_0010676_7	
go_0010699_4	nudG//glgA//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	edd//mutT//umuC//gloB//gudD//gpt//tyrA//leuD//nudF//
go_0015031_5	pgaD//citC//metH//rfe//trpC//bioF//alaC//mazG//
go_0015074_6	
go_0015628_5	
go_0015670_6	lpd//
go_0015673_9	ascB//
go_0015675_9	psuG//
go_0015679_10	rrrD//
go_0015682_8	abgB//
go_0015684_9	hycB//deoC//acpS//dgcT//
go_0015685_8	sthA//waaF//
go_0015687_7	cmk//
go_0015688_6	hemN//cysM//
go_0015689_8	gltX//
go_0015691_9	argH//speG//
go_0015692_8	hemF//
go_0015693_9	aroE//
go_0015696_6	wrbA//
go_0015698_7	folD//
go_0015699_8	asnS//
go_0015700_8	ravA//
go_0015706_6	glgA//murD//malZ//
go_0015707_6	agp//ascB//rsmJ//sucC//
go_0015709_6	menF//
go_0015710_8	ttdA//mtn//
go_0015712_7	accC//
go_0015718_8	waaA//
go_0015721_7	hycB//argA//yeaE//
go_0015724_7	queF//
go_0015726_8	dapF//
go_0015733_7	eda//
go_0015734_6	aspA//
go_0015736_9	dmlA//
go_0015739_7	hcaC//
go_0015740_9	insI-2//maeA//kdsA//
go_0015741_10	yfiC//waaQ//
go_0015747_6	fadE//
go_0015748_6	thiD//
go_0015749_7	pgpC//spoT//proS//btuE//patA//tyrA//patA//
go_0015751_9	thiD//sodA//
go_0015752_9	ldtE//ssuD//
go_0015753_9	carA//bioA//
go_0015754_9	narI//
go_0015755_9	nanK//phnJ//asnB//
go_0015756_9	pdxH//pheT//
go_0015757_9	ispB//nth//ribB//waaY//
go_0015760_8	fabH//
go_0015761_9	gabD//
go_0015762_9	mmuM//
go_0015764_7	murD//sgbU//waaA//
go_0015765_8	araB//ileS//
go_0015767_9	panB//mltB//tsaB//
go_0015768_9	truB//pabA//fadI//
go_0015769_9	nagZ//
go_0015771_9	curA//ilvD//metB//
go_0015772_7	ahr//glyS//dcd//
go_0015774_7	paaA//
go_0015778_7	rfbC//
go_0015793_7	ssuD//miaB//
go_0015794_7	relA//amyA//
go_0015795_7	nrfA//manA//
go_0015796_7	ackA//
go_0015797_7	bioD//nfi//mocA//
go_0015803_7	dfp//pgaB//menE//
go_0015804_7	gstA//narV//
go_0015806_6	rlmI//
go_0015807_7	panD//entD//arnB//ahpC//napC//argD//
go_0015808_8	fcl//speA//
go_0015809_7	thiM//
go_0015810_8	torY//nagB//
go_0015811_7	add//waaG//
go_0015813_6	gltX//ttdA//mocA//
go_0015814_7	yjiA//
go_0015816_6	speC//
go_0015817_7	gstA//waaA//
go_0015818_7	carA//xylB//
go_0015820_7	pdeH//fucA//otsB//pdeL//pphB//
go_0015821_7	scpC//sdhA//
go_0015822_7	accA//
go_0015823_7	cueO//ispG//rsmG//cheR//galK//
go_0015824_7	hemA//hcaB//trpB//
go_0015825_8	narI//
go_0015826_7	epmB//rnb//frmA//
go_0015827_7	torC//ssuD//ilvH//
go_0015828_7	rsmG//dgcT//
go_0015829_7	hemA//ubiC//dusC//
go_0015830_7	recR//
go_0015833_6	narI//fadK//mazG//cobS//mmuM//tktA//phnP//ampD//tdcE//deoA//
go_0015834_7	mrdA//paaA//
go_0015835_6	caiB//
go_0015836_7	galM//mdh//
go_0015839_7	puuD//
go_0015846_6	asnB//tynA//
go_0015847_7	aspA//feaB//ahpC//maeA//ycjU//
go_0015848_7	waaY//rutD//
go_0015851_6	
go_0015853_8	hisH//pnp//
go_0015856_8	cysH//
go_0015857_6	gudD//dusB//
go_0015858_7	rlmB//ansA//rnd//
go_0015860_7	paaF//trpE//
go_0015861_9	aroL//hisD//
go_0015862_9	pdeF//glpA//
go_0015863_8	cfa//
go_0015864_8	ribD//
go_0015871_6	mnmC//pdeF//aldA//rph//
go_0015878_6	
go_0015879_9	ulaG//
go_0015882_7	kbaY//
go_0015886_6	guaC//rlmC//
go_0015887_7	sucA//
go_0015888_6	panE//
go_0015889_6	yigB//nanA//ubiA//
go_0015891_6	yghU//
go_0015906_6	roxA//
