# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tmcA//
go_0002939_7	lpxK//
go_0002943_8	rdgB//
go_0002949_8	aroF//malP//gldA//
go_0003333_7	murD//proS//mltA//gmk//malZ//feaB//ruvB//yihV//rsmB//rffT//ldtA//gpmM//glgX//
go_0005975_4	phnP//frlC//abgB//ispH//paaC//torY//csdA//ubiC//citX//paaK//nrdF//rph//garD//rpiA//phnJ//yfaU//
go_0005976_5	sodC//
go_0005977_6	mutH//
go_0005978_7	mutS//fau//queG//mnmG//
go_0005980_7	fadA//ttdA//ldtA//
go_0005986_7	ynfF//
go_0005990_7	epmC//
go_0005992_7	suhB//ybjG//
go_0005993_7	hisD//rlmJ//queF//
go_0005995_7	ilvC//
go_0005998_7	thrB//
go_0006000_6	pyrE//
go_0006001_7	paaZ//xdhB//
go_0006002_5	aroC//garD//plsC//
go_0006006_6	ansB//ada//murA//lpcA//aspS//
go_0006007_7	ttdA//fumA//
go_0006011_5	purA//
go_0006012_6	dmsA//
go_0006013_6	pgpB//
go_0006014_6	rffM//
go_0006015_7	rihB//galE//
go_0006020_5	ndh//
go_0006044_7	acnA//
go_0006046_8	hisH//rfaD//
go_0006047_5	paaK//uxuA//
go_0006048_6	dapB//epmC//pfkB//ahr//
go_0006053_8	nudC//
go_0006062_8	mutM//
go_0006071_6	dcd//dut//
go_0006072_6	ybcF//
go_0006082_4	dapF//
go_0006083_6	puuA//coaE//yajO//
go_0006086_8	yeiG//polA//
go_0006090_8	ppiC//birA//ybjG//fadA//rlmC//narH//ulaG//
go_0006094_7	guaA//metE//murA//rlmB//gpp//argF//menD//nrfB//ilvD//
go_0006096_6	proA//metF//pdeR//pheS//ppsA//rhaD//hchA//nfsB//fbaA//gstB//thiE//wecB//uxaB//
go_0006097_5	arnT//argI//wzc//tadA//idnD//
go_0006098_6	ubiG//rnpA//ung//trmH//entD//
go_0006099_4	mcrB//glpD//fadB//cdsA//gadA//pta//dhaK//nudB//pdxY//pncB//yghU//dusB//uxaC//
go_0006103_5	phnH//uxuB//tsaC//argE//
go_0006104_6	pabA//
go_0006105_5	ygeX//
go_0006106_8	menE//
go_0006107_8	
go_0006108_8	trmA//dusC//pgpC//gapA//
go_0006113_5	asnA//rffM//
go_0006115_6	yrfG//
go_0006124_6	
go_0006144_6	
go_0006145_7	ispB//
go_0006146_8	argH//
go_0006148_9	sucD//
go_0006149_9	chbG//
go_0006150_9	hyaC//
go_0006152_7	tpiA//hemN//nadB//fes//metK//
go_0006154_6	mcrB//
go_0006161_9	epmB//
go_0006163_6	trpS//
go_0006164_7	gcvP//torA//sdaA//rhaB//
go_0006166_6	aroG//
go_0006168_7	scpB//leuA//
go_0006171_9	
go_0006172_9	rnb//
go_0006177_9	mtlD//
go_0006178_7	mhpA//
go_0006183_9	nagA//
go_0006189_10	rfbC//dmlA//
go_0006203_8	argC//nagA//
go_0006206_6	dhaL//queD//panD//
go_0006207_8	mepS//dadA//moeB//argS//zwf//
go_0006208_7	ugd//suhB//rfbB//fes//ascB//rnd//
go_0006209_6	citC//
go_0006210_8	cobU//
go_0006212_6	lysA//queF//fabZ//rffT//recF//yfiC//hcaF//mutL//ybiV//yqaB//
go_0006217_9	yegS//
go_0006218_9	pck//
go_0006220_6	bglA//
go_0006221_7	gpmA//nadE//nrfA//
go_0006222_9	
go_0006225_9	kdsB//
go_0006226_9	tdh//gluQ//
go_0006227_9	queF//
go_0006231_9	aldB//
go_0006233_9	nanK//
go_0006235_9	lpoB//
go_0006241_9	galU//
go_0006259_5	yqjH//lpoB//purL//
go_0006260_6	phnN//fabB//rutB//hypB//truA//mak//thiI//
go_0006261_7	napA//azoR//tsaD//
go_0006265_6	proS//gabT//
go_0006266_6	ubiH//hisB//trmO//
go_0006267_5	
go_0006268_9	lplA//pdxB//
go_0006269_6	tag//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	chbG//rsmC//
go_0006281_6	nrfD//cynS//melA//prs//rffG//yciA//spoT//ssuE//dfp//yigB//lpxD//hemH//lipB//epmA//ligB//metB//aceB//
go_0006283_8	
go_0006284_7	dadA//ybhA//hdhA//moaD//lpxB//pgpC//
go_0006285_6	nrfD//speA//cysH//mepS//
go_0006288_8	rutB//mhpC//
go_0006289_7	
go_0006298_7	yqaB//ackA//fes//cobT//
go_0006301_7	
go_0006302_7	waaU//treF//
go_0006307_8	mcrB//cmoA//deoC//moaD//tktA//
go_0006308_6	purC//glnA//hcp//rsmA//
go_0006310_6	rsmC//cdsA//serB//aes//aspA//
go_0006313_4	gudD//
go_0006351_6	torC//chbF//
go_0006352_7	
go_0006353_7	
go_0006354_7	mnmC//
go_0006355_7	pagP//
go_0006357_8	
go_0006364_9	rffC//ydiF//def//gmd//
go_0006378_8	frmA//
go_0006396_7	talB//torC//paaA//dusB//glpB//
go_0006397_8	trpC//
go_0006399_8	rlmM//ampD//
go_0006400_7	glgB//maa//pfkA//puuD//fumC//
go_0006401_6	pheA//mhpB//gudD//waaJ//argI//ndh//
go_0006402_7	proB//fabH//hemD//gntK//narV//pflB//rlmA//
go_0006412_6	hemH//aldA//suhB//trpC//sdhA//
go_0006413_4	recO//
go_0006414_6	
go_0006415_7	prmC//ftnA//
go_0006417_7	nadC//mdh//
go_0006418_7	zwf//thiM//arnA//fabI//tyrA//paaC//yqjH//dhaK//aldB//mhpB//rpiA//
go_0006419_8	asd//
go_0006420_8	edd//
go_0006421_8	fabZ//
go_0006422_8	sufS//
go_0006423_8	ruvC//
go_0006424_8	moaA//fadA//
go_0006425_8	mmuM//
go_0006427_8	slt//
go_0006428_8	iaaA//
go_0006429_8	codA//
go_0006430_8	abgA//recR//
go_0006431_8	murG//
go_0006432_8	pabA//
go_0006433_8	umuC//
go_0006434_8	yfeX//
go_0006435_8	mobA//
go_0006436_8	hypF//
go_0006437_8	prpB//
go_0006438_8	fkpB//
go_0006448_8	
go_0006450_4	dut//mcrB//entH//rfbC//rsmG//pyrH//
go_0006457_3	yidA//menC//cobS//adk//asnA//guaA//mngB//
go_0006458_4	
go_0006464_6	gpmA//mutY//ligA//recG//opgB//ttdA//frmA//aroA//
go_0006465_6	patA//uxuA//folE//
go_0006468_7	cysK//
go_0006470_7	bioF//btuR//thiC//ydiF//ribD//
go_0006473_8	aldB//
go_0006474_6	yqhD//ldtA//waaS//
go_0006476_8	waaZ//
go_0006479_5	fadB//asd//lpxL//fabH//folA//nrdF//
go_0006486_5	ribB//
go_0006490_5	yciV//
go_0006508_5	gshB//pdxA//waaU//mutY//hypB//tpiA//yccX//wcaJ//gph//cdh//lipA//lsrK//hisA//araD//nadD//hisG//purD//phnL//kefF//trmD//mazG//guaD//ispG//yciV//ulaF//glcF//mtlD//tesB//ilvM//rutE//srlD//rffG//uxaA//
go_0006515_7	pykA//eptC//yihT//xthA//rsmF//def//etp//
go_0006517_6	deoD//rnb//
go_0006518_5	prpC//sucB//
go_0006523_8	rfaE//ldtE//
go_0006524_8	
go_0006526_8	epmA//umuD//aldA//rfbD//fumC//lpxH//agp//
go_0006527_8	folX//folP//lipA//dgoD//mltB//
go_0006529_7	opgB//nth//
go_0006530_7	hypB//narI//tdcG//mrdA//
go_0006531_7	dmlA//
go_0006532_8	gltD//accA//add//
go_0006535_8	sbcB//citC//glyA//
go_0006537_8	eutB//
go_0006538_8	rne//cynS//
go_0006541_7	solA//pdeH//suhB//yeaE//kdsC//
go_0006542_8	hemA//idnD//
go_0006543_8	
go_0006545_6	frlB//
go_0006546_6	hisG//psd//nudF//
go_0006554_8	queF//acs//tsaC//
go_0006556_5	katE//
go_0006559_6	aroD//
go_0006561_6	menC//trmO//
go_0006563_7	ydiO//
go_0006564_8	eutB//ribE//mdh//epd//
go_0006565_8	deoD//pdeR//queC//fucI//fklB//
go_0006566_7	rsmG//
go_0006567_8	deoB//cysD//ftsI//mutL//ilvH//alsK//thiM//
go_0006569_7	gcd//
go_0006571_7	glnE//yfiC//
go_0006593_7	ynfF//
go_0006598_8	eda//pgk//yjhG//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	rihB//sucA//
go_0006631_5	glpA//umpH//alaS//gcvH//pyrG//
go_0006633_6	betA//hemF//pdeL//recG//cysM//pheS//paaZ//hisA//truA//acnB//glmS//
go_0006635_6	pgaD//tyrB//gpt//appA//pgi//ispU//folX//menF//lpxC//hemG//gcl//gor//
go_0006636_7	
go_0006637_5	ribB//pheA//moaE//hcaF//dadA//
go_0006646_7	
go_0006650_6	
go_0006654_7	tdk//
go_0006655_7	ribA//ldtB//
go_0006725_4	allC//
go_0006729_6	phnM//argI//
go_0006730_4	waaG//chbG//ilvC//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	aes//dcyD//ynfE//fumB//ydfG//entD//hisD//ruvB//metG//cyaA//frmB//rsmE//
go_0006749_5	cyaA//wrbA//
go_0006750_6	leuC//ugd//
go_0006751_6	ugd//
go_0006757_5	mak//
go_0006760_5	yeaE//
go_0006761_7	ppiA//
go_0006771_5	hemA//
go_0006772_6	moaA//dhaM//
go_0006777_5	wecC//hemF//cpsG//ubiX//serC//
go_0006779_6	nemA//yigL//btuE//paaZ//edd//
go_0006780_7	ldcA//
go_0006782_7	adk//proA//ychF//gcvH//
go_0006783_5	eda//ghrB//puuA//nrdD//fumB//narY//nanK//
go_0006790_4	dnaQ//fadK//argD//mobA//ldhA//waaU//yieH//ldtA//dhaL//cobT//
go_0006791_2	glpD//thiM//ymdB//
go_0006793_4	cof//gcvT//
go_0006798_5	trmA//
go_0006799_5	alkA//
go_0006801_5	bglX//avtA//yhdJ//
go_0006805_4	hcaF//mnmA//hypF//hyi//
go_0006807_3	narH//ddlB//gatY//
go_0006808_4	fabB//
go_0006810_4	kefF//folX//paaF//fumC//phnI//pgk//putA//fumC//rlmG//ispB//metG//pdxH//mngB//narI//sodC//ampH//pdxA//tatD//mtn//maeA//aldB//umuC//pgaD//opgE//kbaZ//fadA//eptB//fdhF//murF//cysC//lpxP//arnA//ribB//moeA//menA//eptB//phnM//guaC//glyA//umpG//dmlA//allC//feaB//cfa//trmJ//queD//carB//cobC//rph//agp//bfr//metL//gloA//folC//hyaC//edd//mhpB//thiH//thrB//dkgB//yhdJ//tktA//lpxK//pgl//dusB//avtA//epd//cysQ//ackA//rfbC//dapF//phnH//fkpB//mobA//csdA//sodC//queA//
go_0006811_5	argE//oxc//rlmA//mutS//putA//gatY//purC//menC//garD//fkpB//phnN//
go_0006812_6	nirD//bacA//
go_0006813_8	hyaB//sgbH//nudF//accB//yccX//speG//hcaC//ndk//
go_0006814_8	aspA//pheS//ndk//gstB//
go_0006817_8	fes//
go_0006820_6	mhpA//ssuE//trmL//sucA//sucB//
go_0006821_8	fadA//
go_0006824_8	lysC//waaH//nagK//galT//
go_0006825_9	hflX//
go_0006826_9	ahr//
go_0006828_9	sufS//
go_0006829_9	rpiA//lsrK//ulaF//entC//eptC//
go_0006833_6	
go_0006835_8	pdeL//rimK//
go_0006847_8	frlB//
go_0006855_6	rnpA//yhdH//aldB//xdhB//dgt//citE//aldB//psd//serS//murC//cysS//bioD//ribA//acpH//
go_0006857_7	entB//yciV//dbpA//
go_0006863_7	gcvH//
go_0006865_6	nudB//rsmC//gloA//menD//roxA//rsmF//pdxA//acpS//ycaO//argI//mazG//hcaE//hemC//thrA//gstA//rffT//dkgA//rfbB//tnaA//tktA//moaD//
go_0006868_7	metC//
go_0006869_6	mpaA//
go_0006874_8	
go_0006876_8	waaL//
go_0006878_9	frc//
go_0006879_9	ilvC//dgcZ//
go_0006880_4	ldhA//metE//
go_0006882_8	cobT//
go_0006883_8	suhB//bioD//truD//
go_0006884_4	
go_0006885_9	lpxC//
go_0006886_5	
go_0006928_3	trmL//
go_0006935_4	ubiX//accA//rutA//cdh//nrfB//
go_0006970_4	waaO//sucC//cobT//patA//aroG//trmO//
go_0006972_5	nudC//pdeH//sdhC//cmoA//gloA//
go_0006974_5	pphB//ddlB//fruK//tmk//glxK//ymdB//mnaT//lpxK//purA//sdhC//patZ//ampD//ada//tig//paaZ//dgcT//manA//yihX//yieH//dgt//citX//ascB//thrB//puuD//fadJ//fumA//serB//wecC//rsmD//truD//mgsA//nrfC//metB//fes//mutS//katG//dadA//aldA//amiD//murC//speG//yfaU//curA//rffG//pgpB//accB//pagP//cysN//uxuB//mhpB//cobT//bioC//etp//fumA//folD//ppiC//etp//wzc//yqjH//ilvM//mobA//paaK//hcaD//pgaB//lgoD//arsC//astB//rsuA//dcyD//manA//napC//dnaE//yqhD//lpxB//uvrC//mnmE//ilvD//purB//truD//yjiA//mnaT//puuD//sthA//rbsD//ydiO//cmoB//ampD//purC//fkpA//garD//acpH//yjhH//ubiD//recG//thiD//
go_0006979_4	garK//trmL//prpB//rnb//btuR//yieF//waaU//fadJ//acs//rlmL//arnT//hcp//aldB//fumB//phnJ//arsC//pagP//pdxH//katG//ltaE//eptC//glgP//gcvT//yqjH//rluE//malZ//
go_0006986_5	dkgB//
go_0006995_6	relA//cynS//
go_0007059_3	malP//narI//
go_0007062_4	
go_0007155_3	rsmF//
go_0007165_3	queG//frdC//
go_0007234_5	
go_0007584_4	
go_0008033_9	aceA//gadA//tyrA//mnmC//uxaA//gntK//narZ//aspS//
go_0008104_4	
go_0008152_2	menH//bglB//xylB//thiL//ligB//melA//guaB//narY//fklB//kdsA//narI//yghU//argC//otsA//cpdB//phnH//cysN//
go_0008156_8	
go_0008219_3	
go_0008272_6	moeA//lpxK//
go_0008295_6	ubiX//astC//hypF//
go_0008299_5	hinT//
go_0008360_4	murI//betB//fre//ldtA//rsmH//ribE//entE//ung//purD//aroC//murG//
go_0008610_5	galT//mrcB//azoR//hyaC//
go_0008615_6	thiE//proS//lpxH//ilvD//tehB//kefF//mrcB//
go_0008616_8	ribC//pyrE//waaY//entA//yccX//kdsC//
go_0008643_6	mrcA//folP//srlD//mtgA//rffT//ychF//epmB//gph//waaC//aceA//sufS//cysD//ilvH//paaA//tdh//psd//hemL//yahK//
go_0008652_5	yciV//preT//gltD//dsdA//bioB//deoC//trpB//rluA//
go_0008653_5	
go_0008654_5	paaA//ddlA//yqjH//rlmH//
go_0009050_6	gadA//aspS//
go_0009052_6	ttdA//mtn//ubiD//mcrA//dmlA//recJ//
go_0009056_3	ushA//
go_0009058_3	dxs//sgbE//atoB//gutQ//
go_0009060_6	uvrA//rsmB//waaP//pdeH//yagF//umpH//yihT//
go_0009061_6	alkA//umuC//ahr//rffT//dmsA//murQ//argE//dgcM//hflX//pncB//cysG//eda//aldA//thiL//idnK//yfbR//allC//purF//rsmF//dusB//hisB//
go_0009062_6	kdsB//
go_0009063_5	moeB//mltC//cysS//
go_0009070_7	rutB//
go_0009073_6	bfr//sseA//patD//serB//psuG//garK//ybiV//acs//hemD//hcaE//uxaA//
go_0009081_5	nadD//tktB//
go_0009082_6	serS//nadD//sodC//ilvM//napC//astC//ybiV//
go_0009085_8	mutT//
go_0009086_7	ubiH//purT//pgpA//pdeF//betB//
go_0009088_8	puuC//coaA//
go_0009089_6	tehB//fadD//ubiX//ubiE//thiC//frdC//
go_0009090_8	ulaF//rutB//torA//lpxL//
go_0009092_7	dapD//
go_0009093_7	
go_0009094_6	ycaO//argB//yhdH//
go_0009097_7	pdxK//dusC//torC//xdhB//serC//
go_0009098_7	rluC//ispA//trmL//glcE//dgoK//sdaB//
go_0009099_7	acpS//frdC//mltF//argS//add//pgaD//frmB//
go_0009102_6	yajO//slyD//polA//fbp//cysD//pnp//ssuE//fdhF//ssuD//
go_0009103_6	lpxD//mcrA//phnG//adeD//gadA//aroE//gshB//alaC//speA//
go_0009106_5	pheS//
go_0009107_6	curA//mhpC//
go_0009108_6	alaC//
go_0009116_5	pphB//nrfA//
go_0009142_7	recO//
go_0009143_7	menI//
go_0009152_8	serC//
go_0009157_8	azoR//
go_0009166_7	metB//leuB//
go_0009168_9	pbpC//
go_0009220_8	yfbR//nagK//
go_0009224_9	treA//
go_0009226_6	ubiF//glyS//
go_0009228_7	gcvT//nirD//glnA//otsB//ubiX//cysN//nadD//ispU//waaF//
go_0009229_6	epd//rpiB//
go_0009231_6	pgsA//nagZ//leuA//asnB//btuR//fadA//ribB//
go_0009234_7	yigL//tesB//yjhH//xapA//hemL//pgaC//ogt//tdcG//birA//
go_0009236_6	rnb//dgoD//dusB//kdsA//eutD//pykA//
go_0009237_4	metK//add//
go_0009239_6	yjiA//glxR//cysQ//fadJ//gloA//rhaM//acpS//nagB//
go_0009240_6	tmk//
go_0009242_6	iscS//cysE//yhdH//cysN//cadA//tcdA//nadA//nemA//
go_0009243_7	glnE//
go_0009244_7	aldB//murE//ackA//gpp//mnaT//guaC//cysG//aroH//glmU//cysM//pyrE//clsB//phnL//rfaE//selD//rlmL//mnmA//yciV//coaE//queD//paaA//ravA//
go_0009245_6	pabA//pgi//glmM//paaC//ispH//glmM//purN//nadE//metF//
go_0009246_6	accB//yfeX//rihA//tesB//argS//narY//
go_0009249_6	rsmA//glmU//leuB//
go_0009250_7	
go_0009251_7	tdh//
go_0009252_7	sdhB//torY//speE//yjjG//fadA//pgaD//malP//araD//kdsD//folC//ilvE//argB//hmp//puuC//uxuB//glpB//rpiB//gstA//leuC//frdB//ychF//glgB//argF//torY//lpxB//
go_0009253_8	ada//pykF//glcE//gshB//lysC//metK//dosP//ppx//alsK//nrdB//
go_0009254_8	iscS//speF//treC//gor//proS//pgsA//adk//ada//aes//ascB//ilvD//
go_0009257_8	alaS//hemF//gluQ//rlmF//
go_0009263_6	metG//dosP//
go_0009264_6	pyrH//ldcC//
go_0009265_7	ugd//
go_0009266_4	yajO//rluD//glnS//nudF//argC//cysC//
go_0009267_5	roxA//carA//
go_0009268_4	nanA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	arnT//
go_0009297_6	
go_0009298_7	phnH//thiC//fumA//
go_0009305_7	tadA//
go_0009306_4	
go_0009311_5	
go_0009314_4	thrS//deoC//rlmH//rsuA//nfi//dgoK//alaS//tmcA//prpC//fcl//yfbR//yigB//nudC//hycB//chbG//nrfA//ldtE//
go_0009372_5	srlD//dgcM//hcaE//
go_0009396_6	proS//gltB//
go_0009398_7	entA//
go_0009401_7	mak//rsgA//ubiG//gabT//dapD//nadA//mrdA//frdD//rph//dapA//moeA//gatY//mgsA//cysE//waaL//alsE//rlmL//dmsC//rlmE//cysG//
go_0009403_5	
go_0009405_4	
go_0009407_3	rnpA//
go_0009408_4	folC//surA//speA//bglB//trmL//rffM//curA//nrdE//mdh//thiI//rph//pdeL//proA//yfcF//ybhA//epd//pdxA//murD//ppiC//mltF//puuB//serC//nudG//pgaB//serS//mltD//
go_0009409_4	tdcB//psuG//
go_0009410_4	tyrA//
go_0009411_6	fabD//suhB//cysK//murF//purU//ydfG//rutE//waaZ//fre//
go_0009416_5	rutE//argA//
go_0009423_8	yeaG//eptA//iscS//dld//
go_0009432_5	argK//mrcB//ydiO//frlC//aldB//
go_0009435_9	yfcF//tmcA//dmsA//ugd//xylA//
go_0009436_6	puuE//coaD//ppc//ung//
go_0009437_5	
go_0009438_5	
go_0009440_6	panE//leuC//yfdR//
go_0009442_7	torA//sdhC//xylB//tgt//fumB//
go_0009443_5	btuE//rluA//rhaD//
go_0009446_6	lpoA//fucA//
go_0009447_6	sucC//codA//folX//pheA//entH//tmcA//phnL//waaA//
go_0009450_6	folE//dacA//iaaA//rffH//
go_0009451_6	betA//dacA//accC//mmuM//
go_0009593_4	
go_0009597_5	
go_0009636_4	xdhB//mazG//clsB//ilvN//yghU//
go_0009637_6	
go_0009651_5	
go_0009697_5	waaP//
go_0009758_2	lplA//
go_0009785_5	
go_0009970_6	ligB//ilvH//coaA//
go_0009972_10	citE//
go_0009992_5	ligB//tesB//ilvB//
go_0010033_4	
go_0010038_5	
go_0010039_6	clsA//
go_0010041_7	tilS//pdxH//
go_0010042_6	ascB//
go_0010043_6	scpC//aspA//
go_0010045_6	gpmM//
go_0010106_6	
go_0010124_4	puuA//menF//phnI//umpH//frlC//argG//recG//paaB//
go_0010133_7	paaF//
go_0010139_7	dgoD//
go_0010165_6	yahK//mhpA//nfsB//rffM//ybhA//pphA//yfiC//ribB//
go_0010212_5	aes//
go_0010226_6	hypB//
go_0010243_5	
go_0010272_6	phr//
go_0010273_4	rhaB//waaA//valS//
go_0010312_3	eptA//
go_0010332_6	
go_0010350_6	
go_0010438_6	ispF//fadA//
go_0010447_5	eptC//pdxY//
go_0010468_6	narH//
go_0010498_6	speF//rsmJ//dgkA//trpS//
go_0010501_7	recR//recO//
go_0010557_7	
go_0010608_7	glgX//
go_0010628_7	
go_0010629_7	tdcG//
go_0010676_7	
go_0010699_4	folA//gltD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	gmk//hemF//pheT//hinT//nrdA//thiE//ldtA//ndh//fbp//
go_0015031_5	argI//mutY//hycB//glk//rlmL//garK//rfaD//codA//
go_0015074_6	
go_0015628_5	
go_0015670_6	hcaD//
go_0015673_9	aceF//
go_0015675_9	thiC//
go_0015679_10	hycB//
go_0015682_8	mltC//
go_0015684_9	yqhD//entA//leuS//rnd//
go_0015685_8	sgbU//ilvN//
go_0015687_7	pphB//
go_0015688_6	hcaD//yfcG//
go_0015689_8	gstA//
go_0015691_9	ldtA//rluF//
go_0015692_8	fbaA//
go_0015693_9	nadA//
go_0015696_6	fadE//
go_0015698_7	mhpA//
go_0015699_8	glxK//
go_0015700_8	ilvE//
go_0015706_6	purN//ampH//yfdR//
go_0015707_6	uxaB//ascB//purC//ndk//
go_0015709_6	fabH//
go_0015710_8	lipB//melA//
go_0015712_7	murC//
go_0015718_8	rffC//
go_0015721_7	hcaB//yihS//cysM//
go_0015724_7	rlmD//
go_0015726_8	ddlB//
go_0015733_7	preA//
go_0015734_6	rihC//
go_0015736_9	cmk//
go_0015739_7	ynfF//
go_0015740_9	ulaG//arnA//paaE//
go_0015741_10	feaB//hpt//
go_0015747_6	yghU//
go_0015748_6	dmsC//
go_0015749_7	nhoA//ruvB//ubiE//lipB//tmcA//yfeX//folC//
go_0015751_9	fadD//ydfG//
go_0015752_9	gpsA//rbsK//
go_0015753_9	hflX//icd//
go_0015754_9	prmB//
go_0015755_9	tdcG//pgpB//rlmA//
go_0015756_9	yeaG//pgaB//
go_0015757_9	ubiH//phnM//selB//hemB//
go_0015760_8	ldtA//
go_0015761_9	purA//
go_0015762_9	recG//
go_0015764_7	mog//gluQ//hflX//
go_0015765_8	nudB//yhdH//
go_0015767_9	pgpC//yjhG//citG//
go_0015768_9	ubiG//menD//cfa//
go_0015769_9	rne//
go_0015771_9	yjhH//trmL//acpT//
go_0015772_7	yfbR//manA//glnE//
go_0015774_7	mraY//
go_0015778_7	der//
go_0015793_7	phnN//ssuD//
go_0015794_7	adiA//tyrS//
go_0015795_7	mltF//fumA//
go_0015796_7	kdsD//
go_0015797_7	purU//nudG//uxuA//
go_0015803_7	mak//argG//astB//
go_0015804_7	alkB//ddlA//
go_0015806_6	xylA//
go_0015807_7	ynfH//thiC//rimK//aceB//xylA//pta//
go_0015808_8	ycjU//ispU//
go_0015809_7	puuE//
go_0015810_8	waaS//thiG//
go_0015811_7	ispB//otsA//
go_0015813_6	glxK//rfe//leuD//
go_0015814_7	cdd//
go_0015816_6	torY//
go_0015817_7	citC//mtgA//
go_0015818_7	paaG//nirB//
go_0015820_7	gshA//lysA//ruvB//folP//purB//
go_0015821_7	hcaF//rnpA//
go_0015822_7	rsuA//
go_0015823_7	fadE//phnO//pldB//fabZ//yeaE//
go_0015824_7	cysK//rbsK//yigB//
go_0015825_8	lpxK//
go_0015826_7	pinE//lpxD//allC//
go_0015827_7	rutC//nudG//carA//
go_0015828_7	fabA//thrS//
go_0015829_7	fadB//dinB//pphB//
go_0015830_7	leuA//
go_0015833_6	thiI//serA//yieH//glgB//nagB//dgcM//ubiI//pyrD//otsB//acs//
go_0015834_7	fbaA//katG//
go_0015835_6	argF//
go_0015836_7	dgkA//pgpA//
go_0015839_7	yghU//
go_0015846_6	ilvC//menB//
go_0015847_7	talB//puuD//atoB//tehB//fes//
go_0015848_7	nagA//galM//
go_0015851_6	
go_0015853_8	pdxY//entF//
go_0015856_8	nadB//
go_0015857_6	orn//yigB//
go_0015858_7	moaE//proS//nagB//
go_0015860_7	selB//dmlA//
go_0015861_9	paaH//queD//
go_0015862_9	tktB//purC//
go_0015863_8	yqjH//
go_0015864_8	aroF//
go_0015871_6	narG//psd//cobC//patD//
go_0015878_6	
go_0015879_9	polB//
go_0015882_7	cysI//
go_0015886_6	fucO//fabZ//
go_0015887_7	aroG//
go_0015888_6	dsdA//
go_0015889_6	luxS//galK//ribD//
go_0015891_6	bioB//
go_0015906_6	yjiA//
