# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	rrrD//
go_0006563_7	nagB//
go_0006564_8	hdhA//ppk//selB//ybjI//
go_0006565_8	xapA//dinB//lysS//yhdJ//leuS//
go_0006566_7	ilvD//
go_0006567_8	ackA//menI//fkpA//dld//betB//truD//guaB//
go_0006569_7	mak//
go_0006571_7	ddlB//proB//
go_0006593_7	rluC//
go_0006598_8	purT//deoB//uxaB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	nagZ//paaC//
go_0006631_5	dmlA//glyS//speC//ybiV//thiC//
go_0006633_6	dgoA//abgB//cobT//lyxK//rdgB//proB//rfbD//kdsB//ppx//edd//csdA//
go_0006635_6	narV//speG//preT//pgk//cysS//gloC//garD//nfi//panE//eno//allD//mobA//
go_0006636_7	
go_0006637_5	cysQ//glgP//moaD//scpB//bioB//
go_0006646_7	
go_0006650_6	
go_0006654_7	thiL//
go_0006655_7	ada//fabZ//
go_0006725_4	nanE//
go_0006729_6	alkB//trmA//
go_0006730_4	cpsG//recF//tsaD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	tsaD//nadD//accB//fadE//metF//queA//fabZ//mnaT//gnd//ybhA//rfe//mutL//
go_0006749_5	rfbC//gstA//
go_0006750_6	otsB//pdxH//
go_0006751_6	acpH//
go_0006757_5	yihV//
go_0006760_5	katG//
go_0006761_7	coaD//
go_0006771_5	ilvD//
go_0006772_6	pfkA//waaS//
go_0006777_5	tag//ansB//dhaK//moaD//metL//
go_0006779_6	serC//rlmF//uvrA//ubiC//gutQ//
go_0006780_7	pheT//
go_0006782_7	purD//argA//xdhB//gcvT//
go_0006783_5	cobB//sseA//murI//guaC//miaA//ppiA//metC//
go_0006790_4	tsaD//lpxD//gabT//proS//fumB//dgoD//alkA//acpT//menB//glnE//
go_0006791_2	ahr//pepD//recG//
go_0006793_4	mutL//coaA//
go_0006798_5	pdxY//
go_0006799_5	acnB//
go_0006801_5	alaS//pheT//ligB//
go_0006805_4	frdB//yfcF//glcE//eutB//
go_0006807_3	aes//moeB//tilS//
go_0006808_4	galE//
go_0006810_4	cmoA//umuD//mtn//cpsG//deoA//waaL//mltF//pdxH//cobS//murQ//mocA//frc//tcdA//bioC//nadE//narG//glnE//mog//preA//fumA//waaF//ppiA//tag//tynA//rlmJ//fre//hpt//mutL//menF//gatD//mngB//rrrD//alsK//tsaC//yhdJ//hemD//yciA//galK//gloA//maa//hdhA//ulaE//proC//codA//tgt//gstB//ahr//aspS//waaF//cueO//edd//citE//nadB//mdh//wzb//tesB//cadA//garL//dfp//treA//ulaE//glyS//etp//mog//tgt//gstB//upp//hdhA//dosP//otsA//trmO//agp//dacD//metG//birA//rsuA//frdA//
go_0006811_5	nth//avtA//purU//lipA//fre//mrcA//alsE//yjhH//waaB//nrfB//thrA//
go_0006812_6	frdB//rrrD//
go_0006813_8	rlmL//hchA//aroK//rhaB//hcp//murB//adeD//rlmE//
go_0006814_8	pdxK//hmp//gltB//gltB//
go_0006817_8	treA//
go_0006820_6	ybhA//yqhD//yfbR//kdsD//tynA//
go_0006821_8	torA//
go_0006824_8	aroF//moeA//uxaA//dosP//
go_0006825_9	ubiI//
go_0006826_9	tsaB//
go_0006828_9	ribB//
go_0006829_9	fabB//gmhB//arnA//murE//alaA//
go_0006833_6	
go_0006835_8	hdhA//pepD//
go_0006847_8	mobA//
go_0006855_6	rph//araD//gpt//acnB//fadJ//ydiF//ubiH//plsC//nadD//waaY//guaD//frlC//hemB//dmsB//
go_0006857_7	rffH//cheB//mobA//
go_0006863_7	serA//
go_0006865_6	hisA//yfeW//fruK//phnG//tnaA//btuE//glmU//glpA//ligB//hemA//phr//nudB//idnO//aroA//gloC//garD//mhpB//galK//rfbD//hcaD//xylA//
go_0006868_7	cmoB//
go_0006869_6	cmoA//
go_0006874_8	
go_0006876_8	fbp//
go_0006878_9	ydiO//
go_0006879_9	nadB//hcaF//
go_0006880_4	phnJ//aroF//
go_0006882_8	dacC//
go_0006883_8	truD//narI//abgB//
go_0006884_4	
go_0006885_9	rlmC//
go_0006886_5	
go_0006928_3	xdhB//
go_0006935_4	fucO//yihU//tdk//garR//narZ//
go_0006970_4	bioD//nagZ//cpdA//glcB//epmB//bglB//
go_0006972_5	cdd//tauD//prpD//serC//ubiD//
go_0006974_5	rsmF//trpD//metF//puuE//yjhH//queF//amiD//lysS//trpC//sad//yeaG//serS//pyrH//sdhB//dmsA//rihB//thrA//mpaA//sucC//phnG//dcyD//nhoA//trmD//tatD//cysN//speB//rsmJ//tesB//ravA//yieF//oxc//mocA//puuA//insI-1//cysM//cyaA//hinT//fadK//panC//ilvH//uxaA//puuD//paaK//xapA//hinT//nfsB//btuE//rnd//fre//lplA//galE//adhE//tatD//glpK//pyrH//ruvC//pgpB//rhaM//umpG//menF//xthA//thiL//murD//otsA//hchA//rffC//cobU//fumC//gatY//lpxP//gltD//ahr//sdhD//rffC//pphB//miaB//rfaE//dcyD//glnA//ahpC//fucI//folX//rffM//accC//sdaB//tauD//phnJ//paaB//trmI//recO//ydiO//alr//cfa//manA//yihT//
go_0006979_4	murA//nrfA//moaE//hchA//waaH//alaS//rutA//poxB//gadA//iscS//cdd//glk//yccX//ligA//proA//ddlB//ldcC//xylB//kdsD//lpxM//tsaC//acnA//chbG//sdhA//epmC//paaH//
go_0006986_5	fadM//
go_0006995_6	tsaE//mhpB//
go_0007059_3	hisF//recO//
go_0007062_4	
go_0007155_3	prmC//
go_0007165_3	cobC//adhE//
go_0007234_5	
go_0007584_4	
go_0008033_9	sodC//frdD//pgk//alsK//zwf//bfr//cyaA//hypB//
go_0008104_4	
go_0008152_2	rffG//nhoA//katG//bioH//sdhA//ansA//gldA//aroK//rrrD//prpB//ppiC//ilvB//eutB//umuC//dgoA//murI//aldB//
go_0008156_8	
go_0008219_3	
go_0008272_6	queA//yfdR//
go_0008295_6	rimK//gatZ//cmk//
go_0008299_5	rluD//
go_0008360_4	hflX//avtA//carA//cysS//fabG//glnE//agp//dxr//ribE//cynT//pflB//
go_0008610_5	menH//ynfF//dapD//paoC//
go_0008615_6	lysC//lgoD//dnaE//pflB//ybjG//murA//allB//
go_0008616_8	ppc//cmoB//prs//metF//aroK//allB//
go_0008643_6	yahK//purF//manA//apaH//acnB//nagK//sucB//recR//pyrF//ubiE//atoB//metL//fadD//rluB//pphB//lplA//aldA//dkgB//
go_0008652_5	wzc//pdxY//phnM//waaZ//mmuM//rluE//xthA//waaL//
go_0008653_5	
go_0008654_5	srlD//rsmH//ruvC//rluB//
go_0009050_6	yjhH//gmhB//
go_0009052_6	icd//hemA//ttdB//gloC//ldcA//yieF//
go_0009056_3	rlmI//
go_0009058_3	katE//glk//zwf//bglX//
go_0009060_6	dam//scpB//argB//dmsA//nadC//garD//speD//
go_0009061_6	paaB//lacZ//aroD//mmuM//atoB//truD//accA//etp//paaC//yjhH//bioH//pflB//rfe//kbaZ//lsrG//pgl//polA//fkpB//hisD//asnA//glxR//
go_0009062_6	tgt//
go_0009063_5	lipA//yjiA//ychF//
go_0009070_7	fadA//
go_0009073_6	manA//leuA//carA//glpX//gpmA//solA//tcdA//speG//gapA//gph//puuE//
go_0009081_5	uxuB//eutD//
go_0009082_6	pphB//thiG//nrfC//adiA//rfaE//thrC//thrC//
go_0009085_8	cpdA//
go_0009086_7	waaP//katG//fadI//ybiV//dld//
go_0009088_8	aes//murF//
go_0009089_6	rimK//thiL//aroB//nadE//ribC//ribC//
go_0009090_8	garD//pgaD//mcrA//accA//
go_0009092_7	yjcS//
go_0009093_7	
go_0009094_6	ulaF//rne//cheB//
go_0009097_7	adeD//glpX//adiA//tadA//menF//
go_0009098_7	tyrS//waaS//acpH//entC//cpdA//kdgK//
go_0009099_7	betB//alaC//dhaM//trmL//argB//panE//ddlA//
go_0009102_6	gabD//nanE//glyS//dacC//mutM//tcdA//sdhB//mltD//dut//
go_0009103_6	epmC//recR//hpt//alsE//plsB//argI//ribB//adhP//preT//
go_0009106_5	phnH//
go_0009107_6	bglX//carA//
go_0009108_6	lsrK//
go_0009116_5	speD//amyA//
go_0009142_7	hisF//
go_0009143_7	ulaD//
go_0009152_8	selA//
go_0009157_8	purD//
go_0009166_7	melA//rbsK//
go_0009168_9	birA//
go_0009220_8	recF//cmoA//
go_0009224_9	glmS//
go_0009226_6	cobB//frdD//
go_0009228_7	nagK//clsC//ybjG//cysE//hemN//nirB//rpiA//rsmH//sdaB//
go_0009229_6	queF//glyS//
go_0009231_6	slyD//tyrS//glnS//dmsC//sgbH//manA//carA//
go_0009234_7	mnmA//argI//sdhA//caiD//waaU//hflX//paaH//phnP//recG//
go_0009236_6	insI-2//carA//mutH//orn//gpsA//ssuE//
go_0009237_4	argI//mtlD//
go_0009239_6	menC//waaL//speF//cynT//glpK//hisC//rlmG//rlmG//
go_0009240_6	eno//
go_0009242_6	argB//cheB//xdhB//menH//tmk//rluE//gmhB//speG//
go_0009243_7	thyA//
go_0009244_7	ruvB//sbcB//tpiA//hcaD//waaB//kdsA//deoB//gltB//tnaA//fdhF//tilS//entE//edd//ttdB//nanK//tdcE//entH//hisG//coaD//speD//cfa//dmlA//
go_0009245_6	btuR//ychF//rffC//purN//dfp//torY//pdxB//ydfG//rlmM//
go_0009246_6	gutQ//rlmH//garD//yghU//pbpC//paaF//
go_0009249_6	patZ//hemH//gmd//
go_0009250_7	
go_0009251_7	waaA//
go_0009252_7	ligB//murD//yccX//nadE//prpC//hemE//cysH//spoT//lpxH//argB//bglB//ldhA//wecC//rffC//malS//cysD//prpD//ispU//uxuA//rpe//folA//truA//hisA//rsmE//alr//
go_0009253_8	alaA//yqhD//dfp//glgA//thrB//edd//bioB//sufS//rluA//moeB//
go_0009254_8	dbpA//rlmB//nfi//queC//fucA//ldtE//polB//rluE//napC//rpiA//paaB//
go_0009257_8	iaaA//etk//menH//argE//
go_0009263_6	eda//aroB//
go_0009264_6	ubiC//mdh//
go_0009265_7	mtn//
go_0009266_4	glyS//allB//entB//rluF//hcp//glpB//
go_0009267_5	moeA//fcl//
go_0009268_4	gudD//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	wzb//
go_0009297_6	
go_0009298_7	cdd//lpxM//ligA//
go_0009305_7	rsmF//
go_0009306_4	
go_0009311_5	
go_0009314_4	trmJ//rluB//gadA//tdcD//waaZ//fumC//ygeX//rnpA//rutB//fkpB//waaQ//relA//dacA//cmk//ndk//fadE//yfeW//
go_0009372_5	alsE//sthA//ilvE//
go_0009396_6	lpxC//ulaE//
go_0009398_7	ligB//
go_0009401_7	hemE//ahpC//cysQ//uvrB//rlmM//mgsA//dadA//lpxM//hisS//pgi//ilvN//pfkA//fadJ//dam//dapD//rsmC//gor//galE//fucO//rnd//
go_0009403_5	
go_0009405_4	
go_0009407_3	edd//
go_0009408_4	rlmJ//pyrG//aroA//ung//pyrG//alaS//frmB//slyD//cheB//rffC//hpt//ubiF//ldhA//pcm//gapA//rsmC//nadA//hisH//gcvT//sdhD//ldtA//sgbE//ppc//lyxK//rsmF//puuC//
go_0009409_4	sad//mngB//
go_0009410_4	ldtE//
go_0009411_6	ygeX//dacA//glmU//gudD//bglX//lpxT//waaP//rhaA//hycB//
go_0009416_5	uxaA//yidA//
go_0009423_8	pepD//citC//mltF//ldtD//
go_0009432_5	mltC//pgaD//leuC//nemA//mtn//
go_0009435_9	pagP//wecC//pgi//nrdB//coaD//
go_0009436_6	eptA//tktA//puuD//apt//
go_0009437_5	
go_0009438_5	
go_0009440_6	gph//pgi//rluD//
go_0009442_7	scpB//aspS//arnB//valS//idnD//
go_0009443_5	tig//pck//ubiD//
go_0009446_6	ydiB//mgsA//
go_0009447_6	fre//rlmJ//maa//fadA//ispG//fkpB//rffG//nagB//
go_0009450_6	surA//cysI//proB//moaD//
go_0009451_6	rnpA//waaA//bioC//gpmA//
go_0009593_4	
go_0009597_5	
go_0009636_4	alkB//frdD//purC//dmsB//dusC//
go_0009637_6	
go_0009651_5	
go_0009697_5	ubiD//
go_0009758_2	malP//
go_0009785_5	
go_0009970_6	kdsC//ubiX//alaA//
go_0009972_10	hcaE//
go_0009992_5	wecB//yfeX//tktA//
go_0010033_4	
go_0010038_5	
go_0010039_6	bioD//
go_0010041_7	mnmA//ygjK//
go_0010042_6	eutB//
go_0010043_6	yigL//pheA//
go_0010045_6	murD//
go_0010106_6	
go_0010124_4	birA//lpd//alsK//rsmD//caiD//bioH//malP//mrcB//
go_0010133_7	deoC//
go_0010139_7	hcaB//
go_0010165_6	apt//citG//ligA//yihX//sgbE//ssuD//pgpC//rsmI//
go_0010212_5	purL//
go_0010226_6	pgm//
go_0010243_5	
go_0010272_6	fbaA//
go_0010273_4	malY//pyrB//frdD//
go_0010312_3	entA//
go_0010332_6	
go_0010350_6	
go_0010438_6	murQ//umpH//
go_0010447_5	acpT//gpmA//
go_0010468_6	narZ//
go_0010498_6	mobA//dacA//thiM//rbsD//
go_0010501_7	ynfF//arnB//
go_0010557_7	
go_0010608_7	menD//
go_0010628_7	
go_0010629_7	mepS//
go_0010676_7	
go_0010699_4	deoD//argG//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	waaA//pyrC//phnI//rnd//folD//tyrB//pdxH//truD//tyrB//
go_0015031_5	pabC//speA//asnA//gstA//roxA//kbaZ//ugd//dadA//
go_0015074_6	
go_0015628_5	
go_0015670_6	mltC//
go_0015673_9	kdgK//
go_0015675_9	prmB//
go_0015679_10	rluC//
go_0015682_8	guaB//
go_0015684_9	abgA//metL//rluE//ilvM//
go_0015685_8	otsB//tgt//
go_0015687_7	cdh//
go_0015688_6	lpxB//fabZ//
go_0015689_8	truC//
go_0015691_9	frc//zwf//
go_0015692_8	dosP//
go_0015693_9	hemE//
go_0015696_6	nadE//
go_0015698_7	ubiD//
go_0015699_8	codA//
go_0015700_8	ltaE//
go_0015706_6	menE//ttdA//ygjK//
go_0015707_6	yieF//der//dapA//nagA//
go_0015709_6	pepD//
go_0015710_8	nirD//phnO//
go_0015712_7	fabH//
go_0015718_8	gatZ//
go_0015721_7	rlmB//ppiA//ndk//
go_0015724_7	deoD//
go_0015726_8	argD//
go_0015733_7	valS//
go_0015734_6	cmoA//
go_0015736_9	accB//
go_0015739_7	insI-1//
go_0015740_9	nrdD//trmJ//iaaA//
go_0015741_10	purD//mpaA//
go_0015747_6	allB//
go_0015748_6	pgaC//
go_0015749_7	sucB//adk//rlmL//garD//ubiE//pyrD//ycjU//
go_0015751_9	ubiI//nemA//
go_0015752_9	patD//phnI//
go_0015753_9	lpcA//pabA//
go_0015754_9	trmI//
go_0015755_9	entH//argE//gldA//
go_0015756_9	gudD//tyrB//
go_0015757_9	pykF//tdcE//nirB//idnO//
go_0015760_8	gph//
go_0015761_9	purU//
go_0015762_9	pphB//
go_0015764_7	yihU//hdhA//mrcB//
go_0015765_8	pyrG//pabC//
go_0015767_9	ndh//cobT//lysS//
go_0015768_9	bglX//metB//rfaD//
go_0015769_9	deoB//
go_0015771_9	birA//frlB//xylA//
go_0015772_7	sseA//araA//ldtB//
go_0015774_7	frmB//
go_0015778_7	sdhA//
go_0015793_7	dnaQ//ybjI//
go_0015794_7	metF//apaH//
go_0015795_7	cyaA//btuE//
go_0015796_7	purU//
go_0015797_7	yjjX//tmcA//nrdD//
go_0015803_7	abgA//malS//garK//
go_0015804_7	carA//pdxA//
go_0015806_6	waaL//
go_0015807_7	ruvC//torA//ahr//hycB//dapF//lplA//
go_0015808_8	yfeW//proC//
go_0015809_7	rhaD//
go_0015810_8	mngB//phnL//
go_0015811_7	ghrB//queD//
go_0015813_6	yhdJ//panE//fre//
go_0015814_7	malQ//
go_0015816_6	prpD//
go_0015817_7	fadM//mutT//
go_0015818_7	yihU//idnK//
go_0015820_7	ulaG//rhaB//rlmJ//polB//dapF//
go_0015821_7	treF//ulaE//
go_0015822_7	wecB//
go_0015823_7	dgcT//guaC//pdeR//epmB//prs//
go_0015824_7	pgm//serS//nirB//
go_0015825_8	entC//
go_0015826_7	ynfH//aes//idnO//
go_0015827_7	arsC//nadA//rluD//
go_0015828_7	phr//dam//
go_0015829_7	cdh//waaQ//fadM//
go_0015830_7	thrC//
go_0015833_6	hyi//malS//kdsB//hyaB//tyrB//fumC//ydiF//gpt//tag//pgpC//
go_0015834_7	acpH//trmI//
go_0015835_6	cobS//
go_0015836_7	lsrG//lpcA//
go_0015839_7	ubiC//
go_0015846_6	preT//hdhA//
go_0015847_7	fkpB//tyrA//menC//hisB//dapD//
go_0015848_7	ubiG//cmk//
go_0015851_6	
go_0015853_8	rsgA//pepD//
go_0015856_8	selD//
go_0015857_6	mnmA//dacC//
go_0015858_7	ilvD//yfaU//folA//
go_0015860_7	nanE//fruK//
go_0015861_9	mnaT//glk//
go_0015862_9	moeB//eutD//
go_0015863_8	rffT//
go_0015864_8	thiG//
go_0015871_6	gluQ//scpB//prpB//cobU//
go_0015878_6	
go_0015879_9	cfa//
go_0015882_7	frdD//
go_0015886_6	bioD//trmI//
go_0015887_7	rlmM//
go_0015888_6	yihU//
go_0015889_6	coaE//dgoD//ampH//
go_0015891_6	bglB//
go_0015906_6	glnS//
go_0015909_8	folA//
