#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	hprR//b3290//b3264//b2622//
GO_0000270_7	b3258//b2523//b4237//b3250//b0717//b2926//b4388//b1497//b1047//b3683//b0556//b3564//b2417//b0907//b0045//b0597//b0778//b0729//b0588//b3173//b2640//b0931//b2026//b1008//b1185//b2748//b2897//b3883//b1992//b3321//b3732//b1289//b0842//b3642//b0784//b1513//b0739//b3816//b4028//b2753//b1888//b1302//b3180//b1718//b3092//b3631//b2147//b1204//b0328//b3363//b1978//b0023//b3137//b1297//b0618//b2057//b1264//b1696//b3511//b1045//b4171//b0681//b2813//
GO_0000271_6	b3507//b0597//b0895//b3839//b0863//b2100//b1448//b0835//b2912//b3429//b0146//b3867//b1740//b2308//b4339//b3558//b1104//b4618//b0116//b0687//b1614//b4401//b1569//b0231//b3213//b1202//b2751//b1778//b1348//b1176//b3005//b1492//b1384//b0766//b1798//b3312//b1739//b0210//b3405//b2601//b0621//b1312//b0741//b3676//b3928//b4382//b1340//b2587//b0795//b4039//
GO_0000272_6	b2291//b0008//b4203//b4119//b0933//b3930//
GO_0000302_5	b3415//b0627//b1201//b1683//b3455//b0924//b4046//b2566//b4084//b2241//b4209//b1279//b3389//b2624//b3585//b1167//b3832//b1086//b3366//b1336//b0960//b3544//b1818//b0110//b4170//b0195//b1696//b1089//b2579//b1062//b3562//
GO_0000303_6	b1821//b0268//
GO_0000305_5	b3227//b1135//b1081//
GO_0000372_11	b0213//
GO_0000375_9	b3415//
GO_0000376_10	b2362//
GO_0000413_9	b2611//b3255//b1735//b0366//b2606//b4136//b2896//b1081//
GO_0000451_7	gpr//b4112//b0894//b3431//b4041//
GO_0000453_8	b2797//b3816//b1593//b1061//b2997//
GO_0000455_9	b0607//b2167//b3249//b0979//b4178//b4106//b1735//
GO_0000462_11	b0734//b2709//
GO_0000469_8	b3312//
GO_0000470_10	b3403//
GO_0000478_9	b0612//
GO_0000715_6	b2417//
GO_0000716_7	b2169//
GO_0000724_8	b4255//
GO_0000725_7	b0698//b0954//b1981//b0040//b1445//b2991//
GO_0000726_7	glsB//
GO_0000731_7	b0036//b3788//b4207//b4089//b4192//b3909//b2770//
GO_0000737_7	b3190//
GO_0000738_7	b0077//b1912//b1439//
GO_0000746_4	b3456//
GO_0000820_7	b3222//
GO_0000902_5	b3958//
GO_0000910_4	b3068//b3298//b0191//b1981//b0902//b1866//b3224//b3738//b1176//b2052//b1538//b2349//b0854//b0215//b2929//b1930//b1658//b3749//
GO_0000917_6	b1374//b4468//b0133//b0189//b4075//
GO_0000918_6	b3732//b0423//b4120//b1901//
GO_0000920_3	b4052//b0914//b2010//b3899//b2392//
GO_0000921_6	b1922//
GO_0000966_8	b3026//b0232//b3524//b3368//
GO_0000967_10	b4088//b3713//b2207//
GO_0001101_4	b2506//b0478//b4178//b0123//b3517//b1061//b4201//b2724//b0465//b3310//b2232//b1302//b0982//b3116//b0473//b1212//b1595//b2255//b1223//b2451//b0118//b4147//b3772//b0860//b2104//b0212//
GO_0001121_7	b1819//b3070//
GO_0001123_8	b3539//
GO_0001124_8	b3954//
GO_0001407_7	b2725//b1709//b0281//b1025//
GO_0001505_4	b0799//b3806//b0981//b1226//b3953//msrQ//b2027//b0841//b3993//b2296//b3281//b2381//b0429//b0066//b0059//b3637//
GO_0001510_5	b1162//b2281//b3261//b1176//b2183//b1924//b3565//b3221//b1688//b1075//b0228//b0575//b2311//b3289//b0085//b4252//b1244//b1920//b3144//b2765//b3368//b3932//b2592//b0334//b3165//b4138//b1113//b1919//b3687//b2801//b2683//b3643//b3676//b3009//b0167//b2740//b3365//b3954//b1776//b4403//
GO_0001514_8	b3730//
GO_0001522_7	b2584//b3287//b3727//b1362//b0425//b2556//b0808//b0143//b3743//b1116//b3076//b0314//b0078//
GO_0001539_4	b1994//b1879//b0052//b0924//b3722//b3800//b4550//b0432//b0481//b2079//b1738//b3129//b3331//b0564//b0104//b3331//b0435//b2608//b3146//b2423//b0983//b1128//b0785//b3974//b0042//b0589//b3669//b3455//b2763//b0867//b1683//
GO_0001558_5	b3647//b0120//b1636//b4016//b1384//b0470//b4138//b1435//
GO_0001561_6	b0588//
GO_0001666_4	b1244//
GO_0001676_6	b2746//b3221//b1535//
GO_0001680_11	b1838//
GO_0001682_11	b3996//
GO_0001731_7	b2180//
GO_0001762_6	b2174//
GO_0001887_4	b0628//b2867//b4301//
GO_0001896_5	b1734//b0836//b3824//b2741//
GO_0001907_5	b3416//b3925//b0051//b2365//
GO_0001932_8	b4119//b1158//
GO_0001934_9	b4474//
GO_0002047_6	b0915//b2883//
GO_0002097_8	b3950//b4353//b3192//rhmR//b0121//b2566//b3244//b2955//b3880//b2679//b3932//b1827//b0530//b3064//b0242//b4222//b0697//b0714//b3137//
GO_0002098_9	b2213//b3891//b4520//b0963//b1960//b3353//b0355//b1953//b3666//b0069//b0041//b3113//b1531//
GO_0002099_9	b0938//b2336//
GO_0002100_9	b3745//
GO_0002101_9	b4470//b1533//
GO_0002128_7	b4687//b2020//b1023//b2813//
GO_0002130_8	b0770//
GO_0002131_9	b0348//
GO_0002132_9	b0677//
GO_0002136_10	b4231//
GO_0002143_9	b3479//b2335//b0830//b1840//b2996//b1128//
GO_0002181_7	b3894//b1688//
GO_0002183_5	b3289//
GO_0002184_8	b0394//
GO_0002188_6	b3626//
GO_0002190_6	b0938//
GO_0002192_8	b2314//
GO_0002252_3	b3823//b0895//b3869//b0125//b2580//b0585//b0158//b2563//b0533//hprS//
GO_0002790_6	b1741//b3341//b3400//b3793//b1218//b3997//b4347//
GO_0002937_9	b3240//
GO_0002938_8	b2481//
GO_0002939_7	b2405//
GO_0002943_8	b2339//
GO_0002949_8	b1025//b2782//b1851//b2283//
GO_0003333_7	b1552//b2388//b3183//b0076//b3357//b1370//b2146//b0534//b3880//b2905//b1344//b2933//b0941//b2157//b0341//b0299//b3729//b0889//b3497//b1714//b4298//b2164//b3126//b0556//b4073//b1250//b2154//b1041//b1204//b0621//b3719//b4098//b3209//b1912//b0294//b3365//b1222//b3955//b1042//b2842//b3574//b0714//b3119//b2255//b2662//b1183//b2767//b2520//b1066//
GO_0005975_4	b4377//b1740//b0484//b4099//b3050//b1656//b0414//b0336//b1133//b4213//b1780//b1852//b2750//b1991//b0469//b2366//b1389//b3023//b0817//b3989//b1863//b2674//b3824//b2560//b0036//b3606//b2677//b1335//b3998//b4665//b1736//b0439//b1676//b0176//b0583//b1089//b2821//b4241//qorA//b1634//b2548//b3667//b2047//b3911//b0420//b0470//b2792//b4149//b3475//b1286//b3357//b0759//b3908//b2492//b1764//b3742//b1715//b0798//b2684//b1296//b2972//b2791//b3447//b4162//b1926//b3363//b1516//b1007//b3405//b0451//b2674//b2421//b2515//b3126//b3959//b2947//b3306//b2570//b1319//b4353//b0638//b3579//b0530//b4174//b4365//b3390//b1569//b0993//b0878//b4705//b1876//b1525//b0198//b4251//b0425//b2285//b3934//b4544//b0377//b1080//b3794//b2702//b1035//b3479//b2600//b0314//b1222//b0325//b3076//b2502//b3878//b2378//b3227//b1116//b3500//b3041//b1694//b0981//b0823//b0095//b3386//b1682//b0420//b0708//b3037//b1749//b3461//b3117//b3307//b4124//b3809//msrP//b1094//b0394//b0770//b1434//b4159//b1336//b2074//b3417//b0097//b0734//b0530//b2347//b2770//b0425//b3824//b2111//b4386//b1679//b2027//b3985//b1204//b2334//b1540//b2706//b4112//b0983//b4382//b2017//b3081//b0336//b2498//b3006//b0969//b2277//b4349//b4003//b3164//b4094//b1619//b2207//b1482//b1849//b2765//b1062//b3205//b1603//b0533//b0131//b1900//b1113//b3601//b0879//b3631//b0146//b3961//b3319//b4112//b0175//b0879//b3794//b3087//b3807//b4421//b4018//b0940//b1398//b0566//b4015//b2294//b0014//b3009//b0895//b0115//b1852//b4378//b1914//b0751//b3187//b3720//b3956//b1204//b2294//b1272//b0533//b1347//b1391//b4513//b2798//b2731//b1039//b1411//b2608//b2712//b3645//b1481//b1926//b3008//b2100//b4464//b2425//b3152//b0774//b2052//b4033//b0159//b0052//b2162//b0635//b2024//b1276//b1413//b2806//b3962//b1892//b3903//b3754//b0473//b2373//b0098//b2510//b2413//b1269//
GO_0005976_5	b2937//b0479//b2154//b3164//b0315//b3765//b3961//b0159//b0273//b3811//b3319//b3838//b0572//b0629//b4180//b3394//b1857//b2428//b3463//b2306//b3631//b1564//b2231//b2528//b1985//b0140//b3569//b2696//b3068//b1769//b2533//b0189//b0030//b3880//b4312//b0363//b2342//b3053//b3860//b3009//b3499//b2958//b2992//b2009//b0583//b1188//b0635//b3533//b3146//b3571//b2943//b2465//b0685//b1861//b2715//b1244//b1377//b1866//b0093//
GO_0005977_6	b4088//b4053//b2793//b0078//b4170//b4305//b3544//b0958//
GO_0005978_7	b4039//b3816//b3787//b0831//
GO_0005979_8	b2718//
GO_0005980_7	b0533//b3918//b0339//
GO_0005981_7	b4246//
GO_0005984_5	b0497//b0907//b3228//b0730//b3641//b0071//b1014//b1712//b1809//b2096//b2052//
GO_0005985_6	b3501//
GO_0005986_7	b3026//
GO_0005988_6	b3813//b1633//
GO_0005990_7	b0587//b0197//
GO_0005991_6	b1876//b3963//b3318//b3700//b4300//
GO_0005992_7	b3568//b0102//
GO_0005993_7	b0298//b4511//b2153//
GO_0005994_6	b2907//
GO_0005995_7	b3940//
GO_0005996_4	b0312//topAI//b2491//b0605//b0318//b2837//b1328//b3973//b1086//b1881//b0399//b0479//b2430//b3093//b1111//b0345//b1465//b1785//b1388//b2708//b2224//b2481//b3682//b0881//b1849//b0036//b1312//b0436//b0853//b3670//b3736//b0756//b4366//b2511//b0907//b3892//b0394//b1062//b1913//b2178//b3529//b3205//b2581//b0307//b1290//b2100//b0112//b2021//b2665//b2336//b3722//b1552//b2364//b2503//b2561//b2796//b3076//b0948//b0911//b0179//b0435//b1587//b0751//b1167//b2295//b0435//b2677//b3213//b3041//b1916//b4267//b2883//b0659//b1280//b4086//b3895//b3543//b1787//b3654//b4198//b0990//b1518//
GO_0005997_6	b1289//
GO_0005998_7	b2168//
GO_0006000_6	b1612//msrP//b4477//
GO_0006001_7	b4062//b2295//
GO_0006002_5	b3020//b0608//b0313//
GO_0006004_6	b4380//b3939//b4460//b3288//b1114//b0028//
GO_0006006_6	b3223//hexR//b2979//b4195//b0970//b2258//b1538//b3604//b4180//b3822//bioD2//b1736//b2529//b2086//b3432//b3750//b2906//b1639//b2509//b1350//b4354//b2203//b0287//
GO_0006007_7	b1905//b2157//b1112//
GO_0006011_5	b2517//
GO_0006012_6	b1391//b3871//b1697//b3339//b3390//b2476//b2478//b0138//b2285//
GO_0006013_6	b0424//b1221//
GO_0006014_6	b0613//b2193//b2563//
GO_0006015_7	b0215//b3312//
GO_0006020_5	b3313//
GO_0006022_5	b4255//b3715//b0597//b1398//b4152//b0564//b3229//b3636//b0918//b3139//b3268//b1830//b4380//b2064//b1037//b0807//b3474//b4139//b1774//b1249//b1610//b4321//b3026//b0784//b0022//b2760//b0451//b2760//b1884//b1058//b1349//b3063//b0051//b2546//b0844//b4137//b4067//b3986//b4409//b1040//b3477//b3651//b2665//b1344//b0867//b3143//b0161//b4322//b2130//b2330//b2894//b0431//b3634//b2916//b3940//b3515//b0424//b2329//b1281//b3991//b1497//b1994//b2199//
GO_0006023_6	b2498//b2067//b3828//b1680//b1887//b1786//b3282//b3585//b4383//b0424//b3910//b2005//b3683//b0941//b2684//b4470//b0574//b1319//b1112//b0765//b0657//b0900//b4224//b3652//b2677//b0981//b3496//b3134//b4005//b3673//b0853//b0065//b2839//b4195//b2233//b0401//b0598//b1209//b0254//
GO_0006024_7	b1080//b1707//b3578//b3141//b2962//b0213//b1973//b3028//b3578//b0452//b1439//b4063//b1244//b2333//b1779//b2689//b2608//b2698//b0158//b1951//b2576//b1018//b0435//b1232//b0517//b1823//b3437//b3688//b0627//b1623//b1681//b3737//b3961//b0491//b0521//b2132//b3926//b3253//b3850//
GO_0006026_6	b4224//bioD2//b0340//b3588//b3707//b1158//b0649//b1842//b3438//b2839//
GO_0006027_7	b1235//b1104//b2725//b3719//b2568//b3954//b1257//b2014//b2780//b2151//
GO_0006040_5	b0087//b0775//b4309//b0063//b3668//b0828//b3072//b0009//b3934//b2478//b1874//b0975//b3566//b2140//b3216//b2906//b2530//
GO_0006044_7	b3812//b0867//b0388//b1662//b2413//
GO_0006046_8	b0810//b1827//b3494//b0452//
GO_0006047_5	b0357//b1226//b3304//b0820//b3203//b1072//b0960//
GO_0006048_6	b0383//b3667//b1902//b2340//b2326//b3317//
GO_0006050_6	b3311//
GO_0006051_7	b3395//
GO_0006053_8	b2155//
GO_0006054_6	b1333//b1145//b2026//b1639//b3494//hexR//b0694//
GO_0006056_6	b0765//
GO_0006057_7	b3893//
GO_0006059_6	b4478//b0653//b2703//b2810//
GO_0006060_7	b3416//
GO_0006062_8	b3433//
GO_0006063_5	b0043//b0022//b0118//b4024//b0995//b4480//b0400//b0094//b3800//
GO_0006064_6	b2296//b1048//b4081//b0836//b3632//b2516//
GO_0006066_4	hprS//b3155//b2140//b4128//b4315//b1522//b2705//b4219//b2493//b3950//b0968//b0129//b1222//b1924//b3056//b2536//b4133//b1787//b2673//b3883//b0347//b0796//b0864//b0124//b3365//b1896//b0592//b4095//b0634//b0687//b4384//b0065//
GO_0006067_6	b2021//b3544//b1580//
GO_0006071_6	b3967//b3712//b1215//b1074//b3032//b4687//b0184//
GO_0006072_6	b1817//b3534//b0059//b1638//b3622//
GO_0006073_6	b0932//b2512//b3829//b1854//b0806//b2515//b3616//b1912//b2477//b0623//b1901//b0930//b0030//b0440//b0873//b3881//b2180//b3664//b3697//b3835//
GO_0006081_4	b3939//b4062//b4501//b3131//b0940//b4327//b1122//b2891//b2711//b1479//b0424//b2934//b0634//b4384//b0661//b1352//b1579//b2103//b0614//b0603//b0452//b0533//b2078//b2782//b3566//b0452//b4513//b3428//b0640//b1247//b4005//b2989//b3316//b3606//b2662//b3982//b4394//b3917//b1132//b0641//b2180//b0087//b0633//b3145//b4565//b0188//b0078//b2924//b0268//b3500//b2603//b0915//b4289//b4388//b0078//hxpB//b1089//b1226//b2821//b1801//b1695//b0612//b3237//b0125//b2792//b2150//b4065//
GO_0006082_4	b1319//b2774//b0068//b0997//b1186//b2615//b0611//b3672//b0629//b3627//b1692//b3936//b0123//b0027//b3903//b2129//b3509//b3063//b0429//b4085//b3110//b3262//b0073//b1274//b0514//rhmR//b0507//b3831//b3891//b4378//b4050//b3807//b2393//b1107//b2811//b0336//b3652//b0850//b3432//b1081//b0601//b2386//b3169//b0388//b3145//b1262//b3654//b2810//b4550//b3143//b3503//b4662//b4300//b4394//b2347//b2569//b0441//b3442//b4377//b3642//b2004//b1617//b2267//hprS//b1186//b2132//b2751//b3320//b0566//b1235//b3567//b3437//b3360//b2594//b0722//bioP//b1244//b3542//b0241//b4064//b2029//b0678//b1023//b3648//b2197//b1071//b0588//b2421//b1851//b3290//b3416//b2494//b3622//b3612//b0376//b3889//b4174//b0030//b2910//b2095//b3076//b4092//b2202//b3699//b0583//b2078//b3745//b0060//b0337//b0256//b3641//b1225//b1575//b4664//b4428//b4220//b1411//b3317//b2803//b3960//b0602//b3178//b2734//b3822//b0512//b0243//b3652//b0624//b2661//b0846//b4384//b1206//b4265//b4099//b0129//b3390//b0433//b1620//b1738//b2492//b1286//b0038//b1307//b0880//b1887//b0398//b3041//b0696//b3496//b0174//b0019//b2121//b3517//b3909//b1042//b1801//b4082//b0121//b1767//selU//b2333//b3479//b0938//b4346//b1642//b1270//b1511//b4015//b4618//gpr//b1619//b2098//b2682//b2026//b3822//b2684//b0098//b2971//b3794//b1387//b2750//b3791//b1664//b2893//b2104//b3163//b0264//b3829//b1723//b2813//b1238//b0134//b2839//b2808//b2132//b0452//b1301//b0138//b0451//b1613//b0268//b2329//b3961//b4087//b3535//b2329//b2870//b0448//b3711//b2738//b3224//b3623//b0572//b2821//b1197//b0069//b1827//b1304//b2411//b4175//b0171//b3771//b0303//b3700//b4221//b3304//b0215//b3057//b1409//b0894//b3805//b3740//b3260//b2753//b4046//b3376//b1166//b3046//hprR//b2062//b3863//b1615//b4252//b2989//b2788//b0794//b2361//b3491//b0195//b2565//b3710//b2023//b1378//b3139//b2156//b3142//b3749//b3597//b1544//b4249//b1140//b0138//b2844//b3606//b3940//b4036//b0630//b0169//b0063//b2149//b0566//b2901//b2068//b3191//b1103//b1650//b0934//b2803//b4083//b3253//b4353//b4203//b3050//b2581//b3519//b3413//b0097//b3498//b4152//b2702//b0835//b3020//b1390//b1925//b2676//b3308//b3544//b4324//b0112//b1391//b2520//b2991//b1120//b1127//b1258//b4170//b0446//b1535//b2435//b2385//b4299//b3431//b4586//b4207//b0196//b3870//b0363//b1415//b1114//b1415//b3155//b3738//b1913//b3080//b3647//b0312//b0136//b2233//b3216//b2564//b0305//b2675//b2620//b0724//b3173//b2086//b1050//b1783//b3224//b3156//b1266//b1038//b0329//b0025//b3746//b2587//b1209//b0433//b4554//b0893//b0949//b1009//b2169//b2501//b1644//b0779//b4011//b1882//b2105//b0874//b1534//b2836//b0588//b1569//b3290//b3924//b2707//b2600//b4011//b3520//b1479//b1475//b2539//b1594//b2327//b4249//b2946//b4349//b3396//arcC//b2800//b3197//b1132//b0140//b1293//b1888//b3965//b1259//b3240//b0183//b1472//b0053//b0856//b1892//b2474//b3481//b2715//b0820//b1540//b2506//b1363//b0294//b1841//b0098//b0394//b2536//b1006//b3706//b2801//b3900//b1441//b1009//b3500//b3608//b3462//b3222//b2527//b0641//b4101//b1901//b2212//b4280//b0433//b1891//b4254//b3676//b0509//b1123//b3447//b0856//b4513//b2294//b1595//b3746//b0109//b2503//b0815//b0945//b3541//b4478//b3683//b3091//b1252//b4086//b3807//b1081//b1711//b2568//b3775//b3342//b1858//b1920//b3563//b4099//b2688//b2922//b3609//b1584//b2781//b0025//
GO_0006083_6	b3470//b2064//b2955//b1241//b3702//b1876//
GO_0006084_6	b2246//b3091//
GO_0006085_7	b3037//b3225//
GO_0006086_8	b1617//
GO_0006089_5	b3209//b0627//b2378//b3172//b0346//b3092//b2871//b2696//b1580//b3664//b3952//b0325//b3925//b1787//glsA//b3805//b1222//b4323//b0463//b2376//b2735//b2318//b4550//b1186//b0435//b3990//b3707//b0175//b4231//
GO_0006090_8	b3877//b0956//b2548//b4316//b3539//b0974//b2578//b2836//b4241//b2430//b3330//b3897//b3612//b4173//b2972//b4618//b0740//b4005//b2216//b4381//b0073//b3650//b1236//b3940//b1241//b1200//b0191//b3774//b3749//b1271//b3475//
GO_0006091_4	b2114//b2019//b0583//b1104//b3185//b3363//b1262//b0189//b2333//b0200//b4315//b2179//b1830//b3307//b1131//b3416//b3095//b3357//b3707//b4029//b3091//b1955//b4357//b1678//b1307//b0003//b3416//b4480//b3454//b3584//b0710//b0178//b3688//b2728//b3791//b0856//b1956//b0176//b3751//b0874//b3819//b0796//b1467//b3682//b0759//b0887//b3063//b2297//b2389//b2015//b0141//b0061//b0738//b2665//b1007//b3367//b2149//b0912//b3911//b0194//b0979//b3230//b0330//b0300//b1554//b1272//b3906//b3722//hiuH//b1166//b0939//b2774//b0603//b2185//b4354//b0094//b3998//b0106//b0445//b3705//b2961//b2801//b0770//b3200//b0022//b3060//b3041//b3260//b1450//b3236//b3634//b0084//b3413//b1715//b1817//b2015//b3230//b0096//b1651//b4143//b1855//b2755//b0343//b2735//b0426//b1636//b4209//b0123//b2916//b0156//b2483//b4207//
GO_0006094_7	b1663//b3046//b3710//b2486//b2328//b2327//b3271//b1902//b3961//b2544//
GO_0006096_6	b0512//b1723//b2584//b0585//b0452//b0589//b0333//b2058//b3747//b0983//b4032//b2628//b4480//b2686//b2481//b2233//b4109//b4403//
GO_0006097_5	b1427//b4383//b2418//b4031//b2697//
GO_0006098_6	b2972//b2945//b4026//mtnN//b4059//
GO_0006099_4	b0554//b3824//b0996//b2620//b0192//b2411//b3145//b3019//b1415//b2731//b0046//b4339//b0448//b1206//b1579//b3911//b3478//
GO_0006101_6	b0953//b2502//b0933//b0623//b3518//b1182//b3605//b4020//b3958//b2741//b1409//b1263//b0927//b3187//b3945//b0439//b0979//
GO_0006103_5	b3712//b4201//b2687//
GO_0006104_6	b1341//b2285//b1249//
GO_0006105_5	b1530//b1579//b1341//b2738//b1819//b2669//b2296//b3524//
GO_0006106_8	b3943//
GO_0006107_8	b1304//
GO_0006108_8	b2575//b2060//b0932//b1521//b2310//
GO_0006109_6	b0475//b4321//b3205//b2032//b2203//b4301//b1534//b3546//b4095//
GO_0006112_5	b1238//b2664//b2844//b0096//b1738//b0023//b0608//b4151//
GO_0006113_5	b3984//b1224//b3313//b3732//b3790//b3089//b1253//b4080//b3360//b4070//b3318//b1786//b4032//
GO_0006115_6	b1430//
GO_0006117_5	b2167//
GO_0006124_6	b3633//
