# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	mnmA//
go_0006635_6	kdsB//accC//scpC//pabC//argE//paaB//nrfA//umuC//eptC//tsaE//mutH//waaZ//
go_0006636_7	
go_0006637_5	epmB//wecC//menF//yjiA//argA//
go_0006646_7	
go_0006650_6	
go_0006654_7	phnO//
go_0006655_7	fabD//hcaB//
go_0006725_4	yjjG//
go_0006729_6	lpxB//kdsD//
go_0006730_4	rluC//yggF//solA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	gdhA//ppc//ruvC//abgA//yfdR//hypB//mutH//pyrH//alr//hisA//srlD//aspA//
go_0006749_5	wecB//nudB//
go_0006750_6	carB//trmH//
go_0006751_6	pgi//
go_0006757_5	phnG//
go_0006760_5	xdhB//
go_0006761_7	gdhA//
go_0006771_5	sodA//
go_0006772_6	selB//waaQ//
go_0006777_5	puuB//dapF//ruvB//gnd//luxS//
go_0006779_6	paaB//glnE//galM//napC//waaL//
go_0006780_7	ilvE//
go_0006782_7	phnO//serA//narI//talB//
go_0006783_5	purC//aes//narV//hisC//gph//aroE//hcaB//
go_0006790_4	gatY//mltA//cysI//ltaE//glyS//hmp//fumC//nemA//metK//murQ//
go_0006791_2	hcaF//metC//pagP//
go_0006793_4	patA//paaA//
go_0006798_5	sgbH//
go_0006799_5	dapD//
go_0006801_5	folX//hypB//dosP//
go_0006805_4	dhaK//guaB//clsA//glyA//
go_0006807_3	etk//cyaA//cobU//
go_0006808_4	yigB//
go_0006810_4	treF//clsC//ldtD//gph//speB//alsE//cof//glcF//nfi//lpxP//pyrB//rffM//pldB//cynT//accD//purC//yeaE//avtA//aldA//galE//cdh//waaC//truB//yahK//rfbD//sdhD//gstB//lacZ//tmk//oxc//alaC//ilvM//ilvE//insI-2//aroG//dgoK//nrfA//aceB//hcaB//ilvC//frdC//nrdA//serS//cysQ//glmM//ndh//tmk//nadK//gloB//hemD//dapD//pck//fabG//bglA//dgcM//entH//zwf//nadE//purD//torA//acnB//rsmH//mrcA//puuE//gpt//fkpA//ilvE//leuC//thiD//allD//hisB//yihS//selB//aspC//truC//yeaG//frmA//
go_0006811_5	aroH//frc//astC//nirB//glxK//hcp//bfr//wzc//ubiX//frmA//cheR//
go_0006812_6	betA//phnJ//
go_0006813_8	btuE//cpsB//ligA//xapA//ribA//lplA//hisH//wecC//
go_0006814_8	rdgB//bioF//phnN//lpxK//
go_0006817_8	psuG//
go_0006820_6	lplA//dosP//rnt//preT//ahpC//
go_0006821_8	rsmH//
go_0006824_8	lpcA//entC//purA//cobB//
go_0006825_9	hyi//
go_0006826_9	kdgK//
go_0006828_9	udk//
go_0006829_9	fumB//garD//rnpA//napC//solA//
go_0006833_6	
go_0006835_8	nhoA//pheA//
go_0006847_8	cysK//
go_0006855_6	mltD//araA//ynfH//entF//arsC//bfr//tag//dacC//phoA//pheT//nirD//sucC//slt//miaA//
go_0006857_7	fabI//hcaB//queG//
go_0006863_7	guaC//
go_0006865_6	coaA//argD//mtlD//arnB//mrdA//etp//miaB//ulaE//serB//pnp//frlB//lpoB//cheR//mdh//tynA//hemC//pgpC//bioD//gloC//nadD//folX//
go_0006868_7	lpoB//
go_0006869_6	ppsA//
go_0006874_8	
go_0006876_8	rhaM//
go_0006878_9	thiH//
go_0006879_9	ycjU//rbsK//
go_0006880_4	nagB//accA//
go_0006882_8	gmhB//
go_0006883_8	waaO//gapA//nagB//
go_0006884_4	
go_0006885_9	tyrA//
go_0006886_5	
go_0006928_3	fadI//
go_0006935_4	paaZ//fabB//entF//glgB//cyoE//
go_0006970_4	hyaA//psd//argK//mhpD//ruvC//fadA//
go_0006972_5	puuD//opgB//trmO//rnt//rfaE//
go_0006974_5	aroF//lpd//etk//hisB//purN//cueO//pgpC//trmA//guaC//amyA//ydfG//ugd//dgoA//rfbD//tdcD//eutD//lysA//menC//bglX//glyA//rffG//gph//ulaE//rsmC//glcF//cysK//pgk//rutD//lysC//mltB//hycB//upp//psd//ushA//pgaC//panE//ldhA//malP//cueO//rsmI//fumC//pcm//ldcC//argE//ulaE//xylB//trmI//dusB//ulaG//nagA//cpsG//ribC//xdhB//rlmC//glnA//sdhC//tadA//mltA//pyrC//epmA//pheT//curA//narG//dinB//cobT//tesB//waaU//acpS//yfeX//mnmE//rihC//tag//wecB//fcl//ilvA//hemD//ulaE//fbp//pdxK//alr//sucD//citE//bacA//menE//coaA//gmd//xdhB//cynS//rfe//folC//menI//phoA//waaU//waaC//ghrB//
go_0006979_4	fadH//fadJ//sucA//glk//preT//recR//guaC//purB//ubiF//yfeW//dxs//tyrS//pabA//pabA//polA//trpA//purC//argE//polA//epmA//nfsB//cysI//yeaE//malS//hemD//cysE//
go_0006986_5	manA//
go_0006995_6	sthA//pdxK//
go_0007059_3	hisC//glnS//
go_0007062_4	
go_0007155_3	patD//
go_0007165_3	murC//tnaA//
go_0007234_5	
go_0007584_4	
go_0008033_9	yrfG//fabB//uvrA//mltB//pyrG//uvrB//epd//waaB//
go_0008104_4	
go_0008152_2	eptB//murB//adhP//mutL//galM//yfaU//torC//tesB//rsuA//trpB//aroB//gpt//ftsI//trmA//mltD//yfbR//dgoK//
go_0008156_8	
go_0008219_3	
go_0008272_6	prpB//sdhB//
go_0008295_6	epd//pabB//hemE//
go_0008299_5	dsdA//
go_0008360_4	aceA//hemA//puuD//fadK//ruvC//ilvB//pykA//yfeX//hcaD//pta//rfbD//
go_0008610_5	rfaE//ppiA//ispU//fadD//
go_0008615_6	otsB//asnB//arnT//pabC//rutA//nrfD//aldB//
go_0008616_8	ispH//glmM//fbaA//torA//rsuA//ftsI//
go_0008643_6	cdd//gpmM//pbpC//acpS//polA//relA//glcF//nadB//cpdB//eutD//lgoD//maa//aroK//trmA//ada//epmA//ispU//dmlA//
go_0008652_5	galM//ackA//ppsA//dapD//accB//eptB//ung//purL//
go_0008653_5	
go_0008654_5	entB//aldA//cysE//yjiA//
go_0009050_6	bioA//paaE//
go_0009052_6	aceF//argK//psuG//xylB//glxK//rfe//
go_0009056_3	yajO//
go_0009058_3	fucO//ppx//rpe//aspC//
go_0009060_6	entH//rne//asd//rbsK//tmcA//rnt//gudD//
go_0009061_6	entF//torA//idnD//curA//menC//gltX//mocA//pdxH//nadC//mnaT//dgoD//sdhA//sgbH//ppiC//xapA//dnaQ//aroB//tig//rsmD//lpxH//chbF//
go_0009062_6	entH//
go_0009063_5	pyrC//cynS//lpxD//
go_0009070_7	rfbC//
go_0009073_6	arnT//dam//paaH//cysH//rnd//argS//tdh//glmS//ruvB//cmoB//rhaD//
go_0009081_5	yagF//roxA//
go_0009082_6	ung//tpiA//tdk//ansB//bcsA//pagP//kbaY//
go_0009085_8	gpmA//
go_0009086_7	rsmD//nemA//rutA//argI//katE//
go_0009088_8	narH//yihX//
go_0009089_6	cmk//cysD//plsC//iaaA//puuD//rbn//
go_0009090_8	ssuD//leuA//rsmJ//phr//
go_0009092_7	sodB//
go_0009093_7	
go_0009094_6	rfaD//yagE//mobA//
go_0009097_7	dapA//ydiF//dmlA//maeA//clsB//
go_0009098_7	gapA//abgB//ascB//ahpC//rhaM//preT//
go_0009099_7	pta//rdgB//caiB//phnP//uidA//rsmH//bacA//
go_0009102_6	thrA//polA//queC//abgA//coaD//alaS//pgaC//sdhB//maeA//
go_0009103_6	hcp//glgX//nrfD//umpH//frdA//bacA//thiL//metG//clsA//
go_0009106_5	putA//
go_0009107_6	yihU//pcm//
go_0009108_6	cysK//
go_0009116_5	aldA//mtgA//
go_0009142_7	pyrF//
go_0009143_7	rutC//
go_0009152_8	ddlB//
go_0009157_8	pnp//
go_0009166_7	mgsA//ssuE//
go_0009168_9	gldA//
go_0009220_8	yagE//slyD//
go_0009224_9	ldtE//
go_0009226_6	rfaD//rimK//
go_0009228_7	nudG//birA//clsB//dgoD//gpt//ahpC//mhpA//deoC//phnG//
go_0009229_6	prs//ribD//
go_0009231_6	paaZ//btuE//narG//thrA//sdaA//cof//hemA//
go_0009234_7	rffG//ppiC//entE//ung//rlmD//fkpA//nadE//yeaE//ybjG//
go_0009236_6	thiC//hycB//betB//rne//wcaJ//recJ//
go_0009237_4	tdcD//rpiA//
go_0009239_6	yqjH//pyrH//spoT//pykF//csdA//dacC//allB//bfr//
go_0009240_6	lpxP//
go_0009242_6	tynA//ribC//lplA//cmk//bfr//fadE//bglA//mutL//
go_0009243_7	sucA//
go_0009244_7	scpB//insI-1//ubiA//gnd//cysH//nudF//glnE//hisS//galT//rfaE//rlmI//mtlD//yihS//rluC//metL//aspC//accD//rhaA//folX//cobS//nadB//hcaE//
go_0009245_6	yghU//sdaA//dxr//rimK//opgE//epmA//panB//mhpB//bfr//
go_0009246_6	thiD//menE//phnM//wecB//nhoA//ndh//
go_0009249_6	ynfF//dfp//alr//
go_0009250_7	
go_0009251_7	murG//
go_0009252_7	malP//lpoA//ilvD//yciA//argD//ldhA//arsC//xthA//leuS//ldhA//entE//thiM//rlmD//arsC//rlmA//murQ//miaB//ldcA//mnmC//tauD//pbpC//adeD//dmsA//sucB//mnmC//
go_0009253_8	pyrB//paaG//cynT//tdcE//nrdF//rlmJ//metF//yfdR//gluQ//eutD//
go_0009254_8	ligB//frdD//waaC//glgA//birA//rbsK//pfkB//fcl//fucK//fabB//nemA//
go_0009257_8	phnO//panB//accC//napC//
go_0009263_6	recG//speG//
go_0009264_6	guaC//pyrG//
go_0009265_7	gabD//
go_0009266_4	wcaJ//tyrB//pykA//kdsD//abgB//waaJ//
go_0009267_5	thiM//yqhD//
go_0009268_4	yfdR//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	gltX//
go_0009297_6	
go_0009298_7	purB//pepD//cobB//
go_0009305_7	deoA//
go_0009306_4	
go_0009311_5	
go_0009314_4	fabB//dgt//yihX//yieF//ydfG//murA//fadK//hemA//tktA//acpS//pgsA//miaA//yfeX//pheT//murA//glgP//glpA//
go_0009372_5	recR//puuD//fucK//
go_0009396_6	yqjH//alkB//
go_0009398_7	folP//
go_0009401_7	phnH//dkgB//rihB//lpxB//icd//cof//mog//serA//aceB//malY//mcrB//gmk//eutB//orn//hisD//hemE//mdh//frdB//hemN//ligA//
go_0009403_5	
go_0009405_4	
go_0009407_3	ispU//
go_0009408_4	yhdJ//tig//ssuD//cmk//nfi//xdhB//rsmG//thiE//pdxB//ldtD//paaZ//ydiB//adhP//gshB//torZ//sodB//trpA//tyrA//yfeW//ubiE//entH//panD//yjiA//alaS//tehB//gabT//
go_0009409_4	thrC//purB//
go_0009410_4	yghU//
go_0009411_6	moaE//ldtE//lysC//ulaF//aspA//lpxH//cysQ//ascB//rihA//
go_0009416_5	ruvA//xdhB//
go_0009423_8	rne//ulaF//gltX//gph//
go_0009432_5	mocA//mepS//speF//gadA//ribF//
go_0009435_9	dld//fucO//recO//mak//gltX//
go_0009436_6	sdhD//fumC//csdA//ybhA//
go_0009437_5	
go_0009438_5	
go_0009440_6	truB//aroC//dhaL//
go_0009442_7	cysE//rrrD//cpsG//fau//nfi//
go_0009443_5	lpxB//tag//cysH//
go_0009446_6	chbG//pgpA//
go_0009447_6	gabD//selB//tdk//glgB//cmoA//deoD//lipA//garD//
go_0009450_6	recJ//tauD//moaE//phnJ//
go_0009451_6	paaE//ybjG//dhaM//trpC//
go_0009593_4	
go_0009597_5	
go_0009636_4	rlmD//pgpC//speB//sbcB//deoA//
go_0009637_6	
go_0009651_5	
go_0009697_5	rlmA//
go_0009758_2	pgaD//
go_0009785_5	
go_0009970_6	selD//dusB//rlmC//
go_0009972_10	gatD//
go_0009992_5	hcp//paaC//dacC//
go_0010033_4	
go_0010038_5	
go_0010039_6	kduI//
go_0010041_7	ttdB//queF//
go_0010042_6	argE//
go_0010043_6	rluD//waaA//
go_0010045_6	wecB//
go_0010106_6	
go_0010124_4	dusC//murG//ispU//ilvB//rlmG//suhB//argK//tdcG//
go_0010133_7	cobT//
go_0010139_7	fcl//
go_0010165_6	ynfH//galE//pinE//yeiG//ribF//hypF//narV//entF//
go_0010212_5	dhaM//
go_0010226_6	spoT//
go_0010243_5	
go_0010272_6	yjhH//
go_0010273_4	pheT//mrdA//rffM//
go_0010312_3	panB//
go_0010332_6	
go_0010350_6	
go_0010438_6	entD//nth//
go_0010447_5	gnd//glmS//
go_0010468_6	rfbB//
go_0010498_6	phoA//sgbH//mhpD//napA//
go_0010501_7	glcE//frc//
go_0010557_7	
go_0010608_7	fcl//
go_0010628_7	
go_0010629_7	nrdB//
go_0010676_7	
go_0010699_4	atoB//sdhB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	cpdB//truC//bfr//ydiF//umuD//rbsK//sucB//glcD//malP//
go_0015031_5	cysI//garK//ligA//gcvT//epd//pykF//hisF//aroE//
go_0015074_6	
go_0015628_5	
go_0015670_6	mutY//
go_0015673_9	phnI//
go_0015675_9	hisA//
go_0015679_10	rsmF//
go_0015682_8	gabT//
go_0015684_9	uxaA//deoC//poxB//manA//
go_0015685_8	acpT//mngB//
go_0015687_7	glpC//
go_0015688_6	ansB//mocA//
go_0015689_8	ssuE//
go_0015691_9	melA//ilvE//
go_0015692_8	purL//
go_0015693_9	hflX//
go_0015696_6	entA//
go_0015698_7	uxuA//
go_0015699_8	miaA//
go_0015700_8	folX//
go_0015706_6	srlD//mltB//ugd//
go_0015707_6	rluC//wrbA//narH//nadA//
go_0015709_6	mnmG//
go_0015710_8	yegS//ybhA//
go_0015712_7	sbcB//
go_0015718_8	rpiA//
go_0015721_7	argD//ribB//mnaT//
go_0015724_7	sucB//
go_0015726_8	dgoK//
go_0015733_7	torZ//
go_0015734_6	pgk//
go_0015736_9	hcaE//
go_0015739_7	lpxD//
go_0015740_9	torA//aroC//lysU//
go_0015741_10	wzb//katE//
go_0015747_6	clsB//
go_0015748_6	tag//
go_0015749_7	dut//fau//gdhA//paaB//aroK//hisS//trmA//
go_0015751_9	ubiX//lpxT//
go_0015752_9	yfdR//adiA//
go_0015753_9	rlmE//edd//
go_0015754_9	zwf//
go_0015755_9	cysC//rluF//dut//
go_0015756_9	rlmC//ligA//
go_0015757_9	gntK//rutE//rhaA//lpxH//
go_0015760_8	thiH//
go_0015761_9	ssuD//
go_0015762_9	pgsA//
go_0015764_7	agp//tcdA//cpdB//
go_0015765_8	murA//glxK//
go_0015767_9	aldB//yeiG//rluB//
go_0015768_9	gpp//cheR//pinE//
go_0015769_9	ybiV//
go_0015771_9	narH//sodB//yahK//
go_0015772_7	mrcB//rpe//aspA//
go_0015774_7	sgbE//
go_0015778_7	ahr//
go_0015793_7	lsrG//ppx//
go_0015794_7	yihT//murD//
go_0015795_7	gpp//mngB//
go_0015796_7	phnN//
go_0015797_7	metF//tesB//speC//
go_0015803_7	glxK//tauD//aspS//
go_0015804_7	gcvT//aroD//
go_0015806_6	uxaC//
go_0015807_7	cobB//icd//lpxK//yigL//tktB//bglB//
go_0015808_8	patA//fkpB//
go_0015809_7	alaA//
go_0015810_8	mcrA//ribF//
go_0015811_7	hchA//mutL//
go_0015813_6	fadD//dapB//metG//
go_0015814_7	pheA//
go_0015816_6	ubiX//
go_0015817_7	ackA//moaE//
go_0015818_7	yeiG//hcaB//
go_0015820_7	gloB//kdsB//glgA//hemC//galM//
go_0015821_7	ubiE//phnO//
go_0015822_7	ugd//
go_0015823_7	rutB//folC//hyaC//hemH//lpoA//
go_0015824_7	def//lpoA//xylA//
go_0015825_8	ybiV//
go_0015826_7	sucB//rluA//tcdA//
go_0015827_7	nadD//recR//ulaE//
go_0015828_7	yidA//sdaA//
go_0015829_7	pdxJ//hisC//serA//
go_0015830_7	rhaM//
go_0015833_6	paaF//gloB//guaB//fucK//truA//ppiA//tpiA//frmA//frdB//waaU//
go_0015834_7	fabA//thiC//
go_0015835_6	gltD//
go_0015836_7	mhpD//pgm//
go_0015839_7	pepD//
go_0015846_6	dmsA//hemN//
go_0015847_7	metE//curA//mnmE//yfcF//eda//
go_0015848_7	phnP//yciV//
go_0015851_6	
go_0015853_8	rlmE//proC//
go_0015856_8	lpoA//
go_0015857_6	arnA//yihX//
go_0015858_7	ribB//tatD//ftsI//
go_0015860_7	pgaB//menB//
go_0015861_9	argD//curA//
go_0015862_9	ilvI//pagP//
go_0015863_8	nadC//
go_0015864_8	lpoB//
go_0015871_6	pheS//iaaA//argD//glxK//
go_0015878_6	
go_0015879_9	thiE//
go_0015882_7	puuA//
go_0015886_6	mltF//yjcS//
go_0015887_7	rfbB//
go_0015888_6	pyrC//
go_0015889_6	lldD//napB//aroF//
go_0015891_6	glmS//
