# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ligA//
go_0006047_5	aroC//hypF//
go_0006048_6	ydiB//tag//gmd//clsC//
go_0006053_8	btuE//
go_0006062_8	gcvP//
go_0006071_6	waaJ//cdsA//
go_0006072_6	acnB//
go_0006082_4	tyrB//
go_0006083_6	proB//avtA//glxK//
go_0006086_8	pfkA//fadH//
go_0006090_8	astB//ampD//truC//yagF//phnL//cpdB//arnT//
go_0006094_7	rsmD//trpA//entB//mdh//yajO//caiD//tynA//lpxD//ampD//
go_0006096_6	adhE//folP//garK//tnaA//rfaE//thiH//sdhC//curA//ygjK//insI-2//otsA//cmoB//tktA//
go_0006097_5	torC//argD//acpH//rlmE//thiD//
go_0006098_6	ascB//nagK//torC//cysE//lacZ//
go_0006099_4	nadD//alsK//aroB//der//hpt//ftsI//cheB//pphA//tcdA//pyrH//pdxB//hcaF//def//
go_0006103_5	pgaC//yfiC//yjjG//upp//
go_0006104_6	pyrD//
go_0006105_5	hisA//
go_0006106_8	accC//
go_0006107_8	
go_0006108_8	hcaB//alsE//dgkA//yciV//
go_0006113_5	hypF//waaS//
go_0006115_6	speC//
go_0006124_6	
go_0006144_6	
go_0006145_7	gdhA//
go_0006146_8	ilvM//
go_0006148_9	cysD//
go_0006149_9	psuG//
go_0006150_9	malQ//
go_0006152_7	abgA//pykA//pdeF//phnN//menC//
go_0006154_6	pykA//
go_0006161_9	pgaC//
go_0006163_6	yihU//
go_0006164_7	lpxL//lsrG//pabA//leuA//
go_0006166_6	add//
go_0006168_7	rffG//dadA//
go_0006171_9	
go_0006172_9	hisI//
go_0006177_9	ubiC//
go_0006178_7	pgm//
go_0006183_9	rsmB//
go_0006189_10	mrcB//mdh//
go_0006203_8	fbp//menF//
go_0006206_6	gpmM//panC//acs//
go_0006207_8	entB//ydiO//mcrA//suhB//proS//
go_0006208_7	yihX//trmJ//mocA//udk//rlmC//mltD//
go_0006209_6	nadA//
go_0006210_8	hcaD//
go_0006212_6	hyaB//aspA//rdgB//dgkA//fkpB//curA//pheT//entH//lysC//ubiX//
go_0006217_9	carA//
go_0006218_9	rph//
go_0006220_6	glgA//
go_0006221_7	carA//cpdA//rlmM//
go_0006222_9	
go_0006225_9	betB//
go_0006226_9	ribF//mmuM//
go_0006227_9	asd//
go_0006231_9	yagF//
go_0006233_9	hyaB//
go_0006235_9	astC//
go_0006241_9	bglA//
go_0006259_5	yfdR//pyrD//tpiA//
go_0006260_6	alsK//truC//aes//pcm//ybjI//speB//tdcB//
go_0006261_7	fumB//fbp//pck//
go_0006265_6	paoC//frdC//
go_0006266_6	uvrA//rsmI//lsrK//
go_0006267_5	
go_0006268_9	lpxH//sgbE//
go_0006269_6	menC//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	queD//waaL//
go_0006281_6	phnP//def//hisH//polB//ybhA//murF//hcaB//tilS//dapB//dnaE//pgm//betB//thiG//waaQ//pnp//citC//acnB//
go_0006283_8	
go_0006284_7	eptB//waaB//rihA//sodB//yhdH//lpxT//
go_0006285_6	abgA//uvrB//pdxH//cysH//
go_0006288_8	citG//yajO//
go_0006289_7	
go_0006298_7	dgoK//murC//cpdA//add//
go_0006301_7	
go_0006302_7	narY//argS//
go_0006307_8	cynT//ansB//leuB//folP//curA//
go_0006308_6	bioA//nirB//hcaD//dgoA//
go_0006310_6	hemE//aroE//maeA//avtA//allD//
go_0006313_4	malQ//
go_0006351_6	hcaC//apt//
go_0006352_7	
go_0006353_7	
go_0006354_7	phr//
go_0006355_7	waaZ//
go_0006357_8	
go_0006364_9	serB//truC//rihC//glcD//
go_0006378_8	mog//
go_0006396_7	acnA//cysN//ubiD//argA//dgcT//
go_0006397_8	pdeF//
go_0006399_8	gutQ//folE//
go_0006400_7	glcD//clsB//lpxL//mtlD//folA//
go_0006401_6	zwf//lpxK//gatY//nudG//tdh//waaJ//
go_0006402_7	speA//moaD//mepS//phnP//pyrB//epmC//rutD//
go_0006412_6	pagP//cysH//mutS//wrbA//proB//
go_0006413_4	fre//
go_0006414_6	
go_0006415_7	panC//nadB//
go_0006417_7	truD//arsC//
go_0006418_7	rfaD//fklB//pgm//garR//yagF//cmk//insI-2//gatZ//gpt//aroC//dusC//
go_0006419_8	uvrA//
go_0006420_8	lyxK//
go_0006421_8	frdA//
go_0006422_8	ppiC//
go_0006423_8	nagK//
go_0006424_8	gph//hcaD//
go_0006425_8	gloC//
go_0006427_8	mutT//
go_0006428_8	fabI//
go_0006429_8	argK//
go_0006430_8	nrfD//hycB//
go_0006431_8	yrfG//
go_0006432_8	ribD//
go_0006433_8	tdk//
go_0006434_8	sdaA//
go_0006435_8	rluB//
go_0006436_8	mutY//
go_0006437_8	ansA//
go_0006438_8	ppiA//
go_0006448_8	
go_0006450_4	argG//mtlD//frc//waaY//cysQ//yagF//
go_0006457_3	nudC//tag//yciV//pdxJ//purN//wzc//dnaQ//
go_0006458_4	
go_0006464_6	moaD//yfaU//mcrA//rutE//hdhA//ilvM//phnJ//araB//
go_0006465_6	thiD//caiB//pgi//
go_0006468_7	sodA//
go_0006470_7	dadA//nhoA//alkA//tmcA//bcsA//
go_0006473_8	ahr//
go_0006474_6	pabB//glk//waaC//
go_0006476_8	ispG//
go_0006479_5	ung//idnD//kbaZ//pepD//rsmI//ldtB//
go_0006486_5	fumA//
go_0006490_5	dapA//
go_0006508_5	hdhA//pgaD//cdh//fabI//btuR//araB//dmsC//bioH//btuR//garL//waaC//ahpC//mutL//pyrB//icd//hisS//sdaA//serA//metH//metB//mdh//umuD//gloB//gntK//cysI//tynA//thrB//entB//serC//ghrB//rutA//asnB//eda//
go_0006515_7	fadE//phnM//rrrD//glpK//lpxH//rihB//rsmB//
go_0006517_6	puuB//add//
go_0006518_5	tyrS//dapA//
go_0006523_8	speC//rnpA//
go_0006524_8	
go_0006526_8	gloB//pyrF//aroH//nudB//pck//galM//ribA//
go_0006527_8	tdk//sdhC//cdsA//birA//purN//
go_0006529_7	cof//dgoK//
go_0006530_7	gcvP//pagP//glnE//wzb//
go_0006531_7	pyrE//
go_0006532_8	mtgA//puuE//hcaE//
go_0006535_8	ispA//mnmC//kduD//
go_0006537_8	gcvT//
go_0006538_8	iaaA//suhB//
go_0006541_7	speG//paaC//ddlA//serS//ahr//
go_0006542_8	cysN//abgB//
go_0006543_8	
go_0006545_6	rsmE//
go_0006546_6	opgE//idnO//pyrB//
go_0006554_8	aceA//pdeF//pgaD//
go_0006556_5	trpD//
go_0006559_6	alaS//
go_0006561_6	lyxK//nrfA//
go_0006563_7	glcD//
go_0006564_8	gmk//pck//thiI//recR//
go_0006565_8	rne//pagP//ttdB//waaP//tcdA//
go_0006566_7	rnd//
go_0006567_8	rsmE//tmcA//fadD//kdsD//fucA//purB//miaB//
go_0006569_7	acnB//
go_0006571_7	guaC//sdhD//
go_0006593_7	ulaG//
go_0006598_8	metH//trpS//rfe//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	rsmE//hemN//
go_0006631_5	birA//cysK//rsmE//folA//yihS//
go_0006633_6	folD//ybjG//aroE//yjhH//gltD//sdhB//purN//trmJ//ispA//hpt//lacZ//
go_0006635_6	aroD//rlmL//frmB//ubiE//sad//thiH//ttdB//argI//mltC//cysQ//rpiA//nrdD//
go_0006636_7	
go_0006637_5	kdsD//folE//aldB//gmhB//aphA//
go_0006646_7	
go_0006650_6	
go_0006654_7	ushA//
go_0006655_7	kefF//ispH//
go_0006725_4	tsaE//
go_0006729_6	proA//puuE//
go_0006730_4	glmS//dmsB//yihT//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	mcrB//alaA//araB//lipA//wecB//udk//frlC//hcp//tktA//rihA//hemL//bglB//
go_0006749_5	amyA//mnmA//
go_0006750_6	uidA//recR//
go_0006751_6	ttdA//
go_0006757_5	acs//
go_0006760_5	hinT//
go_0006761_7	ahpC//
go_0006771_5	frdC//
go_0006772_6	wecB//glyA//
go_0006777_5	eptA//paaJ//nrdD//purC//hyaA//
go_0006779_6	aceF//lpxP//phnN//phnO//gapA//
go_0006780_7	mhpA//
go_0006782_7	garD//solA//yciV//tktA//
go_0006783_5	plsC//cueO//pnp//ppsA//aspA//mdh//glgA//
go_0006790_4	fucI//glnA//phoA//yihT//yciV//ulaD//pyrE//nagK//katG//truB//
go_0006791_2	speB//murC//dinB//
go_0006793_4	pdxJ//waaP//
go_0006798_5	epmA//
go_0006799_5	nadE//
go_0006801_5	nudG//queA//thrC//
go_0006805_4	rluD//nadK//ampH//tatD//
go_0006807_3	torC//ilvM//thiG//
go_0006808_4	cadA//
go_0006810_4	serB//rutD//metF//argC//dhaK//rutD//pdxB//pgi//dmsA//rhaA//bacA//mobA//folA//malP//sdhD//sdhD//yfdR//puuD//hemC//hcaF//serS//rutA//cysC//rfaD//paaF//menB//menD//hemN//mnmC//glpD//menD//purU//rluA//amiD//thrC//waaB//ilvI//argE//eptC//dmsB//nemA//aes//mobA//recF//ulaD//sucD//gcvH//coaE//dhaM//fumB//ispG//frdA//metC//dbpA//citG//curA//lysU//kdsC//slyD//tyrA//narZ//yihU//bfr//rpiB//pdeL//lysU//mnmE//araD//glmS//ddlB//yihS//yigL//atoB//dacA//ispA//ldtC//lysA//
go_0006811_5	nfi//gadB//ilvI//paaB//phnL//mobA//ldcA//pfkA//ychF//paaZ//trpC//
go_0006812_6	lldD//rluA//
go_0006813_8	metH//folX//argE//ilvB//asnB//yqaB//ttdB//purL//
go_0006814_8	udp//trmI//lpxK//ushA//
go_0006817_8	mutH//
go_0006820_6	wcaJ//purT//lpxD//hisI//ampH//
go_0006821_8	trpC//
go_0006824_8	gudD//pgm//hisI//chbF//
go_0006825_9	argF//
go_0006826_9	fumC//
go_0006828_9	purA//
go_0006829_9	proB//fau//solA//opgE//rffH//
go_0006833_6	
go_0006835_8	xdhB//yhdH//
go_0006847_8	cobB//
go_0006855_6	yfcF//poxB//rne//rluB//glgP//rhaB//gloB//speB//ftsI//cdd//araB//paaK//acpS//insI-2//
go_0006857_7	frdB//hflX//mak//
go_0006863_7	pepD//
go_0006865_6	alkB//galE//upp//abgB//rsmA//asd//menF//menH//hchA//purF//glpK//hchA//frlC//waaO//kefF//panE//gabT//ilvH//murB//speE//asnB//
go_0006868_7	nudB//
go_0006869_6	pdeR//
go_0006874_8	
go_0006876_8	pabA//
go_0006878_9	ybjG//
go_0006879_9	ilvN//ychF//
go_0006880_4	dkgB//rluC//
go_0006882_8	rutA//
go_0006883_8	glyS//tktA//adhE//
go_0006884_4	
go_0006885_9	puuD//
go_0006886_5	
go_0006928_3	rsuA//
go_0006935_4	idnO//hmp//insI-1//btuE//etp//
go_0006970_4	hcp//gadB//mltF//ldtE//bioB//queC//
go_0006972_5	putA//lpxH//guaB//cmoB//lipA//
go_0006974_5	torY//uvrC//dbpA//tdh//idnO//pheT//hemA//dut//cysQ//murQ//rsmA//tyrS//fabB//gmk//yieH//thrA//arnB//speB//leuD//codA//cueO//galK//frdB//sufS//puuA//srlD//ispA//pgpB//tsaD//acpH//waaO//lpd//polA//truB//ycjU//rluC//psd//patD//apaH//rsmC//ilvM//mltD//hemD//ychF//ppc//gldA//tcdA//menB//rlmL//ispU//gutQ//sgbU//yjjX//xthA//apaH//tsaD//waaL//ampH//dgcT//sgbH//citG//yieF//cobU//menC//rutB//rlmD//xylB//leuA//glmS//nrdE//glyS//sbcB//waaU//gadB//mutT//mhpD//rsmA//cobC//dgoD//aldA//ascB//argC//rhaM//cmoA//gstB//tyrS//rph//argC//eno//fbaA//hemB//recR//yhdJ//truD//umuC//
go_0006979_4	opgB//glnS//katG//recJ//menH//prmB//insI-1//katG//glgB//yjcS//oxc//mtlD//hcaE//tdcD//prmC//trmD//fabD//tatD//rsmA//guaA//nrdA//tig//nemA//mnmG//asnB//astB//
go_0006986_5	gloC//
go_0006995_6	lpxL//glpA//
go_0007059_3	sbcB//hisG//
go_0007062_4	
go_0007155_3	speA//
go_0007165_3	pdxB//fkpA//
go_0007234_5	
go_0007584_4	
go_0008033_9	murB//yeiG//menI//yfdR//torC//ileS//proB//fucA//
go_0008104_4	
go_0008152_2	fabB//ruvB//patD//rnb//yeaG//moeB//hemN//folD//ndh//melA//bcsA//polB//nagZ//tsaC//rluC//speC//ileS//
go_0008156_8	
go_0008219_3	
go_0008272_6	cof//ssuE//
go_0008295_6	pldB//frdC//hypF//
go_0008299_5	glmS//
go_0008360_4	yigB//avtA//folA//hemG//feaB//gpt//yfdR//uxaB//ampH//hcaB//citG//
go_0008610_5	acpT//fabI//bioH//metK//
go_0008615_6	wzc//thiD//narI//asnA//selB//fabI//fre//
go_0008616_8	hisD//bioH//sdaA//upp//hycB//rfaD//
go_0008643_6	lpcA//deoD//ubiE//aroH//pncB//lpcA//hcaB//cdsA//nirB//allB//pgaD//rffG//leuA//yfeW//metB//rsmE//lpxK//yihS//
go_0008652_5	dapD//citC//torC//guaA//rhaB//hyaA//yqhD//fadK//
go_0008653_5	
go_0008654_5	yieH//hemA//ppx//garL//
go_0009050_6	ruvC//eptA//
go_0009052_6	murQ//ada//lipA//valS//guaC//bioC//
go_0009056_3	nudC//
go_0009058_3	puuB//cysC//nadA//aroC//
go_0009060_6	hcaD//dcm//rsmI//frlB//proB//mmuM//ligB//
go_0009061_6	moaE//miaA//serB//cobB//yfaU//lysC//cysM//kdsC//nemA//ldcA//ugd//lpxC//clsB//queG//speF//yidA//pgaB//yihX//prpC//rpiB//ubiH//
go_0009062_6	menF//
go_0009063_5	aroL//rlmL//nrfD//
go_0009070_7	nirB//
go_0009073_6	plsB//glcD//nfi//selA//speD//purF//malS//thiC//ugd//lpxL//citX//
go_0009081_5	pgaB//rihA//
go_0009082_6	cpsB//yihS//nanK//cobS//garK//mdh//rhaB//
go_0009085_8	gpp//
go_0009086_7	clsB//iscS//proC//dbpA//puuD//
go_0009088_8	yigL//gpsA//
go_0009089_6	pfkB//guaA//ynfE//ycjU//paaK//rrrD//
go_0009090_8	paaB//dadA//trpA//napB//
go_0009092_7	fadD//
go_0009093_7	
go_0009094_6	sgbE//galU//hisD//
go_0009097_7	napA//gloC//tmcA//cdsA//spoT//
go_0009098_7	entA//phnH//rluD//thrB//citG//aspC//
go_0009099_7	trmA//aroK//trpS//rsuA//pdxY//phnH//lsrG//
go_0009102_6	glyA//paaF//pykA//tauD//nth//pabC//pdeR//thiH//serS//
go_0009103_6	gshA//manA//adeD//frdC//araD//hisB//caiB//mak//fkpA//
go_0009106_5	wecB//
go_0009107_6	rluD//trmA//
go_0009108_6	queD//
go_0009116_5	ushA//paaH//
go_0009142_7	guaA//
go_0009143_7	proA//
go_0009152_8	fruK//
go_0009157_8	ligB//
go_0009166_7	rsmJ//nrdB//
go_0009168_9	fabZ//
go_0009220_8	pgsA//gstA//
go_0009224_9	entH//
go_0009226_6	sucA//pdxB//
go_0009228_7	gcvT//dosP//malS//treC//hemH//guaA//pgsA//gldA//waaL//
go_0009229_6	rfe//nadB//
go_0009231_6	lpxP//galT//asnA//yfeX//rfbC//dmsA//cysG//
go_0009234_7	panC//ugd//argH//cysS//rlmJ//kbaZ//kefF//recJ//sdhC//
go_0009236_6	acnB//rsmD//gcvH//idnO//malS//dmlA//
go_0009237_4	allB//dgt//
go_0009239_6	speB//dgt//rfbD//guaD//rffC//psd//guaC//yjjG//
go_0009240_6	pheT//
go_0009242_6	ulaF//ttdA//glpB//yihX//eutD//hcaD//mltA//nrfA//
go_0009243_7	mtgA//
go_0009244_7	ushA//alkA//eda//ynfF//cobT//accD//hdhA//phnO//mutM//prs//ubiF//waaH//sdhD//agp//dfp//hypB//rne//queF//dgt//asnA//queA//hypB//
go_0009245_6	otsA//argG//nudG//folM//yfcF//amyA//uxaC//galK//glgX//
go_0009246_6	guaC//rutD//otsB//entE//purD//hdhA//
go_0009249_6	ribF//rfbC//nudG//
go_0009250_7	
go_0009251_7	etp//
go_0009252_7	aes//insI-2//mhpA//dapB//wrbA//nadD//pgl//dkgB//nadK//yjjG//thyA//appA//waaL//alkB//hemE//ilvN//fadB//tesB//puuC//sgbU//panD//eno//wcaJ//ftsI//dsdA//
go_0009253_8	folC//citX//nrfB//glmM//rfe//glxK//rne//hcaD//tktB//cyaA//
go_0009254_8	tig//glyA//waaJ//trmO//ubiH//ynfE//malZ//prpC//nadB//ansA//ychF//
go_0009257_8	rhaM//yidA//wcaJ//pck//
go_0009263_6	dld//aldA//
go_0009264_6	wecC//waaF//
go_0009265_7	guaA//
go_0009266_4	waaF//abgB//phnN//pheT//sbcB//aceA//
go_0009267_5	dam//kdsA//
go_0009268_4	tilS//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	yihS//
go_0009297_6	
go_0009298_7	yeaE//sbcB//dut//
go_0009305_7	dhaL//
go_0009306_4	
go_0009311_5	
go_0009314_4	lpxP//gmhB//glmM//uxuA//yqaB//ulaE//hemB//sodB//tnaA//ynfH//rlmH//thrS//glnA//mhpA//ilvC//psd//entF//
go_0009372_5	rlmD//dxr//kduD//
go_0009396_6	deoC//dkgA//
go_0009398_7	yjjG//
go_0009401_7	fabA//cyaA//galK//menI//puuA//fes//uidA//dacA//waaG//eptC//dkgB//dkgB//recO//rph//bglB//paaE//purD//uidA//yihX//aroE//
go_0009403_5	
go_0009405_4	
go_0009407_3	paaA//
go_0009408_4	fumB//lipB//murF//coaE//rffC//rlmJ//malY//dacD//aphA//cysK//hemC//hisI//moaA//leuS//lpoB//eda//purD//nadK//adhP//murI//glgA//fklB//galM//purU//dapF//phr//
go_0009409_4	codA//epmA//
go_0009410_4	clsB//
go_0009411_6	mobA//acpS//manA//speB//mepS//eno//proB//glgP//bglA//
go_0009416_5	lpxK//yieF//
go_0009423_8	dgcT//dgoD//caiD//phnL//
go_0009432_5	ttdA//tdk//queC//rffG//roxA//
go_0009435_9	trmD//rlmI//metB//ldcC//galK//
go_0009436_6	cysE//hemA//yhdH//tdcD//
go_0009437_5	
go_0009438_5	
go_0009440_6	glnS//phoA//epd//
go_0009442_7	menF//hemE//tktA//iscS//waaP//
go_0009443_5	yihS//ulaF//phoA//
go_0009446_6	solA//nanK//
go_0009447_6	otsB//narY//dgcZ//argH//carB//allB//pdxA//bioB//
go_0009450_6	nrdB//frdD//nudF//ynfF//
go_0009451_6	ilvH//hemN//pykA//paoC//
go_0009593_4	
go_0009597_5	
go_0009636_4	waaY//bioF//frlB//ubiC//miaA//
go_0009637_6	
go_0009651_5	
go_0009697_5	menD//
go_0009758_2	pncB//
go_0009785_5	
go_0009970_6	ppk//tyrS//cheR//
go_0009972_10	alsK//
go_0009992_5	glpA//metE//puuA//
go_0010033_4	
go_0010038_5	
go_0010039_6	glgB//
go_0010041_7	aroK//waaY//
go_0010042_6	cyoE//
go_0010043_6	cdd//pykA//
go_0010045_6	dam//
go_0010106_6	
go_0010124_4	ispG//glgB//gph//moaE//argS//aroK//ydiB//purU//
go_0010133_7	dbpA//
go_0010139_7	waaQ//
go_0010165_6	moaE//cdd//allC//hyi//narY//aroC//rbsK//tdcG//
go_0010212_5	cobU//
go_0010226_6	insI-1//
go_0010243_5	
go_0010272_6	mltA//
go_0010273_4	hisA//dusC//coaA//
go_0010312_3	bfr//
go_0010332_6	
go_0010350_6	
go_0010438_6	mgsA//sdaB//
go_0010447_5	ushA//fadJ//
go_0010468_6	abgA//
go_0010498_6	aroH//rlmF//ldtB//waaQ//
go_0010501_7	waaS//arsC//
go_0010557_7	
go_0010608_7	ydiO//
go_0010628_7	
go_0010629_7	frlC//
go_0010676_7	
go_0010699_4	murF//ispH//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	hemB//melA//speE//cysS//purF//pdxA//ilvC//abgA//recO//
go_0015031_5	fklB//dinB//mnaT//mrcA//clsC//ubiX//tyrB//metG//
go_0015074_6	
go_0015628_5	
go_0015670_6	yjiA//
go_0015673_9	opgB//
go_0015675_9	hisA//
go_0015679_10	rffH//
go_0015682_8	lpxH//
go_0015684_9	serB//tdcE//slyD//patD//
go_0015685_8	rffH//coaE//
go_0015687_7	pcm//
go_0015688_6	dacD//ldtD//
go_0015689_8	leuA//
go_0015691_9	sgbE//moeB//
go_0015692_8	pykA//
go_0015693_9	arnA//
go_0015696_6	prpC//
go_0015698_7	ldtA//
go_0015699_8	nadB//
go_0015700_8	avtA//
go_0015706_6	rfbD//truD//fadB//
go_0015707_6	bioB//aspC//dnaQ//atoB//
go_0015709_6	glgP//
go_0015710_8	tdcD//cpdA//
go_0015712_7	mltA//
go_0015718_8	ndh//
go_0015721_7	yegS//phnG//argK//
go_0015724_7	cysK//
go_0015726_8	hemG//
go_0015733_7	fklB//
go_0015734_6	kdsC//
go_0015736_9	mnmE//
go_0015739_7	trmO//
go_0015740_9	tsaB//ynfE//hcp//
go_0015741_10	yccX//mog//
go_0015747_6	folX//
go_0015748_6	iaaA//
go_0015749_7	pgpA//hemF//thiE//mdh//torA//gatZ//sodB//
go_0015751_9	ubiX//tgt//
go_0015752_9	dacD//fadK//
go_0015753_9	queF//rnd//
go_0015754_9	gpsA//
go_0015755_9	tdcD//ispF//etk//
go_0015756_9	thiH//murQ//
go_0015757_9	mutT//yfdR//paaG//cmoA//
go_0015760_8	mazG//
go_0015761_9	etp//
go_0015762_9	ulaE//
go_0015764_7	truD//phr//mltC//
go_0015765_8	ascB//rsmD//
go_0015767_9	pyrD//rbsK//rlmC//
go_0015768_9	thiG//rlmH//rlmB//
go_0015769_9	nagK//
go_0015771_9	prmB//fucI//pabC//
go_0015772_7	arnA//glnE//yfbR//
go_0015774_7	ruvA//
go_0015778_7	ppiC//
go_0015793_7	phnM//glmS//
go_0015794_7	glgP//rsmD//
go_0015795_7	glyS//paaK//
go_0015796_7	ulaD//
go_0015797_7	hemA//hisA//fumA//
go_0015803_7	leuC//trpE//luxS//
go_0015804_7	dcd//pgi//
go_0015806_6	insI-2//
go_0015807_7	glgX//dacD//cysC//ackA//nanK//dxs//
go_0015808_8	aceA//ansA//
go_0015809_7	gmd//
go_0015810_8	prpD//fadB//
go_0015811_7	kdsB//otsA//
go_0015813_6	dacA//suhB//waaP//
go_0015814_7	gloA//
go_0015816_6	serA//
go_0015817_7	rffC//gdhA//
go_0015818_7	galT//thrA//
go_0015820_7	rph//cysC//rhaB//fadJ//lpd//
go_0015821_7	recG//argK//
go_0015822_7	mhpD//
go_0015823_7	argD//rfbB//ahpC//cysQ//alaS//
go_0015824_7	yihT//argE//luxS//
go_0015825_8	rsmB//
go_0015826_7	ldcA//rsmD//mhpA//
go_0015827_7	thiI//rhaA//selB//
go_0015828_7	pdeL//argB//
go_0015829_7	acpS//proC//otsB//
go_0015830_7	menA//
go_0015833_6	sodA//dkgB//dcd//alsK//ispU//purN//dgt//dnaQ//nfi//lpxD//
go_0015834_7	serA//glpK//
go_0015835_6	hyaA//
go_0015836_7	ftnA//hyaC//
go_0015839_7	lysU//
go_0015846_6	gltX//nanK//
go_0015847_7	trmA//pabA//relA//rpiB//trmH//
go_0015848_7	pck//ychF//
go_0015851_6	
go_0015853_8	dsdA//speC//
go_0015856_8	coaE//
go_0015857_6	pheS//gcvH//
go_0015858_7	thiM//argF//tsaC//
go_0015860_7	folC//ldtC//
go_0015861_9	thiL//idi//
go_0015862_9	mtn//trpD//
go_0015863_8	hypB//
go_0015864_8	ubiF//
go_0015871_6	rluE//gcvT//treF//fadI//
go_0015878_6	
go_0015879_9	gltB//
go_0015882_7	thrB//
go_0015886_6	torC//trpS//
go_0015887_7	entE//
go_0015888_6	gudD//
go_0015889_6	fau//hisA//glpB//
go_0015891_6	ddlB//
go_0015906_6	cysI//
go_0015909_8	ribC//
