# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	uxuA//
go_0006423_8	scpC//
go_0006424_8	glgX//azoR//
go_0006425_8	araD//
go_0006427_8	ansB//
go_0006428_8	plsB//
go_0006429_8	nrdD//
go_0006430_8	dgcZ//nadB//
go_0006431_8	entD//
go_0006432_8	fabA//
go_0006433_8	waaJ//
go_0006434_8	etk//
go_0006435_8	dapD//
go_0006436_8	alr//
go_0006437_8	talB//
go_0006438_8	aroA//
go_0006448_8	
go_0006450_4	murQ//pldB//adeD//glgX//eutB//gshB//
go_0006457_3	gltX//galT//entF//tpiA//hemA//lpcA//eno//
go_0006458_4	
go_0006464_6	nirB//rpiA//poxB//rffG//rsmJ//mnmE//cysK//mazG//
go_0006465_6	galT//frdB//etk//
go_0006468_7	rihB//
go_0006470_7	pgpC//guaA//waaG//rihC//yfcG//
go_0006473_8	dkgB//
go_0006474_6	lsrG//kefF//murB//
go_0006476_8	guaB//
go_0006479_5	sgbH//nrfA//orn//nagB//iaaA//xdhB//
go_0006486_5	ubiX//
go_0006490_5	cynS//
go_0006508_5	ispG//gatD//gnd//gltX//arnB//paaC//pyrF//paoC//acnB//nrdA//gpmM//yihT//yjhH//trpS//ynfF//suhB//ubiX//queD//yihX//ascB//orn//tilS//treA//yfdR//dnaE//yjjG//clsB//ycaO//leuC//phnJ//yjhG//prs//proS//
go_0006515_7	lpxB//gldA//gmk//yfaU//lpxP//hemC//rne//
go_0006517_6	argA//hchA//
go_0006518_5	folA//dhaM//
go_0006523_8	dfp//garL//
go_0006524_8	
go_0006526_8	nagB//glcE//rffC//adhE//rlmB//ansA//ndh//
go_0006527_8	lpxC//ybjG//rsmE//avtA//lgoD//
go_0006529_7	cadA//cysD//
go_0006530_7	ldtE//puuE//pgsA//dfp//
go_0006531_7	pphA//
go_0006532_8	tsaE//truC//menE//
go_0006535_8	pykF//nagK//accB//
go_0006537_8	ulaG//
go_0006538_8	rutC//etp//
go_0006541_7	hemN//srlD//recJ//nadC//moaD//
go_0006542_8	caiB//tsaD//
go_0006543_8	
go_0006545_6	pldB//
go_0006546_6	nagB//aceB//atoB//
go_0006554_8	frc//allD//allB//
go_0006556_5	panE//
go_0006559_6	fes//
go_0006561_6	aes//dfp//
go_0006563_7	torA//
go_0006564_8	fcl//nanE//panD//ybcF//
go_0006565_8	glyA//trmO//citE//glxK//opgE//
go_0006566_7	moaA//
go_0006567_8	acpT//ppx//eptC//lgoD//plsC//tdk//polB//
go_0006569_7	mmuM//
go_0006571_7	cpdB//folP//
go_0006593_7	yjcS//
go_0006598_8	cobC//mltF//torC//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	folA//gmd//
go_0006631_5	coaE//guaC//yihX//ybjG//rihC//
go_0006633_6	tyrA//ilvH//cheR//miaB//pabC//mcrB//idnO//pcm//hisD//lysS//speB//
go_0006635_6	allD//ligB//rlmH//ybjI//argI//lacZ//fadK//mmuM//pncB//paaZ//hflX//allD//
go_0006636_7	
go_0006637_5	ubiG//trpB//dapF//ilvC//caiB//
go_0006646_7	
go_0006650_6	
go_0006654_7	menB//
go_0006655_7	yegS//tsaB//
go_0006725_4	ynfH//
go_0006729_6	alaA//frdA//
go_0006730_4	pykA//mltB//puuD//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	cdd//ribA//eno//glcE//metG//yahK//ydfG//glgC//rlmH//valS//phr//paaC//
go_0006749_5	pdeF//folA//
go_0006750_6	ribB//napC//
go_0006751_6	ubiA//
go_0006757_5	ppiC//
go_0006760_5	bioB//
go_0006761_7	hflX//
go_0006771_5	argI//
go_0006772_6	cobS//kbaY//
go_0006777_5	yfiC//alkA//paoC//pepD//glgX//
go_0006779_6	alr//panB//paaC//aroK//treA//
go_0006780_7	pgpB//
go_0006782_7	poxB//aroD//cmoA//uxaB//
go_0006783_5	moeA//trpA//gltD//paaK//nudF//adhP//yihU//
go_0006790_4	lpxK//mnmA//hypB//dut//guaA//trmD//bfr//fes//pdxA//fadH//
go_0006791_2	ndh//rsmA//dkgB//
go_0006793_4	metE//yfcF//
go_0006798_5	hyaC//
go_0006799_5	cynS//
go_0006801_5	caiB//hisA//nrdB//
go_0006805_4	pflB//iaaA//mnmC//yrfG//
go_0006807_3	murG//dkgA//cdsA//
go_0006808_4	mltC//
go_0006810_4	rffM//purA//rutA//adeD//nirD//aldB//cmoA//pabB//yajO//hyaC//argH//glnE//mobA//dinB//ilvE//panB//solA//cysI//aroD//ftnA//insI-2//truA//mutY//uidA//betA//ssuD//galE//gstA//bglA//ychF//frdC//tynA//ttdA//psuG//narY//menA//ygeX//gcvH//scpB//pphB//pfkB//queF//rihC//yfbR//mug//dkgA//rffT//panB//coaE//mhpB//trpA//gltB//rlmG//tcdA//frlC//dbpA//panE//argF//sodB//fumB//dbpA//preT//dgkA//dacC//accD//agp//ttdA//serS//glcF//ligA//feaB//dgcM//pgi//orn//yeiG//pgaD//cysC//
go_0006811_5	puuE//citG//mrcB//cysD//purC//bioF//fadE//apt//ulaF//ispH//ubiF//
go_0006812_6	der//puuD//
go_0006813_8	recO//aspA//ssuE//yidA//ppc//tktB//uvrC//yjhG//
go_0006814_8	rfbC//moaD//kduI//hemH//
go_0006817_8	umuC//
go_0006820_6	alsE//glnS//waaZ//idnD//rlmI//
go_0006821_8	rsuA//
go_0006824_8	gltD//nadA//ligB//cobC//
go_0006825_9	nrdA//
go_0006826_9	argG//
go_0006828_9	ulaF//
go_0006829_9	yjiA//yidA//dmlA//yhdJ//galU//
go_0006833_6	
go_0006835_8	rdgB//ppiA//
go_0006847_8	cysD//
go_0006855_6	eno//add//rsuA//slyD//idnD//ygjK//ldtE//cysE//rlmA//adhE//carA//etk//rffC//phnI//
go_0006857_7	rlmA//acpS//astC//
go_0006863_7	frdD//
go_0006865_6	pheA//gntK//dinB//fucK//dmsA//glmU//hemN//yeaG//yihS//tgt//pgpA//ycjU//adiA//fumB//aspA//trmH//pphB//apt//eptA//rluD//relA//
go_0006868_7	ispA//
go_0006869_6	yahK//
go_0006874_8	
go_0006876_8	hisA//
go_0006878_9	lpoB//
go_0006879_9	dgkA//rluB//
go_0006880_4	dusC//kduI//
go_0006882_8	yhdJ//
go_0006883_8	nrfC//ruvB//mnmE//
go_0006884_4	
go_0006885_9	selD//
go_0006886_5	
go_0006928_3	thrB//
go_0006935_4	ung//aes//psuG//argI//coaE//
go_0006970_4	thiI//ahr//tdh//yjhG//metG//frdC//
go_0006972_5	ssuD//mhpD//birA//epd//insI-1//
go_0006974_5	ybjG//rhaB//patA//dgoA//purT//appA//menC//adeD//ppsA//ribF//speF//cmk//waaC//pdxH//kefF//acs//dxr//asnB//pncB//fadM//nagK//waaJ//leuA//dhaM//napA//wecB//ribF//torZ//pgm//hemH//pabC//gltB//ravA//pgpB//tktA//malY//citE//paaH//purD//yeaG//rfbB//dapD//bioB//ycjU//tmcA//hypB//abgB//rutC//murD//entF//der//rffC//betB//menI//appA//fadD//mnmG//nrdB//asnS//dadA//nrdB//ansA//glk//argH//rffM//yihS//mepS//purT//betB//glgC//cysN//bioF//hemF//tatD//ung//wecB//phnI//btuR//accB//katE//yieF//waaP//rfbB//ymdB//phoA//adk//waaS//srlD//garD//csdA//torZ//lpd//tnaA//lpxT//tdh//
go_0006979_4	glgC//ribE//astB//rbsK//fkpA//alaS//nagB//leuB//yqaB//allB//lpoA//lpxP//thiC//gcd//argH//nfsB//trpB//gltD//rsmA//metG//leuB//gltD//sodB//mrcA//rutA//plsC//
go_0006986_5	uvrB//
go_0006995_6	nadE//glpK//
go_0007059_3	alaS//aroK//
go_0007062_4	
go_0007155_3	yidA//
go_0007165_3	murG//paaH//
go_0007234_5	
go_0007584_4	
go_0008033_9	wcaJ//hdhA//yqjH//fes//truB//pgaC//selD//ldtB//
go_0008104_4	
go_0008152_2	mngB//rsmI//lpxB//cmk//adhE//srlD//rffT//folE//ispB//paaB//tktA//otsB//menI//tatD//putA//rfaD//phnH//
go_0008156_8	
go_0008219_3	
go_0008272_6	gpmM//trmO//
go_0008295_6	trmL//ilvB//citG//
go_0008299_5	yggF//
go_0008360_4	yciA//maa//fucI//torC//def//dgcM//paaC//hemE//paaH//murD//proC//
go_0008610_5	umuD//nrdF//frmA//waaB//
go_0008615_6	ampH//fbaA//leuB//tpiA//allC//malY//folP//
go_0008616_8	dnaQ//galE//hemB//allC//ygeX//mak//
go_0008643_6	prs//hypF//menH//xdhB//trpE//cysH//rlmF//yegS//pdeR//mraY//speC//nanA//glnE//aroL//gcvP//fucK//rsmH//yeiG//
go_0008652_5	mraY//ulaF//ribB//thiL//gltD//rffM//murI//epmA//
go_0008653_5	
go_0008654_5	dcyD//ycjU//gmhB//thiM//
go_0009050_6	phnH//tktB//
go_0009052_6	mnmC//insI-2//idnK//metH//cmoB//pphB//
go_0009056_3	ansB//
go_0009058_3	ydiO//mnaT//cobU//puuB//
go_0009060_6	gloB//narG//ileS//hisH//gapA//lysC//yjiA//
go_0009061_6	rsmC//solA//pepD//sad//tdk//waaU//preT//glnE//gabD//nagB//sdaA//bioF//tehB//argF//pabC//pdxJ//hemA//tsaD//mtgA//pyrE//uxuA//
go_0009062_6	frdA//
go_0009063_5	pbpC//scpB//ansB//
go_0009070_7	accB//
go_0009073_6	yigB//hisB//spoT//gph//feaB//bglX//moaE//ilvH//pykF//mtlD//tadA//
go_0009081_5	ansA//putA//
go_0009082_6	hyaC//ubiC//nth//alkB//fucI//gshB//hflX//
go_0009085_8	metC//
go_0009086_7	fruK//ddlB//phnL//cysS//putA//
go_0009088_8	cadA//rlmL//
go_0009089_6	eptC//nadD//hdhA//lpxT//rph//rsuA//
go_0009090_8	phnI//nagK//entC//alkA//
go_0009092_7	hemD//
go_0009093_7	
go_0009094_6	lplA//asd//umpH//
go_0009097_7	tmcA//ldtC//menE//napC//ppsA//
go_0009098_7	psd//pck//mnmE//thiG//waaJ//nudF//
go_0009099_7	ldcA//ubiH//birA//lpoA//pheS//mrcB//lsrK//
go_0009102_6	mtlD//metC//panC//fruK//alr//lpd//alaS//tmk//ilvM//
go_0009103_6	entH//fucI//rsmJ//murC//torY//hisA//solA//pdeH//hemG//
go_0009106_5	udp//
go_0009107_6	hisG//eutB//
go_0009108_6	murI//
go_0009116_5	appA//ydiF//
go_0009142_7	deoC//
go_0009143_7	guaD//
go_0009152_8	cysI//
go_0009157_8	opgB//
go_0009166_7	pgpC//fabZ//
go_0009168_9	udk//
go_0009220_8	nrdD//dgoD//
go_0009224_9	treA//
go_0009226_6	mnmE//ligB//
go_0009228_7	tdh//entD//mutT//ppiC//lacZ//pldB//rlmM//ynfH//rbsD//
go_0009229_6	lpoA//sodB//
go_0009231_6	idnD//rnb//rlmC//aroB//uxaA//preA//clsB//
go_0009234_7	avtA//orn//ligB//cpsG//ychF//hflX//pyrH//argC//yihT//
go_0009236_6	nagZ//ldtE//ahr//glnA//cpsB//gstB//
go_0009237_4	nfi//thrS//
go_0009239_6	ushA//gpmM//rffT//torY//rsmF//kduD//fabB//icd//
go_0009240_6	cyoE//
go_0009242_6	argE//nudB//rutD//mnaT//mtn//prpD//ulaF//cobS//
go_0009243_7	cpdA//
go_0009244_7	udk//mhpC//hemN//paoC//pgm//ppsA//malZ//azoR//citE//adiA//yihX//gloB//fklB//queC//hdhA//leuD//pheT//glxK//gmk//umpG//lysS//purT//
go_0009245_6	dgcZ//pheS//kbaZ//uxaC//cobT//truD//allC//pdxY//ilvH//
go_0009246_6	apaH//gatD//etp//ubiF//speB//dhaL//
go_0009249_6	thrB//ruvB//sgbU//
go_0009250_7	
go_0009251_7	mak//
go_0009252_7	ahr//aroG//abgB//sdhD//phnH//galK//recG//ddlB//yjiA//maeA//sucB//pnp//gshA//pagP//gldA//dapD//wecB//waaU//pgi//ubiI//queD//nanA//trpS//pabB//torA//
go_0009253_8	waaS//hemA//metL//rlmL//tdcG//ispH//carB//galT//hinT//iscS//
go_0009254_8	pheS//fdhF//recO//talB//ftnA//phnJ//tdcE//accD//garK//tsaE//tmk//
go_0009257_8	xapA//lpoB//apt//gdhA//
go_0009263_6	queD//arnA//
go_0009264_6	trpD//idnO//
go_0009265_7	paaA//
go_0009266_4	rfaD//nudB//ttdA//miaB//mobA//trpS//
go_0009267_5	puuB//lpoA//
go_0009268_4	waaY//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	gadA//
go_0009297_6	
go_0009298_7	frdA//purU//narI//
go_0009305_7	mutH//
go_0009306_4	
go_0009311_5	
go_0009314_4	speG//puuC//ubiE//pinE//hemL//yigL//dmsC//hisA//glcE//pykA//alsK//nadE//sthA//aspA//btuR//uvrB//cadA//
go_0009372_5	mutM//pta//wecC//
go_0009396_6	atoB//hyaC//
go_0009398_7	guaC//
go_0009401_7	cysC//bglB//bglB//guaD//glpD//frlB//pphB//rnpA//argI//moeB//metF//eptB//alkB//abgB//ampD//rsmI//acpT//rsmE//scpB//pbpC//
go_0009403_5	
go_0009405_4	
go_0009407_3	waaY//
go_0009408_4	pgaD//yihX//fbaA//cysI//rffG//metF//adhP//rsmH//mutT//hpt//ligB//dapD//rpe//dadA//cadA//tadA//yeiG//fumB//cynS//waaG//thiL//ispU//trmH//cyaA//lysC//cysQ//
go_0009409_4	tig//add//
go_0009410_4	ilvM//
go_0009411_6	pck//fruK//ldtE//pdxJ//etk//lpxD//paaJ//purC//epmC//
go_0009416_5	galK//lldD//
go_0009423_8	moaE//yrfG//puuB//rbn//
go_0009432_5	glyS//sodC//hisS//gutQ//clsA//
go_0009435_9	dapF//rne//sdhB//paaF//plsB//
go_0009436_6	nrdE//nagZ//glgX//rnt//
go_0009437_5	
go_0009438_5	
go_0009440_6	trmI//gcd//nadA//
go_0009442_7	rlmG//murA//epd//adiA//glnS//
go_0009443_5	narV//fumA//ispB//
go_0009446_6	mcrB//galU//
go_0009447_6	argH//fadD//gltX//ubiC//gmhB//sdhC//xylA//yjiA//
go_0009450_6	paaF//aroH//ygeX//zwf//
go_0009451_6	hcaD//trpS//rlmA//glmM//
go_0009593_4	
go_0009597_5	
go_0009636_4	acnA//umuD//mhpA//rbsD//recO//
go_0009637_6	
go_0009651_5	
go_0009697_5	folM//
go_0009758_2	ndh//
go_0009785_5	
go_0009970_6	ahpC//queD//ybiV//
go_0009972_10	tehB//
go_0009992_5	argD//wzb//mtn//
go_0010033_4	
go_0010038_5	
go_0010039_6	dbpA//
go_0010041_7	folE//mhpC//
go_0010042_6	hinT//
go_0010043_6	maeA//rutD//
go_0010045_6	treC//
go_0010106_6	
go_0010124_4	aroL//agp//glnA//sufS//nadD//nadA//arnB//uxaB//
go_0010133_7	gadB//
go_0010139_7	glgX//
go_0010165_6	tdcG//ushA//hyaC//gabT//panC//pdxK//yieF//gstA//
go_0010212_5	gadA//
go_0010226_6	ubiG//
go_0010243_5	
go_0010272_6	acpS//
go_0010273_4	ribD//yfiC//cysN//
go_0010312_3	ribC//
go_0010332_6	
go_0010350_6	
go_0010438_6	mrcA//deoB//
go_0010447_5	yghU//ispF//
go_0010468_6	rnd//
go_0010498_6	paaH//sad//cof//umpG//
go_0010501_7	plsC//malY//
go_0010557_7	
go_0010608_7	dhaM//
go_0010628_7	
go_0010629_7	ygeX//
go_0010676_7	
go_0010699_4	galE//cobB//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	dusC//ilvM//kduD//cmoA//gpt//ilvN//ubiX//hmp//accC//
go_0015031_5	tgt//yieF//ydiF//murD//rluD//birA//luxS//metB//
go_0015074_6	
go_0015628_5	
go_0015670_6	yigB//
go_0015673_9	argK//
go_0015675_9	ychF//
go_0015679_10	pdeR//
go_0015682_8	lipB//
go_0015684_9	puuE//gpt//ybhA//hemN//
go_0015685_8	pphA//pgaC//
go_0015687_7	ndh//
go_0015688_6	pinE//pphA//
go_0015689_8	ldhA//
go_0015691_9	umuD//yjjX//
go_0015692_8	mutL//
go_0015693_9	phnP//
go_0015696_6	putA//
go_0015698_7	etp//
go_0015699_8	waaY//
go_0015700_8	cysQ//
go_0015706_6	ushA//ung//nrfC//
go_0015707_6	pflB//recO//thiG//truC//
go_0015709_6	epd//
go_0015710_8	metB//thiH//
go_0015712_7	dosP//
go_0015718_8	astB//
go_0015721_7	leuD//rph//astB//
go_0015724_7	ydiB//
go_0015726_8	ulaG//
go_0015733_7	treC//
go_0015734_6	edd//
go_0015736_9	hpt//
go_0015739_7	folE//
go_0015740_9	nanK//nrdF//treF//
go_0015741_10	mltD//glmU//
go_0015747_6	gmk//
go_0015748_6	rsmJ//
go_0015749_7	fau//ligB//ybhA//araB//accB//dgcZ//mutY//
go_0015751_9	mhpA//bioA//
go_0015752_9	aroL//nadB//
go_0015753_9	uxaA//sodA//
go_0015754_9	rffC//
go_0015755_9	uidA//dgcT//sdhA//
go_0015756_9	hemN//yihV//
go_0015757_9	umpH//rph//ribE//pykF//
go_0015760_8	ddlA//
go_0015761_9	pfkA//
go_0015762_9	thrS//
go_0015764_7	fau//bioA//malZ//
go_0015765_8	queD//ydfG//
go_0015767_9	yfcF//atoB//gpsA//
go_0015768_9	ychF//entB//astB//
go_0015769_9	idnD//
go_0015771_9	sucB//ilvE//panC//
go_0015772_7	puuB//ybiV//waaP//
go_0015774_7	epmA//
go_0015778_7	feaB//
go_0015793_7	argG//moeA//
go_0015794_7	mraY//tpiA//
go_0015795_7	selD//proS//
go_0015796_7	ndh//
go_0015797_7	tehB//ribF//cysD//
go_0015803_7	dhaK//yccX//tyrB//
go_0015804_7	hypF//ilvE//
go_0015806_6	glpK//
go_0015807_7	dbpA//yfeX//aldA//ilvA//thiL//garL//
go_0015808_8	zwf//mrcB//
go_0015809_7	fabB//
go_0015810_8	serS//hisF//
go_0015811_7	nth//katG//
go_0015813_6	menB//rfbC//mgsA//
go_0015814_7	rluE//
go_0015816_6	tig//
go_0015817_7	torZ//eno//
go_0015818_7	aroE//lysS//
go_0015820_7	narI//kduI//nirD//nrfA//thiD//
go_0015821_7	waaZ//prpB//
go_0015822_7	purN//
go_0015823_7	atoB//uvrA//glgP//adhP//pgpA//
go_0015824_7	mobA//ubiA//gpmM//
go_0015825_8	clsA//
go_0015826_7	rutE//aroH//gpmM//
go_0015827_7	prmB//glpA//galU//
go_0015828_7	fau//ghrB//
go_0015829_7	folE//aroK//rlmC//
go_0015830_7	glpX//
go_0015833_6	ppiA//rrrD//dbpA//acpH//gnd//ycjU//rsmF//otsA//pgk//rnd//
go_0015834_7	glk//nrfD//
go_0015835_6	cheR//
go_0015836_7	dxr//ilvH//
go_0015839_7	pyrH//
go_0015846_6	fklB//alaS//
go_0015847_7	ulaF//gadA//glk//coaA//solA//
go_0015848_7	dgcZ//sodC//
go_0015851_6	
go_0015853_8	paaJ//epmB//
go_0015856_8	abgA//
go_0015857_6	waaQ//thrS//
go_0015858_7	clsA//trmA//rrrD//
go_0015860_7	lpxD//narV//
go_0015861_9	ftsI//fadE//
go_0015862_9	pfkA//fadE//
go_0015863_8	yjjX//
go_0015864_8	umuC//
go_0015871_6	hcaB//moaE//tatD//dcm//
go_0015878_6	
go_0015879_9	acpS//
go_0015882_7	coaD//
go_0015886_6	ilvD//puuC//
go_0015887_7	ilvM//
go_0015888_6	ispF//
go_0015889_6	mak//hisC//folX//
go_0015891_6	alaA//
go_0015906_6	rutC//
go_0015909_8	pdxB//
