# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	glnA//
go_0006402_7	dmlA//argS//ppiA//cynT//proA//ftnA//pyrE//
go_0006412_6	sbcB//chbF//kdsA//bioF//entE//
go_0006413_4	ldtB//
go_0006414_6	
go_0006415_7	ilvA//malY//
go_0006417_7	folA//rffH//
go_0006418_7	ispU//waaG//cpdA//murA//ribC//panB//purB//narY//pgpB//cysS//uxaB//
go_0006419_8	aroD//
go_0006420_8	purF//
go_0006421_8	ilvM//
go_0006422_8	mutS//
go_0006423_8	cysM//
go_0006424_8	maa//pphB//
go_0006425_8	gapA//
go_0006427_8	tdcG//
go_0006428_8	tktB//
go_0006429_8	rlmA//
go_0006430_8	phnN//argC//
go_0006431_8	fumC//
go_0006432_8	rlmC//
go_0006433_8	galE//
go_0006434_8	uvrC//
go_0006435_8	mltD//
go_0006436_8	waaZ//
go_0006437_8	mocA//
go_0006438_8	mltF//
go_0006448_8	
go_0006450_4	nudF//hisH//ygjK//ppiA//ispH//rutA//
go_0006457_3	deoD//glcF//glyA//ubiA//sufS//ribB//dcyD//
go_0006458_4	
go_0006464_6	sseA//moaD//argG//aspC//ispG//waaZ//dosP//waaO//
go_0006465_6	truA//zwf//nrdA//
go_0006468_7	serA//
go_0006470_7	pcm//recO//dkgB//ruvB//hpt//
go_0006473_8	cmoA//
go_0006474_6	eutD//dapF//dmsB//
go_0006476_8	guaA//
go_0006479_5	rlmI//trpE//ruvB//lpxC//lysU//truA//
go_0006486_5	rlmG//
go_0006490_5	curA//
go_0006508_5	argG//pdeH//abgA//ynfF//yfeX//ansB//lpxD//thiL//nirB//prs//adeD//bfr//hisD//nfi//aroA//leuS//idnD//pnp//thiM//lpxL//pepD//speB//rbsK//pabB//argB//gltD//hpt//rutB//rlmH//paoC//pagP//dgkA//yeaE//
go_0006515_7	glgB//murG//ileS//gatZ//pepD//insI-1//guaA//
go_0006517_6	ftnA//ligB//
go_0006518_5	otsB//ubiG//
go_0006523_8	metL//opgB//
go_0006524_8	
go_0006526_8	tauD//mrcB//malZ//wecB//thiD//rlmA//eptC//
go_0006527_8	mepS//moeA//cobT//cysK//gatY//
go_0006529_7	ligA//pgaB//
go_0006530_7	gcl//lsrG//panD//rluA//
go_0006531_7	gadA//
go_0006532_8	thiL//ybhA//lpxB//
go_0006535_8	rhaM//lipA//nrdD//
go_0006537_8	rbn//
go_0006538_8	uvrA//ileS//
go_0006541_7	ascB//dcyD//pabA//fumC//uvrC//
go_0006542_8	dcyD//dnaQ//
go_0006543_8	
go_0006545_6	ruvA//
go_0006546_6	epmA//rluC//rlmI//
go_0006554_8	pgpC//adhE//tehB//
go_0006556_5	opgB//
go_0006559_6	rbn//
go_0006561_6	hinT//dgcM//
go_0006563_7	pdxB//
go_0006564_8	thrB//narG//eutB//rlmC//
go_0006565_8	rfaD//pflB//lsrK//purL//ybjI//
go_0006566_7	dgkA//
go_0006567_8	tsaE//wecC//dapB//trpS//dusB//glnA//trpA//
go_0006569_7	entH//
go_0006571_7	thiI//sucA//
go_0006593_7	mak//
go_0006598_8	rsmI//uxuA//cyaA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	mutH//glk//
go_0006631_5	frdD//phr//fes//gstA//waaH//
go_0006633_6	dld//murE//lplA//cobB//cysN//trmO//galK//citE//metG//birA//rsmD//
go_0006635_6	gpp//ada//ydiB//glcF//sodC//speG//murG//lysU//serA//lpxH//yagF//rsmJ//
go_0006636_7	
go_0006637_5	alsK//mmuM//ravA//queC//hisI//
go_0006646_7	
go_0006650_6	
go_0006654_7	ttdA//
go_0006655_7	lpxC//paaA//
go_0006725_4	nadB//
go_0006729_6	aroD//entD//
go_0006730_4	maa//ubiF//lipB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	pdxH//lpd//cdh//frdA//hflX//gdhA//uxaC//ygeX//dhaM//mocA//eutD//sgbU//
go_0006749_5	carA//ilvC//
go_0006750_6	rpiA//iscS//
go_0006751_6	gpsA//
go_0006757_5	eptB//
go_0006760_5	spoT//
go_0006761_7	malP//
go_0006771_5	nrfB//
go_0006772_6	rsmE//dacD//
go_0006777_5	fabZ//yihS//glgB//hypB//pinE//
go_0006779_6	mnmA//metF//carA//glyS//ansB//
go_0006780_7	araB//
go_0006782_7	yagE//galE//ppk//malP//
go_0006783_5	rlmB//frdC//tdcE//dut//fadH//accD//pck//
go_0006790_4	fadD//tynA//lpoB//bfr//yghU//ttdB//ubiE//glyS//rluB//lpoA//
go_0006791_2	tag//sucB//nanA//
go_0006793_4	upp//pyrB//
go_0006798_5	yfbR//
go_0006799_5	hmp//
go_0006801_5	pgpC//rnpA//queG//
go_0006805_4	xylB//rlmC//trpD//tsaD//
go_0006807_3	yfdR//gltB//lldD//
go_0006808_4	tktA//
go_0006810_4	caiB//ugd//lpxT//rluA//sodB//der//napA//aroA//gcvT//garL//ycaO//ppk//aspS//uxuA//yciV//fadH//ampH//aroF//cdh//ldcC//dusB//purT//fabG//pgpA//rutB//metK//glpK//yahK//umpH//fau//ilvN//nagA//hisF//ubiF//hinT//trmL//ampH//yahK//rsmH//dbpA//cmoB//dusC//yegS//galT//fadB//icd//adk//asnB//yfeX//paaK//phr//recO//chbF//plsB//guaB//fabD//nudF//yihX//pgpA//panC//aroB//garD//cobB//clsB//arnA//adk//hyaA//pabA//psd//ribA//cyoE//moaE//sgbU//nadA//sucB//dacD//mltB//
go_0006811_5	dosP//codA//fklB//dacA//speE//rsmI//cpsG//ldtD//sdhD//dhaL//narI//
go_0006812_6	tpiA//rsmI//
go_0006813_8	leuA//glmU//mcrA//moeA//roxA//gabD//fabB//mnmE//
go_0006814_8	patA//ygjK//nudF//lpxH//
go_0006817_8	glpA//
go_0006820_6	purA//bglA//ubiX//der//sgbH//
go_0006821_8	ssuE//
go_0006824_8	talB//gpp//pyrC//dgoK//
go_0006825_9	queA//
go_0006826_9	yagF//
go_0006828_9	glcE//
go_0006829_9	hinT//tsaC//hemN//fadD//aspC//
go_0006833_6	
go_0006835_8	yciA//hisA//
go_0006847_8	insI-2//
go_0006855_6	narY//nrdE//ribA//dapF//yihU//dhaK//guaA//allB//cdsA//dgoD//napC//rutD//pphB//cysN//
go_0006857_7	miaA//mcrB//accC//
go_0006863_7	aspC//
go_0006865_6	pagP//selB//cpdA//cobB//roxA//psuG//alaA//hemB//rimK//garR//sad//gltD//metK//glpX//glk//dgkA//rsuA//umuC//glmU//ygjK//mtn//
go_0006868_7	yigB//
go_0006869_6	gltD//
go_0006874_8	
go_0006876_8	carB//
go_0006878_9	fumB//
go_0006879_9	accD//ribA//
go_0006880_4	pgaB//trmD//
go_0006882_8	cpdA//
go_0006883_8	cysD//moeA//rlmM//
go_0006884_4	
go_0006885_9	pck//
go_0006886_5	
go_0006928_3	miaA//
go_0006935_4	melA//mnmE//aphA//rlmJ//ribE//
go_0006970_4	purL//prpB//rsmF//clsB//tdcE//dusC//
go_0006972_5	yfeW//mug//yfbR//thiG//purD//
go_0006974_5	frc//fdhF//uxaA//ldhA//gadB//lipA//murF//rlmE//ndh//pck//truC//araD//dhaL//mog//hisC//paaE//ycjU//nrfD//speE//iaaA//ascB//nanE//trpA//udk//dgkA//coaA//yigL//prmB//hisA//nadE//serB//opgB//nrdD//yfcG//trpS//clsB//lpxM//metB//murE//mltA//tig//pdxJ//kbaY//gadA//birA//recO//insI-1//pyrC//etk//ydiB//pyrF//pdeH//ynfE//amyA//miaA//proB//paaA//frc//caiB//tatD//garD//gpmM//kdsC//paaB//trmO//aroE//rlmD//nirB//nemA//gmhB//mutS//fre//lpxL//sucB//garL//glk//ubiD//ttdB//mtgA//mutM//serC//thrB//gabT//yihV//menE//tynA//aspS//selD//tdh//pncB//ynfE//wecC//relA//gstA//fucI//
go_0006979_4	nagK//gldA//lpxK//plsB//dacD//ispH//gmk//rutB//mocA//luxS//yihS//prmC//ubiX//yjjG//narZ//galU//ltaE//yrfG//talB//rhaM//thrC//ppc//abgB//folP//yeaG//cpdB//
go_0006986_5	mnmA//
go_0006995_6	valS//rfbD//
go_0007059_3	yciV//pinE//
go_0007062_4	
go_0007155_3	patD//
go_0007165_3	galK//aroA//
go_0007234_5	
go_0007584_4	
go_0008033_9	citC//epmC//etk//ansA//mnmA//yfiC//clsC//idi//
go_0008104_4	
go_0008152_2	pdeF//gshB//tsaE//gshA//sucB//ubiI//yfeW//ubiG//ruvA//dkgB//yhdJ//entH//clsB//purF//lpoA//hisD//rluF//
go_0008156_8	
go_0008219_3	
go_0008272_6	yggF//ttdA//
go_0008295_6	dgoD//folP//mak//
go_0008299_5	lldD//
go_0008360_4	tyrB//srlD//astB//lsrG//ndh//phnJ//mhpA//ycaO//ppx//glgP//scpC//
go_0008610_5	lpoA//dapB//ttdB//mrcB//
go_0008615_6	ftnA//guaD//btuR//purC//ubiI//rihC//queG//
go_0008616_8	aspC//fadK//mnmC//gshA//patZ//tdh//
go_0008643_6	glcE//ispB//btuR//yjjG//mpaA//ndk//glnE//napA//trpD//yihT//alkB//tcdA//yegS//rnpA//gluQ//fadM//menA//pdxA//
go_0008652_5	dgcT//cobS//garD//folM//clsB//citE//ilvD//murB//
go_0008653_5	
go_0008654_5	uvrC//lipA//gadB//yrfG//
go_0009050_6	dacA//lpxB//
go_0009052_6	adk//pgk//gapA//phnH//narG//ppc//
go_0009056_3	dnaQ//
go_0009058_3	dapB//entC//ybjI//glyA//
go_0009060_6	queA//entA//glpK//menH//ribA//aceF//hyaB//
go_0009061_6	surA//csdA//yjhG//fadH//fucI//rfe//panB//pdxH//pgsA//frlB//alaC//yjiA//hyi//purF//trmA//narH//murF//tsaC//serS//nfi//lysS//
go_0009062_6	ubiX//
go_0009063_5	prmB//etk//alkA//
go_0009070_7	pdxJ//
go_0009073_6	ampD//malS//ppiC//sufS//tesB//mmuM//rutB//tdh//iscS//xdhB//coaA//
go_0009081_5	treC//panD//
go_0009082_6	mnmA//alsK//pheA//deoA//xthA//lpxL//lpxH//
go_0009085_8	mug//
go_0009086_7	trpD//ubiH//nadD//thiG//def//
go_0009088_8	aceF//nudC//
go_0009089_6	narY//yjiA//lpoB//ribD//glmU//yfeX//
go_0009090_8	waaB//gmk//nrfC//rutE//
go_0009092_7	rutB//
go_0009093_7	
go_0009094_6	waaU//ttdB//trmA//
go_0009097_7	bglB//adk//ulaF//mazG//asnA//
go_0009098_7	ahr//cpsB//nadA//gcvP//add//thiL//
go_0009099_7	fadH//ribC//metC//aroG//sgbU//yfeW//gatD//
go_0009102_6	recF//tdk//wzc//tag//dgcZ//astB//pgaD//frdD//speC//
go_0009103_6	rihA//rfaE//alaA//thiC//entB//queF//iscS//fbaA//torA//
go_0009106_5	waaO//
go_0009107_6	ynfH//rhaM//
go_0009108_6	frlB//
go_0009116_5	paaE//dapB//
go_0009142_7	wcaJ//
go_0009143_7	psuG//
go_0009152_8	dapF//
go_0009157_8	suhB//
go_0009166_7	hcaB//rffM//
go_0009168_9	frdA//
go_0009220_8	dadA//mnmA//
go_0009224_9	rsmH//
go_0009226_6	asnS//bioF//
go_0009228_7	ybhA//acnB//yciV//gabD//murF//psd//sdhD//wecB//speB//
go_0009229_6	acs//yihU//
go_0009231_6	phnL//dkgA//murC//lipB//moeA//pyrF//pphB//
go_0009234_7	plsB//pgsA//yihV//ushA//rlmG//carB//luxS//hemA//ravA//
go_0009236_6	hemN//insI-1//clsC//hyaB//argS//truC//
go_0009237_4	cof//cdd//
go_0009239_6	pyrH//lysU//mcrA//yagE//eno//paaK//hmp//ssuD//
go_0009240_6	tdcD//
go_0009242_6	asnS//ydiF//tcdA//xylA//waaG//gshB//cysI//phnG//
go_0009243_7	ilvH//
go_0009244_7	glyS//yieF//waaQ//eptB//tesB//dcyD//treC//pgl//narY//yghU//ydiF//dhaK//ilvC//dinB//yahK//galM//argG//proS//pyrB//oxc//leuB//nadK//
go_0009245_6	sdaA//rluE//dam//prmB//guaB//cobU//sgbE//hemB//gor//
go_0009246_6	hemC//mltF//pabA//mrdA//ybiV//trpB//
go_0009249_6	uxaB//narV//dam//
go_0009250_7	
go_0009251_7	proS//
go_0009252_7	idnD//cysQ//proB//yhdJ//nanE//gntK//rutD//dkgA//pcm//araA//argA//glmS//argS//narV//paaE//proA//rhaA//nadK//paaA//rpe//ppx//tgt//aldB//gadB//murI//
go_0009253_8	solA//otsB//waaL//adhP//alkB//ppiC//pabB//ppk//ghrB//icd//
go_0009254_8	tmcA//truC//hemL//agp//eptA//yfbR//cysK//lpxD//abgA//psd//eda//
go_0009257_8	rsmC//gloB//rhaA//yfcF//
go_0009263_6	paaB//putA//
go_0009264_6	ubiE//allB//
go_0009265_7	nirB//
go_0009266_4	alsE//glpD//oxc//tyrS//fabB//pinE//
go_0009267_5	fucO//abgB//
go_0009268_4	pheA//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	asnA//
go_0009297_6	
go_0009298_7	speE//cof//cysE//
go_0009305_7	rlmH//
go_0009306_4	
go_0009311_5	
go_0009314_4	pdxY//hisD//pgpC//waaS//pgi//kdgK//alkB//cobT//waaS//recR//gph//rnt//argS//ileS//cysN//mrcA//mltA//
go_0009372_5	lpxM//recR//rihA//
go_0009396_6	rsmB//murC//
go_0009398_7	wrbA//
go_0009401_7	sdhB//allC//moaE//patZ//yihX//leuC//hypB//bioB//argI//caiD//ispH//mltA//tdk//etk//epmA//ulaE//hcaF//lpxT//trmO//lipA//
go_0009403_5	
go_0009405_4	
go_0009407_3	rbn//
go_0009408_4	eda//rsmC//frdD//folE//pheT//dxr//frlB//murG//yjcS//narG//yrfG//cheR//ddlB//ppiC//tgt//uvrC//ppiC//hcaF//rfbB//fkpA//galU//mgsA//narY//udp//menA//argC//
go_0009409_4	glgP//atoB//
go_0009410_4	yfeW//
go_0009411_6	paaJ//rnpA//cysM//hemH//selD//napC//pyrE//mutM//menF//
go_0009416_5	caiB//hisC//
go_0009423_8	yigL//ubiG//purC//glk//
go_0009432_5	serS//cysK//tyrS//coaD//proC//
go_0009435_9	metB//rne//ispH//rbsK//alr//
go_0009436_6	lacZ//add//nudF//betB//
go_0009437_5	
go_0009438_5	
go_0009440_6	plsC//ribF//rlmH//
go_0009442_7	nrfA//upp//bglA//ribC//abgB//
go_0009443_5	glxK//astB//queC//
go_0009446_6	galT//pbpC//
go_0009447_6	dmsA//dapD//gatY//nth//fbp//aroK//rlmL//dinB//
go_0009450_6	dacD//mutT//alsE//ilvI//
go_0009451_6	folC//nrdF//rfaD//umpH//
go_0009593_4	
go_0009597_5	
go_0009636_4	gapA//gpmA//astB//nadB//fadM//
go_0009637_6	
go_0009651_5	
go_0009697_5	ppk//
go_0009758_2	rlmB//
go_0009785_5	
go_0009970_6	tyrA//moeB//coaE//
go_0009972_10	malY//
go_0009992_5	moaA//hisS//suhB//
go_0010033_4	
go_0010038_5	
go_0010039_6	ulaF//
go_0010041_7	rlmB//pcm//
go_0010042_6	aceA//
go_0010043_6	mutH//gabT//
go_0010045_6	uxaB//
go_0010106_6	
go_0010124_4	frmA//aroE//ghrB//mnmC//chbF//entC//thiC//tmk//
go_0010133_7	tatD//
go_0010139_7	yfdR//
go_0010165_6	puuA//btuR//guaC//pabA//cysS//panE//ispU//queD//
go_0010212_5	ppiA//
go_0010226_6	rnb//
go_0010243_5	
go_0010272_6	gabT//
go_0010273_4	asd//proC//metH//
go_0010312_3	lpxD//
go_0010332_6	
go_0010350_6	
go_0010438_6	yeiG//tyrA//
go_0010447_5	nadD//fabH//
go_0010468_6	curA//
go_0010498_6	nanE//ynfH//lldD//yfbR//
go_0010501_7	sucA//mrcB//
go_0010557_7	
go_0010608_7	mraY//
go_0010628_7	
go_0010629_7	pabC//
go_0010676_7	
go_0010699_4	truB//yqhD//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	rsmE//kdsB//ruvC//yjjG//tyrA//pagP//yihX//ppsA//recJ//
go_0015031_5	dgcT//prpD//ispG//codA//tag//apt//phnN//yfiC//
go_0015074_6	
go_0015628_5	
go_0015670_6	uxaB//
go_0015673_9	glyA//
go_0015675_9	moaA//
go_0015679_10	rhaB//
go_0015682_8	otsA//
go_0015684_9	abgB//ubiH//accA//rihC//
go_0015685_8	dkgB//glgB//
go_0015687_7	hemH//
go_0015688_6	hemA//hypF//
go_0015689_8	plsB//
go_0015691_9	rsuA//pgsA//
go_0015692_8	metF//
go_0015693_9	trpS//
go_0015696_6	pyrG//
go_0015698_7	aroA//
go_0015699_8	sucA//
go_0015700_8	queC//
go_0015706_6	wrbA//ppk//phnJ//
go_0015707_6	slt//yidA//dacA//rlmB//
go_0015709_6	entB//
go_0015710_8	fdhF//leuA//
go_0015712_7	aroK//
go_0015718_8	nrdB//
go_0015721_7	pykA//kdsA//alaC//
go_0015724_7	mepS//
go_0015726_8	aroA//
go_0015733_7	panE//
go_0015734_6	ychF//
go_0015736_9	hemB//
go_0015739_7	fumB//
go_0015740_9	narZ//dcd//allD//
go_0015741_10	trmH//cyaA//
go_0015747_6	hypB//
go_0015748_6	puuA//
go_0015749_7	thiD//hcaE//yjjG//pgk//rsgA//yeaG//appA//
go_0015751_9	katG//cmk//
go_0015752_9	ascB//asd//
go_0015753_9	ubiD//thrS//
go_0015754_9	pphA//
go_0015755_9	gcl//coaE//ulaE//
go_0015756_9	ravA//amiD//
go_0015757_9	deoD//xdhB//lgoD//otsB//
go_0015760_8	hisB//
go_0015761_9	rbsD//
go_0015762_9	chbG//
go_0015764_7	bglA//ychF//kefF//
go_0015765_8	nadE//otsB//
go_0015767_9	gluQ//aldA//tdcE//
go_0015768_9	betA//putA//lpxT//
go_0015769_9	thrS//
go_0015771_9	hemB//yhdH//gshA//
go_0015772_7	fabZ//ubiA//waaP//
go_0015774_7	hemL//
go_0015778_7	srlD//
go_0015793_7	eutB//purL//
go_0015794_7	miaB//purC//
go_0015795_7	citE//tatD//
go_0015796_7	fumC//
go_0015797_7	yqjH//trpB//ampH//
go_0015803_7	mraY//rlmD//prs//
go_0015804_7	glxK//aceF//
go_0015806_6	gltB//
go_0015807_7	gmhB//rlmD//ydiF//oxc//recG//waaZ//
go_0015808_8	dapD//lpoA//
go_0015809_7	purN//
go_0015810_8	suhB//waaY//
go_0015811_7	gcl//surA//
go_0015813_6	mdh//relA//gpt//
go_0015814_7	nrdF//
go_0015816_6	gcvT//
go_0015817_7	hcaD//araA//
go_0015818_7	aroG//ubiG//
go_0015820_7	phnP//mutM//rsmH//ilvC//bioH//
go_0015821_7	edd//malQ//
go_0015822_7	pdxA//
go_0015823_7	waaF//thiE//hemF//aspA//hemN//
go_0015824_7	xylA//lplA//hemF//
go_0015825_8	fumB//
go_0015826_7	speF//cysS//tyrA//
go_0015827_7	tktA//umpG//adhE//
go_0015828_7	yfcF//bioH//
go_0015829_7	fabD//torZ//recR//
go_0015830_7	feaB//
go_0015833_6	kdsB//hemB//rlmC//nadD//dnaE//paaE//menC//mocA//ispH//paaG//
go_0015834_7	tesB//sdhB//
go_0015835_6	asnB//
go_0015836_7	cueO//argF//
go_0015839_7	mrcB//
go_0015846_6	pyrG//nrdB//
go_0015847_7	speB//tgt//thiI//aroC//patD//
go_0015848_7	waaZ//allD//
go_0015851_6	
go_0015853_8	yfiC//argI//
go_0015856_8	lpxM//
go_0015857_6	rluB//manA//
go_0015858_7	ychF//malP//hisA//
go_0015860_7	uvrB//gabD//
go_0015861_9	cheR//dcm//
go_0015862_9	accD//nagA//
go_0015863_8	pcm//
go_0015864_8	phnG//
go_0015871_6	orn//bfr//glcF//serC//
go_0015878_6	
go_0015879_9	frmB//
go_0015882_7	menC//
go_0015886_6	yfcG//uxuB//
go_0015887_7	gmhB//
go_0015888_6	opgE//
go_0015889_6	dam//sgbH//spoT//
go_0015891_6	cadA//
