# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	murF//
go_0006401_6	sodA//treF//waaS//pgaD//nagA//ahr//
go_0006402_7	prs//metG//pdxB//gph//caiD//clsA//menA//
go_0006412_6	torY//rsmH//rutB//dusC//glgP//
go_0006413_4	suhB//
go_0006414_6	
go_0006415_7	ispU//fabI//
go_0006417_7	dam//epmB//
go_0006418_7	yhdJ//rpe//ansA//serA//ldtD//rluA//ndh//ppiA//entB//menB//bglX//
go_0006419_8	fbaA//
go_0006420_8	rutB//
go_0006421_8	rlmF//
go_0006422_8	mhpC//
go_0006423_8	entE//
go_0006424_8	hchA//rsmJ//
go_0006425_8	ldhA//
go_0006427_8	gor//
go_0006428_8	phnP//
go_0006429_8	mhpA//
go_0006430_8	murC//truD//
go_0006431_8	ubiF//
go_0006432_8	metB//
go_0006433_8	ybhA//
go_0006434_8	abgA//
go_0006435_8	maa//
go_0006436_8	ogt//
go_0006437_8	dgoD//
go_0006438_8	phnI//
go_0006448_8	
go_0006450_4	citG//yqaB//acnB//gadA//ampH//ppiC//
go_0006457_3	kdsD//chbF//rhaM//rlmJ//purF//ghrB//ybjI//
go_0006458_4	
go_0006464_6	gpmA//phnO//pldB//sgbU//narY//araA//valS//prpD//
go_0006465_6	selA//rffH//menI//
go_0006468_7	bglX//
go_0006470_7	ruvB//lipB//abgB//rsmA//pncB//
go_0006473_8	udp//
go_0006474_6	rhaD//ghrB//gabD//
go_0006476_8	ada//
go_0006479_5	panC//torZ//trpC//ppiA//kdsD//gshB//
go_0006486_5	mrcB//
go_0006490_5	ndk//
go_0006508_5	gntK//fkpB//hemG//menE//ydiO//scpB//sseA//caiB//gor//mnmG//btuR//yhdJ//guaD//moeB//yqaB//sucB//lpd//uxaC//yccX//garK//alaS//bfr//surA//folE//mltC//nfsB//nadC//hemC//metL//acnB//dmsB//ftnA//napC//
go_0006515_7	cynS//sgbH//speG//dbpA//fadE//aceF//hcaB//
go_0006517_6	etk//slyD//
go_0006518_5	sodA//dxr//
go_0006523_8	sdaA//mhpC//
go_0006524_8	
go_0006526_8	yahK//dgkA//waaF//metL//waaL//trpC//poxB//
go_0006527_8	cysN//dhaM//psd//prpD//yqhD//
go_0006529_7	rluC//phnP//
go_0006530_7	lldD//ampH//fabD//pdxK//
go_0006531_7	narI//
go_0006532_8	pdeL//fkpA//ispH//
go_0006535_8	alkA//rluC//pabA//
go_0006537_8	etp//
go_0006538_8	rhaA//kefF//
go_0006541_7	pheA//sdaA//pepD//mdh//waaY//
go_0006542_8	dkgA//pabA//
go_0006543_8	
go_0006545_6	mazG//
go_0006546_6	amyA//pyrC//ilvB//
go_0006554_8	sgbU//avtA//rnt//
go_0006556_5	prpC//
go_0006559_6	cysE//
go_0006561_6	ubiE//glgP//
go_0006563_7	ilvE//
go_0006564_8	codA//mutS//galE//nadD//
go_0006565_8	araD//paaE//gutQ//tpiA//hflX//
go_0006566_7	hemH//
go_0006567_8	frdB//pinE//yfcF//ubiD//sdhD//polA//ilvE//
go_0006569_7	chbF//
go_0006571_7	metK//ampD//
go_0006593_7	rbn//
go_0006598_8	ribC//etk//ttdA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	mepS//aspC//
go_0006631_5	eutB//avtA//csdA//dosP//preT//
go_0006633_6	cysG//mltB//nrdB//rhaB//metH//rsmI//coaD//pck//clsC//purF//relA//
go_0006635_6	mgsA//yfiC//adk//acnA//yccX//dmsA//aroB//sdhA//pgpB//folX//rsmC//yeaG//
go_0006636_7	
go_0006637_5	kefF//tyrB//carA//speA//tdcE//
go_0006646_7	
go_0006650_6	
go_0006654_7	argG//
go_0006655_7	phnJ//recG//
go_0006725_4	opgB//
go_0006729_6	bioC//guaC//
go_0006730_4	trmH//folA//trpS//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	mdh//manA//pabC//argA//rluD//tyrA//lysS//ghrB//dhaM//rsgA//gmk//ycjU//
go_0006749_5	relA//xylA//
go_0006750_6	argI//frdB//
go_0006751_6	hemG//
go_0006757_5	glxR//
go_0006760_5	bioH//
go_0006761_7	cysS//
go_0006771_5	fabA//
go_0006772_6	citX//cobT//
go_0006777_5	codA//glxR//ghrB//rsmC//dut//
go_0006779_6	mrdA//gcvT//cysI//rihB//ruvB//
go_0006780_7	tdcE//
go_0006782_7	roxA//moaD//yagF//mcrB//
go_0006783_5	entB//rluB//katG//ampH//nanK//ispH//lipB//
go_0006790_4	oxc//malY//adhE//betB//tcdA//ligA//ydiO//speE//tdcE//rlmB//
go_0006791_2	hemL//truC//mepS//
go_0006793_4	polA//menC//
go_0006798_5	ubiH//
go_0006799_5	glxR//
go_0006801_5	speF//rfbC//ispF//
go_0006805_4	eptA//menB//rhaD//aceA//
go_0006807_3	garL//asd//ulaE//
go_0006808_4	icd//
go_0006810_4	glyA//lpxH//cadA//araD//tyrB//thrA//ilvH//yeaE//dcd//pfkA//bioH//orn//gph//gloB//xapA//melA//uxaA//thrC//pgaD//rfbD//epmA//mazG//dhaK//fucI//rhaB//yeaE//fes//proS//yqhD//speG//etp//galT//dgt//ldtA//fbaA//lysU//rffC//tgt//rfe//sdaA//dcyD//acnB//arsC//rluA//menE//citG//rfe//ydiF//ilvE//hflX//trmA//cmoB//entC//entE//bioF//torY//sodC//rihC//ahpC//purA//bioF//fadE//cysN//dapD//lsrG//ilvE//speB//waaZ//narG//argD//rlmL//alsK//yrfG//cyaA//bglB//mutT//glyS//
go_0006811_5	tilS//rsmE//phnI//galU//rbsD//yeaG//eno//yegS//caiB//gatY//guaC//
go_0006812_6	ispU//solA//
go_0006813_8	fruK//ftnA//ung//sdhD//rpiB//cobC//rluE//guaB//
go_0006814_8	sodB//araD//yjjG//acs//
go_0006817_8	fabD//
go_0006820_6	tgt//gpt//pphA//bcsA//orn//
go_0006821_8	metB//
go_0006824_8	recJ//yfiC//dgt//eda//
go_0006825_9	kbaZ//
go_0006826_9	iscS//
go_0006828_9	pheS//
go_0006829_9	yihV//alsK//glpB//rpiA//rrrD//
go_0006833_6	
go_0006835_8	tdcB//fruK//
go_0006847_8	kdsB//
go_0006855_6	gluQ//lgoD//gloA//nagB//eutB//hisB//fcl//galM//kdsD//folA//deoD//cobS//ubiA//hypF//
go_0006857_7	ldtB//nanK//uxaC//
go_0006863_7	lpoA//
go_0006865_6	ldcA//adhE//galT//tdcB//glyA//glcD//yfeX//fklB//yciV//speE//frdB//galT//fkpB//glnE//lsrK//fadE//rfaE//mutM//ampD//tag//adeD//
go_0006868_7	hisF//
go_0006869_6	purT//
go_0006874_8	
go_0006876_8	yihS//
go_0006878_9	fbp//
go_0006879_9	hisF//yihS//
go_0006880_4	ddlB//purT//
go_0006882_8	kdsA//
go_0006883_8	mnaT//mltC//galT//
go_0006884_4	
go_0006885_9	ddlB//
go_0006886_5	
go_0006928_3	ansA//
go_0006935_4	hemD//pgi//fklB//rnt//ispU//
go_0006970_4	dgt//ruvC//mutL//aspC//ahpC//wecB//
go_0006972_5	glgB//murC//yjjG//nrfD//astB//
go_0006974_5	mutT//dcyD//lpxP//nrfA//gcvH//thrC//thrC//codA//yahK//pagP//plsC//tag//tsaD//deoA//rlmE//frlC//pabA//trmJ//cpdA//codA//idnD//queA//rlmI//pyrB//opgE//bioF//glpC//trmJ//nfi//curA//waaU//ung//hpt//glyA//rutD//bioD//sufS//yhdH//fabA//asnS//pepD//adk//phnO//frlC//ldtA//folX//hemB//rlmA//epmA//proC//gpt//recJ//nhoA//ycaO//torC//tag//deoD//gldA//pyrG//cysC//hisS//roxA//fabB//trpC//mutL//sdaB//ruvB//hemL//thiD//wrbA//ttdB//cysD//accA//garL//guaA//fabB//yjjX//nfsB//paaJ//folE//mcrA//rbsK//speC//hisA//rbsK//aspC//uvrB//gpmA//yihX//tag//katG//cdd//cueO//coaE//cfa//
go_0006979_4	dosP//thiG//btuE//rsmA//uxaA//truB//paaB//gltX//mnmE//yfiC//dkgB//acpH//ruvA//ung//glcE//truC//rlmI//cysM//xylB//argH//nadB//fadA//rnt//thiH//cysK//nirB//
go_0006986_5	hemE//
go_0006995_6	araB//hcaF//
go_0007059_3	menB//gpt//
go_0007062_4	
go_0007155_3	pdxJ//
go_0007165_3	clsC//nagA//
go_0007234_5	
go_0007584_4	
go_0008033_9	nrdF//uvrA//paaK//tmcA//lpxB//glmU//gloA//cynS//
go_0008104_4	
go_0008152_2	yqhD//folC//dmsC//putA//serS//wcaJ//wecB//glgB//menF//ldhA//nadA//yhdH//rsmB//mhpC//dusC//dgoA//hcaC//
go_0008156_8	
go_0008219_3	
go_0008272_6	cheR//rluB//
go_0008295_6	uxuB//pgpC//entB//
go_0008299_5	cobC//
go_0008360_4	ilvB//ldtB//rbsD//yqjH//idi//betA//nudB//fucK//metC//maeA//rnd//
go_0008610_5	yjhH//thiI//hemE//dhaL//
go_0008615_6	paaB//ndk//gcl//yccX//rpe//eutB//rutD//
go_0008616_8	ymdB//folD//glpA//lpxD//metL//cpdB//
go_0008643_6	mcrB//rutD//lpoA//gltX//ubiG//dusC//frdC//fucI//carA//dgt//mtlD//otsB//glyS//pdxJ//pheT//sucB//rsgA//accB//
go_0008652_5	ynfF//xthA//rsmF//scpC//yeaE//araA//rpiB//udk//
go_0008653_5	
go_0008654_5	birA//galU//rhaD//glgB//
go_0009050_6	trmD//ilvI//
go_0009052_6	bacA//mltC//tadA//waaY//frlB//deoA//
go_0009056_3	clsB//
go_0009058_3	pdeL//phoA//speC//ttdB//
go_0009060_6	ruvB//argF//cpdA//ldcC//dcd//sbcB//ynfH//
go_0009061_6	trpB//eno//ilvC//rlmM//yeaE//glcB//pyrH//queF//upp//dacA//fre//nrfD//mnmE//narY//pfkB//argA//gcvH//pdxJ//upp//umuD//hyaC//
go_0009062_6	kdsC//
go_0009063_5	eutB//solA//thrA//
go_0009070_7	entC//
go_0009073_6	ribA//rph//menA//proA//ansB//queF//bioA//tktB//dgt//mltF//aceB//
go_0009081_5	trpB//lplA//
go_0009082_6	glxR//mltD//cobB//recO//leuS//oxc//lpxP//
go_0009085_8	thiI//
go_0009086_7	hflX//abgB//umuD//gloA//rsmG//
go_0009088_8	sseA//avtA//
go_0009089_6	citG//argE//galK//gudD//adhE//panD//
go_0009090_8	waaU//hinT//yfiC//glyA//
go_0009092_7	allB//
go_0009093_7	
go_0009094_6	rbn//alaC//entE//
go_0009097_7	xylB//ldtC//pcm//paaJ//ndh//
go_0009098_7	folE//ppc//rnd//menF//fruK//dam//
go_0009099_7	ascB//rluD//adhP//gor//glpD//eno//hisI//
go_0009102_6	fabH//rsmC//speB//glpB//panC//cfa//rfbD//gabD//eda//
go_0009103_6	ispG//accA//dgcM//caiD//wzc//yfeX//entC//sodB//patD//
go_0009106_5	glgB//
go_0009107_6	hemF//paaJ//
go_0009108_6	xdhB//
go_0009116_5	rfe//lipB//
go_0009142_7	gluQ//
go_0009143_7	rpiA//
go_0009152_8	menI//
go_0009157_8	uxaA//
go_0009166_7	sthA//insI-2//
go_0009168_9	ghrB//
go_0009220_8	rfe//phnM//
go_0009224_9	ribD//
go_0009226_6	arnT//rlmC//
go_0009228_7	proA//pheA//aroK//prpD//lpxD//aroH//yfiC//waaB//guaD//
go_0009229_6	abgA//rsmC//
go_0009231_6	pgl//ung//clsB//pgaD//mutM//nudG//metE//
go_0009234_7	argB//adeD//queG//recR//rpiA//ppk//bglX//rfe//pgpB//
go_0009236_6	glcB//sodB//menA//yagE//ribD//nagZ//
go_0009237_4	gloB//lacZ//
go_0009239_6	ltaE//pdxK//accC//yghU//yihU//agp//torC//apaH//
go_0009240_6	waaP//
go_0009242_6	sufS//speC//cysD//cysC//deoA//lsrK//ubiD//waaB//
go_0009243_7	nfsB//
go_0009244_7	glpD//ada//ribD//carA//nagK//aroC//sdhD//rsmC//hchA//rihA//sgbH//queG//tsaB//appA//putA//rsmD//nadC//thiH//glpA//araA//deoB//rffM//
go_0009245_6	gadB//metK//puuA//astC//galT//lpxL//fadD//waaS//trmL//
go_0009246_6	gluQ//metH//queA//polB//aroD//murF//
go_0009249_6	ygjK//ribC//ubiA//
go_0009250_7	
go_0009251_7	gloC//
go_0009252_7	fabG//kdsA//add//yciV//pdeR//glmU//mcrA//cmk//garD//tmcA//fadH//kdsA//hemL//treC//trpD//nudC//nadA//waaJ//sufS//fabH//pgi//puuD//hemG//dld//mepS//
go_0009253_8	acpS//entA//hcaC//phnG//fabA//pagP//pdeH//cof//rpe//trmA//
go_0009254_8	ung//menH//yfcF//tdcG//fdhF//rsmD//paaK//epmB//dacC//yqhD//gatD//
go_0009257_8	murG//rsmC//pyrD//tehB//
go_0009263_6	argB//frdC//
go_0009264_6	pykA//malQ//
go_0009265_7	trmI//
go_0009266_4	hcaC//lysC//ubiC//pdxB//queG//wecB//
go_0009267_5	nadB//mltC//
go_0009268_4	pdxJ//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	gldA//
go_0009297_6	
go_0009298_7	nudB//trmA//hinT//
go_0009305_7	ribC//
go_0009306_4	
go_0009311_5	
go_0009314_4	dkgB//kefF//folE//bacA//xylB//metL//pgpB//ldtC//hyaA//frdB//glxK//ilvA//panE//phnJ//murQ//paaC//ppc//
go_0009372_5	glpA//ubiA//rlmF//
go_0009396_6	glpX//pfkA//
go_0009398_7	hemE//
go_0009401_7	accC//rlmM//kdsD//glgC//wecB//hemE//entC//ldcA//serA//gpp//nudG//fcl//ilvI//rsgA//rimK//argS//torC//mltC//sodA//tgt//
go_0009403_5	
go_0009405_4	
go_0009407_3	aphA//
go_0009408_4	ruvA//ispB//sucC//fabA//ruvC//argA//cfa//yjcS//mrdA//gudD//guaD//pnp//dmsB//coaD//chbF//dgcM//frc//purA//ahpC//gpt//truB//rluA//fabD//glcF//nadB//rlmD//
go_0009409_4	ilvH//ubiG//
go_0009410_4	yihU//
go_0009411_6	valS//ybhA//hisH//yjjG//gcvT//pykA//guaD//gcd//dcyD//
go_0009416_5	leuS//yfcG//
go_0009423_8	dgt//hcaB//idnO//rlmC//
go_0009432_5	hemE//serC//purD//malY//astB//
go_0009435_9	recF//cfa//nemA//rlmC//appA//
go_0009436_6	fbp//ruvA//waaY//mhpC//
go_0009437_5	
go_0009438_5	
go_0009440_6	waaZ//cysM//cmoB//
go_0009442_7	speB//ilvH//yfiC//speG//folD//
go_0009443_5	araA//glmM//nhoA//
go_0009446_6	chbG//cobB//
go_0009447_6	xdhB//mtgA//pagP//mnaT//pyrF//tdcB//cysG//gloB//
go_0009450_6	rlmC//dapF//pgpA//proC//
go_0009451_6	cysS//puuA//mutT//accC//
go_0009593_4	
go_0009597_5	
go_0009636_4	idnO//glmM//ygjK//wzb//guaB//
go_0009637_6	
go_0009651_5	
go_0009697_5	hcaB//
go_0009758_2	plsB//
go_0009785_5	
go_0009970_6	aceF//pabC//gatD//
go_0009972_10	adk//
go_0009992_5	menC//rluA//ribF//
go_0010033_4	
go_0010038_5	
go_0010039_6	gdhA//
go_0010041_7	waaQ//rffC//
go_0010042_6	fbp//
go_0010043_6	rluA//yajO//
go_0010045_6	trpD//
go_0010106_6	
go_0010124_4	mltC//dnaE//rlmF//rsuA//gpt//dfp//tgt//queA//
go_0010133_7	zwf//
go_0010139_7	tsaD//
go_0010165_6	pck//cobU//ynfE//pdxJ//waaG//polA//yqhD//pheT//
go_0010212_5	ubiG//
go_0010226_6	gatZ//
go_0010243_5	
go_0010272_6	pncB//
go_0010273_4	gltX//rfaE//trmI//
go_0010312_3	moaE//
go_0010332_6	
go_0010350_6	
go_0010438_6	moeB//oxc//
go_0010447_5	araD//rsuA//
go_0010468_6	mdh//
go_0010498_6	gph//ydiO//metB//patA//
go_0010501_7	tatD//fadH//
go_0010557_7	
go_0010608_7	hcaD//
go_0010628_7	
go_0010629_7	prmB//
go_0010676_7	
go_0010699_4	idnO//rne//
go_0010810_5	
go_0010876_4	
go_0010911_5	
go_0010921_6	
go_0010951_8	
go_0010967_6	
go_0010974_7	
go_0012501_4	
go_0014070_5	fucO//fucO//wzc//mcrB//metH//mltB//manA//thiI//surA//
go_0015031_5	yfeW//speB//ymdB//hemC//argF//hisG//mutS//truD//
go_0015074_6	
go_0015628_5	
go_0015670_6	nirD//
go_0015673_9	tktB//
go_0015675_9	mtgA//
go_0015679_10	hisG//
go_0015682_8	wecB//
go_0015684_9	nrdE//fucK//dmsB//rnpA//
go_0015685_8	idnK//glmU//
go_0015687_7	glmS//
go_0015688_6	tynA//mraY//
go_0015689_8	speE//
go_0015691_9	murE//cynT//
go_0015692_8	murG//
go_0015693_9	dfp//
go_0015696_6	pgi//
go_0015698_7	lpcA//
go_0015699_8	yjcS//
go_0015700_8	ilvN//
go_0015706_6	rnt//thiL//malY//
go_0015707_6	recJ//recJ//ascB//ahpC//
go_0015709_6	uvrB//
go_0015710_8	ispB//astB//
go_0015712_7	paaG//
go_0015718_8	insI-1//
go_0015721_7	cpdB//prpB//tehB//
go_0015724_7	eda//
go_0015726_8	mazG//
go_0015733_7	tehB//
go_0015734_6	moaD//
go_0015736_9	spoT//
go_0015739_7	hisF//
go_0015740_9	pgaD//glpB//cmoB//
go_0015741_10	gatD//lplA//
go_0015747_6	kduI//
go_0015748_6	dmsA//
go_0015749_7	fabH//rlmM//speB//tyrS//pdxB//waaU//torA//
go_0015751_9	trmO//xapA//
go_0015752_9	rsgA//ubiE//
go_0015753_9	manA//ppc//
go_0015754_9	epmC//
go_0015755_9	ttdB//suhB//sdhA//
go_0015756_9	ulaG//rlmE//
go_0015757_9	gloA//hemC//polB//cysE//
go_0015760_8	ftnA//
go_0015761_9	eptA//
go_0015762_9	yeaG//
go_0015764_7	prs//fadK//umpH//
go_0015765_8	rutB//hypF//
go_0015767_9	ruvB//hemN//rsmF//
go_0015768_9	ghrB//rsmH//lsrK//
go_0015769_9	iaaA//
go_0015771_9	gluQ//scpC//sodC//
go_0015772_7	idnO//tadA//waaL//
go_0015774_7	yihS//
go_0015778_7	queG//
go_0015793_7	nagB//serC//
go_0015794_7	rutD//purN//
go_0015795_7	pdeL//mrdA//
go_0015796_7	def//
go_0015797_7	yeaG//gcl//murD//
go_0015803_7	pabA//cysD//ulaE//
go_0015804_7	fkpA//ulaD//
go_0015806_6	lsrK//
go_0015807_7	rnpA//selA//solA//dusB//mgsA//glmM//
go_0015808_8	queA//narI//
go_0015809_7	prmB//
go_0015810_8	rpiA//gshA//
go_0015811_7	rutE//etp//
go_0015813_6	gcvP//paaH//nfsB//
go_0015814_7	lpd//
go_0015816_6	hypB//
go_0015817_7	treF//dxs//
go_0015818_7	paaF//wzb//
go_0015820_7	citC//recG//cdd//dkgA//entB//
go_0015821_7	purN//astC//
go_0015822_7	rlmB//
go_0015823_7	chbG//mpaA//glnA//fcl//nrdB//
go_0015824_7	hpt//sdhD//wrbA//
go_0015825_8	pgpA//
go_0015826_7	lpd//nadC//slyD//
go_0015827_7	frdD//ltaE//mug//
go_0015828_7	dam//aceF//
go_0015829_7	fadJ//ynfF//rpe//
go_0015830_7	sodB//
go_0015833_6	metC//avtA//chbF//xdhB//nudC//yeiG//dgoA//cdsA//glpK//nagK//
go_0015834_7	pdeF//srlD//
go_0015835_6	epd//
go_0015836_7	entE//ldtE//
go_0015839_7	ldtE//
go_0015846_6	ynfE//waaU//
go_0015847_7	thiC//rhaD//thiH//panC//tpiA//
go_0015848_7	yihX//alaS//
go_0015851_6	
go_0015853_8	ycjU//rffH//
go_0015856_8	sseA//
go_0015857_6	puuA//rlmC//
go_0015858_7	rsgA//miaA//uidA//
go_0015860_7	ispG//mog//
go_0015861_9	trmJ//der//
go_0015862_9	aspS//tatD//
go_0015863_8	slt//
go_0015864_8	yajO//
go_0015871_6	cheR//yeiG//paaG//curA//
go_0015878_6	
go_0015879_9	glnS//
go_0015882_7	umuD//
go_0015886_6	yeaE//pgaC//
go_0015887_7	birA//
go_0015888_6	preT//
go_0015889_6	rfbB//rbsK//hcp//
go_0015891_6	uvrA//
