# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Sat Nov 24 05:21:30 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10029	ada	RXN-17824//RXN-17823//2.1.1.63-RXN//
EG10583	metC	RXN-15129//CYSTATHIONINE-BETA-LYASE-RXN//LCYSDESULF-RXN//RXN-15131//
EG10585	metF	1.5.1.20-RXN//
EG10630	nadA	QUINOLINATE-SYNTHA-RXN//
EG10631	nadB	L-ASPARTATE-OXID-RXN//RXN-9772//
EG10691	pdxA	RXN-13179//
EG10695	pepD	RXN0-6981//
EG10699	pfkA	RXN0-6541//6PFRUCTPHOS-RXN//
EG10702	pgi	PGLUCISOM-RXN//
EG10709	pheS	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10710	pheT	PHENYLALANINE--TRNA-LIGASE-RXN//
EG10716	phnG	RXN0-6732//RXN-17954//
EG10717	phnH	RXN0-6732//RXN-17954//
EG10718	phnI	RXN0-6732//RXN-17954//
EG10719	phnJ	RXN-17956//RXN0-6734//
EG10721	phnL	RXN0-6732//RXN-17954//
EG10722	phnM	RXN-17955//RXN0-6733//
EG10723	phnN	RXN0-1401//
EG10724	phnO	RXN0-7014//RXN-17962//RXN-17961//RXN-17960//
EG10725	phnP	RXN0-6710//
EG10727	phoA	RXN-14025//RXN-14142//RXN0-5185//RXN-14161//RXN-15312//RXN0-7250//RXN-14090//SUGAR-PHOSPHATASE-RXN//RXN-5647//GPH-RXN//SORBITOL-6-PHOSPHATASE-RXN//RXN-14505//3.1.3.68-RXN//MANNITOL-1-PHOSPHATASE-RXN//PHOSPHOAMIDASE-RXN//RXN-17725//RXN-14511//RXN0-5114//PHOSPHOGLYCERATE-PHOSPHATASE-RXN//GLUCOSE-6-PHOSPHATASE-RXN//RXN-14514//TRIPHOSPHATASE-RXN//RXN0-5187//RXN-7948//RXN0-7249//HISTIDPHOS-RXN//GLYCEROL-2-PHOSPHATASE-RXN//INORGPYROPHOSPHAT-RXN//AMP-DEPHOSPHORYLATION-RXN//RXN-17724//RXN-14510//RXN-17745//RXN-7607//GLUCOSE-1-PHOSPHAT-RXN//RXN-14513//RXN0-5292//F16BDEPHOS-RXN//RXN-14026//RXN0-5186//RXN-14181//RXN-14483//RXN-17330//RXN0-7251//3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN//RXN-5822//RXN-14115//RXN66-526//RXN-14509//3.1.3.74-RXN//PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN//ALKAPHOSPHA-RXN//RXN-14126//RXN-14512//4-NITROPHENYLPHOSPHATASE-RXN//
EG10736	phr	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN//RXN-19025//RXN-19026//
EG10746	polA	DNA-DIRECTED-DNA-POLYMERASE-RXN//RXN0-4961//
EG10747	polB	DNA-DIRECTED-DNA-POLYMERASE-RXN//RXN0-4961//
EG10756	ppc	PEPCARBOX-RXN//
EG10759	ppsA	PEPSYNTH-RXN//
EG10774	prs	PRPPSYN-RXN//
EG10775	psd	PHOSPHASERDECARB-RXN//
EG10791	purC	SAICARSYN-RXN//
EG10793	purE	RXN0-743//
EG10794	purF	PRPPAMIDOTRANS-RXN//
EG10796	purK	RXN0-742//
EG10797	purL	FGAMSYN-RXN//
EG10804	pykF	PEPDEPHOS-RXN//
EG10812	queA	RXN0-1342//
EG10824	recB	RXN-11135//
EG10826	recD	RXN-11135//
EG10840	rfe	GLCNACPTRANS-RXN//
EG10927	sbcC	RXN-17307//
EG10930	sdaA	4.3.1.17-RXN//RXN-15125//
EG10950	slt	RXN-17392//RXN-17391//RXN0-5190//
EG10959	speA	ARGDECARBOX-RXN//
EG10960	speB	AGMATIN-RXN//
EG10961	speC	ORNDECARBOX-RXN//
EG10993	tdh	THREODEHYD-RXN//RXN-14249//
EG11001	thrS	THREONINE--TRNA-LIGASE-RXN//
EG11015	tpiA	TRIOSEPISOMERIZATION-RXN//
EG11022	trmA	TRNA-URACIL-5--METHYLTRANSFERASE-RXN//
EG11023	trmD	RXN-12458//
EG11024	trpA	TRYPSYN-RXN//RXN0-2382//RXN0-2381//RXN0-2381//
EG11025	trpB	TRYPSYN-RXN//RXN0-2382//RXN0-2382//RXN0-2381//
EG11026	trpC	IGPSYN-RXN//PRAISOM-RXN//
EG11027	trpD	ANTHRANSYN-RXN//PRTRANS-RXN//
EG11028	trpE	ANTHRANSYN-RXN//
EG11039	tyrA	PREPHENATEDEHYDROG-RXN//CHORISMATEMUT-RXN//
EG11040	tyrB	2.6.1.57-RXN//TYROSINE-AMINOTRANSFERASE-RXN//BRANCHED-CHAINAMINOTRANSFERLEU-RXN//PHEAMINOTRANS-RXN//
EG11044	ubiX	RXN-16937//
EG11056	umuC	DNA-DIRECTED-DNA-POLYMERASE-RXN//
EG11057	umuD	DNA-DIRECTED-DNA-POLYMERASE-RXN//
EG11058	ung	RXN0-2584//
EG11062	uvrB	RXN0-2621//
EG11063	uvrC	RXN0-2621//
EG11094	sbcD	RXN-17307//
EG11143	ubiG	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN//DHHB-METHYLTRANSFER-RXN//
EG11168	ttdA	LTARTDEHYDRA-RXN//
EG11169	ttdB	LTARTDEHYDRA-RXN//
EG11198	glmU	2.3.1.157-RXN//NAG1P-URIDYLTRANS-RXN//
EG11204	murI	GLUTRACE-RXN//
EG11222	alkA	3.2.2.21-RXN//
EG11223	argH	ARGSUCCINLYA-RXN//
EG11226	leuA	2-ISOPROPYLMALATESYN-RXN//
EG11237	chiA	3.2.1.14-RXN//
EG11253	ldtD	RXN-16660//RXN0-5402//RXN-16665//RXN-16664//
EG11257	dgcC	RXN0-5359//
EG11286	argE	ACETYLORNDEACET-RXN//
EG11289	preA	RXN0-6565//DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN//
EG11314	purB	AICARSYN-RXN//AMPSYN-RXN//
EG11317	fabD	MALONYL-COA-ACP-TRANSACYL-RXN//
EG11318	fabG	RXN-9524//RXN0-2142//3-OXOACYL-ACP-REDUCT-RXN//RXN-10659//RXN-9528//RXN-11480//RXN-10655//RXN-9514//RXN-11476//RXN-9532//RXN-9536//RXN-9540//RXN-9518//RXN-9556//
EG11331	ribA	GTP-CYCLOHYDRO-II-RXN//
EG11332	upp	URACIL-PRIBOSYLTRANS-RXN//
EG11371	pgpC	PGPPHOSPHA-RXN//
EG11372	tadA	RXN0-1081//
EG11373	mltF	RXN-17391//RXN0-5190//
EG11375	folE	GTP-CYCLOHYDRO-I-RXN//
EG11404	ychF	ATPASE-RXN//
EG11451	wecB	UDPGLCNACEPIM-RXN//
EG11452	wecC	UDPMANNACADEHYDROG-RXN//
EG11453	rffG	DTDPGLUCDEHYDRAT-RXN//
EG11454	rffH	DTDPGLUCOSEPP-RXN//
EG11455	rffC	TDPFUCACTRANS-RXN//
EG11456	wecE	RFFTRANS-RXN//
EG11458	rffM	UDPMANACATRANS-RXN//
EG11528	fabI	RXN-11478//RXN-9658//RXN-9661//RXN-9558//RXN-9657//RXN-9660//RXN-9663//ENOYL-ACP-REDUCT-NADH-RXN//RXN0-2145//RXN-10661//RXN-9659//RXN-11482//RXN-9662//RXN-10657//
EG11540	wrbA	RXN0-5330//
EG11546	nadC	QUINOPRIBOTRANS-RXN//
EG11575	leuD	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11576	leuC	RXN-8991//RXN-13163//3-ISOPROPYLMALISOM-RXN//
EG11577	leuB	3-ISOPROPYLMALDEHYDROG-RXN//RXN-13158//
EG11583	gcl	GLYOCARBOLIG-RXN//
EG11647	accA	RXN0-5055//
EG11648	dkgB	RXN0-5141//RXN0-4281//RXN0-7020//
EG11665	bacA	RXN-11776//UNDECAPRENYL-DIPHOSPHATASE-RXN//
EG11692	adeD	CATAL-RXN//ADENINE-DEAMINASE-RXN//
EG11699	gpmA	RXN-15509//RXN-15512//RXN-15511//RXN-15510//RXN-15513//
EG11731	ravA	ATPASE-RXN//
EG11797	talA	TRANSALDOL-RXN//
EG11823	amiA	RXN-16938//
EG11827	rpiB	RXN0-303//RIB5PISOM-RXN//
EG11831	srkA	PROTEIN-KINASE-RXN//
EG11884	tehB	RXN0-6576//
EG11957	alsE	RXN0-304//
EG12100	tktB	2TRANSKETO-RXN//1TRANSKETO-RXN//
EG12144	pgm	PHOSPHOGLUCMUT-RXN//
EG12167	cmoM	RXN0-7167//
EG12180	pagP	RXN0-1842//
EG12189	hemF	RXN0-1461//
EG12237	arsC	RXN-982//
EG12252	pdeH	RXN0-4181//
EG12258	bcsZ	RXN-2043//
EG12259	bcsB	CELLULOSE-SYNTHASE-UDP-FORMING-RXN//
EG12296	gpmM	3PGAREARR-RXN//
EG12318	cueO	RXN0-2943//RXN0-1483//RXN-17944//RXN0-2945//
EG12399	dhaM	2.7.1.121-RXN//
EG12522	garD	GALACTARDEHYDRA-RXN//
EG12712	luxS	RIBOSYLHOMOCYSTEINASE-RXN//
EG12768	kbaY	TAGAALDOL-RXN//
EG12880	dgcN	RXN0-5359//
EG12957	glk	GLUCOKIN-RXN//GLUCOSAMINE-KINASE-RXN//
EG13139	tynA	AMINEOXID-RXN//RXN-9597//AMACETOXID-RXN//AMINEPHEN-RXN//
EG13236	mngB	RXN0-5216//
EG20091	gpsA	GLYC3PDEHYDROGBIOSYN-RXN//
G6115	dinB	DNA-DIRECTED-DNA-POLYMERASE-RXN//
G6244	fadM	RXN0-5390//
G6261	glsA	GLUTAMIN-RXN//
G6275	allA	UREIDOGLYCOLATE-LYASE-RXN//
G6277	hyi	RXN0-305//
G6278	glxR	RXN0-5289//
G6281	allB	ALLANTOINASE-RXN//
G6283	glxK	GKI-RXN//
G6284	allE	URUR-RXN//
G6285	allC	ALLANTOATE-DEIMINASE-RXN//
G6286	allD	RXN0-7024//
G6439	ybjG	UNDECAPRENYL-DIPHOSPHATASE-RXN//
G6571	ldtC	RXN-16665//RXN-16664//
G6626	dhaL	2.7.1.121-RXN//
G6627	dhaK	2.7.1.121-RXN//
G6661	ycjG	RXN0-5228//
G6662	mpaA	RXN0-961//
G6721	paaY	RXN0-7103//
G6751	ydcS	RXN1-42//
G6755	patD	AMINOBUTDEHYDROG-RXN//
G6967	yeaE	RXN0-4281//
G6969	yeaG	PROTEIN-KINASE-RXN//
G7055	hchA	RXN-17634//RXN-17630//GLYOXIII-RXN//RXN-17632//
G7105	wzc	2.7.10.1-RXN//
G7106	wzb	PROTEIN-TYROSINE-PHOSPHATASE-RXN//
G7129	fbaB	F16ALDOLASE-RXN//
G7145	preT	RXN0-6565//DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN//
G7184	alaA	ALANINE-AMINOTRANSFERASE-RXN//
G7234	yfdE	RXN0-7075//
G7236	oxc	OXALYL-COA-DECARBOXYLASE-RXN//
G7237	frc	RXN0-1382//
G7242	alaC	ALANINE-AMINOTRANSFERASE-RXN//
G7314	pdeF	RXN0-4181//
G7325	iscS	RXN0-308//RXN-14382//
G7334	hcaC	RXN-12072//HCAMULTI-RXN//
G7335	hcaB	PHENPRODIOLDEHYDROG-RXN//RXN-12071//
G7336	hcaD	RXN-12072//HCAMULTI-RXN//
G7350	patZ	RXN0-7160//
G7445	gudD	RXN0-5285//GLUCARDEHYDRA-RXN//
G7485	xdhA	RXN0-901//RXN-7682//
G7486	xdhB	RXN0-901//RXN-7682//
G7487	xdhC	RXN0-901//RXN-7682//
G7564	yqhD	RXN0-7154//ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN//RXN0-5141//RXN-14023//RXN-15744//RXN0-6487//RXN0-4281//RXN-15743//
G7565	dkgA	RXN0-1941//RXN0-7119//RXN0-4281//RXN0-7020//
G7800	rffT	FUC4NACTRANS-RXN//
G85	xapA	RXN0-7092//XANTHOSINEPHOSPHORY-RXN//INOPHOSPHOR-RXN//RXN0-5199//
M009	hcaE	RXN-12072//HCAMULTI-RXN//
M015	hcaF	RXN-12072//HCAMULTI-RXN//
RUVA	ruvA	3.1.22.4-RXN//
RUVB	ruvB	3.1.22.4-RXN//
