# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glpQ//mtlD//
CRP-cAMP_pos	lhgO//dkgB//fabZ//rbsK//hemL//purC//betA//metL//prpB//phnP//aceA//paaB//nrdD//pheT//metB//aroA//allC//lacZ//tktB//chbG//yfdE//gatZ//edd//phnJ//slt//nrdE//trpB//mltC//ackA//zwf//narH//purM//aspA//nanM//alaA//ilvM//ampD//cynT//ynfE//entC//frdD//metL//xdhA//ackA//gadB//ynfH//trpC//alkA//aroL//pta//gutQ//metE//prpC//pagP//aldB//moeA//kbl//hemA//bioC//xdhA//glnA//ampD//hyaC//ilvM//pgaC//mhpA//trmD//fumC//lysC//argF//cdd//ispE//napA//gatZ//melA//atoA//ubiC//pncB//tsaE//gltA//nanK//citD//moeA//xylB//sdhD//bcsA//phnO//cysN//mutY//ilvE//pheS//prpD//sdhB//sucA//sufS//xylB//gcvP//purF//fadJ//fumB//paaB//fadB//glpE//paaH//hflX//nrdE//caiC//glgP//pyrD//astC//preT//nrdD//napG//prs//allC//cheB//ilvC//lsrF//carA//slt//rutE//lhgO//citG//cdd//frdC//ilvI//lldD//gltB//bcsA//lsrK//paaK//ldtC//serC//ogt//yjeF//gdhA//glgP//xdhB//pdeF//napH//atoB//serA//glpD//caiC//uidA//glpD//glpC//nanA//metF//mhpF//hycF//entE//lsrG//citC//fadB//torC//pgaB//cheR//frdD//mhpC//fumA//dadA//ahpF//ilvB//entE//eda//metF//pncB//glgC//bioC//phnJ//hypF//ssuD//cheR//prpD//ulaD//atoB//gatZ//manA//puuB//araD//gcvT//napB//prs//garL//fucK//uxaA//cysI//ackA//cheR//rbsD//nirD//gadB//ilvH//tam//gatY//nrfB//uidA//yjeF//iscS//oxc//metE//dmsA//lysC//adhE//ynfF//glpQ//pnp//ubiG//astC//aroH//metK//xylB//glpB//tyrB//dmsB//ulaE//abgA//tadA//entB//miaA//ndh//pgaD//paaA//lacA//glgX//idnD//aroL//gntK//fadI//sucB//gcd//lsrG//torA//glpC//aceE//fadA//xapA//sucC//paaF//citD//ilvM//caiC//
ChbR-Monoacetylchitobiose-6P_neg	dmsA//phnJ//betA//
ChbR-Monoacetylchitobiose-6P_pos	rdoA//fucU//aspC//
CpxR-Phosphorylated_neg	cheB//aceF//nrdD//
CpxR-Phosphorylated_pos	ilvM//speA//ugpQ//nirD//rhaD//cysM//fadE//pgaC//dadX//folA//xdhB//ung//bioC//citG//phnM//cadA//astB//fadE//prmC//
CreB-Phosphorylated_neg	sdhC//
CreB-Phosphorylated_pos	fucA//fumA//
CueR-Ag_neg	rutB//sufS//
CueR-Ag_pos	uxuA//ynfF//
CueR-Cu+_neg	tyrB//fadH//
CueR-Cu+_pos	malY//ftnA//
CuerR-Au_neg	hmp//ynfE//
CuerR-Au_pos	kbaZ//puuA//
CusR-Pasp_pos	gnd//deoB//lpxD//
CynR-Cyanate_neg	
CynR-Cyanate_pos	bcsB//tdcB//murQ//
CysB-N-acetyl-L-serine_neg	sucD//manA//astC//
CysB-N-acetyl-L-serine_pos	dadX//acs//alaA//caiA//paaJ//fadH//speB//purM//sucA//aldB//chbF//entA//dgcZ//
CysB-O-acetyl-L-serine_neg	yfdE//edd//melA//
CysB-O-acetyl-L-serine_pos	ugpQ//upp//astE//hemA//glpK//uidA//polA//entH//lhgO//deoC//glcE//gcvP//acs//uxuA//
DcuR-Phosphorylated_pos	dmsC//fadH//paaG//bioC//
DnaA-ATP_neg	icd//talA//dadX//lsrK//ubiC//
DnaA-ATP_pos	tyrB//dadA//manA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	purF//uxaC//ftnA//nrfD//alkB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	puuB//astC//
EvgA-Phosphorylated_pos	napB//ilvB//pncB//entC//tauD//
FNR-Fe_neg	uidA//aceA//caiB//gdhA//xylA//bioD//rhaA//fadE//galM//dapD//lldD//ulaD//ackA//alaS//hmp//cdd//preT//galK//puuE//frdC//torA//phoA//fdhF//polA//glgA//moeB//mhpD//napH//ilvG_2//speB//bacA//fucO//kbaZ//malP//hypB//trmD//rbsD//moeA//pck//prpD//cueO//pagP//preT//sdhC//amn//aldA//bioC//
FNR-Fe_pos	prmC//ilvG_1//argF//yqjH//bcsB//sufS//fdhF//carB//hycG//yqjH//yeaE//zwf//pgk//hycF//ubiA//manA//sdhD//sdhD//hpt//sdhA//purL//uvrA//melA//upp//uxaA//atoA//lpxD//entE//bcsA//alaA//sucC//sodB//entE//entF//atoB//carB//phnL//nirB//galK//argD//sdhB//citF//aceF//mhpE//betB//icd//bioB//astC//cynS//nrdA//pflB//pflB//aspC//nirD//entB//manA//metB//puuE//moeB//mtlD//ilvH//trpE//glcD//paaK//fadI//bcsB//lsrG//paaC//bioB//napA//moaD//glgA//aroG//nrfA//ndh//cysN//cysC//deoD//tdcD//glpX//cyoE//hypB//ansB//narH//murQ//deoC//gabT//fumB//hycE//cyoE//uvrA//hyaA//
FhlA-Formate_pos	bioF//argE//fabZ//ubiC//sdhD//yqjH//fadB//
FucR-L-fuculose-1-phosphate_pos	gnd//fadE//uxaA//fucO//purM//deoC//
Fur-Fe2+_neg	edd//allE//xdhB//trpD//malZ//aceA//eda//xdhB//ulaE//avtA//glgX//gatY//aceB//sdhA//pheS//rhaB//galT//lhgO//caiB//glyA//gltD//cysG//prpE//thrS//gabT//miaA//aceA//alaA//gntK//uxaA//citD//hflX//fadD//napC//adhE//purH//glpD//uidA//ampD//dapB//sufS//paaZ//aroL//pheS//paaF//trpA//astA//yqjH//ubiC//yeaE//talA//ilvD//zwf//paaZ//mhpB//gabD//waaH//aceF//kbl//
Fur-Fe2+_pos	metF//fucO//allC//fadE//caiA//paaB//citF//paaG//ldtB//sodB//ahpF//prpE//gabT//allE//bglB//srlD//iscS//purC//glcB//thrS//
Fur-Mn2+_neg	ogt//acnA//cysN//bcsZ//phnG//ilvC//glgX//hycG//paaB//hycD//cysC//yfbR//purD//fbaA//slt//phnP//fbaA//carB//glcB//carA//glpA//ndh//araD//paaB//pgk//sdhD//trpA//bglB//mltC//caiC//ampD//psd//purD//puuA//napG//glgA//nrfD//argC//narG//astC//mdh//allD//lpxA//dmsC//galM//pta//pgaB//deoD//tauD//appA//fadA//chbG//aroH//bioF//pnp//polA//ubiC//fau//caiD//
Fur-Mn2+_pos	bioD//idnO//gadB//folA//argE//phnI//cysG//hycF//mhpA//hycD//fumB//argF//folE//ubiA//entE//fumB//aceE//cysD//idnK//cpdB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	zwf//gcvT//mutY//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	garK//cyoE//purL//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	lpxA//fadH//ilvG_1//
IdnR-5-ketogluconate_neg	hcp//glpB//
IdnR-5-ketogluconate_pos	citX//yfeW//polA//paaH//
IdnR-Idonate_neg	ugpQ//malY//
IdnR-Idonate_pos	hycC//abgA//garK//uxuA//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	entF//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	murQ//
IscR-2Fe_neg	puuE//ilvN//nirD//nrfB//edd//
IscR-2Fe_pos	murQ//torA//
LldR-L-lactate_neg	bioB//gabD//
LldR-L-lactate_pos	tadA//tadA//
Lrp-Leucine_neg	prmC//dapB//betB//edd//purA//metH//ilvC//rbsK//pheT//eda//entC//pyrC//aceA//napG//tam//katE//ilvM//xylB//betB//phoA//fadA//hypF//adhE//ada//
Lrp-Leucine_pos	yeaE//lsrK//purF//gdhA//fadA//rhaA//glcB//trpD//frc//mdh//bioC//lldD//entE//moaA//srlD//nrfB//idnK//sdhA//
LsrR_neg	rutB//trmD//narI//hypB//entB//
MalT-ADP-Maltotriose_pos	thrS//fadH//phoA//entF//argH//ubiG//
MalT-Maltotriose-ATP_pos	dmsA//cheR//aroL//paaB//psd//argA//
MelR-Melibiose_neg	fes//lysU//
MelR-Melibiose_pos	astD//pyrD//
MetJ-S-adenosylmethionine_neg	tdcB//ybjG//tdcD//fucI//hyaC//pheS//mltC//argG//nanM//ulaE//
MetR-L-homocysteine_neg	pdeF//
MetR-L-homocysteine_pos	puuA//ulaF//pta//gpmA//
MhpR-3-DHPP_pos	mtlD//yqjH//cueO//ynfH//acnA//nrdB//
MhpR-3HPP_pos	purD//tdh//sdhC//glyA//ilvD//yjeF//
MntR-Cd2+_neg	serA//
MntR-Cd2+_pos	gltD//
ModE-MoO42-_neg	aspA//chbG//mpl//pheT//argF//ilvB//uxaA//malY//
ModE-MoO42-_pos	yeaE//fumA//prpE//entA//idnO//hcp//
NarL-Phosphorylated_neg	paaC//puuB//ada//adhE//caiB//ampD//chbG//argD//lldD//ogt//aroF//ynfE//bacA//ilvD//ilvC//mutL//acnB//cpdB//sdaA//ppiA//torC//galE//purC//metC//
NarL-Phosphorylated_pos	cheR//nagB//pgpC//aroA//nrdF//araA//carA//slt//nrdE//phnO//argC//ynfG//moaA//guaA//pgk//
NarP-Phosphorylated_neg	rutC//fumB//ilvC//
NarP-Phosphorylated_pos	phnG//ilvA//pyrC//ugpQ//ubiC//feaB//gltA//tdcD//serA//malQ//
NhaR-Na+_pos	ilvA//ulaD//guaA//cysJ//
NikR-Cd2+_neg	paaZ//
NikR-Co2+_neg	lpd//
NikR-Cu2+_neg	fadD//
NikR-Ni2+_neg	ynfE//
NikR-Zn2+_neg	prpE//
NrdR-ATP_neg	dadA//purD//citX//xdhA//
NrdR-Zn2+_neg	nrfD//lsrF//ubiG//deoC//
NrdR-dATP_neg	udp//pgk//entF//puuC//
NsrR-2Fe_neg	citF//phnN//ilvG_1//avtA//entB//glgX//yfdE//lsrF//entH//astC//cysH//rnpB//nrfB//rutE//nrdE//ubiA//fucK//gcd//lysC//ynfF//ynfE//bcsB//mhpD//frdD//glgP//entD//hycE//argF//metE//umpH//
PhoB-Phosphorylated_neg	upp//ascB//tdcB//gcvT//lpxA//
PhoB-Phosphorylated_pos	aroA//acnA//ndh//guaA//entC//paaA//gntK//rhaD//tdcB//metA//pgaC//edd//phnG//citF//purB//malZ//hycB//
PhoP-Phosphorylated_neg	malQ//bioD//cysJ//
PhoP-Phosphorylated_pos	argB//glnA//pta//glpQ//folA//metE//hycE//metL//glpC//edd//cdd//trpA//fadD//lysA//sucB//fumB//tsaE//atoA//glgX//ubiG//ilvE//edd//paaZ//slt//mhpB//kbaZ//napH//prpD//hypB//rhaA//psd//argC//idnO//atoD//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	pta//ada//frdA//tktB//
PurR-Guanine_neg	bcsB//talA//lpxB//yqjH//phnO//ubiA//glyA//fucU//psd//nrdE//tdcB//alkA//gabT//pck//recF//pnp//glpA//abgB//ubiG//feaB//acnB//umpH//abgB//pgpC//argG//nrfC//paaA//
PurR-Hypoxanthine_neg	fau//yfbR//umpH//hmp//nirB//mhpA//codA//sodB//phnO//glpD//truB//citX//mpl//bioF//preT//tadA//puuC//hycB//paaZ//kbl//bioF//yeaE//hypB//aceF//trpD//fabZ//waaH//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	aspA//ynfE//hypF//
RstA-Phosphorylated_neg	iscS//cyoE//
RstA-Phosphorylated_pos	iscS//
SoxR-2Fe_neg	
SoxR-2Fe_pos	citE//aroG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	trpB//nirB//galE//
TrpR-Tryptophan_neg	glpD//ssuD//preT//hycB//ahpF//gpsA//paaF//deoB//prpB//
TyrR-L-tryptophan_neg	glpX//tyrB//allC//gcvP//astE//glpB//hflX//
TyrR-L-tryptophan_pos	ispE//prpD//paaA//
TyrR-Phenylalanine_neg	lysA//caiA//iscS//ilvA//paaG//ssuD//gutQ//
TyrR-Phenylalanine_pos	alkA//dmsB//phnN//
TyrR-Tyrosine_neg	lpxD//glgX//aroA//ubiX//glcE//speC//ugpQ//
TyrR-Tyrosine_pos	lysC//glnA//fucO//
UhpA-Phosphorylated_pos	guaA//
XapR-xanthosine_pos	prpC//paaB//
XylR-Xylose_pos	speA//uxuB//speA//
ZntR-Cd2+_pos	ssuD//
ZntR-Hg_pos	ftnA//
ZntR-Zn2+_pos	prpE//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	abgA//
