# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	sdhC//udp//
CpxR-Phosphorylated_pos	dapD//cysM//cysG//chbG//mutY//citG//nrdB//rbsD//galT//ilvE//paaG//glpA//frdA//phnG//preA//metC//dusB//lysA//xylA//
CreB-Phosphorylated_neg	yfbR//
CreB-Phosphorylated_pos	cyoE//aldA//
CueR-Ag_neg	fadD//patZ//
CueR-Ag_pos	folA//aceA//
CueR-Cu+_neg	purM//rhaA//
CueR-Cu+_pos	gcvP//cynT//
CuerR-Au_neg	xylA//ilvA//
CuerR-Au_pos	alaA//ampD//
CusR-Pasp_pos	fucA//atoD//uxaB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	ulaF//cysK//glcE//
CysB-N-acetyl-L-serine_neg	mhpB//gpsA//bioF//
CysB-N-acetyl-L-serine_pos	tsaE//ynfH//glcF//acnA//lacA//fadE//gcvP//caiD//cysM//mtlD//tdh//chbG//napH//
CysB-O-acetyl-L-serine_neg	gpsA//gntK//yfeW//
CysB-O-acetyl-L-serine_pos	glgB//truB//kbaZ//bioC//hemA//sdhA//gcvH//araD//dsdA//carA//frdC//galE//gntK//hycD//
DcuR-Phosphorylated_pos	narI//gcvP//pnp//mtlD//
DnaA-ATP_neg	argI//talA//puuC//lysA//rutD//
DnaA-ATP_pos	cyaA//ilvI//sdaA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sdhD//citD//frdD//betA//cysM//
DsdC-D-serine_neg	
DsdC-D-serine_pos	phnL//talA//
EvgA-Phosphorylated_pos	ftnA//folA//dadX//acnB//ulaE//
FNR-Fe_neg	tdcE//ilvE//upp//ada//hyaB//citE//cysD//trpB//hycE//ung//ilvB//acnB//prpD//fbaA//argD//ilvB//napH//aroF//dadA//fucO//malZ//ubiG//caiA//entD//ispE//astC//gatD//idnO//gutQ//malS//citC//ynfG//xylB//trmD//bcsZ//ulaE//entC//amn//moaA//betA//argF//allE//deoD//sdhB//malS//ilvM//melA//
FNR-Fe_pos	astA//fadH//galT//ahpC//umpH//eda//alaA//rhaD//serC//garL//pdeF//nanE//atoA//nrdF//prpD//gpmA//uxuB//phoA//mhpF//tsaE//dmsB//speA//paaF//gcd//nrdE//cysG//ldtB//cysG//miaA//sucB//lpd//fdhF//cheR//ubiA//tyrA//kbl//ampD//pgpC//ubiA//entD//eda//mhpD//umpH//lpxA//ftnA//idnK//pheT//glcF//sdhB//tdcE//sdaA//ybjG//nrdB//astB//cynT//moaA//nanE//pgaC//entC//lysA//entH//cheB//nadC//gatY//fucO//hemA//glcF//hypF//glcE//mutY//purK//tehB//xdhC//entE//phnO//atoA//prpE//torC//agp//acnA//pgk//deoB//metC//fbaA//sucA//lysA//entH//ubiX//ftnA//mhpC//murQ//prs//
FhlA-Formate_pos	manA//uidA//allD//fadA//polA//rhaA//ilvC//
FucR-L-fuculose-1-phosphate_pos	sodA//mtlD//astD//ulaF//frc//hemA//
Fur-Fe2+_neg	dmsA//uvrA//amn//cysC//cyaA//pncB//aldB//melA//uxuA//ulaD//araB//mhpC//dmsC//nrfC//ampD//fucA//pheT//bioA//abgA//cadA//cysC//xdhC//argC//gadB//ilvB//glpA//torA//dkgB//deoB//napC//aroL//chbF//fabZ//paaA//citX//mltC//ampD//bcsB//xdhA//dapB//cysM//glcE//galM//dnaE//tdcE//paaC//mhpD//pnp//ilvH//ndh//fabZ//gpsA//feaB//rutD//tehB//cysC//hycD//glgA//ugpQ//
Fur-Fe2+_pos	prpE//argB//dgcZ//dgcZ//amn//fucO//ackA//garR//phnN//cysJ//dusB//ahpF//prmC//nrdB//deoC//mltC//ilvE//gltD//zwf//phnG//
Fur-Mn2+_neg	speB//phnJ//bioC//fumA//glgP//paaG//gcvP//gabT//nrfA//prpE//speB//idnD//metL//citG//cysC//purF//alaA//pyrD//kbl//galE//argI//waaH//purM//hyaC//purH//talA//fucU//phnN//speA//trpA//paaZ//entA//phnP//gltB//tam//uxaC//rutE//patZ//uxaA//entC//citG//cysK//nirB//paaC//ascB//phnL//lhgO//bioA//caiA//citF//ssuE//sdhC//napA//phnH//udp//fau//fucU//bcsA//narG//
Fur-Mn2+_pos	sufS//phnP//sdhC//fdhF//metK//mltC//rutD//hcp//garL//nanE//aceB//prpE//srlD//dmsB//gnd//phnL//purA//ilvA//garL//ulaF//
GlcC-Acetate_neg	
GlcC-Acetate_pos	rnpB//acnB//carB//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	caiC//ppiA//pnp//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	ubiX//nrfD//talA//
IdnR-5-ketogluconate_neg	ilvE//citF//
IdnR-5-ketogluconate_pos	narI//aspC//deoA//xdhA//
IdnR-Idonate_neg	pheS//mutY//
IdnR-Idonate_pos	abgB//xdhA//fadH//umpH//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	moeA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	lpxA//
IscR-2Fe_neg	tyrB//hycF//cysG//ldtC//citE//
IscR-2Fe_pos	bglB//fabZ//
LldR-L-lactate_neg	argH//cpdB//
LldR-L-lactate_pos	paaH//napC//
Lrp-Leucine_neg	fumC//mhpA//cysN//gnd//xdhC//dmsB//ftnA//dmsA//entE//uxuA//araD//mdh//purC//trpA//ldtB//glpQ//glcD//rutA//nrfA//ilvD//lsrG//nrdA//idnO//ampD//
Lrp-Leucine_pos	alkA//chbF//paaB//ubiX//gdhA//tsaE//pagP//mhpA//purC//astD//ilvB//purE//ansB//purK//puuD//fucO//malY//pyrD//
LsrR_neg	nrfA//metB//rhaD//acnB//thrS//
MalT-ADP-Maltotriose_pos	ilvI//paaF//ynfF//trpD//narH//gatD//
MalT-Maltotriose-ATP_pos	prpD//murQ//lpd//cysI//hypF//glgP//
MelR-Melibiose_neg	pyrC//melA//
MelR-Melibiose_pos	ackA//fau//
MetJ-S-adenosylmethionine_neg	hemL//metH//adhE//nanM//sucB//puuC//napB//nrdB//allC//fucI//
MetR-L-homocysteine_neg	alkA//
MetR-L-homocysteine_pos	napH//mhpF//ftnA//glgX//
MhpR-3-DHPP_pos	aroA//lysA//lsrF//pck//argA//napC//
MhpR-3HPP_pos	fadA//frdD//puuD//paaA//nagA//gltD//
MntR-Cd2+_neg	dadA//
MntR-Cd2+_pos	gcvP//
ModE-MoO42-_neg	hycE//nanM//sdhC//fadJ//narG//trpB//pgk//srlD//
ModE-MoO42-_pos	narH//sufS//fadA//sdaA//paaF//ilvM//
NarL-Phosphorylated_neg	bioD//rutC//cadA//lpxD//glcD//sucD//pagP//bioB//tdcD//aldB//ahpC//aroL//purD//idnK//ulaE//hypB//fadA//alaS//fadA//glgA//prmC//bioB//phnH//trpD//
NarL-Phosphorylated_pos	avtA//puuC//metL//fbaA//cynT//amn//adhE//cpdB//preA//entA//phnP//waaH//hpt//frdB//nrdA//
NarP-Phosphorylated_neg	ulaD//xdhB//manA//
NarP-Phosphorylated_pos	atoD//uxaB//recF//chbG//garR//lpxD//gatY//kbaZ//ulaD//lhgO//
NhaR-Na+_pos	ispE//cdd//betA//aceB//
NikR-Cd2+_neg	ilvI//
NikR-Co2+_neg	nrfD//
NikR-Cu2+_neg	fadB//
NikR-Ni2+_neg	idnK//
NikR-Zn2+_neg	citC//
NrdR-ATP_neg	sodB//acs//glcD//ppiA//
NrdR-Zn2+_neg	purK//glpE//ldtB//paaH//
NrdR-dATP_neg	paaA//ftnA//hmp//torC//
NsrR-2Fe_neg	srlD//paaH//xylA//glpC//cysJ//aroG//frdC//pgaD//trpB//fumB//pheS//ubiC//gcvH//fabZ//galM//frdA//ulaD//lhgO//aroH//tyrA//serC//ybjG//mutL//narH//ilvM//lysC//sodA//lacA//tdcG//rutB//
PhoB-Phosphorylated_neg	citG//argA//gcvP//paaH//rhaD//
PhoB-Phosphorylated_pos	phnI//purB//gcvT//idnO//lhgO//glpE//amn//lsrF//ilvG_1//argI//tdcE//ugpQ//ssuD//pnp//malP//glcE//paaC//
PhoP-Phosphorylated_neg	sdhC//hycC//astA//
PhoP-Phosphorylated_pos	trmD//purC//patZ//trmD//avtA//nrfD//xdhC//codA//tyrA//ilvH//argC//aroG//narI//sufS//ubiG//araB//citC//paaB//fdhF//entF//rdoA//tdcG//sodA//astD//ubiG//ackA//cynS//galM//allD//preA//rdoA//ampD//gltA//narG//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	hflX//nanE//moeB//truB//
PurR-Guanine_neg	dusB//napB//tktB//ispE//cynS//recF//citE//metL//lpxB//nrdF//mpl//ilvH//frdB//cysI//pdeF//ppiA//oxc//fadD//hyaC//nrdB//paaB//cyoE//puuB//fabZ//folE//miaA//torC//
PurR-Hypoxanthine_neg	nanA//napC//glpD//fadJ//atoB//ilvM//aroA//yjeF//ilvI//frdD//cysJ//phnG//aceB//fdhF//trpB//ulaD//paaJ//ynfE//fadH//mhpC//tktB//xapA//trpC//alaS//argC//phnM//treC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	aldA//rbsD//phnN//
RstA-Phosphorylated_neg	fadJ//napC//
RstA-Phosphorylated_pos	galE//
SoxR-2Fe_neg	
SoxR-2Fe_pos	paaH//lsrK//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rutC//narH//lpxA//
TrpR-Tryptophan_neg	pgpC//mtlD//cysN//rdoA//guaA//glgC//lysU//ilvN//xdhC//
TyrR-L-tryptophan_neg	lpxA//glpD//edd//tauD//napH//alkB//fadH//
TyrR-L-tryptophan_pos	ybjG//gatD//rutB//
TyrR-Phenylalanine_neg	trpE//ascB//lpxA//allE//tyrA//glyA//ynfG//
TyrR-Phenylalanine_pos	gcvT//torC//nrfA//
TyrR-Tyrosine_neg	chbG//entF//nagB//mpl//cysD//mdh//puuC//
TyrR-Tyrosine_pos	ascB//puuE//iscS//
UhpA-Phosphorylated_pos	upp//
XapR-xanthosine_pos	puuC//mhpE//
XylR-Xylose_pos	frdB//feaB//sucA//
ZntR-Cd2+_pos	allE//
ZntR-Hg_pos	ftnA//
ZntR-Zn2+_pos	atoA//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	lsrF//
