# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fadA//argA//
NsrR-2Fe_neg	bglB//xdhC//cynT//feaB//dmsB//sdhA//sodA//astE//hyaA//gatD//ilvD//pgaD//fdhF//frdB//paaF//waaH//oxc//ilvE//ubiA//phnO//malQ//fadD//glpD//hypF//glnA//cysM//eda//iscS//argA//glgX//
PhoB-Phosphorylated_neg	tdcB//sdhD//hycE//kbl//eda//
PhoB-Phosphorylated_pos	lpxD//nrdB//yeaE//yqjH//paaF//alaS//tam//sodA//carB//ftnA//ilvN//alaS//cysC//argH//ansB//hycG//bacA//
PhoP-Phosphorylated_neg	fadI//xdhC//xdhA//
PhoP-Phosphorylated_pos	appA//ynfF//dapD//carA//ssuD//citX//nanE//hycD//trpC//argC//talA//idnD//appA//hycB//cdd//lysU//argE//mhpA//pgpC//atoB//cyoE//pgk//gcvP//mltC//cpdB//pgk//narG//tdcE//malY//uvrA//lldD//yeaE//pgaC//argC//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	dadX//paaB//nanK//lysA//
PurR-Guanine_neg	paaE//entB//glpA//trpC//agp//pgaC//ampD//citD//dmsC//ubiC//lysA//tnaA//gnd//gatZ//torA//prmC//sdhB//katE//srlD//hycG//phoA//cysC//ilvH//eda//paaF//astE//gdhA//
PurR-Hypoxanthine_neg	glcB//nrfD//paaE//nanE//ispE//sdhD//ascB//argA//entC//nrdB//katG//cueO//prpB//speC//tdcG//puuD//ada//atoD//oxc//ubiA//ogt//katE//tyrB//moaD//fes//frc//ampD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	fucK//ilvN//codA//
RstA-Phosphorylated_neg	edd//mhpB//
RstA-Phosphorylated_pos	ynfG//
SoxR-2Fe_neg	
SoxR-2Fe_pos	tauD//ssuD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	dgcZ//yfdE//metK//
TrpR-Tryptophan_neg	hypB//icd//purD//abgB//fucO//sodB//carA//uxaB//gapA//
TyrR-L-tryptophan_neg	araA//phnP//ldtC//frdA//rutE//kbl//rhaD//
TyrR-L-tryptophan_pos	prpC//cynT//cysC//
TyrR-Phenylalanine_neg	cysM//aroL//ybjG//cheR//mhpB//yeaE//idnD//
TyrR-Phenylalanine_pos	ldtB//aldA//acnB//
TyrR-Tyrosine_neg	gpmA//ulaD//uxuB//ogt//xylA//aroA//tdcD//
TyrR-Tyrosine_pos	aspC//bioD//bioF//
UhpA-Phosphorylated_pos	glpQ//
XapR-xanthosine_pos	aspC//gpmA//
XylR-Xylose_pos	metH//amn//bacA//
ZntR-Cd2+_pos	ilvH//
ZntR-Hg_pos	gcvT//
ZntR-Zn2+_pos	eda//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	chbG//
