# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glyA//rhaD//
CRP-cAMP_pos	chbF//codA//malP//phnI//metF//umpH//metE//garR//entD//mutL//trpA//amn//ynfH//paaF//bioA//narG//mpl//nrfD//malY//nrdE//ilvE//truB//bioC//narI//pheT//trpD//melA//codA//astE//phoA//atoD//nagB//moaE//rutB//gltA//fau//pncB//alkA//lpxB//frdC//paaZ//cysG//alaA//agp//frdD//phnH//rhaB//folE//glpC//gntK//tdcE//kbl//phnO//galE//allC//torC//lsrG//mhpE//astD//mutY//hypF//ubiX//glpC//hpt//trpD//pheS//moaD//dgcZ//uxuB//araB//gltD//hypB//aroG//metK//fadA//frdB//purE//citF//amn//cysC//purA//upp//fau//glcB//fadD//metL//glgA//astE//ubiA//malP//gcvT//nrfA//feaB//sdhA//deoB//rhaB//uxuB//lsrK//ilvM//ubiC//glgA//glgP//nirB//ogt//tam//atoB//gatY//uxaA//gcvH//sdhD//uxaB//dnaE//tdcG//nirD//araD//cpdB//gnd//tam//atoB//bioD//dadX//aroH//ulaD//chbG//xdhB//moaD//pck//katG//lysA//ilvM//paaH//ilvD//atoA//hemL//fabZ//pgaB//prmC//entB//garK//icd//glpX//trpD//astB//napA//sucB//hyaA//aspA//entE//fucA//hyaB//gcvH//purK//xdhC//zwf//sucC//speB//xylB//glgP//pyrC//phnO//cysG//prpD//glpA//glnA//frdA//acnB//tyrB//sucC//ilvN//mhpD//adhE//citE//trmD//iscS//entD//fadJ//tktB//ispE//ftnA//chbG//nrfD//aldB//argE//ynfF//narH//gnd//aceE//dgcZ//napC//pheS//gadB//speA//uvrA//katG//aldB//prpD//glgC//pgaB//rutC//moeB//sdhA//moeB//ulaF//fadJ//sucB//cysJ//fucO//gcvT//cadA//thrS//yeaE//fbaA//sdaA//mpl//metE//serC//gabT//trpE//torC//gltD//galK//preT//fucO//iscS//pyrD//nrdA//ilvB//napC//lpd//xdhC//aldB//katG//nirB//glgC//hyaA//fadA//hcp//frdB//paaB//mutY//kbl//rdoA//deoB//
ChbR-Monoacetylchitobiose-6P_neg	allD//ppiA//paaC//
ChbR-Monoacetylchitobiose-6P_pos	paaB//oxc//citC//
CpxR-Phosphorylated_neg	malZ//garL//dsdA//
CpxR-Phosphorylated_pos	glcE//glgB//atoB//amn//cysG//katG//iscS//cysN//pheT//napH//truB//paaI//tyrA//nrfA//idnD//bglB//hyaA//dkgB//ispE//
CreB-Phosphorylated_neg	waaH//
CreB-Phosphorylated_pos	mpl//gltB//
CueR-Ag_neg	codA//epd//
CueR-Ag_pos	glpC//phnP//
CueR-Cu+_neg	garR//adhE//
CueR-Cu+_pos	alaS//entB//
CuerR-Au_neg	malS//cdd//
CuerR-Au_pos	ispE//eda//
CusR-Pasp_pos	ogt//phoA//speA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	uxuB//gatD//nrfA//
CysB-N-acetyl-L-serine_neg	tyrB//ascB//metC//
CysB-N-acetyl-L-serine_pos	frdA//glcF//pyrC//aroA//astD//polA//pncB//glpB//ogt//cysG//cyaA//citG//rnpB//
CysB-O-acetyl-L-serine_neg	ynfG//ssuD//hemA//
CysB-O-acetyl-L-serine_pos	citG//nanK//araD//pgaD//ispE//phnJ//fadJ//folE//agp//glcD//prpB//uxaA//ppiA//fadD//
DcuR-Phosphorylated_pos	hypF//waaH//napA//nrdE//
DnaA-ATP_neg	nrdA//mutY//allE//astD//nanA//
DnaA-ATP_pos	tyrA//phnI//ubiX//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sucC//cdd//malZ//sufS//pflB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	purD//gpsA//
EvgA-Phosphorylated_pos	cyoE//ynfH//phnG//nrdD//ulaF//
FNR-Fe_neg	uxuB//araA//ubiG//napA//glpX//yeaE//citX//hcp//prpE//nrfC//speA//chbG//fucU//betA//dmsB//tdcD//pgaC//astB//fadD//galM//ilvN//iscS//fumB//guaB//preT//recF//nrdD//puuA//yqjH//ilvH//aroG//purC//hcp//phnP//ubiX//citE//gntK//gabD//argB//manA//aroH//aroL//moaA//lysA//epd//paaH//cysK//
FNR-Fe_pos	argF//alkA//malQ//eda//glpC//astE//cynT//aroL//guaA//tnaA//srlD//avtA//atoA//katG//atoD//rdoA//hemL//allE//galT//lpxB//glgA//lhgO//puuB//gltD//mpl//fadE//puuC//glgP//purF//ilvB//glnA//lysU//kbl//phnH//gcvP//nrdE//bglB//tam//moaD//ilvH//ppiA//deoA//argC//napA//fdhF//speA//paaG//gltA//ubiC//fucA//cynS//hcp//cysC//xylB//ubiG//betA//slt//guaA//yfbR//bioC//icd//ldtB//speB//puuE//tdcE//argI//hcp//bioF//purD//paaA//gcvP//purH//gatD//upp//glgC//argE//astC//glpE//alkB//folA//fucO//argA//psd//metF//mhpC//hycB//pheS//nagA//paaH//argD//argG//allC//
FhlA-Formate_pos	xapA//nagB//puuC//acs//uxuA//galT//mpl//
FucR-L-fuculose-1-phosphate_pos	sucB//uxaA//argF//umpH//sdaA//treC//
Fur-Fe2+_neg	glgP//trpB//paaG//galM//trpC//hycC//nrdF//pgaB//alkA//dkgB//glpA//sucA//araB//malQ//ppiA//paaG//deoC//truB//pheS//nrdA//caiC//lsrF//gltD//glpB//cadA//entA//paaE//ynfH//speB//gatZ//glgC//purM//dadA//ftnA//phnG//fumC//fucK//bcsB//alaS//gcd//astB//argF//fucA//uxuB//entF//aroL//miaA//yfdE//fadD//fucU//slt//fucO//sucD//ldtC//udp//tyrA//argD//hycG//ubiC//
Fur-Fe2+_pos	preA//allD//uxuA//lsrF//glgP//patZ//deoC//fadA//sufS//malQ//aroL//yjeF//entA//sucC//ascB//ahpF//paaI//bioA//slt//bioA//
Fur-Mn2+_neg	puuC//atoA//lysC//hpt//slt//katE//nagA//entF//hcp//ilvE//abgB//aceF//narI//dmsA//katE//gntK//truB//metB//rhaD//argI//ilvD//metA//glpX//edd//sufS//atoB//tehB//tam//aroF//napA//purA//paaE//folA//rhaA//metH//argB//araA//talA//cadA//aspC//garK//hcp//tehB//lldD//moaE//ppiA//tsaE//recF//rhaD//prpC//rnpB//mhpD//nanE//citF//astD//paaC//cysG//ilvH//pgaB//
Fur-Mn2+_pos	nrdF//moaE//cdd//talA//trpE//tauD//aroL//malQ//dnaE//gatD//paaG//rnpB//avtA//astD//hypF//astD//uvrA//phnI//ybjG//ung//
GlcC-Acetate_neg	
GlcC-Acetate_pos	gatD//paaG//sucA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	bcsB//napG//astA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	uxaB//sucC//moaE//
IdnR-5-ketogluconate_neg	glpB//tyrA//
IdnR-5-ketogluconate_pos	ldtB//mpl//ssuE//ynfF//
IdnR-Idonate_neg	fumC//hycE//
IdnR-Idonate_pos	entC//fumB//ppiA//gcvT//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	preA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	fucK//
IscR-2Fe_neg	lpxB//uxaB//rhaA//argC//frdB//
IscR-2Fe_pos	hmp//glpK//
LldR-L-lactate_neg	dapD//rnpB//
LldR-L-lactate_pos	hycE//patZ//
Lrp-Leucine_neg	entD//lpxB//aroA//fadH//argE//rutB//citC//paaF//frdA//glpE//araB//fabZ//glpC//ahpC//phnL//bglB//metL//alkB//mhpF//argC//napG//sdaA//garK//pck//
Lrp-Leucine_pos	aceA//nanA//ubiC//gatY//dapB//ndh//fucO//phnO//nrfB//cyoE//fdhF//narH//hycG//bioA//ubiA//chbG//chbF//pgpC//
LsrR_neg	rnpB//tdcE//paaH//malQ//phnG//
MalT-ADP-Maltotriose_pos	phnG//bioB//tehB//ldtC//phnH//frdD//
MalT-Maltotriose-ATP_pos	recF//mdh//cysM//pheS//uvrA//puuE//
MelR-Melibiose_neg	astB//dmsB//
MelR-Melibiose_pos	narI//ulaE//
MetJ-S-adenosylmethionine_neg	hcp//nrdB//pdeF//aspC//glgC//nrdD//lldD//paaH//prpD//cyaA//
MetR-L-homocysteine_neg	ulaD//
MetR-L-homocysteine_pos	frdA//umpH//araA//trmD//
MhpR-3-DHPP_pos	ftnA//glpQ//fadJ//fadJ//aroA//astE//
MhpR-3HPP_pos	argF//ada//lsrG//lpxA//carB//yfdE//
MntR-Cd2+_neg	dsdA//
MntR-Cd2+_pos	katG//
ModE-MoO42-_neg	sdhA//hyaB//napG//entD//fucO//feaB//speB//abgA//
ModE-MoO42-_pos	aceE//mtlD//yfbR//metH//hemA//katE//
NarL-Phosphorylated_neg	metK//citD//sucB//ppiA//hemA//hemA//paaF//uxaB//patZ//alaS//caiD//fadH//araB//entA//carA//dadA//fumC//lpxD//paaH//prpE//sdhC//carA//mpl//fabZ//
NarL-Phosphorylated_pos	nagB//aldA//malQ//fadB//speC//paaE//ilvI//argC//lysA//gcd//carB//gatZ//purK//cysM//citE//
NarP-Phosphorylated_neg	gcd//fabZ//garL//
NarP-Phosphorylated_pos	fbaA//phnJ//purF//fadJ//atoA//ilvC//ynfF//bioC//ubiX//hyaA//
NhaR-Na+_pos	malY//alaS//bacA//frdA//
NikR-Cd2+_neg	citX//
NikR-Co2+_neg	uxaC//
NikR-Cu2+_neg	bioF//
NikR-Ni2+_neg	mltC//
NikR-Zn2+_neg	adhE//
NrdR-ATP_neg	uxaB//garK//argI//argH//
NrdR-Zn2+_neg	paaG//ilvB//murQ//xdhC//
NrdR-dATP_neg	prpD//acnB//trpA//ackA//
NsrR-2Fe_neg	ampD//manA//gpsA//dmsA//serA//glgX//folA//paaG//trpA//pta//moaD//ubiC//xdhA//xapA//upp//tsaE//metL//folA//polA//malZ//mhpE//gadB//galK//lacA//idnD//mutL//ilvD//folA//cysD//caiD//
PhoB-Phosphorylated_neg	nanE//dmsC//hypF//gutQ//xylA//
PhoB-Phosphorylated_pos	melA//purE//nrdF//citX//entC//sucB//hycB//aceE//moaA//tdcD//ugpQ//ilvN//moeB//fadJ//glpA//pheS//glpE//
PhoP-Phosphorylated_neg	cyoE//deoD//argH//
PhoP-Phosphorylated_pos	xdhB//gnd//acnA//ubiG//dapD//preA//kbaZ//entA//dsdA//cpdB//abgA//chbG//patZ//glpX//kbl//mhpE//yfdE//allE//atoA//purB//atoD//gntK//nanE//ascB//pgaD//aceE//caiD//napH//dnaE//mutL//purM//narG//udp//cysI//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	gabT//ybjG//ahpC//cyoE//
PurR-Guanine_neg	sucA//pgaD//rbsD//atoD//bioA//torA//prpD//dapD//hycE//purN//hmp//ilvI//gcvT//puuB//araD//alaS//cysC//phnG//nrdD//phnO//mltC//acnB//cysK//astB//tdcB//yqjH//phnG//
PurR-Hypoxanthine_neg	glgX//sdhB//gpmA//cynT//rdoA//speA//xylA//entC//malQ//dsdA//purF//paaK//paaC//miaA//sufS//gcvP//nanA//mhpC//citC//glpQ//puuE//purN//entC//tyrB//umpH//speC//gutQ//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	paaI//prpE//rnpB//
RstA-Phosphorylated_neg	cyoE//cheR//
RstA-Phosphorylated_pos	torC//
SoxR-2Fe_neg	
SoxR-2Fe_pos	hcp//xylA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	metC//allE//glyA//
TrpR-Tryptophan_neg	galE//malY//nanK//araA//mhpD//galE//napB//pyrC//araA//
TyrR-L-tryptophan_neg	cynT//nrfD//glcD//mdh//paaB//dkgB//cysI//
TyrR-L-tryptophan_pos	napB//hycD//hflX//
TyrR-Phenylalanine_neg	caiC//hpt//caiB//hcp//folA//mdh//glcF//
TyrR-Phenylalanine_pos	abgA//glcF//sdhC//
TyrR-Tyrosine_neg	yeaE//rutB//nagA//dapD//serA//dusB//trpE//
TyrR-Tyrosine_pos	purB//fucK//rhaA//
UhpA-Phosphorylated_pos	prpC//
XapR-xanthosine_pos	ubiG//gcvP//
XylR-Xylose_pos	entA//polA//ynfG//
ZntR-Cd2+_pos	hmp//
ZntR-Hg_pos	cysG//
ZntR-Zn2+_pos	gcd//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	speB//
