# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	fadA//chbG//
CRP-cAMP_pos	ulaF//idnO//hcp//tdcB//uxaC//bioC//moeB//uxuA//yeaE//cysC//preA//lsrG//ldtC//cysG//gcd//pflB//frdC//recF//hycG//puuB//fadE//dmsC//agp//aldA//glcE//nrfB//prs//aroF//argI//astE//ndh//purM//oxc//galE//tehB//avtA//bioA//alaS//avtA//torC//sucA//srlD//mutL//uxuB//phnL//nrfC//lysU//oxc//ugpQ//phnH//entD//aceB//murQ//sucD//betA//pagP//fadE//lsrK//ssuD//rutC//purE//puuA//napG//glpB//torA//dusB//fau//napB//moaE//sdhD//prs//ilvN//dmsC//fucI//fucK//astE//glcE//lpd//appA//nanM//glpK//tdcB//acnA//lacA//dmsC//gcd//glpD//fau//uxaC//phnH//pagP//galM//fumC//citF//frdC//lhgO//hycD//hemA//gltB//chbG//moaE//xdhC//ilvN//allC//uxaA//dadX//metA//purN//caiA//argB//uxuA//argE//guaB//paaI//udp//argB//aroA//yjeF//cpdB//lsrG//hemA//hycF//purM//dnaE//citC//nanA//mhpB//deoC//metF//idnK//nrdB//mltC//cueO//gnd//metE//gutQ//moaE//ldtB//rnpB//nagA//pgaC//pyrC//fumB//carA//xylA//dmsB//ahpC//pck//sucB//acnA//carB//ilvC//rbsK//tdcE//uxaC//gabD//aroH//hyaC//mhpE//argG//glpE//prpC//ulaF//preA//xapA//aceB//uxuB//dmsC//yfeW//kbl//tehB//frc//ilvI//xdhB//gpsA//rdoA//codA//paaB//astC//ampD//nagB//malZ//fumC//citF//purM//speB//astD//hmp//udp//gatY//hypF//cysI//ackA//mhpD//glnA//atoB//pgk//carA//cyaA//idnD//glpE//prpD//manA//yqjH//pgaD//bacA//puuC//ynfG//ilvB//dnaE//fadE//truB//patZ//dgcZ//moaD//sdhA//pck//mtlD//lpxB//moeA//prpD//mhpB//phnH//gatY//ubiG//lpxA//tauD//rhaA//phnN//bioA//lsrG//phnI//glpC//glpB//lsrK//aroF//nrdA//prpD//cheB//purH//moaE//hycB//purF//
ChbR-Monoacetylchitobiose-6P_neg	torA//cysC//sufS//
ChbR-Monoacetylchitobiose-6P_pos	gatZ//sdhC//dgcZ//
CpxR-Phosphorylated_neg	paaC//zwf//pflB//
CpxR-Phosphorylated_pos	paaE//guaA//rdoA//yfbR//uvrA//uvrA//lysC//rutB//entE//miaA//narI//ppiA//frdA//fadB//rutD//gcvT//betA//nirB//fadE//
CreB-Phosphorylated_neg	fau//
CreB-Phosphorylated_pos	aspA//lsrK//
CueR-Ag_neg	pgaC//malP//
CueR-Ag_pos	lacZ//cysG//
CueR-Cu+_neg	purD//fadH//
CueR-Cu+_pos	bioF//dmsB//
CuerR-Au_neg	glpE//fucI//
CuerR-Au_pos	gcvP//torC//
CusR-Pasp_pos	ndh//aceA//ubiA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	fadJ//lldD//pgaD//
CysB-N-acetyl-L-serine_neg	speC//astA//mhpE//
CysB-N-acetyl-L-serine_pos	nrfA//lysC//frdD//xdhC//prpE//metH//rhaB//guaA//prpD//bioC//xdhC//hycF//allC//
CysB-O-acetyl-L-serine_neg	mhpA//sodB//glnA//
CysB-O-acetyl-L-serine_pos	mhpE//allC//glpQ//xapA//aroF//hycF//phnN//argB//ssuE//trpD//trmD//phnL//icd//rhaB//
DcuR-Phosphorylated_pos	fdhF//lysA//dmsC//moeB//
DnaA-ATP_neg	sodB//dadX//bacA//pck//speC//
DnaA-ATP_pos	metH//carA//prmC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fabZ//sdhC//rutA//citE//uidA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	fucO//ynfH//
EvgA-Phosphorylated_pos	alkB//metF//aroG//paaZ//glcE//
FNR-Fe_neg	prpE//phoA//ilvM//fadH//nrfD//yjeF//uxaB//gadB//fadA//galE//pgaB//malQ//amn//paaJ//prpB//glpK//epd//cysM//pheT//dkgB//gapA//idnK//purA//purK//dsdA//cysN//gatY//folA//gapA//acnB//phnO//mhpD//xylA//fumB//napB//nanA//mtlD//cpdB//cysK//nrfB//aldB//mhpF//cysI//cueO//aspC//gutQ//garL//
FNR-Fe_pos	fumB//narH//gadB//ilvH//xdhB//xylA//carA//gltB//betB//nrdB//puuC//mdh//bcsB//ilvE//prpE//ubiA//waaH//ansB//pgaB//ilvA//ilvE//betA//dsdA//alaA//sdhB//astE//dnaE//cysK//narH//fumA//lysC//allC//mhpE//phnM//hycG//manA//kbl//ung//tsaE//avtA//argG//pncB//tam//cynS//moeB//metK//feaB//abgB//allD//zwf//gapA//lpxA//udp//aceF//fumC//trpA//aceE//paaH//pyrD//fucI//citD//citE//tnaA//cheR//cysN//napG//miaA//nanK//nrdE//gntK//moeA//atoA//paaE//rnpB//nagA//epd//mhpB//caiC//bcsA//fucK//glyA//ldtC//fabZ//mutY//rbsD//glgC//dkgB//nrfC//allE//yqjH//gadB//agp//
FhlA-Formate_pos	trpB//gadB//atoA//xdhC//feaB//pheT//rdoA//
FucR-L-fuculose-1-phosphate_pos	mhpA//aroH//aceE//phnI//sucA//narG//
Fur-Fe2+_neg	phnJ//prs//ung//paaG//fucK//puuE//preT//purM//argE//ldtB//paaA//napB//metF//chbG//malQ//tadA//rutA//kbaZ//pheT//cadA//ulaD//ybjG//dapD//nrfD//thrS//hycB//trpB//nirD//pdeF//codA//purA//ubiA//iscS//glpX//yqjH//napG//glcD//murQ//araA//mhpA//uxuA//nrdB//ackA//fadJ//ubiA//bglB//katG//cheB//napG//yfbR//moaD//nirD//allD//glgP//rutC//purE//purF//metE//metK//
Fur-Fe2+_pos	alaA//gapA//glpB//xapA//sucB//abgA//aceA//metA//nrdF//rhaA//mdh//nanA//pgk//yfdE//sucD//srlD//metE//idnK//paaK//bcsZ//
Fur-Mn2+_neg	frdC//argH//paaZ//glyA//torA//glyA//argI//glpD//cadA//glgA//sucC//ubiG//hflX//nrdA//uxaA//metB//moaE//rhaB//glgA//lsrG//uxaB//pheS//hycG//metC//nrfA//paaA//astD//ilvB//hemL//puuC//dapB//alaA//nirD//hmp//gpsA//gabT//fbaA//narI//tyrA//mhpC//ackA//metB//paaK//gatY//narG//puuC//hemL//entD//bioF//frdD//yjeF//guaA//argA//hycE//ulaD//entH//ampD//gadB//pyrC//
Fur-Mn2+_pos	galE//fau//gcd//gltB//mhpE//nanM//gdhA//galM//metL//prpD//malP//rdoA//bioB//purD//psd//gapA//astC//paaF//abgB//dmsC//
GlcC-Acetate_neg	
GlcC-Acetate_pos	ubiX//hflX//frdA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	uxuA//iscS//hypB//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	glnA//glgB//gpmA//
IdnR-5-ketogluconate_neg	allE//fumB//
IdnR-5-ketogluconate_pos	srlD//idnK//gcd//trpD//
IdnR-Idonate_neg	rbsK//nagA//
IdnR-Idonate_pos	ssuE//pgk//paaZ//dkgB//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	sucC//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	tnaA//
IscR-2Fe_neg	hycD//glcE//trpA//fucI//alaS//
IscR-2Fe_pos	xdhA//lysA//
LldR-L-lactate_neg	sdhB//astD//
LldR-L-lactate_pos	cysD//acs//
Lrp-Leucine_neg	tdcD//napC//ackA//manA//pck//napA//sufS//cysM//moeA//fadE//cadA//gcvH//fdhF//tadA//paaG//aldB//phnP//carA//trpC//gabT//tsaE//miaA//gltD//ilvN//
Lrp-Leucine_pos	hypB//deoA//nrdE//astA//sdhB//atoB//hyaB//metB//lhgO//ispE//gdhA//fucA//fucA//waaH//paaJ//prpB//galM//caiA//
LsrR_neg	aldA//tnaA//nrfB//purH//napB//
MalT-ADP-Maltotriose_pos	pyrD//hypF//trpE//pgaC//lsrG//glpX//
MalT-Maltotriose-ATP_pos	yfdE//citE//hemA//argB//hpt//glgC//
MelR-Melibiose_neg	cheR//ogt//
MelR-Melibiose_pos	pgaB//araD//
MetJ-S-adenosylmethionine_neg	xdhB//ung//trmD//paaI//allD//purD//gdhA//yfbR//napA//ldtB//
MetR-L-homocysteine_neg	bcsA//
MetR-L-homocysteine_pos	speA//rutD//pgpC//araD//
MhpR-3-DHPP_pos	entE//fucO//ssuD//carB//upp//mhpF//
MhpR-3HPP_pos	nadC//cadA//bioF//dsdA//cysC//trpD//
MntR-Cd2+_neg	tnaA//
MntR-Cd2+_pos	trpE//
ModE-MoO42-_neg	mhpD//katE//feaB//rutE//deoD//astD//sucD//avtA//
ModE-MoO42-_pos	glpE//caiA//deoB//moaE//puuA//glpQ//
NarL-Phosphorylated_neg	citC//ilvN//metL//nanE//sucA//purF//nadC//frdA//xdhA//argF//gadB//nirB//mhpD//ndh//purC//lpxD//mhpF//epd//hpt//ada//allE//purC//tehB//mutY//
NarL-Phosphorylated_pos	patZ//ilvB//glgC//ispE//hycC//phnO//hemL//astC//srlD//cysJ//xylB//ldtB//nrdE//recF//abgA//
NarP-Phosphorylated_neg	purK//yjeF//nrdF//
NarP-Phosphorylated_pos	mhpA//argB//tauD//tdcB//manA//citG//bioD//metB//mhpB//mutY//
NhaR-Na+_pos	bioD//glcD//phnI//nanA//
NikR-Cd2+_neg	fumA//
NikR-Co2+_neg	sufS//
NikR-Cu2+_neg	araA//
NikR-Ni2+_neg	bcsZ//
NikR-Zn2+_neg	aroF//
NrdR-ATP_neg	caiD//cysD//rhaD//sucA//
NrdR-Zn2+_neg	bioD//citE//lacA//carA//
NrdR-dATP_neg	psd//nrfC//ynfF//entH//
NsrR-2Fe_neg	bioF//entA//psd//hycD//glgA//purF//prpE//fadD//uxaA//cysH//folE//malQ//bacA//cysC//cheB//astE//entC//hpt//puuC//eda//udp//agp//phnG//bioC//trpC//ahpC//fadH//ascB//paaG//fumB//
PhoB-Phosphorylated_neg	udp//bcsZ//fau//napC//trpA//
PhoB-Phosphorylated_pos	paaF//gabT//glyA//sdhC//prmC//paaB//pck//cysM//katE//dadX//napH//glpD//abgA//nanK//thrS//glpC//murQ//
PhoP-Phosphorylated_neg	bcsB//glgB//gltB//
PhoP-Phosphorylated_pos	fadI//entH//rdoA//fucA//purB//hpt//bioA//puuA//rutA//araB//nanA//cysI//pta//katG//napA//trpC//agp//mutY//ugpQ//preT//malQ//ilvM//galM//xdhC//chbG//paaI//mdh//nrfC//purB//sucD//serA//fucO//bioD//carA//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	galM//hyaB//udp//aceA//
PurR-Guanine_neg	purB//argC//pncB//ilvM//puuE//paaZ//cysM//citD//tdcB//entE//trpC//sucB//malZ//dapD//frdD//lsrG//tdcG//mhpD//uxuA//glcD//rhaD//rnpB//upp//iscS//ftnA//phoA//narG//
PurR-Hypoxanthine_neg	paaH//prpC//uvrA//frc//purN//srlD//paaJ//pgaC//nadC//chbF//abgB//argC//dmsC//glcD//prpE//trpB//bglB//mhpB//xdhA//gapA//mtlD//patZ//allC//hycC//fucA//ackA//metC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	glpK//napC//glgP//
RstA-Phosphorylated_neg	ubiA//allD//
RstA-Phosphorylated_pos	fadD//
SoxR-2Fe_neg	
SoxR-2Fe_pos	bcsA//yfbR//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fadA//lysU//hypF//
TrpR-Tryptophan_neg	folE//serC//glcB//rhaA//bioF//agp//paaI//entF//rutB//
TyrR-L-tryptophan_neg	puuB//nirD//codA//fucK//ulaF//cysG//ppiA//
TyrR-L-tryptophan_pos	metC//garK//rutE//
TyrR-Phenylalanine_neg	prmC//lpxA//sodB//mltC//feaB//ackA//bioC//
TyrR-Phenylalanine_pos	srlD//speA//napA//
TyrR-Tyrosine_neg	mhpB//hypB//gabD//purK//chbG//sdhC//guaA//
TyrR-Tyrosine_pos	codA//guaB//edd//
UhpA-Phosphorylated_pos	rutC//
XapR-xanthosine_pos	ubiC//citG//
XylR-Xylose_pos	glpB//lsrF//gnd//
ZntR-Cd2+_pos	idnK//
ZntR-Hg_pos	cynS//
ZntR-Zn2+_pos	idnK//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	glgP//
