#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1884//yegZ//
CueR-Ag_neg	b0805//b4063//b0383//b0111//b2589//
CueR-Ag_pos	b3667//b2491//
CueR-Cu+_neg	b0887//b2297//b2597//b2223//b1513//
CueR-Cu+_pos	b4671//b0814//
CuerR-Au_neg	b0724//b2707//b1744//b1514//b0605//
CuerR-Au_pos	b0759//b3863//
CusR-Pasp_pos	b3941//b1817//b0273//b2201//b2663//b1900//b2406//b2482//b4094//b2583//ilvG_1//b1482//
CynR-Cyanate_neg	b0614//
CynR-Cyanate_pos	b1594//b2721//b2223//
CysB-N-acetyl-L-serine_neg	b3959//b0191//b4317//b4592//b0765//b0975//b2415//
CysB-N-acetyl-L-serine_pos	b4154//b3859//b3508//b0115//b1656//b2092//b0620//b4035//b3224//b1498//b3441//b1023//b1597//b3126//b4093//b0590//b1393//b1207//b0450//b4177//b0041//b1810//b0860//
CysB-O-acetyl-L-serine_neg	b1734//b3364//b4467//b1492//b3756//b1902//b3851//
CysB-O-acetyl-L-serine_pos	b3572//b2867//b3544//b0077//b2804//b0754//b2867//b3212//b1022//b1594//b4383//b3221//b0573//b3070//b3008//b2481//b3224//b4075//b2414//b1276//b0997//b4323//b4401//b0728//
DcuR-Phosphorylated_pos	b0080//b1221//b0108//b0784//b4006//b1798//b0615//b0681//b1987//
DnaA-ATP_neg	b0032//b2723//b1717//b4376//b1008//b3072//b3521//b2995//b2662//b4506//b2957//
DnaA-ATP_pos	b3724//b1389//b3115//b2009//b4663//b3455//b3334//
DpiA-Pasp_neg	b0675//
DpiA-Pasp_pos	b3164//b1513//b3603//b4075//b0191//b2077//b3829//b0432//b1395//b2486//
DsdC-D-serine_neg	b1101//
DsdC-D-serine_pos	b3426//b3164//
EvgA-Phosphorylated_pos	b1885//b0880//b2703//b0125//b4663//b2912//b4068//b2469//b4152//b0935//b4005//b2370//b0201//b2702//b0048//
FNR-Fe_neg	b1736//b2498//b2711//b2281//b1132//b2976//b0451//b3171//b1609//b2492//b4381//b1528//b3708//b3611//b4196//b0398//b0557//b3480//b0336//b2759//b3958//b0782//b2584//b0331//b4014//b0033//b0523//b4054//b3423//b3424//b4095//b3456//b1528//b3320//b1745//b0953//b3588//b1798//b4034//b0903//b3224//b1921//b4213//b2202//b0970//b2092//b1041//b3567//b2838//b0596//b3057//b1476//b0585//b1210//b1901//b2993//b3432//b1493//b4266//b3457//b0312//b1407//b3410//b4381//b2107//b1127//b1747//b2992//b2368//b0726//b2715//b2840//b3859//b0826//b3781//b3971//b2369//b0819//b4168//b2241//b1683//b0957//b0368//b2991//b3476//b3571//b2799//b0043//b4406//b2554//b3236//b0617//b3038//b4059//b2311//b2759//b0463//b2147//b3702//b4287//b0350//b4102//b0110//b0389//b3035//b2742//b0722//b2927//b0153//b1521//b4035//b4015//b0583//b4194//b0606//b0078//b1109//b2560//b1012//b1519//
FNR-Fe_pos	b2711//b3969//b0586//b0061//b0589//b3724//b3670//b2367//b0207//b1548//b0041//b0720//b3428//b1016//b2476//b2938//b2666//b3450//b4511//b1781//b2980//b2660//b2630//b2552//b2977//b4288//b3905//b2659//b0116//b0864//b3668//b3277//b0384//b2009//b3781//b3851//b4567//b1655//b1492//b2584//b0722//b3511//b0352//b3317//b4034//b2730//b4502//b4167//b2529//b3870//b3971//b1390//b0975//b0062//b0596//b0048//b1884//b0995//b2905//b2422//b0873//b0399//b1023//b2236//b0033//b3476//b3478//b4075//b1136//b3405//b4592//b1719//b1617//b2313//b2372//b0451//b4320//b0367//b4406//b2223//b4069//b4324//b4200//b2756//b3453//b2729//b4416//b1397//b0041//b1261//b1679//b2470//b2732//b2752//b0615//b0602//b0974//b1429//b2498//b2840//b0724//b1430//b0778//b2712//b1223//b1547//b0342//b1747//b2481//b3426//b2904//b4094//sroD//b3605//b2990//b2279//b0805//b4367//b1888//b2962//b0348//b3751//b1613//b2425//b4074//b1482//b4213//b0344//b4326//b3451//b3333//b0586//b3601//b0805//b0460//b4030//b0623//b3365//b2240//b1209//b3093//b1302//b4173//b1608//b2342//b4669//b2961//b1846//b1521//b3426//b2488//b4265//b3667//b2993//b3317//b1321//b2995//b2223//b0177//b2236//b2588//b0934//b0733//b3071//b3329//b4009//b3479//b2600//b0683//b0903//b3114//b0107//b0977//b2146//b2489//b4384//b0337//b2663//b3221//b1323//b3132//b3521//b3364//b0431//b3452//b0805//b1612//b3405//b2406//b2614//b3222//b3410//b2171//b3530//b0106//b3521//b4705//b2987//b1515//b2674//b3113//b0860//
FhlA-Formate_pos	b2200//b1190//b4439//b1973//b0998//b4567//b2407//b0827//b0183//b2234//b4151//b0078//b4196//b3432//b1535//b0296//b1226//b2150//b2662//b0078//b2342//b1482//b0777//b3469//b2659//b3774//b3320//b1611//b0397//b2573//
FucR-L-fuculose-1-phosphate_pos	b4233//b3274//b3313//b0192//b3530//b3456//b0675//
Fur-Fe2+_neg	b3230//b1298//b2221//b2242//b3608//b4196//b0572//b1415//b4288//b3726//b2631//b0945//b3450//b3510//b2278//b2722//b0150//b1782//b0996//b3769//b3276//b1429//b1982//b3669//b2297//b2425//b1243//b2726//b2203//b3242//b4040//b2367//b0785//b1337//b4310//b2703//b2804//b3757//b0112//b2705//b1535//b3854//b0522//b3231//b2707//b3214//b2754//b2485//b3480//b1593//b4172//b4160//b4237//b0273//b0032//b3125//b1243//b1002//b4431//b1113//b0978//b4592//b1781//b2464//b3453//b0114//b2204//b0782//b0033//b2697//b0953//b2163//b3278//b1190//b0041//b1516//b3166//b1887//b0184//b1737//b4698//b2491//b0397//b0063//b4004//b1805//b1891//b1537//b2606//b1518//b1263//b3207//b3530//b3223//b1988//b1587//b3774//b3243//b2841//b4249//b1670//b2488//b3313//b3727//b2803//b1297//b0937//b3588//b0154//b3604//b1888//b2962//b3926//b2727//b4054//b2557//b4062//b2507//b3461//b4289//b3905//b1611//b0873//b1712//
Fur-Fe2+_pos	b4058//b1222//b3115//b2198//b4702//b2560//b3026//b2076//b1388//b1322//b3364//b1007//b2149//b3437//b3457//b3095//b2285//b3357//b4254//b3908//b1684//b2163//b3905//b0353//b2469//
Fur-Mn2+_neg	b3413//b4000//b3604//b3615//b0675//b1891//b1111//b4152//b3604//b2963//b2369//b1846//b0887//b1713//b0953//b3314//b0681//b4058//b1902//b3116//b2201//b0115//b1517//b4506//b1887//b0903//b2926//b2609//b0522//b4171//b3429//b1301//b1673//b4003//b4076//b3093//b0031//b2675//b1493//b3125//b0080//b0168//b0589//b2430//b3126//b2993//b3417//b3450//b0678//b3702//b1391//b1821//b2528//b1852//b1737//b2607//b3453//b4018//b4068//b1883//b2151//phnE_2//b1516//b3272//b0338//b3223//b2487//b0617//b2063//b1814//b3314//b0683//b2476//b3530//b2987//b2531//b1611//b2242//b0398//b3702//b3327//b2092//b0907//b1609//b4000//b4187//b3568//b1669//b0553//b1716//b2374//b0523//b2631//b3171//b0805//b2608//b0615//b4209//b4238//b2417//b0895//b1038//b3530//b3057//b0036//b0784//b4123//b0461//b1744//b0728//b2588//b2977//b1324//b2992//b3413//b2591//b3076//b0571//b1988//b4287//b3540//b2937//b4322//b4291//
Fur-Mn2+_pos	b3766//b1818//b0347//b4187//b0592//b2469//b1658//b4202//b2306//b0785//b3828//b0179//b2296//b2579//b2987//b2800//b0782//b1492//b1587//b0957//b4153//b3728//b2600//b2485//b4293//
GlcC-Acetate_neg	b3669//
GlcC-Acetate_pos	b2414//b4237//b1682//b4024//b2487//b3394//
GlcC-Glycolate_neg	b2762//
GlcC-Glycolate_pos	b0757//b4111//b1621//b2204//b1921//b2429//
GlrR-Pasp56_pos	b1389//
IclR-pyruvate_neg	b0887//b3437//b1037//b3272//
IdnR-5-ketogluconate_neg	b4069//b1421//b4169//
IdnR-5-ketogluconate_pos	b2571//b4097//b3395//b4024//b3260//
IdnR-Idonate_neg	b2240//b1131//b1334//
IdnR-Idonate_pos	b1884//b0728//b3701//b2580//b1302//
IlvY-2-acetolactate_neg	b3957//
IlvY-2-acetolactate_pos	b4309//
IlvY-Alfa-acetohydroxybutirate_neg	b0571//
IlvY-Alfa-acetohydroxybutirate_pos	b3135//
IscR-2Fe_neg	b1796//b0205//b1497//b1516//b0384//b3171//b3230//b2484//b3367//b2591//b0205//b3859//b4567//b1970//b3521//b1622//b0895//b0728//b3724//b1390//b0107//b2366//b3863//b2414//b0606//b3478//b2488//b0205//b2206//b4320//
IscR-2Fe_pos	b0591//b0841//b1130//b2732//b0441//b2429//b2425//b1982//b0903//b1323//b1207//
LldR-L-lactate_neg	b3311//b2588//b0365//
LldR-L-lactate_pos	b1398//b2937//b3207//
Lrp-Leucine_neg	b2660//b4120//b4101//b2608//b3006//b1221//b2092//b2979//b2223//b0125//b3968//b0676//b0116//b1109//b1476//b2464//b2991//b2469//b4249//b3532//b3416//b0678//b4705//b3481//b3723//b1901//b0723//b3540//b4170//b0348//b0342//b0450//b2559//b4441//b4265//b2342//b3272//b3113//b3167//b0617//b2009//b4450//b1532//b0384//b1302//b2231//b1613//b2990//b3432//b2207//b3035//b1611//b4073//b3615//b4019//b4441//b1002//b1611//b0484//b1189//b0873//b3333//b1885//b4171//b1884//b4264//b3758//b4287//b3071//b3367//b0152//b3904//b0431//b1622//b2075//
Lrp-Leucine_pos	b1902//b0862//b4292//b0123//b4101//b4567//b3231//b1535//b2153//b2341//b1904//b0044//b0726//b2199//b4159//b2282//b3171//b2393//b2204//b3902//b2096//b2429//b1023//b1322//b2342//b2207//b0432//b4100//b1205//b3903//b4264//b2571//b1891//b1734//b0977//
LsrR_neg	b1717//b4290//b2202//b0154//b3469//b1780//b2726//b3469//b1226//
MalT-ADP-Maltotriose_pos	b1263//b1015//b0336//b3543//b3753//b3312//b1719//b3237//b2197//b1301//
MalT-Maltotriose-ATP_pos	b1597//b0820//b4104//b1859//b3542//b0516//b3904//b1817//b0523//b2841//
MelR-Melibiose_neg	b2407//b0759//b3036//
MelR-Melibiose_pos	b3925//b1810//b4096//
MetJ-S-adenosylmethionine_neg	b3260//b2234//b4187//b1641//b4321//b1112//b3123//b1300//b0974//b3508//b4123//b3532//b2429//b4169//b3161//
MetR-L-homocysteine_neg	b4151//b0889//
MetR-L-homocysteine_pos	b3359//b0038//b4290//b1297//
MhpR-3-DHPP_pos	b3394//b0440//b1429//b4172//b0784//b3118//
MhpR-3HPP_pos	b0180//b4239//b3724//b3359//b4133//b4125//
MntR-Cd2+_neg	b1022//b1892//b1302//b2742//
MntR-Cd2+_pos	b2757//
ModE-MoO42-_neg	b0605//b1621//b2372//b2732//b0411//b3092//b0462//b2243//b3172//b4160//b0040//b1535//b1227//b4699//b2572//
ModE-MoO42-_pos	b3480//b2705//b0959//b4663//b0863//b3223//b1671//b0462//b0606//b3605//b0366//b3543//b4401//b4267//b3961//b4439//b1548//b3477//b3605//b4152//b1516//b3708//b2800//b3688//b0783//b4172//b1888//b3315//b2470//b3049//b3846//
NarL-Phosphorylated_neg	b4101//b2805//b0571//b4367//b2155//b1222//b3316//b4040//b3005//b0377//b2590//b0764//b3437//b1276//b3124//b0350//b3863//b1160//b2703//b1394//b1127//b0062//b2106//b4133//b0933//b4450//b4174//b4398//b0886//b4072//b2171//b0347//b4254//b1850//b0062//b2276//b1260//b2488//b2904//b3588//b2282//b3934//b3609//b0602//b3518//b2553//b3750//b2465//b1113//b4326//b2553//b0765//b1011//b3532//b1883//b4160//b0727//b0462//b1608//b3405//b3772//b3934//b2560//b3278//b1850//b2085//b2631//b1921//b3493//b4099//b2199//b2553//b2499//b2296//b2997//b4015//b1493//b4037//b3845//b1920//b2234//b2341//b3724//b2369//b1421//b3772//
NarL-Phosphorylated_pos	b4592//b0339//b3609//b0679//b0335//b2706//b1300//b0204//b0756//b0776//b3568//b4268//b0729//b0033//b2221//b4637//b3170//b1746//b0378//b1733//b1656//b3478//b3903//b0614//b4266//b4242//b2281//b4318//b0154//b2143//b2942//b3544//b3902//b3321//b1513//b0397//b1733//b2557//b3454//b1590//b2147//b1042//b0338//b0676//b2344//b0204//
NarP-Phosphorylated_neg	b2485//b1746//b1892//b3851//b3569//b0764//b2852//b4291//b4187//b0976//b2942//b1243//b3231//b4058//b1109//b1389//b2923//b3457//b2312//b2925//b4030//b1617//b1129//b3313//b3533//b3081//b2342//b4468//b1516//b2559//b0726//b0784//b3328//
NarP-Phosphorylated_pos	b4125//b2283//b3414//b0684//b2414//b3313//b2800//ilvG_2//b3479//b3615//b2675//b1518//b1615//b4264//b3278//b1805//b0106//b4599//b4119//b2241//b1712//b3709//b0820//b1901//b0390//b2927//b1745//b0590//b3723//b0428//b3135//b4072//
NhaR-Na+_pos	b1131//b2171//b4319//b0755//b0597//
NikR-Cd2+_neg	b1615//b1021//b1220//b3911//b3608//b4315//
NikR-Co2+_neg	b1398//b1302//b0774//b3265//b1299//b2559//
NikR-Cu2+_neg	b3574//b2868//b2498//b1818//b1208//b4095//
NikR-Ni2+_neg	b0221//b2421//b3532//b2076//b1712//b3432//
NikR-Zn2+_neg	b1684//b3359//b4193//b1474//b2307//b0863//
NrdR-ATP_neg	b3225//b4125//b0523//b3766//b1113//b2591//b1246//b1497//b4268//
NrdR-Zn2+_neg	b2076//b2570//b1826//b0411//b4460//b2762//b0183//b2368//b2660//
NrdR-dATP_neg	b3851//b4438//b1336//b3096//b1608//b3240//b4097//b2279//b0429//
NsrR-2Fe_neg	b2206//b3441//b0153//b0031//b2241//b0462//b3424//b4072//b1719//b4293//b1518//b0874//b0350//b2801//b4382//b0683//b1712//b2079//b4242//b4194//b0346//b3324//b2374//b0335//b1391//b2661//b1737//b1394//b0677//b0826//b1531//b1656//b3969//b0928//b1621//b1713//b1537//b2465//b3038//b1006//b3831//b4599//b3072//b0192//b2759//b4115//b1384//b3508//b4289//b0152//b4406//b3700//b3970//b3617//b3458//b0035//b0431//b3864//b0826//b0041//b0403//b1814//b1263//b4438//b2417//b3036//b1024//b2904//b4293//b4384//b0333//b3564//b1609//
PhoB-Phosphorylated_neg	b2092//b1207//b3026//b1043//b1501//b3902//b1036//b3318//b0758//b1736//b2758//b2590//b3330//
PhoB-Phosphorylated_pos	b1475//b3942//b0974//b2492//b3771//b3113//b0462//b2995//b1674//b4059//b1513//b4376//b0933//b3672//b0722//b3404//b1302//b4039//b3854//b2752//b2570//b2752//b2911//b2759//b2841//b3260//b4467//b4376//b2074//b3970//b1036//b1006//b0156//b4317//b4119//b2482//b0590//b0903//b2068//b1391//b1113//b4195//b2430//b0605//b0463//b3925//b0516//b3171//b0841//b4030//b1476//b1797//b3221//
PhoP-Phosphorylated_neg	b3477//b1020//b0566//b2996//b4030//b0034//b2150//b1338//b0618//b3588//b1892//
PhoP-Phosphorylated_pos	b4069//b3260//b4406//b1745//b2757//b0589//b0594//b0860//b1208//b0036//b2579//b2106//b2470//b2750//b0032//b3212//b3418//b0450//b3617//b4067//b1670//b0589//b1008//b1882//b2150//b4098//b0588//b0106//b0937//b0820//b0337//b0874//b2370//b2671//b0180//b1302//b0827//b0241//b1889//b2375//b3332//b3756//b3241//b3911//b1982//b3934//b4092//b3363//b0432//
PrpR-2-methylcitrate_neg	b3604//
PrpR-2-methylcitrate_pos	b1302//b0184//b3453//b0724//
PurR-Guanine_neg	b4194//b4092//b3759//b4254//b1009//b3957//b0970//b0996//b1747//b0461//b2312//b3168//b3707//b2171//b0388//b0676//b4671//b2393//b0723//b1036//b0623//b3728//b4005//b4074//b0156//b3275//b2310//b0039//b3600//b3325//b4698//b1301//b1817//b0586//
PurR-Hypoxanthine_neg	b0346//b0572//b0112//b3133//b2840//b1537//b0430//b4384//b3414//b1674//b4313//b2759//efeU_2//b4138//b2729//b4599//b2659//b3723//b3368//b0928//b4034//b1220//b4439//efeU_2//b0935//b0336//b1337//b4355//b3670//b0516//b0605//b4062//b1132//b2422//
QseB-Phosphorylated_pos	b4002//b3708//b0980//b2341//
RhaR-L-rhamnose_pos	b3429//b1859//
RhaS-L-rhamnose_pos	b0107//b2731//b4033//
RstA-Phosphorylated_neg	b0313//b0729//b0587//b1682//b3357//
RstA-Phosphorylated_pos	b1684//b3441//b1102//b4213//b3845//
SoxR-2Fe_neg	b0107//
SoxR-2Fe_pos	b2551//b0734//b3700//
TorR-Phosphorylated_neg	b3124//
TorR-Phosphorylated_pos	b0043//b1224//b2659//b2392//b0959//b2663//b3700//b4095//b4125//
TrpR-Tryptophan_neg	b1973//b3006//b0775//b4094//b1819//b0080//b4071//b1672//b2198//b3224//b0336//b4702//
TyrR-L-tryptophan_neg	b3321//b0873//b0622//b1736//b2676//b2925//b0945//b4265//b1415//b2148//b0723//b2975//
TyrR-L-tryptophan_pos	b0156//b2942//b1620//
TyrR-Phenylalanine_neg	b4008//b3241//b3091//b1300//b3903//b1224//b4267//b2079//b1263//b3903//b0936//b1810//
TyrR-Phenylalanine_pos	b0682//b1905//b4095//
TyrR-Tyrosine_neg	b2992//b1706//b2987//b3958//b0873//b2283//b1227//b4392//b0112//b0343//b3611//b3727//
TyrR-Tyrosine_pos	b0107//b4567//b0035//
UhpA-Phosphorylated_pos	b1713//
XapR-xanthosine_pos	b2992//b3725//
XylR-Xylose_pos	b1715//b1322//b1393//b3037//b2818//b3864//
ZntR-Cd2+_pos	b2235//
ZntR-Hg_pos	b0203//
ZntR-Zn2+_pos	b0619//
ZraR-Phosphorylated_pos	b3171//b3071//b0572//
Zur-Zn2+_neg	b4264//b3864//b0574//b3458//b0764//b4417//
