# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	pagP//argA//
ModE-MoO42-_neg	sodA//phnN//frdC//glpK//pgaD//uvrA//sucD//nanK//
ModE-MoO42-_pos	hycG//idnK//hycG//phnG//fumC//paaE//
NarL-Phosphorylated_neg	paaA//puuD//xylB//pflB//uxuB//nrfB//deoD//sucB//alkB//gatD//fadJ//aceE//murQ//nanK//nrfB//hflX//xapA//ssuD//fes//alkB//uxuA//ilvB//fes//entC//
NarL-Phosphorylated_pos	paaF//metA//citD//bcsB//prpC//idnO//pyrC//bcsZ//moeA//cdd//fucA//prpD//nrdA//purH//nrdA//
NarP-Phosphorylated_neg	gcvT//trpA//purL//
NarP-Phosphorylated_pos	dusB//ahpC//nanK//yfdE//napB//dgcZ//katE//rutE//ilvG_1//citX//
NhaR-Na+_pos	nrdB//fucI//lpxD//yqjH//
NikR-Cd2+_neg	ubiA//
NikR-Co2+_neg	rutA//
NikR-Cu2+_neg	glgB//
NikR-Ni2+_neg	polA//
NikR-Zn2+_neg	hycG//
NrdR-ATP_neg	sodB//xdhC//mutY//phnG//
NrdR-Zn2+_neg	hyaA//hflX//pdeF//moeA//
NrdR-dATP_neg	gatZ//uidA//uxaA//bacA//
NsrR-2Fe_neg	paaH//ybjG//ispE//cynT//astB//astA//lysA//guaA//sucA//zwf//glgC//citX//rbsK//ndh//glpK//rutB//aceE//uxaC//idnD//aroH//napG//hycF//astE//uxuA//rhaB//lpxA//trpB//ilvG_2//garK//cysM//
PhoB-Phosphorylated_neg	tyrB//argA//uvrA//metC//galE//
PhoB-Phosphorylated_pos	ilvA//gatD//betA//hmp//ssuE//paaZ//rutB//hycC//patZ//ackA//cynS//metH//puuE//ascB//ilvB//rutA//pnp//
PhoP-Phosphorylated_neg	oxc//tktB//frdD//
PhoP-Phosphorylated_pos	hpt//alaA//sdhD//gutQ//paaJ//epd//ilvD//paaI//fadE//dgcZ//cysD//trpD//mtlD//cynS//astB//trmD//purC//argF//gatY//ulaD//ssuE//aroL//ilvG_1//purD//ldtB//narG//sodB//mhpF//gntK//narI//glpD//glyA//treC//tsaE//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	icd//epd//umpH//metH//
PurR-Guanine_neg	galM//sucD//ilvD//gcvP//argA//phnJ//purF//tam//xapA//prs//pyrD//pagP//gabT//trpA//phnG//atoB//aceA//idnK//xdhA//xdhA//cysD//oxc//yjeF//ubiA//xylA//gatD//napG//
PurR-Hypoxanthine_neg	uidA//cysI//kbl//ansB//puuA//paaZ//psd//allD//pncB//glpX//paaE//malQ//serC//ahpF//entB//aceE//entB//udp//glcB//aceF//aroL//abgB//tyrA//pheT//citX//nrfD//rbsD//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	rutB//purK//ulaD//
RstA-Phosphorylated_neg	entF//aldB//
RstA-Phosphorylated_pos	aroA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	gltA//mpl//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	entC//fucK//psd//
TrpR-Tryptophan_neg	cheB//yfeW//fucU//astE//aroA//moeB//aroL//hemA//glcE//
TyrR-L-tryptophan_neg	astD//cpdB//entF//ssuE//aroH//mhpC//yfbR//
TyrR-L-tryptophan_pos	hyaB//aspA//xapA//
TyrR-Phenylalanine_neg	gntK//pnp//glpE//cdd//astC//gatD//phnM//
TyrR-Phenylalanine_pos	glpX//mhpD//hemA//
TyrR-Tyrosine_neg	sucB//argC//nanE//paaE//uxuB//ilvN//aceA//
TyrR-Tyrosine_pos	frc//galE//appA//
UhpA-Phosphorylated_pos	glpQ//
XapR-xanthosine_pos	fadB//ulaE//
XylR-Xylose_pos	aroA//phnO//cynS//
ZntR-Cd2+_pos	frc//
ZntR-Hg_pos	sodB//
ZntR-Zn2+_pos	patZ//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	tdh//
