# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glyA//phnH//
CpxR-Phosphorylated_pos	purK//bcsZ//tsaE//aroA//gadB//bcsA//alaA//ilvG_2//napC//gcvH//udp//dapD//glgP//upp//argE//hycC//uxuB//aldA//pgk//
CreB-Phosphorylated_neg	ilvI//
CreB-Phosphorylated_pos	glgB//hmp//
CueR-Ag_neg	aspC//bioD//
CueR-Ag_pos	cysG//gcvP//
CueR-Cu+_neg	gltD//mhpC//
CueR-Cu+_pos	prpB//gcvH//
CuerR-Au_neg	glcB//malP//
CuerR-Au_pos	entC//ansB//
CusR-Pasp_pos	entD//entH//xylB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	rutA//chbG//gatY//
CysB-N-acetyl-L-serine_neg	lsrK//sodB//pgaD//
CysB-N-acetyl-L-serine_pos	hpt//malZ//astD//nrfB//hypB//glgX//tehB//avtA//cpdB//pflB//yfeW//allC//ampD//
CysB-O-acetyl-L-serine_neg	purH//bcsB//gcd//
CysB-O-acetyl-L-serine_pos	fadA//lacZ//mhpA//frdD//truB//ilvI//cueO//fumC//glgP//frdA//trpB//entE//citC//phnN//
DcuR-Phosphorylated_pos	nanE//malY//lacZ//idnD//
DnaA-ATP_neg	cynT//entA//uxuB//xdhC//nrdE//
DnaA-ATP_pos	cynS//tdcB//prmC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glgC//paaK//edd//gadB//uxuB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	paaZ//cyoE//
EvgA-Phosphorylated_pos	ugpQ//deoB//serC//sucB//caiB//
FNR-Fe_neg	hyaB//prmC//gcd//cueO//dadX//yqjH//hycB//tadA//amn//fucI//trpD//idnK//torC//rutD//ybjG//araA//malQ//moeA//phoA//cadA//abgB//frdC//glpB//tdcG//ubiG//entD//bioA//xdhC//sdaA//tsaE//carA//narI//ldtC//cysD//oxc//gcvT//recF//caiA//aspA//gatZ//ackA//phnI//entE//rdoA//aldA//rhaD//moaD//
FNR-Fe_pos	argI//lpxB//betA//malP//phnL//upp//narH//nrfC//fbaA//glpA//slt//hycB//waaH//hemA//hycF//ascB//folA//tyrB//preT//nagB//citC//lldD//ahpF//edd//hmp//ilvB//talA//puuC//dusB//ssuD//ubiC//pyrD//glgB//hycE//rbsK//nrfA//argI//gltD//moeA//dadX//ansB//dusB//nirD//nagA//ldtB//argF//torA//moaA//carB//entB//aceA//lpd//thrS//purN//frdC//purK//ulaE//idnO//uidA//pflB//ampD//cysM//sodA//malQ//speC//tktB//paaE//metL//sdhC//ynfF//entE//xylA//sdhC//gntK//nrdE//lldD//bcsZ//sdhC//glnA//fucI//feaB//aceE//sucD//eda//paaH//pheS//mhpC//gapA//ogt//uxuB//sdaA//tdcG//
FhlA-Formate_pos	pflB//codA//hyaA//ilvH//glpX//xapA//phnO//
FucR-L-fuculose-1-phosphate_pos	paaG//argF//purH//chbF//caiC//idnK//
Fur-Fe2+_neg	bcsB//lsrG//paaK//lacA//hyaC//paaC//frdB//mhpC//truB//prpC//fabZ//pagP//glpA//sucD//tauD//gatY//astD//phnO//puuD//ynfE//citE//fucK//purF//lsrK//iscS//fdhF//paaF//dkgB//ahpF//tnaA//aceB//galM//acnB//cadA//nrdD//allD//hpt//dapD//paaG//gcvH//hpt//dsdA//rbsK//chbG//bglB//aceA//metH//fucO//xdhB//lsrF//mhpA//citG//citC//hyaA//paaI//preT//gpmA//dadA//fadH//
Fur-Fe2+_pos	gcvP//upp//sucA//gabD//betB//uxaB//glgP//napC//uxuB//phnI//paaC//katG//tdcB//galE//sucC//ilvE//galM//frdB//astD//fau//
Fur-Mn2+_neg	idnK//ackA//acnB//metK//srlD//paaH//betB//hmp//glpA//narG//lysC//cyaA//ilvD//sdhC//glgA//frdA//aroG//yjeF//xdhC//idnO//cynS//metA//yfeW//purM//pncB//glpC//tktB//metL//acnB//fadH//cysN//moaA//fabZ//ung//polA//tdcE//hycG//rbsK//yqjH//codA//mltC//lsrK//aldB//ubiX//pncB//ftnA//paaB//xdhA//argC//hycE//metB//lpxB//lysC//argC//alkA//pyrD//metB//serA//ahpC//
Fur-Mn2+_pos	aceF//cysC//aroH//puuC//yjeF//ilvG_2//gcvT//purA//astC//mltC//astC//fau//alaA//xdhB//garR//cheB//prpC//bioC//carB//mhpD//
GlcC-Acetate_neg	
GlcC-Acetate_pos	lacA//prpE//entF//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	lysA//dsdA//pagP//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	napH//hyaC//cynT//
IdnR-5-ketogluconate_neg	araD//astA//
IdnR-5-ketogluconate_pos	tktB//moeA//waaH//rutE//
IdnR-Idonate_neg	ilvG_2//torC//
IdnR-Idonate_pos	prs//lpxB//glpX//pdeF//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	purM//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	idnO//
IscR-2Fe_neg	pgaB//garR//caiD//gpmA//pncB//
IscR-2Fe_pos	bioB//tam//
LldR-L-lactate_neg	appA//aroF//
LldR-L-lactate_pos	fau//prmC//
Lrp-Leucine_neg	nrdF//mhpC//ssuE//xylA//speA//waaH//trpD//nanE//purA//rbsK//dapB//dadA//sdhA//deoB//lysA//galK//icd//pgaB//uxaB//dmsC//ppiA//astE//polA//bcsA//
Lrp-Leucine_pos	napG//lysC//dmsB//bioF//ada//nrfA//fucO//purE//tktB//aroA//puuB//pgaB//lacZ//ampD//bioD//mutY//paaZ//hypF//
LsrR_neg	uxuA//hemL//uxaC//phnI//alkA//
MalT-ADP-Maltotriose_pos	hycC//codA//glpC//ldtC//ssuD//hemA//
MalT-Maltotriose-ATP_pos	deoA//ulaE//paaB//uidA//entA//citD//
MelR-Melibiose_neg	napB//pheT//
MelR-Melibiose_pos	nrdE//glpK//
MetJ-S-adenosylmethionine_neg	trpE//alkB//cysC//mhpD//phnJ//metK//hycC//glpQ//astE//ahpF//
MetR-L-homocysteine_neg	glpB//
MetR-L-homocysteine_pos	hycG//napC//tnaA//amn//
MhpR-3-DHPP_pos	cysG//ilvI//tadA//hcp//napB//cpdB//
MhpR-3HPP_pos	allC//puuA//ppiA//aldA//sodB//ilvG_1//
MntR-Cd2+_neg	ilvE//
MntR-Cd2+_pos	nanE//
ModE-MoO42-_neg	purK//yeaE//gltB//lsrF//dmsB//fadB//allD//acs//
ModE-MoO42-_pos	xdhB//gatY//mutY//trmD//bioF//ilvM//
NarL-Phosphorylated_neg	gltB//gutQ//nrdF//malZ//aroF//tktB//fadJ//entC//mhpE//glgX//ilvB//hmp//patZ//fdhF//gutQ//dadX//betA//glnA//aroA//rutA//phnI//ilvM//ndh//ubiA//
NarL-Phosphorylated_pos	mhpD//malS//gltB//hemL//pheS//ilvN//moaA//uxuA//yqjH//psd//trmD//uxaA//xylA//dnaE//pyrD//
NarP-Phosphorylated_neg	speC//nirB//ilvG_2//
NarP-Phosphorylated_pos	garL//mhpE//sufS//argD//ftnA//citE//prpD//idnO//tdh//lpd//
NhaR-Na+_pos	narH//gabD//metH//yfbR//
NikR-Cd2+_neg	purC//
NikR-Co2+_neg	lysC//
NikR-Cu2+_neg	glyA//
NikR-Ni2+_neg	gnd//
NikR-Zn2+_neg	ilvN//
NrdR-ATP_neg	allD//miaA//dapD//atoB//
NrdR-Zn2+_neg	hpt//ulaF//uxuB//gcvH//
NrdR-dATP_neg	ilvD//moeA//moeA//ogt//
NsrR-2Fe_neg	paaZ//deoD//nrfC//ilvB//manA//trpC//glgX//frdA//cysH//nrdD//sodB//cysN//nirD//phoA//phnG//glyA//bglB//bioF//caiA//fadD//cpdB//atoA//ispE//pheT//dsdA//pgk//ssuD//alaS//rhaD//pheS//
PhoB-Phosphorylated_neg	sdhD//yjeF//napH//cynS//zwf//
PhoB-Phosphorylated_pos	sodB//gadB//patZ//sucB//ulaE//lsrF//ubiC//paaB//bioA//pnp//dmsA//cdd//guaB//abgB//epd//rhaA//trpD//
PhoP-Phosphorylated_neg	cysK//ilvD//dgcZ//
PhoP-Phosphorylated_pos	nadC//bioB//ilvC//entA//ilvI//astA//uxuA//paaI//rnpB//acnB//hypF//galT//hypF//tdcD//srlD//ubiX//gatD//idnD//truB//glcE//fadI//moaA//mhpB//metF//glpK//speC//glgA//murQ//gltD//atoA//aroA//fumB//glgP//fucU//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	lsrK//betB//pncB//ynfF//
PurR-Guanine_neg	argF//cadA//metE//trmD//ackA//bioD//malY//cysI//purA//atoB//fadH//psd//dmsA//ulaD//ubiA//nanK//serA//gpsA//lpxB//tam//epd//prpD//cynT//chbF//cysC//katE//nanE//
PurR-Hypoxanthine_neg	narI//moaD//moeB//edd//entB//glgX//speC//glpK//yjeF//mltC//argE//pgaB//lldD//allC//citE//nagA//aceF//nrdB//paaZ//cdd//mutY//lpxA//fadH//nrfA//garL//uxuA//preT//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	ilvB//gcd//rnpB//
RstA-Phosphorylated_neg	gcvP//glpK//
RstA-Phosphorylated_pos	tdcG//
SoxR-2Fe_neg	
SoxR-2Fe_pos	glpX//fadD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pgaD//metB//glcE//
TrpR-Tryptophan_neg	gcvH//ynfE//hemA//napB//nirB//gapA//sdhC//umpH//serA//
TyrR-L-tryptophan_neg	fadB//mutL//phnN//gdhA//purM//fucA//hypB//
TyrR-L-tryptophan_pos	cysH//paaH//amn//
TyrR-Phenylalanine_neg	argC//atoA//alkA//acs//argB//ldtC//dadA//
TyrR-Phenylalanine_pos	fadJ//malQ//amn//
TyrR-Tyrosine_neg	nrdD//astC//fdhF//folE//tdcG//glgC//eda//
TyrR-Tyrosine_pos	fucO//metF//abgB//
UhpA-Phosphorylated_pos	idnD//
XapR-xanthosine_pos	bioB//melA//
XylR-Xylose_pos	cdd//hcp//araA//
ZntR-Cd2+_pos	guaB//
ZntR-Hg_pos	glgB//
ZntR-Zn2+_pos	paaC//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	lpxA//
