# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	pflB//cdd//
ArcA_CRP_IHF	puuC//
ArcA_CRP_PuuR	puuE//fadD//treC//glpC//
ArcA_CRP_RhaS	hpt//
ArcA_CRP_TreR	fucU//eda//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	waaH//tnaA//
ArcA_Cra	glpA//
ArcA_Cra_FNR_H-NS_HypT	hemA//
ArcA_CysB_FNR	
ArcA_FNR	fadD//lpxA//lyxK//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	feaB//
ArcA_FNR_Fis_IHF_NarL	napB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nemA//gatY//
ArcA_FNR_IHF_NarL	adiA//fadE//
ArcA_FNR_NarL	betB//ilvI//sdhC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	epd//garR//
ArcA_FadR	glnA//ssuD//sucB//
ArcA_FadR_Fis	uxuA//hemL//
ArcA_Fur_Lrp_ModE	gcd//ilvH//
ArcA_GlcC_IHF_PdhR	araD//umpH//nrdB//
ArcA_LexA	fabA//
ArcA_LldR	napB//hyaA//
ArcA_NarL	paaZ//
ArcA_NtrC_PhoP_RutR	rhaD//cysM//mhpF//fabZ//mraY//lpxA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rbsK//
ArgP_CRP_FNR_Fur_Nac	rhaD//
ArgP_DnaA	cysJ//
ArgP_Lrp	hemA//guaA//
ArgP_LysR	lsrF//
ArgP_PhoB	
ArgR_CRP	prmC//
ArgR_CRP_Fis	aroG//aceE//fadB//
ArgR_Fis_IHF_PepA_PurR_RutR	ulaE//
ArgR_H-NS_NtrC	lpd//citG//
ArgR_NtrC	araA//paaB//paaF//galK//truB//
ArgR_PhoP	sgbU//
AscG_CRP	galE//rutD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	murG//
AtoC_IHF	yiaK//purM//umpH//
BaeR_CpxR	uxuB//
BaeR_CpxR_EvgA	aspC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	dmsB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ppiA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	pflB//sdhA//nanA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	nrdF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	malS//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaE//gabT//aspC//appA//glcE//astA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	tdcE//epd//glpD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sdhB//fadH//prpB//
CRP_Cra_Mlc_NagC	gltD//edd//aldB//idnO//
CRP_Cra_PrpR	fucU//nanM//pyrC//udp//
CRP_CreB_Fis_MalT	icd//
CRP_CsiR_H-NS_Lrp	gnd//
CRP_CsiR_H-NS_Lrp_Nac	bglB//lacA//dmsB//
CRP_CspA_Fis	ilvD//
CRP_CytR	fadJ//
CRP_CytR_DeoR	nfsB//citF//
CRP_CytR_DeoR_Fis_ModE	prmC//lyxK//adiA//murF//
CRP_CytR_Nac	metK//
CRP_CytR_NsrR	lhgO//
CRP_DcuR_FNR_NarL	idnD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	astC//yqjH//
CRP_DpiA_ExuR	sodB//
CRP_DsdC	gapA//paaK//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hycG//
CRP_ExuR	aroA//
CRP_ExuR_FNR	fadH//ssuD//
CRP_ExuR_OxyR_UxuR	zwf//sucD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ackA//
CRP_FNR_Fis	tauD//yqjH//
CRP_FNR_Fis_GlpR_IHF	carA//glpA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fucA//accB//napC//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	deoC//ddlB//pgaD//citE//sdhC//
CRP_FNR_NarL	dadX//gntK//
CRP_FeaR_NsrR	yqjH//
CRP_Fis	entA//recF//entE//
CRP_Fis_FlhDC_GalR_GalS	pdeR//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	malQ//mdh//
CRP_Fis_IHF	gatY//puuE//fucI//
CRP_Fis_NanR	gcvH//gatZ//caiC//napA//
CRP_Fis_NtrC	hypB//
CRP_Fis_XylR	rhaB//
CRP_FlhDC_GalR_GalS	gatY//
CRP_FucR	xylA//frdD//hyaC//eda//purD//gcvP//
CRP_Fur	ndh//ssuE//garK//fucK//umpH//hypB//pyrC//garK//frdA//fabB//
CRP_Fur_HypT_PdhR	glpX//hycB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nagB//malP//gnd//rutB//
CRP_GalR_GalS_NagC	ppiA//
CRP_GlpR	glpB//murC//nrfD//
CRP_GntR	citC//
CRP_GntR_IdnR	ubiA//adhE//ilvI//edd//nrdA//icd//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	betB//fabA//mhpB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	narI//
CRP_H-NS_LacI	citX//fbaA//citF//
CRP_H-NS_LeuO	paaJ//
CRP_H-NS_MqsA	
CRP_IHF	fabA//yqjH//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gadA//
CRP_IHF_PaaX	murQ//ogt//garL//galK//gabD//ilvG_2//paaE//caiC//
CRP_IHF_UlaR	mhpE//torC//gadA//galT//
CRP_IHF_YiaJ	citF//paaZ//paaB//puuE//rnpB//puuD//
CRP_LexA	
CRP_Lrp	gatZ//mdh//nagB//rutA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	araB//
CRP_LsrR	gapA//gltD//epd//nagB//paaZ//
CRP_MalI	gltD//galK//
CRP_MalT	glpA//nrdD//
CRP_MalT_PhoP	caiA//
CRP_MelR	gntK//pgaC//
CRP_MetJ	mhpD//
CRP_MhpR	napC//prpC//lpxC//deoA//hypF//entA//
CRP_Mlc	
CRP_ModE	gabD//
CRP_MurR	gutQ//aspA//caiD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	entD//
CRP_NagC	sucC//fbaA//pdeL//chbG//aroG//
CRP_NagC_NanR	glpD//patA//
CRP_NagC_PhoP	srlD//
CRP_OxyR	
CRP_OxyR_UxuR	fadE//
CRP_PhoB	tam//hycE//
CRP_PhoP	narG//gatZ//citE//
CRP_PutA	paaJ//
CRP_RbsR	cadA//glpA//idnK//
CRP_RhaR_RhaS	
CRP_RhaS	moaD//ndh//sdhC//
CRP_Rob	rhaD//
CRP_TorR	ilvD//prmC//
CRP_UhpA_UvrY	sdhC//
CRP_UidR_UxuR	gatD//fabZ//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	aceB//paaH//
Cbl_CysB_FNR_IHF	gapA//mnmG//sucB//
CdaR_FNR_Fis_Fur_H-NS	yqjH//entF//
CdaR_FNR_Fur_H-NS	frdB//glpA//nagA//sgbH//
CpxR_CsgD_FliZ	
CpxR_CysB	fucA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nfsB//
CpxR_GadE	ubiC//ilvG_1//glcF//
CpxR_H-NS	nrdF//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lpxA//
Cra_FNR_Fis_Lrp_NarL	codA//
Cra_FNR_Fur_MarA_Rob_SoxS	argD//
Cra_FhlA_FlhDC	sucB//
Cra_GntR_KdgR	fucI//
Cra_GntR_KdgR_PhoB	malQ//
Cra_MarA_SoxS	aroG//
Cra_PdeL	astD//
Cra_SgrR	rsmH//
Cra_TyrR	paaB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	dsdA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	glcF//mpl//
CusR_PhoB_YedW	lacZ//
CysB_H-NS	murE//chbF//fumB//
CysB_HypT_IHF	fumC//
CysB_IHF	dusB//atoB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	ftsI//
DinJ-YafQ_LexA	feaB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	glcB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	narI//
FNR_FhlA_NarL_NarP	mhpF//uxuA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ulaG//
FNR_Fis_IHF_ModE_NarL	glpK//
FNR_Fis_IHF_NarL	nrdF//
FNR_Fis_IHF_NarL_RstA	aroL//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	murC//
FNR_FlhDC_ModE_NarL_NarP	gcvT//
FNR_Fur	argG//yiaK//
FNR_Fur_GadE	glcB//
FNR_Fur_GadX_NtrC	nfsA//
FNR_Fur_H-NS	pnp//mhpE//tdcE//
FNR_Fur_MetR_NsrR	aroA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	metK//
FNR_Fur_OxyR	cysM//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	aceE//
FNR_H-NS_NrdR	mazG//rhaA//
FNR_IHF	aspA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	rbsK//
FNR_IHF_PhoB	
FNR_MalT	galE//ynfH//
FNR_ModE	
FNR_NarL	cysM//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	katE//rutD//
FNR_NarL_NikR	ssuE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	uxaC//fucK//
FNR_YqjI	
FabR_FadR	paaE//rutB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pyrD//galK//
FhlA_IHF_NsrR	
Fis_Fur	sucC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hmp//
Fis_IHF	
Fis_IHF_NtrC	frdD//malP//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	uxuA//
Fis_NarL	uxaC//
Fis_NarL_NarP_NsrR	
Fis_PurR	glpD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	accC//
Fur_H-NS	nanA//pck//
Fur_IHF_IscR_NsrR_OxyR	araB//
Fur_IscR_NrdR	sucB//
Fur_MetR	icd//
Fur_MntR	narH//
Fur_MntR_OxyR	umpH//
Fur_OxyR	
Fur_PurR	sucA//
Fur_RcnR	putA//
Fur_RutR	metB//
Fur_SoxS_Zur	
Fur_YqjI	prpD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	gcvP//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ilvA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	nrdA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	aldA//
H-NS_Lrp_NhaR_RcsB	cdd//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	dadA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	dmsC//
HU_IHF_TyrR	ilvA//
HigA_HigB-HigA	fucA//
HipAB_HipB_IHF	metK//
HypT_MetJ	glgC//
HypT_MetJ_PhoP	pgaB//edd//
IHF_Lrp	serC//nirD//mhpA//serA//guaB//
IHF_NsrR	
IHF_NtrC	araB//
IHF_PhoP	
IHF_PspF	moaE//
IHF_RcsAB	
IHF_RtcR	ubiC//lsrF//
IHF_TyrR	nrdF//
IHF_UlaR	astB//
LexA_MraZ_PdhR	purA//guaB//citF//sdhB//pdeL//nrdB//mhpC//sgbE//sucD//deoB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	astA//galM//
MarA_PhoP_Rob_SoxS	nrfC//gatY//murE//prmC//garR//nrdB//paaA//gatY//araB//
MarA_Rob_SoxS	mhpA//cysI//
MarA_SoxS	srlD//moaD//ilvM//
MetJ_MetR	uxuB//
MetJ_OxyR	gntK//
MetR_PurR	fadI//
MraZ_PdhR	appA//
Nac_PurR	ilvG_2//lpxC//
NarL_TorR	hycE//
NemR_RutR	frdB//hycE//
NhaR_OmpR	hyaB//fucA//murQ//
NorR_NsrR	
NsrR_PhoB	murG//
OxyR_SoxS	
PdhR_PhoP	mazG//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ulaG//mhpD//
RelB_RelB-RelE	dsdA//
TrpR_TyrR	nfsA//
YefM_YefM-YoeB	sodA//
