# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	metK//paaI//
ArcA_CRP_IHF	sucD//
ArcA_CRP_PuuR	mhpF//astB//glgP//uxuA//
ArcA_CRP_RhaS	yqjH//
ArcA_CRP_TreR	lldD//napB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pspE//icd//
ArcA_Cra	nrdB//
ArcA_Cra_FNR_H-NS_HypT	galT//
ArcA_CysB_FNR	
ArcA_FNR	gltB//mazG//mraY//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	deoD//
ArcA_FNR_Fis_IHF_NarL	tnaA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	mhpE//guaA//
ArcA_FNR_IHF_NarL	fdhF//ddlB//
ArcA_FNR_NarL	paaG//cysH//dsdA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	entH//cdd//
ArcA_FadR	fadB//lpd//glpX//
ArcA_FadR_Fis	aceB//udp//
ArcA_Fur_Lrp_ModE	galM//glgC//
ArcA_GlcC_IHF_PdhR	galM//acs//gapA//
ArcA_LexA	patA//
ArcA_LldR	ilvE//entE//
ArcA_NarL	hemA//
ArcA_NtrC_PhoP_RutR	nagA//sodB//lpxD//ulaE//citD//glpX//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaE//
ArgP_CRP_FNR_Fur_Nac	gatY//
ArgP_DnaA	lhgO//
ArgP_Lrp	hycE//nirD//
ArgP_LysR	purH//
ArgP_PhoB	
ArgR_CRP	rbsD//
ArgR_CRP_Fis	fadB//atoA//moaA//
ArgR_Fis_IHF_PepA_PurR_RutR	hmp//
ArgR_H-NS_NtrC	fes//mhpB//
ArgR_NtrC	chbF//gnd//relA//hyaC//torC//
ArgR_PhoP	glpX//
AscG_CRP	fbaA//argG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	deoB//
AtoC_IHF	murQ//citC//adhE//
BaeR_CpxR	malP//
BaeR_CpxR_EvgA	glpX//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ubiA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	fadJ//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	galE//frdC//glpD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fau//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	paaG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	mhpB//lyxK//metB//serC//lsrG//nrdA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	caiC//entA//glpC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	glpK//hypF//yqjH//
CRP_Cra_Mlc_NagC	glpQ//adiA//metB//garK//
CRP_Cra_PrpR	glcE//nanK//ahpF//lacZ//
CRP_CreB_Fis_MalT	murF//
CRP_CsiR_H-NS_Lrp	pdeL//
CRP_CsiR_H-NS_Lrp_Nac	nrdE//nfsB//rimK//
CRP_CspA_Fis	rbsK//
CRP_CytR	cysJ//
CRP_CytR_DeoR	metK//moaA//
CRP_CytR_DeoR_Fis_ModE	mnmG//paaI//mhpD//srlD//
CRP_CytR_Nac	tdcE//
CRP_CytR_NsrR	glnA//
CRP_DcuR_FNR_NarL	atoD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hyaA//paaG//
CRP_DpiA_ExuR	ackA//
CRP_DsdC	ansB//fadA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	guaA//
CRP_ExuR	ilvG_2//
CRP_ExuR_FNR	cyoE//aroL//
CRP_ExuR_OxyR_UxuR	rutB//sucD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	pnp//
CRP_FNR_Fis	ilvH//pgaB//
CRP_FNR_Fis_GlpR_IHF	nrdF//prpB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fabZ//hycC//nrdB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	citE//nrfC//waaY//sgbH//chbF//
CRP_FNR_NarL	aroL//ugpQ//
CRP_FeaR_NsrR	malP//
CRP_Fis	hemA//dadX//astC//
CRP_Fis_FlhDC_GalR_GalS	hyaA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	paaG//metH//
CRP_Fis_IHF	lacZ//nanE//udp//
CRP_Fis_NanR	rhaB//galK//epd//gcvT//
CRP_Fis_NtrC	entE//
CRP_Fis_XylR	pdeL//
CRP_FlhDC_GalR_GalS	pyrC//
CRP_FucR	mnmG//deoD//lsrG//lsrF//mtlD//pflB//
CRP_Fur	ascB//rbsK//galE//prpD//paaB//waaY//aceF//puuD//lpd//ssuE//
CRP_Fur_HypT_PdhR	hypF//cadA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hemL//waaY//glgC//narI//
CRP_GalR_GalS_NagC	folA//
CRP_GlpR	pyrD//caiD//hyaB//
CRP_GntR	hemL//
CRP_GntR_IdnR	cdd//fbaA//purH//cysI//katE//entD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	cadA//lpd//ulaD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	napA//
CRP_H-NS_LacI	glpX//aspA//aldA//
CRP_H-NS_LeuO	tdcE//
CRP_H-NS_MqsA	
CRP_IHF	malP//malS//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	serC//
CRP_IHF_PaaX	ugpQ//katE//tdcB//relA//acs//caiA//cysJ//lsrG//
CRP_IHF_UlaR	guaA//gltB//glpD//chbF//
CRP_IHF_YiaJ	rhaA//ogt//ldtB//zwf//glcE//dusB//
CRP_LexA	
CRP_Lrp	serA//glcE//frdA//tdcB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gltA//
CRP_LsrR	cysG//sodB//sdhC//glpC//sdhD//
CRP_MalI	uxuB//araA//
CRP_MalT	lpd//sgbU//
CRP_MalT_PhoP	atoD//
CRP_MelR	glpQ//lpxD//
CRP_MetJ	astD//
CRP_MhpR	purH//uxaA//citD//atoB//pdeL//glyA//
CRP_Mlc	
CRP_ModE	nrfC//
CRP_MurR	ulaG//entD//ftnA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	accC//
CRP_NagC	katG//napC//cysG//edd//puuB//
CRP_NagC_NanR	metH//rhaB//
CRP_NagC_PhoP	napA//
CRP_OxyR	
CRP_OxyR_UxuR	entF//
CRP_PhoB	lpxC//rhaD//
CRP_PhoP	zwf//betB//napA//
CRP_PutA	deoD//
CRP_RbsR	tdcB//glgA//uvrA//
CRP_RhaR_RhaS	
CRP_RhaS	lysA//guaA//sgbH//
CRP_Rob	araA//
CRP_TorR	fes//fucA//
CRP_UhpA_UvrY	nirB//
CRP_UidR_UxuR	mpl//kbaZ//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	mhpB//edd//
Cbl_CysB_FNR_IHF	argD//sodA//ahpC//
CdaR_FNR_Fis_Fur_H-NS	purN//putA//
CdaR_FNR_Fur_H-NS	paaI//dusB//entA//moaA//
CpxR_CsgD_FliZ	
CpxR_CysB	ftnA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gloA//
CpxR_GadE	aldB//gcvT//hmp//
CpxR_H-NS	xylA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	hpt//
Cra_FNR_Fis_Lrp_NarL	acnA//
Cra_FNR_Fur_MarA_Rob_SoxS	gatD//
Cra_FhlA_FlhDC	paaJ//
Cra_GntR_KdgR	glpA//
Cra_GntR_KdgR_PhoB	purN//
Cra_MarA_SoxS	frdA//
Cra_PdeL	sdhD//
Cra_SgrR	murG//
Cra_TyrR	pspE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rnpB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	hpt//codA//
CusR_PhoB_YedW	recF//
CysB_H-NS	garR//nrdF//gatY//
CysB_HypT_IHF	glpD//
CysB_IHF	aldB//astB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nagB//
DinJ-YafQ_LexA	glgA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ugpQ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	fucO//
FNR_FhlA_NarL_NarP	fabZ//poxB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rutC//
FNR_Fis_IHF_ModE_NarL	lsrK//
FNR_Fis_IHF_NarL	sucB//
FNR_Fis_IHF_NarL_RstA	nrdF//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	puuD//
FNR_FlhDC_ModE_NarL_NarP	gatZ//
FNR_Fur	sucA//ssuD//
FNR_Fur_GadE	metB//
FNR_Fur_GadX_NtrC	ndh//
FNR_Fur_H-NS	ilvD//ahpF//lsrF//
FNR_Fur_MetR_NsrR	lpxC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ulaD//
FNR_Fur_OxyR	idnO//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	purD//
FNR_H-NS_NrdR	treC//malP//
FNR_IHF	edd//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	lpxA//
FNR_IHF_PhoB	
FNR_MalT	frdA//nanM//
FNR_ModE	
FNR_NarL	ynfF//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ugpQ//glcE//
FNR_NarL_NikR	sdhA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nfsB//fadB//
FNR_YqjI	
FabR_FadR	entH//glcE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	sdhB//ilvE//
FhlA_IHF_NsrR	
Fis_Fur	tdcG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	narH//
Fis_IHF	
Fis_IHF_NtrC	mhpE//araD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	aceA//
Fis_NarL	fabZ//
Fis_NarL_NarP_NsrR	
Fis_PurR	puuB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	rhaB//
Fur_H-NS	glpD//adhE//
Fur_IHF_IscR_NsrR_OxyR	ilvD//
Fur_IscR_NrdR	gatZ//
Fur_MetR	nrfB//
Fur_MntR	ilvI//
Fur_MntR_OxyR	acnB//
Fur_OxyR	
Fur_PurR	gcvH//
Fur_RcnR	lhgO//
Fur_RutR	lpxD//
Fur_SoxS_Zur	
Fur_YqjI	deoC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	pgaB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	metE//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	pgaD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	paaK//
H-NS_Lrp_NhaR_RcsB	prpC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	relA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	dmsA//
HU_IHF_TyrR	hyaB//
HigA_HigB-HigA	guaB//
HipAB_HipB_IHF	ftsI//
HypT_MetJ	prpE//
HypT_MetJ_PhoP	lpxA//feaB//
IHF_Lrp	rbsD//icd//rutC//kbaZ//nrfD//
IHF_NsrR	
IHF_NtrC	waaZ//
IHF_PhoP	
IHF_PspF	waaH//
IHF_RcsAB	
IHF_RtcR	purA//glpB//
IHF_TyrR	ndh//
IHF_UlaR	prmC//
LexA_MraZ_PdhR	citD//mraY//ascB//glpK//folA//ynfF//hycC//galK//purN//malS//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	paaE//nirB//
MarA_PhoP_Rob_SoxS	torC//recF//ftsI//garL//purD//ssuE//sodB//malY//gadB//
MarA_Rob_SoxS	torC//caiD//
MarA_SoxS	paaC//glyA//hycE//
MetJ_MetR	paaZ//
MetJ_OxyR	rutC//
MetR_PurR	glcE//
MraZ_PdhR	fabB//
Nac_PurR	treC//nrfA//
NarL_TorR	uxuB//
NemR_RutR	metH//tdcE//
NhaR_OmpR	garL//malP//caiC//
NorR_NsrR	
NsrR_PhoB	purD//
OxyR_SoxS	
PdhR_PhoP	atoA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	sgbH//purN//
RelB_RelB-RelE	ddlB//
TrpR_TyrR	nemA//
YefM_YefM-YoeB	epd//
