# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	astD//ilvA//
ArcA_CRP_IHF	glpX//
ArcA_CRP_PuuR	fabZ//rimK//entD//nagA//
ArcA_CRP_RhaS	moaE//
ArcA_CRP_TreR	ilvG_2//fadE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	tdcB//mhpA//
ArcA_Cra	sdhA//
ArcA_Cra_FNR_H-NS_HypT	betB//
ArcA_CysB_FNR	
ArcA_FNR	glgP//sgbH//ftnA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nirB//
ArcA_FNR_Fis_IHF_NarL	tdcB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nrfA//nrdB//
ArcA_FNR_IHF_NarL	murG//waaY//
ArcA_FNR_NarL	icd//deoC//aroL//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	ulaG//pgaC//
ArcA_FadR	glgC//melA//tdcG//
ArcA_FadR_Fis	glcE//uxuA//
ArcA_Fur_Lrp_ModE	paaG//torC//
ArcA_GlcC_IHF_PdhR	paaZ//entB//nrdD//
ArcA_LexA	glpB//
ArcA_LldR	rhaA//fadE//
ArcA_NarL	ilvD//
ArcA_NtrC_PhoP_RutR	glpD//malQ//hycC//astC//nanA//argG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	glyA//
ArgP_CRP_FNR_Fur_Nac	dmsB//
ArgP_DnaA	hycB//
ArgP_Lrp	appA//xylA//
ArgP_LysR	mazG//
ArgP_PhoB	
ArgR_CRP	yiaK//
ArgR_CRP_Fis	astA//gatY//ulaD//
ArgR_Fis_IHF_PepA_PurR_RutR	paaG//
ArgR_H-NS_NtrC	udp//sucB//
ArgR_NtrC	gabT//citD//murF//gcvH//gltA//
ArgR_PhoP	astE//
AscG_CRP	fadI//hycG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	metB//
AtoC_IHF	glpA//betB//cysM//
BaeR_CpxR	gltA//
BaeR_CpxR_EvgA	frdB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	katG//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	metH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nirD//carB//ulaE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	pgaB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	sucA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	gutQ//citC//carA//ilvI//hycC//pnp//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hycD//fau//paaG//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	pncB//ilvD//atoA//
CRP_Cra_Mlc_NagC	melA//rsmH//idnD//tdcD//
CRP_Cra_PrpR	glpB//kbaZ//murE//serC//
CRP_CreB_Fis_MalT	betB//
CRP_CsiR_H-NS_Lrp	pdeL//
CRP_CsiR_H-NS_Lrp_Nac	nanK//hyaA//fadB//
CRP_CspA_Fis	uidA//
CRP_CytR	ldtB//
CRP_CytR_DeoR	murG//gnd//
CRP_CytR_DeoR_Fis_ModE	mhpD//metE//fumC//nemA//
CRP_CytR_Nac	hpt//
CRP_CytR_NsrR	mtlD//
CRP_DcuR_FNR_NarL	fumC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	cysJ//metB//
CRP_DpiA_ExuR	dgcZ//
CRP_DsdC	sucD//hemL//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	putA//
CRP_ExuR	glpA//
CRP_ExuR_FNR	moaD//hyaB//
CRP_ExuR_OxyR_UxuR	nanA//paaZ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	napH//
CRP_FNR_Fis	rutE//appA//
CRP_FNR_Fis_GlpR_IHF	citF//accB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ilvE//edd//cysH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	mtlD//dmsA//acnB//atoB//dmsC//
CRP_FNR_NarL	uidA//mhpB//
CRP_FeaR_NsrR	mhpA//
CRP_Fis	aldA//gatZ//hycG//
CRP_Fis_FlhDC_GalR_GalS	fumA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvD//garL//
CRP_Fis_IHF	idnK//mtlD//appA//
CRP_Fis_NanR	mnmG//astE//icd//murD//
CRP_Fis_NtrC	hemL//
CRP_Fis_XylR	narI//
CRP_FlhDC_GalR_GalS	pyrC//
CRP_FucR	aceE//garK//carA//prpC//serC//astD//
CRP_Fur	pdeL//mhpE//ogt//nrfD//pdeR//gadA//katE//aroL//edd//araB//
CRP_Fur_HypT_PdhR	glpD//sufS//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	araA//dmsC//glpK//astB//
CRP_GalR_GalS_NagC	cysG//
CRP_GlpR	ulaG//zwf//cysM//
CRP_GntR	ilvD//
CRP_GntR_IdnR	nagA//yqjH//cysM//glcD//nrfB//paaE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nrfC//ynfF//citD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	entD//
CRP_H-NS_LacI	narH//hycG//uvrA//
CRP_H-NS_LeuO	fes//
CRP_H-NS_MqsA	
CRP_IHF	ahpC//carA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	idnD//
CRP_IHF_PaaX	dmsB//ogt//glgC//nanK//moeB//gapA//umpH//cysI//
CRP_IHF_UlaR	glcB//ynfE//ilvA//sdhC//
CRP_IHF_YiaJ	uvrA//hycB//moeB//lpd//prpC//lyxK//
CRP_LexA	
CRP_Lrp	purN//murE//hpt//pgaC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fucI//
CRP_LsrR	ugpQ//pspE//astD//fadJ//gltB//
CRP_MalI	aceB//gapA//
CRP_MalT	entB//truB//
CRP_MalT_PhoP	glcB//
CRP_MelR	sdhC//sdhC//
CRP_MetJ	tam//
CRP_MhpR	ubiA//ilvD//ugpQ//garK//hypB//garK//
CRP_Mlc	
CRP_ModE	uidA//
CRP_MurR	araB//yqjH//hycE//
CRP_Nac_NsrR_PhoB	
CRP_NadR	garK//
CRP_NagC	mhpE//hemA//zwf//torA//nrdA//
CRP_NagC_NanR	recF//ftsI//
CRP_NagC_PhoP	entC//
CRP_OxyR	
CRP_OxyR_UxuR	lyxK//
CRP_PhoB	dmsA//araD//
CRP_PhoP	fadB//mdh//mdh//
CRP_PutA	nrfD//
CRP_RbsR	hyaA//nirD//nrfB//
CRP_RhaR_RhaS	
CRP_RhaS	fadD//argG//citG//
CRP_Rob	nrdA//
CRP_TorR	rhaD//caiD//
CRP_UhpA_UvrY	glyA//
CRP_UidR_UxuR	ilvG_1//tam//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ilvG_2//ilvD//
Cbl_CysB_FNR_IHF	pdeR//nanA//murE//
CdaR_FNR_Fis_Fur_H-NS	acnB//pflB//
CdaR_FNR_Fur_H-NS	fumB//fucO//paaF//glgA//
CpxR_CsgD_FliZ	
CpxR_CysB	malS//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	zwf//
CpxR_GadE	narI//appA//cysG//
CpxR_H-NS	pdeL//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aceF//
Cra_FNR_Fis_Lrp_NarL	dusB//
Cra_FNR_Fur_MarA_Rob_SoxS	entF//
Cra_FhlA_FlhDC	glpB//
Cra_GntR_KdgR	hmp//
Cra_GntR_KdgR_PhoB	mraY//
Cra_MarA_SoxS	ftsI//
Cra_PdeL	moeB//
Cra_SgrR	fbaA//
Cra_TyrR	moeA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ubiA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	sodA//mraY//
CusR_PhoB_YedW	prpE//
CysB_H-NS	srlD//putA//citG//
CysB_HypT_IHF	gcvP//
CysB_IHF	tnaA//ftsI//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	moeA//
DinJ-YafQ_LexA	rsmH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	hycF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	gatD//
FNR_FhlA_NarL_NarP	guaB//napH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaA//
FNR_Fis_IHF_ModE_NarL	gltD//
FNR_Fis_IHF_NarL	araB//
FNR_Fis_IHF_NarL_RstA	narI//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	caiC//
FNR_FlhDC_ModE_NarL_NarP	rutC//
FNR_Fur	lsrK//hpt//
FNR_Fur_GadE	hycB//
FNR_Fur_GadX_NtrC	gntK//
FNR_Fur_H-NS	citD//kbaZ//puuE//
FNR_Fur_MetR_NsrR	truB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	dsdA//
FNR_Fur_OxyR	gabD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	zwf//
FNR_H-NS_NrdR	rutA//paaZ//
FNR_IHF	pflB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	galM//
FNR_IHF_PhoB	
FNR_MalT	rutA//atoB//
FNR_ModE	
FNR_NarL	icd//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aceB//murF//
FNR_NarL_NikR	rimK//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	pnp//uidA//
FNR_YqjI	
FabR_FadR	nagA//aspA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	galE//narG//
FhlA_IHF_NsrR	
Fis_Fur	nrfB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	frdB//
Fis_IHF	
Fis_IHF_NtrC	pflB//deoD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ubiC//
Fis_NarL	paaH//
Fis_NarL_NarP_NsrR	
Fis_PurR	nrdF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	aroG//
Fur_H-NS	nrfD//folA//
Fur_IHF_IscR_NsrR_OxyR	gadB//
Fur_IscR_NrdR	ahpF//
Fur_MetR	srlD//
Fur_MntR	betB//
Fur_MntR_OxyR	ddlB//
Fur_OxyR	
Fur_PurR	nagA//
Fur_RcnR	glgA//
Fur_RutR	lsrK//
Fur_SoxS_Zur	
Fur_YqjI	pgaC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	paaC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	yiaK//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	puuE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ssuE//
H-NS_Lrp_NhaR_RcsB	accB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	cysG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	araA//
HU_IHF_TyrR	ftsI//
HigA_HigB-HigA	fadJ//
HipAB_HipB_IHF	cadA//
HypT_MetJ	citC//
HypT_MetJ_PhoP	moeB//puuA//
IHF_Lrp	ftsI//uxuB//puuA//adhE//tnaA//
IHF_NsrR	
IHF_NtrC	pncB//
IHF_PhoP	
IHF_PspF	purN//
IHF_RcsAB	
IHF_RtcR	udp//rutA//
IHF_TyrR	pdeR//
IHF_UlaR	ynfF//
LexA_MraZ_PdhR	entD//fucO//paaF//lsrK//araB//sgbE//rhaA//lysA//rhaA//atoB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	zwf//acnB//
MarA_PhoP_Rob_SoxS	frdD//pyrC//entD//frdD//sucC//hemA//aspA//mdh//citX//
MarA_Rob_SoxS	araB//pncB//
MarA_SoxS	paaB//idnO//mhpB//
MetJ_MetR	garR//
MetJ_OxyR	gdhA//
MetR_PurR	nfsA//
MraZ_PdhR	glpC//
Nac_PurR	malQ//ulaF//
NarL_TorR	relA//
NemR_RutR	pck//eda//
NhaR_OmpR	fumB//citC//idnK//
NorR_NsrR	
NsrR_PhoB	cysM//
OxyR_SoxS	
PdhR_PhoP	lsrK//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gltD//rbsD//
RelB_RelB-RelE	glnA//
TrpR_TyrR	citC//
YefM_YefM-YoeB	galK//
