#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b0621//sroD//
ArgR_PhoP	b3126//
AscG_CRP	b2804//b3331//b1245//
AscG_CRP_PhoB_PrpR	b2367//
AsnC_MraZ_Nac	b4058//
AsnC_Nac	b2199//b4192//
AtoC_IHF	b0225//b1683//b2204//b1011//
BaeR_CpxR	b2990//b3581//b1189//b4467//b3093//b2079//b4439//
BaeR_CpxR_EvgA	b4511//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	b3413//b0765//b3404//b4059//
BasR_CpxR_PdhR	b4468//b1112//
BasR_Fis	b4324//
BasR_H-NS_IHF_NagC_NanR	b2678//
BasR_MarA_PutA	b1922//
BasR_PhoP	b2423//
BasR_QseB	b2488//b3077//
CRP_CaiF_FNR	b2284//b3506//b1907//b1673//
CRP_ChbR_NagC	b3742//b0975//b3224//b2758//b0977//b0873//
CRP_ComR	b4577//
CRP_CpxR	b3091//
CRP_CpxR_CytR	b3727//
CRP_CpxR_CytR_DnaA_IHF	b0333//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	b2675//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	b4322//b2710//b0314//b2731//
CRP_Cra	b3701//b0785//b2781//b1497//b2163//b2308//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	b2239//b2662//b4376//b0812//
CRP_Cra_FNR_PdhR	b0093//
CRP_Cra_Fis	b3491//
CRP_Cra_Fis_GlcC	b3164//
CRP_Cra_Fis_MtlR	b4310//b2741//b2076//
CRP_Cra_Mlc_NagC	b3265//b0570//b3036//b3077//b4511//b0034//
CRP_Cra_PrpR	b2573//b3625//b0811//b2927//
CRP_CreB_Fis_MalT	b0886//b3575//b3600//
CRP_CsiR_H-NS_Lrp	b2278//b3769//
CRP_CsiR_H-NS_Lrp_Nac	b0431//b0205//b3772//
CRP_CspA_Fis	b2805//
CRP_CytR	b3214//b3213//b3600//
CRP_CytR_DeoR	b0574//b4117//
CRP_CytR_DeoR_Fis_ModE	b0313//b0614//b1039//b4662//
CRP_CytR_Nac	b1535//
CRP_CytR_NsrR	b0723//
CRP_DcuR_FNR_NarL	b4000//
CRP_DinJ-YafQ	b4187//
CRP_DnaA_Fis_PurR	b3316//b1951//
CRP_DpiA_ExuR	b2762//
CRP_DsdC	b4117//b4032//
CRP_EbgR	b1951//b4476//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	b3224//b3624//
CRP_ExuR	b3260//
CRP_ExuR_FNR	b0429//b1038//
CRP_ExuR_OxyR_UxuR	b4117//b2149//
CRP_ExuR_UxuR	b1299//
CRP_FNR	b3404//
CRP_FNR_FhlA_HyfR	b4400//b4124//b0615//b2716//b0733//b1591//b3479//b3070//b3478//b2977//b4317//b0462//
CRP_FNR_Fis	b3124//b3725//b3868//
CRP_FNR_Fis_GlpR_IHF	b3480//b2755//
CRP_FNR_Fis_H-NS_SlyA	b3852//
CRP_FNR_GcvA_Lrp_PurR	b2710//b2659//b4027//
CRP_FNR_H-NS_NarL	b4460//
CRP_FNR_IHF_TdcA_TdcR	b3569//b1324//b4076//b3604//b1190//b3939//b4310//
CRP_FNR_NarL	b3260//b0350//b2393//
CRP_FeaR_NsrR	b2488//
CRP_Fis	b2709//b4073//b4133//b1211//b1039//
CRP_Fis_FlhDC_GalR_GalS	b3855//b2726//
CRP_Fis_FliZ_IHF_Lrp	b2231//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	b0587//b4063//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	b2706//b2489//b0676//
CRP_Fis_IHF	b1241//b2029//b3325//b1224//b0614//
CRP_Fis_NanR	b3971//b1395//b2203//b3274//b2079//
CRP_Fis_NtrC	b3580//b3855//b1513//
CRP_Fis_XylR	b2710//b3576//b3170//
CRP_FlhDC_GalR_GalS	b1712//
CRP_FucR	b1920//b3751//b4009//b0880//b0064//b1591//b3236//
CRP_Fur	b2029//b4264//b3214//b1589//b2976//b0084//b4314//b4124//b0602//
CRP_Fur_HypT_PdhR	b0035//b3073//b3868//b3165//b3576//
CRP_Fur_OxyR_SoxS	b2994//
CRP_GalR_GalS	b2994//
CRP_GalR_GalS_H-NS_HU	b3766//b4072//b0352//b0974//
CRP_GalR_GalS_NagC	b1257//
CRP_GlpR	b1257//b4511//b1500//
CRP_GntR	b0348//b3604//
CRP_GntR_IdnR	b1307//b1334//b1679//b0086//b2224//b4431//b2206//
CRP_GntR_IscR	b0042//
CRP_GutM_GutR_H-NS	b0724//b3213//b3924//b2075//b0584//b1324//b4452//
CRP_H-NS	b0070//
CRP_H-NS_HipAB_HipB_NtrC	b0093//
CRP_H-NS_LacI	b3311//b2718//b1563//
CRP_H-NS_LeuO	b0765//b3542//b0998//b0620//b4265//b2163//b0178//
CRP_H-NS_MqsA	b0019//
CRP_IHF	b3359//b2980//b2308//b4008//
CRP_IHF_MprA_OmpR	b0903//
CRP_IHF_NsrR	b1669//
CRP_IHF_PaaX	b1779//b0042//b3540//b0682//b3741//b4288//b3927//b2660//b0826//b4237//b0617//b1716//
CRP_IHF_UlaR	b0440//b3970//b3403//b4669//b1324//b4124//
CRP_IHF_YiaJ	b4026//b4040//b0722//b2421//b2094//b3479//b2029//b0979//b2481//b3124//
CRP_LexA	b0036//
CRP_Lrp	b3568//b2784//b0933//b4009//
CRP_Lrp_Mlc	b3702//
CRP_Lrp_Nac	b1007//
CRP_LsrR	b0979//b1563//b4133//b1244//b1222//b2995//b2994//b1973//b0198//
CRP_MalI	b2729//b1748//b4309//
CRP_MalT	b0350//b1474//b3230//
CRP_MalT_PhoP	b0064//
CRP_MelR	b0683//b4152//b2957//
CRP_MetJ	b0089//
CRP_MhpR	b2416//b3727//b4457//b4073//b0314//b2990//
CRP_Mlc	b3073//b1671//
CRP_ModE	b1530//b3127//b1024//
CRP_MurR	b0976//b3575//
CRP_Nac_NsrR_PhoB	b4468//
CRP_NadR	b0116//
CRP_NagC	b0873//b1012//b2758//b3491//b2673//b3225//
CRP_NagC_NanR	b1038//b3908//b3324//
CRP_NagC_PhoP	b3908//
CRP_OxyR	b3722//
CRP_OxyR_UxuR	b0081//
CRP_PhoB	b0605//b3749//b2163//b3528//b4003//b0032//
CRP_PhoP	b2757//b2782//b2727//
CRP_PutA	b0880//
CRP_RbsR	b2203//b1012//b0676//b2092//b4070//b1392//
CRP_RhaR_RhaS	b2287//b3359//
CRP_RhaS	b0975//b4068//b0331//
CRP_Rob	b1987//
CRP_TorR	b1922//b0675//b0578//
CRP_UhpA_UvrY	b2306//
CRP_UidR_UxuR	b2365//b2492//b0041//
CRP_UvrY	sroD//
CRP_YehT	b4383//
CRP_ZraR	b2903//b0973//
CadC_FNR_H-NS_LeuO_MlrA	b3939//
Cbl_CysB	b0039//b2092//b3124//b1656//
Cbl_CysB_FNR_IHF	b1387//b3320//b2781//b1593//b1907//
CdaR_FNR_Fis_Fur_H-NS	b4007//
CdaR_FNR_Fur_H-NS	b2282//b2591//b2277//b3512//
CpxR_CsgD_FliZ	b1109//b2091//b3418//
CpxR_CysB	b1588//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	b4383//
CpxR_GadE	b4076//b0570//b0081//b3115//
CpxR_H-NS	b2706//
CpxR_NsrR	b0676//
CpxR_RcsB	b1497//
CpxR_TyrR	b3223//
Cra_FNR_Fis_Lrp_NarL	b0972//
Cra_FNR_Fur_MarA_Rob_SoxS	b1951//
Cra_FhlA_FlhDC	b2206//
Cra_GntR_KdgR	b3751//
Cra_GntR_KdgR_PhoB	b3319//
Cra_MarA_SoxS	b0723//
Cra_PdeL	b0895//
Cra_SgrR	b3409//b3624//b3357//
Cra_TyrR	b4036//
CreB_NagC	b3742//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	b2975//
CsgD_FlhDC	b1656//b4195//b1921//b1515//b3076//b3335//b1210//b2309//b1531//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	b0597//b1732//
CspA_Fis_GadX_H-NS	b0782//
CueR_FNR_ModE	b0048//b0440//b1421//b2150//b4265//
CusR_PhoB_YedW	b4511//b3749//b3540//b0020//b1071//b1620//b1531//
CysB_H-NS	b3961//b2912//b2763//b4384//b2205//
CysB_HypT_IHF	b2282//
CysB_IHF	b0571//b4132//
CysB_NtrC	b3328//
CysB_PhoP	b0351//
DcuR_FNR_NarL	b1681//b1649//b1101//b2309//
DinJ-YafQ_LexA	b4034//b2720//
DpiA_H-NS	b3037//
DsdC_NsrR	b2571//
EvgA_FNR	b0729//b0574//
EvgA_H-NS	b0070//b2490//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	b4198//
EvgA_H-NS_PhoP_RcsB_YdeO	b3845//
EvgA_PhoP_RcsB_YdeO	b3506//
ExuR_UxuR	b0805//b3416//
FNR_FhlA_IHF_NsrR	b1307//b1851//b2725//b4539//b1109//
FNR_FhlA_NarL_NarP	b2762//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	b0826//b3168//b1517//b4014//b0411//b1247//b2507//
FNR_Fis_IHF_ModE_NarL	b1222//b4019//b1396//
FNR_Fis_IHF_NarL	b3134//
FNR_Fis_IHF_NarL_RstA	b4132//b1387//b4007//b4460//
FNR_FlhDC	b0592//
FNR_FlhDC_IscR_ModE_NarL_NarP	b0675//b3082//b1951//b4006//b0349//b3906//b1518//
FNR_FlhDC_ModE_NarL_NarP	b1210//b1062//b0754//b2364//b1296//b3165//b0044//b4314//
FNR_Fur	b0020//b1508//
FNR_Fur_GadE	b0676//
FNR_Fur_GadX_NtrC	b0019//b0728//
FNR_Fur_H-NS	b1390//b1715//b0096//b0342//
FNR_Fur_MetR_NsrR	b2730//
FNR_Fur_Nac_NtrC	b1324//
FNR_Fur_NagC	b0782//b3265//b3771//
FNR_Fur_OxyR	b3408//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	b3278//
FNR_H-NS	b3413//b3437//
FNR_H-NS_NrdR	b3135//b1938//
FNR_IHF	b2573//b0179//b1040//b4192//b0978//
FNR_IHF_Lrp_YeiL	b1040//
FNR_IHF_NarL_NarP_NorR	b2783//b0349//
FNR_IHF_PhoB	b3125//ilvG_1//b3600//b1387//b1611//
FNR_MalT	b2424//b3036//
FNR_ModE	b1497//b0365//
FNR_NarL	b3164//b0088//b3091//b2075//b3934//b2706//
FNR_NarL_NarP	b1308//b1617//b1008//b1531//b2837//b2912//b0198//b3333//b3615//
FNR_NarL_NarP_NsrR	b0039//
FNR_NarL_NarP_NsrR_OxyR	b2763//b1674//
FNR_NarL_NikR	b3615//b0114//b2911//b4311//b2679//b1673//
FNR_NsrR	b4592//b0463//b1761//
FNR_OxyR	b4073//
FNR_PurR	b2281//b1385//
FNR_YqjI	b4063//
FabR_FadR	b0809//b1006//
FadR_IHF	b1518//
FadR_IclR	b2588//
FhlA_FlhDC	b0573//
FhlA_IHF_ModE_NsrR	b1101//b3723//b0980//b3274//b4010//b3321//b1733//b4123//b3115//
FhlA_IHF_NsrR	b0958//
Fis_Fur	b2507//
Fis_H-NS	b2393//
Fis_H-NS_IHF_MntR_OxyR	b3709//
Fis_H-NS_Lrp	b2323//b0996//b2731//b1012//b0337//b0312//b3124//b0889//b3426//b3906//b3902//b4313//b2481//b0934//b4123//b2470//b4069//b3904//b2222//b3166//b0161//b0721//b3334//b3709//
Fis_H-NS_Lrp_StpA	b0202//b3516//
Fis_IHF	b0682//
Fis_IHF_NtrC	b3366//b2573//
Fis_IHF_OmpR_RcsB	b0975//
Fis_Lrp	b3515//b1024//b3168//b4511//b0042//b2661//b0853//b2617//b3582//
Fis_MazE_MazE-MazF	b4075//
Fis_NarL	b1023//
Fis_NarL_NarP_NsrR	b1396//b1508//
Fis_PurR	b2507//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	b2092//b1716//b0997//
FliZ_RutR	b3367//
Fur_H-NS	b3481//b1476//b1921//b1101//b0679//b0678//b0728//b0085//b1617//b2370//b2551//b0564//b4133//
Fur_IHF_IscR_NsrR_OxyR	b3541//b0388//b2240//b1009//b4117//b0070//
Fur_IscR_NrdR	b3476//b0333//b0181//b2369//
Fur_MetR	b3759//
Fur_MntR	b2729//
Fur_MntR_OxyR	b0763//
Fur_OxyR	b1970//
Fur_PurR	b3852//b3752//
Fur_RcnR	b3368//b2483//
Fur_RutR	b1850//
Fur_SoxS_Zur	b0850//
Fur_YqjI	b4115//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	b3495//b2679//
GadE-RcsB_H-NS	b2017//
GadE-RcsB_PhoB	b0583//
GadE-RcsB_Rob	b2308//
GadE_GadX_H-NS_PhoP_RcsB	b0623//
GadE_H-NS_Lrp_NsrR	b0044//
GadE_H-NS_MatA	b2149//
GadE_H-NS_RcsAB	b1297//
GadE_MarA_PurR	b4209//
GadW_GadX_RcsB	b2757//
GalR_GalS	b3961//
GlrR_IHF	b3169//
H-NS_IHF	b4076//b3506//b0929//
H-NS_IHF_Lrp	b1680//b4036//b3766//b3905//b3330//b0226//b2669//
H-NS_LeuO	b0205//b3908//
H-NS_LeuO_RcsB-BglJ_StpA	b2075//
H-NS_LrhA_Lrp	b0226//
H-NS_Lrp	b1222//b2589//
H-NS_Lrp_NhaR_RcsB	b0331//
H-NS_Lrp_StpA	b2365//
H-NS_McbR	b1850//b3724//ilvG_2//
H-NS_NhaR	b0936//b1384//
H-NS_OmpR	b1306//
H-NS_PhoB_RcdA_RstA	b3417//
HU_IHF_TrpR_TyrR	b1390//
HU_IHF_TyrR	b3542//
HigA_HigB-HigA	b3123//b3515//
HipAB_HipB_IHF	b2092//b2764//
HypT_MetJ	b0826//b0435//b4125//
HypT_MetJ_PhoP	b4323//b3506//
IHF_Lrp	b4381//b3312//b3567//b1923//b1109//b0827//b1670//b0462//
IHF_NsrR	b0597//
IHF_NtrC	b0161//b3518//
IHF_PhoP	b2729//
IHF_PspF	b0809//b2276//b2242//b0728//b3517//b2482//
IHF_RcsAB	b2203//b0344//b3907//b3255//
IHF_RtcR	b2276//b0614//
IHF_TyrR	b2423//
IHF_UlaR	b3070//
LexA_MraZ_PdhR	b0605//b1039//b1226//b1591//b3265//b2490//b4577//b2309//b3221//b2364//b1673//
LexA_MraZ_PdhR_RcsB_SdiA	b0784//b2223//
LexA_MraZ_PdhR_SdiA	b3207//
LexA_NagC	b3437//
LexA_RcdA	b3924//
LexA_RcsB-BglJ	b0595//
MarA_OxyR_Rob_SoxS	b2996//b1621//b2977//b4071//
MarA_PhoP_Rob_SoxS	b0203//b1226//b0896//b3125//
MarA_Rob_SoxS	b2428//b3528//b4264//b1008//b2573//
MarA_SoxS	b0570//b3566//b1744//b3132//b4151//
MetJ_MetR	b4122//b3123//
MetJ_OxyR	b2803//b0756//
MetR_PurR	b1904//
MraZ_PdhR	b3855//b4119//
Nac_PurR	b0681//b0198//
NarL_TorR	b2916//b2106//b3568//
NemR_RutR	b0998//b3709//b3071//
NhaR_OmpR	b4074//b0729//b0114//b2499//
NorR_NsrR	b4267//
NsrR_PhoB	b2223//
OxyR_SoxS	b2979//
PdhR_PhoP	b0084//
PgrR_TyrR	b3357//
PhoB_PhoP	b2732//
PhoP_PurR_RbsR	b1900//b4133//
RelB_RelB-RelE	b2369//b2704//b3313//
TrpR_TyrR	b4014//b2204//b2757//
YefM_YefM-YoeB	b3332//b2732//
