# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mhpA//purN//
ArcA_CRP_IHF	purM//
ArcA_CRP_PuuR	uxaB//nrdF//glnA//ilvG_2//
ArcA_CRP_RhaS	pgaC//
ArcA_CRP_TreR	puuE//fdhF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	citE//torA//
ArcA_Cra	pyrC//
ArcA_Cra_FNR_H-NS_HypT	uxuA//
ArcA_CysB_FNR	
ArcA_FNR	prpC//uidA//murD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	umpH//
ArcA_FNR_Fis_IHF_NarL	napG//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	frdD//caiA//
ArcA_FNR_IHF_NarL	pgaC//narI//
ArcA_FNR_NarL	prmC//fes//sucA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	uxaA//entB//
ArcA_FadR	caiC//frdB//mhpB//
ArcA_FadR_Fis	murD//cysJ//
ArcA_Fur_Lrp_ModE	ascB//tam//
ArcA_GlcC_IHF_PdhR	appA//citC//caiD//
ArcA_LexA	sdhD//
ArcA_LldR	glpX//atoD//
ArcA_NarL	mhpD//
ArcA_NtrC_PhoP_RutR	gapA//fadA//betB//nanA//moeA//nrfC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	truB//
ArgP_CRP_FNR_Fur_Nac	fabA//
ArgP_DnaA	nirD//
ArgP_Lrp	feaB//acnB//
ArgP_LysR	serA//
ArgP_PhoB	
ArgR_CRP	citX//
ArgR_CRP_Fis	dmsC//melA//glpD//
ArgR_Fis_IHF_PepA_PurR_RutR	waaH//
ArgR_H-NS_NtrC	torC//guaA//
ArgR_NtrC	xylB//glpB//napB//entB//murQ//
ArgR_PhoP	pspE//
AscG_CRP	nrfD//mnmG//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	citC//
AtoC_IHF	ilvG_1//entH//nemA//
BaeR_CpxR	nrfA//
BaeR_CpxR_EvgA	malQ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	udp//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	araD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	katE//entA//acnB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	waaZ//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	citX//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	patA//nfsB//aceE//kbaZ//ssuE//hyaC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rutB//rutC//adiA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fdhF//nagB//nrfD//
CRP_Cra_Mlc_NagC	astC//katE//nanM//ulaD//
CRP_Cra_PrpR	treC//tdcB//ugpQ//puuC//
CRP_CreB_Fis_MalT	waaY//
CRP_CsiR_H-NS_Lrp	udp//
CRP_CsiR_H-NS_Lrp_Nac	ynfH//serC//fumC//
CRP_CspA_Fis	paaK//
CRP_CytR	nanE//
CRP_CytR_DeoR	lacZ//frdB//
CRP_CytR_DeoR_Fis_ModE	relA//idnO//ftnA//uxaC//
CRP_CytR_Nac	dmsC//
CRP_CytR_NsrR	aspC//
CRP_DcuR_FNR_NarL	glcB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	dmsB//paaB//
CRP_DpiA_ExuR	entF//
CRP_DsdC	puuD//puuE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sgbE//
CRP_ExuR	ulaG//
CRP_ExuR_FNR	moaE//fadA//
CRP_ExuR_OxyR_UxuR	moeA//astC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	waaH//
CRP_FNR_Fis	betB//prmC//
CRP_FNR_Fis_GlpR_IHF	pncB//purN//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	moeB//ulaD//hycD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fadB//rutB//aceA//murF//ynfE//
CRP_FNR_NarL	gloA//acs//
CRP_FeaR_NsrR	moeA//
CRP_Fis	citC//murF//ilvD//
CRP_Fis_FlhDC_GalR_GalS	pgk//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gabD//hcp//
CRP_Fis_IHF	entF//guaA//cyoE//
CRP_Fis_NanR	entE//nagB//purH//gutQ//
CRP_Fis_NtrC	mhpD//
CRP_Fis_XylR	murQ//
CRP_FlhDC_GalR_GalS	ilvD//
CRP_FucR	lpxA//metB//rutC//paaK//glgC//gltB//
CRP_Fur	mnmG//hycE//moeA//torA//narH//rutD//ilvH//puuB//ilvG_2//uxaA//
CRP_Fur_HypT_PdhR	astB//deoC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	ahpF//recF//paaE//prpD//
CRP_GalR_GalS_NagC	rutC//
CRP_GlpR	nemA//appA//glpB//
CRP_GntR	fadA//
CRP_GntR_IdnR	aroL//rutC//pgaB//ilvG_2//glyA//cysJ//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	dsdA//fucA//tam//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ilvA//
CRP_H-NS_LacI	cysM//sdhD//ilvG_2//
CRP_H-NS_LeuO	xylB//
CRP_H-NS_MqsA	
CRP_IHF	pyrC//waaZ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nirD//
CRP_IHF_PaaX	uidA//ssuE//serC//argD//astB//rutC//ssuE//nanK//
CRP_IHF_UlaR	sgbE//gltB//katG//pyrD//
CRP_IHF_YiaJ	murF//metB//dsdA//rimK//nrdA//folA//
CRP_LexA	
CRP_Lrp	gloA//umpH//mhpE//fabZ//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	malS//
CRP_LsrR	glpA//glpD//hmp//uxaC//nirD//
CRP_MalI	yiaK//ulaG//
CRP_MalT	nrfC//purD//
CRP_MalT_PhoP	glpD//
CRP_MelR	fes//cadA//
CRP_MetJ	sodA//
CRP_MhpR	entD//hycE//narG//pgaD//uxaB//hycD//
CRP_Mlc	
CRP_ModE	ynfF//
CRP_MurR	galE//pgaD//galK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	tdcB//
CRP_NagC	fucO//citD//paaJ//rhaB//puuD//
CRP_NagC_NanR	murE//fadB//
CRP_NagC_PhoP	rbsK//
CRP_OxyR	
CRP_OxyR_UxuR	cdd//
CRP_PhoB	cysG//moaA//
CRP_PhoP	acs//paaE//sodB//
CRP_PutA	deoB//
CRP_RbsR	mhpE//xylA//caiC//
CRP_RhaR_RhaS	
CRP_RhaS	melA//sgbE//pyrD//
CRP_Rob	fadA//
CRP_TorR	araD//nrdD//
CRP_UhpA_UvrY	narH//
CRP_UidR_UxuR	nagA//araB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fbaA//mpl//
Cbl_CysB_FNR_IHF	atoD//zwf//aspC//
CdaR_FNR_Fis_Fur_H-NS	ssuD//araA//
CdaR_FNR_Fur_H-NS	appA//dmsB//ulaE//ahpC//
CpxR_CsgD_FliZ	
CpxR_CysB	nanE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	puuA//
CpxR_GadE	accC//nrdB//pyrC//
CpxR_H-NS	tdcE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glnA//
Cra_FNR_Fis_Lrp_NarL	acnA//
Cra_FNR_Fur_MarA_Rob_SoxS	hypF//
Cra_FhlA_FlhDC	uxaB//
Cra_GntR_KdgR	hemA//
Cra_GntR_KdgR_PhoB	hcp//
Cra_MarA_SoxS	cadA//
Cra_PdeL	fau//
Cra_SgrR	glgP//
Cra_TyrR	mhpC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ddlB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	tam//mpl//
CusR_PhoB_YedW	patA//
CysB_H-NS	garL//purA//cysH//
CysB_HypT_IHF	fumC//
CysB_IHF	mtlD//pspE//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	citG//
DinJ-YafQ_LexA	carB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	carA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	ubiA//
FNR_FhlA_NarL_NarP	metB//ulaF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	paaC//
FNR_Fis_IHF_ModE_NarL	gadA//
FNR_Fis_IHF_NarL	uxaA//
FNR_Fis_IHF_NarL_RstA	metH//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	mhpF//
FNR_FlhDC_ModE_NarL_NarP	napB//
FNR_Fur	gcvT//fabZ//
FNR_Fur_GadE	deoD//
FNR_Fur_GadX_NtrC	nanK//
FNR_Fur_H-NS	aceE//idnO//nanK//
FNR_Fur_MetR_NsrR	murQ//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	pck//
FNR_Fur_OxyR	entB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	waaY//
FNR_H-NS_NrdR	fadB//pgaB//
FNR_IHF	aldB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	acnB//
FNR_IHF_PhoB	
FNR_MalT	mhpA//nrdB//
FNR_ModE	
FNR_NarL	atoB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	deoC//idnK//
FNR_NarL_NikR	narI//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nrdF//xylB//
FNR_YqjI	
FabR_FadR	murC//sgbU//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	xylB//appA//
FhlA_IHF_NsrR	
Fis_Fur	rutC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	paaA//
Fis_IHF	
Fis_IHF_NtrC	cysH//nrfA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	garL//
Fis_NarL	dusB//
Fis_NarL_NarP_NsrR	
Fis_PurR	gltD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	xylA//
Fur_H-NS	puuC//gntK//
Fur_IHF_IscR_NsrR_OxyR	idnD//
Fur_IscR_NrdR	lsrF//
Fur_MetR	lpd//
Fur_MntR	ahpC//
Fur_MntR_OxyR	cadA//
Fur_OxyR	
Fur_PurR	fdhF//
Fur_RcnR	prpD//
Fur_RutR	murQ//
Fur_SoxS_Zur	
Fur_YqjI	cysJ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	citG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	adhE//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	uxaB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	purM//
H-NS_Lrp_NhaR_RcsB	frdB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	prpD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ahpF//
HU_IHF_TyrR	acnA//
HigA_HigB-HigA	pyrC//
HipAB_HipB_IHF	aspA//
HypT_MetJ	rutD//
HypT_MetJ_PhoP	entH//hycC//
IHF_Lrp	melA//srlD//ilvI//ulaF//lacA//
IHF_NsrR	
IHF_NtrC	metB//
IHF_PhoP	
IHF_PspF	lpxC//
IHF_RcsAB	
IHF_RtcR	mraY//malP//
IHF_TyrR	kbaZ//
IHF_UlaR	fadJ//
LexA_MraZ_PdhR	gltD//carA//fabZ//glcB//sdhB//rutE//nirB//adiA//rutB//fumC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	tdcG//ppiA//
MarA_PhoP_Rob_SoxS	sucD//fbaA//pnp//paaA//gabD//sucA//ilvI//fadA//aceE//
MarA_Rob_SoxS	idnK//carB//
MarA_SoxS	ilvG_2//relA//nrdE//
MetJ_MetR	fucK//
MetJ_OxyR	rbsK//
MetR_PurR	accC//
MraZ_PdhR	deoA//
Nac_PurR	mhpE//paaG//
NarL_TorR	atoA//
NemR_RutR	accC//galE//
NhaR_OmpR	ssuE//frdD//ackA//
NorR_NsrR	
NsrR_PhoB	pgaB//
OxyR_SoxS	
PdhR_PhoP	hyaC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	entA//lhgO//
RelB_RelB-RelE	prpE//
TrpR_TyrR	deoD//
YefM_YefM-YoeB	lpxC//
