# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	cysJ//feaB//
ArcA_CRP_IHF	mhpB//
ArcA_CRP_PuuR	nanK//moeB//idnD//aroA//
ArcA_CRP_RhaS	pck//
ArcA_CRP_TreR	metH//cyoE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ilvI//aroA//
ArcA_Cra	moaA//
ArcA_Cra_FNR_H-NS_HypT	deoC//
ArcA_CysB_FNR	
ArcA_FNR	fadB//patA//gltD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	citG//
ArcA_FNR_Fis_IHF_NarL	tam//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	citC//araA//
ArcA_FNR_IHF_NarL	caiD//nrfD//
ArcA_FNR_NarL	gabT//nrdA//hyaA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gntK//deoB//
ArcA_FadR	garL//entB//ilvG_1//
ArcA_FadR_Fis	paaZ//prmC//
ArcA_Fur_Lrp_ModE	carA//putA//
ArcA_GlcC_IHF_PdhR	lyxK//deoC//gcvT//
ArcA_LexA	nirD//
ArcA_LldR	rutD//prpD//
ArcA_NarL	sdhD//
ArcA_NtrC_PhoP_RutR	murF//fumC//rbsK//nfsA//nrdE//aroG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pgaD//
ArgP_CRP_FNR_Fur_Nac	uxaA//
ArgP_DnaA	sucC//
ArgP_Lrp	fadA//aceE//
ArgP_LysR	waaZ//
ArgP_PhoB	
ArgR_CRP	lldD//
ArgR_CRP_Fis	dgcZ//murQ//narG//
ArgR_Fis_IHF_PepA_PurR_RutR	yiaK//
ArgR_H-NS_NtrC	rutE//ynfF//
ArgR_NtrC	treC//gcvP//glgP//fabA//lsrF//
ArgR_PhoP	purA//
AscG_CRP	uvrA//ilvA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	prpD//
AtoC_IHF	lpxA//rutD//uxuA//
BaeR_CpxR	rsmH//
BaeR_CpxR_EvgA	lsrG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	astA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	pdeL//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	glcE//srlD//frdB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	prpE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	torA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	prpB//paaG//codA//dadA//dmsA//yqjH//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nirD//aroA//nrdB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	galK//deoC//sucC//
CRP_Cra_Mlc_NagC	ubiC//citC//guaA//prpE//
CRP_Cra_PrpR	mtlD//hypF//ugpQ//glpC//
CRP_CreB_Fis_MalT	nrdF//
CRP_CsiR_H-NS_Lrp	gntK//
CRP_CsiR_H-NS_Lrp_Nac	narI//caiC//prpC//
CRP_CspA_Fis	waaZ//
CRP_CytR	melA//
CRP_CytR_DeoR	gltD//gatD//
CRP_CytR_DeoR_Fis_ModE	puuC//ilvI//citD//betA//
CRP_CytR_Nac	citD//
CRP_CytR_NsrR	glpQ//
CRP_DcuR_FNR_NarL	guaB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glgC//ftsI//
CRP_DpiA_ExuR	ulaG//
CRP_DsdC	glcE//mtlD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sucD//
CRP_ExuR	rutA//
CRP_ExuR_FNR	cdd//paaC//
CRP_ExuR_OxyR_UxuR	nagB//acnA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	pgaC//
CRP_FNR_Fis	fbaA//mhpD//
CRP_FNR_Fis_GlpR_IHF	fabZ//sucA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fau//glcE//purM//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	napG//tnaA//puuB//argG//gltA//
CRP_FNR_NarL	astD//dmsA//
CRP_FeaR_NsrR	lpxC//
CRP_Fis	rbsK//sdhA//entD//
CRP_Fis_FlhDC_GalR_GalS	ahpF//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	entA//xylB//
CRP_Fis_IHF	ssuE//lysA//sdhB//
CRP_Fis_NanR	napH//caiB//sdhD//zwf//
CRP_Fis_NtrC	murF//
CRP_Fis_XylR	hypB//
CRP_FlhDC_GalR_GalS	paaH//
CRP_FucR	mraY//malQ//glnA//sdhB//gatY//pyrD//
CRP_Fur	nanK//uxuB//carB//ogt//napG//malS//sdhD//cadA//murC//araA//
CRP_Fur_HypT_PdhR	puuA//astA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pflB//tam//ahpC//xylB//
CRP_GalR_GalS_NagC	rimK//
CRP_GlpR	aspA//malQ//xylA//
CRP_GntR	fucU//
CRP_GntR_IdnR	dsdA//napC//nrdA//sodA//rutE//fumA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	purA//hmp//mazG//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	cadA//
CRP_H-NS_LacI	ynfF//eda//napH//
CRP_H-NS_LeuO	glgP//
CRP_H-NS_MqsA	
CRP_IHF	galM//prmC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	paaH//
CRP_IHF_PaaX	frdA//narI//nagB//edd//dadA//hycF//pdeR//glgA//
CRP_IHF_UlaR	caiD//ftnA//hemA//napC//
CRP_IHF_YiaJ	sgbU//dadX//relA//glpK//ulaF//sucB//
CRP_LexA	
CRP_Lrp	folA//fadE//ilvE//ackA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	dmsC//
CRP_LsrR	puuE//uvrA//moaA//pyrD//dadA//
CRP_MalI	hcp//glgC//
CRP_MalT	paaZ//uvrA//
CRP_MalT_PhoP	fabZ//
CRP_MelR	ssuE//prpC//
CRP_MetJ	glpA//
CRP_MhpR	rbsK//codA//dsdA//citE//moaA//moeA//
CRP_Mlc	
CRP_ModE	mdh//
CRP_MurR	cdd//murE//aspA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	hyaB//
CRP_NagC	gntK//uxaB//mpl//cysM//zwf//
CRP_NagC_NanR	accC//paaC//
CRP_NagC_PhoP	pspE//
CRP_OxyR	
CRP_OxyR_UxuR	hemA//
CRP_PhoB	ogt//entF//
CRP_PhoP	hypF//pgaB//paaB//
CRP_PutA	ulaF//
CRP_RbsR	ackA//glcD//lpd//
CRP_RhaR_RhaS	
CRP_RhaS	sdhD//gcvP//entC//
CRP_Rob	gnd//
CRP_TorR	cdd//epd//
CRP_UhpA_UvrY	pck//
CRP_UidR_UxuR	nrfA//galE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	aldA//prpE//
Cbl_CysB_FNR_IHF	fabA//chbF//hyaA//
CdaR_FNR_Fis_Fur_H-NS	uxaB//sdhB//
CdaR_FNR_Fur_H-NS	waaH//hycC//prpE//caiA//
CpxR_CsgD_FliZ	
CpxR_CysB	metB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	glcF//
CpxR_GadE	nanK//argD//deoC//
CpxR_H-NS	mhpD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nanA//
Cra_FNR_Fis_Lrp_NarL	ddlB//
Cra_FNR_Fur_MarA_Rob_SoxS	ulaD//
Cra_FhlA_FlhDC	ascB//
Cra_GntR_KdgR	tdcG//
Cra_GntR_KdgR_PhoB	aroL//
Cra_MarA_SoxS	fadB//
Cra_PdeL	sgbU//
Cra_SgrR	paaG//
Cra_TyrR	entB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cyoE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	paaF//aspC//
CusR_PhoB_YedW	dadX//
CysB_H-NS	gcvH//lhgO//ftnA//
CysB_HypT_IHF	nrdD//
CysB_IHF	araD//umpH//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	araD//
DinJ-YafQ_LexA	nanK//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	mhpB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aldA//
FNR_FhlA_NarL_NarP	carB//atoB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	argD//
FNR_Fis_IHF_ModE_NarL	galK//
FNR_Fis_IHF_NarL	cadA//
FNR_Fis_IHF_NarL_RstA	ilvG_1//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ppiA//
FNR_FlhDC_ModE_NarL_NarP	nemA//
FNR_Fur	caiC//aspC//
FNR_Fur_GadE	aceA//
FNR_Fur_GadX_NtrC	garL//
FNR_Fur_H-NS	metH//frdB//ilvG_2//
FNR_Fur_MetR_NsrR	gltD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	araA//
FNR_Fur_OxyR	waaY//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nagB//
FNR_H-NS_NrdR	fabA//murE//
FNR_IHF	sucA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	purH//
FNR_IHF_PhoB	
FNR_MalT	puuC//ilvG_2//
FNR_ModE	
FNR_NarL	uidA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	bglB//nfsB//
FNR_NarL_NikR	ilvE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lpxA//chbF//
FNR_YqjI	
FabR_FadR	mhpB//paaA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mhpE//rutE//
FhlA_IHF_NsrR	
Fis_Fur	srlD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	uidA//
Fis_IHF	
Fis_IHF_NtrC	sodA//cysI//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	mhpF//
Fis_NarL	chbF//
Fis_NarL_NarP_NsrR	
Fis_PurR	ilvG_2//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	astA//
Fur_H-NS	eda//nrdE//
Fur_IHF_IscR_NsrR_OxyR	nemA//
Fur_IscR_NrdR	nrdB//
Fur_MetR	frdA//
Fur_MntR	sdhB//
Fur_MntR_OxyR	moaE//
Fur_OxyR	
Fur_PurR	lpxA//
Fur_RcnR	fabZ//
Fur_RutR	uidA//
Fur_SoxS_Zur	
Fur_YqjI	fadJ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ynfG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	napG//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ackA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	pspE//
H-NS_Lrp_NhaR_RcsB	pdeL//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	deoB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	zwf//
HU_IHF_TyrR	dgcZ//
HigA_HigB-HigA	icd//
HipAB_HipB_IHF	deoB//
HypT_MetJ	chbG//
HypT_MetJ_PhoP	glcD//gcvP//
IHF_Lrp	nemA//uxuB//caiB//paaG//aspC//
IHF_NsrR	
IHF_NtrC	entD//
IHF_PhoP	
IHF_PspF	mraY//
IHF_RcsAB	
IHF_RtcR	yqjH//pyrD//
IHF_TyrR	malQ//
IHF_UlaR	yiaK//
LexA_MraZ_PdhR	puuD//ynfE//metE//paaB//gatY//dmsA//dadX//hycF//ogt//katE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nirD//acs//
MarA_PhoP_Rob_SoxS	gapA//ddlB//idnK//gntK//guaA//carB//hyaB//rutA//citD//
MarA_Rob_SoxS	caiA//fucA//
MarA_SoxS	fadB//rsmH//fabB//
MetJ_MetR	murF//
MetJ_OxyR	moeB//
MetR_PurR	nanM//
MraZ_PdhR	malQ//
Nac_PurR	guaA//pspE//
NarL_TorR	ugpQ//
NemR_RutR	glpB//sdhA//
NhaR_OmpR	dusB//fadI//gnd//
NorR_NsrR	
NsrR_PhoB	hemA//
OxyR_SoxS	
PdhR_PhoP	adhE//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	folA//aldB//
RelB_RelB-RelE	kbaZ//
TrpR_TyrR	rhaD//
YefM_YefM-YoeB	nanA//
