# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	araB//araA//
ArcA_CRP_GlpR	napC//
ArcA_CRP_IHF	ftsI//
ArcA_CRP_PuuR	nirB//nrdF//deoB//paaC//
ArcA_CRP_RhaS	mazG//
ArcA_CRP_TreR	folA//rsmH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	napB//ilvA//
ArcA_Cra	fabB//
ArcA_Cra_FNR_H-NS_HypT	moaD//
ArcA_CysB_FNR	
ArcA_FNR	acnA//astA//entB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cadA//
ArcA_FNR_Fis_IHF_NarL	dgcZ//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	purH//gcvT//
ArcA_FNR_IHF_NarL	nfsA//paaE//
ArcA_FNR_NarL	glyA//moaE//umpH//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	prpC//glpQ//
ArcA_FadR	gcvH//puuC//entC//
ArcA_FadR_Fis	gltB//narG//
ArcA_Fur_Lrp_ModE	nagB//nirB//
ArcA_GlcC_IHF_PdhR	cysI//gatD//ulaG//
ArcA_LexA	glpQ//
ArcA_LldR	nrdF//rsmH//
ArcA_NarL	uxaA//
ArcA_NtrC_PhoP_RutR	gapA//sucB//nrdB//nfsB//hyaA//mdh//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	folA//
ArgP_CRP_FNR_Fur_Nac	lhgO//
ArgP_DnaA	ssuD//
ArgP_Lrp	nrdA//puuC//
ArgP_LysR	mhpE//
ArgP_PhoB	
ArgR_CRP	uxuB//
ArgR_CRP_Fis	fabA//ilvD//aceB//
ArgR_Fis_IHF_PepA_PurR_RutR	sucC//
ArgR_H-NS_NtrC	sdhB//ynfG//
ArgR_NtrC	rutB//ilvM//epd//mhpE//nrdD//
ArgR_PhoP	pgaC//
AscG_CRP	hypF//lpxA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	zwf//
AtoC_IHF	uxaB//tauD//hycC//
BaeR_CpxR	paaC//
BaeR_CpxR_EvgA	hyaA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nrdE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	torA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fadI//rbsK//citF//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	pgaB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ahpC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	glpC//nirB//citE//purN//edd//cyoE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rhaD//dadX//pncB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	mhpE//murF//glpD//
CRP_Cra_Mlc_NagC	ynfG//fucA//ahpF//pgaB//
CRP_Cra_PrpR	fadJ//fucA//entC//nemA//
CRP_CreB_Fis_MalT	napB//
CRP_CsiR_H-NS_Lrp	murD//
CRP_CsiR_H-NS_Lrp_Nac	acs//murF//glnA//
CRP_CspA_Fis	citG//
CRP_CytR	hycD//
CRP_CytR_DeoR	ulaE//guaA//
CRP_CytR_DeoR_Fis_ModE	rhaA//glpX//lhgO//araA//
CRP_CytR_Nac	glgA//
CRP_CytR_NsrR	araB//
CRP_DcuR_FNR_NarL	nfsA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	glpK//gcvP//
CRP_DpiA_ExuR	nanK//
CRP_DsdC	uidA//gcvT//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nrdA//
CRP_ExuR	sucD//
CRP_ExuR_FNR	glpD//prpD//
CRP_ExuR_OxyR_UxuR	napB//cysJ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	galK//
CRP_FNR_Fis	ilvG_1//entD//
CRP_FNR_Fis_GlpR_IHF	patA//epd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	uxaB//caiB//kbaZ//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	garR//sgbU//sucB//dmsB//gnd//
CRP_FNR_NarL	idnK//napC//
CRP_FeaR_NsrR	paaA//
CRP_Fis	mpl//metB//fau//
CRP_Fis_FlhDC_GalR_GalS	malP//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nrdE//nanM//
CRP_Fis_IHF	narI//sgbH//accB//
CRP_Fis_NanR	deoB//purM//prpB//frdC//
CRP_Fis_NtrC	hemL//
CRP_Fis_XylR	mhpC//
CRP_FlhDC_GalR_GalS	melA//
CRP_FucR	gnd//gnd//hcp//ldtB//rbsD//cdd//
CRP_Fur	glpQ//pnp//dgcZ//poxB//aroG//lsrF//paaC//deoB//malY//fadJ//
CRP_Fur_HypT_PdhR	cdd//pncB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	sdhD//sgbU//caiB//entA//
CRP_GalR_GalS_NagC	caiB//
CRP_GlpR	hemL//prpC//puuB//
CRP_GntR	pgaC//
CRP_GntR_IdnR	sgbE//nfsA//fucU//sucA//prpE//pspE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	gnd//lacA//moeB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	tauD//
CRP_H-NS_LacI	ubiC//rsmH//ilvI//
CRP_H-NS_LeuO	deoB//
CRP_H-NS_MqsA	
CRP_IHF	glpC//prmC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	moaE//
CRP_IHF_PaaX	moeB//galE//pgaD//glgP//ddlB//puuB//lpxC//tdcD//
CRP_IHF_UlaR	gcd//bglB//adhE//sdhA//
CRP_IHF_YiaJ	mhpC//galT//icd//lsrF//idnD//nrdB//
CRP_LexA	
CRP_Lrp	mraY//sdhB//bglB//acnB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	puuB//
CRP_LsrR	metK//prmC//relA//uxaA//nanE//
CRP_MalI	tdcE//metE//
CRP_MalT	carA//ilvE//
CRP_MalT_PhoP	serA//
CRP_MelR	rnpB//tnaA//
CRP_MetJ	cyoE//
CRP_MhpR	codA//paaE//poxB//purN//yqjH//glpK//
CRP_Mlc	
CRP_ModE	murQ//
CRP_MurR	tdcG//nrfD//nagB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	mhpF//
CRP_NagC	cyoE//hypB//cysM//waaY//cyoE//
CRP_NagC_NanR	paaG//dusB//
CRP_NagC_PhoP	rutE//
CRP_OxyR	
CRP_OxyR_UxuR	uidA//
CRP_PhoB	fadB//lysA//
CRP_PhoP	nanM//galE//mhpF//
CRP_PutA	paaE//
CRP_RbsR	murD//melA//paaE//
CRP_RhaR_RhaS	
CRP_RhaS	nrdA//ilvG_2//paaE//
CRP_Rob	mtlD//
CRP_TorR	astB//narH//
CRP_UhpA_UvrY	sucB//
CRP_UidR_UxuR	paaI//cysI//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	idnK//udp//
Cbl_CysB_FNR_IHF	fabA//hycG//patA//
CdaR_FNR_Fis_Fur_H-NS	codA//murF//
CdaR_FNR_Fur_H-NS	idnD//torC//moaA//hypF//
CpxR_CsgD_FliZ	
CpxR_CysB	glpA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	caiC//
CpxR_GadE	sdhB//dmsA//ftnA//
CpxR_H-NS	malS//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	idnK//
Cra_FNR_Fis_Lrp_NarL	gcd//
Cra_FNR_Fur_MarA_Rob_SoxS	citF//
Cra_FhlA_FlhDC	entH//
Cra_GntR_KdgR	relA//
Cra_GntR_KdgR_PhoB	ilvH//
Cra_MarA_SoxS	metB//
Cra_PdeL	ilvA//
Cra_SgrR	aceF//
Cra_TyrR	ahpC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	mtlD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	srlD//entB//
CusR_PhoB_YedW	gltB//
CysB_H-NS	acs//cadA//chbF//
CysB_HypT_IHF	paaF//
CysB_IHF	ssuE//serA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	garR//
DinJ-YafQ_LexA	murQ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ahpF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	deoA//
FNR_FhlA_NarL_NarP	treC//ansB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	purD//
FNR_Fis_IHF_ModE_NarL	epd//
FNR_Fis_IHF_NarL	fbaA//
FNR_Fis_IHF_NarL_RstA	mtlD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	narI//
FNR_FlhDC_ModE_NarL_NarP	ilvI//
FNR_Fur	nanK//gltD//
FNR_Fur_GadE	entB//
FNR_Fur_GadX_NtrC	betA//
FNR_Fur_H-NS	glcF//fumC//pgk//
FNR_Fur_MetR_NsrR	citX//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	mhpC//
FNR_Fur_OxyR	folA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nrdE//
FNR_H-NS_NrdR	feaB//glpD//
FNR_IHF	hycG//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	pyrD//
FNR_IHF_PhoB	
FNR_MalT	ilvG_2//nrdA//
FNR_ModE	
FNR_NarL	mhpA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ddlB//mhpA//
FNR_NarL_NikR	uidA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	ulaF//fadH//
FNR_YqjI	
FabR_FadR	ldtB//atoD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	aldB//ddlB//
FhlA_IHF_NsrR	
Fis_Fur	gdhA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	puuD//
Fis_IHF	
Fis_IHF_NtrC	moaE//atoD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rutD//
Fis_NarL	nanA//
Fis_NarL_NarP_NsrR	
Fis_PurR	metH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	lsrK//
Fur_H-NS	fadJ//prpD//
Fur_IHF_IscR_NsrR_OxyR	citG//
Fur_IscR_NrdR	fadE//
Fur_MetR	relA//
Fur_MntR	cysH//
Fur_MntR_OxyR	gatZ//
Fur_OxyR	
Fur_PurR	paaI//
Fur_RcnR	fadI//
Fur_RutR	gcd//
Fur_SoxS_Zur	
Fur_YqjI	murQ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ubiA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	araB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ulaE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ilvM//
H-NS_Lrp_NhaR_RcsB	dmsB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	argG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ssuE//
HU_IHF_TyrR	argD//
HigA_HigB-HigA	atoB//
HipAB_HipB_IHF	frdC//
HypT_MetJ	mdh//
HypT_MetJ_PhoP	pgaC//fabB//
IHF_Lrp	citF//moaE//metH//fadA//mnmG//
IHF_NsrR	
IHF_NtrC	gapA//
IHF_PhoP	
IHF_PspF	cdd//
IHF_RcsAB	
IHF_RtcR	paaB//gntK//
IHF_TyrR	glgC//
IHF_UlaR	idnO//
LexA_MraZ_PdhR	metE//murC//xylA//nanA//glgP//uxaB//cadA//fadB//tauD//pncB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	murQ//hemA//
MarA_PhoP_Rob_SoxS	lacZ//paaI//fucU//prpE//fumB//cysH//zwf//galK//mhpC//
MarA_Rob_SoxS	deoA//pgk//
MarA_SoxS	torC//mnmG//chbF//
MetJ_MetR	uidA//
MetJ_OxyR	fumB//
MetR_PurR	nrdA//
MraZ_PdhR	ssuD//
Nac_PurR	guaB//sodB//
NarL_TorR	pgaD//
NemR_RutR	ulaD//pgaD//
NhaR_OmpR	hyaB//aceE//ahpC//
NorR_NsrR	
NsrR_PhoB	cdd//
OxyR_SoxS	
PdhR_PhoP	ansB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	paaJ//murG//
RelB_RelB-RelE	katE//
TrpR_TyrR	paaG//
YefM_YefM-YoeB	accB//
