#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ycjG//
NsrR	flgD//ymiA//erpA//yegZ//tktB//mlrA//lysT//glgB//amn//trpE//lysW//dicB//amiA//arcA//polA//thiP//ydfN//recA//hslJ//symE//gspB//cysD//mngR//allA//yccT//phnE_2//phnJ//leuX//rnlB//garD//
NtrC	serX//tap//mpaA//msrA//flgL//ecpR//mqsA//agaR//mpaA//tehB//trpR//alaS//cysD//fliP//ampD//ddpX//gpsA//
OmpR	rclA//yjjP//ilvN//bioF//
OxyR	yibQ//pheU//yegH//ampE//phoB//valT//tynA//fabI//yfbR//
PaaX	trxC//ompA//
PepA	fliT//
PgrR	thrT//livK//ychH//argX//potF//potH//fabD//
PhoB	psiF//agaI//motB//gyrB//rffC//gyrB//mipA//rstA//fecR//alkB//rpsF//lolA//dinF//serX//fliS//ptrA//livG//infC//preA//rnlB//infC//argX//pheT//gpmM//copA//wza//aaeA//agaC//ynbB//gcl//rclC//
PhoP	mltF//yhdX//ompT//ddpC//ompA//agaS//trpR//yjeV//msrA//proM//bluF//rcsB//sdaA//ihfB//xdhA//dicB//
PspF	glnW//
PurR	ybjG//yqaE//cheA//sxy//ttdT//ydfE//pdeF//csrB//phnG//ymjC//gpsA//yaiW//hyi//
RbsR	aaeR//
RcdA	acrR//glnX//cecR//
RclR	agaD//obgE//phnF//
RcnR	hcaC//
RcsAB	mqsA//wzzE//ybhG//ubiX//ilvB//
RcsB	kbaY//adeD//accD//cyaA//
RcsB-BglJ	fldB//torR//cpxQ//fruB//sohB//cpxR//artQ//rimM//aaeB//polB//phnN//
Rob	ychH//
RutR	fhuB//
SdiA	iscR//
SgrR	ibaG//preA//metA//cynX//livM//pdeH//
SoxS	mhpR//hflD//iraD//ryhB//nadC//omrA//
SutR	hofN//glnX//
TorR	queA//
TrpR	ibaG//rstB//cheW//ilvY//gpsA//sfsB//purL//pdeH//
TyrR	flgK//mukF//accA//
UidR	ydiU//
UvrY	pspF//lysU//
XapR	amiA//ymgC//
YdeO	pfkA//cmoM//
YjjQ	wza//nohA//gpmA//tcyP//creA//yqhD//glgS//
YpdB	yhjX//
YqhC	decR//rybB//
ZntR	iraD//
ZraR	asnB//
Zur	mukE//phnL//argF//yccA//glgB//
