#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yfbR//
NsrR	yeaE//yjeV//hfq//fliN//yeiW//glnU//gpmM//hcaB//yfiR//tsr//hofN//gltK//recB//grxA//wzyE//add//mpaA//tynA//ibaG//phnE_2//psiF//gcvA//metJ//hofP//wzc//motB//ydfX//arcZ//rpiB//fabI//
NtrC	thrS//yqaE//sdaA//zntA//metT//yoaC//dinB//kbl//yhjC//argE//rpsU//lon//cra//creA//mgrB//yqjA//livK//
OmpR	dinG//xseA//yeaG//alaW//
OxyR	mukF//leuV//arsC//wcaA//rpoD//recA//yfiB//alaC//envC//
PaaX	paaX//agaC//
PepA	rffM//
PgrR	metF//rffG//yhbS//narQ//rutR//ecpR//nlpE//
PhoB	cpxQ//ribA//cysC//phnG//ybhL//cysE//ygaC//wrbA//eno//wcaB//grxA//cpxR//exbD//gltK//dacC//yojI//potI//ydiV//grpE//ihfB//xapA//cheW//pheS//metT//mepH//wecC//garD//apaG//yhjX//rnlB//ydiV//
PhoP	speB//yhbS//yeaH//uvrB//gltK//ydbK//nlpA//ynbA//trpC//pdxA//phnE_1//ynbC//dksA//glpG//yfdX//agaB//
PspF	yebE//
PurR	yadV//arfB//exbD//phnE_2//cyaA//ynbD//valU//gfcA//apaG//aspV//rcsD//htpG//secB//
RbsR	rpmA//
RcdA	hcaD//yiiS//rstB//
RclR	nadB//trmA//fliO//
RcnR	pagP//
RcsAB	gudD//apaG//treR//nadB//argR//
RcsB	gudX//ydcV//aspV//ybhS//
RcsB-BglJ	ppsA//wzxE//pgm//hofB//hcaF//pheU//rybB//treR//purB//phnN//cpxQ//
Rob	yeaD//
RutR	cra//
SdiA	mngR//
SgrR	trxC//phnE_2//xapA//ydcV//lysC//ihfB//
SoxS	allC//ttdT//ttdR//obgE//phnO//ilvB//
SutR	yeaD//aroF//
TorR	fliL//
TrpR	bcsZ//recC//cheB//flxA//tehA//wzzE//tisB//allD//
TyrR	argI//leuW//obgE//
UidR	flgJ//
UvrY	comR//fliN//
XapR	phnD//flgC//
YdeO	yoaC//fliR//
YjjQ	rpiR//gpmM//arsB//murR//ppsA//argI//borD//
YpdB	hcaR//
YqhC	mcbA//murR//
ZntR	yeiW//
ZraR	rcnR//
Zur	wecB//fliR//mepH//rclA//flhA//
