#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	bioD//
LrhA	ilvN//
Lrp	kbaY//yhdY//yafO//recD//agaS//yhjC//dsbG//cdaR//argT//rplU//yhfA//accD//yafP//hcaE//
LysR	rpmA//
MalT	alsA//
MarA	tfaQ//raiA//
MatA	ynbC//bioF//
McbR	ompA//
MetJ	secB//ecnB//fhuA//phoA//yidL//
MlrA	ybaT//argB//livK//luxS//obgE//
MngR	lysV//csrB//cheZ//
MntR	murI//glnX//
MprA	fliS//rplS//glpR//
MqsA	tsgA//rpsU//
MurR	pheT//
Nac	yfiB//ddpC//aaeA//mprA//lrhA//
NadR	lysC//bcsB//yhbE//
NagC	alaW//fruA//ymjD//sohB//wecE//
NanR	ydbK//borD//
NimR	livH//sfsB//
NsrR	paaY//ddpD//wzc//trpA//fliO//phnO//fabI//bioD//gudD//bluF//yhjX//ycjF//fhuB//ecpR//pykF//pheS//lysU//glnB//ygeH//alaS//alkA//gpmA//uvrD//ycgZ//pitB//rffG//yadV//ttdR//hofP//pagP//
NtrC	ybhL//yhdZ//add//fepG//rpsP//ydfD//yhfA//fliD//omrB//speB//yjhB//decR//agaI//cysN//yebE//gspB//sdaA//
OmpR	bioF//ycjY//recD//iscU//
OxyR	znuB//argF//ycjY//ompT//fnrS//ariR//fbaB//glxK//phnL//
PaaX	purK//mzrA//
PepA	dicC//
PgrR	yqhG//polB//phnI//pgm//rplS//cysK//treR//
PhoB	ddpD//ynbA//flhB//patZ//emrB//leuA//tyrV//priB//emrA//prs//mhpR//yafN//glxK//ybhS//ppc//accA//flgK//dicC//flhB//metF//mgrB//copA//grpE//raiA//sroA//wecC//wecB//rffM//flgG//lysR//agp//
PhoP	priB//kdpA//accD//flgE//yciW//pheS//nadC//tfaQ//ampE//allC//gltL//ilvB//rpoD//phnE_2//yaeQ//sroA//
PspF	ychH//
PurR	obgE//flgK//slyB//yneM//efeU_1//fldA//tyrV//ttdB//ydeA//yaeP//cynX//arsC//lacI//
RbsR	ycgR//
RcdA	ilvN//yhdY//rplS//
RclR	mhpR//seqA//xseA//
RcnR	ydcU//
RcsAB	nadB//speA//mcbA//ppc//phoE//
RcsB	recN//ybaS//ibaG//glnV//
RcsB-BglJ	alsE//oxyS//hemF//dsbG//mltF//ydiV//mzrA//uspB//yfdV//malZ//yafO//
Rob	oxyS//
RutR	hflC//
SdiA	recB//
SgrR	uspB//yecT//hflC//frc//grpE//cynT//
SoxS	ilvB//dinD//ydcT//mipA//fliL//wecC//
SutR	yafP//recX//
TorR	glgB//
TrpR	emrA//fhuC//argX//wecC//tonB//avtA//glpR//motB//
TyrR	amiA//cysK//fabI//
UidR	mhpR//
UvrY	alaS//ykiA//
XapR	narQ//dkgA//
YdeO	thrT//kdpB//
YjjQ	sfsA//pepA//aroH//arsB//yadV//yeiP//ddpD//
YpdB	pgm//
YqhC	rpmA//yeaE//
ZntR	thrU//
ZraR	rclA//
Zur	folE//rmf//kbaY//ddpD//nadB//
