#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gspA//
H-NS	yhdY//ibpB//murI//emrA//pgi//hofN//sbcC//nimR//paaY//dapD//rffH//exbD//fldA//rpoD//
HU	glmU//trmA//
HcaR	rdoA//valU//flgA//phnE_1//wecE//yciX//
IHF	allA//tap//leuB//nadC//ycgR//spf//rffT//
IlvY	raiA//cbpA//
IscR	bioA//rcnR//yfbR//fldA//gpmM//wza//valX//glgS//
KdpE	potI//tktB//argU//argF//
LeuO	lysC//phnJ//ykgO//raiA//cecR//wzb//
LexA	tpiA//ybhF//yciX//kdpF//leuA//raiA//thiP//infC//azuC//cysD//xdhA//potF//grxA//bdcA//mepH//zntA//chiA//chiA//allE//cynR//yhjC//cysC//zraP//flgJ//mukF//gspB//xdhC//glmU//ydfD//phnF//xdhA//leuB//hflC//gpsA//fldA//yjeV//glnV//
LrhA	yhbT//
Lrp	potG//livK//dinQ//serT//fepC//glxR//hslJ//argX//ymiA//mgtL//acrR//phnE_1//sfsB//rpsF//
LysR	artM//
MalT	pepA//
MarA	ampE//thrU//
MatA	manA//dapB//
McbR	livK//
MetJ	thiP//gpsA//ybaS//yccJ//bioD//
MlrA	yhdW//dapD//yhdW//dsbC//tonB//
MngR	hchA//rybB//nlpE//
MntR	bcsB//ilvN//
MprA	ftsK//bluF//leuT//
MqsA	yaiW//ppdB//
MurR	allB//
Nac	hofC//ybaT//ppdA//cpdB//yfiB//
NadR	ybbW//rffH//ompN//
NagC	recN//wecE//glpG//kdpF//cheB//
NanR	rof//lysR//
NimR	mpaA//dhaR//
NsrR	dapD//dicC//kdpC//hchA//rpiB//cbpM//dsbC//phoB//gltL//fhuB//rpmA//ilvY//trpE//ychO//dnaG//hofN//mqsR//yfbR//apaG//yjeV//alkA//crl//sroA//phnN//rarA//ppdC//entS//eno//nohA//dhaL//
NtrC	ttdA//yhfA//ompX//fhuE//potF//fliQ//speB//uvrC//wecE//mzrA//fliS//metJ//hofB//leuV//ampC//fhuB//flgD//
OmpR	ldtD//fliL//ynbA//sroA//
OxyR	ruvA//cysC//cecR//msrA//fadM//recB//cstA//paaX//fldA//
PaaX	ptrA//ompA//
PepA	recN//
PgrR	tufB//yciX//wza//allC//phnO//cynX//allE//
PhoB	mlrA//creA//mscM//tyrU//tsgA//phnJ//ubiG//mukE//ppdC//hofN//dgkA//flgJ//preT//gltI//entS//dgkA//tyrV//iraP//gudD//yafO//yaeQ//phoP//allB//hemF//yibQ//glnV//seqA//grxA//phoA//hofP//gudP//
PhoP	nadA//yhbT//rfe//leuC//ilvY//ybaS//thiP//uspB//gpmA//lexA//grxD//hcaC//phnP//metF//adiY//ymgC//
PspF	ruvB//
PurR	tyrV//dnaG//yjhC//rstB//hchA//yqaE//pnuC//nimR//pheT//adeD//phr//kdpF//yiiS//
RbsR	allS//
RcdA	glgB//flhA//sfsB//
RclR	wcaB//tap//hslJ//
RcnR	lysV//
RcsAB	iscR//yecT//hslJ//copA//yccT//
RcsB	argA//bacA//pepT//thiQ//
RcsB-BglJ	umuD//rclA//lysV//fliR//potG//ecpR//ynbD//alsC//bioA//mngA//ydcU//
Rob	cmoM//
RutR	ada//
SdiA	mukB//
SgrR	trmA//pgm//ydcT//agaS//yeiP//flgA//
SoxS	omrA//fadM//wrbA//yeiB//recX//kbaY//
SutR	gudX//yfiR//
TorR	pgm//
TrpR	lysT//osmB//mlrA//dicB//wecE//mzrA//yqhG//torR//
TyrR	rimM//ydfE//sbcC//
UidR	agp//
UvrY	dinB//sroA//
XapR	queA//speA//
YdeO	pheS//fepD//
YjjQ	aspV//yccA//talA//flhA//omrB//phoE//potI//
YpdB	ydiU//
YqhC	ung//ppdC//
ZntR	exbB//
ZraR	mngA//
Zur	gor//bdm//tar//ppdA//motA//
