#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpR//
NsrR	glgX//yecT//grpE//ompX//folE//glnX//phnE_2//valT//gcl//fnrS//sohB//bacA//tap//ybhS//dhaL//ydbD//yidL//ygdB//trpD//ttdR//cheZ//pheT//rclC//ubiG//fruA//rffG//rpmA//fepC//iraP//sbcC//
NtrC	uvrD//tap//rffM//pykF//murR//phnL//flgF//wecC//insK//flgI//leuV//dsbG//purB//arsC//arcA//leuC//nadB//
OmpR	trpB//glgB//leuL//fruK//
OxyR	ydeI//sgrR//ampE//add//tadA//pheT//fliO//gspB//ftnB//
PaaX	ychH//ddpX//
PepA	fabH//
PgrR	ychO//sfsA//purF//metU//tbpA//agaS//efeU_1//
PhoB	yecT//ygbK//ydcS//purF//ydfX//grxA//erpA//gltL//argC//ompT//spf//ymiA//rclB//argB//dhaR//yeaD//sbcC//kdpA//argH//valU//purE//fliN//yiiS//tar//hokE//cra//proK//alsA//leuE//ydeA//yjhB//
PhoP	wzxE//rpiR//thiP//phnK//rffM//pykF//ppc//ynjI//bioA//bluF//ddpB//fabD//cysK//agaC//yccJ//ykiA//
PspF	hemF//
PurR	tdh//flgJ//phnG//yhdY//rffH//ddpD//ycgR//tar//trpC//iscA//nohA//phnH//yhhY//
RbsR	nlpA//
RcdA	lysU//wecC//ykiA//
RclR	aaeX//rpmI//mgrB//
RcnR	gudD//
RcsAB	fnrS//leuE//rffT//agaC//tisB//
RcsB	lysU//bcsZ//ubiX//yfiR//
RcsB-BglJ	yjhC//bioD//grpE//livG//thrS//adeD//kdpB//yebG//paaX//trpC//fliS//
Rob	fldA//
RutR	ynbD//
SdiA	fliP//
SgrR	cpxA//dinD//cysK//yqaE//ppiD//thiQ//
SoxS	flxA//mgrR//trpC//fadM//nimR//phoR//
SutR	ttdB//ydeA//
TorR	ycjG//
TrpR	argE//ymgA//glgS//omrA//yjjZ//leuT//fabH//mzrA//
TyrR	alsB//fliL//lrhA//
UidR	hflC//
UvrY	yoaC//zraP//
XapR	glyT//kbp//
YdeO	cpxR//exbB//
YjjQ	sbmA//yeaH//rof//cdaR//livJ//gcvA//lolA//
YpdB	flgF//
YqhC	yeaE//yebG//
ZntR	recD//
ZraR	ftnB//
Zur	yiiS//htpG//ppc//speB//rpsR//
