#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybjG//
FNR	hflK//yqhD//phoE//ecnB//gltI//yjhC//aaeA//mscM//argA//thrS//rffC//fadR//nadA//flgH//cysE//tyrU//fruA//fruK//fliO//thrU//ada//phnE_2//yibQ//mzrA//yebG//pgm//wcaB//
FadR	yccT//rpsF//folE//htrE//pdeF//trpL//queA//yciW//
FeaR	ilvC//
Fis	ecpA//kbp//fabD//apaH//cho//pheT//apaH//uvrC//dsbC//oxc//murR//znuB//fabI//cynS//wcaB//ydcV//gltX//ybaS//flhB//cdaR//nimT//ibpB//allE//alaX//gltL//uvrY//yciX//ddpC//talA//aaeA//flhE//kdpB//asnB//phoP//glpE//rplU//rpsF//phnI//alaA//artM//ybhL//ybhL//kdpB//envC//sroA//nadA//trpC//folE//fliL//purE//tar//cynX//agaI//ilvB//mzrA//cbpM//
FlhDC	uvrC//glxK//bioB//pfkA//arfB//tar//kbp//allA//amiA//rpsP//fabD//flgA//tonB//ttdA//narQ//proK//uspB//tsgA//cysN//acrR//dsbG//fliT//bioA//gyrB//decR//sbmA//cpxA//mqsR//mltF//ecpA//fhuD//yccT//ompT//leuA//yagK//agp//ppiD//ubiG//
FliZ	ybaS//
Fur	cbpA//ihfB//yqhG//cysK//livH//cmoM//bcsB//eno//bioB//bacA//potG//hcaF//lysR//prs//glgX//preT//mcaS//phoP//iraP//fabI//dhaM//phoB//ybaT//mqsA//
GadX	rffH//kbp//exbB//hofN//leuB//fliL//arsR//
GcvA	ppsA//fecR//
H-NS	ryhB//flhE//cecR//artP//slyB//paaX//yecT//cpdB//ycgR//valY//yegH//livF//trpR//apaH//
HU	rpsF//paaY//
HcaR	hflD//yhjC//yccJ//bioA//ppdD//cheB//
IHF	yagK//yafP//yfiB//mukB//cvpA//cueO//ynbC//
IlvY	recX//rpsF//
IscR	gcl//dgcC//artM//gudX//flgI//wzc//ddpC//metA//
KdpE	uvrY//tonB//yeaG//pheV//
LeuO	sohB//tap//purL//ykgR//thrS//apaG//
LexA	dapB//insK//iraP//mpaA//glgB//metJ//glpE//fliT//rpmI//hcaB//uvrC//creB//phnN//ycjY//allD//glpR//ilvC//yeaE//ybaT//ycgR//flgB//artM//aspV//tehA//nimR//decR//iscR//ilvB//leuX//ybhR//ydcV//pgi//metF//isrC//cpxR//hcaE//livG//
LrhA	rpmI//
Lrp	gcl//tpiA//tehB//gltI//leuV//fhuE//hcaR//rstB//pheT//hofO//envC//btuB//sohB//arcA//
LysR	dapD//
MalT	cysN//
MarA	yeaD//ymjC//
MatA	sfsA//tktB//
McbR	ilvB//
MetJ	htpG//yfiB//grxD//add//ampE//
MlrA	yibQ//flgK//fabD//yhdY//yccA//
MngR	polA//ymjC//rffG//
MntR	ygbK//gudD//
MprA	agaC//alsA//tynA//
MqsA	rpsR//ftsK//
MurR	rnlA//
Nac	fliN//ubiX//preT//gspA//cpxR//
NadR	phr//leuL//ubiG//
NagC	cpxA//ynbA//cyaA//fabI//comR//
NanR	rimM//ppiD//
NimR	crl//lysW//
NsrR	glpR//phnG//allD//hfq//cysD//livK//mcbA//dsrA//murI//pitB//tpr//nimT//argB//trpE//dhaL//ydfN//patZ//alsB//yecT//copA//hofN//rpsR//htrE//xdhA//tar//yidL//umuD//creB//gudX//iraP//
NtrC	phoB//ydeI//tehB//pfkA//leuX//rffC//wzb//phoP//recD//metC//glk//potF//hcaD//pitA//yqjA//fhuE//rffT//
OmpR	spf//dapD//metA//crl//
OxyR	dgkA//argX//znuC//oxc//ecnB//dapD//sroA//dhaL//emrB//
PaaX	ttdT//yidL//
PepA	thrT//
PgrR	trpL//rplU//dnaG//allD//ydcT//argR//symE//
PhoB	hdfR//yegZ//malZ//slyB//cpxR//phoE//motA//fbaB//umuD//torR//exbD//ychF//yecT//ygaC//gpmA//yccA//rfe//osmB//cbpM//sbmA//purK//garD//pagP//rffM//recD//lolA//adiY//mqsR//rybB//hcaE//mqsR//
PhoP	yojI//murR//phnI//ariR//talA//cbpA//pitB//raiA//decR//spf//sfsA//dhaR//insK//xseA//cdaR//cra//
PspF	dgcC//
PurR	xdhB//flgH//hcaR//mgrR//allA//recA//rstA//yfdX//ybhR//apaH//bioA//yfdE//trpD//
RbsR	gltJ//
RcdA	ptrA//cvpA//rplS//
RclR	yeiP//hemF//argW//
RcnR	potH//
RcsAB	lacI//yfdE//pykF//yaiW//phoE//
RcsB	lexA//phnH//dacC//ydfD//
RcsB-BglJ	amn//pheT//yqaE//pepD//mukE//wza//fruA//cheA//fepC//phnC//cheR//
Rob	uvrY//
RutR	cynX//
SdiA	gspB//
SgrR	bluF//tdh//spf//flgJ//livG//ymjD//
SoxS	tisB//cheA//btuB//lysC//ybhL//mgrB//
SutR	argH//phnM//
TorR	hofP//
TrpR	yeaG//nimT//tehA//tadA//valY//rpsP//fliP//iscA//
TyrR	topA//fabI//manA//
UidR	purB//
UvrY	cheA//gltL//
XapR	cueO//yjhB//
YdeO	glnU//cynT//
YjjQ	alsA//yciX//dhaR//rdoA//xdhB//fecI//ycjG//
YpdB	rclA//
YqhC	kdpB//cueO//
ZntR	bcsZ//
ZraR	speA//
Zur	talA//recA//yeaG//ybjG//dacC//
