#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yjeV//
Lrp	livH//leuA//cbpM//ycjY//argE//nimT//insD//rpsU//dhaM//yaeP//pheT//yhhY//amn//ydfE//
LysR	rclA//
MalT	yebE//
MarA	rpsP//allS//
MatA	glxR//xapB//
McbR	fnrS//
MetJ	ykiA//xdhA//murR//pitB//recX//
MlrA	metJ//recC//phnF//queA//wzyE//
MngR	flu//valX//alsB//
MntR	ampC//thiP//
MprA	dicC//wecC//grxD//
MqsA	psiF//fldB//
MurR	yjhB//
Nac	ilvC//rnlB//yfdV//ppdC//cbpA//
NadR	yeiW//metT//tynA//
NagC	gpmA//yqhD//kdpB//ampC//fruB//
NanR	dksA//rpiB//
NimR	yeiP//talA//
NsrR	potI//bioD//ydfN//phnN//xseA//fliS//creA//recA//kdpB//ampD//fliO//mhpR//wzyE//rffT//yebG//glnU//alkB//ecpA//cpdB//aaeA//yebG//aroH//glpG//ivbL//kdpA//dsrA//ybbW//exbB//dsbC//garD//
NtrC	phnE_2//ybbY//metF//hflK//dkgA//sxy//avtA//erpA//creA//yccJ//mqsR//flhA//rplI//aaeB//uvrY//uspB//yojI//
OmpR	phnL//mgtL//livK//ibaG//
OxyR	yiiS//speC//rpmA//cbpA//ecpR//garD//polA//entS//xdhA//
PaaX	mhpT//lexA//
PepA	recN//
PgrR	ycjG//ppdD//hokE//rpmA//fliD//livM//phnE_2//
PhoB	gpmM//mukF//trpR//fliQ//kdpA//pitA//livJ//uvrY//pheU//xdhC//creA//yhbE//rfe//yncE//agaB//dinD//cynS//dhaL//hcaC//exbD//fliT//fhuC//rarA//cheZ//glmU//creB//rffT//tsr//fbaB//yhdX//raiA//
PhoP	cstA//zraP//xdhB//uvrY//ydiU//mcbA//ymjD//htpG//purL//thrS//ydfD//hdfR//ilvN//yneM//omrA//sfsB//
PspF	yhjC//
PurR	gltJ//pepT//flgL//mngR//ykgM//decR//ygaC//cysN//aroH//argR//cheY//decR//rffC//
RbsR	arcA//
RcdA	ychO//dgcC//serX//
RclR	ydcU//ymjD//pdeH//
RcnR	rcsD//
RcsAB	phoP//yegR//yadV//sbmA//trpB//
RcsB	rfe//ubiG//metJ//wzyE//
RcsB-BglJ	ynbD//cbpM//metC//lysO//mngR//dinB//fhuA//hfq//prs//accA//tehA//
Rob	glnU//
RutR	glmS//
SdiA	trpC//
SgrR	exbB//mgtA//cho//tap//fliS//ddpX//
SoxS	fhuC//kdpF//aaeA//yegR//fliP//aaeA//
SutR	preT//rpsU//
TorR	cdaR//
TrpR	rpmA//ilvN//bioF//envC//fliL//xseA//eno//phoE//
TyrR	potF//priB//dapB//
UidR	ybhF//
UvrY	tsr//yccA//
XapR	livF//rpiB//
YdeO	ydeA//ilvY//
YjjQ	rffT//iscA//argU//exbB//yecT//ykgM//uvrB//
YpdB	argC//
YqhC	msrA//gudX//
ZntR	nohA//
ZraR	exbD//
Zur	fliD//yafP//ampD//glmS//ftnB//
