#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	iscU//
PhoB	mpaA//potH//rnlB//trxC//pgpC//sbmA//cueO//aroH//aaeR//ydcT//mgtA//tyrV//ygeH//leuD//wcaA//flgC//obgE//thrT//pykF//livG//iraD//cysD//fliN//dinF//polB//dsbC//mukE//phr//leuV//tyrB//dicC//
PhoP	pitB//agaB//cysE//ddpC//rcsD//thrW//flhB//phnK//gspA//insD//leuP//znuC//rpmI//flgI//metF//proM//
PspF	cpdB//
PurR	exbD//allA//nlpE//secB//ttdA//zraP//luxS//upp//hcaR//patD//zntA//hfq//dhaK//
RbsR	polB//
RcdA	uraA//murI//tonB//
RclR	potF//hofB//argH//
RcnR	accD//
RcsAB	acrR//cdaR//iscU//leuP//phoP//
RcsB	iscR//dinG//valU//hcaD//
RcsB-BglJ	avtA//mukF//polA//arsC//fhuD//tap//polB//apaH//mpaA//phoR//phnL//
Rob	yafN//
RutR	ftsK//
SdiA	ampC//
SgrR	arsC//rstB//yafP//purK//phnH//preA//
SoxS	xdhA//mzrA//yfiR//phnG//glpE//cpdB//
SutR	wza//agp//
TorR	mngR//
TrpR	kdpC//topA//gltI//wzzE//tehA//flgA//rof//arsB//
TyrR	ilvN//yegR//flxA//
UidR	alaA//
UvrY	agaI//creA//
XapR	priB//alkB//
YdeO	hemH//talA//
YjjQ	yjjZ//isrC//proK//fabH//slt//speB//yidQ//
YpdB	cho//
YqhC	tdh//arsB//
ZntR	serT//
ZraR	gltX//
Zur	thiP//yegR//bdm//nohA//leuC//
