#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	flgK//
NtrC	creA//znuC//fhuC//isrC//fabH//cheW//tbpA//hcaD//entS//leuQ//copA//mzrA//dinQ//fhuD//dksA//ydfW//dinB//
OmpR	yeiP//mlrA//metC//cynR//
OxyR	yciW//yfbR//seqA//ydeJ//trpL//ruvA//fliS//glyU//aaeB//
PaaX	tyrV//phnN//
PepA	msrA//
PgrR	talA//yhdW//fliR//ymjC//dgcN//ynjI//tadA//
PhoB	ydjM//trxA//alaW//kdpB//cheZ//allB//hofB//apaG//pykF//ddpX//treR//livK//alsA//secB//gcvB//iscR//topA//ybaS//queA//yiiS//queA//yccJ//ddpA//yhdX//ttdB//fabD//argC//lysC//leuQ//tyrT//yeaE//
PhoP	uraA//dsbC//gltX//phoE//preA//ppdB//pfkA//argA//hisR//fbaB//yjhB//wecE//ilvN//flgJ//mltF//ydcT//
PspF	nimR//
PurR	ycjX//tadA//slyB//garD//arcA//ynjI//ychO//yafN//alaW//dinQ//ycjG//pheS//cueO//
RbsR	ybhF//
RcdA	wcaA//agaR//mntS//
RclR	arcA//dhaM//yciW//
RcnR	ybhL//
RcsAB	fliQ//wzzE//nadC//dgkA//ruvA//
RcsB	torR//tktB//mukB//yfdX//
RcsB-BglJ	bcsB//rpsF//cheW//ddpC//leuX//apaH//leuX//ynbB//glmU//sohB//hyi//
Rob	znuB//
RutR	artP//
SdiA	purB//
SgrR	argA//phnJ//pspF//pykF//murI//fliL//
SoxS	thrS//trxC//lexA//bluF//ftsK//rpoD//
SutR	intQ//dksA//
TorR	tyrA//
TrpR	cheA//dgkA//rffT//ygaC//trpE//ppsA//efeU_2//rffG//
TyrR	sfsB//ychF//sxy//
UidR	mukB//
UvrY	yecT//fepD//
XapR	ydfH//htrE//
YdeO	ompX//kbaY//
YjjQ	argF//mhpR//ykgR//pitB//ompN//yfiB//dinD//
YpdB	trxC//
YqhC	omrB//leuL//
ZntR	rutR//
ZraR	tbpA//
Zur	ysgA//tsgA//wecE//alsE//ruvA//
