#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	leuP//
Fis	malZ//ydeA//ycjF//mqsA//glgX//pheS//trpA//ftnB//dicB//ybhF//msrA//dgkA//ynbB//ymiA//insK//kdpB//pdeH//hslJ//fliM//rpiR//ecnB//alaS//thrW//iraD//proM//bluF//flgE//wzxE//agaB//dinD//kbl//rpsP//ybbY//hcaD//valX//arsR//lysU//ybbW//sohB//gpmA//htrE//slyB//leuQ//chiA//glnU//ldtC//yagK//kbl//cynR//dhaL//cpdB//fnrS//nimR//priB//phoB//xapA//
FlhDC	ecnB//yafN//umuC//ydfW//tyrB//asnA//rpsF//mngR//fabI//wrbA//yegR//dsbC//wzzE//lysC//kdpC//gspA//avtA//potI//flgF//hflK//wzxE//valX//flhE//ppiD//gor//tynA//gcl//phoH//sxy//flhB//trmA//amn//dnaG//narQ//aaeX//efeU_2//ttdR//fldB//
FliZ	bioD//
Fur	cbpA//phoP//bcsB//ybjG//trxA//flgA//allA//osmB//ydbK//iscR//asnA//ykgO//phnO//cvpA//eno//allC//mepH//leuA//lysU//pgi//recD//kdpF//livG//lon//
GadX	ibpB//ycgR//speC//uvrB//secB//glmS//sohB//
GcvA	nadA//ychH//
H-NS	arcZ//yadV//uvrB//tyrT//exbB//leuD//speA//ygiZ//yaeQ//yeiB//argC//tsgA//tsr//cysK//
HU	yfdX//paaY//
HcaR	yhdY//bdcA//yeiP//mhpR//trxC//rutR//
IHF	ddpD//yneM//tehB//yhdX//fabD//manA//ydcS//
IlvY	tehB//allD//
IscR	trxC//creA//spf//yoaC//tyrA//rstB//pdeH//preT//
KdpE	rcsB//tehB//torR//flgK//
LeuO	phoE//secB//yncE//phnP//aroF//kdpA//
LexA	ompN//envC//cyaA//glk//ampD//ydcT//yhdX//mqsR//yegZ//ymjC//valT//ptrA//fliL//tap//gfcA//leuW//arcZ//rarA//xapB//leuP//agaB//phnF//flgL//ydfX//pepA//rplU//phnH//glyU//ubiX//pepD//intQ//metU//nlpE//pnuC//yhdZ//pheT//mcbA//
LrhA	hyi//
Lrp	gcl//nimT//glpR//proK//yidQ//leuE//ybhS//ybhG//ompX//infC//dicC//lysU//speB//alkA//
LysR	yeaD//
MalT	ddpA//
MarA	fliM//nimT//
MatA	leuT//lysO//
McbR	proM//
MetJ	ysgA//xdhB//flgG//dgcC//artM//
MlrA	arcA//creC//chiA//ygeH//ddpX//
MngR	yfiB//ddpF//cpxA//
MntR	fliS//ttdT//
MprA	polB//yjjP//tyrU//
MqsA	secB//kbl//
MurR	agaC//
Nac	sfsA//dicB//yfbR//ddpD//potF//
NadR	ybaS//ppc//argI//
NagC	cecR//rsmA//ptrA//ynbD//tktB//
NanR	cynT//btuB//
NimR	phoA//yciW//
NsrR	gcl//dicC//yhjC//yjjP//yeaG//rclB//rpsU//proM//phnN//lysU//rpiR//thiQ//intQ//metU//rpiR//ftnB//alaW//flgF//ygeH//accD//glpG//ycjG//flgK//acrR//wecB//cra//yibQ//alsC//ppdA//fhuC//
NtrC	yeaD//fliD//umuD//oxc//ybbW//thrT//rffH//fabI//murI//ymgA//cysE//rpmI//dapD//dsbC//hemF//mukB//rplS//
OmpR	msrA//flhE//metF//speC//
OxyR	flgG//ygiZ//leuL//yadV//yidQ//rffG//alsC//trpL//flgG//
PaaX	purK//bluF//
PepA	patZ//
PgrR	phr//artI//iraD//gpsA//garD//artQ//hchA//
PhoB	rcnR//treR//hcaF//pspF//hofC//trxA//cysD//gspA//cysC//cueO//yebG//arsB//cbpA//dsrA//glmU//argB//efeU_1//phoE//lacI//ldtD//ompX//kdpC//yaeP//adiY//ariR//mscM//fepG//borD//yfdE//folE//preA//
PhoP	rclB//treR//tyrA//hflC//flgD//msrA//artI//bioD//ygeH//cueO//rcnR//ynjI//leuD//apaG//amiA//ilvY//
PspF	amiA//
PurR	mpaA//grxA//pheS//fliN//phnF//potG//hchA//tsr//fabH//hcaB//ilvB//ybjG//umuD//
RbsR	ddpX//
RcdA	ydfW//artM//phnE_1//
RclR	fabG//sroC//gpsA//
RcnR	ttdR//
RcsAB	fnrS//mepH//flgB//alkA//yhjX//
RcsB	yhjX//torR//yafP//mukE//
RcsB-BglJ	cstA//preA//fliR//dkgA//nadC//wzyE//grxD//serT//paaX//ymiA//dgcN//
Rob	aroH//
RutR	yhbE//
SdiA	fliL//
SgrR	alaC//glxR//mgtA//ung//azuC//grpE//
SoxS	rpmA//argT//ydeA//yaeP//dgcN//trpR//
SutR	yeiW//yagK//
TorR	lysU//
TrpR	yhdZ//insD//mhpR//yagK//allS//dhaL//livK//rffC//
TyrR	cysK//artM//rpsU//
UidR	cpxR//
UvrY	fliN//mcaS//
XapR	ychO//amn//
YdeO	kdpB//ycjG//
YjjQ	pykF//phnG//gudD//cysC//cysD//pnuC//ftsK//
YpdB	yeaH//
YqhC	ygeH//ydcS//
ZntR	ppdC//
ZraR	mngR//
Zur	fliR//yciX//dgcN//hokE//rffC//
