#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fldB//
NsrR	yhfA//metF//ydfX//apaG//ddpA//metT//ttdB//oxyS//prs//ydfN//ompX//aaeX//pykF//yjjP//mukF//ybaT//ybhF//cho//leuD//yaeP//cpxR//gspB//flu//cdaR//fliD//wecB//phnC//csrB//gspB//rimM//
NtrC	yncE//agaI//recB//hofO//agaR//gltL//queA//trpA//hflD//cpdB//ysgA//tyrV//flgK//slt//leuP//glpR//hfq//
OmpR	glgX//leuP//fepG//psiF//
OxyR	glpR//copA//bioF//flgB//adeD//emrA//argX//flhB//arsR//
PaaX	bioD//cynX//
PepA	ymiA//
PgrR	hofO//rnlA//recN//ykgO//metA//hofC//fepG//
PhoB	tap//dhaK//ppdB//trpB//preA//flhA//thiQ//leuL//cheR//gltJ//ppdB//ynbA//allE//rclB//hofC//dapB//fadM//leuL//cysC//sbcC//ttdA//iscA//ynbC//zntA//yeaH//dhaR//gudP//hflC//cpdB//yoaC//hslJ//
PhoP	ppdB//purC//fadM//omrB//znuB//motB//iscU//entS//yfdE//fabI//thiQ//cheA//gltX//agaR//ydeI//rarA//
PspF	dsbC//
PurR	ynbB//yidL//gpsA//btuB//trpE//hofC//sohB//yjeV//ymgA//tonB//ddpA//purE//kdpA//
RbsR	wecE//
RcdA	argW//ptrA//phnI//
RclR	phoB//yebE//dgcC//
RcnR	mgrB//
RcsAB	cheZ//phoB//ttdB//iraD//yhdY//
RcsB	rclB//agaR//bdcA//torR//
RcsB-BglJ	fliO//prs//pfkA//iscU//thrU//apaG//rstA//nlpA//arcZ//dsbC//fabG//
Rob	rffC//
RutR	copA//
SdiA	phnF//
SgrR	alsC//ykgR//ycjY//ybhS//rcsD//arsR//
SoxS	aroF//tyrV//ddpB//phnL//pfkA//kdpB//
SutR	yciW//rpmA//
TorR	yqhG//
TrpR	iscR//metA//yaeP//upp//leuW//leuW//prs//pagP//
TyrR	secB//tap//creA//
UidR	phnO//
UvrY	talA//mscM//
XapR	eno//phoR//
YdeO	yhjC//gudP//
YjjQ	lysR//ddpF//ychH//mzrA//yccT//ilvY//ilvC//
YpdB	uvrY//
YqhC	metT//ybjG//
ZntR	psiF//
ZraR	artJ//
Zur	speA//gcvA//ppdB//yjhC//ttdT//
