#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ydfX//
LeuO	livM//ttdR//osmB//flgJ//phnL//prs//
LexA	yccT//znuB//creB//pfkA//ldtD//fhuD//hflX//ychO//yneM//potH//ddpB//alaX//fhuD//rpmA//livK//uspD//aaeB//cpxR//hchA//yidQ//alsC//asnB//cynX//yegZ//pdxA//flgL//mgrR//dtpA//yhhY//polB//hofB//phr//rnlB//ibpB//sohB//rplU//ddpF//
LrhA	recB//
Lrp	msrA//ppdB//tar//eno//phnE_1//lysW//glnW//rdoA//yhbT//rclA//argE//avtA//rclC//amn//
LysR	ydcT//
MalT	ygaC//
MarA	recD//cpxP//
MatA	polA//yhhY//
McbR	wzc//
MetJ	hflD//nimT//ftnB//valY//gudP//
MlrA	seqA//agaS//fliS//trpB//yeaD//
MngR	bioA//polA//cheB//
MntR	rffM//fhuD//
MprA	dksA//ydbK//phoB//
MqsA	fliN//metU//
MurR	alaX//
Nac	kdpF//insK//ynbD//ybhL//dnaG//
NadR	ykgO//potI//rybA//
NagC	allD//lysC//ecnB//yjhC//yciW//
NanR	yeaE//oxyS//
NimR	aaeB//rclA//
NsrR	ykgM//hofP//yciW//ydfD//wzb//phnE_1//creB//glmU//fnrS//leuA//metC//cynS//dapB//cysN//yidL//mhpT//patD//phnO//phnK//ompT//yccJ//ygiZ//yqaE//ygiZ//exbB//fliR//ydiV//ppdD//rffM//add//
NtrC	fliR//argC//erpA//fruK//iscA//thrS//glgX//dinB//fecR//ftsK//ydeA//lysV//agaS//pspF//bcsB//rfe//rclB//
OmpR	preA//grpE//tyrV//dinF//
OxyR	gyrB//fliS//hofP//polB//glnW//fliS//pdeF//apaG//iscA//
PaaX	recD//recX//
PepA	agaI//
PgrR	ybhR//btuB//znuB//ompN//trpE//cheB//metJ//
PhoB	allE//hofN//yibQ//pspF//rarA//rffC//rcsB//ymiA//yidL//xdhA//agp//flgI//hcaD//glyU//flgC//hofN//yegH//yhbT//ecnB//rpsR//trpD//yoaC//ampC//mhpR//cheW//ybhF//phnP//yhbE//isrC//bioD//ydfH//
PhoP	ariR//thrW//tbpA//accA//alaA//omrA//fliR//serT//allA//spf//recC//livK//cheY//sxy//envC//ydeI//
PspF	yfdV//
PurR	sroA//hemF//yeaH//flgD//ada//lysU//tynA//mqsR//hflD//recA//ydbD//lacI//rpsP//
RbsR	paaY//
RcdA	ydbD//cynS//arcZ//
RclR	purC//allB//leuQ//
RcnR	motB//
RcsAB	ymgA//pepD//yjjZ//accA//ycjG//
RcsB	gltK//yciW//flgJ//ydfN//
RcsB-BglJ	rstB//yhdZ//fnrS//gltI//dksA//phnN//pfkA//gpmM//hchA//yciW//lysO//
Rob	fliN//
RutR	zraP//
SdiA	hofM//
SgrR	pitA//rpoD//iraD//rnlB//ydbD//fldB//
SoxS	tyrA//gltJ//yafP//ydfH//serT//tufB//
SutR	phnO//adeD//
TorR	kbaY//
TrpR	ribA//flhB//mhpT//hflC//lexA//valT//hflK//ribA//
TyrR	pagP//priB//envC//
UidR	ycgR//
UvrY	yaiW//ppdB//
XapR	proL//motB//
YdeO	cheA//sbcD//
YjjQ	glxR//ecnB//proM//comR//yeaD//sbmA//sroA//
YpdB	xdhC//
YqhC	valY//mngA//
ZntR	ybhF//
ZraR	yaeP//
Zur	wecC//yjjP//rnlA//tyrU//dnaG//
