# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yeiR//
gcvTHP	yqjG//ydiF//nrdA//
gfcBCD	
gfcE_etp_etk	lysC//fucO//
ghoST	metF//
glcBA	fadK//glk//
glcDEFGBA	trmJ//sbcB//yjhH//
glf_wbbH	patZ//
glgAP	gloB//nanM//
glgBXCAP	psd//nrdD//nadR//rhaB//mhpF//
glgCAP	gltA//yghU//frdB//
glmUS	yicI//trmL//
glnALG	fadK//
glnHPQ	ribA//
glnK_amtB	poxB//
glnLG	
glnW_metU_glnVX	
glpABC	nfi//
glpEGR	rluC//cysQ//
glpFKX	entE//mnaT//tadA//
glpGR	aceF//
glpTQ	ascB//murD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	gldA//
glvCBG_ysdC	
glyQS	bcsB//
glyVXY	
glyW_cysT_leuZ	
gntKU	cysH//ygiF//
gntRKU	ribC//narY//
gntX_nfuA	
gpmM_envC_yibQ	pheS//astE//
groSL	
gspAB	
gspCDEFGHIJKLMO	thrC//
guaBA	entE//araA//
gudPXD	etp//galK//
hcaEFCBD	yfdE//rnpA//
hcp_hcr	napG//proA//
hdeAB_yhiD	
hemA_prfA_prmC	frdD//rfbB//
hemCDXY	panE//ispH//
hflD_purB	fes//
hfq_hflXKC	argK//
hicAB	
higBA	leuC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	speD//argF//xthA//gadB//
hipBA	fsaA//
hisBHAFI	gdhA//nrdF//purA//mnmA//
hisJQMP	luxS//thiE//
hisLGDCBHAFI	rsuA//glf//abgA//scpC//ribE//umuD//glnA//
hofMNOP	
holC_valS	zwf//
holD_rimI_yjjG	aroG//fsaA//
hscBA_fdx_iscX	glyQ//
hsdMS	waaP//
hsdRMS	gcvH//
hslRO	
hslVU	ilvI//
hyaABCDEF	
hybOABCDEFG	paaG//
hycABCDEFGHI	purU//rihA//
hydN_hypF	nfsB//
hyfABCDEFGHIJR_focB	fcl//
hypABCDE	ansB//
hypABCDE_fhlA	pgaD//
hypBCDE	dhaK//
hypBCDE_fhlA	yfiC//
iaaA_gsiABCD	glmU//lsrF//
ibaG_murA	garK//
ibpAB	
idnDOTR	moaA//frdC//thrC//
ileS_lspA_fkpB_ispH	nth//pykF//ubiE//nudI//
ilvEDA	pdxB//iscS//gshB//truB//
ilvIH	idi//
ilvLXG_1G_2MEDA	tesA//idnO//nudC//proS//hycC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	caiA//
insN_1I_1O_1	ligB//
insO_2_yjhWV	
iscRSUA	mutT//aslA//
ispDF	fsaA//mrcB//
ispG_sroE	waaG//
isrC_flu	
ivbL_ilvBN	rlmB//
ivbL_ilvBN_uhpABC	pbpC//
kbaZ_agaVWA	yeaG//
kbl_tdh	betB//panD//
kdpDE	
kdpFABC	fadE//
kdsC_lptCAB	nadR//ftsI//
kefFC	rfe//waaS//
kefGB_yheV	hemA//
kilR_ydaE	
lacYA	gatD//yeiG//
lacZYA	fucO//galK//tig//
lapAB	
lapAB_pyrF_yciH	glcE//
lepAB	cfa//
leuLABCD	rhaB//adhE//murQ//
leuQPV	
leuS_lptE_holA_nadD_cobC	dxs//yfdR//pagP//
lexA_dinF	
lgt_thyA	trmO//rfbC//
ligA_ypeB	pphA//
livKHMGF	ftnA//yrfG//
lldPRD	nth//paaG//
lolA_rarA	
lolB_ispE_prs	putA//ydiF//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	nrfC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mnmG//leuB//
lptFG	
lspA_fkpB_ispH	treC//hyaB//tesB//
lsrACDBFG_tam	prmB//gloC//frdB//phnL//
lsrRK	dgoD//
ltaE_ybjT	gor//
lysT_valT_lysW	
macAB	pdxJ//
malEFG	hemF//
malK_lamB_malM	tatD//ispA//
malPQ	gor//ynfF//
malXY	narG//lpxP//
manXYZ	apt//
map_glnD_dapD	rnd//lysU//mpaA//
marRAB	
mazEFG	glgB//
mcrBC	nagZ//
mdlAB	
mdtABCD_baeSR	mrdA//
mdtEF	acnB//
mdtJI	melA//
mdtM_yjiN	mhpD//
mdtNOP	pspE//
melAB	selD//lpcA//
menA_rraA	phnI//
menBCE	emtA//truC//der//
menDHBCE	nudK//yfbT//prpB//ybdL//ygaP//
menFDHBCE	serS//narV//ispA//pphB//hyaB//lpxM//
metBL	gltA//dhaM//
metNIQ	ahr//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	epmB//accD//apaH//
metZWV	
mglAC	ldtA//
mglBAC	ampC//
mgtLA	nfsA//
mhpABCDFE	rbn//murA//rfbA//glxK//proA//yhdH//
mhpR_lacI	
miaA_hfq_hflXKC	alkA//nanE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	eptB//pbpC//
mnaT_ydcZ	ydiO//
mngAB	lpxD//dfp//
mnmG_rsmG	ubiC//eptC//
mntR_ybiR	
moaABCDE	fkpA//gltD//
moaBCDE	gluQ//
mobAB	pdeL//
modABC	etp//
modEF	
moeAB	dmsA//hemN//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	idnO//
mqsRA	xdhB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	xdhC//wbbI//purC//folK//ynfE//mltC//hycE//lpxL//rbsD//purL//ubiD//
mreBCD	
mreCD	
msrPQ	
mtlADR	lpxL//pykA//bglB//
mtn_btuF_yadS	tesA//eptA//
murB_birA	rihC//ampC//
murQP	gloA//hycF//katG//
murQP_yfeW	pdeR//caiC//mnmE//frdB//
mutL_miaA_hfq_hflXKC	yeaG//mtn//mhpC//
mutY_yggX	cobS//
mutY_yggX_mltC	pphA//garR//
mutY_yggX_mltC_nupG	lpxD//murC//glcB//
nadA_pnuC	can//alkB//
nagBAC_umpH	ynfH//dacC//fumB//
nagK_cobB	nudC//polB//
nanATEK_yhcH	menI//dgoD//nanA//yigL//
nanCM	ascB//pspE//
nanCMS	napC//gpmA//
napFDAGHBC	ispD//
napFDAGHBC_ccmABCDEFGH	lldD//rihB//
narGHJI	dosP//
narWV	murI//
narXL	
narZYWV	sdaB//
nemRA	qor//
nemRA_gloA	leuA//aceB//
nfrBA	
nhaAR	anmK//
nikABCDER	rfbC//
nirBDC_cysG	ahr//ogt//plsB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	allC//
nrdAB_yfaE	dxs//
nrdDG	atoA//can//
nrdHIEF	kdsC//
nrdR_ribDE_nusB_thiL_pgpA	ascB//ubiH//paaB//nfsA//
nrfABCDEFG	recG//
nsrR_rnr_rlmB_yjfI	rlmD//hisS//
nudB_yebC_ruvC	ddlB//ubiD//
nudC_hemE_nfi	iaaA//coaE//
nudF_yqiB_cpdA_yqiA_parE	manA//mtlD//
nuoABCEFGHIJKLMN	thyA//
nuoMN	nudL//
ompR_envZ	
opgGH	
oppABCDF	nudI//fucI//
osmF_yehYXW	hisI//
otsBA	gatD//rutD//
paaABCDEFGHIJK	nudC//clsC//mrcB//fruK//fcl//purD//xdhC//
paaXY	yjeF//
pabB_nudL	thiG//gltA//
pabC_mltG_tmk_holB_ycfH	mmuM//menB//tdcG//
panBC	glxK//gloA//
panE_yajL	lacA//
paoABCD	proA//
pcnB_folK	dgkA//phnJ//
pdeI_dgcI	
pdhR_aceEF_lpd	purA//murG//nagZ//nhoA//paaC//rph//
pdxA_rsmA	purE//ybcF//
pdxA_rsmA_apaGH	gph//gatD//psuK//
pdxB_usg_truA_dedA	moeB//murI//
pdxH_tyrS_pdxY	yceF//atoD//gsk//
pdxJ_acpS	abgA//nfsB//
pepQ_yigZ_trkH_hemG	uxaB//poxB//citC//
pflDC	
pgaABCD	narZ//hemC//hyaC//
pgk_fbaA	mutS//eptA//
pgpC_tadA	pncB//uidA//
pheLA	ilvN//
pheMST_ihfA	murG//
phnCDE_1E_2FGHIJKLMNOP	ygiF//dgt//anmK//dadA//aldB//maa//rsmH//
phnLMNOP	ldtD//cysI//eptA//pncA//bioF//
phoA_psiF	entE//
phoBR	
phoPQ	
pldB_yigL	otsA//rsmB//
plsX_fabHDG	gltA//frlD//ygiF//
pntAB	
potABCD	pgsA//
potFGHI	ahr//
poxB_ltaE_ybjT	ispE//nadC//
ppdAB_ygdB_ppdC_recC	mnmG//
ppdD_hofBC	
ppiB_lpxH	nirD//lpxC//
ppk_ppx	gshB//fcl//
pqiAB	
preTA	relA//
prfB_lysS	rfaD//
priC_ybaM	
prlC_rsmJ	phr//upp//
prlF_yhaV	napG//
prmB_aroC_mepA_yfcA_epmC_yfcL	aceB//hchA//pepD//codA//
proBA	purB//fadM//
proQ_prc	ppiC//
proVWX	menE//
prpBCDE	rutC//thrA//recJ//rfbC//
psd_mscM	
pspABCDE	speF//
pspBCDE	xapA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	guaB//hycG//
pth_ychF	murC//
ptrA_recBD	clsB//acnB//
ptsA_fsaB_gldA	asd//allA//
ptsHI_crr	gnd//mhpC//fklB//
purEK	mngB//ruvC//
purHD	hchA//eptA//
purMN	ribF//phnJ//
puuAP	phnO//yeaG//
puuCBE	wecC//yeiG//napB//
puuDRCBE	treC//dapA//pgm//ilvN//
pyrF_yciH	rluD//
pyrG_eno	trpE//dapE//
pyrLBI	pflB//
qmcA_ybbJ	
qseBC	
radA_nadR	dadA//
rapA_rluA	paaE//
ratAB	
ravA_viaA	
rbsDACBKR	metG//mpl//pldB//
rclABC	
rclBC	
rcnAB	waaL//
rcsDB	
rcsF_trmO	hemH//
rdgB_yggW	yfiC//
rdoA_dsbA	mnmA//glmM//
recAX	
recET_ralR_ydaC_xisR_intR	gmhB//metC//
relA_mazEF	alkA//
relBE	speC//
relBE_hokD	lysU//
renD_emrE	ydjG//
rfaD_waaFCL	yjiA//uvrA//waaL//puuE//
rfbACX	gstA//rutE//glnA//citG//
rfbBDACX	dcd//serS//rluA//mhpA//yfbR//wzc//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	fucK//treF//yjhH//slyD//frlB//hisG//yohF//dfp//tag//
rhaBAD	epmB//wecB//argH//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ulaD//phnN//dgcT//
ribF_ileS_lspA_fkpB_ispH	tdcD//ftnA//narH//edd//malY//
rimK_ybjN	lysU//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	mtlD//fucA//thyA//rlmL//gcvH//sad//wzc//mpl//rdgB//rph//
rlmE_ftsH	uxuA//trpS//
rlmL_uup	pgm//
rluD_yfiH	yiaK//tehB//
rluE_nudJ	queC//hisH//
rnc_era	deoC//
rnc_era_recO_pdxJ_acpS	pyrB//gabT//glmS//tam//
rnlAB	pgaD//
rnt_lhr	hinT//
rpe_gph_trpS	dgkA//rffG//nagK//
rph_pyrE	argK//cysK//
rpiR_alsBACE	cysG//kduI//
rplJL_rpoBC	paaY//
rplKAJL_rpoBC	pgsA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	aroE//
rpmF_plsX_fabHDG	ilvM//pssA//cobB//
rpmH_rnpA	bglX//glgP//
rpmI_rplT	
rpoBC	tyrS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	torA//trmA//ulaE//
rppH_ptsP	cpsB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	bioC//
rpsO_pnp	pcm//alr//
rpsP_rimM_trmD_rplS	queD//
rpsU_dnaG_rpoD	lpxL//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	yfiH//gltA//
rsmA_apaGH	rsmH//thrB//
rsmD_yhhL	ogt//
rsmE_gshB	apaH//hemN//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	phnI//psuG//umuD//glpQ//nrfD//menE//xdhB//cysN//hemH//ldhA//accB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	alaC//
rtcBA	pheS//waaU//
rutABCDEFG	arsC//amiD//fbp//gloA//lpxH//kdsA//
ruvAB	cyaA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	kdsA//
scpA_argK_scpBC	fumC//yfeW//bacA//miaB//
sdaCB	nadA//argG//
sdhCDAB_sucABCD	yihV//kdsB//ubiI//lpxM//
sdhDAB	
sdhE_cptA	
secB_gpsA	uxaB//
secE_nusG	
secG_leuU	
secMA_mutT	iscS//
selAB	tsaB//narH//
selD_topB	pheT//paaE//
seqA_pgm	gpt//
serB_radA	psd//
serC_aroA	pnp//astA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	mngB//
sgrST_setA	dgkA//
skp_lpxD_fabZ_lpxA	iscS//mutY//entD//
slp_dctR	
solA_yceO	ndk//
speAB	aroH//ubiA//
speF_potE	mqo//puuA//
srlAEBD_gutM_srlR_gutQ	cpsG//pyrF//zwf//
sroG_ribB	gatZ//
sspAB	
ssrS_fau	tsaC//
ssuEADCB	hdhA//dcyD//paaC//
stfE_tfaE	
sucAB	rfaE//moeB//idi//
sucABCD	fucO//aceF//yiaK//ahpC//
sufABCDSE	panB//
surA_pdxA_rsmA_apaGH	glgX//dcd//yfbT//rph//
tag_yiaC	yeiR//
talA_tktB	frc//ttdA//
tamAB_ytfP	
tar_tap_cheRBYZ	metL//accD//
tatABC	dadA//
tatABCD	sdhC//purM//
tauABCD	yqjH//hycF//
tdcABCDEFG	dld//rlmD//glk//ribB//waaC//
tdcBCDEFG	xdhB//sthA//phnG//adhP//ydiF//
tehAB	rlmL//ycaO//
tesA_ybbO	truB//murF//
tff_rpsB_tsf	
tgt_yajC	rsmF//
thiCEFSGH	tag//cdh//serC//proA//yfcF//
thiMD	alkA//qor//
thrLABC	gcd//cdh//dusA//
thrS_infC	mak//
thrS_infC_rpmI_rplT_pheMST_ihfA	bioC//murF//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	spoT//mpl//
tolB_pal_cpoB	
tolC_ygiABC	sdhD//atoA//pdxK//hisI//menF//eptA//bglB//astC//tsaD//
tomB_hha	
topAI_yjhQ	
torCAD	dxr//
torYZ	amiD//
treBC	thiE//paaB//
trmI_yggL	narZ//
trpCBA	sdhC//ynfE//chbG//moeB//
trpLEDCBA	ycjG//rfbA//gpt//yihT//nirD//mraY//
tsaB_yeaY	rrrD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	nirB//gapA//waaB//ybjG//glpK//
ttdABT	qor//dapA//
tyrS_pdxY	pgk//dapA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	dxr//menF//
ubiEJB	allC//
udk_dcd	ilvG_2//ispB//
ugpBAECQ	tcdA//treC//
uhpABC	
uidABC	nth//rffT//
ulaABCDEF	mrcB//sucC//lplA//kefF//
umpG_pcm	purE//gcd//
umuDC	xdhC//
uof_fur	
upp_uraA	trmO//paaA//
usg_truA_dedA	caiA//
uvrYC	yeaG//
uxaCA	hyuA//hemC//
uxuAB	lpcA//acnB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	astD//tyrB//
waaQGPSBOJYZU	prpD//ampD//folE//paaF//yceF//agp//leuS//ribE//trmJ//thrA//
waaYZ	argD//dacA//
waaZU	hemG//nanK//
wbbIJK	ynfE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	mutT//mcrA//mltA//kduI//pgaB//fcl//
wcaKLM	
wrbA_yccJ	hycB//
wza_wzb_wzc	wzb//mutY//
wza_wzb_wzc_wcaAB	hyaB//bioB//
xanQ_guaD_ghxQ	citX//yhdH//mog//
xapAB	hmp//citC//
xdhABC	putA//
xerD_dsbC_recJ	coaA//uvrB//
xseB_ispA_dxs_yajO	glgB//fadJ//kefF//argB//
xylAB	ttdA//truA//
xylFGHR	ligA//
yabPQ	
yacC_speED	rluE//ada//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rnd//
yafDE	
yafNOP	rsgA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	queD//yohF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	eptA//
ybaB_recR	purF//
ybaST	mhpC//
ybbAP	
ybbY_glxK	napC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	phnG//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ybhA//
ybeZY	
ybeZYX_lnt	zwf//
ybfHG	
ybfOC	
ybgA_phr	recR//
ybgC_tolQRA	
ybgIJKL_nei	fklB//
ybgQPO	
ybhP_clsB_ybhN	nadE//
ybiYW	
ybjC_nfsA_rimK_ybjN	paaI//murE//
ybjJI	ribD//
ybjO_rlmC	rpiB//
ybjQ_amiD	yfiC//
ycaI_msbA_lpxK_ycaQ	fadD//nudI//
ycaR_kdsB	rnpB//
ycbK_gloC	yeiR//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	dcyD//
yciCB	
yciGFE	
yciK_btuR	ynfH//
yciVOQ	ttdA//
yciZT	
ycjMNOPQRSTUV_ymjB	avtA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	sdhB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	frlB//appA//
ydcSTUV_patD	allC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	trmD//
ydgK_rsxABCDGE_nth	thiM//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yggF//avtA//
ydiJ_menI_ydiH	nrdE//
ydiNB_aroD	ilvG_2//lpxT//
ydiQRST_fadK	aspS//
ydjA_selD_topB	entC//nadR//
ydjLKJIHG	arnA//
ydjXYZ_ynjABCD	
yeaGH	argK//
yeaR_yoaG	
yeaVW	
yebC_ruvC	hemC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	dmsB//nadD//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	phnJ//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	eptA//xapA//
yejABEF	apt//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rsmJ//
yfaX_rhmD	
yfaX_rhmD_yfaVU	gntK//
yfbUT	menH//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	mrdA//
yfdX_frc_oxc_yfdVE	ansB//entB//yfdR//
yfeCD	
