# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rbsD//
cysJIH	speG//mepS//kdgK//
cysPUWAM	gmm//ribF//gntK//
dadAX	malQ//aroE//
damX_dam_rpe_gph_trpS	cobU//rihA//rluC//nirB//
dam_rpe_gph_trpS	entD//rfe//tyrA//rutA//
dapA_bamC	queD//
dapE_ypfN	wzb//
dcm_vsr	hycE//
dcuB_fumB	bcsB//recF//
dcuSR	
dcyD_tcyLN	mutY//ulaG//
ddpXABCDF	pbpC//
def_fmt	cynT//cysJ//
degQS	xylB//queC//
deoABD	slyD//cof//miaB//
deoBD	efeB//opgE//
deoCABD	bioB//uvrB//bglA//yeiG//
dgoRKADT	yqhD//pabB//lysC//gudD//
dhaKLM	waaG//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	queG//ftsI//
dinJ_yafQ	betB//
dksA_gluQ	frmB//
dmsABC	insI-2//
dnaAN_recF	dinB//
dnaK_tpke11_dnaJ	ahpF//
dnaN_recF	amyA//
dnaTC	
dnaTC_yjjA	
dosCP	fadE//rbn//
dpiBA	
dppABCDF	ulaE//
dsbC_recJ_prfB	nudE//fadI//
dsbD_yjdC	
dsdXA	dacC//leuB//
dusB_fis	argD//
dut_slmA	slyD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	pagP//ghrA//
efeOB	queA//
efeU_1U_2	
elbB_mtgA	araA//
elfDCG_ycbUVF	
emrKY	yfbT//
entCEBAH	yciV//dfp//ubiC//panD//waaL//yqhD//
envY_ompT	truD//
epd_pgk	cmoB//ybjG//
epd_pgk_fbaA	gpsA//nanA//lpoB//
essD_rrrD_rzpD	ybaS//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	dapA//
eutHA	
eutNEJG	
eutSPQTDM	pyrD//
evgAS	
exbBD	
fabDG_acpP	pdeL//gshB//
fabG_acpP	mazG//
fabHDG	yjhG//opgE//pyrI//
fabR_yijD	
fadBA	metG//umpG//
fadD_sroD	purM//
fadIJ	rsmD//cysN//
fdnGHI	
fdoGHI_fdhE	metK//
fdrA_ylbEF_ybcF	prpB//
fecABCDE	bcsA//mhpC//
fecIR	
feoABC	folD//
fepA_entD	tag//alr//qor//
fepDGC	yciV//
fes_ybdZ_entF_fepE	metL//ybaS//gcl//
fetAB	
fhuACDB	accD//dhaK//
ficA_fic_pabA	panC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	cueO//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	ulaE//gmd//
folC_dedD	rutB//
folD_ybcJ	dgcT//
folE_yeiB	prpB//
folP_glmM	murG//yhdH//
folX_yfcH	dgoK//
frdABCD	ulaD//
frlABCDR	paaF//pdxA//rsmJ//ppc//
frmRAB	dxs//gloB//
fruBKA	ilvN//gsk//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	galK//paaZ//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	katG//astD//fadD//folC//ddlB//phnO//cpsB//amiD//yiaK//purB//
ftsQAZ	
ftsYEX	
fucAO	fucU//glcF//
fucPIKUR	alsE//dacA//hycC//dmlA//
fumAC	rffC//rlmE//
fusA_tufA	
gabDTP	pabB//serA//ogt//
gadAX	aroB//
gadBC	carB//hisA//
gadEF	
gadEF_mdtEF	suhB//
gadXW	
galET	kdsA//deoB//
galETK	rsmC//ygiF//argI//
galETKM	aroE//gss//cueO//fbaB//
gapA_yeaD	hyuA//
gapC_1C_2	
garPLRK_rnpB	lplA//gshB//ldtA//wzb//melA//ttdA//
gatYZABCD	deoC//trmI//glpB//
gatZABCD	entD//wzb//sgbH//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	aldA//folK//nagA//dcyD//fcl//
gcvTHP	dmsC//abgA//hypF//
gfcBCD	
gfcE_etp_etk	ppsA//serB//
ghoST	nrfA//
glcBA	paaC//mmuM//
glcDEFGBA	yihX//aroB//mazG//
glf_wbbH	gor//
glgAP	yfeX//sucB//
glgBXCAP	ravA//truC//nth//rffC//hyaC//
glgCAP	rluA//hisA//acnA//
glmUS	fabG//serA//
glnALG	mcrA//
glnHPQ	ruvB//
glnK_amtB	hemC//
glnLG	
glnW_metU_glnVX	
glpABC	aceE//
glpEGR	eutB//hycE//
glpFKX	mutS//lsrK//ampD//
glpGR	nadB//
glpTQ	moaA//frdA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	wzc//
glvCBG_ysdC	
glyQS	arnC//
glyVXY	
glyW_cysT_leuZ	
gntKU	puuD//malY//
gntRKU	ubiG//bfr//
gntX_nfuA	
gpmM_envC_yibQ	moaD//tmcA//
groSL	
gspAB	
gspCDEFGHIJKLMO	bioF//
guaBA	ilvH//hemN//
gudPXD	nadE//nfi//
hcaEFCBD	garK//adiA//
hcp_hcr	deoD//otsB//
hdeAB_yhiD	
hemA_prfA_prmC	deoA//gshB//
hemCDXY	mnmC//ushA//
hflD_purB	glgX//
hfq_hflXKC	pyrH//
hicAB	
higBA	frdC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	trpS//dhaM//metH//yciA//
hipBA	mnmA//
hisBHAFI	pdxA//menC//ubiH//thyA//
hisJQMP	pgi//xylA//
hisLGDCBHAFI	murA//allE//galT//xapA//lysC//yfdR//pdxY//
hofMNOP	
holC_valS	dld//
holD_rimI_yjjG	ldcA//trmH//
hscBA_fdx_iscX	lsrK//
hsdMS	rffH//
hsdRMS	aceA//
hslRO	
hslVU	yiaY//
hyaABCDEF	
hybOABCDEFG	yliI//
hycABCDEFGHI	gadB//ldcC//
hydN_hypF	pta//
hyfABCDEFGHIJR_focB	aceB//
hypABCDE	folD//
hypABCDE_fhlA	miaA//
hypBCDE	manA//
hypBCDE_fhlA	dfp//
iaaA_gsiABCD	murB//xdhA//
ibaG_murA	mdh//
ibpAB	
idnDOTR	recO//selA//allE//
ileS_lspA_fkpB_ispH	aceE//ulaG//tyrB//murQ//
ilvEDA	speA//caiA//thiC//gstB//
ilvIH	ghrB//
ilvLXG_1G_2MEDA	nrfA//thiI//fklB//ilvM//bioH//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fadM//
insN_1I_1O_1	alsE//
insO_2_yjhWV	
iscRSUA	menI//cobT//
ispDF	tyrB//sodA//
ispG_sroE	dhaK//
isrC_flu	
ivbL_ilvBN	hisI//
ivbL_ilvBN_uhpABC	ubiF//
kbaZ_agaVWA	tdcE//
kbl_tdh	btuR//hisC//
kdpDE	
kdpFABC	torC//
kdsC_lptCAB	bglX//lpoB//
kefFC	pagP//hemF//
kefGB_yheV	tadA//
kilR_ydaE	
lacYA	nrdE//ydjG//
lacZYA	insI-1//pta//ubiH//
lapAB	
lapAB_pyrF_yciH	sad//
lepAB	dadA//
leuLABCD	pyrH//rutE//pgpB//
leuQPV	
leuS_lptE_holA_nadD_cobC	tcdA//dhaL//yneH//
lexA_dinF	
lgt_thyA	tktA//prpE//
ligA_ypeB	yihS//
livKHMGF	uxaB//trmI//
lldPRD	ynfE//cdd//
lolA_rarA	
lolB_ispE_prs	murG//acs//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	bioC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	rluA//pheA//
lptFG	
lspA_fkpB_ispH	hcp//nudB//udp//
lsrACDBFG_tam	yicI//lldD//citE//truC//
lsrRK	ispF//
ltaE_ybjT	glgC//
lysT_valT_lysW	
macAB	ltaE//
malEFG	yagF//
malK_lamB_malM	prpB//nadB//
malPQ	phoA//ndh//
malXY	etp//proA//
manXYZ	pdeH//
map_glnD_dapD	pheA//yiaK//ada//
marRAB	
mazEFG	eptB//
mcrBC	hisA//
mdlAB	
mdtABCD_baeSR	proC//
mdtEF	ybaS//
mdtJI	mutH//
mdtM_yjiN	gudD//
mdtNOP	betA//
melAB	yihT//fabB//
menA_rraA	coaE//
menBCE	pinE//tauD//araB//
menDHBCE	ilvI//pssA//hycC//glcB//glpQ//
menFDHBCE	uidA//garD//dcd//yniC//ynjE//pldB//
metBL	phnP//accC//
metNIQ	slt//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	rsgA//galM//yidA//
metZWV	
mglAC	gmhB//
mglBAC	yjhG//
mgtLA	hisD//
mhpABCDFE	phnI//entD//hemC//folD//xapA//dxr//
mhpR_lacI	
miaA_hfq_hflXKC	eno//metH//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	nrdF//ldtE//
mnaT_ydcZ	pck//
mngAB	menF//dapB//
mnmG_rsmG	pgi//deoD//
mntR_ybiR	
moaABCDE	purA//glnA//
moaBCDE	chbF//
mobAB	torA//
modABC	menA//
modEF	
moeAB	aceF//rpe//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	bioC//
mqsRA	frdA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dgcZ//sucD//pabC//tdk//kdsA//yeaG//ybiV//purE//lsrK//argA//scpB//
mreBCD	
mreCD	
msrPQ	
mtlADR	cysK//fabB//bfr//
mtn_btuF_yadS	idnO//lpxB//
murB_birA	hmp//phnJ//
murQP	fabI//paaJ//fsaA//
murQP_yfeW	murB//glgB//pheS//allC//
mutL_miaA_hfq_hflXKC	dacC//tag//rhaA//
mutY_yggX	puuA//
mutY_yggX_mltC	frlB//ybjI//
mutY_yggX_mltC_nupG	glyS//guaD//tilS//
nadA_pnuC	ung//cyoE//
nagBAC_umpH	rluD//astC//narI//
nagK_cobB	xylB//rsmA//
nanATEK_yhcH	ndh//ydiO//coaE//ygeX//
nanCM	orn//metK//
nanCMS	ygjK//murI//
napFDAGHBC	gpmM//
napFDAGHBC_ccmABCDEFGH	speG//sdhD//
narGHJI	recG//
narWV	purM//
narXL	
narZYWV	glpE//
nemRA	speA//
nemRA_gloA	rutC//nudI//
nfrBA	
nhaAR	rlmG//
nikABCDER	putA//
nirBDC_cysG	hemG//ampC//eutC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	yqaB//
nrdAB_yfaE	waaF//
nrdDG	fkpB//frmA//
nrdHIEF	ldcC//
nrdR_ribDE_nusB_thiL_pgpA	hisB//pdxJ//fkpB//mhpC//
nrfABCDEFG	yieH//
nsrR_rnr_rlmB_yjfI	yjjX//paoB//
nudB_yebC_ruvC	rfe//sodA//
nudC_hemE_nfi	gapA//betB//
nudF_yqiB_cpdA_yqiA_parE	hyaB//ssuE//
nuoABCEFGHIJKLMN	ilvD//
nuoMN	mtn//
ompR_envZ	
opgGH	
oppABCDF	caiB//ruvC//
osmF_yehYXW	glgA//
otsBA	rfaD//bioC//
paaABCDEFGHIJK	phnG//mltF//roxA//iaaA//glgA//yiaK//ydjG//
paaXY	hemL//
pabB_nudL	ugd//purF//
pabC_mltG_tmk_holB_ycfH	metF//rpe//argA//
panBC	der//ldtE//
panE_yajL	mnmG//
paoABCD	orn//
pcnB_folK	thiM//atoB//
pdeI_dgcI	
pdhR_aceEF_lpd	murI//serB//mobA//dmsC//prpE//purU//
pdxA_rsmA	mutM//recJ//
pdxA_rsmA_apaGH	slyD//gcvT//efeB//
pdxB_usg_truA_dedA	paaH//fucI//
pdxH_tyrS_pdxY	nanA//gloB//rffT//
pdxJ_acpS	menE//yohF//
pepQ_yigZ_trkH_hemG	panB//rbn//ribA//
pflDC	
pgaABCD	trpC//rnpB//relA//
pgk_fbaA	waaG//pdxK//
pgpC_tadA	gpsA//pflB//
pheLA	ubiD//
pheMST_ihfA	trpD//
phnCDE_1E_2FGHIJKLMNOP	ruvA//rfbC//aroC//miaB//purM//trmH//gmm//
phnLMNOP	lpxH//tdcD//thiF//glcB//otsB//
phoA_psiF	nanA//
phoBR	
phoPQ	
pldB_yigL	ulaD//xdhA//
plsX_fabHDG	prs//dhaM//glmM//
pntAB	
potABCD	rutA//
potFGHI	nanM//
poxB_ltaE_ybjT	xthA//mltD//
ppdAB_ygdB_ppdC_recC	mltD//
ppdD_hofBC	
ppiB_lpxH	deoA//tyrB//
ppk_ppx	queC//citD//
pqiAB	
preTA	nadR//
prfB_lysS	rlmI//
priC_ybaM	
prlC_rsmJ	asd//scpC//
prlF_yhaV	ampH//
prmB_aroC_mepA_yfcA_epmC_yfcL	pyrC//mnmE//glmM//phnO//
proBA	tag//pfkA//
proQ_prc	dmsC//
proVWX	pdxJ//
prpBCDE	torC//gpt//ravA//nrfC//
psd_mscM	
pspABCDE	proC//
pspBCDE	paaJ//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ispH//rutA//
pth_ychF	lldD//
ptrA_recBD	ghrA//phnN//
ptsA_fsaB_gldA	rnb//yfaU//
ptsHI_crr	nemA//dusA//dhaM//
purEK	bioD//fkpA//
purHD	ppx//kefF//
purMN	lacZ//umpG//
puuAP	leuB//hisF//
puuCBE	gluQ//purD//dacA//
puuDRCBE	arnT//folA//tgt//phnL//
pyrF_yciH	cysI//
pyrG_eno	purT//nudC//
pyrLBI	kdsB//
qmcA_ybbJ	
qseBC	
radA_nadR	entD//
rapA_rluA	pgm//
ratAB	
ravA_viaA	
rbsDACBKR	sodB//nagK//patD//
rclABC	
rclBC	
rcnAB	lpxB//
rcsDB	
rcsF_trmO	lsrK//
rdgB_yggW	yeiR//
rdoA_dsbA	metF//citC//
recAX	
recET_ralR_ydaC_xisR_intR	fumA//astE//
relA_mazEF	galU//
relBE	lpoA//
relBE_hokD	ybbO//
renD_emrE	polA//
rfaD_waaFCL	coaE//amiD//sodA//gstB//
rfbACX	leuS//kbaZ//yfdR//pdxH//
rfbBDACX	hyuA//glgC//pyrB//rpiA//gatD//waaL//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ndh//hycE//waaA//dacD//pheT//rdgB//pabC//purL//torZ//
rhaBAD	ygjK//tadA//cheB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	aspS//kdsA//purC//
ribF_ileS_lspA_fkpB_ispH	dgt//lsrG//thiK//udk//wbbI//
rimK_ybjN	rlmC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rsmG//yiaK//lysC//paaG//hemL//wzc//mrcA//hemC//yihS//glcB//
rlmE_ftsH	cynT//tig//
rlmL_uup	ybhA//
rluD_yfiH	entE//speB//
rluE_nudJ	dusB//yfbT//
rnc_era	cof//
rnc_era_recO_pdxJ_acpS	ilvM//yneH//mraY//yihT//
rnlAB	fabF//
rnt_lhr	maeA//
rpe_gph_trpS	garR//lhgO//gutQ//
rph_pyrE	cysD//rfaD//
rpiR_alsBACE	mtgA//phnH//
rplJL_rpoBC	cof//
rplKAJL_rpoBC	dld//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	waaS//
rpmF_plsX_fabHDG	gph//fadE//sbcB//
rpmH_rnpA	eutB//moeB//
rpmI_rplT	
rpoBC	dam//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	coaA//speD//ldtD//
rppH_ptsP	paaE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	luxS//
rpsO_pnp	ilvG_1//hisG//
rpsP_rimM_trmD_rplS	murF//
rpsU_dnaG_rpoD	ampD//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	argF//xapA//
rsmA_apaGH	fadJ//murF//
rsmD_yhhL	gpt//
rsmE_gshB	nhoA//pdxK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lplA//sgbH//glyQ//carA//cysJ//citG//yigL//dmsB//nagZ//yibQ//rlmM//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	mutS//
rtcBA	pgpB//epmB//
rutABCDEFG	xylB//cadA//nrdD//pdxJ//purM//dgcC//
ruvAB	lysC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ltaE//
scpA_argK_scpBC	pabB//fsaB//anmK//dcd//
sdaCB	argK//nanK//
sdhCDAB_sucABCD	bioD//chbG//ldtC//rlmL//
sdhDAB	
sdhE_cptA	
secB_gpsA	bacA//
secE_nusG	
secG_leuU	
secMA_mutT	dam//
selAB	pck//ubiG//
selD_topB	dacA//hisF//
seqA_pgm	aes//
serB_radA	rimK//
serC_aroA	mutS//tynA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	fabB//
sgrST_setA	mutS//
skp_lpxD_fabZ_lpxA	yeiG//rnpA//hycC//
slp_dctR	
solA_yceO	yceF//
speAB	rihC//yohF//
speF_potE	rhaD//nirD//
srlAEBD_gutM_srlR_gutQ	hisD//rfaE//tyrA//
sroG_ribB	rfbD//
sspAB	
ssrS_fau	paaF//
ssuEADCB	eptA//ghrA//cysQ//
stfE_tfaE	
sucAB	gadA//ruvA//tktB//
sucABCD	alsE//ribB//xthA//dxr//
sufABCDSE	cyoE//
surA_pdxA_rsmA_apaGH	fes//thiH//thiK//aceE//
tag_yiaC	rlmB//
talA_tktB	moaA//bioA//
tamAB_ytfP	
tar_tap_cheRBYZ	alaS//rffM//
tatABC	dkgA//
tatABCD	murA//tdh//
tauABCD	apaH//frc//
tdcABCDEFG	cdsA//acpH//ydbC//lsrF//proB//
tdcBCDEFG	cobC//dgcZ//sucB//ppiC//torA//
tehAB	hchA//sthA//
tesA_ybbO	waaY//clsC//
tff_rpsB_tsf	
tgt_yajC	rsmG//
thiCEFSGH	fumB//torA//gshB//polA//gadB//
thiMD	ppiA//entH//
thrLABC	ilvE//purN//hycC//
thrS_infC	wecC//
thrS_infC_rpmI_rplT_pheMST_ihfA	glpX//gadA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	frlD//amn//
tolB_pal_cpoB	
tolC_ygiABC	dusB//metL//nirB//glgC//purD//yibQ//curA//rsmE//prpE//
tomB_hha	
topAI_yjhQ	
torCAD	rutB//
torYZ	galE//
treBC	lpoB//lhgO//
trmI_yggL	suhB//
trpCBA	menI//aroG//folK//hycC//
trpLEDCBA	pdxH//ribA//ppk//tktA//fumC//galT//
tsaB_yeaY	hemL//
tsaE_amiB_mutL_miaA_hfq_hflXKC	galM//ruvB//lpxK//add//paaE//
ttdABT	fbaA//ilvE//
tyrS_pdxY	ubiE//fadE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	treA//sdhB//
ubiEJB	rluB//
udk_dcd	galU//hypB//
ugpBAECQ	insI-3//metH//
uhpABC	
uidABC	pdxA//thiL//
ulaABCDEF	entC//relA//yhdJ//gmd//
umpG_pcm	cdd//gabD//
umuDC	fre//
uof_fur	
upp_uraA	pheS//nadE//
usg_truA_dedA	ushA//
uvrYC	argE//
uxaCA	tdcG//sucD//
uxuAB	nadC//garK//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	insI-2//waaP//
waaQGPSBOJYZU	rihC//acs//ppiC//metC//ansA//yihU//fadH//lplA//dgcZ//ada//
waaYZ	ansB//ppiC//
waaZU	poxB//miaB//
wbbIJK	cof//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	wzc//amiD//maa//bglB//rbsD//betB//
wcaKLM	
wrbA_yccJ	sdhB//
wza_wzb_wzc	dxr//pabC//
wza_wzb_wzc_wcaAB	mltD//glpD//
xanQ_guaD_ghxQ	glk//murF//ppx//
xapAB	aroL//dsdA//
xdhABC	pyrI//
xerD_dsbC_recJ	sbcB//rsmD//
xseB_ispA_dxs_yajO	amiD//rnb//rffM//psuG//
xylAB	napA//fadA//
xylFGHR	cynT//
yabPQ	
yacC_speED	cobS//waaO//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	yfdR//
yafDE	
yafNOP	rutE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	argH//mtgA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ppsA//
ybaB_recR	ilvD//
ybaST	rbn//
ybbAP	
ybbY_glxK	polB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	galE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	yihX//
ybeZY	
ybeZYX_lnt	lpcA//
ybfHG	
ybfOC	
ybgA_phr	thyA//
ybgC_tolQRA	
ybgIJKL_nei	ilvH//
ybgQPO	
ybhP_clsB_ybhN	astA//
ybiYW	
ybjC_nfsA_rimK_ybjN	ybhA//lysA//
ybjJI	torZ//
ybjO_rlmC	yicI//
ybjQ_amiD	mltD//
ycaI_msbA_lpxK_ycaQ	emtA//selA//
ycaR_kdsB	alkA//
ycbK_gloC	ppx//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	speC//
yciCB	
yciGFE	
yciK_btuR	uxuB//
yciVOQ	ubiE//
yciZT	
ycjMNOPQRSTUV_ymjB	trmJ//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	gloB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	bglA//acnB//
ydcSTUV_patD	prmC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	yeaG//
ydgK_rsxABCDGE_nth	oxc//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	napA//ahpF//
ydiJ_menI_ydiH	tyrB//
ydiNB_aroD	bcsZ//lacZ//
ydiQRST_fadK	coaE//
ydjA_selD_topB	udp//pgl//
ydjLKJIHG	glyA//
ydjXYZ_ynjABCD	
yeaGH	nadB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	moaD//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	narG//ilvB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	acpS//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	tag//acs//
yejABEF	rdoA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	galU//
yfaX_rhmD	
yfaX_rhmD_yfaVU	bcsB//
yfbUT	fabB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	hycC//
