# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsG//
envY_ompT	rluB//
epd_pgk	serC//ulaD//
epd_pgk_fbaA	yeaG//insI-2//aphA//
essD_rrrD_rzpD	gpmA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	citG//
eutHA	
eutNEJG	
eutSPQTDM	uvrA//
evgAS	
exbBD	
fabDG_acpP	umuC//hycG//
fabG_acpP	bioA//
fabHDG	tag//dapF//cyaA//
fabR_yijD	
fadBA	cadA//yceF//
fadD_sroD	hcp//
fadIJ	yihV//ansB//
fdnGHI	
fdoGHI_fdhE	kefF//
fdrA_ylbEF_ybcF	kduI//
fecABCDE	sdaB//alaS//
fecIR	
feoABC	bfr//
fepA_entD	tdcG//frc//tam//
fepDGC	gltA//
fes_ybdZ_entF_fepE	mhpB//paaK//zwf//
fetAB	
fhuACDB	tgt//ispF//
ficA_fic_pabA	allA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	yfiC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	zwf//gph//
folC_dedD	glcE//
folD_ybcJ	gltA//
folE_yeiB	ydjG//
folP_glmM	ubiC//dhaM//
folX_yfcH	tktA//
frdABCD	purM//
frlABCDR	fabZ//ftnA//ansB//moaD//
frmRAB	speA//btuE//
fruBKA	astE//curA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	nhoA//mog//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dcyD//glyA//codA//rihC//alaA//napA//garK//dsdA//lyxK//purT//
ftsQAZ	
ftsYEX	
fucAO	eptB//yagE//
fucPIKUR	waaL//metE//dgcT//leuB//
fumAC	mngB//wzc//
fusA_tufA	
gabDTP	hycC//nfsB//ydbC//
gadAX	ndk//
gadBC	coaA//sgbE//
gadEF	
gadEF_mdtEF	fbaB//
gadXW	
galET	mngB//hycB//
galETK	bioC//alkB//gpsA//
galETKM	purD//tsaE//gcl//patA//
gapA_yeaD	nagK//
gapC_1C_2	
garPLRK_rnpB	menC//sucC//menD//yqhD//yeaG//orn//
gatYZABCD	fsaA//tsaB//gstA//
gatZABCD	sseA//tehB//ung//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	dgt//lpxB//asnB//gmhB//aroF//
gcvTHP	ispE//hcaB//fbaB//
gfcBCD	
gfcE_etp_etk	speC//ubiF//
ghoST	speC//
glcBA	pcm//pgaD//
glcDEFGBA	thiC//lpxM//lsrF//
glf_wbbH	paaF//
glgAP	mog//rrrD//
glgBXCAP	asd//gcl//yhdJ//cobB//pdxJ//
glgCAP	epmC//fucA//ulaE//
glmUS	pgpC//lsrF//
glnALG	patA//
glnHPQ	ubiE//
glnK_amtB	acnB//
glnLG	
glnW_metU_glnVX	
glpABC	folE//
glpEGR	pgaB//yhdH//
glpFKX	galM//aspC//tam//
glpGR	dgcC//
glpTQ	yqjH//ftnA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	mobA//
glvCBG_ysdC	
glyQS	ribE//
glyVXY	
glyW_cysT_leuZ	
gntKU	argD//frmA//
gntRKU	yjcS//sad//
gntX_nfuA	
gpmM_envC_yibQ	astE//wrbA//
groSL	
gspAB	
gspCDEFGHIJKLMO	rsmH//
guaBA	bioD//yicI//
gudPXD	queA//ilvB//
hcaEFCBD	argB//citX//
hcp_hcr	xdhC//udp//
hdeAB_yhiD	
hemA_prfA_prmC	pspE//queC//
hemCDXY	leuC//folM//
hflD_purB	nudE//
hfq_hflXKC	hemH//
hicAB	
higBA	dgcC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	fumB//entD//metG//citX//
hipBA	rlmA//
hisBHAFI	cynT//rnpA//def//phnJ//
hisJQMP	ydbC//entC//
hisLGDCBHAFI	rlmB//azoR//pheS//hemA//gcvT//purK//fucI//
hofMNOP	
holC_valS	cysQ//
holD_rimI_yjjG	narI//aceE//
hscBA_fdx_iscX	araD//
hsdMS	glyA//
hsdRMS	nudB//
hslRO	
hslVU	tdcB//
hyaABCDEF	
hybOABCDEFG	gldA//
hycABCDEFGHI	aceA//nadB//
hydN_hypF	idnO//
hyfABCDEFGHIJR_focB	yqaB//
hypABCDE	pldB//
hypABCDE_fhlA	rsmJ//
hypBCDE	caiA//
hypBCDE_fhlA	acpS//
iaaA_gsiABCD	pflB//selD//
ibaG_murA	cobT//
ibpAB	
idnDOTR	speG//pdeF//rutB//
ileS_lspA_fkpB_ispH	rsmF//deoB//yihS//rph//
ilvEDA	cpdB//accA//truD//selB//
ilvIH	paaF//
ilvLXG_1G_2MEDA	aceA//fadK//eptA//hemC//rlmA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	cobC//
insN_1I_1O_1	yhhW//
insO_2_yjhWV	
iscRSUA	dgoK//arsC//
ispDF	rlmA//pgaD//
ispG_sroE	psuG//
isrC_flu	
ivbL_ilvBN	pdxK//
ivbL_ilvBN_uhpABC	dusB//
kbaZ_agaVWA	rpiA//
kbl_tdh	tsaE//rpiB//
kdpDE	
kdpFABC	mraY//
kdsC_lptCAB	nrfA//thyA//
kefFC	fabA//polA//
kefGB_yheV	speC//
kilR_ydaE	
lacYA	polA//aroL//
lacZYA	efeB//yqaB//pgi//
lapAB	
lapAB_pyrF_yciH	miaA//
lepAB	thyA//
leuLABCD	rluA//torA//fumB//
leuQPV	
leuS_lptE_holA_nadD_cobC	gdhA//speB//rsgA//
lexA_dinF	
lgt_thyA	coaE//pdeR//
ligA_ypeB	murE//
livKHMGF	nudB//acpS//
lldPRD	hypB//phnJ//
lolA_rarA	
lolB_ispE_prs	galT//rpiA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	cyaA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	truA//rbn//
lptFG	
lspA_fkpB_ispH	speA//aes//gcvH//
lsrACDBFG_tam	clsB//moaE//pdxB//mazG//
lsrRK	ruvC//
ltaE_ybjT	yrfG//
lysT_valT_lysW	
macAB	acpS//
malEFG	cobU//
malK_lamB_malM	mocA//menE//
malPQ	rfaE//napG//
malXY	aceA//dnaQ//
manXYZ	lpd//
map_glnD_dapD	glk//gltD//entC//
marRAB	
mazEFG	fabB//
mcrBC	dut//
mdlAB	
mdtABCD_baeSR	fkpA//
mdtEF	dcd//
mdtJI	mtn//
mdtM_yjiN	cysI//
mdtNOP	queA//
melAB	nirB//lldD//
menA_rraA	leuD//
menBCE	aroD//ilvA//nagZ//
menDHBCE	deoC//dgcP//yagE//yfbT//ogt//
menFDHBCE	sucA//hcaB//ribE//folE//eutD//ppa//
metBL	nudB//kduD//
metNIQ	yniC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dgkA//leuB//avtA//
metZWV	
mglAC	dusC//
mglBAC	metC//
mgtLA	ligA//
mhpABCDFE	xylB//sgbH//lldD//ydjG//insI-3//ubiG//
mhpR_lacI	
miaA_hfq_hflXKC	glcE//paaY//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ahr//eptC//
mnaT_ydcZ	asnS//
mngAB	frdA//lpxB//
mnmG_rsmG	argB//ycjG//
mntR_ybiR	
moaABCDE	glyQ//fsaB//
moaBCDE	rsmD//
mobAB	ruvA//
modABC	tsaB//
modEF	
moeAB	waaU//nadB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	coaE//
mqsRA	ftsI//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	recF//folE//tmk//nagB//acpT//ispU//glgP//xdhB//epmB//rdoA//deoD//
mreBCD	
mreCD	
msrPQ	
mtlADR	caiC//gpt//allD//
mtn_btuF_yadS	fsaB//ilvN//
murB_birA	thiI//pgaC//
murQP	thyA//aroE//psd//
murQP_yfeW	xylB//dmlA//queG//rutB//
mutL_miaA_hfq_hflXKC	mltF//kbaZ//emtA//
mutY_yggX	entF//
mutY_yggX_mltC	cysM//nudK//
mutY_yggX_mltC_nupG	queG//fucU//accD//
nadA_pnuC	yibQ//adk//
nagBAC_umpH	oxc//pheT//caiB//
nagK_cobB	aes//mobA//
nanATEK_yhcH	aroD//ilvB//rnpA//nudE//
nanCM	pyrD//uvrB//
nanCMS	nudI//katG//
napFDAGHBC	astA//
napFDAGHBC_ccmABCDEFGH	narI//surA//
narGHJI	rlmI//
narWV	mgsA//
narXL	
narZYWV	metC//
nemRA	gloC//
nemRA_gloA	yiaK//nrdA//
nfrBA	
nhaAR	napH//
nikABCDER	idi//
nirBDC_cysG	yohF//cpdB//clsB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	mhpD//
nrdAB_yfaE	rlmC//
nrdDG	mmuM//ygjK//
nrdHIEF	fumA//
nrdR_ribDE_nusB_thiL_pgpA	mocA//insI-1//pfkB//nadD//
nrfABCDEFG	dkgA//
nsrR_rnr_rlmB_yjfI	waaU//hisH//
nudB_yebC_ruvC	iaaA//bcsB//
nudC_hemE_nfi	entD//tyrS//
nudF_yqiB_cpdA_yqiA_parE	uvrB//mdh//
nuoABCEFGHIJKLMN	puuA//
nuoMN	frdB//
ompR_envZ	
opgGH	
oppABCDF	cpdB//pck//
osmF_yehYXW	entH//
otsBA	trpE//lhgO//
paaABCDEFGHIJK	pgpC//rsmF//bacA//eno//yfcG//thrB//paaZ//
paaXY	poxB//
pabB_nudL	purF//dacA//
pabC_mltG_tmk_holB_ycfH	guaC//cyaA//mpaA//
panBC	hycE//rsmJ//
panE_yajL	ansA//
paoABCD	insI-3//
pcnB_folK	cdd//insI-2//
pdeI_dgcI	
pdhR_aceEF_lpd	truC//ulaE//add//cysK//garL//phoA//
pdxA_rsmA	ahr//hisI//
pdxA_rsmA_apaGH	murQ//aspS//cmk//
pdxB_usg_truA_dedA	truA//pdxK//
pdxH_tyrS_pdxY	frlD//lhgO//cadA//
pdxJ_acpS	guaC//lipA//
pepQ_yigZ_trkH_hemG	panB//mutH//hycE//
pflDC	
pgaABCD	mltB//mnmG//treF//
pgk_fbaA	icd//ribA//
pgpC_tadA	ilvH//gloC//
pheLA	wcaJ//
pheMST_ihfA	nth//
phnCDE_1E_2FGHIJKLMNOP	leuB//paaJ//frmB//murE//purE//paaF//ulaE//
phnLMNOP	araB//yihX//panB//gpmM//dadX//
phoA_psiF	nudG//
phoBR	
phoPQ	
pldB_yigL	argF//purD//
plsX_fabHDG	cfa//dgcC//cyaA//
pntAB	
potABCD	iscS//
potFGHI	thiK//
poxB_ltaE_ybjT	agp//mcrB//
ppdAB_ygdB_ppdC_recC	nudI//
ppdD_hofBC	
ppiB_lpxH	rfbD//nudJ//
ppk_ppx	dapE//mltF//
pqiAB	
preTA	alkB//
prfB_lysS	tsaD//
priC_ybaM	
prlC_rsmJ	ribC//ybaS//
prlF_yhaV	gatZ//
prmB_aroC_mepA_yfcA_epmC_yfcL	fabA//lipB//citX//etk//
proBA	tcdA//xylB//
proQ_prc	fabZ//
proVWX	dapB//
prpBCDE	ampC//gadA//trpC//pyrI//
psd_mscM	
pspABCDE	thiF//
pspBCDE	cheR//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mnmA//bglA//
pth_ychF	hisF//
ptrA_recBD	spoT//mutT//
ptsA_fsaB_gldA	cobC//ycjU//
ptsHI_crr	napB//pdeH//dxs//
purEK	cynT//ygeX//
purHD	argF//caiD//
purMN	tdh//kduI//
puuAP	thiK//rlmM//
puuCBE	yqaB//oxc//miaA//
puuDRCBE	carB//alr//chbF//pinE//
pyrF_yciH	hemF//
pyrG_eno	ubiG//kdsD//
pyrLBI	solA//
qmcA_ybbJ	
qseBC	
radA_nadR	xdhB//
rapA_rluA	ada//
ratAB	
ravA_viaA	
rbsDACBKR	cobU//fadM//nagB//
rclABC	
rclBC	
rcnAB	mhpD//
rcsDB	
rcsF_trmO	hycE//
rdgB_yggW	yrfG//
rdoA_dsbA	metE//ltaE//
recAX	
recET_ralR_ydaC_xisR_intR	nadD//nudL//
relA_mazEF	ydfG//
relBE	hisB//
relBE_hokD	puuD//
renD_emrE	prs//
rfaD_waaFCL	upp//mltF//mtn//tdcD//
rfbACX	ugpQ//dosP//epd//rluA//
rfbBDACX	metB//ttdB//cdsA//ybcF//uvrA//moaE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ispE//mutY//pdxY//accC//pphA//thiG//yieF//paaY//pdxB//
rhaBAD	citD//sodA//yjiA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	def//glnS//proC//
ribF_ileS_lspA_fkpB_ispH	nfi//rluA//lipB//folA//frdC//
rimK_ybjN	orn//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	trmL//rsmJ//mmuM//tmcA//ubiI//fau//mcrC//ddlB//fucO//dcd//
rlmE_ftsH	ychF//yihU//
rlmL_uup	allC//
rluD_yfiH	glnE//rlmC//
rluE_nudJ	betA//ilvM//
rnc_era	nirD//
rnc_era_recO_pdxJ_acpS	ychF//ampH//acpS//ldtC//
rnlAB	mltA//
rnt_lhr	paaH//
rpe_gph_trpS	ispU//sufS//caiD//
rph_pyrE	narI//mqo//
rpiR_alsBACE	maeA//paoB//
rplJL_rpoBC	yfbT//
rplKAJL_rpoBC	nudK//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	dfp//
rpmF_plsX_fabHDG	yfeW//folP//bioH//
rpmH_rnpA	kdgK//yneH//
rpmI_rplT	
rpoBC	paoC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pldA//aes//phnL//
rppH_ptsP	argI//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	def//
rpsO_pnp	bcsB//ynfG//
rpsP_rimM_trmD_rplS	hisI//
rpsU_dnaG_rpoD	entC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	guaC//dcm//
rsmA_apaGH	dmsB//pnp//
rsmD_yhhL	pnp//
rsmE_gshB	fbp//dcyD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	waaS//purL//glpK//pheT//hemL//dapD//ydfG//ispH//allD//folX//dld//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hycB//
rtcBA	yfdR//paaZ//
rutABCDEFG	ascB//pgaD//hemL//pyrH//asnA//cof//
ruvAB	astE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	proC//
scpA_argK_scpBC	panD//gabD//rlmL//pck//
sdaCB	gph//polA//
sdhCDAB_sucABCD	cyoE//napA//lpxL//ilvH//
sdhDAB	
sdhE_cptA	
secB_gpsA	rlmH//
secE_nusG	
secG_leuU	
secMA_mutT	ahpF//
selAB	waaU//rdgB//
selD_topB	tyrB//kdgK//
seqA_pgm	thrC//
serB_radA	cysD//
serC_aroA	tktB//ilvI//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	yggF//
sgrST_setA	pyrH//
skp_lpxD_fabZ_lpxA	rfaE//recJ//uvrB//
slp_dctR	
solA_yceO	ybjI//
speAB	valS//bglA//
speF_potE	pdxK//gloA//
srlAEBD_gutM_srlR_gutQ	ilvC//aphA//apaH//
sroG_ribB	argH//
sspAB	
ssrS_fau	glpD//
ssuEADCB	ilvI//malQ//paaI//
stfE_tfaE	
sucAB	gcvH//guaA//cueO//
sucABCD	rpiB//thrB//lacA//dapD//
sufABCDSE	ppsA//
surA_pdxA_rsmA_apaGH	rfbA//mcrB//ubiX//gloA//
tag_yiaC	frmB//
talA_tktB	tdk//galM//
tamAB_ytfP	
tar_tap_cheRBYZ	qor//metF//
tatABC	ubiX//
tatABCD	ispA//purB//
tauABCD	iscS//leuS//
tdcABCDEFG	paaY//rnd//tadA//ynfG//sdhD//
tdcBCDEFG	argG//sdhA//pncA//metK//fabF//
tehAB	rbsD//allE//
tesA_ybbO	glpB//sgbE//
tff_rpsB_tsf	
tgt_yajC	yicI//
thiCEFSGH	aroD//mpaA//sdaB//rffT//tcdA//
thiMD	mug//trmH//
thrLABC	rutD//recJ//cysS//
thrS_infC	moaA//
thrS_infC_rpmI_rplT_pheMST_ihfA	malS//purB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ampH//glmU//
tolB_pal_cpoB	
tolC_ygiABC	prs//rluF//dfp//pinE//sgbU//ycjG//hisS//yihU//torC//
tomB_hha	
topAI_yjhQ	
torCAD	cadA//
torYZ	nanA//
treBC	lpd//purM//
trmI_yggL	xthA//
trpCBA	hisI//ubiF//yigB//ppiB//
trpLEDCBA	codA//panD//otsA//lpxM//nrfA//pgl//
tsaB_yeaY	dgoK//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ycaO//rfbC//napA//insI-3//paoC//
ttdABT	gshB//dgcM//
tyrS_pdxY	fsaB//nanE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	aldB//pphA//
ubiEJB	mmuM//
udk_dcd	metF//dgoA//
ugpBAECQ	cmoB//hdhA//
uhpABC	
uidABC	valS//citX//
ulaABCDEF	lpxL//roxA//argC//speE//
umpG_pcm	manA//tdk//
umuDC	gapA//
uof_fur	
upp_uraA	frc//yciV//
usg_truA_dedA	ybjI//
uvrYC	dgoD//
uxaCA	nadA//pgk//
uxuAB	mnmE//paoB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	fucU//araD//
waaQGPSBOJYZU	ilvI//dgoA//metL//hemA//paaE//alaC//atoB//yggF//mltC//gltX//
waaYZ	aroB//dfp//
waaZU	rrrD//abgA//
wbbIJK	gadB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	citG//atoB//luxS//yiaY//rsmB//roxA//
wcaKLM	
wrbA_yccJ	bcsZ//
wza_wzb_wzc	dmlA//arnC//
wza_wzb_wzc_wcaAB	ispH//mqo//
xanQ_guaD_ghxQ	ldcA//spoT//acpT//
xapAB	lpxD//eptB//
xdhABC	murE//
xerD_dsbC_recJ	phr//fucA//
xseB_ispA_dxs_yajO	gor//glgP//gloB//rdoA//
xylAB	fadB//lysU//
xylFGHR	dmsA//
yabPQ	
yacC_speED	btuR//bcsA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	asnS//
yafDE	
yafNOP	malS//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ftnA//alaA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	pyrI//
ybaB_recR	gpsA//
ybaST	betB//
ybbAP	
ybbY_glxK	malZ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	alaS//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ribE//
ybeZY	
ybeZYX_lnt	queD//
ybfHG	
ybfOC	
ybgA_phr	gmd//
ybgC_tolQRA	
ybgIJKL_nei	pyrB//
ybgQPO	
ybhP_clsB_ybhN	lacZ//
ybiYW	
ybjC_nfsA_rimK_ybjN	pta//folP//
ybjJI	ansA//
ybjO_rlmC	prpD//
ybjQ_amiD	glcE//
ycaI_msbA_lpxK_ycaQ	phnI//glpK//
ycaR_kdsB	moaE//
ycbK_gloC	prmC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	gnd//
yciCB	
yciGFE	
yciK_btuR	rnd//
yciVOQ	ispB//
yciZT	
ycjMNOPQRSTUV_ymjB	lpoB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	dgoD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	bioC//coaD//
ydcSTUV_patD	birA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	dsdA//
ydgK_rsxABCDGE_nth	malQ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	nagA//folP//
ydiJ_menI_ydiH	waaP//
ydiNB_aroD	birA//lplA//
ydiQRST_fadK	yqjG//
ydjA_selD_topB	menE//kdsC//
ydjLKJIHG	pncA//
ydjXYZ_ynjABCD	
yeaGH	ulaG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	tehB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hyaC//bioH//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	murA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	bcsZ//gph//
yejABEF	amn//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	bcsZ//
yfaX_rhmD	
yfaX_rhmD_yfaVU	trpC//
yfbUT	mutL//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	fre//
