# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmI//
cadBA	hycD//glgA//
caiCDE	phnO//fbaB//
caiTABCDE	metF//lldD//rffH//eda//mak//
carAB	arnA//
casABCDE12	cueO//
casDE12	pta//
cbpAM	
cbrBC	
ccmABCDEFGH	nadE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	asnS//arnA//yjhH//
chiP_ybfN	rhaA//
chpSB	pgaD//
citCDEFXG	metE//mltD//qor//
clpPX	pgk//aspA//preT//hisH//
clpX_lon	ugpQ//nhoA//paaY//
clsA_yciU	glyQ//
cmk_rpsA	uxaB//
cmoM_mukFEB	
cmtBA_yggPFDC	cmk//srlD//
coaE_zapD_yacG	pcm//
cobUST	aroG//queD//ulaF//
codBA	thiE//codA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	mnmC//
csgBAC	
csgDEFG	yeiG//
csiD_lhgO_gabDTP	yigL//glmS//ansB//dmsA//
cusCFBA	yihX//
cusRS	
cvpA_purF_ubiX	yeiG//glgA//
cydAB	yfaU//
cydDC	ispE//
cydX_ybgE	codA//
cynTS	ynjE//ilvG_2//
cynTSX	mpaA//wbbI//kdsB//
cyoABCDE	yicI//atoB//
cysDNC	putA//gadA//
cysJIH	eno//tilS//yegS//
cysPUWAM	tyrA//glcE//yfeW//
dadAX	thrB//lpoB//
damX_dam_rpe_gph_trpS	rpiA//mrcA//xylB//betB//
dam_rpe_gph_trpS	fkpA//gmk//atoD//yagF//
dapA_bamC	glnE//
dapE_ypfN	aroL//
dcm_vsr	nirD//
dcuB_fumB	nudJ//prmB//
dcuSR	
dcyD_tcyLN	idnO//proC//
ddpXABCDF	adhP//
def_fmt	ygiF//ulaD//
degQS	ilvE//appA//
deoABD	malP//deoC//fucK//
deoBD	leuB//mhpF//
deoCABD	entB//dxr//metG//hyi//
dgoRKADT	purU//rdgB//pdxJ//gpmM//
dhaKLM	yidA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	menD//allB//
dinJ_yafQ	hisD//
dksA_gluQ	aceE//
dmsABC	dhaM//
dnaAN_recF	ybiV//
dnaK_tpke11_dnaJ	mltF//
dnaN_recF	yneH//
dnaTC	
dnaTC_yjjA	
dosCP	pgi//folB//
dpiBA	
dppABCDF	bioF//
dsbC_recJ_prfB	gcvT//nagK//
dsbD_yjdC	
dsdXA	alaS//efeB//
dusB_fis	gltA//
dut_slmA	pdxB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rhaB//rnb//
efeOB	rpiB//
efeU_1U_2	
elbB_mtgA	gltA//
elfDCG_ycbUVF	
emrKY	ynjE//
entCEBAH	nagK//hdhA//lhgO//tesB//pdxK//rlmG//
envY_ompT	ligB//
epd_pgk	hycC//mpl//
epd_pgk_fbaA	cobU//menI//ogt//
essD_rrrD_rzpD	kbaZ//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	kdsA//
eutHA	
eutNEJG	
eutSPQTDM	melA//
evgAS	
exbBD	
fabDG_acpP	hyaB//phnJ//
fabG_acpP	yccX//
fabHDG	pgk//avtA//rlmB//
fabR_yijD	
fadBA	cpsG//phoA//
fadD_sroD	argD//
fadIJ	purF//speA//
fdnGHI	
fdoGHI_fdhE	ydjG//
fdrA_ylbEF_ybcF	phr//
fecABCDE	rpiA//nudE//
fecIR	
feoABC	eda//
fepA_entD	galK//ravA//metA//
fepDGC	kbaZ//
fes_ybdZ_entF_fepE	yihT//mltA//hisF//
fetAB	
fhuACDB	cpsG//pepD//
ficA_fic_pabA	arnC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	amiD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	accB//gmhB//
folC_dedD	dhaL//
folD_ybcJ	hycB//
folE_yeiB	nrdA//
folP_glmM	mcrC//rffM//
folX_yfcH	narH//
frdABCD	waaU//
frlABCDR	pflB//ldtC//selD//moaA//
frmRAB	leuD//alsK//
fruBKA	hinT//wcaJ//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	nudF//pykF//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dapE//ribE//ispA//ubiE//rlmE//mocA//mutH//hdhA//nrdB//cysD//
ftsQAZ	
ftsYEX	
fucAO	ssuD//fucO//
fucPIKUR	malZ//fadM//ilvM//yeiR//
fumAC	nrfD//ubiE//
fusA_tufA	
gabDTP	rnd//codA//lysU//
gadAX	appA//
gadBC	yjjG//nadC//
gadEF	
gadEF_mdtEF	ilvN//
gadXW	
galET	chbF//yigL//
galETK	guaD//ybiV//lpxC//
galETKM	glcE//pheS//plsC//cysK//
gapA_yeaD	malY//
gapC_1C_2	
garPLRK_rnpB	hisA//ilvE//ahpF//ribA//dapE//aroH//
gatYZABCD	sdhB//ybbO//bcsB//
gatZABCD	etp//pphA//leuB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	miaB//bglB//dam//mrcB//speF//
gcvTHP	adhE//rpiB//rnpB//
gfcBCD	
gfcE_etp_etk	fadI//pdxJ//
ghoST	yihU//
glcBA	fau//dcd//
glcDEFGBA	ubiG//rfbB//preT//
glf_wbbH	codA//
glgAP	citE//thiD//
glgBXCAP	pbpC//hchA//dcm//dhaL//zwf//
glgCAP	astE//umuD//recO//
glmUS	menI//phnG//
glnALG	pabA//
glnHPQ	tktB//
glnK_amtB	trmL//
glnLG	
glnW_metU_glnVX	
glpABC	hcp//
glpEGR	tdcD//sdhA//
glpFKX	dhaK//yggF//ilvH//
glpGR	glmU//
glpTQ	cysN//glcD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	puuA//
glvCBG_ysdC	
glyQS	slt//
glyVXY	
glyW_cysT_leuZ	
gntKU	lyxK//yahK//
gntRKU	gcvT//rnd//
gntX_nfuA	
gpmM_envC_yibQ	yfbR//yfdE//
groSL	
gspAB	
gspCDEFGHIJKLMO	metG//
guaBA	deoA//argF//
gudPXD	cueO//folD//
hcaEFCBD	astA//ung//
hcp_hcr	polA//folK//
hdeAB_yhiD	
hemA_prfA_prmC	guaD//ilvE//
hemCDXY	thiE//selA//
hflD_purB	yniC//
hfq_hflXKC	nagA//
hicAB	
higBA	speF//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	alaC//fadM//ftnA//gcvP//
hipBA	mobA//
hisBHAFI	xylB//nrdA//ilvA//hypF//
hisJQMP	pdeR//trmD//
hisLGDCBHAFI	ssuD//tynA//dapF//dnaE//acnA//allE//pgsA//
hofMNOP	
holC_valS	garR//
holD_rimI_yjjG	aroF//aceF//
hscBA_fdx_iscX	cobT//
hsdMS	lldD//
hsdRMS	wzb//
hslRO	
hslVU	nrfD//
hyaABCDEF	
hybOABCDEFG	rfbD//
hycABCDEFGHI	frmA//lpxM//
hydN_hypF	rrrD//
hyfABCDEFGHIJR_focB	pbpC//
hypABCDE	efeB//
hypABCDE_fhlA	cysM//
hypBCDE	pta//
hypBCDE_fhlA	garR//
iaaA_gsiABCD	ilvG_1//fklB//
ibaG_murA	speE//
ibpAB	
idnDOTR	glcF//glk//rluA//
ileS_lspA_fkpB_ispH	cobC//waaU//tauD//murQ//
ilvEDA	alkB//aceE//cheB//ghrB//
ilvIH	trpA//
ilvLXG_1G_2MEDA	mutS//argB//rsmH//yniC//rlmF//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yihT//
insN_1I_1O_1	tdcE//
insO_2_yjhWV	
iscRSUA	fadB//waaZ//
ispDF	pykA//lysC//
ispG_sroE	epd//
isrC_flu	
ivbL_ilvBN	aroE//
ivbL_ilvBN_uhpABC	fes//
kbaZ_agaVWA	tesB//
kbl_tdh	phnL//rfaE//
kdpDE	
kdpFABC	pdxK//
kdsC_lptCAB	gapA//nfsA//
kefFC	adeD//murF//
kefGB_yheV	ubiE//
kilR_ydaE	
lacYA	ybdL//metG//
lacZYA	mrcA//ushA//pspE//
lapAB	
lapAB_pyrF_yciH	nirD//
lepAB	gpmA//
leuLABCD	yliI//ispF//opgE//
leuQPV	
leuS_lptE_holA_nadD_cobC	ybbO//phnH//dapA//
lexA_dinF	
lgt_thyA	panD//pgsA//
ligA_ypeB	hisB//
livKHMGF	hemN//gstA//
lldPRD	deoA//glmU//
lolA_rarA	
lolB_ispE_prs	cpdA//speE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	nrfC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	yqaB//thiD//
lptFG	
lspA_fkpB_ispH	leuA//tgt//entA//
lsrACDBFG_tam	glf//fabI//gadA//yjeF//
lsrRK	paaE//
ltaE_ybjT	paaF//
lysT_valT_lysW	
macAB	glyQ//
malEFG	leuS//
malK_lamB_malM	dgcP//ppiC//
malPQ	yjhG//patD//
malXY	purF//menC//
manXYZ	xdhC//
map_glnD_dapD	nrdA//nudF//ppiA//
marRAB	
mazEFG	tsaB//
mcrBC	solA//
mdlAB	
mdtABCD_baeSR	murE//
mdtEF	gloB//
mdtJI	thiF//
mdtM_yjiN	dut//
mdtNOP	tdcG//
melAB	rlmF//menA//
menA_rraA	truC//
menBCE	bioC//glpA//puuD//
menDHBCE	sdhB//phoA//yigL//aroG//pgaD//
menFDHBCE	ribD//tyrA//napA//mltB//ydfG//ligB//
metBL	gnd//rlmH//
metNIQ	cdh//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	trpC//fadI//ygaP//
metZWV	
mglAC	recJ//
mglBAC	malY//
mgtLA	ycjG//
mhpABCDFE	yciV//rdoA//rne//frmB//wecB//hemD//
mhpR_lacI	
miaA_hfq_hflXKC	sbcB//fadE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	nfsA//aldA//
mnaT_ydcZ	wrbA//
mngAB	ligB//pyrE//
mnmG_rsmG	rsmI//spoT//
mntR_ybiR	
moaABCDE	rsmE//chbF//
moaBCDE	atoA//
mobAB	adhP//
modABC	yghU//
modEF	
moeAB	citG//gltX//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	coaE//
mqsRA	yidA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fucK//lpxD//mutT//fbaB//nrdE//garR//cpdA//hmp//hcaC//gshB//lgoD//
mreBCD	
mreCD	
msrPQ	
mtlADR	hemH//thiH//aroK//
mtn_btuF_yadS	hcaE//menD//
murB_birA	metG//murA//
murQP	metH//tauD//recF//
murQP_yfeW	pheT//mltD//arnB//napC//
mutL_miaA_hfq_hflXKC	nudK//waaO//fdhF//
mutY_yggX	sseA//
mutY_yggX_mltC	accA//ispU//
mutY_yggX_mltC_nupG	ghrA//ppx//rsmA//
nadA_pnuC	rihC//opgE//
nagBAC_umpH	folP//ldtC//mazG//
nagK_cobB	ribA//mtn//
nanATEK_yhcH	rdgB//yagE//tdcE//lacZ//
nanCM	ndh//dapA//
nanCMS	trmA//dkgB//
napFDAGHBC	ilvM//
napFDAGHBC_ccmABCDEFGH	gadA//pyrD//
narGHJI	ymdB//
narWV	gcvP//
narXL	
narZYWV	rlmA//
nemRA	lysC//
nemRA_gloA	purB//pldA//
nfrBA	
nhaAR	argG//
nikABCDER	talB//
nirBDC_cysG	entA//allA//argK//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nudG//
nrdAB_yfaE	kdsC//
nrdDG	ubiH//selD//
nrdHIEF	argG//
nrdR_ribDE_nusB_thiL_pgpA	lysU//cadA//add//bglX//
nrfABCDEFG	yciV//
nsrR_rnr_rlmB_yjfI	ackA//tam//
nudB_yebC_ruvC	argE//ygiF//
nudC_hemE_nfi	prmC//rsmE//
nudF_yqiB_cpdA_yqiA_parE	aroK//gntK//
nuoABCEFGHIJKLMN	glpA//
nuoMN	yfbR//
ompR_envZ	
opgGH	
oppABCDF	miaB//mhpA//
osmF_yehYXW	gpmA//
otsBA	arnA//galM//
paaABCDEFGHIJK	mocA//trmH//ldtA//hycB//rhaB//sad//fabI//
paaXY	prs//
pabB_nudL	cysG//truA//
pabC_mltG_tmk_holB_ycfH	ghrB//lysA//purF//
panBC	gltA//cpsG//
panE_yajL	aldB//
paoABCD	relA//
pcnB_folK	add//insI-2//
pdeI_dgcI	
pdhR_aceEF_lpd	ubiF//puuD//plsC//hcaC//mdh//dadX//
pdxA_rsmA	qor//thiE//
pdxA_rsmA_apaGH	garR//dgkA//ribB//
pdxB_usg_truA_dedA	aceE//yfaU//
pdxH_tyrS_pdxY	tehB//pncA//gabD//
pdxJ_acpS	yhhW//pinE//
pepQ_yigZ_trkH_hemG	cynS//dapF//rnd//
pflDC	
pgaABCD	glgB//narZ//galK//
pgk_fbaA	scpA//opgE//
pgpC_tadA	caiD//thiM//
pheLA	zwf//
pheMST_ihfA	gloA//
phnCDE_1E_2FGHIJKLMNOP	argS//glcB//adeD//fadI//recR//moaA//ubiE//
phnLMNOP	pykF//yciV//folE//hycE//ddlB//
phoA_psiF	fcl//
phoBR	
phoPQ	
pldB_yigL	alkB//adhP//
plsX_fabHDG	speF//hycD//acpH//
pntAB	
potABCD	bioA//
potFGHI	hisS//
poxB_ltaE_ybjT	frc//queF//
ppdAB_ygdB_ppdC_recC	ghrA//
ppdD_hofBC	
ppiB_lpxH	panC//ldtD//
ppk_ppx	rffM//aldB//
pqiAB	
preTA	coaE//
prfB_lysS	ghrB//
priC_ybaM	
prlC_rsmJ	mnaT//asnA//
prlF_yhaV	tatD//
prmB_aroC_mepA_yfcA_epmC_yfcL	truC//mqo//acpH//cysK//
proBA	ynfH//mhpB//
proQ_prc	gcvT//
proVWX	roxA//
prpBCDE	waaC//fabI//gmd//xthA//
psd_mscM	
pspABCDE	cysM//
pspBCDE	galE//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	nrdA//gcvP//
pth_ychF	mazG//
ptrA_recBD	rnt//hisA//
ptsA_fsaB_gldA	gloC//garR//
ptsHI_crr	abgA//gsk//gpmA//
purEK	tsaC//ribC//
purHD	eutD//rhaA//
purMN	hemD//nrfA//
puuAP	rfe//caiC//
puuCBE	purD//thiC//cueO//
puuDRCBE	folB//thiC//nrdD//sdhD//
pyrF_yciH	folB//
pyrG_eno	mhpC//ampC//
pyrLBI	glf//
qmcA_ybbJ	
qseBC	
radA_nadR	yfiH//
rapA_rluA	rsmJ//
ratAB	
ravA_viaA	
rbsDACBKR	glmU//amiD//fadI//
rclABC	
rclBC	
rcnAB	aroH//
rcsDB	
rcsF_trmO	aldA//
rdgB_yggW	waaH//
rdoA_dsbA	waaZ//fucI//
recAX	
recET_ralR_ydaC_xisR_intR	mepS//otsA//
relA_mazEF	pcm//
relBE	fabG//
relBE_hokD	araB//
renD_emrE	dinB//
rfaD_waaFCL	preT//ampH//acs//glcB//
rfbACX	nudB//fabI//araB//dhaK//
rfbBDACX	nemA//glpA//gluQ//mcrA//chbF//aroD//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ymdB//melA//ybhA//lacA//moaD//argF//ribC//purD//dmsB//
rhaBAD	gmm//guaC//hisS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	yfiH//pgk//folP//
ribF_ileS_lspA_fkpB_ispH	glpX//paaK//rsmD//slt//hemL//
rimK_ybjN	rffG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	cysG//moaE//yhhW//arnA//phnJ//cobU//trmO//polB//waaP//ynfG//
rlmE_ftsH	pgsA//tyrB//
rlmL_uup	entH//
rluD_yfiH	gabT//menE//
rluE_nudJ	maa//nfi//
rnc_era	rluE//
rnc_era_recO_pdxJ_acpS	ilvB//hisF//psuK//mutL//
rnlAB	nudL//
rnt_lhr	waaL//
rpe_gph_trpS	lpd//nrdA//ygjK//
rph_pyrE	lpxB//rutB//
rpiR_alsBACE	dgcT//fadD//
rplJL_rpoBC	rlmJ//
rplKAJL_rpoBC	mug//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	pncC//
rpmF_plsX_fabHDG	hemA//hycD//arnA//
rpmH_rnpA	sseA//gudD//
rpmI_rplT	
rpoBC	rffC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	ulaE//fabI//aroL//
rppH_ptsP	pabA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	dgkA//
rpsO_pnp	miaB//citC//
rpsP_rimM_trmD_rplS	metK//
rpsU_dnaG_rpoD	ldhA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	paaJ//cdsA//
rsmA_apaGH	aceF//gmm//
rsmD_yhhL	melA//
rsmE_gshB	nagK//ppiB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dsdA//hflX//citG//mnmG//uvrB//thiD//nfi//sucB//appA//prpD//citC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	cynT//
rtcBA	galT//lpoB//
rutABCDEFG	ligA//cdsA//gltA//xylB//glcF//truD//
ruvAB	aceA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	mtgA//
scpA_argK_scpBC	mog//nadA//dapF//yhdJ//
sdaCB	sodC//ilvC//
sdhCDAB_sucABCD	rsmI//dadA//cheB//pyrD//
sdhDAB	
sdhE_cptA	
secB_gpsA	fucK//
secE_nusG	
secG_leuU	
secMA_mutT	ribD//
selAB	phnG//rsmC//
selD_topB	can//dgcC//
seqA_pgm	galM//
serB_radA	scpB//
serC_aroA	fsaA//mutS//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	lacA//
sgrST_setA	murI//
skp_lpxD_fabZ_lpxA	rlmA//malP//cysD//
slp_dctR	
solA_yceO	ydjG//
speAB	ilvM//rutD//
speF_potE	dld//narI//
srlAEBD_gutM_srlR_gutQ	phr//wecC//hisH//
sroG_ribB	glgP//
sspAB	
ssrS_fau	queF//
ssuEADCB	aspC//rluA//fucI//
stfE_tfaE	
sucAB	yceF//cysD//argC//
sucABCD	lpoB//can//pdeL//mpl//
sufABCDSE	ltaE//
surA_pdxA_rsmA_apaGH	fsaB//pyrI//glgB//yahK//
tag_yiaC	mog//
talA_tktB	coaE//wcaJ//
tamAB_ytfP	
tar_tap_cheRBYZ	gstB//aceA//
tatABC	ydjG//
tatABCD	hycF//rhaM//
tauABCD	hemA//hcaB//
tdcABCDEFG	panE//slt//guaD//lplA//mutT//
tdcBCDEFG	wzc//puuD//nfsA//ldtA//fadA//
tehAB	prpD//yjiA//
tesA_ybbO	lpxB//lsrK//
tff_rpsB_tsf	
tgt_yajC	waaH//
thiCEFSGH	hisB//yhdJ//metF//hcaD//dcyD//
thiMD	aroA//def//
thrLABC	tam//citC//lpxT//
thrS_infC	rutB//
thrS_infC_rpmI_rplT_pheMST_ihfA	nth//nrdB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ugd//aldA//
tolB_pal_cpoB	
tolC_ygiABC	purC//mpaA//lgoD//fsaA//fabH//phnL//metB//yfiC//rlmB//
tomB_hha	
topAI_yjhQ	
torCAD	btuE//
torYZ	recF//
treBC	cdd//pncB//
trmI_yggL	gadA//
trpCBA	waaQ//pgm//frdA//mepS//
trpLEDCBA	roxA//adhP//fumB//ansA//dgkA//bfr//
tsaB_yeaY	mrdA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	folD//gapA//hisI//rhaD//tdcD//
ttdABT	sucB//argI//
tyrS_pdxY	trmH//kbaZ//
tyrTV_tpr	
tyrV_tpr	
ubiCA	dosP//rlmM//
ubiEJB	tsaD//
udk_dcd	ampC//amn//
ugpBAECQ	lpxA//arnC//
uhpABC	
uidABC	mtgA//lacZ//
ulaABCDEF	cheR//nudF//rlmA//dgcP//
umpG_pcm	ubiE//ispD//
umuDC	yeaG//
uof_fur	
upp_uraA	yrfG//puuA//
usg_truA_dedA	argA//
uvrYC	yfcF//
uxaCA	coaD//miaB//
uxuAB	pyrC//lplA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	trmH//xylA//
waaQGPSBOJYZU	oxc//uvrA//pgl//cysE//coaE//ddlB//chbF//tsaD//rluE//metE//
waaYZ	thrC//nemA//
waaZU	sdhB//dmsB//
wbbIJK	acnB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	mutH//mobA//alaS//ydfG//roxA//pykF//
wcaKLM	
wrbA_yccJ	ruvC//
wza_wzb_wzc	fadK//fadB//
wza_wzb_wzc_wcaAB	yqaB//entH//
xanQ_guaD_ghxQ	gabT//nadE//eptB//
xapAB	fabA//pykA//
xdhABC	glpE//
xerD_dsbC_recJ	alkB//pldB//
xseB_ispA_dxs_yajO	ppiC//puuA//surA//dgoK//
xylAB	ttdB//paaK//
xylFGHR	acpH//
yabPQ	
yacC_speED	gudD//murE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	mnmA//
yafDE	
yafNOP	rffM//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	hisS//lyxK//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	pykA//
ybaB_recR	rihB//
ybaST	murA//
ybbAP	
ybbY_glxK	edd//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	miaA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	recO//
ybeZY	
ybeZYX_lnt	leuD//
ybfHG	
ybfOC	
ybgA_phr	cpsB//
ybgC_tolQRA	
ybgIJKL_nei	dosC//
ybgQPO	
ybhP_clsB_ybhN	pyrI//
ybiYW	
ybjC_nfsA_rimK_ybjN	metF//pdxY//
ybjJI	murF//
ybjO_rlmC	coaD//
ybjQ_amiD	uxuA//
ycaI_msbA_lpxK_ycaQ	fruK//kbaY//
ycaR_kdsB	aceE//
ycbK_gloC	rihA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	nrfB//
yciCB	
yciGFE	
yciK_btuR	wecC//
yciVOQ	nrdA//
yciZT	
ycjMNOPQRSTUV_ymjB	cysK//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fadE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rhaA//tag//
ydcSTUV_patD	gntK//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	rlmD//
ydgK_rsxABCDGE_nth	metA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	sucC//frdC//
ydiJ_menI_ydiH	pgaD//
ydiNB_aroD	miaA//yccX//
ydiQRST_fadK	pyrH//
ydjA_selD_topB	hycG//trxB//
ydjLKJIHG	nudG//
ydjXYZ_ynjABCD	
yeaGH	rffH//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ssuE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nfi//ydfG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	mltB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	lysU//sucD//
yejABEF	pdeR//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	uxaB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	argI//
yfbUT	gabT//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
