# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabC//
envY_ompT	hisC//
epd_pgk	ileS//purC//
epd_pgk_fbaA	sgbU//mnmE//folX//
essD_rrrD_rzpD	lpxP//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	glxR//
eutHA	
eutNEJG	
eutSPQTDM	chbF//
evgAS	
exbBD	
fabDG_acpP	gadA//menB//
fabG_acpP	sodB//
fabHDG	asnB//ttdB//dapF//
fabR_yijD	
fadBA	ydiB//glcF//
fadD_sroD	otsB//
fadIJ	pyrB//otsA//
fdnGHI	
fdoGHI_fdhE	purC//
fdrA_ylbEF_ybcF	eptB//
fecABCDE	ydiO//yjjG//
fecIR	
feoABC	sucB//
fepA_entD	birA//aspA//purE//
fepDGC	clsB//
fes_ybdZ_entF_fepE	eutB//paaG//fabF//
fetAB	
fhuACDB	ilvA//narH//
ficA_fic_pabA	hflX//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ydiO//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	rnd//waaL//
folC_dedD	leuD//
folD_ybcJ	yjhH//
folE_yeiB	fbaB//
folP_glmM	hdhA//birA//
folX_yfcH	selB//
frdABCD	rfaD//
frlABCDR	idnO//metF//frlB//ydbC//
frmRAB	paaB//mog//
fruBKA	ahpF//paaG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	nrdA//pdxK//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	betB//nrfA//srlD//argE//dapB//preA//napA//kbaZ//putA//malS//
ftsQAZ	
ftsYEX	
fucAO	ispA//gloA//
fucPIKUR	dosC//sodC//trmD//ppx//
fumAC	rdgB//hycF//
fusA_tufA	
gabDTP	pphB//solA//mnmG//
gadAX	fabZ//
gadBC	waaQ//recF//
gadEF	
gadEF_mdtEF	araA//
gadXW	
galET	kduD//ligB//
galETK	talB//cobU//kdsB//
galETKM	gpmA//frlC//rhaM//yibQ//
gapA_yeaD	rluB//
gapC_1C_2	
garPLRK_rnpB	xapA//mcrB//hycG//xthA//surA//pfkB//
gatYZABCD	ydiB//gcvT//argI//
gatZABCD	cysN//tsaD//ampD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	thiF//prpC//idnK//gpt//gcvT//
gcvTHP	pphA//nanE//pgpA//
gfcBCD	
gfcE_etp_etk	ulaE//ppsA//
ghoST	nagZ//
glcBA	nudC//prpD//
glcDEFGBA	nirB//ulaD//purA//
glf_wbbH	panC//
glgAP	rsmC//aceA//
glgBXCAP	ymdB//yibQ//cpdA//entD//hisC//
glgCAP	clsA//aslA//otsA//
glmUS	tig//hcaC//
glnALG	paaY//
glnHPQ	guaA//
glnK_amtB	nadR//
glnLG	
glnW_metU_glnVX	
glpABC	pncC//
glpEGR	yrfG//rlmL//
glpFKX	cysG//roxA//dnaQ//
glpGR	napG//
glpTQ	anmK//selA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	nrfA//
glvCBG_ysdC	
glyQS	ppiB//
glyVXY	
glyW_cysT_leuZ	
gntKU	phnN//aroH//
gntRKU	lpxP//ydfG//
gntX_nfuA	
gpmM_envC_yibQ	ppk//purB//
groSL	
gspAB	
gspCDEFGHIJKLMO	glk//
guaBA	lplA//hycG//
gudPXD	bioC//glgA//
hcaEFCBD	ilvG_2//patZ//
hcp_hcr	ubiX//murF//
hdeAB_yhiD	
hemA_prfA_prmC	prpE//glcE//
hemCDXY	truA//napA//
hflD_purB	treC//
hfq_hflXKC	iaaA//
hicAB	
higBA	mhpB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	aroG//aroG//lldD//lsrG//
hipBA	dhaK//
hisBHAFI	fucO//mhpB//yidA//tyrA//
hisJQMP	cobU//purH//
hisLGDCBHAFI	yrfG//rffC//mrcB//cfa//iscS//bioF//paaK//
hofMNOP	
holC_valS	napG//
holD_rimI_yjjG	glf//gss//
hscBA_fdx_iscX	ligB//
hsdMS	hemL//
hsdRMS	dgkA//
hslRO	
hslVU	purT//
hyaABCDEF	
hybOABCDEFG	paaC//
hycABCDEFGHI	fadH//fadA//
hydN_hypF	gltX//
hyfABCDEFGHIJR_focB	dhaL//
hypABCDE	slt//
hypABCDE_fhlA	ghrB//
hypBCDE	acpH//
hypBCDE_fhlA	thrS//
iaaA_gsiABCD	allE//aspC//
ibaG_murA	dadX//
ibpAB	
idnDOTR	cysG//napA//ppc//
ileS_lspA_fkpB_ispH	epd//iaaA//sodB//dgoK//
ilvEDA	valS//fsaA//yegS//malY//
ilvIH	metA//
ilvLXG_1G_2MEDA	adhP//moeA//gloA//pykA//bglX//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	tdcD//
insN_1I_1O_1	glcB//
insO_2_yjhWV	
iscRSUA	nfsA//purK//
ispDF	eptC//nudF//
ispG_sroE	rpe//
isrC_flu	
ivbL_ilvBN	argE//
ivbL_ilvBN_uhpABC	ymdB//
kbaZ_agaVWA	bfr//
kbl_tdh	pspE//menI//
kdpDE	
kdpFABC	folX//
kdsC_lptCAB	ilvB//bioH//
kefFC	dgoK//pyrD//
kefGB_yheV	aroA//
kilR_ydaE	
lacYA	trmA//thyA//
lacZYA	leuB//dgoK//rlmD//
lapAB	
lapAB_pyrF_yciH	rrrD//
lepAB	pncB//
leuLABCD	dgoD//serA//pck//
leuQPV	
leuS_lptE_holA_nadD_cobC	ygjK//ybiV//rhaB//
lexA_dinF	
lgt_thyA	nrdF//tag//
ligA_ypeB	coaE//
livKHMGF	dgcM//aroE//
lldPRD	rdgB//glpX//
lolA_rarA	
lolB_ispE_prs	rsmB//psuG//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	malQ//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	prmB//rlmH//
lptFG	
lspA_fkpB_ispH	thiF//nadE//dusB//
lsrACDBFG_tam	dld//xdhB//rsuA//ppiA//
lsrRK	patZ//
ltaE_ybjT	astB//
lysT_valT_lysW	
macAB	uvrB//
malEFG	ispU//
malK_lamB_malM	fadA//dusA//
malPQ	entD//araB//
malXY	sgbU//hisS//
manXYZ	phnM//
map_glnD_dapD	hchA//tesB//menI//
marRAB	
mazEFG	alaS//
mcrBC	pykA//
mdlAB	
mdtABCD_baeSR	gloC//
mdtEF	ppx//
mdtJI	ycaO//
mdtM_yjiN	idi//
mdtNOP	cadA//
melAB	sdaB//idnO//
menA_rraA	dkgA//
menBCE	plsB//mutS//dcd//
menDHBCE	rihC//alkA//alsK//pyrE//cpdB//
menFDHBCE	hinT//hinT//argH//lpoA//ldtE//tyrA//
metBL	thiD//yqjH//
metNIQ	tauD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yieF//dgt//atoB//
metZWV	
mglAC	yiaY//
mglBAC	waaB//
mgtLA	amiD//
mhpABCDFE	queF//valS//hdhA//metF//gpmM//folC//
mhpR_lacI	
miaA_hfq_hflXKC	rdoA//ybjG//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	gmhB//ybjG//
mnaT_ydcZ	wecB//
mngAB	ilvG_2//fabI//
mnmG_rsmG	gudD//galE//
mntR_ybiR	
moaABCDE	bfr//maeA//
moaBCDE	pfkB//
mobAB	nagZ//
modABC	tdh//
modEF	
moeAB	mltB//nadK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	amiD//
mqsRA	bacA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	citE//yqhD//sgbU//mcrA//paaI//nrdF//wecB//carA//folD//yjjX//allA//
mreBCD	
mreCD	
msrPQ	
mtlADR	sbcB//hemH//dxs//
mtn_btuF_yadS	maeB//lacA//
murB_birA	menF//torY//
murQP	pfkB//fcl//gcvP//
murQP_yfeW	mltA//cysK//hinT//ychF//
mutL_miaA_hfq_hflXKC	ribB//rlmJ//plsC//
mutY_yggX	glgC//
mutY_yggX_mltC	ttdA//frmB//
mutY_yggX_mltC_nupG	fbp//umuD//fucI//
nadA_pnuC	pnp//aroC//
nagBAC_umpH	patZ//der//murE//
nagK_cobB	nrdA//leuB//
nanATEK_yhcH	carB//yieH//speE//galM//
nanCM	alaC//pbpC//
nanCMS	cadA//glpB//
napFDAGHBC	gstB//
napFDAGHBC_ccmABCDEFGH	mdh//fumA//
narGHJI	tnaA//
narWV	cysI//
narXL	
narZYWV	yfcG//
nemRA	pbpC//
nemRA_gloA	hyuA//pabA//
nfrBA	
nhaAR	murI//
nikABCDER	bfr//
nirBDC_cysG	dapD//gsk//mepS//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nfi//
nrdAB_yfaE	spoT//
nrdDG	queG//cyoE//
nrdHIEF	nrdA//
nrdR_ribDE_nusB_thiL_pgpA	fucI//entC//paaF//yajO//
nrfABCDEFG	dgkA//
nsrR_rnr_rlmB_yjfI	hisF//argB//
nudB_yebC_ruvC	cysN//waaA//
nudC_hemE_nfi	glyS//nudC//
nudF_yqiB_cpdA_yqiA_parE	rfaD//rlmM//
nuoABCEFGHIJKLMN	rsuA//
nuoMN	galT//
ompR_envZ	
opgGH	
oppABCDF	ygaP//serS//
osmF_yehYXW	yeaE//
otsBA	paaE//yccX//
paaABCDEFGHIJK	bcsZ//ahpF//pyrF//citG//yigL//hcaF//trpA//
paaXY	gluQ//
pabB_nudL	ftsI//cobC//
pabC_mltG_tmk_holB_ycfH	ilvH//garL//speF//
panBC	pyrB//nadE//
panE_yajL	menE//
paoABCD	hisS//
pcnB_folK	xylB//menF//
pdeI_dgcI	
pdhR_aceEF_lpd	ybbO//pyrI//talA//citG//glk//uxuA//
pdxA_rsmA	lpxA//nudC//
pdxA_rsmA_apaGH	rlmL//metL//folE//
pdxB_usg_truA_dedA	ilvE//eptB//
pdxH_tyrS_pdxY	gdhA//yajO//argK//
pdxJ_acpS	roxA//lpxB//
pepQ_yigZ_trkH_hemG	tauD//nrfC//polA//
pflDC	
pgaABCD	queG//adeD//ybcF//
pgk_fbaA	accB//trpC//
pgpC_tadA	rlmF//sgbE//
pheLA	tmk//
pheMST_ihfA	mtlD//
phnCDE_1E_2FGHIJKLMNOP	mepS//lsrG//ydiF//fbp//pdeR//gatY//rlmB//
phnLMNOP	arnC//mrcA//fabZ//tsaE//menF//
phoA_psiF	lpcA//
phoBR	
phoPQ	
pldB_yigL	bioD//tag//
plsX_fabHDG	wzc//citF//pbpC//
pntAB	
potABCD	nfsB//
potFGHI	thiE//
poxB_ltaE_ybjT	epmB//waaQ//
ppdAB_ygdB_ppdC_recC	tesA//
ppdD_hofBC	
ppiB_lpxH	gatZ//aspA//
ppk_ppx	moaE//torY//
pqiAB	
preTA	rsmI//
prfB_lysS	cof//
priC_ybaM	
prlC_rsmJ	menA//nrdF//
prlF_yhaV	murE//
prmB_aroC_mepA_yfcA_epmC_yfcL	queG//rluA//speA//rutC//
proBA	gcvP//recJ//
proQ_prc	argA//
proVWX	fadB//
prpBCDE	sdaB//trmI//frdC//preA//
psd_mscM	
pspABCDE	murD//
pspBCDE	yagF//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mrdA//bcsZ//
pth_ychF	entB//
ptrA_recBD	murD//folX//
ptsA_fsaB_gldA	tdcE//btuR//
ptsHI_crr	tmk//nadE//orn//
purEK	trpA//hcaD//
purHD	speG//ispA//
purMN	ppsA//pssA//
puuAP	rfbC//bcsB//
puuCBE	ghrB//frlB//aroE//
puuDRCBE	psuK//pphB//selA//ispH//
pyrF_yciH	polB//
pyrG_eno	alkA//xdhC//
pyrLBI	ispF//
qmcA_ybbJ	
qseBC	
radA_nadR	pgaD//
rapA_rluA	alaC//
ratAB	
ravA_viaA	
rbsDACBKR	gdhA//waaS//citC//
rclABC	
rclBC	
rcnAB	cfa//
rcsDB	
rcsF_trmO	fsaB//
rdgB_yggW	prpC//
rdoA_dsbA	rutA//queA//
recAX	
recET_ralR_ydaC_xisR_intR	nagZ//ndk//
relA_mazEF	pabC//
relBE	arsC//
relBE_hokD	rffH//
renD_emrE	nudL//
rfaD_waaFCL	glcB//aroC//truC//cysJ//
rfbACX	waaS//pdeF//birA//waaP//
rfbBDACX	ycjG//cobU//ansA//fabG//miaA//deoB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	menE//phr//hcaB//rlmE//dusC//rimK//moeB//acnB//hyaB//
rhaBAD	mug//dld//lpxP//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	paoC//frlD//narZ//
ribF_ileS_lspA_fkpB_ispH	aroE//yiaK//sgbU//glk//gmm//
rimK_ybjN	clsA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ybaS//gudD//astC//xapA//trmJ//metK//murE//ribE//leuC//hcaC//
rlmE_ftsH	nudF//otsA//
rlmL_uup	ttdB//
rluD_yfiH	puuC//yfiC//
rluE_nudJ	pfkA//psd//
rnc_era	ribC//
rnc_era_recO_pdxJ_acpS	lysC//ispA//trmH//trpC//
rnlAB	puuE//
rnt_lhr	gabT//
rpe_gph_trpS	moaD//mtlD//phnL//
rph_pyrE	yicI//nadE//
rpiR_alsBACE	prpB//gadA//
rplJL_rpoBC	tam//
rplKAJL_rpoBC	yiaK//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	kduI//
rpmF_plsX_fabHDG	bcsZ//thrA//rlmC//
rpmH_rnpA	aroD//mgsA//
rpmI_rplT	
rpoBC	gadB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	queG//ampH//nagZ//
rppH_ptsP	tadA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rlmE//
rpsO_pnp	iaaA//rlmH//
rpsP_rimM_trmD_rplS	malY//
rpsU_dnaG_rpoD	mltC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	rpiB//yjhH//
rsmA_apaGH	nudI//paaZ//
rsmD_yhhL	moaE//
rsmE_gshB	scpB//nadA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nudF//wecC//leuS//yjeF//gadA//purH//speD//queA//mutY//azoR//ahpF//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	slyD//
rtcBA	ung//mhpF//
rutABCDEFG	rdoA//paaY//trmH//rsmC//accB//pdxK//
ruvAB	alaS//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	hycD//
scpA_argK_scpBC	pepD//hisF//murB//puuD//
sdaCB	arnA//mnaT//
sdhCDAB_sucABCD	queC//nudL//asd//rutA//
sdhDAB	
sdhE_cptA	
secB_gpsA	citX//
secE_nusG	
secG_leuU	
secMA_mutT	speF//
selAB	rlmF//dkgB//
selD_topB	gpp//truC//
seqA_pgm	astE//
serB_radA	slt//
serC_aroA	paaB//glgX//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	argS//
sgrST_setA	torZ//
skp_lpxD_fabZ_lpxA	guaB//garK//coaD//
slp_dctR	
solA_yceO	ldtE//
speAB	hycG//glcF//
speF_potE	cdh//hycF//
srlAEBD_gutM_srlR_gutQ	aroH//cmoB//hmp//
sroG_ribB	ppiA//
sspAB	
ssrS_fau	fadK//
ssuEADCB	ispU//waaS//kdsB//
stfE_tfaE	
sucAB	hisH//paaZ//pyrG//
sucABCD	menD//yfeW//ybiV//metE//
sufABCDSE	proS//
surA_pdxA_rsmA_apaGH	dapE//narY//nagA//mutL//
tag_yiaC	yghU//
talA_tktB	yfbT//xapA//
tamAB_ytfP	
tar_tap_cheRBYZ	fumC//rdoA//
tatABC	ynjE//
tatABCD	mutM//ldtA//
tauABCD	glmU//eutC//
tdcABCDEFG	ispA//yhdJ//roxA//panC//garD//
tdcBCDEFG	ybcF//ybcF//mutM//paoC//atoA//
tehAB	deoC//rutB//
tesA_ybbO	glmM//ligA//
tff_rpsB_tsf	
tgt_yajC	atoA//
thiCEFSGH	uvrB//fadE//xdhB//yfiH//ltaE//
thiMD	truA//gpsA//
thrLABC	gloC//alkB//bglX//
thrS_infC	ybaS//
thrS_infC_rpmI_rplT_pheMST_ihfA	yfdE//eptA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	yeaE//phnM//
tolB_pal_cpoB	
tolC_ygiABC	kdsA//fabH//proC//cobU//acpS//murI//dmsB//pgk//pssA//
tomB_hha	
topAI_yjhQ	
torCAD	ydfG//
torYZ	pykA//
treBC	gstA//wbbI//
trmI_yggL	kbl//
trpCBA	rluF//asnA//ispF//pyrF//
trpLEDCBA	yqaB//citF//prs//wzc//yrfG//hypF//
tsaB_yeaY	glpX//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ddlB//avtA//cobU//cysM//dmsC//
ttdABT	cadA//ybhA//
tyrS_pdxY	pldA//rsmG//
tyrTV_tpr	
tyrV_tpr	
ubiCA	trpC//mmuM//
ubiEJB	cpdA//
udk_dcd	nrdE//aspS//
ugpBAECQ	serS//waaA//
uhpABC	
uidABC	frlB//gudD//
ulaABCDEF	rnd//paaG//fumC//folE//
umpG_pcm	phnP//agp//
umuDC	fruK//
uof_fur	
upp_uraA	mocA//eno//
usg_truA_dedA	gshB//
uvrYC	ilvI//
uxaCA	pgpC//alsK//
uxuAB	eptC//leuD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	fau//garK//
waaQGPSBOJYZU	pck//glgA//sucC//hycF//rutD//argG//pagP//ydiB//ruvA//ychF//
waaYZ	cheB//gabT//
waaZU	ruvA//glnE//
wbbIJK	paaG//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	hemC//arnA//yccX//cyoE//tauD//uxuA//
wcaKLM	
wrbA_yccJ	truC//
wza_wzb_wzc	btuR//ydiF//
wza_wzb_wzc_wcaAB	ilvE//anmK//
xanQ_guaD_ghxQ	purD//nth//paaC//
xapAB	moaA//fkpA//
xdhABC	tam//
xerD_dsbC_recJ	purM//spoT//
xseB_ispA_dxs_yajO	metF//ppa//gmhB//yqjH//
xylAB	pyrE//paaB//
xylFGHR	moaE//
yabPQ	
yacC_speED	guaA//gudD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ddlB//
yafDE	
yafNOP	prpE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	acpS//ispA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	thiM//
ybaB_recR	opgB//
ybaST	rlmE//
ybbAP	
ybbY_glxK	hisB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	oxc//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	sseA//
ybeZY	
ybeZYX_lnt	mpl//
ybfHG	
ybfOC	
ybgA_phr	aceF//
ybgC_tolQRA	
ybgIJKL_nei	lplA//
ybgQPO	
ybhP_clsB_ybhN	gloB//
ybiYW	
ybjC_nfsA_rimK_ybjN	nagK//yfbT//
ybjJI	insI-1//
ybjO_rlmC	entD//
ybjQ_amiD	nudG//
ycaI_msbA_lpxK_ycaQ	mdh//waaC//
ycaR_kdsB	trmI//
ycbK_gloC	nadK//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	metA//
yciCB	
yciGFE	
yciK_btuR	napC//
yciVOQ	selD//
yciZT	
ycjMNOPQRSTUV_ymjB	rdgB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ldtB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yfbT//gltB//
ydcSTUV_patD	panE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	hyaC//
ydgK_rsxABCDGE_nth	plsB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	rlmB//phnO//
ydiJ_menI_ydiH	dam//
ydiNB_aroD	fumA//yqhD//
ydiQRST_fadK	bcsZ//
ydjA_selD_topB	metL//rlmA//
ydjLKJIHG	galM//
ydjXYZ_ynjABCD	
yeaGH	dgt//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fadJ//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	thrC//argH//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	lipB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	xapA//paoA//
yejABEF	glgP//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	tsaC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	azoR//
yfbUT	leuC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	tmcA//
