# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bcsZ//
clpPX	nhoA//tadA//wzc//queG//
clpX_lon	waaS//rluC//yniC//
clsA_yciU	spoT//
cmk_rpsA	astD//
cmoM_mukFEB	
cmtBA_yggPFDC	bcsZ//adhP//
coaE_zapD_yacG	aroB//
cobUST	yiaK//serA//rutA//
codBA	arsC//phr//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	uidA//
csgBAC	
csgDEFG	napC//
csiD_lhgO_gabDTP	rsmH//xapA//rluB//uxaC//
cusCFBA	lldD//
cusRS	
cvpA_purF_ubiX	paoC//mhpE//
cydAB	ldtD//
cydDC	trmA//
cydX_ybgE	rfbC//
cynTS	ligA//selB//
cynTSX	paaI//gnd//xdhC//
cyoABCDE	icd//yjcS//
cysDNC	dusB//aceA//
cysJIH	dhaM//argS//ulaD//
cysPUWAM	rlmL//nrdF//speE//
dadAX	waaJ//hisH//
damX_dam_rpe_gph_trpS	nudF//prs//dld//hemE//
dam_rpe_gph_trpS	glcF//arnA//leuD//gabT//
dapA_bamC	tesA//
dapE_ypfN	mltB//
dcm_vsr	trmI//
dcuB_fumB	fsaA//dmlA//
dcuSR	
dcyD_tcyLN	gpmA//atoB//
ddpXABCDF	cpdB//
def_fmt	folP//ugpQ//
degQS	uxaB//ahpC//
deoABD	uxuB//mpl//bioC//
deoBD	rsmH//ynfG//
deoCABD	epmA//fadH//phnM//nudG//
dgoRKADT	cdd//dapA//rffT//selA//
dhaKLM	fadJ//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gpp//pcm//
dinJ_yafQ	cpdA//
dksA_gluQ	mazG//
dmsABC	dxr//
dnaAN_recF	napG//
dnaK_tpke11_dnaJ	yrfG//
dnaN_recF	purT//
dnaTC	
dnaTC_yjjA	
dosCP	cdd//purN//
dpiBA	
dppABCDF	narY//
dsbC_recJ_prfB	speA//sucC//
dsbD_yjdC	
dsdXA	ygiF//lpxP//
dusB_fis	adhE//
dut_slmA	dadA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	argB//proA//
efeOB	pspE//
efeU_1U_2	
elbB_mtgA	pbpC//
elfDCG_ycbUVF	
emrKY	tgt//
entCEBAH	nudJ//upp//gloB//ddlA//rluD//idnD//
envY_ompT	dgoA//
epd_pgk	cfa//serS//
epd_pgk_fbaA	speC//hcaE//yneH//
essD_rrrD_rzpD	speA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	waaQ//
eutHA	
eutNEJG	
eutSPQTDM	speF//
evgAS	
exbBD	
fabDG_acpP	ruvA//alkA//
fabG_acpP	cysC//
fabHDG	yihS//paaG//metA//
fabR_yijD	
fadBA	mdh//add//
fadD_sroD	nfsB//
fadIJ	phnG//yjjG//
fdnGHI	
fdoGHI_fdhE	amn//
fdrA_ylbEF_ybcF	cysQ//
fecABCDE	suhB//ppa//
fecIR	
feoABC	thiE//
fepA_entD	rnb//hisC//talB//
fepDGC	dxr//
fes_ybdZ_entF_fepE	menE//alsE//dgoD//
fetAB	
fhuACDB	mutT//nemA//
ficA_fic_pabA	cysD//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	purM//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	cueO//waaY//
folC_dedD	puuA//
folD_ybcJ	bfr//
folE_yeiB	napA//
folP_glmM	rffT//yqhD//
folX_yfcH	folK//
frdABCD	dkgA//
frlABCDR	azoR//cpsB//purT//kbaY//
frmRAB	paaJ//nudL//
fruBKA	rffH//murQ//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	gstA//fucU//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gudD//fkpB//insI-3//phnL//tatD//gadB//caiD//ilvN//queA//rlmF//
ftsQAZ	
ftsYEX	
fucAO	tdcE//purF//
fucPIKUR	lpxB//ubiE//thrB//ulaG//
fumAC	rnd//tmk//
fusA_tufA	
gabDTP	glyS//folA//hcaC//
gadAX	argH//
gadBC	trxB//galT//
gadEF	
gadEF_mdtEF	glpC//
gadXW	
galET	umpG//proA//
galETK	pheS//abgA//waaP//
galETKM	lpxD//polA//mog//pabB//
gapA_yeaD	eno//
gapC_1C_2	
garPLRK_rnpB	purH//prpE//uxaA//ydjG//lysC//treF//
gatYZABCD	sgbE//waaC//gltB//
gatZABCD	menI//pheS//dcm//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	ldtC//rlmJ//yfiC//gstA//accD//
gcvTHP	cpdA//prpC//yiaK//
gfcBCD	
gfcE_etp_etk	cobU//ttdB//
ghoST	lpxP//
glcBA	yfdR//phnG//
glcDEFGBA	acpH//ybhA//cdh//
glf_wbbH	patA//
glgAP	argA//aroB//
glgBXCAP	trmJ//hisB//ribC//glcB//asnB//
glgCAP	uxuA//cobT//argE//
glmUS	recJ//yjhG//
glnALG	paaG//
glnHPQ	trpA//
glnK_amtB	hemA//
glnLG	
glnW_metU_glnVX	
glpABC	dhaK//
glpEGR	rsmI//nrfA//
glpFKX	hcaF//ruvB//serB//
glpGR	ubiI//
glpTQ	can//wzc//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	pepD//
glvCBG_ysdC	
glyQS	ldtC//
glyVXY	
glyW_cysT_leuZ	
gntKU	mutT//gmd//
gntRKU	miaB//ung//
gntX_nfuA	
gpmM_envC_yibQ	yieH//murQ//
groSL	
gspAB	
gspCDEFGHIJKLMO	mutT//
guaBA	sad//hemN//
gudPXD	mhpB//prpB//
hcaEFCBD	slt//hemB//
hcp_hcr	ltaE//panC//
hdeAB_yhiD	
hemA_prfA_prmC	frdC//adiA//
hemCDXY	fcl//suhB//
hflD_purB	rimK//
hfq_hflXKC	cfa//
hicAB	
higBA	thiL//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	cpdA//hflX//glnS//lplA//
hipBA	slt//
hisBHAFI	dgcP//kdgK//cysI//yfcF//
hisJQMP	rfbC//eno//
hisLGDCBHAFI	ybaS//rluB//mazG//galT//gatZ//caiD//fumB//
hofMNOP	
holC_valS	frlC//
holD_rimI_yjjG	ybjI//sgbE//
hscBA_fdx_iscX	rhaA//
hsdMS	tilS//
hsdRMS	malP//
hslRO	
hslVU	aspC//
hyaABCDEF	
hybOABCDEFG	polA//
hycABCDEFGHI	carA//glpA//
hydN_hypF	icd//
hyfABCDEFGHIJR_focB	etp//
hypABCDE	hdhA//
hypABCDE_fhlA	serA//
hypBCDE	rfbB//
hypBCDE_fhlA	hyaC//
iaaA_gsiABCD	ilvE//nadR//
ibaG_murA	hcp//
ibpAB	
idnDOTR	scpB//frlD//gpt//
ileS_lspA_fkpB_ispH	ispF//tsaE//rbn//rpiB//
ilvEDA	citX//hcaC//nudF//wecC//
ilvIH	hypB//
ilvLXG_1G_2MEDA	patZ//queF//cmoA//gltX//umuD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rsmC//
insN_1I_1O_1	dmlA//
insO_2_yjhWV	
iscRSUA	cpdB//btuR//
ispDF	ghrA//glgC//
ispG_sroE	gcvP//
isrC_flu	
ivbL_ilvBN	glpK//
ivbL_ilvBN_uhpABC	ulaF//
kbaZ_agaVWA	ispD//
kbl_tdh	fabI//gpt//
kdpDE	
kdpFABC	cysD//
kdsC_lptCAB	bioA//yfcF//
kefFC	trmJ//tag//
kefGB_yheV	queA//
kilR_ydaE	
lacYA	rbsK//ilvN//
lacZYA	leuD//ydjG//tig//
lapAB	
lapAB_pyrF_yciH	ubiG//
lepAB	selA//
leuLABCD	yqjH//fabB//glf//
leuQPV	
leuS_lptE_holA_nadD_cobC	cysI//yjhG//ribB//
lexA_dinF	
lgt_thyA	mtlD//hemG//
ligA_ypeB	yqjH//
livKHMGF	ygjK//serS//
lldPRD	lpxC//xdhB//
lolA_rarA	
lolB_ispE_prs	nrdD//dmsA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ybjG//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	miaA//dhaK//
lptFG	
lspA_fkpB_ispH	pphA//gpt//adeD//
lsrACDBFG_tam	hemL//hcaB//waaS//rlmD//
lsrRK	serS//
ltaE_ybjT	mnmE//
lysT_valT_lysW	
macAB	yibQ//
malEFG	rihB//
malK_lamB_malM	carB//epmC//
malPQ	adhE//deoA//
malXY	dapD//nfi//
manXYZ	hisI//
map_glnD_dapD	edd//uvrB//dapD//
marRAB	
mazEFG	tdcD//
mcrBC	ushA//
mdlAB	
mdtABCD_baeSR	yiaK//
mdtEF	araD//
mdtJI	edd//
mdtM_yjiN	menC//
mdtNOP	fbp//
melAB	yeiR//yfiC//
menA_rraA	gapA//
menBCE	fsaA//nagA//rluC//
menDHBCE	garD//gcd//tesB//ssuD//purT//
menFDHBCE	waaS//ribF//acpS//paaI//dhaM//murA//
metBL	rluD//arnC//
metNIQ	queG//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dgcC//thiE//ssuE//
metZWV	
mglAC	manA//
mglBAC	idnD//
mgtLA	betB//
mhpABCDFE	tnaA//yjjG//aroF//arnB//thiL//menI//
mhpR_lacI	
miaA_hfq_hflXKC	citG//miaB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	mraY//lpxL//
mnaT_ydcZ	phnI//
mngAB	lsrG//arnA//
mnmG_rsmG	pyrD//pgk//
mntR_ybiR	
moaABCDE	dadX//sufS//
moaBCDE	hemH//
mobAB	nfsA//
modABC	rhaB//
modEF	
moeAB	garL//speC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	lhgO//
mqsRA	acnA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	prpB//pheA//arsC//ldcA//lipA//ubiC//glpB//yihT//truB//amyA//galE//
mreBCD	
mreCD	
msrPQ	
mtlADR	uxuA//mutH//rsgA//
mtn_btuF_yadS	yihV//aceE//
murB_birA	yeaG//ahr//
murQP	rutD//umpG//idnO//
murQP_yfeW	mutS//ampD//fadK//mgsA//
mutL_miaA_hfq_hflXKC	pnp//mtgA//waaJ//
mutY_yggX	cobT//
mutY_yggX_mltC	recF//cdh//
mutY_yggX_mltC_nupG	tnaA//mnmC//apaH//
nadA_pnuC	pspE//thiD//
nagBAC_umpH	pncC//pyrF//glk//
nagK_cobB	dosP//cynT//
nanATEK_yhcH	glmM//ppiB//rlmM//argH//
nanCM	pabC//acnB//
nanCMS	argK//tdcG//
napFDAGHBC	glpD//
napFDAGHBC_ccmABCDEFGH	cysC//xylA//
narGHJI	rsmC//
narWV	yagE//
narXL	
narZYWV	asnB//
nemRA	eptC//
nemRA_gloA	pgm//entE//
nfrBA	
nhaAR	ispF//
nikABCDER	gph//
nirBDC_cysG	alaA//rluD//edd//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	thiD//
nrdAB_yfaE	nudL//
nrdDG	gshA//udp//
nrdHIEF	yccX//
nrdR_ribDE_nusB_thiL_pgpA	rhaB//rnpB//pgm//fumB//
nrfABCDEFG	valS//
nsrR_rnr_rlmB_yjfI	kduD//mak//
nudB_yebC_ruvC	arsC//thiK//
nudC_hemE_nfi	arsC//paaA//
nudF_yqiB_cpdA_yqiA_parE	thiM//nrfB//
nuoABCEFGHIJKLMN	prmC//
nuoMN	nfi//
ompR_envZ	
opgGH	
oppABCDF	clsA//ilvD//
osmF_yehYXW	yfiC//
otsBA	glpB//glcF//
paaABCDEFGHIJK	cysK//ahr//yceF//ldcC//rimK//yjiA//cmoB//
paaXY	malY//
pabB_nudL	gmm//ldcA//
pabC_mltG_tmk_holB_ycfH	wecC//ybjI//hyaB//
panBC	cyaA//pykA//
panE_yajL	nadC//
paoABCD	eptA//
pcnB_folK	mtn//ubiD//
pdeI_dgcI	
pdhR_aceEF_lpd	rlmA//atoA//uvrA//bglX//moaA//glcD//
pdxA_rsmA	mutY//iaaA//
pdxA_rsmA_apaGH	proC//patZ//mtlD//
pdxB_usg_truA_dedA	birA//ttdB//
pdxH_tyrS_pdxY	ygaP//ybhA//kduI//
pdxJ_acpS	pyrB//rsgA//
pepQ_yigZ_trkH_hemG	lpd//aroL//kdsA//
pflDC	
pgaABCD	purA//rlmB//cynS//
pgk_fbaA	narG//dgcC//
pgpC_tadA	cysH//argE//
pheLA	waaS//
pheMST_ihfA	fadH//
phnCDE_1E_2FGHIJKLMNOP	agp//feaB//waaB//glf//clsB//rfe//gcl//
phnLMNOP	gltA//metA//bcsB//nth//hisB//
phoA_psiF	selB//
phoBR	
phoPQ	
pldB_yigL	dut//rutD//
plsX_fabHDG	ilvI//acpH//dusB//
pntAB	
potABCD	rfe//
potFGHI	leuD//
poxB_ltaE_ybjT	clsB//prpC//
ppdAB_ygdB_ppdC_recC	bioB//
ppdD_hofBC	
ppiB_lpxH	yjjX//tdcD//
ppk_ppx	treC//nrfC//
pqiAB	
preTA	hisG//
prfB_lysS	mnaT//
priC_ybaM	
prlC_rsmJ	sdhD//ispA//
prlF_yhaV	qor//
prmB_aroC_mepA_yfcA_epmC_yfcL	glf//tdk//mraY//mtlD//
proBA	fbaB//paaF//
proQ_prc	thrS//
proVWX	yegS//
prpBCDE	murQ//nudL//fcl//accA//
psd_mscM	
pspABCDE	ycjG//
pspBCDE	sdaA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	phnO//frdD//
pth_ychF	ampD//
ptrA_recBD	ispD//relA//
ptsA_fsaB_gldA	folB//alr//
ptsHI_crr	narZ//rlmJ//manA//
purEK	ribE//patD//
purHD	aroC//ubiA//
purMN	yidA//napC//
puuAP	metH//dxs//
puuCBE	nrfC//nagK//hcaC//
puuDRCBE	cpdA//gatY//rffH//purC//
pyrF_yciH	bioA//
pyrG_eno	dkgB//paoC//
pyrLBI	patZ//
qmcA_ybbJ	
qseBC	
radA_nadR	glpB//
rapA_rluA	aroL//
ratAB	
ravA_viaA	
rbsDACBKR	pgk//gmhB//entE//
rclABC	
rclBC	
rcnAB	dapF//
rcsDB	
rcsF_trmO	ribA//
rdgB_yggW	gcl//
rdoA_dsbA	garD//ygeX//
recAX	
recET_ralR_ydaC_xisR_intR	argI//folM//
relA_mazEF	rnd//
relBE	waaY//
relBE_hokD	nfsB//
renD_emrE	murB//
rfaD_waaFCL	nadR//galK//lpd//solA//
rfbACX	trmA//kefF//rfaD//cdh//
rfbBDACX	nfsA//gutQ//gph//dgcT//hemB//garL//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	malQ//avtA//frmB//guaA//treF//kdsC//frdB//ftnA//fucU//
rhaBAD	epmB//paaK//lldD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glgP//queC//ileS//
ribF_ileS_lspA_fkpB_ispH	maeA//tsaE//ispF//caiA//glpX//
rimK_ybjN	ydiO//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	sdhA//codA//fabF//hisD//yihU//fadE//melA//leuC//thiC//folD//
rlmE_ftsH	cdd//entC//
rlmL_uup	aceA//
rluD_yfiH	dnaQ//ribC//
rluE_nudJ	paaE//amn//
rnc_era	patD//
rnc_era_recO_pdxJ_acpS	coaA//wzb//nadK//tilS//
rnlAB	patA//
rnt_lhr	yfcF//
rpe_gph_trpS	prs//sufS//gcvT//
rph_pyrE	truD//purL//
rpiR_alsBACE	pykF//speF//
rplJL_rpoBC	fau//
rplKAJL_rpoBC	pdxK//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	rhaD//
rpmF_plsX_fabHDG	pyrD//pgm//ubiX//
rpmH_rnpA	gltX//accD//
rpmI_rplT	
rpoBC	tatD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pdxB//uvrB//scpB//
rppH_ptsP	hpt//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	oxc//
rpsO_pnp	fumB//phnO//
rpsP_rimM_trmD_rplS	gloA//
rpsU_dnaG_rpoD	katE//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	gcl//yliI//
rsmA_apaGH	ydjG//xdhA//
rsmD_yhhL	mnmA//
rsmE_gshB	patD//gatZ//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	torA//dusA//rnpA//preA//mutM//edd//fadJ//yfcF//garR//gor//yrfG//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hcaB//
rtcBA	selD//ddlB//
rutABCDEFG	yliI//mltC//uvrA//nrfA//udp//rsmH//
ruvAB	nanE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rfbD//
scpA_argK_scpBC	dusB//udk//rnb//nrfC//
sdaCB	waaA//mnmG//
sdhCDAB_sucABCD	thiH//rlmD//galK//purT//
sdhDAB	
sdhE_cptA	
secB_gpsA	cmoB//
secE_nusG	
secG_leuU	
secMA_mutT	hemB//
selAB	lpxA//yqjH//
selD_topB	mltA//purE//
seqA_pgm	yeiR//
serB_radA	pncC//
serC_aroA	ulaD//pabB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	appA//
sgrST_setA	iaaA//
skp_lpxD_fabZ_lpxA	ynfE//folC//sodB//
slp_dctR	
solA_yceO	sgbH//
speAB	nudL//rlmC//
speF_potE	yihT//fadD//
srlAEBD_gutM_srlR_gutQ	mhpE//mutS//ispB//
sroG_ribB	rsmI//
sspAB	
ssrS_fau	pyrC//
ssuEADCB	argH//sdaA//trpC//
stfE_tfaE	
sucAB	hcaD//murI//eda//
sucABCD	otsB//miaA//acnA//apt//
sufABCDSE	allD//
surA_pdxA_rsmA_apaGH	glcF//dgcC//nagZ//mltF//
tag_yiaC	ldtB//
talA_tktB	lpxP//panE//
tamAB_ytfP	
tar_tap_cheRBYZ	gntK//mcrA//
tatABC	yagF//
tatABCD	hycD//atoB//
tauABCD	bacA//pyrC//
tdcABCDEFG	pfkB//lpoA//kdsD//puuB//ispG//
tdcBCDEFG	nanK//allE//bioF//pdeR//mobA//
tehAB	rsmI//feaB//
tesA_ybbO	sad//ssuD//
tff_rpsB_tsf	
tgt_yajC	thrA//
thiCEFSGH	tilS//puuA//rbn//trmA//ydiO//
thiMD	thiM//rlmC//
thrLABC	eptB//dusC//uxaA//
thrS_infC	alsE//
thrS_infC_rpmI_rplT_pheMST_ihfA	ndk//mutH//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	wrbA//gadB//
tolB_pal_cpoB	
tolC_ygiABC	aceA//metB//rlmJ//tdcD//dosC//appA//cpsG//suhB//thiF//
tomB_hha	
topAI_yjhQ	
torCAD	yihX//
torYZ	bcsZ//
treBC	tsaC//pncC//
trmI_yggL	miaB//
trpCBA	pbpC//tdcD//paaK//rluA//
trpLEDCBA	luxS//roxA//yhhW//gapA//rffC//chbG//
tsaB_yeaY	nanM//
tsaE_amiB_mutL_miaA_hfq_hflXKC	melA//chbG//lpcA//yfaU//nemA//
ttdABT	hinT//aroA//
tyrS_pdxY	thrB//fadK//
tyrTV_tpr	
tyrV_tpr	
ubiCA	hcaC//iscS//
ubiEJB	icd//
udk_dcd	garK//lacA//
ugpBAECQ	trmL//queC//
uhpABC	
uidABC	puuB//puuC//
ulaABCDEF	waaH//sodC//gnd//moeB//
umpG_pcm	yihU//azoR//
umuDC	fcl//
uof_fur	
upp_uraA	rsmA//gshB//
usg_truA_dedA	purH//
uvrYC	ubiH//
uxaCA	ulaD//galE//
uxuAB	wbbI//phnJ//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	iaaA//ugd//
waaQGPSBOJYZU	eutB//glgA//ilvG_2//dgt//entD//ubiC//araB//trpC//dacA//nadC//
waaYZ	tsaB//ynjE//
waaZU	rdoA//prs//
wbbIJK	glgB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	yniC//gadB//gpmM//tdcE//nrdB//thiH//
wcaKLM	
wrbA_yccJ	nagB//
wza_wzb_wzc	narY//metE//
wza_wzb_wzc_wcaAB	paaG//mutH//
xanQ_guaD_ghxQ	ubiC//ligA//ligA//
xapAB	nudI//phnI//
xdhABC	trpB//
xerD_dsbC_recJ	yihS//aroK//
xseB_ispA_dxs_yajO	hcp//curA//yieH//paaG//
xylAB	cmoB//xylA//
xylFGHR	gmhB//
yabPQ	
yacC_speED	manA//mqo//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	serB//
yafDE	
yafNOP	putA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	argS//gmm//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hycC//
ybaB_recR	yeiG//
ybaST	tdcD//
ybbAP	
ybbY_glxK	argS//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	nanE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	narG//
ybeZY	
ybeZYX_lnt	ulaF//
ybfHG	
ybfOC	
ybgA_phr	pphA//
ybgC_tolQRA	
ybgIJKL_nei	tmcA//
ybgQPO	
ybhP_clsB_ybhN	mutT//
ybiYW	
ybjC_nfsA_rimK_ybjN	hcaF//rihC//
ybjJI	fabH//
ybjO_rlmC	caiC//
ybjQ_amiD	ldtC//
ycaI_msbA_lpxK_ycaQ	ygaP//yjcS//
ycaR_kdsB	murQ//
ycbK_gloC	hcaB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	speB//
yciCB	
yciGFE	
yciK_btuR	purB//
yciVOQ	ribA//
yciZT	
ycjMNOPQRSTUV_ymjB	entF//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	glgP//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	aphA//aceF//
ydcSTUV_patD	tdcG//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	alkB//
ydgK_rsxABCDGE_nth	ghrA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	mnmG//hcaC//
ydiJ_menI_ydiH	ydiF//
ydiNB_aroD	thrS//truC//
ydiQRST_fadK	nagK//
ydjA_selD_topB	rlmE//tktA//
ydjLKJIHG	rffC//
ydjXYZ_ynjABCD	
yeaGH	ilvG_1//
yeaR_yoaG	
yeaVW	
yebC_ruvC	argS//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	abgB//ldhA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rsuA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	cueO//rutE//
yejABEF	nagZ//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mrdA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	coaA//
yfbUT	ldhA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
