# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yqjG//
glgBXCAP	moeA//eno//hycD//citG//dgkA//
glgCAP	narZ//galE//purN//
glmUS	leuD//hemE//
glnALG	waaZ//
glnHPQ	lsrK//
glnK_amtB	psuG//
glnLG	
glnW_metU_glnVX	
glpABC	aslA//
glpEGR	oxc//cysE//
glpFKX	lpxL//mhpB//treC//
glpGR	hisS//
glpTQ	arsC//wrbA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	glnE//
glvCBG_ysdC	
glyQS	yagE//
glyVXY	
glyW_cysT_leuZ	
gntKU	birA//cobU//
gntRKU	rlmG//argK//
gntX_nfuA	
gpmM_envC_yibQ	mug//rdoA//
groSL	
gspAB	
gspCDEFGHIJKLMO	pfkB//
guaBA	nfi//nadE//
gudPXD	mhpE//anmK//
hcaEFCBD	aroC//galT//
hcp_hcr	srlD//prpB//
hdeAB_yhiD	
hemA_prfA_prmC	pflB//rnpB//
hemCDXY	queA//yihU//
hflD_purB	araA//
hfq_hflXKC	aroE//
hicAB	
higBA	aslA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	eda//gloC//trpC//miaA//
hipBA	mnmA//
hisBHAFI	hcp//rfe//hpt//lpxH//
hisJQMP	adhP//nadK//
hisLGDCBHAFI	dosP//fkpB//pdeL//mhpE//gmm//btuE//maeA//
hofMNOP	
holC_valS	galU//
holD_rimI_yjjG	wzc//nrfA//
hscBA_fdx_iscX	purT//
hsdMS	paaB//
hsdRMS	ispD//
hslRO	
hslVU	nrdA//
hyaABCDEF	
hybOABCDEFG	idnD//
hycABCDEFGHI	glpQ//gloC//
hydN_hypF	pflB//
hyfABCDEFGHIJR_focB	ldtA//
hypABCDE	rbsD//
hypABCDE_fhlA	garL//
hypBCDE	mak//
hypBCDE_fhlA	gss//
iaaA_gsiABCD	lacZ//der//
ibaG_murA	fkpA//
ibpAB	
idnDOTR	fadK//lpoB//kdsB//
ileS_lspA_fkpB_ispH	gltX//murC//mmuM//uxaC//
ilvEDA	dmlA//rluA//yhdH//rsmH//
ilvIH	pdeL//
ilvLXG_1G_2MEDA	trpS//paaE//der//rutB//fruK//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	suhB//
insN_1I_1O_1	dadX//
insO_2_yjhWV	
iscRSUA	rsuA//selB//
ispDF	dkgB//trpC//
ispG_sroE	pabB//
isrC_flu	
ivbL_ilvBN	upp//
ivbL_ilvBN_uhpABC	lldD//
kbaZ_agaVWA	ppsA//
kbl_tdh	argE//tdcB//
kdpDE	
kdpFABC	malP//
kdsC_lptCAB	puuD//dcyD//
kefFC	yjjG//otsA//
kefGB_yheV	hemD//
kilR_ydaE	
lacYA	gdhA//rlmA//
lacZYA	ispU//waaL//dgkA//
lapAB	
lapAB_pyrF_yciH	hemH//
lepAB	ileS//
leuLABCD	metL//tmk//rdoA//
leuQPV	
leuS_lptE_holA_nadD_cobC	yihU//adhE//epd//
lexA_dinF	
lgt_thyA	fumA//rsmB//
ligA_ypeB	ycaO//
livKHMGF	purE//thiG//
lldPRD	pykA//lpxC//
lolA_rarA	
lolB_ispE_prs	paaI//ribA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	hyuA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	epmA//narY//
lptFG	
lspA_fkpB_ispH	fre//yfbT//purK//
lsrACDBFG_tam	ada//ppx//gpt//scpA//
lsrRK	yjhH//
ltaE_ybjT	metF//
lysT_valT_lysW	
macAB	bioH//
malEFG	ubiF//
malK_lamB_malM	pyrD//polB//
malPQ	hyaC//btuR//
malXY	fes//lhgO//
manXYZ	xapA//
map_glnD_dapD	caiB//fsaA//mutY//
marRAB	
mazEFG	selB//
mcrBC	ribD//
mdlAB	
mdtABCD_baeSR	nrdF//
mdtEF	tyrB//
mdtJI	menH//
mdtM_yjiN	hemF//
mdtNOP	gcvT//
melAB	rpe//torC//
menA_rraA	ymdB//
menBCE	ldtC//kdsB//dinB//
menDHBCE	menF//wecB//eda//folK//folA//
menFDHBCE	napC//glmU//yfcG//umpH//rffH//serC//
metBL	rrrD//prs//
metNIQ	entB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	clsB//yqhD//patA//
metZWV	
mglAC	nudF//
mglBAC	murD//
mgtLA	pncB//
mhpABCDFE	queD//malQ//hisG//menD//gldA//napB//
mhpR_lacI	
miaA_hfq_hflXKC	cysI//thiI//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	glpE//cysE//
mnaT_ydcZ	luxS//
mngAB	hycD//tdcD//
mnmG_rsmG	gshA//rffT//
mntR_ybiR	
moaABCDE	rluC//uxaB//
moaBCDE	azoR//
mobAB	fucU//
modABC	mpaA//
modEF	
moeAB	ndh//yihU//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	fklB//
mqsRA	nudL//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nudE//torC//hyuA//pgpC//ldtE//eptA//rdoA//xdhB//rffT//adhE//lyxK//
mreBCD	
mreCD	
msrPQ	
mtlADR	fabH//adhP//gapA//
mtn_btuF_yadS	hycE//dfp//
murB_birA	speA//rfaE//
murQP	speG//glpD//adeD//
murQP_yfeW	wrbA//adiA//rsgA//mutL//
mutL_miaA_hfq_hflXKC	insI-2//ilvD//caiC//
mutY_yggX	mog//
mutY_yggX_mltC	umpH//ybhA//
mutY_yggX_mltC_nupG	folC//tdcD//glxR//
nadA_pnuC	yfbT//carB//
nagBAC_umpH	nadB//nagK//cynT//
nagK_cobB	cysM//sdhA//
nanATEK_yhcH	rffC//queF//queG//gloB//
nanCM	torY//tam//
nanCMS	rihC//ubiG//
napFDAGHBC	rutE//
napFDAGHBC_ccmABCDEFGH	yjjX//rnt//
narGHJI	adiA//
narWV	tdcE//
narXL	
narZYWV	ldtD//
nemRA	mltD//
nemRA_gloA	aroC//insI-2//
nfrBA	
nhaAR	rbn//
nikABCDER	hemN//
nirBDC_cysG	queG//dacA//tam//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rutB//
nrdAB_yfaE	ldtD//
nrdDG	ileS//fbp//
nrdHIEF	dkgB//
nrdR_ribDE_nusB_thiL_pgpA	fcl//gldA//asd//argB//
nrfABCDEFG	abgA//
nsrR_rnr_rlmB_yjfI	waaA//yagE//
nudB_yebC_ruvC	folP//betA//
nudC_hemE_nfi	miaA//nanK//
nudF_yqiB_cpdA_yqiA_parE	ribA//thiK//
nuoABCEFGHIJKLMN	entF//
nuoMN	pphB//
ompR_envZ	
opgGH	
oppABCDF	rluF//paaJ//
osmF_yehYXW	rsmJ//
otsBA	dnaE//yeaE//
paaABCDEFGHIJK	spoT//glnE//umuD//dgkA//mcrB//dcd//guaD//
paaXY	dapA//
pabB_nudL	murC//epmB//
pabC_mltG_tmk_holB_ycfH	ubiC//asd//prmC//
panBC	ilvC//lplA//
panE_yajL	allD//
paoABCD	ldtC//
pcnB_folK	gpmM//rbsK//
pdeI_dgcI	
pdhR_aceEF_lpd	tam//sdhC//glnE//entC//fsaA//rutA//
pdxA_rsmA	alr//feaB//
pdxA_rsmA_apaGH	nudI//ndh//nfsA//
pdxB_usg_truA_dedA	ubiG//metL//
pdxH_tyrS_pdxY	adhE//fabD//ada//
pdxJ_acpS	serC//ldtD//
pepQ_yigZ_trkH_hemG	dnaE//yieH//yeaG//
pflDC	
pgaABCD	yieF//pyrI//dfp//
pgk_fbaA	rfaE//pabC//
pgpC_tadA	efeB//kdgK//
pheLA	ybiV//
pheMST_ihfA	fadE//
phnCDE_1E_2FGHIJKLMNOP	argB//yihX//nudI//hchA//rlmH//thiC//argD//
phnLMNOP	galE//lgoD//mepS//eptC//pgpA//
phoA_psiF	glyS//
phoBR	
phoPQ	
pldB_yigL	gor//ribC//
plsX_fabHDG	yeiR//ghrA//rsmF//
pntAB	
potABCD	hisD//
potFGHI	arnC//
poxB_ltaE_ybjT	mcrB//ribE//
ppdAB_ygdB_ppdC_recC	waaL//
ppdD_hofBC	
ppiB_lpxH	recF//tsaB//
ppk_ppx	yqaB//ssuE//
pqiAB	
preTA	ygeX//
prfB_lysS	dusC//
priC_ybaM	
prlC_rsmJ	hyaA//fucU//
prlF_yhaV	dkgB//
prmB_aroC_mepA_yfcA_epmC_yfcL	sucD//fsaA//ftnA//pyrG//
proBA	yhdH//epd//
proQ_prc	bacA//
proVWX	selD//
prpBCDE	purB//nagB//solA//yfcG//
psd_mscM	
pspABCDE	malQ//
pspBCDE	kdsD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	rutA//gmm//
pth_ychF	ribE//
ptrA_recBD	cysQ//sbcB//
ptsA_fsaB_gldA	puuE//recG//
ptsHI_crr	wzc//dnaE//pagP//
purEK	ilvG_2//ruvC//
purHD	scpB//astB//
purMN	pabC//tadA//
puuAP	pphB//ppk//
puuCBE	ndh//mqo//nrdB//
puuDRCBE	yqjH//dgcT//mhpF//hycF//
pyrF_yciH	fadB//
pyrG_eno	cof//lyxK//
pyrLBI	nudL//
qmcA_ybbJ	
qseBC	
radA_nadR	ltaE//
rapA_rluA	metF//
ratAB	
ravA_viaA	
rbsDACBKR	glnE//mcrB//atoA//
rclABC	
rclBC	
rcnAB	asd//
rcsDB	
rcsF_trmO	anmK//
rdgB_yggW	ispA//
rdoA_dsbA	kduI//pflB//
recAX	
recET_ralR_ydaC_xisR_intR	metL//frlD//
relA_mazEF	yigL//
relBE	yqjH//
relBE_hokD	recG//
renD_emrE	rne//
rfaD_waaFCL	lgoD//aroF//nudB//speE//
rfbACX	mnmA//menC//ispE//dacD//
rfbBDACX	ldhA//mgsA//phnI//purF//fkpA//katG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	allC//yeaE//serC//bcsA//rffG//xdhB//efeB//mhpC//guaD//
rhaBAD	nanA//tynA//ilvE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glyQ//yjjG//cysH//
ribF_ileS_lspA_fkpB_ispH	dgcC//ghrA//coaD//pldB//gcvP//
rimK_ybjN	atoB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	cyaA//ampC//kdgK//bglA//mhpD//paaG//umuD//hisS//dsdA//ispA//
rlmE_ftsH	ispA//kefF//
rlmL_uup	ada//
rluD_yfiH	lysS//ugpQ//
rluE_nudJ	mhpD//purU//
rnc_era	purM//
rnc_era_recO_pdxJ_acpS	ldtE//insI-2//can//adhP//
rnlAB	glpQ//
rnt_lhr	avtA//
rpe_gph_trpS	orn//pgm//kbaY//
rph_pyrE	murC//wrbA//
rpiR_alsBACE	edd//recF//
rplJL_rpoBC	astC//
rplKAJL_rpoBC	lpoB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	frdB//
rpmF_plsX_fabHDG	ydfG//recO//rbsK//
rpmH_rnpA	csdA//wcaJ//
rpmI_rplT	
rpoBC	hyaA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	appA//ycaO//hemE//
rppH_ptsP	pinE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	tauD//
rpsO_pnp	fabA//rhaA//
rpsP_rimM_trmD_rplS	pgi//
rpsU_dnaG_rpoD	cdsA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	gpp//ycjU//
rsmA_apaGH	dapE//panC//
rsmD_yhhL	waaZ//
rsmE_gshB	hisS//adiA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fucU//yhdJ//pnp//ybjI//hinT//hisB//pgk//cysC//hemC//hycE//umpG//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	amyA//
rtcBA	ansB//polB//
rutABCDEFG	hemN//miaA//ilvI//glpB//frdD//rfaE//
ruvAB	menE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	pyrI//
scpA_argK_scpBC	ghrB//nanK//rfaE//yfcF//
sdaCB	ampH//gatY//
sdhCDAB_sucABCD	glmS//gcvH//pncB//yfcG//
sdhDAB	
sdhE_cptA	
secB_gpsA	ybjG//
secE_nusG	
secG_leuU	
secMA_mutT	ydjG//
selAB	gnd//pfkA//
selD_topB	guaC//qor//
seqA_pgm	frdC//
serB_radA	bglA//
serC_aroA	pgaB//dnaE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	bfr//
sgrST_setA	recR//
skp_lpxD_fabZ_lpxA	moaE//pyrD//cysS//
slp_dctR	
solA_yceO	ubiA//
speAB	paoC//nirB//
speF_potE	gadB//appA//
srlAEBD_gutM_srlR_gutQ	aceB//gloA//gor//
sroG_ribB	frlD//
sspAB	
ssrS_fau	fdhF//
ssuEADCB	phnN//clsB//ribB//
stfE_tfaE	
sucAB	fumC//ydiB//yfbR//
sucABCD	glpC//ubiI//dapA//dam//
sufABCDSE	ilvG_1//
surA_pdxA_rsmA_apaGH	mpl//phnN//gatZ//kduI//
tag_yiaC	epmC//
talA_tktB	ilvM//murC//
tamAB_ytfP	
tar_tap_cheRBYZ	argF//ligA//
tatABC	ttdA//
tatABCD	ilvC//mnmC//
tauABCD	speG//cmoA//
tdcABCDEFG	entF//waaP//truA//tdcB//metG//
tdcBCDEFG	nudF//ugd//trmI//pdxY//katG//
tehAB	cueO//ndh//
tesA_ybbO	glcF//rffM//
tff_rpsB_tsf	
tgt_yajC	dadX//
thiCEFSGH	dusC//waaB//ribD//bioF//aroE//
thiMD	ydjG//paaJ//
thrLABC	fbaA//tpiA//aspC//
thrS_infC	rph//
thrS_infC_rpmI_rplT_pheMST_ihfA	gcvP//rsmJ//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gcl//caiB//
tolB_pal_cpoB	
tolC_ygiABC	sufS//psd//yihU//bcsA//ilvM//puuA//mcrB//fabF//alr//
tomB_hha	
topAI_yjhQ	
torCAD	rpe//
torYZ	tdcB//
treBC	ribB//clsB//
trmI_yggL	aroK//
trpCBA	purD//araD//ileS//tatD//
trpLEDCBA	alsE//ispH//ppiC//pgi//leuD//lacA//
tsaB_yeaY	rlmA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	aspC//ydfG//bioB//tmk//phnJ//
ttdABT	carB//cmk//
tyrS_pdxY	yiaK//entF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	cynT//allB//
ubiEJB	pdxH//
udk_dcd	ppiB//fumA//
ugpBAECQ	etk//torY//
uhpABC	
uidABC	dcyD//ampC//
ulaABCDEF	alkA//arnT//glmS//nudC//
umpG_pcm	purD//hpt//
umuDC	cysH//
uof_fur	
upp_uraA	kbaZ//hinT//
usg_truA_dedA	aroG//
uvrYC	yfaU//
uxaCA	dgoD//aspS//
uxuAB	accD//waaU//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	kdgK//thiD//
waaQGPSBOJYZU	sucC//rhaM//ispG//der//metH//pyrC//rffT//dxs//glcE//ppiA//
waaYZ	ubiF//cdsA//
waaZU	nagB//tadA//
wbbIJK	mutS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	yfiH//pgpA//deoA//sad//eutB//proC//
wcaKLM	
wrbA_yccJ	fadI//
wza_wzb_wzc	garR//yieF//
wza_wzb_wzc_wcaAB	proS//dgcM//
xanQ_guaD_ghxQ	rsmF//rph//frlC//
xapAB	epmA//eda//
xdhABC	eno//
xerD_dsbC_recJ	mcrC//purU//
xseB_ispA_dxs_yajO	nadC//truD//fabZ//glk//
xylAB	cmoA//rhaM//
xylFGHR	scpB//
yabPQ	
yacC_speED	kduD//upp//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	murE//
yafDE	
yafNOP	trpB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	cobT//thrB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	glf//
ybaB_recR	alkA//
ybaST	bglX//
ybbAP	
ybbY_glxK	mhpD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	paaI//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	tmk//
ybeZY	
ybeZYX_lnt	hisG//
ybfHG	
ybfOC	
ybgA_phr	ampC//
ybgC_tolQRA	
ybgIJKL_nei	paaG//
ybgQPO	
ybhP_clsB_ybhN	ydjG//
ybiYW	
ybjC_nfsA_rimK_ybjN	waaC//proB//
ybjJI	cadA//
ybjO_rlmC	mrcB//
ybjQ_amiD	tktB//
ycaI_msbA_lpxK_ycaQ	fabD//fucO//
ycaR_kdsB	ygiF//
ycbK_gloC	aceF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	mhpF//
yciCB	
yciGFE	
yciK_btuR	insI-2//
yciVOQ	yjhG//
yciZT	
ycjMNOPQRSTUV_ymjB	coaE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	thiI//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yfbT//yghU//
ydcSTUV_patD	rlmH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pdeH//
ydgK_rsxABCDGE_nth	ldtE//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	asd//ynfH//
ydiJ_menI_ydiH	argF//
ydiNB_aroD	rdoA//yrfG//
ydiQRST_fadK	cpsB//
ydjA_selD_topB	ymdB//yjcS//
ydjLKJIHG	dcyD//
ydjXYZ_ynjABCD	
yeaGH	rlmD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	glnS//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	truA//mrcB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	nanK//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	eptA//emtA//
yejABEF	hyaC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	trmJ//
yfaX_rhmD	
yfaX_rhmD_yfaVU	glgA//
yfbUT	purT//
yfcUTSRQPO	
