# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rhaA//
fryBC_ypdFE_fryA	alaC//fre//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	garR//mutS//etp//cobU//recF//gdhA//mtn//moaE//glcE//entH//
ftsQAZ	
ftsYEX	
fucAO	cobC//fkpB//
fucPIKUR	nudE//hisA//hyi//frlC//
fumAC	preA//queC//
fusA_tufA	
gabDTP	mpaA//ruvC//pdxH//
gadAX	mqo//
gadBC	kduI//tsaC//
gadEF	
gadEF_mdtEF	nrfB//
gadXW	
galET	guaC//yfeW//
galETK	folX//aroG//menC//
galETKM	lsrK//hisD//speG//talB//
gapA_yeaD	epmC//
gapC_1C_2	
garPLRK_rnpB	cheB//ygjK//purL//ppiC//moeA//rlmL//
gatYZABCD	gmd//gatD//purD//
gatZABCD	murC//moaA//ldtA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hcaB//adhP//lpd//purK//aldA//
gcvTHP	ttdB//ldcA//asnB//
gfcBCD	
gfcE_etp_etk	rnt//pnp//
ghoST	gstB//
glcBA	astE//rsuA//
glcDEFGBA	aphA//tktA//rnd//
glf_wbbH	glpC//
glgAP	ruvB//aroG//
glgBXCAP	glpD//yghA//ldcA//katG//gluQ//
glgCAP	nanE//frc//dkgB//
glmUS	cpdB//hisB//
glnALG	codA//
glnHPQ	allC//
glnK_amtB	serS//
glnLG	
glnW_metU_glnVX	
glpABC	torC//
glpEGR	ogt//glxR//
glpFKX	tdcD//ilvB//ribD//
glpGR	thiL//
glpTQ	prmC//pgm//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	xapA//
glvCBG_ysdC	
glyQS	argK//
glyVXY	
glyW_cysT_leuZ	
gntKU	maeB//dgkA//
gntRKU	araD//uvrA//
gntX_nfuA	
gpmM_envC_yibQ	cysQ//ampC//
groSL	
gspAB	
gspCDEFGHIJKLMO	lysU//
guaBA	proB//apt//
gudPXD	accC//kdgK//
hcaEFCBD	ybiV//rfbC//
hcp_hcr	pgaC//entE//
hdeAB_yhiD	
hemA_prfA_prmC	nudI//gatD//
hemCDXY	panB//recO//
hflD_purB	lgoD//
hfq_hflXKC	dxr//
hicAB	
higBA	atoD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hyaA//puuD//nadR//der//
hipBA	gpmA//
hisBHAFI	rsmI//yigL//dapD//adhE//
hisJQMP	lpxH//gcvP//
hisLGDCBHAFI	cysK//thiG//carB//fcl//mpl//gdhA//narY//
hofMNOP	
holC_valS	ycjU//
holD_rimI_yjjG	gloC//acpH//
hscBA_fdx_iscX	cpsG//
hsdMS	pgaC//
hsdRMS	bcsA//
hslRO	
hslVU	queD//
hyaABCDEF	
hybOABCDEFG	nrfD//
hycABCDEFGHI	ghrB//tdcE//
hydN_hypF	uxaC//
hyfABCDEFGHIJR_focB	nadC//
hypABCDE	atoD//
hypABCDE_fhlA	pdxJ//
hypBCDE	alaS//
hypBCDE_fhlA	dusA//
iaaA_gsiABCD	ispA//birA//
ibaG_murA	trpB//
ibpAB	
idnDOTR	scpB//nfi//mak//
ileS_lspA_fkpB_ispH	amiD//phnG//yicI//proA//
ilvEDA	glgC//trmI//hisA//rfbD//
ilvIH	rsmJ//
ilvLXG_1G_2MEDA	glxK//pyrD//argB//frdC//hemD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	caiC//
insN_1I_1O_1	nadA//
insO_2_yjhWV	
iscRSUA	fadB//ubiC//
ispDF	der//deoC//
ispG_sroE	aceA//
isrC_flu	
ivbL_ilvBN	proA//
ivbL_ilvBN_uhpABC	yhdJ//
kbaZ_agaVWA	cdd//
kbl_tdh	tktA//rhaD//
kdpDE	
kdpFABC	pncB//
kdsC_lptCAB	yciV//dxs//
kefFC	polA//lsrF//
kefGB_yheV	lpd//
kilR_ydaE	
lacYA	pepD//rdoA//
lacZYA	fau//gsk//glcF//
lapAB	
lapAB_pyrF_yciH	glmM//
lepAB	fucO//
leuLABCD	clsB//dacA//galU//
leuQPV	
leuS_lptE_holA_nadD_cobC	idnK//preT//pbpC//
lexA_dinF	
lgt_thyA	ybhA//nrfC//
ligA_ypeB	lpxA//
livKHMGF	trxB//adhE//
lldPRD	glpQ//pabB//
lolA_rarA	
lolB_ispE_prs	mtgA//adeD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	mltD//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	clsA//waaP//
lptFG	
lspA_fkpB_ispH	yccX//nudF//cobS//
lsrACDBFG_tam	treC//epmC//nanM//araA//
lsrRK	hisH//
ltaE_ybjT	glgC//
lysT_valT_lysW	
macAB	waaQ//
malEFG	citC//
malK_lamB_malM	lpxD//accB//
malPQ	tdcE//murB//
malXY	yeiR//udk//
manXYZ	fucU//
map_glnD_dapD	frdD//pyrB//gntK//
marRAB	
mazEFG	nudB//
mcrBC	dcm//
mdlAB	
mdtABCD_baeSR	trpE//
mdtEF	hcp//
mdtJI	nadD//
mdtM_yjiN	lplA//
mdtNOP	fabZ//
melAB	asnS//gmd//
menA_rraA	hemE//
menBCE	argK//hypF//kdsA//
menDHBCE	folC//queG//ndh//aroH//mtgA//
menFDHBCE	dgoA//fabF//yjhG//ung//dhaK//hpt//
metBL	gmk//kdsC//
metNIQ	queD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	lpxP//menE//cpsB//
metZWV	
mglAC	nrfA//
mglBAC	ghrA//
mgtLA	ada//
mhpABCDFE	dhaK//patD//dgt//yghA//xylB//yiaK//
mhpR_lacI	
miaA_hfq_hflXKC	pfkA//glgX//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	trpC//tdcB//
mnaT_ydcZ	lpxB//
mngAB	frdA//rhaM//
mnmG_rsmG	mdh//thiE//
mntR_ybiR	
moaABCDE	yneH//entA//
moaBCDE	nrdE//
mobAB	talA//
modABC	waaZ//
modEF	
moeAB	frmB//sgbU//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	amiD//
mqsRA	ybhA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cheB//opgE//kduD//polA//gutQ//dld//gshA//eptC//dhaL//paaY//pdxH//
mreBCD	
mreCD	
msrPQ	
mtlADR	dfp//thiG//oxc//
mtn_btuF_yadS	waaU//mhpD//
murB_birA	caiC//fadI//
murQP	gpsA//panC//sucA//
murQP_yfeW	ubiC//rluD//yjhH//hmp//
mutL_miaA_hfq_hflXKC	dinB//ldcC//fruK//
mutY_yggX	trpA//
mutY_yggX_mltC	hisI//aceB//
mutY_yggX_mltC_nupG	nrfC//ychF//ruvB//
nadA_pnuC	speC//hycG//
nagBAC_umpH	rfbD//rsmG//tsaB//
nagK_cobB	dgcC//plsC//
nanATEK_yhcH	rlmH//tdk//mhpC//fumA//
nanCM	galE//ghrB//
nanCMS	hdhA//ssuE//
napFDAGHBC	rrrD//
napFDAGHBC_ccmABCDEFGH	garR//cmoB//
narGHJI	gcl//
narWV	yigB//
narXL	
narZYWV	xdhB//
nemRA	gpsA//
nemRA_gloA	mhpB//serB//
nfrBA	
nhaAR	sdhD//
nikABCDER	rluB//
nirBDC_cysG	aceA//galE//argF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	yfiC//
nrdAB_yfaE	ydiO//
nrdDG	fadB//citE//
nrdHIEF	thyA//
nrdR_ribDE_nusB_thiL_pgpA	ribA//cdh//yfdE//napC//
nrfABCDEFG	yibQ//
nsrR_rnr_rlmB_yjfI	dgcC//ligA//
nudB_yebC_ruvC	wecB//gnd//
nudC_hemE_nfi	ispB//add//
nudF_yqiB_cpdA_yqiA_parE	sdhD//ruvC//
nuoABCEFGHIJKLMN	ndh//
nuoMN	pdxY//
ompR_envZ	
opgGH	
oppABCDF	malQ//mnmG//
osmF_yehYXW	dmsA//
otsBA	epmA//pdxB//
paaABCDEFGHIJK	fsaA//thiM//pfkA//trpS//hemE//fadA//purL//
paaXY	purL//
pabB_nudL	hisI//puuB//
pabC_mltG_tmk_holB_ycfH	ydiB//lpoA//thiH//
panBC	paaK//bioA//
panE_yajL	tdcE//
paoABCD	eutD//
pcnB_folK	ycjU//wcaJ//
pdeI_dgcI	
pdhR_aceEF_lpd	ruvC//dkgA//ydjG//yfiC//rluE//mpaA//
pdxA_rsmA	ssuD//frlD//
pdxA_rsmA_apaGH	gmhB//napA//phoA//
pdxB_usg_truA_dedA	manA//ubiH//
pdxH_tyrS_pdxY	kdgK//rsgA//thiL//
pdxJ_acpS	phnM//ansA//
pepQ_yigZ_trkH_hemG	preA//metC//psuG//
pflDC	
pgaABCD	ghrB//gatZ//mutT//
pgk_fbaA	pgaB//asnS//
pgpC_tadA	nrdA//uxaB//
pheLA	pinE//
pheMST_ihfA	rlmD//
phnCDE_1E_2FGHIJKLMNOP	cdd//tcdA//yicI//fumA//nirD//tnaA//betB//
phnLMNOP	nrdD//pdxB//dapD//waaL//napB//
phoA_psiF	aceA//
phoBR	
phoPQ	
pldB_yigL	gpsA//tnaA//
plsX_fabHDG	insI-2//gsk//bioH//
pntAB	
potABCD	aroL//
potFGHI	ubiD//
poxB_ltaE_ybjT	hycC//adk//
ppdAB_ygdB_ppdC_recC	rrrD//
ppdD_hofBC	
ppiB_lpxH	ydjG//gloA//
ppk_ppx	sgbU//cysE//
pqiAB	
preTA	tyrA//
prfB_lysS	gcvH//
priC_ybaM	
prlC_rsmJ	rffH//xdhA//
prlF_yhaV	dgcC//
prmB_aroC_mepA_yfcA_epmC_yfcL	argA//lacA//fumB//idnD//
proBA	ldtC//add//
proQ_prc	rluB//
proVWX	relA//
prpBCDE	yhhW//nudB//cadA//pdeF//
psd_mscM	
pspABCDE	mog//
pspBCDE	aldB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	hpt//rnt//
pth_ychF	pgpA//
ptrA_recBD	cysE//gapA//
ptsA_fsaB_gldA	polA//dgoK//
ptsHI_crr	aspS//glmM//ulaE//
purEK	speA//pphA//
purHD	epd//lacA//
purMN	yfdE//hycB//
puuAP	trmA//frdC//
puuCBE	epd//fsaB//tadA//
puuDRCBE	atoA//polB//gstA//pta//
pyrF_yciH	maa//
pyrG_eno	caiA//rlmM//
pyrLBI	thiH//
qmcA_ybbJ	
qseBC	
radA_nadR	gmm//
rapA_rluA	mltB//
ratAB	
ravA_viaA	
rbsDACBKR	pphA//alsK//lpxD//
rclABC	
rclBC	
rcnAB	pphB//
rcsDB	
rcsF_trmO	nth//
rdgB_yggW	cdh//
rdoA_dsbA	wbbI//ileS//
recAX	
recET_ralR_ydaC_xisR_intR	nadD//trpE//
relA_mazEF	ravA//
relBE	pheT//
relBE_hokD	appA//
renD_emrE	ubiI//
rfaD_waaFCL	appA//frdC//waaS//gph//
rfbACX	mqo//queA//katG//mug//
rfbBDACX	ilvE//yfiC//asd//eutD//uidA//accB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	bglA//pnp//glmS//lpxD//cof//yjhG//rdoA//murF//ybjI//
rhaBAD	hemE//mug//ravA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ahpF//lacZ//gatY//
ribF_ileS_lspA_fkpB_ispH	udp//xdhC//entF//dkgA//yqaB//
rimK_ybjN	bioA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pabB//dadA//def//fsaA//purU//cmk//cobT//fabI//pdxJ//puuA//
rlmE_ftsH	ogt//scpB//
rlmL_uup	trmL//
rluD_yfiH	hypF//murD//
rluE_nudJ	purF//yfdR//
rnc_era	sucD//
rnc_era_recO_pdxJ_acpS	tynA//guaB//manA//ubiF//
rnlAB	rlmC//
rnt_lhr	murC//
rpe_gph_trpS	rfbA//gcvT//murI//
rph_pyrE	trpS//queD//
rpiR_alsBACE	eptB//cadA//
rplJL_rpoBC	argA//
rplKAJL_rpoBC	kdsB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gudD//
rpmF_plsX_fabHDG	mltF//rdgB//nfi//
rpmH_rnpA	panE//yfiH//
rpmI_rplT	
rpoBC	amyA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pck//yliI//pyrE//
rppH_ptsP	ugpQ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	wecC//
rpsO_pnp	glpC//pldA//
rpsP_rimM_trmD_rplS	avtA//
rpsU_dnaG_rpoD	pgpB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	yfiC//gmd//
rsmA_apaGH	melA//cpsG//
rsmD_yhhL	lyxK//
rsmE_gshB	thiM//nrfD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	panC//paaF//aslA//hemF//leuS//rffH//kdsD//truD//rbsK//appA//hisF//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ispB//
rtcBA	dacD//cheB//
rutABCDEFG	rlmH//rsuA//nth//malY//rffH//cof//
ruvAB	ybdL//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rlmH//
scpA_argK_scpBC	cysM//der//hinT//mqo//
sdaCB	phnP//cysG//
sdhCDAB_sucABCD	truD//astB//araD//solA//
sdhDAB	
sdhE_cptA	
secB_gpsA	rhaM//
secE_nusG	
secG_leuU	
secMA_mutT	deoC//
selAB	tdcB//sodA//
selD_topB	yjjG//cpdA//
seqA_pgm	dcyD//
serB_radA	pgpA//
serC_aroA	mocA//appA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	gltA//
sgrST_setA	rfbB//
skp_lpxD_fabZ_lpxA	roxA//rnt//rnpB//
slp_dctR	
solA_yceO	dnaE//
speAB	pyrC//lhgO//
speF_potE	ilvI//dgcC//
srlAEBD_gutM_srlR_gutQ	mdh//accA//mltA//
sroG_ribB	sad//
sspAB	
ssrS_fau	prpB//
ssuEADCB	metF//nrdA//rlmA//
stfE_tfaE	
sucAB	hcaB//yieH//ftsI//
sucABCD	ogt//yjiA//gpt//nrdA//
sufABCDSE	pdeR//
surA_pdxA_rsmA_apaGH	bcsB//pykA//asnS//mepS//
tag_yiaC	gabT//
talA_tktB	rsmE//uxuA//
tamAB_ytfP	
tar_tap_cheRBYZ	gpsA//napH//
tatABC	rsmI//
tatABCD	ulaF//pgaD//
tauABCD	gatD//dgcZ//
tdcABCDEFG	rnpA//nanM//thiD//lpxA//gpmM//
tdcBCDEFG	fau//nrfB//pgi//selA//accD//
tehAB	eda//ruvB//
tesA_ybbO	dgcM//tmk//
tff_rpsB_tsf	
tgt_yajC	ulaG//
thiCEFSGH	hemB//ispB//ilvH//bglA//cheB//
thiMD	mltC//sucB//
thrLABC	yciA//citG//cysS//
thrS_infC	rlmD//
thrS_infC_rpmI_rplT_pheMST_ihfA	asd//pbpC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	yliI//recF//
tolB_pal_cpoB	
tolC_ygiABC	napH//pyrI//waaP//yjhH//thiL//ygaP//queF//lpxP//folC//
tomB_hha	
topAI_yjhQ	
torCAD	fkpB//
torYZ	allC//
treBC	panE//melA//
trmI_yggL	rluA//
trpCBA	ispA//pdeR//speG//glcD//
trpLEDCBA	tcdA//ubiD//dapB//garK//nanK//dacD//
tsaB_yeaY	trmA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	polB//citC//epmA//ubiI//pphB//
ttdABT	nirB//alr//
tyrS_pdxY	rlmI//lpxL//
tyrTV_tpr	
tyrV_tpr	
ubiCA	yigB//waaA//
ubiEJB	dmsA//
udk_dcd	yfiH//ubiC//
ugpBAECQ	poxB//ynfE//
uhpABC	
uidABC	mak//sgbU//
ulaABCDEF	astB//napG//sdhA//pdxB//
umpG_pcm	paaH//rfbD//
umuDC	ubiG//
uof_fur	
upp_uraA	dinB//tktB//
usg_truA_dedA	maeA//
uvrYC	rfbB//
uxaCA	ldtD//metE//
uxuAB	cysS//umpG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	mltC//coaE//
waaQGPSBOJYZU	fadE//cysD//rihC//nudK//lipB//nudJ//cdsA//paaB//pdxY//apaH//
waaYZ	guaA//ndk//
waaZU	pyrG//ldtB//
wbbIJK	asnS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	pphA//ynfH//nrfC//epd//fabA//slyD//
wcaKLM	
wrbA_yccJ	pfkA//
wza_wzb_wzc	sbcB//malQ//
wza_wzb_wzc_wcaAB	rpiA//dusC//
xanQ_guaD_ghxQ	ghrA//acpT//hchA//
xapAB	dapA//tsaE//
xdhABC	tktA//
xerD_dsbC_recJ	ispD//paaZ//
xseB_ispA_dxs_yajO	tcdA//panE//rnd//nanK//
xylAB	yqjH//rhaM//
xylFGHR	relA//
yabPQ	
yacC_speED	napH//slyD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	cysH//
yafDE	
yafNOP	menC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	alaA//eutD//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	sucC//
ybaB_recR	bioA//
ybaST	atoA//
ybbAP	
ybbY_glxK	allA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	eptB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	fucI//
ybeZY	
ybeZYX_lnt	polA//
ybfHG	
ybfOC	
ybgA_phr	fadM//
ybgC_tolQRA	
ybgIJKL_nei	ymdB//
ybgQPO	
ybhP_clsB_ybhN	mcrC//
ybiYW	
ybjC_nfsA_rimK_ybjN	hcaE//coaD//
ybjJI	glgX//
ybjO_rlmC	mrcA//
ybjQ_amiD	hisH//
ycaI_msbA_lpxK_ycaQ	tauD//dkgA//
ycaR_kdsB	abgA//
ycbK_gloC	nanE//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	panE//
yciCB	
yciGFE	
yciK_btuR	ilvM//
yciVOQ	tgt//
yciZT	
ycjMNOPQRSTUV_ymjB	dgcZ//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	prmC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yigB//lsrG//
ydcSTUV_patD	argB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	trpE//
ydgK_rsxABCDGE_nth	scpC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	fsaA//dmsB//
ydiJ_menI_ydiH	hemC//
ydiNB_aroD	hyaB//hycD//
ydiQRST_fadK	aroL//
ydjA_selD_topB	etp//pgpB//
ydjLKJIHG	panE//
ydjXYZ_ynjABCD	
yeaGH	frmB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	yihT//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	rluB//serC//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	tam//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yjhG//moeB//
yejABEF	speF//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	lpxC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	guaA//
yfbUT	mrcA//
yfcUTSRQPO	
yfdGHI	
