# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pdeF//
dadAX	uvrC//ilvA//
damX_dam_rpe_gph_trpS	rfbD//dosC//metK//mcrC//
dam_rpe_gph_trpS	rlmH//fadI//allC//fadA//
dapA_bamC	dmlA//
dapE_ypfN	paoA//
dcm_vsr	mdh//
dcuB_fumB	sucB//mltD//
dcuSR	
dcyD_tcyLN	pyrF//ftnA//
ddpXABCDF	yidA//
def_fmt	ruvA//yieH//
degQS	dacC//anmK//
deoABD	garR//cynT//nrdD//
deoBD	yigB//thiD//
deoCABD	talA//acpT//hcp//yihV//
dgoRKADT	truC//rffM//nudB//dhaL//
dhaKLM	hemG//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	rluD//pdeR//
dinJ_yafQ	glyQ//
dksA_gluQ	yihV//
dmsABC	dgcC//
dnaAN_recF	frdA//
dnaK_tpke11_dnaJ	waaC//
dnaN_recF	panB//
dnaTC	
dnaTC_yjjA	
dosCP	rdgB//nadC//
dpiBA	
dppABCDF	rdoA//
dsbC_recJ_prfB	ispB//der//
dsbD_yjdC	
dsdXA	gabD//paaE//
dusB_fis	ruvA//
dut_slmA	rdoA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yagF//ilvC//
efeOB	waaA//
efeU_1U_2	
elbB_mtgA	yjcS//
elfDCG_ycbUVF	
emrKY	panC//
entCEBAH	wcaJ//waaZ//mutY//ttdA//cdd//recF//
envY_ompT	rlmC//
epd_pgk	accB//rffG//
epd_pgk_fbaA	ybdL//pgk//kefF//
essD_rrrD_rzpD	yceF//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	thrC//
eutHA	
eutNEJG	
eutSPQTDM	trpB//
evgAS	
exbBD	
fabDG_acpP	relA//selD//
fabG_acpP	ybdL//
fabHDG	dsdA//rnb//rlmC//
fabR_yijD	
fadBA	yihU//mnmE//
fadD_sroD	yeiR//
fadIJ	glgA//ilvH//
fdnGHI	
fdoGHI_fdhE	glgA//
fdrA_ylbEF_ybcF	argD//
fecABCDE	waaH//gcvP//
fecIR	
feoABC	panB//
fepA_entD	uidA//eno//trpD//
fepDGC	queG//
fes_ybdZ_entF_fepE	feaB//yfeW//dkgB//
fetAB	
fhuACDB	ilvG_2//lldD//
ficA_fic_pabA	glcF//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	yagF//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	hycG//rsmH//
folC_dedD	betB//
folD_ybcJ	narH//
folE_yeiB	nrdD//
folP_glmM	rluB//glgB//
folX_yfcH	hcaD//
frdABCD	dusB//
frlABCDR	gstA//glpA//gcd//acnA//
frmRAB	gapA//entA//
fruBKA	dacA//fau//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	xylA//atoB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	bcsA//dhaK//ldtE//napB//dapF//mnmA//aroA//ubiA//yfaU//murC//
ftsQAZ	
ftsYEX	
fucAO	apaH//pdeR//
fucPIKUR	ubiE//cadA//btuE//rlmC//
fumAC	mnmE//frdB//
fusA_tufA	
gabDTP	cmoA//kbaZ//arsC//
gadAX	aroE//
gadBC	bcsA//glpQ//
gadEF	
gadEF_mdtEF	hmp//
gadXW	
galET	pck//glgA//
galETK	metF//yajO//hyaB//
galETKM	cynT//purM//rutB//ygiF//
gapA_yeaD	eptC//
gapC_1C_2	
garPLRK_rnpB	glpQ//aspA//deoA//waaL//mutL//valS//
gatYZABCD	dgoD//dnaQ//ilvG_2//
gatZABCD	glpB//acnA//purT//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rihB//kdgK//kdsB//fadI//ubiH//
gcvTHP	alsE//amn//glnA//
gfcBCD	
gfcE_etp_etk	purU//mrdA//
ghoST	entA//
glcBA	thiI//entC//
glcDEFGBA	mltB//yihX//pdxB//
glf_wbbH	avtA//
glgAP	cheR//wrbA//
glgBXCAP	sdaA//truD//aspA//tmcA//sdhC//
glgCAP	ynfF//hycB//rutE//
glmUS	argH//dnaQ//
glnALG	malS//
glnHPQ	nrfC//
glnK_amtB	rfaD//
glnLG	
glnW_metU_glnVX	
glpABC	mltC//
glpEGR	maa//add//
glpFKX	astC//fadJ//xdhC//
glpGR	mutH//
glpTQ	fadK//arnA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	avtA//
glvCBG_ysdC	
glyQS	lpxL//
glyVXY	
glyW_cysT_leuZ	
gntKU	eptB//tmk//
gntRKU	ubiC//galM//
gntX_nfuA	
gpmM_envC_yibQ	ileS//hisG//
groSL	
gspAB	
gspCDEFGHIJKLMO	phr//
guaBA	lsrG//dacA//
gudPXD	purE//dxs//
hcaEFCBD	glpQ//yjeF//
hcp_hcr	moeA//dapD//
hdeAB_yhiD	
hemA_prfA_prmC	xapA//alsE//
hemCDXY	hisS//dut//
hflD_purB	metF//
hfq_hflXKC	ung//
hicAB	
higBA	xdhA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	lyxK//astC//nfsA//citX//
hipBA	rsmG//
hisBHAFI	narZ//yihX//queA//preA//
hisJQMP	rhaA//thiL//
hisLGDCBHAFI	gloC//bcsA//glcF//csdA//glcE//rutC//ltaE//
hofMNOP	
holC_valS	puuC//
holD_rimI_yjjG	hflX//puuB//
hscBA_fdx_iscX	putA//
hsdMS	serS//
hsdRMS	yeiR//
hslRO	
hslVU	ubiA//
hyaABCDEF	
hybOABCDEFG	lpxD//
hycABCDEFGHI	rnb//nth//
hydN_hypF	efeB//
hyfABCDEFGHIJR_focB	hcaD//
hypABCDE	ldcA//
hypABCDE_fhlA	pheS//
hypBCDE	fbaB//
hypBCDE_fhlA	wzc//
iaaA_gsiABCD	bioB//ygiF//
ibaG_murA	mltB//
ibpAB	
idnDOTR	mpaA//galU//dapA//
ileS_lspA_fkpB_ispH	mhpB//lldD//rffC//ruvC//
ilvEDA	hemN//gldA//tsaD//garD//
ilvIH	citD//
ilvLXG_1G_2MEDA	queA//mutS//etk//mhpE//uxaB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	trmA//
insN_1I_1O_1	leuD//
insO_2_yjhWV	
iscRSUA	ribF//dosP//
ispDF	amiD//ssuE//
ispG_sroE	uidA//
isrC_flu	
ivbL_ilvBN	rhaM//
ivbL_ilvBN_uhpABC	ribE//
kbaZ_agaVWA	cpsG//
kbl_tdh	nrfA//uidA//
kdpDE	
kdpFABC	yjcS//
kdsC_lptCAB	asnB//speD//
kefFC	galT//aslA//
kefGB_yheV	eptC//
kilR_ydaE	
lacYA	glmM//thiG//
lacZYA	eptB//rffC//nanM//
lapAB	
lapAB_pyrF_yciH	umpG//
lepAB	pyrI//
leuLABCD	rfaD//rnt//qor//
leuQPV	
leuS_lptE_holA_nadD_cobC	ndk//kdsC//hisA//
lexA_dinF	
lgt_thyA	mak//nagZ//
ligA_ypeB	uxaB//
livKHMGF	gph//galE//
lldPRD	gnd//ldtD//
lolA_rarA	
lolB_ispE_prs	aldA//ydiF//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yagF//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	purL//dapE//
lptFG	
lspA_fkpB_ispH	paoB//spoT//yiaY//
lsrACDBFG_tam	mnaT//puuA//dgcP//menF//
lsrRK	rffH//
ltaE_ybjT	hyi//
lysT_valT_lysW	
macAB	guaA//
malEFG	speA//
malK_lamB_malM	nrdD//prpB//
malPQ	ydiO//hchA//
malXY	ybjG//hisH//
manXYZ	uxaA//
map_glnD_dapD	pabB//mutY//eutD//
marRAB	
mazEFG	murQ//
mcrBC	rlmM//
mdlAB	
mdtABCD_baeSR	ansA//
mdtEF	rnpB//
mdtJI	gshB//
mdtM_yjiN	glmU//
mdtNOP	pdxY//
melAB	yrfG//leuS//
menA_rraA	prmC//
menBCE	insI-2//wcaJ//arnT//
menDHBCE	rluA//nfsA//nadC//puuA//caiA//
menFDHBCE	entC//argS//glyA//mpaA//pyrB//ppc//
metBL	ugd//tesA//
metNIQ	ilvM//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yfcG//dusB//folP//
metZWV	
mglAC	xylB//
mglBAC	menH//
mgtLA	thiC//
mhpABCDFE	bglB//queF//hemD//ftsI//proA//bcsB//
mhpR_lacI	
miaA_hfq_hflXKC	relA//galT//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	cynT//trpE//
mnaT_ydcZ	yciV//
mngAB	arnC//frlC//
mnmG_rsmG	paaE//hisC//
mntR_ybiR	
moaABCDE	maa//pgaB//
moaBCDE	nrdE//
mobAB	ldcA//
modABC	gcvT//
modEF	
moeAB	ribB//guaB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	thrC//
mqsRA	lacA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	sthA//bcsB//ogt//rhaA//mazG//pheA//suhB//fucK//panB//patD//pta//
mreBCD	
mreCD	
msrPQ	
mtlADR	fadK//hisF//gmk//
mtn_btuF_yadS	glpX//uxuA//
murB_birA	hcp//xthA//
murQP	rsmI//mobA//glpE//
murQP_yfeW	rsmG//ldhA//yjhG//pdxB//
mutL_miaA_hfq_hflXKC	nrfB//waaL//adk//
mutY_yggX	plsB//
mutY_yggX_mltC	torC//pck//
mutY_yggX_mltC_nupG	dinB//thiL//folX//
nadA_pnuC	treA//frmA//
nagBAC_umpH	lpcA//torY//narZ//
nagK_cobB	aroD//nudI//
nanATEK_yhcH	carA//ftnA//glcF//ubiA//
nanCM	wzc//glyQ//
nanCMS	eutB//purC//
napFDAGHBC	eutB//
napFDAGHBC_ccmABCDEFGH	paaY//bcsA//
narGHJI	fadA//
narWV	yahK//
narXL	
narZYWV	folA//
nemRA	yigL//
nemRA_gloA	rnb//dxr//
nfrBA	
nhaAR	dsdA//
nikABCDER	nirB//
nirBDC_cysG	paaF//phnJ//gshA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ybjG//
nrdAB_yfaE	ispB//
nrdDG	folK//citD//
nrdHIEF	accD//
nrdR_ribDE_nusB_thiL_pgpA	miaA//alaA//rluE//torA//
nrfABCDEFG	emtA//
nsrR_rnr_rlmB_yjfI	nrdB//frdB//
nudB_yebC_ruvC	rihB//pphA//
nudC_hemE_nfi	tag//yjhG//
nudF_yqiB_cpdA_yqiA_parE	ileS//mtlD//
nuoABCEFGHIJKLMN	lysU//
nuoMN	ydjG//
ompR_envZ	
opgGH	
oppABCDF	queA//thiL//
osmF_yehYXW	mrcB//
otsBA	wrbA//pdeH//
paaABCDEFGHIJK	deoC//nagK//fabD//azoR//ispA//hisC//dapD//
paaXY	mltB//
pabB_nudL	fkpB//rsmC//
pabC_mltG_tmk_holB_ycfH	dut//guaC//hemF//
panBC	dinB//aceB//
panE_yajL	preT//
paoABCD	cmoB//
pcnB_folK	araA//leuS//
pdeI_dgcI	
pdhR_aceEF_lpd	ribD//nadK//nudE//btuR//pta//tadA//
pdxA_rsmA	uxaA//cysD//
pdxA_rsmA_apaGH	murQ//mtn//thiF//
pdxB_usg_truA_dedA	pphB//kbaZ//
pdxH_tyrS_pdxY	cobS//paaB//frdA//
pdxJ_acpS	aslA//nudC//
pepQ_yigZ_trkH_hemG	cpsG//hcaE//ulaF//
pflDC	
pgaABCD	trpA//betB//dkgB//
pgk_fbaA	clsB//prpC//
pgpC_tadA	yjeF//ruvC//
pheLA	rsmH//
pheMST_ihfA	mdh//
phnCDE_1E_2FGHIJKLMNOP	tig//arsC//gnd//dgcC//aceA//glgB//pdxB//
phnLMNOP	yqaB//fabD//menE//recF//nrfA//
phoA_psiF	thiH//
phoBR	
phoPQ	
pldB_yigL	dxs//fkpB//
plsX_fabHDG	hyaA//tsaB//bioF//
pntAB	
potABCD	murA//
potFGHI	pncA//
poxB_ltaE_ybjT	yihV//pyrC//
ppdAB_ygdB_ppdC_recC	gcvH//
ppdD_hofBC	
ppiB_lpxH	ubiC//dgcZ//
ppk_ppx	lpxD//poxB//
pqiAB	
preTA	phnL//
prfB_lysS	rfbA//
priC_ybaM	
prlC_rsmJ	fcl//deoA//
prlF_yhaV	maeA//
prmB_aroC_mepA_yfcA_epmC_yfcL	wbbI//napB//speF//malZ//
proBA	ruvB//rffM//
proQ_prc	paaF//
proVWX	argB//
prpBCDE	accC//polA//puuC//ftsI//
psd_mscM	
pspABCDE	mutT//
pspBCDE	tsaC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	oxc//caiA//
pth_ychF	alkA//
ptrA_recBD	garR//mcrB//
ptsA_fsaB_gldA	sodB//ubiG//
ptsHI_crr	clsC//allD//ung//
purEK	wzb//hemC//
purHD	arnA//rpiA//
purMN	murE//prpE//
puuAP	caiA//dhaK//
puuCBE	prpE//tktA//ulaE//
puuDRCBE	fbaB//torZ//yfbT//fumB//
pyrF_yciH	coaA//
pyrG_eno	mpl//zwf//
pyrLBI	serA//
qmcA_ybbJ	
qseBC	
radA_nadR	sdhA//
rapA_rluA	aroG//
ratAB	
ravA_viaA	
rbsDACBKR	glyS//nudF//dut//
rclABC	
rclBC	
rcnAB	pdeR//
rcsDB	
rcsF_trmO	citC//
rdgB_yggW	alsK//
rdoA_dsbA	yniC//abgB//
recAX	
recET_ralR_ydaC_xisR_intR	solA//dcd//
relA_mazEF	metK//
relBE	prpD//
relBE_hokD	dnaQ//
renD_emrE	mltD//
rfaD_waaFCL	tyrB//nfsB//nudF//nanM//
rfbACX	opgB//rne//fau//phnN//
rfbBDACX	miaA//proB//bioD//glf//pdxY//aslA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ppiB//glcF//dxs//tyrB//gshB//zwf//rffG//ynjE//mdh//
rhaBAD	moeA//miaA//cadA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rlmL//fabB//xdhB//
ribF_ileS_lspA_fkpB_ispH	puuC//can//ldtD//ilvC//trmH//
rimK_ybjN	adiA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	aslA//kduI//iaaA//kduD//gadA//entA//hflX//speC//folC//slyD//
rlmE_ftsH	argA//sdaA//
rlmL_uup	hcp//
rluD_yfiH	mhpC//gloA//
rluE_nudJ	rlmC//metH//
rnc_era	frdD//
rnc_era_recO_pdxJ_acpS	etp//cysH//rutD//tsaC//
rnlAB	recF//
rnt_lhr	frc//
rpe_gph_trpS	solA//cdd//nfsB//
rph_pyrE	metL//rnpA//
rpiR_alsBACE	menI//dut//
rplJL_rpoBC	alsE//
rplKAJL_rpoBC	pepD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	pbpC//
rpmF_plsX_fabHDG	lacA//nudF//frdC//
rpmH_rnpA	chbF//alaC//
rpmI_rplT	
rpoBC	ruvB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	amiD//fucI//dnaE//
rppH_ptsP	deoB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	nirB//
rpsO_pnp	galM//betB//
rpsP_rimM_trmD_rplS	treC//
rpsU_dnaG_rpoD	guaC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	rrrD//apt//
rsmA_apaGH	dapE//hycF//
rsmD_yhhL	lpxP//
rsmE_gshB	sodC//caiC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pphA//aes//leuA//pagP//tam//acpH//rdoA//guaB//csdA//tdcG//waaQ//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	amn//
rtcBA	gltB//fabG//
rutABCDEFG	aspA//metG//mutH//apaH//luxS//bcsA//
ruvAB	thrS//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	mepS//
scpA_argK_scpBC	ygiF//opgE//aes//recF//
sdaCB	ynjE//pdxK//
sdhCDAB_sucABCD	dadA//argC//pphB//rhaM//
sdhDAB	
sdhE_cptA	
secB_gpsA	ybaS//
secE_nusG	
secG_leuU	
secMA_mutT	cysJ//
selAB	cyoE//allB//
selD_topB	ndh//csdA//
seqA_pgm	mocA//
serB_radA	carB//
serC_aroA	gltX//murF//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	aldA//
sgrST_setA	aspC//
skp_lpxD_fabZ_lpxA	qor//nudJ//gpp//
slp_dctR	
solA_yceO	glcF//
speAB	uxuA//hisI//
speF_potE	glgA//deoD//
srlAEBD_gutM_srlR_gutQ	insI-3//lpd//lpxH//
sroG_ribB	ackA//
sspAB	
ssrS_fau	lpcA//
ssuEADCB	add//yfcG//mrdA//
stfE_tfaE	
sucAB	pnp//hisS//fruK//
sucABCD	rsmC//lpxA//yfdR//waaP//
sufABCDSE	suhB//
surA_pdxA_rsmA_apaGH	pphA//acs//hemH//nudG//
tag_yiaC	solA//
talA_tktB	narZ//citD//
tamAB_ytfP	
tar_tap_cheRBYZ	kdsC//pyrB//
tatABC	puuA//
tatABCD	aldB//yihU//
tauABCD	manA//rffT//
tdcABCDEFG	yeaG//epmB//pyrB//gor//kdsB//
tdcBCDEFG	ampC//uvrB//thrC//tesB//pgaD//
tehAB	can//tyrS//
tesA_ybbO	thrC//ribE//
tff_rpsB_tsf	
tgt_yajC	yigB//
thiCEFSGH	purT//pphB//yqjH//nirB//pabB//
thiMD	gloA//pgsA//
thrLABC	rffH//murE//hypF//
thrS_infC	betA//
thrS_infC_rpmI_rplT_pheMST_ihfA	ghrA//leuA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	mdh//nudC//
tolB_pal_cpoB	
tolC_ygiABC	acpT//alaC//cyoE//dmsB//preT//argE//alr//hyaB//entF//
tomB_hha	
topAI_yjhQ	
torCAD	hemF//
torYZ	mngB//
treBC	cyaA//kduI//
trmI_yggL	fucI//
trpCBA	nagZ//metL//dcd//tnaA//
trpLEDCBA	paaH//yieF//dnaQ//hchA//gltD//purN//
tsaB_yeaY	hemE//
tsaE_amiB_mutL_miaA_hfq_hflXKC	hypF//cobB//rffM//srlD//pphB//
ttdABT	dusB//ansA//
tyrS_pdxY	hchA//mcrB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	citE//rutD//
ubiEJB	yfaU//
udk_dcd	murQ//mobA//
ugpBAECQ	rlmJ//caiB//
uhpABC	
uidABC	murC//glcB//
ulaABCDEF	hisF//pdeR//garL//bioH//
umpG_pcm	ilvB//glpB//
umuDC	csdA//
uof_fur	
upp_uraA	dgoD//kdsD//
usg_truA_dedA	ldtC//
uvrYC	astD//
uxaCA	lpxK//suhB//
uxuAB	dosP//gstB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	dgcT//ychF//
waaQGPSBOJYZU	atoB//selB//eutC//cynT//nfsB//argK//pepD//fbaA//tesB//ycaO//
waaYZ	purB//pgaD//
waaZU	maeA//folE//
wbbIJK	aroE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ydbC//caiA//pyrG//dusC//dgcT//epd//
wcaKLM	
wrbA_yccJ	frmB//
wza_wzb_wzc	cysC//dkgB//
wza_wzb_wzc_wcaAB	yihT//nirD//
xanQ_guaD_ghxQ	alaA//insI-2//fucK//
xapAB	rlmC//ligB//
xdhABC	ileS//
xerD_dsbC_recJ	ulaG//pgsA//
xseB_ispA_dxs_yajO	hycC//moaA//mltB//entA//
xylAB	lpxA//thrC//
xylFGHR	hcaC//
yabPQ	
yacC_speED	ldtD//pphA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	lyxK//
yafDE	
yafNOP	sodB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	tgt//rlmJ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	glf//
ybaB_recR	hcp//
ybaST	idnO//
ybbAP	
ybbY_glxK	yegS//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	thrS//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	appA//
ybeZY	
ybeZYX_lnt	betA//
ybfHG	
ybfOC	
ybgA_phr	yliI//
ybgC_tolQRA	
ybgIJKL_nei	suhB//
ybgQPO	
ybhP_clsB_ybhN	rlmF//
ybiYW	
ybjC_nfsA_rimK_ybjN	eutC//katE//
ybjJI	thiC//
ybjO_rlmC	dgoD//
ybjQ_amiD	ispF//
ycaI_msbA_lpxK_ycaQ	patA//fbaB//
ycaR_kdsB	cobT//
ycbK_gloC	ygeX//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	bfr//
yciCB	
yciGFE	
yciK_btuR	mhpB//
yciVOQ	hisA//
yciZT	
ycjMNOPQRSTUV_ymjB	dapA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	araA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rsgA//hisS//
ydcSTUV_patD	lysS//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	yohF//
ydgK_rsxABCDGE_nth	nhoA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	fbp//purB//
ydiJ_menI_ydiH	pdxH//
ydiNB_aroD	trxB//gpt//
ydiQRST_fadK	preA//
ydjA_selD_topB	ybcF//talA//
ydjLKJIHG	fabD//
ydjXYZ_ynjABCD	
yeaGH	pbpC//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ubiI//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nfi//ndh//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	slyD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	trmO//dusC//
yejABEF	pheA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ubiH//
yfaX_rhmD	
yfaX_rhmD_yfaVU	wecC//
yfbUT	otsB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	mhpC//
