# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	melA//
brnQ_proY	ung//proA//
btuB_murI	mepS//yqjH//
btuCED	ubiX//pssA//
cadBA	ybhA//rlmJ//
caiCDE	paaH//ydiO//
caiTABCDE	talB//der//lysU//yfdE//yceF//
carAB	yihX//
casABCDE12	fsaA//
casDE12	mnmA//
cbpAM	
cbrBC	
ccmABCDEFGH	ygjK//
cecR_ybhGFSR	
chaBC	
chbBCARFG	gcl//relA//eutD//
chiP_ybfN	gcl//
chpSB	udk//
citCDEFXG	rsmJ//deoB//rsmG//
clpPX	menH//thiK//fsaA//argF//
clpX_lon	pgi//mhpB//lpxD//
clsA_yciU	lpoB//
cmk_rpsA	metA//
cmoM_mukFEB	
cmtBA_yggPFDC	napA//insI-3//
coaE_zapD_yacG	cysG//
cobUST	lacA//leuD//ilvN//
codBA	pheT//nudL//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	efeB//
csgBAC	
csgDEFG	argS//
csiD_lhgO_gabDTP	frdD//glxK//phnO//speB//
cusCFBA	kbaY//
cusRS	
cvpA_purF_ubiX	pykF//yibQ//
cydAB	fes//
cydDC	pyrC//
cydX_ybgE	fsaA//
cynTS	waaP//yihT//
cynTSX	ilvI//treC//dadX//
cyoABCDE	preT//hchA//
cysDNC	aslA//fdhF//
cysJIH	glcF//bglA//rihB//
cysPUWAM	pck//rnpB//murE//
dadAX	lpxC//waaH//
damX_dam_rpe_gph_trpS	aroF//paoC//pyrH//cmoA//
dam_rpe_gph_trpS	fadJ//tilS//hyaB//tdcE//
dapA_bamC	nfsA//
dapE_ypfN	accC//
dcm_vsr	pfkA//
dcuB_fumB	udp//dhaM//
dcuSR	
dcyD_tcyLN	aroG//rdgB//
ddpXABCDF	bglA//
def_fmt	epmA//pheT//
degQS	hycE//ldtD//
deoABD	purE//coaE//fucA//
deoBD	ilvA//aceF//
deoCABD	asnB//hycD//ldcA//fucK//
dgoRKADT	kduI//pgm//lldD//paaE//
dhaKLM	ygjK//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	polA//gmd//
dinJ_yafQ	dacD//
dksA_gluQ	insI-3//
dmsABC	ligA//
dnaAN_recF	pnp//
dnaK_tpke11_dnaJ	waaF//
dnaN_recF	murF//
dnaTC	
dnaTC_yjjA	
dosCP	sodB//tauD//
dpiBA	
dppABCDF	pphA//
dsbC_recJ_prfB	hpt//caiA//
dsbD_yjdC	
dsdXA	frlD//mtgA//
dusB_fis	nudC//
dut_slmA	cof//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	cobU//murA//
efeOB	pphB//
efeU_1U_2	
elbB_mtgA	upp//
elfDCG_ycbUVF	
emrKY	hchA//
entCEBAH	dld//gltD//rlmD//nanA//kdsC//alkA//
envY_ompT	thrS//
epd_pgk	ydbC//tdcD//
epd_pgk_fbaA	serA//dgt//yhdH//
essD_rrrD_rzpD	ubiG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	preA//
eutHA	
eutNEJG	
eutSPQTDM	epd//
evgAS	
exbBD	
fabDG_acpP	lpxP//yfdE//
fabG_acpP	yiaK//
fabHDG	glcD//frdD//dgt//
fabR_yijD	
fadBA	sodB//ahpC//
fadD_sroD	ruvA//
fadIJ	garK//rutC//
fdnGHI	
fdoGHI_fdhE	yihV//
fdrA_ylbEF_ybcF	nanK//
fecABCDE	def//entC//
fecIR	
feoABC	gstB//
fepA_entD	wrbA//deoB//aroF//
fepDGC	cmk//
fes_ybdZ_entF_fepE	waaU//dgcT//glpC//
fetAB	
fhuACDB	nrdE//allB//
ficA_fic_pabA	truD//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	thyA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	lacZ//aspA//
folC_dedD	nadK//
folD_ybcJ	guaA//
folE_yeiB	acpS//
folP_glmM	ychF//ybiV//
folX_yfcH	cysK//
frdABCD	tag//
frlABCDR	hchA//fkpB//torZ//hisI//
frmRAB	mrdA//fre//
fruBKA	nudI//appA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ppk//serS//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	panC//hisS//mog//alr//uvrC//lpxB//betA//yhdH//thiG//pgaD//
ftsQAZ	
ftsYEX	
fucAO	dadX//nadD//
fucPIKUR	ilvH//scpC//garR//menA//
fumAC	narY//katG//
fusA_tufA	
gabDTP	paoA//rlmH//cpdA//
gadAX	yfiC//
gadBC	lsrK//recO//
gadEF	
gadEF_mdtEF	acs//
gadXW	
galET	purK//torC//
galETK	nth//tpiA//glnS//
galETKM	fabB//trmL//yciA//luxS//
gapA_yeaD	udp//
gapC_1C_2	
garPLRK_rnpB	sodC//lpxB//tsaB//lpoA//aroA//leuS//
gatYZABCD	dgoD//nagZ//cysN//
gatZABCD	ppa//bglX//ghrB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	gloA//fadJ//kduD//folK//glpX//
gcvTHP	ribD//aes//nrfB//
gfcBCD	
gfcE_etp_etk	rfbD//waaO//
ghoST	gabD//
glcBA	proB//proA//
glcDEFGBA	ascB//entC//glpB//
glf_wbbH	hypB//
glgAP	trpB//nrdE//
glgBXCAP	srlD//dkgA//speA//kbl//alaC//
glgCAP	tcdA//waaZ//wbbI//
glmUS	kdsD//metL//
glnALG	acpT//
glnHPQ	fabG//
glnK_amtB	garR//
glnLG	
glnW_metU_glnVX	
glpABC	mmuM//
glpEGR	prpB//plsB//
glpFKX	folX//lpoB//ldhA//
glpGR	waaU//
glpTQ	prpC//aspA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	atoB//
glvCBG_ysdC	
glyQS	rlmC//
glyVXY	
glyW_cysT_leuZ	
gntKU	hisH//phnL//
gntRKU	sthA//gloB//
gntX_nfuA	
gpmM_envC_yibQ	thrS//fabB//
groSL	
gspAB	
gspCDEFGHIJKLMO	rnpA//
guaBA	yjjX//ruvA//
gudPXD	ruvA//hemF//
hcaEFCBD	scpC//nudG//
hcp_hcr	pyrD//deoC//
hdeAB_yhiD	
hemA_prfA_prmC	gsk//purK//
hemCDXY	pdeF//nrfC//
hflD_purB	puuB//
hfq_hflXKC	gpmA//
hicAB	
higBA	puuC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	psd//purE//ilvH//tag//
hipBA	ttdB//
hisBHAFI	moeA//hyuA//mngB//yeaG//
hisJQMP	rsmB//wcaJ//
hisLGDCBHAFI	murG//tehB//pyrI//mcrB//yibQ//rsmG//yfcF//
hofMNOP	
holC_valS	ribC//
holD_rimI_yjjG	ybdL//cysI//
hscBA_fdx_iscX	bglB//
hsdMS	glnE//
hsdRMS	patZ//
hslRO	
hslVU	fabD//
hyaABCDEF	
hybOABCDEFG	hmp//
hycABCDEFGHI	dgcC//cobS//
hydN_hypF	hemG//
hyfABCDEFGHIJR_focB	ilvA//
hypABCDE	araB//
hypABCDE_fhlA	cheB//
hypBCDE	mltC//
hypBCDE_fhlA	aspS//
iaaA_gsiABCD	pabB//sgbU//
ibaG_murA	paaY//
ibpAB	
idnDOTR	ycaO//ssuE//aroC//
ileS_lspA_fkpB_ispH	nadK//mraY//argG//phnL//
ilvEDA	hdhA//ung//citE//paaJ//
ilvIH	cmk//
ilvLXG_1G_2MEDA	purK//fbaB//fabF//oxc//uvrC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	hycC//
insN_1I_1O_1	mutT//
insO_2_yjhWV	
iscRSUA	arnC//gpmM//
ispDF	mcrC//rbsD//
ispG_sroE	dkgA//
isrC_flu	
ivbL_ilvBN	talA//
ivbL_ilvBN_uhpABC	fadH//
kbaZ_agaVWA	phnH//
kbl_tdh	yceF//epmB//
kdpDE	
kdpFABC	ackA//
kdsC_lptCAB	fabA//proA//
kefFC	argF//rlmL//
kefGB_yheV	aceF//
kilR_ydaE	
lacYA	aspS//glcE//
lacZYA	yibQ//alaS//ilvI//
lapAB	
lapAB_pyrF_yciH	rsmB//
lepAB	aspA//
leuLABCD	lipA//purH//dxr//
leuQPV	
leuS_lptE_holA_nadD_cobC	kdgK//glyA//pspE//
lexA_dinF	
lgt_thyA	dgt//acpT//
ligA_ypeB	ispG//
livKHMGF	dacC//opgB//
lldPRD	hyuA//hemL//
lolA_rarA	
lolB_ispE_prs	narG//bcsZ//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	uxuA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	argE//rpiB//
lptFG	
lspA_fkpB_ispH	yfdR//ruvB//fre//
lsrACDBFG_tam	gcvH//metB//insI-1//waaP//
lsrRK	apaH//
ltaE_ybjT	zwf//
lysT_valT_lysW	
macAB	alaS//
malEFG	avtA//
malK_lamB_malM	tdcE//xapA//
malPQ	yigB//opgE//
malXY	speB//coaA//
manXYZ	pgaD//
map_glnD_dapD	wcaJ//waaQ//araA//
marRAB	
mazEFG	tdcG//
mcrBC	fkpB//
mdlAB	
mdtABCD_baeSR	gmhB//
mdtEF	hchA//
mdtJI	opgE//
mdtM_yjiN	psd//
mdtNOP	edd//
melAB	hycB//adhP//
menA_rraA	garK//
menBCE	fkpA//galE//trpB//
menDHBCE	astA//bcsB//ispG//rpe//argS//
menFDHBCE	rluA//umpG//ldhA//pncB//garK//atoA//
metBL	kdsA//bfr//
metNIQ	moaD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	purU//aspA//lsrG//
metZWV	
mglAC	ispA//
mglBAC	bioA//
mgtLA	cmk//
mhpABCDFE	otsA//dld//epmA//psuG//rihC//lpd//
mhpR_lacI	
miaA_hfq_hflXKC	argK//hcaD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	leuB//fadJ//
mnaT_ydcZ	dam//
mngAB	panE//pdxA//
mnmG_rsmG	mltD//wecB//
mntR_ybiR	
moaABCDE	ynjE//aroF//
moaBCDE	yidA//
mobAB	mhpF//
modABC	rffH//
modEF	
moeAB	wzc//miaA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pgpC//
mqsRA	astD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	acpH//hyaB//ubiE//araA//coaE//pdxY//purT//trpD//panB//surA//mraY//
mreBCD	
mreCD	
msrPQ	
mtlADR	dmsB//ubiD//aceF//
mtn_btuF_yadS	pssA//rdoA//
murB_birA	cysN//pagP//
murQP	hisG//argB//allC//
murQP_yfeW	yigB//citG//ampD//rluB//
mutL_miaA_hfq_hflXKC	ruvA//ydjG//nirD//
mutY_yggX	argK//
mutY_yggX_mltC	thrS//pdxA//
mutY_yggX_mltC_nupG	menD//cysG//astA//
nadA_pnuC	umuC//fabH//
nagBAC_umpH	idnD//prmB//metK//
nagK_cobB	alkA//yjcS//
nanATEK_yhcH	preA//serA//yneH//paaG//
nanCM	wecC//pabB//
nanCMS	scpA//fabF//
napFDAGHBC	rdgB//
napFDAGHBC_ccmABCDEFGH	ndk//nhoA//
narGHJI	pabA//
narWV	waaC//
narXL	
narZYWV	paaI//
nemRA	fcl//
nemRA_gloA	tsaB//truB//
nfrBA	
nhaAR	fadK//
nikABCDER	puuE//
nirBDC_cysG	pheA//gnd//rsmB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dmlA//
nrdAB_yfaE	avtA//
nrdDG	maeB//nhoA//
nrdHIEF	hemA//
nrdR_ribDE_nusB_thiL_pgpA	rffH//lplA//serA//purE//
nrfABCDEFG	epmC//
nsrR_rnr_rlmB_yjfI	ppk//ulaF//
nudB_yebC_ruvC	folA//waaQ//
nudC_hemE_nfi	lpd//otsA//
nudF_yqiB_cpdA_yqiA_parE	patZ//rfaD//
nuoABCEFGHIJKLMN	purL//
nuoMN	trmO//
ompR_envZ	
opgGH	
oppABCDF	thiM//ligA//
osmF_yehYXW	asd//
otsBA	glpK//glmM//
paaABCDEFGHIJK	tam//aroL//hemB//garR//glpB//yqaB//metE//
paaXY	lsrG//
pabB_nudL	ftnA//glmS//
pabC_mltG_tmk_holB_ycfH	waaU//insI-2//ldcA//
panBC	ldhA//dgt//
panE_yajL	iscS//
paoABCD	cysH//
pcnB_folK	lpoB//hycC//
pdeI_dgcI	
pdhR_aceEF_lpd	ispH//rfbA//puuA//ung//ndk//dsdA//
pdxA_rsmA	gph//glnE//
pdxA_rsmA_apaGH	aceE//dnaQ//luxS//
pdxB_usg_truA_dedA	talA//sdhD//
pdxH_tyrS_pdxY	tyrB//alsK//preT//
pdxJ_acpS	waaA//gshB//
pepQ_yigZ_trkH_hemG	waaO//dcm//gabT//
pflDC	
pgaABCD	mug//ppiA//thrB//
pgk_fbaA	hemH//yliI//
pgpC_tadA	cpsG//nanK//
pheLA	queF//
pheMST_ihfA	ascB//
phnCDE_1E_2FGHIJKLMNOP	gcd//hycE//tesB//dxr//tilS//atoA//moeB//
phnLMNOP	udk//ilvA//fucU//nudI//ilvG_1//
phoA_psiF	ldcC//
phoBR	
phoPQ	
pldB_yigL	yneH//puuD//
plsX_fabHDG	can//ldtE//bioH//
pntAB	
potABCD	phnP//
potFGHI	ghrB//
poxB_ltaE_ybjT	epd//ssuE//
ppdAB_ygdB_ppdC_recC	tatD//
ppdD_hofBC	
ppiB_lpxH	deoA//acnA//
ppk_ppx	lyxK//paaK//
pqiAB	
preTA	dgoD//
prfB_lysS	panE//
priC_ybaM	
prlC_rsmJ	ispG//luxS//
prlF_yhaV	yghU//
prmB_aroC_mepA_yfcA_epmC_yfcL	wecC//rffC//nadE//eutD//
proBA	tesB//wbbI//
proQ_prc	tgt//
proVWX	yajO//
prpBCDE	patA//nudB//tmcA//eutC//
psd_mscM	
pspABCDE	ldtC//
pspBCDE	eutD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	moaE//ygaP//
pth_ychF	miaA//
ptrA_recBD	ispF//sbcB//
ptsA_fsaB_gldA	napG//phnP//
ptsHI_crr	dxs//narV//cobB//
purEK	pdxK//murB//
purHD	sgbE//astA//
purMN	pta//folK//
puuAP	bioA//frc//
puuCBE	lysA//fadD//gshA//
puuDRCBE	yagF//pheT//yqjH//lpcA//
pyrF_yciH	ispE//
pyrG_eno	betB//ilvH//
pyrLBI	waaP//
qmcA_ybbJ	
qseBC	
radA_nadR	purB//
rapA_rluA	pcm//
ratAB	
ravA_viaA	
rbsDACBKR	fes//umuC//zwf//
rclABC	
rclBC	
rcnAB	glgP//
rcsDB	
rcsF_trmO	mhpC//
rdgB_yggW	selA//
rdoA_dsbA	tsaC//dgcC//
recAX	
recET_ralR_ydaC_xisR_intR	ligB//lpxP//
relA_mazEF	ftsI//
relBE	ubiA//
relBE_hokD	katG//
renD_emrE	dacA//
rfaD_waaFCL	ybjG//ubiA//mutM//folB//
rfbACX	dhaL//eptA//sgbH//rsmJ//
rfbBDACX	yiaK//ubiE//otsA//fucO//tig//trmH//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	yfdE//kdsD//prpD//aspS//prmC//ftsI//sucC//hisC//pldA//
rhaBAD	malS//glf//phnI//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	aldB//purL//torZ//
ribF_ileS_lspA_fkpB_ispH	tktA//abgA//yggF//adhP//umuD//
rimK_ybjN	accA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pgaB//acpS//ilvA//aldB//pepD//ilvH//idi//mrcA//ampD//cysI//
rlmE_ftsH	narG//mpl//
rlmL_uup	insI-1//
rluD_yfiH	nrfA//ppc//
rluE_nudJ	speA//cysN//
rnc_era	mhpC//
rnc_era_recO_pdxJ_acpS	puuC//paaA//trpE//hyaC//
rnlAB	ppx//
rnt_lhr	epd//
rpe_gph_trpS	metH//argS//pgi//
rph_pyrE	ldcA//fes//
rpiR_alsBACE	glcF//tauD//
rplJL_rpoBC	waaH//
rplKAJL_rpoBC	yeiR//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ssuD//
rpmF_plsX_fabHDG	allC//pepD//pgpA//
rpmH_rnpA	nfsA//yghA//
rpmI_rplT	
rpoBC	scpB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	argS//yccX//astA//
rppH_ptsP	aroD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	allB//
rpsO_pnp	asd//dgoD//
rpsP_rimM_trmD_rplS	paaE//
rpsU_dnaG_rpoD	aceF//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	truC//alaS//
rsmA_apaGH	nadC//pykA//
rsmD_yhhL	aspA//
rsmE_gshB	nudC//rbsD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	alr//waaO//moaE//rsmJ//ravA//pyrD//ppa//bioA//leuB//nanA//csdA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	poxB//
rtcBA	ycaO//ybhA//
rutABCDEFG	kduD//astD//xylA//ribF//nadE//cpsB//
ruvAB	gstB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	pyrC//
scpA_argK_scpBC	insI-1//iaaA//moaE//psd//
sdaCB	argB//murD//
sdhCDAB_sucABCD	fumA//bacA//ubiA//dsdA//
sdhDAB	
sdhE_cptA	
secB_gpsA	lldD//
secE_nusG	
secG_leuU	
secMA_mutT	hycC//
selAB	allB//treF//
selD_topB	folD//gudD//
seqA_pgm	paoB//
serB_radA	mcrC//
serC_aroA	hdhA//preA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	paaE//
sgrST_setA	truC//
skp_lpxD_fabZ_lpxA	dmlA//hycF//gadB//
slp_dctR	
solA_yceO	glpB//
speAB	fdhF//aroG//
speF_potE	rlmA//pbpC//
srlAEBD_gutM_srlR_gutQ	yciA//hisA//speB//
sroG_ribB	cmoA//
sspAB	
ssrS_fau	dusA//
ssuEADCB	gcl//fre//nudB//
stfE_tfaE	
sucAB	sucD//lpxL//yneH//
sucABCD	purT//lldD//pflB//uxaA//
sufABCDSE	yfeX//
surA_pdxA_rsmA_apaGH	dam//qor//gatY//tyrS//
tag_yiaC	icd//
talA_tktB	rlmE//trmH//
tamAB_ytfP	
tar_tap_cheRBYZ	thyA//pyrC//
tatABC	lplA//
tatABCD	cysC//allD//
tauABCD	menH//nudL//
tdcABCDEFG	anmK//lysU//acnB//frdB//maeB//
tdcBCDEFG	tmcA//allD//pssA//pyrE//moeA//
tehAB	bcsB//proS//
tesA_ybbO	yagE//waaA//
tff_rpsB_tsf	
tgt_yajC	kdsA//
thiCEFSGH	aspA//hemC//guaD//hisF//fre//
thiMD	acpS//serC//
thrLABC	ilvC//kbl//wzc//
thrS_infC	fcl//
thrS_infC_rpmI_rplT_pheMST_ihfA	ybdL//tsaD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	argK//nhoA//
tolB_pal_cpoB	
tolC_ygiABC	fkpB//yjhH//lpd//dhaM//nemA//mepS//sodC//lacZ//phnP//
tomB_hha	
topAI_yjhQ	
torCAD	ybiV//
torYZ	cheR//
treBC	gmm//zwf//
trmI_yggL	yliI//
trpCBA	queF//leuS//ppsA//alr//
trpLEDCBA	speG//argK//rpiB//dnaQ//cysG//rsmE//
tsaB_yeaY	valS//
tsaE_amiB_mutL_miaA_hfq_hflXKC	puuB//rlmJ//hyaB//ada//gcd//
ttdABT	rlmB//glmM//
tyrS_pdxY	scpA//eutB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ulaF//etp//
ubiEJB	cmk//
udk_dcd	tyrB//glyA//
ugpBAECQ	yfdE//pgaC//
uhpABC	
uidABC	ydiF//lyxK//
ulaABCDEF	trmO//amiD//ilvA//ydjG//
umpG_pcm	puuC//rffG//
umuDC	adeD//
uof_fur	
upp_uraA	yagE//metG//
usg_truA_dedA	wzc//
uvrYC	cobT//
uxaCA	ppiC//rlmL//
uxuAB	purK//lpoB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	metC//fucA//
waaQGPSBOJYZU	napB//dgoK//yahK//ilvB//paoA//glgA//rhaB//ansA//glyQ//tktA//
waaYZ	aroE//cpsG//
waaZU	dfp//epmC//
wbbIJK	paaH//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	yigB//adhP//cueO//acpT//feaB//entD//
wcaKLM	
wrbA_yccJ	hpt//
wza_wzb_wzc	glmU//upp//
wza_wzb_wzc_wcaAB	tktB//pgpC//
xanQ_guaD_ghxQ	epmA//argD//gudD//
xapAB	rfe//ubiH//
xdhABC	fre//
xerD_dsbC_recJ	ilvM//gph//
xseB_ispA_dxs_yajO	mocA//nrdF//kbaY//ampC//
xylAB	fumA//ushA//
xylFGHR	serB//
yabPQ	
yacC_speED	frc//sdhB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	fumB//
yafDE	
yafNOP	etk//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ligA//yjhG//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	folM//
ybaB_recR	pflB//
ybaST	bioB//
ybbAP	
ybbY_glxK	bcsA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pyrB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	hisF//
ybeZY	
ybeZYX_lnt	mak//
ybfHG	
ybfOC	
ybgA_phr	rfaD//
ybgC_tolQRA	
ybgIJKL_nei	dmsA//
ybgQPO	
ybhP_clsB_ybhN	aceA//
ybiYW	
ybjC_nfsA_rimK_ybjN	proC//dkgB//
ybjJI	speE//
ybjO_rlmC	ybbO//
ybjQ_amiD	ilvG_2//
ycaI_msbA_lpxK_ycaQ	glyS//hemD//
ycaR_kdsB	pyrI//
ycbK_gloC	xapA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	glnS//
yciCB	
yciGFE	
yciK_btuR	lpxA//
yciVOQ	xylA//
yciZT	
ycjMNOPQRSTUV_ymjB	gntK//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fre//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	miaB//yahK//
ydcSTUV_patD	trpE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	cynS//
ydgK_rsxABCDGE_nth	pdxH//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pncB//yrfG//
ydiJ_menI_ydiH	argH//
ydiNB_aroD	dapB//nrdA//
ydiQRST_fadK	menF//
ydjA_selD_topB	selA//malQ//
ydjLKJIHG	xdhB//
ydjXYZ_ynjABCD	
yeaGH	anmK//
yeaR_yoaG	
yeaVW	
yebC_ruvC	putA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	tilS//gor//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	xylA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	trpE//yiaK//
yejABEF	mpl//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	narY//
yfaX_rhmD	
yfaX_rhmD_yfaVU	waaY//
yfbUT	bcsA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	scpA//
