# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	tesA//
lsrACDBFG_tam	tktB//thiH//murD//tadA//
lsrRK	ulaD//
ltaE_ybjT	purE//
lysT_valT_lysW	
macAB	ybdL//
malEFG	hypF//
malK_lamB_malM	ppsA//aldB//
malPQ	rffC//hyaA//
malXY	cysC//torC//
manXYZ	citG//
map_glnD_dapD	pck//speD//umpG//
marRAB	
mazEFG	selB//
mcrBC	lldD//
mdlAB	
mdtABCD_baeSR	speE//
mdtEF	rsmE//
mdtJI	pflB//
mdtM_yjiN	recR//
mdtNOP	dhaL//
melAB	cysE//accB//
menA_rraA	speD//
menBCE	lpxH//hcaC//gstB//
menDHBCE	cyoE//fucO//pyrH//ydjG//yajO//
menFDHBCE	ppiB//ybcF//trmA//lgoD//alaS//wbbI//
metBL	ispD//yihS//
metNIQ	gatD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	kbaZ//ubiH//idnO//
metZWV	
mglAC	hisI//
mglBAC	rbn//
mgtLA	folB//
mhpABCDFE	citX//cpdB//hisB//moeB//folP//srlD//
mhpR_lacI	
miaA_hfq_hflXKC	sodA//nrfD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ygiF//bioH//
mnaT_ydcZ	pyrC//
mngAB	caiA//bioH//
mnmG_rsmG	fucO//argB//
mntR_ybiR	
moaABCDE	rhaM//ravA//
moaBCDE	tdcG//
mobAB	udk//
modABC	ycjU//
modEF	
moeAB	cysD//epmB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	truD//
mqsRA	melA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	leuC//yieF//tesA//torY//argI//cof//yegS//ilvG_2//entD//nhoA//pspE//
mreBCD	
mreCD	
msrPQ	
mtlADR	galK//kdgK//glmS//
mtn_btuF_yadS	asnB//yqjG//
murB_birA	tmk//bglA//
murQP	truC//ldtB//hypF//
murQP_yfeW	dapA//lpxK//paaE//hflX//
mutL_miaA_hfq_hflXKC	acnA//adhE//mepS//
mutY_yggX	pabB//
mutY_yggX_mltC	epd//pncB//
mutY_yggX_mltC_nupG	rsmE//etk//ribE//
nadA_pnuC	glgX//cysH//
nagBAC_umpH	pdxB//yggF//yfdE//
nagK_cobB	glpD//ymdB//
nanATEK_yhcH	mhpB//yeaE//xdhA//entB//
nanCM	nrdE//ygjK//
nanCMS	glgX//gshA//
napFDAGHBC	tesB//
napFDAGHBC_ccmABCDEFGH	ttdB//sdhD//
narGHJI	tilS//
narWV	sdaB//
narXL	
narZYWV	patZ//
nemRA	fsaA//
nemRA_gloA	uxaB//glyA//
nfrBA	
nhaAR	proS//
nikABCDER	pheS//
nirBDC_cysG	sucB//ppiC//rlmJ//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	galT//
nrdAB_yfaE	ldcA//
nrdDG	dkgA//rbsD//
nrdHIEF	thiM//
nrdR_ribDE_nusB_thiL_pgpA	pgsA//solA//yfeW//yjiA//
nrfABCDEFG	ilvG_2//
nsrR_rnr_rlmB_yjfI	ychF//ulaD//
nudB_yebC_ruvC	uxaA//paaC//
nudC_hemE_nfi	scpC//ispG//
nudF_yqiB_cpdA_yqiA_parE	paaE//rlmC//
nuoABCEFGHIJKLMN	epmA//
nuoMN	yjeF//
ompR_envZ	
opgGH	
oppABCDF	rsmJ//rluD//
osmF_yehYXW	dld//
otsBA	murE//fadB//
paaABCDEFGHIJK	ppc//rpiB//alaS//yjeF//mocA//glgP//pdxJ//
paaXY	ybhA//
pabB_nudL	cobC//allB//
pabC_mltG_tmk_holB_ycfH	cyaA//yhdH//trxB//
panBC	hcp//aroD//
panE_yajL	mug//
paoABCD	speB//
pcnB_folK	yeaG//ilvD//
pdeI_dgcI	
pdhR_aceEF_lpd	prmC//trmA//frdB//apaH//ileS//rluC//
pdxA_rsmA	fabH//ttdB//
pdxA_rsmA_apaGH	nadC//ravA//rbsK//
pdxB_usg_truA_dedA	csdA//wzc//
pdxH_tyrS_pdxY	yfbT//mnmC//glgP//
pdxJ_acpS	mak//ispE//
pepQ_yigZ_trkH_hemG	dcm//pdeR//deoC//
pflDC	
pgaABCD	rfbA//cysE//aslA//
pgk_fbaA	dgcZ//metF//
pgpC_tadA	lsrF//ppiA//
pheLA	dusC//
pheMST_ihfA	patD//
phnCDE_1E_2FGHIJKLMNOP	glpQ//ubiC//tyrA//mhpA//mnmA//yjiA//ybbO//
phnLMNOP	dadX//bglA//hcp//etk//asnS//
phoA_psiF	avtA//
phoBR	
phoPQ	
pldB_yigL	ndh//nirD//
plsX_fabHDG	glf//speA//ubiA//
pntAB	
potABCD	edd//
potFGHI	yfiC//
poxB_ltaE_ybjT	hemH//pyrF//
ppdAB_ygdB_ppdC_recC	glyA//
ppdD_hofBC	
ppiB_lpxH	pgm//dacD//
ppk_ppx	lpxD//maeA//
pqiAB	
preTA	fadI//
prfB_lysS	yidA//
priC_ybaM	
prlC_rsmJ	suhB//folP//
prlF_yhaV	fumC//
prmB_aroC_mepA_yfcA_epmC_yfcL	dinB//ahpF//bioB//wzc//
proBA	rffG//malY//
proQ_prc	pdeH//
proVWX	frdB//
prpBCDE	uvrB//argF//curA//pdxY//
psd_mscM	
pspABCDE	gss//
pspBCDE	rfaD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	accC//paaC//
pth_ychF	betA//
ptrA_recBD	gph//fabI//
ptsA_fsaB_gldA	rlmM//rfbA//
ptsHI_crr	nfsA//ispH//purH//
purEK	kbaY//ppa//
purHD	fucU//cyoE//
purMN	proA//slt//
puuAP	glpK//yjjG//
puuCBE	glf//nadA//glpK//
puuDRCBE	truB//ybiV//carB//lhgO//
pyrF_yciH	sucB//
pyrG_eno	fadJ//aroA//
pyrLBI	trmD//
qmcA_ybbJ	
qseBC	
radA_nadR	yihX//
rapA_rluA	mmuM//
ratAB	
ravA_viaA	
rbsDACBKR	rsgA//tpiA//kbaY//
rclABC	
rclBC	
rcnAB	dxr//
rcsDB	
rcsF_trmO	dinB//
rdgB_yggW	accC//
rdoA_dsbA	dinB//sucC//
recAX	
recET_ralR_ydaC_xisR_intR	scpC//menC//
relA_mazEF	hemH//
relBE	fkpB//
relBE_hokD	astA//
renD_emrE	ruvB//
rfaD_waaFCL	rlmA//entF//lpoA//cobB//
rfbACX	proB//entE//iscS//sodB//
rfbBDACX	citD//rsmD//rlmH//lacA//dnaE//astB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	queC//hemG//trmJ//galT//panB//uvrA//recR//glpQ//hisH//
rhaBAD	yegS//pyrB//rutC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	astC//malP//hyi//
ribF_ileS_lspA_fkpB_ispH	opgE//pnp//nanA//rlmA//glk//
rimK_ybjN	fbp//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	mdh//pdxA//fadA//glgA//rne//proB//sdhC//gstB//ispD//rrrD//
rlmE_ftsH	trmA//pta//
rlmL_uup	pyrD//
rluD_yfiH	chbG//murF//
rluE_nudJ	purE//gloA//
rnc_era	slt//
rnc_era_recO_pdxJ_acpS	mtgA//narY//ugd//pdeL//
rnlAB	narZ//
rnt_lhr	fucO//
rpe_gph_trpS	lacZ//rph//dld//
rph_pyrE	dgt//sbcB//
rpiR_alsBACE	nudF//glpB//
rplJL_rpoBC	fes//
rplKAJL_rpoBC	lplA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	mtlD//
rpmF_plsX_fabHDG	hinT//mutS//treF//
rpmH_rnpA	glnA//glcE//
rpmI_rplT	
rpoBC	rsmB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	narZ//panB//yagE//
rppH_ptsP	galM//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	folM//
rpsO_pnp	tcdA//paaY//
rpsP_rimM_trmD_rplS	hyaC//
rpsU_dnaG_rpoD	menE//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	udp//guaB//
rsmA_apaGH	fruK//thiE//
rsmD_yhhL	cysG//
rsmE_gshB	miaA//bglA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yjhH//slt//bioH//rfbA//malS//rfbB//dxs//aroC//truB//phnH//ampC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	purE//
rtcBA	lpxT//yfaU//
rutABCDEFG	tehB//ribE//dapA//paaB//sgbU//fadJ//
ruvAB	bacA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	tesB//
scpA_argK_scpBC	yeiR//rsmF//rnd//thrC//
sdaCB	ymdB//gstA//
sdhCDAB_sucABCD	kdsD//yfiC//uxaC//serA//
sdhDAB	
sdhE_cptA	
secB_gpsA	clsB//
secE_nusG	
secG_leuU	
secMA_mutT	epmA//
selAB	yfcF//ftsI//
selD_topB	poxB//purT//
seqA_pgm	nrdA//
serB_radA	hemB//
serC_aroA	rlmE//cheR//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	guaC//
sgrST_setA	gss//
skp_lpxD_fabZ_lpxA	umuC//fabF//nirB//
slp_dctR	
solA_yceO	ybjG//
speAB	epmC//nagK//
speF_potE	ybbO//ubiG//
srlAEBD_gutM_srlR_gutQ	ldtB//xdhA//tauD//
sroG_ribB	yfiC//
sspAB	
ssrS_fau	fabG//
ssuEADCB	phnL//narY//glxK//
stfE_tfaE	
sucAB	lpcA//hisD//gltX//
sucABCD	hyaA//acpS//purU//aslA//
sufABCDSE	glxK//
surA_pdxA_rsmA_apaGH	xylA//murQ//gldA//gph//
tag_yiaC	glnA//
talA_tktB	trmL//nudB//
tamAB_ytfP	
tar_tap_cheRBYZ	yigB//azoR//
tatABC	narG//
tatABCD	ulaD//pdeF//
tauABCD	dusA//ycjG//
tdcABCDEFG	nagK//glpC//allC//tktB//fkpA//
tdcBCDEFG	nudB//ispH//yrfG//glnE//cheR//
tehAB	gcvP//yfcG//
tesA_ybbO	aphA//ssuE//
tff_rpsB_tsf	
tgt_yajC	rfbD//
thiCEFSGH	dgt//dacA//mutS//arsC//pheS//
thiMD	dhaK//psd//
thrLABC	hycD//ddlA//ulaG//
thrS_infC	azoR//
thrS_infC_rpmI_rplT_pheMST_ihfA	dfp//eda//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	argH//gadA//
tolB_pal_cpoB	
tolC_ygiABC	rfbD//yggF//qor//nudG//ushA//pheT//ftsI//entH//moeB//
tomB_hha	
topAI_yjhQ	
torCAD	cynS//
torYZ	dxr//
treBC	fadD//kbl//
trmI_yggL	nanM//
trpCBA	pheT//tmcA//cheB//sucD//
trpLEDCBA	pgi//alsK//murE//tdcB//aspC//aroH//
tsaB_yeaY	fklB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	polB//pyrD//trmA//acpH//aroD//
ttdABT	hisC//azoR//
tyrS_pdxY	hypB//fabG//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rluC//mnmC//
ubiEJB	mmuM//
udk_dcd	waaJ//hycC//
ugpBAECQ	yqhD//btuR//
uhpABC	
uidABC	trmO//purF//
ulaABCDEF	cysG//tdcB//frlC//amn//
umpG_pcm	tpiA//mrcB//
umuDC	pykF//
uof_fur	
upp_uraA	nrfD//yohF//
usg_truA_dedA	torZ//
uvrYC	wbbI//
uxaCA	lpxH//waaY//
uxuAB	ydbC//uxaC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ubiF//otsB//
waaQGPSBOJYZU	lysC//gpt//ilvD//nudK//yggF//leuC//waaH//bioD//yagE//tktA//
waaYZ	glgX//paoA//
waaZU	pdeL//puuC//
wbbIJK	mepS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ldtE//abgA//ppiA//tcdA//tauD//mtlD//
wcaKLM	
wrbA_yccJ	nrfA//
wza_wzb_wzc	ruvC//iaaA//
wza_wzb_wzc_wcaAB	ldcC//glcF//
xanQ_guaD_ghxQ	gsk//nrdD//dnaQ//
xapAB	lplA//pheA//
xdhABC	allC//
xerD_dsbC_recJ	rluD//hisG//
xseB_ispA_dxs_yajO	glcD//gmd//ycaO//nagA//
xylAB	fumA//paaF//
xylFGHR	nhoA//
yabPQ	
yacC_speED	fucU//rnt//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	phnG//
yafDE	
yafNOP	araB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	rpiA//trmJ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	plsC//
ybaB_recR	pabA//
ybaST	fabD//
ybbAP	
ybbY_glxK	trpA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	thiM//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	atoA//
ybeZY	
ybeZYX_lnt	sdhB//
ybfHG	
ybfOC	
ybgA_phr	menB//
ybgC_tolQRA	
ybgIJKL_nei	gatZ//
ybgQPO	
ybhP_clsB_ybhN	mltA//
ybiYW	
ybjC_nfsA_rimK_ybjN	scpC//waaS//
ybjJI	pncC//
ybjO_rlmC	tatD//
ybjQ_amiD	glcF//
ycaI_msbA_lpxK_ycaQ	nhoA//rlmE//
ycaR_kdsB	bcsA//
ycbK_gloC	dinB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	gutQ//
yciCB	
yciGFE	
yciK_btuR	entE//
yciVOQ	hemF//
yciZT	
ycjMNOPQRSTUV_ymjB	mcrB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fucU//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	allD//ybjG//
ydcSTUV_patD	trpE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	fbaB//
ydgK_rsxABCDGE_nth	truA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pdeH//emtA//
ydiJ_menI_ydiH	fsaB//
ydiNB_aroD	pbpC//dapA//
ydiQRST_fadK	slyD//
ydjA_selD_topB	rhaM//trpC//
ydjLKJIHG	umuC//
ydjXYZ_ynjABCD	
yeaGH	frlD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fumA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	thyA//thiL//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	psuK//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	lpxC//uxaB//
yejABEF	yfiH//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	tauD//
yfaX_rhmD	
yfaX_rhmD_yfaVU	pgaB//
yfbUT	sodB//
yfcUTSRQPO	
yfdGHI	
