# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	manA//
lspA_fkpB_ispH	gluQ//cdh//argC//
lsrACDBFG_tam	sodA//hdhA//galU//anmK//
lsrRK	waaP//
ltaE_ybjT	rutD//
lysT_valT_lysW	
macAB	rihC//
malEFG	phoA//
malK_lamB_malM	dld//garL//
malPQ	plsC//caiD//
malXY	hemB//argD//
manXYZ	fumC//
map_glnD_dapD	dam//mdh//fre//
marRAB	
mazEFG	yfdR//
mcrBC	metE//
mdlAB	
mdtABCD_baeSR	speG//
mdtEF	yieF//
mdtJI	rsmB//
mdtM_yjiN	yjcS//
mdtNOP	sgbU//
melAB	bfr//nudJ//
menA_rraA	yfeX//
menBCE	mdh//ahpC//rihC//
menDHBCE	preA//ampH//dgkA//hemL//hisS//
menFDHBCE	betA//trmD//rffM//uvrB//ppiB//cysC//
metBL	ilvD//nirB//
metNIQ	alkB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	gcvP//rhaA//rpiB//
metZWV	
mglAC	argB//
mglBAC	hchA//
mgtLA	idnO//
mhpABCDFE	lpxC//dcd//tynA//ansB//lsrK//ahpC//
mhpR_lacI	
miaA_hfq_hflXKC	icd//pyrF//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	hemE//astA//
mnaT_ydcZ	rihA//
mngAB	treF//ldtD//
mnmG_rsmG	pgpB//astD//
mntR_ybiR	
moaABCDE	pck//gabD//
moaBCDE	cof//
mobAB	glgA//
modABC	fabA//
modEF	
moeAB	glpD//galU//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	dhaK//
mqsRA	cdsA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	idnD//hchA//waaL//lpxL//torA//recO//gmm//pldB//yneH//speG//pyrH//
mreBCD	
mreCD	
msrPQ	
mtlADR	melA//clsC//qor//
mtn_btuF_yadS	trmH//ulaD//
murB_birA	rlmC//citX//
murQP	citE//wecC//rsmI//
murQP_yfeW	pgsA//ppc//mltC//ubiA//
mutL_miaA_hfq_hflXKC	nrdB//rffM//wzc//
mutY_yggX	rpiA//
mutY_yggX_mltC	fadB//pdxJ//
mutY_yggX_mltC_nupG	fadK//eptA//mug//
nadA_pnuC	ubiE//nanA//
nagBAC_umpH	lgoD//ribF//kduI//
nagK_cobB	fadJ//rlmF//
nanATEK_yhcH	asnA//yfbR//cobT//yjcS//
nanCM	gcvP//hisB//
nanCMS	galE//hpt//
napFDAGHBC	fucU//
napFDAGHBC_ccmABCDEFGH	efeB//hemN//
narGHJI	rpe//
narWV	fsaB//
narXL	
narZYWV	paaK//
nemRA	araD//
nemRA_gloA	dadA//sgbE//
nfrBA	
nhaAR	glgP//
nikABCDER	dapA//
nirBDC_cysG	folE//ppsA//rsmA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	fkpB//
nrdAB_yfaE	eptB//
nrdDG	lpcA//pldB//
nrdHIEF	sdhD//
nrdR_ribDE_nusB_thiL_pgpA	tdcG//epd//aldB//dapB//
nrfABCDEFG	murD//
nsrR_rnr_rlmB_yjfI	ydiF//queD//
nudB_yebC_ruvC	mutT//alsE//
nudC_hemE_nfi	gudD//coaA//
nudF_yqiB_cpdA_yqiA_parE	dapA//ltaE//
nuoABCEFGHIJKLMN	gatZ//
nuoMN	ldtA//
ompR_envZ	
opgGH	
oppABCDF	cobU//lysA//
osmF_yehYXW	ppsA//
otsBA	dmsA//nrfA//
paaABCDEFGHIJK	hemC//epd//glcF//rhaB//kefF//slt//maa//
paaXY	metH//
pabB_nudL	adeD//lpxK//
pabC_mltG_tmk_holB_ycfH	nagK//cysS//ada//
panBC	pphA//mhpD//
panE_yajL	rfbC//
paoABCD	dosC//
pcnB_folK	paaJ//mog//
pdeI_dgcI	
pdhR_aceEF_lpd	waaB//glf//ilvG_2//fucK//rpe//yibQ//
pdxA_rsmA	ilvG_1//mltF//
pdxA_rsmA_apaGH	phnJ//udp//aroD//
pdxB_usg_truA_dedA	xthA//ubiH//
pdxH_tyrS_pdxY	lpxT//rsmE//yfdR//
pdxJ_acpS	gstB//hisB//
pepQ_yigZ_trkH_hemG	rlmH//trmI//manA//
pflDC	
pgaABCD	prpC//cyoE//mltF//
pgk_fbaA	tadA//mutY//
pgpC_tadA	dmsB//alaA//
pheLA	alaS//
pheMST_ihfA	argE//
phnCDE_1E_2FGHIJKLMNOP	lpoA//dut//mutH//folM//hisD//gstB//ppx//
phnLMNOP	yiaK//rsmG//cysH//tig//mhpF//
phoA_psiF	speE//
phoBR	
phoPQ	
pldB_yigL	ilvG_2//dxr//
plsX_fabHDG	gldA//add//rlmE//
pntAB	
potABCD	tynA//
potFGHI	alsK//
poxB_ltaE_ybjT	entA//thiI//
ppdAB_ygdB_ppdC_recC	cysH//
ppdD_hofBC	
ppiB_lpxH	rlmE//ribA//
ppk_ppx	bcsZ//acs//
pqiAB	
preTA	metE//
prfB_lysS	dapF//
priC_ybaM	
prlC_rsmJ	gph//gcl//
prlF_yhaV	rsmH//
prmB_aroC_mepA_yfcA_epmC_yfcL	idnK//gmm//proC//ligB//
proBA	rsmI//mobA//
proQ_prc	hcaD//
proVWX	narG//
prpBCDE	leuD//hycG//argG//carB//
psd_mscM	
pspABCDE	maeB//
pspBCDE	ilvN//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	arnT//lipB//
pth_ychF	lpxH//
ptrA_recBD	malZ//narH//
ptsA_fsaB_gldA	clsB//cdd//
ptsHI_crr	glxK//pdxJ//nfsA//
purEK	fucO//iscS//
purHD	thiC//bcsZ//
purMN	yfaU//folA//
puuAP	galT//pyrB//
puuCBE	tdcG//scpA//iaaA//
puuDRCBE	glpK//thyA//panE//yfbR//
pyrF_yciH	lpcA//
pyrG_eno	pdeH//mhpB//
pyrLBI	ybiV//
qmcA_ybbJ	
qseBC	
radA_nadR	glcD//
rapA_rluA	rdgB//
ratAB	
ravA_viaA	
rbsDACBKR	murQ//pdeR//ilvM//
rclABC	
rclBC	
rcnAB	pldB//
rcsDB	
rcsF_trmO	ubiF//
rdgB_yggW	pdxB//
rdoA_dsbA	fumA//nagZ//
recAX	
recET_ralR_ydaC_xisR_intR	nirD//psuK//
relA_mazEF	mtn//
relBE	dgcM//
relBE_hokD	menB//
renD_emrE	ilvD//
rfaD_waaFCL	amiD//fabZ//sthA//coaE//
rfbACX	dgoA//ansB//dkgB//murQ//
rfbBDACX	trmA//gmk//ddlB//trmO//astC//fadE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	speD//ygiF//tadA//pdxK//guaD//insI-1//pncB//xdhB//rlmM//
rhaBAD	glpC//ttdB//selA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	entB//panD//caiC//
ribF_ileS_lspA_fkpB_ispH	ugd//sucD//prs//fucK//gmk//
rimK_ybjN	paaH//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	fre//acpT//thiK//aroC//pyrB//rutA//talB//cobT//rfbD//ilvN//
rlmE_ftsH	queA//pyrE//
rlmL_uup	hemH//
rluD_yfiH	gshA//emtA//
rluE_nudJ	metC//phnM//
rnc_era	dcyD//
rnc_era_recO_pdxJ_acpS	otsB//tsaB//ygjK//hycC//
rnlAB	frc//
rnt_lhr	yciV//
rpe_gph_trpS	paaH//ispA//glpE//
rph_pyrE	uxuB//hflX//
rpiR_alsBACE	rutD//mcrA//
rplJL_rpoBC	panE//
rplKAJL_rpoBC	etp//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	edd//
rpmF_plsX_fabHDG	glpX//betB//aldB//
rpmH_rnpA	purD//ssuE//
rpmI_rplT	
rpoBC	glpQ//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	menA//ppiA//paaC//
rppH_ptsP	tmcA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	nudF//
rpsO_pnp	yneH//glpQ//
rpsP_rimM_trmD_rplS	mngB//
rpsU_dnaG_rpoD	def//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	trpA//glpE//
rsmA_apaGH	atoA//mpl//
rsmD_yhhL	dgoA//
rsmE_gshB	pcm//menH//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hycC//gltB//ppsA//hycD//ispF//upp//bcsZ//glmU//paaY//cysH//polB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yihV//
rtcBA	gluQ//pdeR//
rutABCDEFG	rlmL//metC//paaG//miaB//panE//garR//
ruvAB	sdhB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	lyxK//
scpA_argK_scpBC	gnd//cdd//allB//phnM//
sdaCB	uvrA//ravA//
sdhCDAB_sucABCD	lpoA//murC//ubiC//thiL//
sdhDAB	
sdhE_cptA	
secB_gpsA	nagB//
secE_nusG	
secG_leuU	
secMA_mutT	phnN//
selAB	ispF//dgcP//
selD_topB	narY//queC//
seqA_pgm	narZ//
serB_radA	aceF//
serC_aroA	rutA//fadB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	kdsD//
sgrST_setA	glgB//
skp_lpxD_fabZ_lpxA	aroL//hmp//pinE//
slp_dctR	
solA_yceO	murB//
speAB	folD//ybaS//
speF_potE	ilvG_2//fbaB//
srlAEBD_gutM_srlR_gutQ	hisA//araD//phnM//
sroG_ribB	ulaF//
sspAB	
ssrS_fau	dkgA//
ssuEADCB	apaH//malQ//mtlD//
stfE_tfaE	
sucAB	aroB//sucA//bcsA//
sucABCD	thyA//ftsI//fkpA//gpmA//
sufABCDSE	mtn//
surA_pdxA_rsmA_apaGH	mtn//appA//rluA//folC//
tag_yiaC	gcvT//
talA_tktB	alsE//thiM//
tamAB_ytfP	
tar_tap_cheRBYZ	ubiA//mltA//
tatABC	menD//
tatABCD	paaK//lpxD//
tauABCD	ushA//yjeF//
tdcABCDEFG	allC//menE//dacD//mutH//ndh//
tdcBCDEFG	panD//eutD//dgcC//gldA//trmA//
tehAB	fadE//yiaK//
tesA_ybbO	fadK//mdh//
tff_rpsB_tsf	
tgt_yajC	puuA//
thiCEFSGH	emtA//thiH//rnt//maa//putA//
thiMD	patA//cyoE//
thrLABC	tcdA//ubiX//rsmH//
thrS_infC	pncC//
thrS_infC_rpmI_rplT_pheMST_ihfA	ycjG//waaO//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	purD//gshB//
tolB_pal_cpoB	
tolC_ygiABC	gadA//rfe//kbaZ//pykF//fre//eptB//maeA//dnaQ//mutM//
tomB_hha	
topAI_yjhQ	
torCAD	accA//
torYZ	mog//
treBC	hemL//yghU//
trmI_yggL	nudE//
trpCBA	dam//malQ//pgpB//trmA//
trpLEDCBA	hisF//puuB//ulaG//asd//rlmM//prmC//
tsaB_yeaY	hypB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	spoT//dgoD//nfsB//kdgK//accC//
ttdABT	gcl//wzc//
tyrS_pdxY	yieH//nudL//
tyrTV_tpr	
tyrV_tpr	
ubiCA	pyrE//lsrF//
ubiEJB	frmA//
udk_dcd	alkA//leuB//
ugpBAECQ	deoD//patD//
uhpABC	
uidABC	uvrC//adiA//
ulaABCDEF	frlD//hyuA//mraY//fadM//
umpG_pcm	wzb//birA//
umuDC	fabB//
uof_fur	
upp_uraA	rnt//uidA//
usg_truA_dedA	gnd//
uvrYC	lipA//
uxaCA	citF//tpiA//
uxuAB	mog//wecC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	mcrA//frdD//
waaQGPSBOJYZU	yihS//frlD//relA//yjeF//sodA//moeA//rbsD//ybiV//cynS//ahpF//
waaYZ	lpcA//thiM//
waaZU	nanA//yigB//
wbbIJK	deoB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	fumA//lysC//cysE//mrdA//yqaB//purH//
wcaKLM	
wrbA_yccJ	nudG//
wza_wzb_wzc	mltC//thrB//
wza_wzb_wzc_wcaAB	puuD//glgP//
xanQ_guaD_ghxQ	ilvG_1//trpE//tdk//
xapAB	mdh//cmoA//
xdhABC	trmI//
xerD_dsbC_recJ	lpxA//mnmG//
xseB_ispA_dxs_yajO	hcaC//fbaA//aroD//yihT//
xylAB	rsmB//gmk//
xylFGHR	ispF//
yabPQ	
yacC_speED	sgbH//alaS//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	tcdA//
yafDE	
yafNOP	ybcF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	queF//codA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	trpS//
ybaB_recR	mmuM//
ybaST	pgpB//
ybbAP	
ybbY_glxK	folA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	dsdA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pfkA//
ybeZY	
ybeZYX_lnt	speG//
ybfHG	
ybfOC	
ybgA_phr	insI-3//
ybgC_tolQRA	
ybgIJKL_nei	yajO//
ybgQPO	
ybhP_clsB_ybhN	dnaQ//
ybiYW	
ybjC_nfsA_rimK_ybjN	pgaD//serA//
ybjJI	gltB//
ybjO_rlmC	tam//
ybjQ_amiD	glnA//
ycaI_msbA_lpxK_ycaQ	glcE//pgk//
ycaR_kdsB	gdhA//
ycbK_gloC	gcd//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	argB//
yciCB	
yciGFE	
yciK_btuR	cysH//
yciVOQ	lsrG//
yciZT	
ycjMNOPQRSTUV_ymjB	lpxA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	yjhG//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	gldA//nrfD//
ydcSTUV_patD	treC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	dgoK//
ydgK_rsxABCDGE_nth	waaF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	gutQ//paaY//
ydiJ_menI_ydiH	glgP//
ydiNB_aroD	acnA//sthA//
ydiQRST_fadK	gltX//
ydjA_selD_topB	nadR//pphA//
ydjLKJIHG	pdeL//
ydjXYZ_ynjABCD	
yeaGH	gatY//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fucA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	yihU//dapA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	dgt//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	mcrC//gltX//
yejABEF	hemE//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	spoT//
yfaX_rhmD	
yfaX_rhmD_yfaVU	polB//
yfbUT	dadX//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
